DLiP-ID,I000JB
ATS5s,566.9104938271606
ATS5v,33942.852800836794
ATS6Z,3172.0
ATS6d,580.0
ATS6i,32367.150490668937
ATS6m,11025.836622
ATS6p,272.96726558916794
ATS6s,507.1327160493826
ATS6v,35183.96003022072
ATS7Z,3201.0
ATS7d,582.0
ATS7i,36673.89145087427
ATS7m,11021.424131999998
ATS7p,290.72094653135593
ATS7s,546.4320987654323
ATS7v,36939.915604245536
ATS8Z,3004.0
ATS8d,559.0
ATS8i,42021.83277996536
ATS8m,9973.880905
ATS8p,295.5148334794299
ATS8s,543.9104938271605
ATS8v,35424.45393129886
C1SP1,0
C1SP2,3
C1SP3,4
C2SP1,0
C2SP2,5
C2SP3,10
C3SP2,1
C3SP3,2
C4SP3,0
FCSP3,0.6538461538461539
GGI10,0.22059789817365577
JGI10,0.007606824074953647
JGT10,0.41549452751692045
Kier1,26.074074074074073
Kier2,11.82314494425221
Kier3,5.877551020408164
MAXdO,13.932919606114048
MID_C,53.276183582792946
MID_N,8.20001876333006
MID_O,3.554925165587317
MID_X,0.0
MID_h,13.845806180862605
MINdO,12.76205359370011
MPC10,191
MWC01,36.0
MWC02,5.1647859739235145
MWC03,6.0330862217988015
MWC04,6.92461239604856
MWC05,7.814803429489359
MWC06,8.714567550836485
MWC07,9.613870275449836
MWC08,10.518267704021968
MWC09,11.422530187222842
MWC10,12.329868677943685
NaaCH,3
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,2
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,4
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,2
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,4.756200000000004
SRW02,4.290459441148391
SRW03,0.0
SRW04,5.6240175061873385
SRW05,3.044522437723423
SRW06,7.149131598557407
SRW07,5.351858133476067
SRW08,8.761080103868347
SRW09,7.4342573821331355
SRW10,10.42088155718015
SaaCH,6.396916504511202
SaaNH,0
SaaSe,0
SaaaC,2.265976375883483
SaasC,2.292162784698374
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.024884319340939598
SdssS,0
SsCH3,8.006101620327222
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,6.127107626336973
SssPH,0
SssSe,0
SsssB,0
SsssN,2.0102721088435374
SsssP,0
VE1_A,4.634850430821289
VE1_D,5.657038024949713
VE2_A,0.1404500130551906
VE2_D,0.17142539469544585
VE3_A,2.727526397459611
VE3_D,2.9268229065626237
VR1_A,481.3916722077705
VR1_D,223.88184528687543
VR2_A,14.587626430538501
VR2_D,6.784298342026529
VR3_A,7.370603694560372
VR3_D,6.605040904764982
WPath,3140
Xc-3d,2.177601761294012
Xc-4d,0.0
Xc-5d,0.7751195267613408
Xc-6d,0.0
Xp-0d,23.534804948073713
Xp-1d,15.9010859031649
Xp-2d,14.272386311585988
Xp-3d,12.400217087171741
Xp-4d,10.101055173834327
Xp-5d,7.7748464134301685
Xp-6d,5.518085442133479
Xp-7d,4.200223690402479
ZMIC0,111.38842070709426
ZMIC1,54.10890781951235
ZMIC2,35.198025461722494
ZMIC3,28.257144793617957
ZMIC4,27.674929245926222
ZMIC5,27.674929245926222
nAcid,0
nAtom,71
nBase,1
nRing,4
piPC1,3.784189633918261
piPC2,4.307437777682809
piPC3,4.856901194154213
piPC4,5.401832430406715
piPC5,5.861854029226696
piPC6,6.208621464234236
piPC7,6.599923644059127
piPC8,6.947880781007797
piPC9,7.0012420644584115
AATS0Z,21.887323943661972
AATS0d,2.9859154929577465
AATS0i,164.03826289164175
AATS0m,86.11325881690144
AATS0p,1.4639873011867883
AATS0s,3.2883894588380764
AATS0v,199.93573545690165
AATS1Z,23.2972972972973
AATS1d,3.7432432432432434
AATS1i,146.44445138720278
AATS1m,87.1727574864865
AATS1p,1.8188772940540543
AATS1s,2.491658324991658
AATS1v,250.61307048449552
AATS2Z,19.071428571428573
AATS2d,3.3285714285714287
AATS2i,155.12546563401628
AATS2m,69.99755096428574
AATS2p,1.5239158529070007
AATS2s,2.253505291005291
AATS2v,201.793795971922
AATS3Z,15.564102564102564
AATS3d,2.830769230769231
AATS3i,160.56191057239755
AATS3m,55.51115071794871
AATS3p,1.307918263414887
AATS3s,2.30496992719215
AATS3v,167.16850320634305
AATS4Z,15.620192307692308
AATS4d,2.6971153846153846
AATS4i,162.53744742947632
AATS4m,55.42857399519231
AATS4p,1.264208385708168
AATS4s,2.5207888176638185
AATS4v,162.25890232518302
AATS5Z,16.058823529411764
AATS5d,2.764705882352941
AATS5i,163.36614275215413
AATS5m,56.45230898039214
AATS5p,1.284564152233618
AATS5s,2.7789730089566698
AATS5v,166.38653333743525
AATS6Z,15.549019607843137
AATS6d,2.843137254901961
AATS6i,158.66250240523988
AATS6m,54.04821873529412
AATS6p,1.3380748313194506
AATS6s,2.4859446865165813
AATS6v,172.47039230500351
AATS7Z,13.97816593886463
AATS7d,2.541484716157205
AATS7i,160.14799760207103
AATS7m,48.12848965938864
AATS7p,1.2695237839797202
AATS7s,2.386166370154726
AATS7v,161.30967512770977
AATS8Z,11.688715953307392
AATS8d,2.1750972762645913
AATS8i,163.50907696484578
AATS8m,38.80887511673152
AATS8p,1.1498631652896105
AATS8s,2.1163832444636594
AATS8v,137.83834214513178
AMID_C,1.6144298055391801
AMID_N,0.2484854170706079
AMID_O,0.10772500501779748
AMID_X,0.0
AMID_h,0.4195698842685638
ATS0dv,358.44444444444446
ATS0pe,420.27499999999986
ATS0se,527.6088729999999
ATS1dv,364.33333333333337
ATS1pe,465.36350000000004
ATS1se,561.4684439999999
ATS2dv,520.0
ATS2pe,853.1548999999998
ATS2se,1050.994244
ATS3dv,550.3333333333333
ATS3pe,1162.8601999999996
ATS3se,1455.1358320000002
ATS4dv,547.3333333333333
ATS4pe,1256.6654999999996
ATS4se,1573.7978220000002
ATS5dv,551.3333333333334
ATS5pe,1256.185
ATS5se,1566.932732
ATS6dv,513.6666666666667
ATS6pe,1241.9585000000002
ATS6se,1545.8970439999996
ATS7dv,442.33333333333337
ATS7pe,1372.7635
ATS7se,1718.6952779999997
ATS8dv,358.66666666666663
ATS8pe,1494.0477999999998
ATS8se,1896.9516879999996
ATSC0Z,645.323943661972
ATSC0c,0.8346096173961775
ATSC0d,41.57746478873241
ATSC0i,105.00499220193181
ATSC0m,2993.817474929577
ATSC0p,18.993703209135848
ATSC0s,77.26142313414088
ATSC0v,3701.553297043164
ATSC1Z,48.789129141043425
ATSC1c,-0.5001100791835731
ATSC1d,19.271374727236672
ATSC1i,-10.829222319551487
ATSC1m,226.058940411427
ATSC1p,0.54934038401942
ATSC1s,-1.3247209643610987
ATSC1v,101.03671752820776
ATSC2Z,147.33306883554852
ATSC2c,-0.1137437024264097
ATSC2d,5.706407458837541
ATSC2i,-6.772472995042275
ATSC2m,666.4513500121012
ATSC2p,1.7442431727983405
ATSC2s,7.067290807967263
ATSC2v,263.2894479901587
ATSC3Z,135.84268994247176
ATSC3c,0.6349715252398396
ATSC3d,2.174568537988499
ATSC3i,12.398065855154247
ATSC3m,621.7027283201752
ATSC3p,1.122055069738798
ATSC3s,11.927155554902471
ATSC3v,265.752864142313
ATSC4Z,72.6143622297163
ATSC4c,-0.5749720162146171
ATSC4d,3.6463003372346794
ATSC4i,-12.32738906230309
ATSC4m,351.4687726710973
ATSC4p,2.5249583398771893
ATSC4s,-19.046887742731812
ATSC4v,421.70985740179333
ATSC5Z,-130.45189446538384
ATSC5c,0.00891028206726573
ATSC5d,-6.053560801428283
ATSC5i,33.012488011466964
ATSC5m,-586.1954661075177
ATSC5p,1.7049016959390246
ATSC5s,-1.27549417138858
ATSC5v,198.04779235331787
ATSC6Z,-306.00119024003175
ATSC6c,0.3968912204280396
ATSC6d,-24.138067843681796
ATSC6i,-18.767838423626717
ATSC6m,-1408.6022993751233
ATSC6p,-8.28651787795069
ATSC6s,-12.131601321835838
ATSC6v,-1350.2531830178918
ATSC7Z,-218.1997619519938
ATSC7c,-0.30879885407114777
ATSC7d,-19.454076572108697
ATSC7i,-23.52995561108566
ATSC7m,-1031.760693505256
ATSC7p,-3.600105900210613
ATSC7s,-24.240769517120103
ATSC7v,-1207.889020535313
ATSC8Z,-196.3697679031939
ATSC8c,-0.05047935338669604
ATSC8d,-10.878992263439796
ATSC8i,-12.090031838927882
ATSC8m,-945.7059376042452
ATSC8p,-4.283512191252619
ATSC8s,-14.023496560032156
ATSC8v,-1236.8455460783202
AXp-0d,0.7131759075173852
AXp-1d,0.44169683064346943
AXp-2d,0.2798507119918821
AXp-3d,0.17714595838816774
AXp-4d,0.10979407797646008
AXp-5d,0.06941827154848365
AXp-6d,0.042775856140569606
AXp-7d,0.02745244242093123
GATS1Z,0.8714458379982845
GATS1c,1.7011720295913517
GATS1d,0.853177872994946
GATS1i,1.3862344389983374
GATS1m,0.8796370025168875
GATS1p,1.0972466828470142
GATS1s,0.5701179244368076
GATS1v,1.1023753817981556
GATS2Z,0.8584835654109737
GATS2c,1.2320892901803644
GATS2d,1.238651761517615
GATS2i,1.194584542690318
GATS2m,0.8647963063649703
GATS2p,1.0036903148236878
GATS2s,0.5392191222048458
GATS2v,1.014920517743587
GATS3Z,0.9328648129556066
GATS3c,0.9551763891960556
GATS3d,1.169889166840386
GATS3i,1.0120803927393698
GATS3m,0.9326008612308123
GATS3p,0.9914505789198358
GATS3s,0.8563881827996579
GATS3v,0.97566430473315
GATS4Z,1.067516923144078
GATS4c,1.6656560981072237
GATS4d,1.1008182197206584
GATS4i,1.0822829543265515
GATS4m,1.0555966203517184
GATS4p,0.9787506717118171
GATS4s,1.5752205254349674
GATS4v,0.9329746977380123
GATS5Z,1.2819978705175374
GATS5c,1.6036400847564416
GATS5d,1.2131854774430093
GATS5i,0.973438199997312
GATS5m,1.2596590314421299
GATS5p,1.0315972489124887
GATS5s,1.739161157643309
GATS5v,0.9415911255462923
GATS6Z,1.3006083746519688
GATS6c,1.235826437118318
GATS6d,1.4112565758010518
GATS6i,1.1520909014161433
GATS6m,1.2860074390596048
GATS6p,1.2440425073033639
GATS6s,1.4527546352404108
GATS6v,1.1390344566928268
GATS7Z,1.0579636233047363
GATS7c,1.2504103372076631
GATS7d,1.165289464030011
GATS7i,1.092758281406028
GATS7m,1.064736162811605
GATS7p,1.0250087413567615
GATS7s,1.4796653092609968
GATS7v,1.0900151320283489
GATS8Z,1.0965445588899947
GATS8c,0.9111355690041225
GATS8d,0.9171385488173944
GATS8i,1.0076196415263412
GATS8m,1.0967568263291296
GATS8p,1.0525158483820183
GATS8s,1.0638933786808151
GATS8v,1.0686446921516626
MATS1Z,0.07253905876717867
MATS1c,-0.5749218991037908
MATS1d,0.44471453160477564
MATS1i,-0.09894957920764487
MATS1m,0.07244743227982789
MATS1p,0.02774971379235869
MATS1s,-0.016450849710518304
MATS1v,0.026189176976759838
MATS2Z,0.11578512499766154
MATS2c,-0.06911531454729741
MATS2d,0.06960414246999622
MATS2i,-0.032709028710021605
MATS2m,0.11289467197722254
MATS2p,0.046572301170810924
MATS2s,0.046389594020151914
MATS2v,0.03607279220211582
MATS3Z,0.07664471806512053
MATS3c,0.277009461253544
MATS3d,0.01904315196998127
MATS3i,0.042990028122596835
MATS3m,0.07561034010473877
MATS3p,0.021509398323106953
MATS3s,0.056207972152549454
MATS3v,0.026140728361012763
MATS4Z,0.03840959800817279
MATS4c,-0.23515723065393812
MATS4d,0.029935702001250807
MATS4i,-0.040073397989404264
MATS4m,0.04007342289667453
MATS4p,0.045377397364211064
MATS4s,-0.08415042863542575
MATS4v,0.038888819452660595
MATS5Z,-0.0703559436782701
MATS5c,0.003715662409821692
MATS5d,-0.05067352144109671
MATS5i,0.10941994465623248
MATS5m,-0.06814677647230637
MATS5p,0.031240492838248046
MATS5s,-0.005745713358809879
MATS5v,0.018621479359518495
MATS6Z,-0.16503403491563806
MATS6c,0.165506970194633
MATS6d,-0.202056432329029
MATS6i,-0.06220603066685051
MATS6m,-0.16375375038517764
MATS6p,-0.15184154197087008
MATS6s,-0.054649174682423696
MATS6v,-0.12695779881673894
MATS7Z,-0.10483332478740173
MATS7c,-0.11471366664437259
MATS7d,-0.14506928912083866
MATS7i,-0.06947587534110583
MATS7m,-0.10685049196136187
MATS7p,-0.058766319902958566
MATS7s,-0.09727619288277578
MATS7v,-0.10117329471131431
MATS8Z,-0.08406632704968892
MATS8c,-0.01670919870660374
MATS8d,-0.07228628220134341
MATS8i,-0.03180846583037784
MATS8m,-0.08726820077114761
MATS8p,-0.062303950546838655
MATS8s,-0.05014398377035854
MATS8v,-0.09231168702454624
MAXaaN,5.050133898855941
MAXaaS,1.7146463833084502
MINaaN,5.050133898855941
MINaaS,1.7146463833084502
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,8
NssNH2,0
NsssAs,0
NsssCH,5
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,7
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,42.89460758913127
SpAD_D,393.76049443335995
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,8.119507996197141
SssNH2,0
SsssAs,0
SsssCH,-0.15291417943554153
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1219
TMWC10,147.53639241673505
TSRW10,85.07620816027426
VE1_Dt,5.665847529706993
VE2_Dt,0.1716923493850604
VE3_Dt,2.9283789598305465
VR1_Dt,220.55938567521017
VR2_Dt,6.683617747733641
VR3_Dt,6.590089449888532
Xc-3dv,1.4513426915715109
Xc-4dv,0.0
Xc-5dv,0.33163110396428896
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.21407617506269555
Xch-6d,0.4853387107029855
Xch-7d,0.7387405743315729
Xp-0dv,21.211325046328614
Xp-1dv,13.39443696658836
Xp-2dv,11.047384053195787
Xp-3dv,8.542872330114836
Xp-4dv,6.46950869749883
Xp-5dv,4.671470744601374
Xp-6dv,3.0098519896285483
Xp-7dv,2.127166605188155
Xpc-4d,5.807316025958248
Xpc-5d,9.005231244798333
Xpc-6d,13.704825802341283
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,2
nBonds,74
nFRing,1
nHBAcc,5
nHBDon,2
nHRing,2
nSpiro,0
naRing,2
piPC10,7.2273617545263535
AATS0dv,5.048513302034429
AATS0pe,5.919366197183097
AATS0se,7.431110887323943
AATS1dv,4.923423423423424
AATS1pe,6.288695945945946
AATS1se,7.587411405405404
AATS2dv,3.7142857142857144
AATS2pe,6.09396357142857
AATS2se,7.5071017428571425
AATS3dv,2.822222222222222
AATS3pe,5.963385641025639
AATS3se,7.462235035897437
AATS4dv,2.631410256410256
AATS4pe,6.0416610576923055
AATS4se,7.5663356826923085
AATS5dv,2.7026143790849675
AATS5pe,6.157769607843137
AATS5se,7.681042803921568
AATS6dv,2.5179738562091507
AATS6pe,6.088031862745099
AATS6se,7.577926686274508
AATS7dv,1.9315866084425037
AATS7pe,5.994600436681223
AATS7se,7.505219554585151
AATS8dv,1.3955901426718547
AATS8pe,5.813415564202334
AATS8se,7.381134972762645
AATSC0Z,9.089069629041859
AATSC0c,0.011755065033748978
AATSC0d,0.5855980956159493
AATSC0i,1.4789435521398846
AATSC0m,42.16644330886729
AATSC0p,0.26751694660754716
AATSC0s,1.0881890582273364
AATSC0v,52.134553479481184
AATSC1Z,0.6593125559600462
AATSC1c,-0.006758244313291528
AATSC1d,0.26042398280049556
AATSC1i,-0.1463408421561012
AATSC1m,3.0548505461003646
AATSC1p,0.0074235187029651345
AATSC1s,-0.01790163465352836
AATSC1v,1.3653610476784832
AATSC2Z,1.0523790631110608
AATSC2c,-0.0008124550173314979
AATSC2d,0.04076005327741101
AATSC2i,-0.04837480710744482
AATSC2m,4.760366785800723
AATSC2p,0.012458879805702433
AATSC2s,0.05048064862833759
AATSC2v,1.8806389142154192
AATSC3Z,0.6966291791921629
AATSC3c,0.0032562642319991773
AATSC3d,0.011151633528146148
AATSC3i,0.0635798248982269
AATSC3m,3.188219119590642
AATSC3p,0.005754128562763067
AATSC3s,0.06116490028155114
AATSC3v,1.3628352007298103
