DLiP-ID,T002FY
SsssP,0
VE1_A,4.260851478930603
VE1_D,5.005610047031181
VE2_A,0.16387890303579244
VE2_D,0.1925234633473531
VE3_A,2.404980463019073
VE3_D,2.5660707378856578
VR1_A,279.2185021013577
VR1_D,154.36680719756723
VR2_A,10.739173157744528
VR2_D,5.937184892214124
VR3_A,6.587506081991347
VR3_D,5.994843080216384
WPath,1896
Xc-3d,1.6377440426709953
Xc-4d,0.0
Xc-5d,0.2757834230632086
Xc-6d,0.0
Xp-0d,18.518297090128673
Xp-1d,12.562881945713373
Xp-2d,11.119572524164063
Xp-3d,9.131820090516154
Xp-4d,7.250033376224593
Xp-5d,5.908779172590344
Xp-6d,3.815606655816199
Xp-7d,2.6763266621035595
ZMIC0,82.71676379210545
ZMIC1,45.4715911160758
ZMIC2,29.626537269542595
ZMIC3,25.39845916197803
ZMIC4,24.973042277751937
ZMIC5,24.973042277751937
nAcid,0
nAtom,43
nBase,0
nRing,3
piPC1,3.6635616461296463
piPC2,4.255612709818223
piPC3,4.78957290898587
piPC4,5.340538381981999
piPC5,5.910966006391681
piPC6,6.103955828318597
piPC7,6.5086759880731
piPC8,6.942579321698756
piPC9,7.291560410989231
AATS0Z,30.558139534883722
AATS0d,3.4651162790697674
AATS0i,161.31895583218918
AATS0m,123.52823453488374
AATS0p,1.6610773809868133
AATS0s,4.646118005267207
AATS0v,243.8431161346888
AATS1Z,27.8
AATS1d,4.044444444444444
AATS1i,146.60311882410994
AATS1m,107.1192215333334
AATS1p,1.919955220800001
AATS1s,3.4522633744855966
AATS1v,282.78565204199725
AATS2Z,24.45205479452055
AATS2d,3.7534246575342465
AATS2i,152.49231129774003
AATS2m,92.49634661643834
AATS2p,1.698589461291027
AATS2s,3.427941259372006
AATS2v,243.63355955448398
AATS3Z,22.60674157303371
AATS3d,3.348314606741573
AATS3i,157.56020167647858
AATS3m,84.50268297752811
AATS3p,1.532147206879157
AATS3s,3.3927035649882087
AATS3v,218.8448232682821
AATS4Z,18.71875
AATS4d,2.9895833333333335
AATS4i,159.46070090789297
AATS4m,68.31187374999999
AATS4p,1.3940599826566358
AATS4s,3.221986454046639
AATS4v,193.15097593463943
AATS5Z,19.48936170212766
AATS5d,2.893617021276596
AATS5i,161.1995843530227
AATS5m,72.08893341489365
AATS5p,1.3749575968891916
AATS5s,3.4922511163645913
AATS5v,192.01013601390687
AATS6Z,19.488372093023255
AATS6d,2.7906976744186047
AATS6i,161.06483423863864
AATS6m,70.77437786046508
AATS6p,1.3937802578795462
AATS6s,3.329816250358886
AATS6v,191.60927292021603
AATS7Z,15.5125
AATS7d,2.6
AATS7i,162.25309281010598
AATS7m,54.619905337499986
AATS7p,1.2675054170235749
AATS7s,2.8587448559670787
AATS7v,167.71119458170602
AATS8Z,16.4
AATS8d,2.7384615384615385
AATS8i,162.67102527598206
AATS8m,60.05196875384615
AATS8p,1.2604308971274152
AATS8s,2.9968977524533087
AATS8v,167.3958951391687
AMID_C,1.5159771310539347
AMID_N,0.31345968375788824
AMID_O,0.13543956292826415
AMID_X,0.06552442977255267
AMID_h,0.514423676458705
ATS0dv,361.60493827160496
ATS0pe,276.4466999999999
ATS0se,337.06929299999996
ATS1dv,373.55555555555554
ATS1pe,296.5665
ATS1se,352.4791779999998
ATS2dv,510.1111111111111
ATS2pe,473.84530000000007
ATS2se,570.0439379999998
ATS3dv,505.77777777777777
ATS3pe,580.5866000000002
ATS3se,701.9917
ATS4dv,464.1111111111111
ATS4pe,605.3500999999999
ATS4se,742.0833340000003
ATS5dv,448.6666666666667
ATS5pe,597.2657
ATS5se,733.0690079999999
ATS6dv,362.2222222222222
ATS6pe,551.3336
ATS6se,675.5163879999999
ATS7dv,287.1111111111111
ATS7pe,492.5635000000001
ATS7se,611.8124900000003
ATS8dv,271.1111111111111
ATS8pe,393.6718
ATS8se,490.36886599999985
ATSC0Z,456.69767441860455
ATSC0c,0.9436948989298175
ATSC0d,25.06976744186046
ATSC0i,68.15516919045106
ATSC0m,2148.2505956744185
ATSC0p,10.344715690122275
ATSC0s,61.25749407173468
ATSC0v,2111.636311953965
ATSC1Z,0.4559221200649093
ATSC1c,-0.5880644397792829
ATSC1d,7.810708491076262
ATSC1i,-8.844153632014905
ATSC1m,5.702429317468781
ATSC1p,0.12210191396794362
ATSC1s,-6.3237217001425
ATSC1v,46.703164880185966
ATSC2Z,-32.51000540832882
ATSC2c,0.18063616765035467
ATSC2d,-2.8393726338561347
ATSC2i,-13.354354200001426
ATSC2m,-157.18231537750145
ATSC2p,-1.8917023870721448
ATSC2s,10.903043856262926
ATSC2v,-190.98825304761678
ATSC3Z,-31.257977285018924
ATSC3c,-0.05698596840084152
ATSC3d,-4.028123309897239
ATSC3i,7.361624187956888
ATSC3m,-165.3647896284478
ATSC3p,-2.3761395462238553
ATSC3s,-18.938329224536652
ATSC3v,-522.6294112507619
ATSC4Z,-44.18550567874526
ATSC4c,-0.0728629445114727
ATSC4d,-6.7371552190373185
ATSC4i,-18.86888022139627
ATSC4m,-210.98625424986477
ATSC4p,-2.1496982703632974
ATSC4s,1.6989816993066436
ATSC4v,-345.02406210001527
ATSC5Z,58.102758247701445
ATSC5c,0.15500527026941832
ATSC5d,-3.7339102217414815
ATSC5i,-2.1164117385296497
ATSC5m,281.2577667582477
ATSC5p,2.006989877414994
ATSC5s,0.7553811676566269
ATSC5v,306.2797765082005
ATSC6Z,-132.37209302325581
ATSC6c,0.07645355966401202
ATSC6d,-1.0697674418604652
ATSC6i,7.804875976369322
ATSC6m,-626.1429803488372
ATSC6p,-2.1331944178804654
ATSC6s,-14.020152557572409
ATSC6v,-537.0408168301492
ATSC7Z,-70.80962682531099
ATSC7c,-0.42223935096722076
ATSC7d,0.5678745267712264
ATSC7i,-11.376381967194076
ATSC7m,-331.5835518826392
ATSC7p,-1.1166737815632644
ATSC7s,-14.987156270038577
ATSC7v,-314.26990802618496
ATSC8Z,151.68956192536504
ATSC8c,0.4276966536654522
ATSC8d,0.33639805300162196
ATSC8i,-2.150581681490209
ATSC8m,712.0652029107627
ATSC8p,1.8407860547452046
ATSC8s,21.86998770287312
ATSC8v,461.92619970997265
AXp-0d,0.7122421957741797
AXp-1d,0.448674355204049
AXp-2d,0.29262032958326484
AXp-3d,0.1902462518857532
AXp-4d,0.12083388960374322
AXp-5d,0.07774709437618874
AXp-6d,0.04955333319241817
AXp-7d,0.03112007746632046
GATS1Z,0.6100315714431207
GATS1c,1.543516797142742
GATS1d,0.7632034632034634
GATS1i,1.2506581264333183
GATS1m,0.6131913262442825
GATS1p,0.8872757499077201
GATS1s,0.7505658044744591
GATS1v,0.846796686273152
GATS2Z,0.8598056326356368
GATS2c,0.74111339204405
GATS2d,1.2507560932218469
GATS2i,1.194007262522074
GATS2m,0.8628078124530444
GATS2p,1.0416841006027089
GATS2s,0.5432228710687189
GATS2v,0.9665968226140326
GATS3Z,0.7754988894495998
GATS3c,1.0313182791289677
GATS3d,1.1011965562527364
GATS3i,1.0356422856790406
GATS3m,0.7824454107884433
GATS3p,0.9952590693033139
GATS3s,1.1280521247979074
GATS3v,1.0086625783428638
GATS4Z,0.8291179728078218
GATS4c,1.0689058937276943
GATS4d,1.1692370129870133
GATS4i,1.1378987482201064
GATS4m,0.8341216525125426
GATS4p,1.0136696903789488
GATS4s,0.8415647880547024
GATS4v,1.0265871945355511
GATS5Z,0.7596859540664758
GATS5c,1.0262591372375032
GATS5d,1.1050013815971265
GATS5i,1.0093723255325227
GATS5m,0.7609822253096727
GATS5p,0.8367574211699106
GATS5s,1.1275039713037738
GATS5v,0.8854395760603144
GATS6Z,1.11694164375191
GATS6c,1.14087771066654
GATS6d,0.9545454545454548
GATS6i,0.9522310781284137
GATS6m,1.1165365217933851
GATS6p,1.0515199905635553
GATS6s,1.1064582510229628
GATS6v,1.0677559525384615
GATS7Z,0.9512584020776049
GATS7c,1.3035192203695318
GATS7d,0.9214285714285717
GATS7i,1.045659382446113
GATS7m,0.9549336467685117
GATS7p,1.0114099845824065
GATS7s,0.9905943907406646
GATS7v,1.0792336240382883
GATS8Z,0.6020141483936169
GATS8c,0.617849299894694
GATS8d,1.0180819180819183
GATS8i,0.9608437624536961
GATS8m,0.6096023050240007
GATS8p,0.8439804540819625
GATS8s,0.5308814470551655
GATS8v,0.893841211321728
MATS1Z,0.0009539328512747592
MATS1c,-0.5954554200653254
MATS1d,0.29771181199752655
MATS1i,-0.12399764005637202
MATS1m,0.0025364769014573556
MATS1p,0.011278721013806413
MATS1s,-0.09864372504827267
MATS1v,0.021134069541545997
MATS2Z,-0.041930866491719294
MATS2c,0.1127505576970614
MATS2d,-0.06671410780999815
MATS2i,-0.11541697462295585
MATS2m,-0.04309871645839767
MATS2p,-0.10771590834956157
MATS2s,0.1048417177188727
MATS2v,-0.053276186453368714
MATS3Z,-0.03306819729233967
MATS3c,-0.02917526264258343
MATS3d,-0.0776302349336057
MATS3i,0.05218591367978307
MATS3m,-0.03719088823198109
MATS3p,-0.11097670654063999
MATS3s,-0.1493691413093773
MATS3v,-0.11957851990523491
MATS4Z,-0.04333594306955901
MATS4c,-0.03458376988803064
MATS4d,-0.12037144403215835
MATS4i,-0.12400652852732619
MATS4m,-0.04399126429028953
MATS4p,-0.09307995622534558
MATS4s,0.012423006050328152
MATS4v,-0.07318591129578991
MATS5Z,0.05819806584281884
MATS5c,0.07513727823206942
MATS5d,-0.06813247542730827
MATS5i,-0.014205023724311767
MATS5m,0.059890809773986566
MATS5p,0.08874976767252211
MATS5s,0.005640888671497336
MATS5v,0.06634982808445013
MATS6Z,-0.14492310825949692
MATS6c,0.04050756221672544
MATS6d,-0.021335807050092772
MATS6i,0.05725813661000221
MATS6m,-0.1457332262841214
MATS6p,-0.10310551211752302
MATS6s,-0.11443622343704034
MATS6v,-0.12716224233073734
MATS7Z,-0.08333778898054794
MATS7c,-0.24049473129742932
MATS7d,0.012175324675324652
MATS7i,-0.08971887796624435
MATS7m,-0.08296339332840567
MATS7p,-0.058021136159727565
MATS7s,-0.13150385299327375
MATS7v,-0.07999487156373403
MATS8Z,0.21972627637155598
MATS8c,0.2998191328488186
MATS8d,0.008876837448266006
MATS8i,-0.020874315387733766
MATS8m,0.21927540473962956
MATS8p,0.1177171815210325
MATS8s,0.23618070308069428
MATS8v,0.14471334186220666
MAXaaN,4.465086766187956
MAXsCl,5.456457021021236
MAXsOH,10.34972320738825
MINaaN,4.1806423217435125
MINsCl,5.456457021021236
MINsOH,10.34972320738825
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,2
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,33.58126365248168
SpAD_D,304.62783048585
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.42700075146320726
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,743
TMWC10,128.73823168551317
TSRW10,60.69648941386084
VE1_Dt,5.037743006520746
VE2_Dt,0.19375934640464407
VE3_Dt,2.5724696106445903
VR1_Dt,152.53145128292118
VR2_Dt,5.866594280112353
VR3_Dt,5.982882257731581
Xc-3dv,0.6380947161398927
Xc-4dv,0.0
Xc-5dv,0.07011608476912648
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.24095096150485465
Xch-7d,0.36167670731206064
Xp-0dv,14.86401180738148
Xp-1dv,8.526450058636792
Xp-2dv,5.978341868884902
Xp-3dv,4.056235072516662
Xp-4dv,2.563723478559474
Xp-5dv,1.7435290029233463
Xp-6dv,0.9065698638860669
Xp-7dv,0.5202087461429575
Xpc-4d,3.588798625885816
Xpc-5d,5.377943563208366
Xpc-6d,7.991316888300728
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,45
nFRing,0
nHBAcc,5
nHBDon,2
nHRing,2
nSpiro,0
naRing,3
piPC10,7.613193798097224
AATS0dv,8.409417169107092
AATS0pe,6.428993023255812
AATS0se,7.8388207674418595
AATS1dv,8.301234567901234
AATS1pe,6.590366666666667
AATS1se,7.832870622222218
AATS2dv,6.987823439878234
AATS2pe,6.491031506849316
AATS2se,7.808821068493148
AATS3dv,5.682896379525593
AATS3pe,6.523444943820227
AATS3se,7.887547191011237
AATS4dv,4.8344907407407405
AATS4pe,6.305730208333332
AATS4se,7.730034729166669
AATS5dv,4.7730496453900715
AATS5pe,6.353890425531915
AATS5se,7.798606468085106
AATS6dv,4.2118863049095605
AATS6pe,6.410855813953489
AATS6se,7.8548417209302315
AATS7dv,3.5888888888888886
AATS7pe,6.1570437500000015
AATS7se,7.647656125000003
AATS8dv,4.17094017094017
AATS8pe,6.056489230769231
AATS8se,7.5441363999999975
AATSC0Z,10.620876149269874
AATSC0c,0.02194639299836785
AATSC0d,0.583017847485127
AATSC0i,1.5850039346616527
AATSC0m,49.95931617847485
AATSC0p,0.2405747834912157
AATSC0s,1.4245928853891787
AATSC0v,49.10782120823175
AATSC1Z,0.010131602668109096
AATSC1c,-0.013068098661761842
AATSC1d,0.17357129980169472
AATSC1i,-0.196536747378109
AATSC1m,0.12672065149930622
AATSC1p,0.0027133758659543027
AATSC1s,-0.14052714889205556
AATSC1v,1.0378481084485771
AATSC2Z,-0.44534253984012084
AATSC2c,0.0024744680500048584
AATSC2d,-0.03889551553227582
AATSC2i,-0.18293635890412913
AATSC2m,-2.153182402431527
AATSC2p,-0.02591373132975541
AATSC2s,0.14935676515428664
AATSC2v,-2.616277439008449
AATSC3Z,-0.35121322792156096
AATSC3c,-0.0006402917797847361
AATSC3d,-0.0452598124707555
AATSC3i,0.08271487851636954
AATSC3m,-1.8580313441398628
AATSC3p,-0.026698197148582643
AATSC3s,-0.2127902160060298
AATSC3v,-5.872240575851257
AATSC4Z,-0.4602656841535964
AATSC4c,-0.0007589890053278406
