DLiP-ID,P000CB
ATS1m,6094.626118000003
ATS1p,95.89448953600002
ATS1s,164.3317901234568
ATS1v,13761.879232561121
ATS2Z,2121.0
ATS2d,298.0
ATS2i,12022.927849940272
ATS2m,8108.812675999998
ATS2p,137.17112270394307
ATS2s,330.60493827160474
ATS2v,19498.854359843182
ATS3Z,2429.0
ATS3d,326.0
ATS3i,15264.610437713804
ATS3m,9082.388177000003
ATS3p,154.25444546624504
ATS3s,385.95370370370375
ATS3v,21671.143373339426
ATS4Z,2207.0
ATS4d,298.0
ATS4i,17931.326911913337
ATS4m,7918.612894
ATS4p,144.36749352479197
ATS4s,469.91975308641963
ATS4v,19819.231296642785
ATS5Z,1800.0
ATS5d,268.0
ATS5i,17059.72432181124
ATS5m,6461.405681999997
ATS5p,128.56308714467798
ATS5s,364.1574074074072
ATS5v,17446.250221630497
ATS6Z,1588.0
ATS6d,238.0
ATS6i,14065.283132723762
ATS6m,5797.89221
ATS6p,116.66856913643299
ATS6s,317.4629629629628
ATS6v,16118.323300488166
ATS7Z,1423.0
ATS7d,229.0
ATS7i,12399.254414066289
ATS7m,5162.262155
ATS7p,116.15730105048998
ATS7s,261.1512345679012
ATS7v,15621.530045206517
ATS8Z,1312.0
ATS8d,214.0
ATS8i,12324.052267414785
ATS8m,4690.0596289999985
ATS8p,110.25924846818799
ATS8s,224.24382716049388
ATS8v,14164.056758247481
C1SP1,0
C1SP2,2
C1SP3,2
C2SP1,0
C2SP2,13
C2SP3,0
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.10526315789473684
GGI10,0.1941638608305275
JGI10,0.009708193041526375
JGT10,0.5252235790989243
Kier1,22.68
Kier2,9.871281773931855
Kier3,5.795610425240055
MAXdO,12.398381908952452
MID_C,38.94990438417706
MID_N,9.893358187947296
MID_O,5.242398354885949
MID_X,0.0
MID_h,17.378679106629697
MINdO,12.398381908952452
MPC10,90
MWC01,30.0
MWC02,4.990432586778736
MWC03,5.831882477283517
MWC04,6.70808408385307
MWC05,7.563719668414366
MWC06,8.441822884391462
MWC07,9.301916315463393
MWC08,10.181232919041921
MWC09,11.04351366056162
MWC10,11.923583731923035
NaaCH,9
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,8
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,2
NsNH2,1
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.202440000000002
SRW02,4.110873864173311
SRW03,0.0
SRW04,5.4510384535657
SRW05,0.0
SRW06,6.985641817639208
SRW07,0.0
SRW08,8.603187384583098
SRW09,0.0
SRW10,10.262245325878965
SaaCH,14.003151716279111
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,2.851232429071467
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,3.444419136474581
SsNH2,5.963723612148797
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.4039110577299123
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.762820236250772
VE1_D,5.218084502999757
VE2_A,0.17010072272324187
VE2_D,0.18636016082141987
VE3_A,2.5904593965809
VE3_D,2.6817497982834912
VR1_A,216.0825564994812
VR1_D,169.03883575538163
VR2_A,7.7172341606957575
VR2_D,6.037101276977915
VR3_A,6.405279957859326
VR3_D,6.159747903073983
WPath,2369
Xc-3d,2.582781869665027
Xc-4d,0.2041241452319315
Xc-5d,0.8029917431044522
Xc-6d,0.10206207261596575
Xp-0d,20.31119030894213
Xp-1d,13.275694130382421
Xp-2d,12.542156891169618
Xp-3d,10.411512447079529
Xp-4d,7.698243178738746
Xp-5d,5.796808522210743
Xp-6d,3.7563994266849896
Xp-7d,2.4306055350719897
ZMIC0,90.26245432024375
ZMIC1,49.789522507558814
ZMIC2,32.008348549810215
ZMIC3,27.508853106457735
ZMIC4,26.75452812098504
ZMIC5,26.75452812098504
nAcid,0
nAtom,47
nBase,0
nRing,3
piPC1,3.7612001156935624
piPC2,4.42484663185681
piPC3,4.9469852670198
piPC4,5.45157479039808
piPC5,5.967267905253789
piPC6,6.155388738762221
piPC7,6.443733721413949
piPC8,6.679363605333655
piPC9,7.154713008395602
AATS0Z,29.70212765957447
AATS0d,3.5106382978723403
AATS0i,162.60451346443259
AATS0m,117.80960346808516
AATS0p,1.6558799402581057
AATS0s,5.7144094942065795
AATS0v,236.16878108921438
AATS1Z,32.244897959183675
AATS1d,4.061224489795919
AATS1i,148.02396228854175
AATS1m,124.38012485714292
AATS1p,1.957030398693878
AATS1s,3.353710002519527
AATS1v,280.8546782155331
AATS2Z,26.848101265822784
AATS2d,3.7721518987341773
AATS2i,152.1889601258262
AATS2m,102.64319843037971
AATS2p,1.736343325366368
AATS2s,4.184872636349427
AATS2v,246.82094126383774
AATS3Z,24.785714285714285
AATS3d,3.326530612244898
AATS3i,155.76133099707963
AATS3m,92.67743037755105
AATS3p,1.5740249537371944
AATS3s,3.9383030990173853
AATS3v,221.13411605448394
AATS4Z,20.24770642201835
AATS4d,2.7339449541284404
AATS4i,164.50758634782878
AATS4m,72.64782471559633
AATS4p,1.324472417658642
AATS4s,4.3111903952882535
AATS4v,181.827810060943
AATS5Z,17.475728155339805
AATS5d,2.6019417475728157
AATS5i,165.62839147389556
AATS5m,62.73209399999997
AATS5p,1.2481853120842523
AATS5s,3.5355088097806524
AATS5v,169.38107011291746
AATS6Z,18.46511627906977
AATS6d,2.7674418604651163
AATS6i,163.54980386888096
AATS6m,67.41735127906976
AATS6p,1.3566112690282905
AATS6s,3.6914298018949165
AATS6v,187.42236395916473
AATS7Z,18.0126582278481
AATS7d,2.8987341772151898
AATS7i,156.95258751982644
AATS7m,65.34509056962025
AATS7p,1.4703455829175947
AATS7s,3.305711829973433
AATS7v,197.74088664818376
AATS8Z,16.60759493670886
AATS8d,2.7088607594936707
AATS8i,156.0006616128454
AATS8m,59.36784340506327
AATS8p,1.395686689470734
AATS8s,2.8385294577277707
AATS8v,179.2918576993352
AMID_C,1.3910680137206093
AMID_N,0.35333422099811773
AMID_O,0.18722851267449817
AMID_X,0.0
AMID_h,0.6206671109510606
ATS0dv,408.44444444444446
ATS0pe,303.87269999999984
ATS0se,370.72779699999984
ATS1dv,362.33333333333337
ATS1pe,325.52520000000004
ATS1se,388.83567999999985
ATS2dv,596.6666666666666
ATS2pe,517.6034000000001
ATS2se,622.5981179999998
ATS3dv,558.3333333333333
ATS3pe,644.6828000000003
ATS3se,779.4117719999997
ATS4dv,508.66666666666663
ATS4pe,724.3004000000002
ATS4se,884.621038
ATS5dv,425.3333333333333
ATS5pe,650.5728000000001
ATS5se,806.691812
ATS6dv,404.3333333333333
ATS6pe,543.3535999999999
ATS6se,669.199458
ATS7dv,338.6666666666667
ATS7pe,488.8573
ATS7se,600.731814
ATS8dv,280.66666666666663
ATS8pe,474.67960000000005
ATS8se,589.4271279999999
ATSC0Z,475.48936170212744
ATSC0c,1.02910790592935
ATSC0d,32.2127659574468
ATSC0i,79.53199462825157
ATSC0m,2176.0112096170214
ATSC0p,12.983816288418463
ATSC0s,95.63345664419339
ATSC0v,2289.6324847227283
ATSC1Z,92.36215482118611
ATSC1c,-0.6703954319426776
ATSC1d,11.35264825712992
ATSC1i,3.898702966168995
ATSC1m,397.05189890991494
ATSC1p,-0.012977619884566235
ATSC1s,-27.113442847597515
ATSC1v,166.5643601878946
ATSC2Z,101.26256224535989
ATSC2c,0.2417047707415331
ATSC2d,-6.591670439112724
ATSC2i,-8.381995314539576
ATSC2m,476.1785216224542
ATSC2p,0.6659019072548578
ATSC2s,35.98500309092184
ATSC2v,214.14022143642427
ATSC3Z,-59.46717971933004
ATSC3c,0.0014023581823458912
ATSC3d,-17.3585332729742
ATSC3i,-52.66417120893723
ATSC3m,-281.40334752059687
ATSC3p,-5.6870329557075445
ATSC3s,-4.964963213217409
ATSC3v,-847.6796473679394
ATSC4Z,-278.45405160706196
ATSC4c,0.021594373988046724
ATSC4d,-5.876414667270256
ATSC4i,-12.269760083246675
ATSC4m,-1284.6337075586237
ATSC4p,-3.096595757118938
ATSC4s,-26.94856801518416
ATSC4v,-1048.1349877587609
ATSC5Z,-15.221367134449984
ATSC5c,-0.2936185487219632
ATSC5d,6.001810774105932
ATSC5i,9.504368089500177
ATSC5m,-49.11951503304692
ATSC5p,2.4248745623419916
ATSC5s,-24.703570076833707
ATSC5v,515.3625105896385
ATSC6Z,32.84925305568132
ATSC6c,0.2527279769789453
ATSC6d,3.6106835672249886
ATSC6i,40.10262396566389
ATSC6m,163.16234525396095
ATSC6p,3.7876335235360985
ATSC6s,-0.03039155506125446
ATSC6v,685.2958178595211
ATSC7Z,-25.84382073336352
ATSC7c,-0.08058761427167963
ATSC7d,-3.3150746944318694
ATSC7i,14.121048481670295
ATSC7m,-135.09884386690817
ATSC7p,0.1293145493261507
ATSC7s,3.5640406095279222
ATSC7v,-253.0229245374332
ATSC8Z,4.773200543232247
ATSC8c,-0.06474485544935485
ATSC8d,0.1742870076957902
ATSC8i,-19.727102747484814
ATSC8m,-7.401033271163607
ATSC8p,-3.332140245037914
ATSC8s,3.760420450756067
ATSC8v,-746.5433382549413
AXp-0d,0.7253996538907904
AXp-1d,0.44252313767941404
AXp-2d,0.29167806723650275
AXp-3d,0.1928057860570283
AXp-4d,0.12219433617045629
AXp-5d,0.07729078029614324
AXp-6d,0.050762154414662024
AXp-7d,0.03375841020933319
GATS1Z,0.8400797405054742
GATS1c,1.6206844098573667
GATS1d,0.8742889493974607
GATS1i,1.1447227360317234
GATS1m,0.8264363896989831
GATS1p,1.1545635161498615
GATS1s,0.9235908726517805
GATS1v,0.8665124386077866
GATS2Z,0.7751640902366029
GATS2c,0.65679064838802
GATS2d,1.3376252027490265
GATS2i,1.1491842782184127
GATS2m,0.7662744060593856
GATS2p,0.9861100381981556
GATS2s,0.5723809623482501
GATS2v,0.8921126867586227
GATS3Z,1.067128319020467
GATS3c,0.9974913430249939
GATS3d,1.406148060280916
GATS3i,1.4055556776922418
GATS3m,1.056414431543944
GATS3p,1.2485678657140564
GATS3s,0.9559406144643723
GATS3v,1.1044355586935275
GATS4Z,1.3242175889967378
GATS4c,1.3448624301332228
GATS4d,1.07427920448899
GATS4i,1.0998354836357476
GATS4m,1.3154503982023493
GATS4p,1.083771541567445
GATS4s,1.4451831634394772
GATS4v,1.0926859604974668
GATS5Z,1.0265969370643715
GATS5c,1.1203633115256368
GATS5d,0.8526439317182032
GATS5i,0.8950728834846857
GATS5m,1.0243163576394292
GATS5p,0.863273850068991
GATS5s,1.2502315263479589
GATS5v,0.8715771755762168
GATS6Z,0.8290601937221377
GATS6c,0.6542515962043876
GATS6d,0.7970262050321038
GATS6i,0.705255070877173
GATS6m,0.8380597291474647
GATS6p,0.7159923396392547
GATS6s,0.9277666734639485
GATS6v,0.8025710177486122
GATS7Z,0.7647550937642316
GATS7c,0.6839178451237329
GATS7d,0.8947628045415785
GATS7i,0.8660396553367944
GATS7m,0.7894196095947278
GATS7p,0.854731453397275
GATS7s,0.5998918493350833
GATS7v,1.0616181893783054
GATS8Z,0.8284336604187392
GATS8c,0.6588114180411285
GATS8d,0.8495727639081654
GATS8i,1.0743944802949397
GATS8m,0.8501470638611268
GATS8p,1.1024497743451775
GATS8s,0.48971388549857764
GATS8v,1.2459064310386854
MATS1Z,0.18631809265678725
MATS1c,-0.6248444399104828
MATS1d,0.3380422182082873
MATS1i,0.04701972143834042
MATS1m,0.17502009974545912
MATS1p,-0.0009587259121088407
MATS1s,-0.27194219077241677
MATS1v,0.06977792983813752
MATS2Z,0.12670065907973532
MATS2c,0.13973174240756844
MATS2d,-0.12174138421149451
MATS2i,-0.06270126543949488
MATS2m,0.13019054370317562
MATS2p,0.030512561201261768
MATS2s,0.22386307113115508
MATS2v,0.055642064578555486
MATS3Z,-0.05998025664534658
MATS3c,0.0006535364586708025
MATS3d,-0.25843824980454544
MATS3i,-0.317574162678332
MATS3m,-0.0620211640933813
MATS3p,-0.21006570951187903
MATS3s,-0.02489877403058088
MATS3v,-0.17755698425681588
MATS4Z,-0.2525132064441865
MATS4c,0.009047968166582841
MATS4d,-0.07866033231127216
MATS4i,-0.06652203958093111
MATS4m,-0.25455963817966437
MATS4p,-0.10283797409798526
MATS4s,-0.12150585316313348
MATS4v,-0.19738893337829844
MATS5Z,-0.014607419095299261
MATS5c,-0.13019167255635056
MATS5d,0.08501878903694969
MATS5i,0.0545308172197976
MATS5m,-0.010300387786545066
MATS5p,0.0852211811177789
MATS5s,-0.11787195868631668
MATS5v,0.10270880546228914
MATS6Z,0.037755836847166
MATS6c,0.13421214366405074
MATS6d,0.061257718656876924
MATS6i,0.27556897584750195
MATS6m,0.04097870384296244
MATS6p,0.15942814630773655
MATS6s,-0.0001736770667293366
MATS6v,0.16357303432546472
MATS7Z,-0.03233602871041049
MATS7c,-0.04658843813510157
MATS7d,-0.06122602545022827
MATS7i,0.10563208113434991
MATS7m,-0.03693697035467847
MATS7p,0.005925374379529491
MATS7s,0.022171932970775673
MATS7v,-0.06574532244586585
MATS8Z,0.0059722728848389224
MATS8c,-0.037429594112309915
MATS8d,0.003218902061769482
MATS8i,-0.14756800252281907
MATS8m,-0.002023494344631622
MATS8p,-0.1526833487788678
MATS8s,0.02339361396534176
MATS8v,-0.1939813658509938
MAXaaN,3.9451163829741502
MAXdsN,4.112208226661239
MAXsOH,9.88979467436987
MINaaN,3.9451163829741502
MINdsN,4.092157760869882
MINsOH,9.88979467436987
NddssS,1
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,-3.75247881448391
SdssSe,0
SdsssP,0
SpAD_A,35.5761914990098
SpAD_D,349.3705261776272
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,685
TMWC10,133.9861883277111
TSRW10,63.41298684584028
VE1_Dt,5.215867217727035
VE2_Dt,0.18628097206167982
VE3_Dt,2.6813247847573707
VR1_Dt,169.76234803963956
VR2_Dt,6.062941001415699
VR3_Dt,6.164018923475915
Xc-3dv,1.2592913849710412
Xc-4dv,0.05103103630798288
Xc-5dv,0.23229802677931427
Xc-6dv,0.017010345435994292
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.23075632711195052
Xch-7d,0.3862797150198339
Xp-0dv,16.103598526215407
Xp-1dv,9.803438695563836
Xp-2dv,7.7966527649877895
Xp-3dv,5.4565995754124685
Xp-4dv,3.4809389445815615
Xp-5dv,2.219656935531821
Xp-6dv,1.2783877803181092
Xp-7dv,0.6765301850808457
Xpc-4d,5.643815084350051
Xpc-5d,7.888522082310678
Xpc-6d,10.90249572517963
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,49
nFRing,0
nHBAcc,7
nHBDon,3
nHRing,1
nSpiro,0
naRing,3
piPC10,7.565178126920472
AATS0dv,8.6903073286052
AATS0pe,6.465376595744678
AATS0se,7.8878254680851025
AATS1dv,7.394557823129253
AATS1pe,6.643371428571429
AATS1se,7.935422040816324
AATS2dv,7.552742616033755
AATS2pe,6.5519417721519
AATS2se,7.880988835443035
AATS3dv,5.697278911564625
AATS3pe,6.57839591836735
AATS3se,7.953181346938773
AATS4dv,4.666666666666666
AATS4pe,6.644957798165139
AATS4se,8.115789339449542
AATS5dv,4.1294498381877025
AATS5pe,6.316240776699031
AATS5se,7.831959339805826
AATS6dv,4.701550387596899
AATS6pe,6.318065116279069
AATS6se,7.781389046511628
AATS7dv,4.286919831223629
AATS7pe,6.188067088607595
AATS7se,7.60420017721519
AATS8dv,3.552742616033755
AATS8pe,6.00860253164557
AATS8se,7.461102886075948
AATSC0Z,10.1167949298325
AATSC0c,0.02189591289211383
AATSC0d,0.6853779990946127
AATSC0i,1.6921700984734376
AATSC0m,46.29811084291535
AATSC0p,0.2762514103918822
AATSC0s,2.0347543966849657
AATSC0v,48.71558478133465
AATSC1Z,1.884941935126247
AATSC1c,-0.013681539427401584
AATSC1d,0.2316866991251004
AATSC1i,0.07956536665651011
AATSC1m,8.103099977753367
AATSC1p,-0.00026484938539931093
AATSC1s,-0.5533355683183167
AATSC1v,3.3992726568958083
AATSC2Z,1.2818045853843023
AATSC2c,0.0030595540600194065
AATSC2d,-0.08343886631788258
AATSC2i,-0.1061012065131592
AATSC2m,6.02757622306904
AATSC2p,0.008429138066517187
AATSC2s,0.455506368239517
AATSC2v,2.710635714385117
AATSC3Z,-0.6068079563196943
AATSC3c,1.430977737087644e-05
AATSC3d,-0.17712789054055306
AATSC3i,-0.5373895021320125
AATSC3m,-2.871462729802009
AATSC3p,-0.058030948527628
AATSC3s,-0.050662889930789885
AATSC3v,-8.649792320081014
AATSC4Z,-2.554624326670293
AATSC4c,0.00019811352282611674
AATSC4d,-0.05391206116761703
