DLiP-ID,I000MQ
JGI5,0.014587301587301588
JGI6,0.010708283313325328
JGI7,0.009574663198612778
JGI8,0.006818960222978079
JGI9,0.004185405643738977
MIC0,10.617874471461246
MIC1,27.000862542231776
MIC2,36.06133837290854
MIC3,40.07998164727808
MIC4,41.412371458859774
MIC5,41.97737001968685
MPC2,45
MPC3,62
MPC4,83
MPC5,103
MPC6,104
MPC7,120
MPC8,137
MPC9,148
Mare,0.9661176470588236
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.19742262741328076
RPCG,0.08556967471900452
SIC0,0.2319089348964823
SIC1,0.5536277239309425
SIC2,0.7562016495486658
SIC3,0.9022976883179051
SIC4,0.9559102467995054
SIC5,0.9792598312483667
SaaN,4.084920206261898
SaaO,0
SaaS,0
Sare,49.272000000000006
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,67.08979208615762
TIC1,160.16100849343772
TIC2,218.76436742756547
TIC3,261.0290299340559
TIC4,276.5388049383828
TIC5,283.29369244054624
Vabc,337.02332982344353
WPol,45
apol,60.81944599999999
bpol,24.920553999999992
nRot,6
ABCGG,16.578842926985235
ATS0Z,1118.0
ATS0d,178.0
ATS0i,8083.0074980234795
ATS0m,4413.740629000001
ATS0p,84.34398390667799
ATS0s,136.47222222222223
ATS0v,12245.021614100444
ATS1Z,1371.0
ATS1d,229.0
ATS1i,7981.3773098540005
ATS1m,5224.8994809999995
ATS1p,107.77625879
ATS1s,165.5555555555556
ATS1v,15596.899828531406
ATS2Z,1963.0
ATS2d,357.0
ATS2i,13477.933982613098
ATS2m,7324.376756999998
ATS2p,162.06251539969801
ATS2s,252.36111111111114
ATS2v,22799.908733127744
ATS3Z,2077.0
ATS3d,399.0
ATS3i,18578.557627559683
ATS3m,7552.2298009999995
ATS3p,182.51807267758397
ATS3s,296.63888888888897
ATS3v,24742.542114221695
ATS4Z,1922.0
ATS4d,377.0
ATS4i,19335.59424283074
ATS4m,6800.829006999999
ATS4p,178.48577517273495
ATS4s,296.1388888888889
ATS4v,23532.006131224774
ATS5Z,1757.0
ATS5d,357.0
ATS5i,20042.037864589784
ATS5m,6138.753102999999
ATS5p,172.665274706376
ATS5s,285.1666666666667
ATS5v,22248.319307393413
ATS6Z,1661.0
ATS6d,340.0
ATS6i,19245.733096346776
ATS6m,5841.756654
ATS6p,164.76061586577202
ATS6s,268.9166666666667
ATS6v,21242.17775116419
ATS7Z,1622.0
ATS7d,324.0
ATS7i,17820.525837512527
ATS7m,5787.807862
ATS7p,154.263992500923
ATS7s,258.25
ATS7v,20143.728917474353
ATS8Z,1523.0
ATS8d,297.0
ATS8i,15978.496770415628
ATS8m,5450.790788
ATS8p,140.42412180182902
ATS8s,241.0555555555556
ATS8v,18567.93485749835
C1SP1,0
C1SP2,3
C1SP3,1
C2SP1,0
C2SP2,16
C2SP3,1
C3SP2,4
C3SP3,0
C4SP3,0
FCSP3,0.08
GGI10,0.08999285787164576
JGI10,0.00409058444871117
JGT10,0.2842902869064231
Kier1,20.877869605142333
Kier2,10.08
Kier3,4.924037460978147
MID_C,52.810887128140315
MID_N,8.206892999029927
MID_O,0.0
MID_X,0.0
MID_h,8.206892999029927
MPC10,158
MWC01,33.0
MWC02,5.056245805348308
MWC03,5.916202062607435
MWC04,6.790097235513905
MWC05,7.664346632098617
MWC06,8.545002892055505
MWC07,9.424564261115739
MWC08,10.308118979895715
MWC09,11.19041727563301
MWC10,12.07558233839988
NaaCH,15
NaaNH,1
NaaSe,0
NaaaC,4
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,2
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,6.1143000000000045
SRW02,4.204692619390966
SRW03,0.0
SRW04,5.5093883366279774
SRW05,2.3978952727983707
SRW06,7.023758954738443
SRW07,4.727387818712341
SRW08,8.634620608292202
SRW09,6.823286122355687
SRW10,10.29610379977538
SaaCH,30.891586404120037
SaaNH,3.35659753511721
SaaSe,0
SaaaC,4.905032610739994
SaasC,4.618773898163572
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,7.130858348846992
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.5918667277080445
VE1_D,5.304319522005305
VE2_A,0.15834023198993258
VE2_D,0.18290756972432087
VE3_A,2.588997372876864
VE3_D,2.7332322297669056
VR1_A,281.9159915098265
VR1_D,188.25862685145066
VR2_A,9.72124108654574
VR2_D,6.491676787981057
VR3_A,6.7063198611013695
VR3_D,6.302527429190557
WPath,2497
Xc-3d,1.2790391023624612
Xc-4d,0.0
Xc-5d,0.32772108253146426
Xc-6d,0.0
Xp-0d,19.468044558434507
Xp-1d,14.382142733160752
Xp-2d,12.426138857170006
Xp-3d,10.986380268885306
Xp-4d,9.575394203889532
Xp-5d,7.889068327405011
Xp-6d,5.170349162043224
Xp-7d,3.9335671289014744
ZMIC0,95.20656708102845
ZMIC1,64.39380758324155
ZMIC2,37.85954260501658
ZMIC3,27.205335182984506
ZMIC4,23.928600276374993
ZMIC5,22.676855302865253
nAcid,0
nAtom,51
nBase,0
nRing,5
piPC1,3.8607297110405954
piPC2,4.513602992462601
piPC3,5.182485551022915
piPC4,5.820268373097446
piPC5,6.3614104164796785
piPC6,6.590923279021478
piPC7,7.002091973739978
piPC8,7.4066134842532945
piPC9,7.67269791054836
AATS0Z,21.92156862745098
AATS0d,3.4901960784313726
AATS0i,158.4903430984996
AATS0m,86.5439339019608
AATS0p,1.653803606013294
AATS0s,2.675925925925926
AATS0v,240.09846302157734
AATS1Z,24.927272727272726
AATS1d,4.163636363636364
AATS1i,145.11595108825455
AATS1m,94.99817238181818
AATS1p,1.9595683416363636
AATS1s,3.010101010101011
AATS1v,283.5799968823892
AATS2Z,21.571428571428573
AATS2d,3.923076923076923
AATS2i,148.1091646441
AATS2m,80.48765667032966
AATS2p,1.780906762634044
AATS2s,2.7731990231990236
AATS2v,250.5484476167884
AATS3Z,17.308333333333334
AATS3d,3.325
AATS3i,154.82131356299735
AATS3m,62.935248341666664
AATS3p,1.5209839389798665
AATS3s,2.4719907407407415
AATS3v,206.18785095184745
AATS4Z,15.5
AATS4d,3.0403225806451615
AATS4i,155.93221163573176
AATS4m,54.84539521774193
AATS4p,1.4394014126833463
AATS4s,2.3882168458781363
AATS4v,189.77424299374817
AATS5Z,13.834645669291339
AATS5d,2.811023622047244
AATS5i,157.81132176842348
AATS5m,48.3366386062992
AATS5p,1.3595690921761892
AATS5s,2.245406824146982
AATS5v,175.1836165936489
AATS6Z,13.614754098360656
AATS6d,2.7868852459016393
AATS6i,157.75191062579324
AATS6m,47.88325126229508
AATS6p,1.3504968513587872
AATS6s,2.204234972677596
AATS6v,174.1162110751163
AATS7Z,14.353982300884956
AATS7d,2.8672566371681416
AATS7i,157.70376847356218
AATS7m,51.219538601769905
AATS7p,1.365168075229407
AATS7s,2.2853982300884956
AATS7v,178.26308776525977
AATS8Z,15.07920792079208
AATS8d,2.9405940594059405
AATS8i,158.2029383209468
AATS8m,53.96822562376238
AATS8p,1.3903378396220696
AATS8s,2.386688668866887
AATS8v,183.84093918315196
AMID_C,1.821065073384149
AMID_N,0.2829963103113768
AMID_O,0.0
AMID_X,0.0
AMID_h,0.2829963103113768
ATS0dv,344.0
ATS0pe,306.0089
ATS0se,377.1256519999999
ATS1dv,395.0
ATS1pe,351.23249999999996
ATS1se,418.75024399999995
ATS2dv,538.0
ATS2pe,569.5165
ATS2se,686.504532
ATS3dv,506.0
ATS3pe,726.988
ATS3se,893.20258
ATS4dv,420.0
ATS4pe,744.9116
ATS4se,919.6666839999998
ATS5dv,378.0
ATS5pe,746.6551999999999
ATS5se,931.0843960000001
ATS6dv,380.0
ATS6pe,709.4975000000002
ATS6se,888.292424
ATS7dv,397.0
ATS7pe,660.1205
ATS7se,824.7708879999999
ATS8dv,374.0
ATS8pe,598.8695
ATS8se,744.3921919999998
ATSC0Z,333.68627450980387
ATSC0c,0.6697896740865694
ATSC0d,26.156862745098042
ATSC0i,81.48271718729528
ATSC0m,1604.9886007450975
ATSC0p,11.814473872424742
ATSC0s,14.615468409586056
ATSC0v,2649.8446790820203
ATSC1Z,16.82852748942717
ATSC1c,-0.2842379400698068
ATSC1d,9.693579392541325
ATSC1i,0.3703850588418185
ATSC1m,82.5099644121492
ATSC1p,0.7222904624904501
ATSC1s,-0.5874877183989121
ATSC1v,173.32105558222065
ATSC2Z,-45.38139177239519
ATSC2c,-0.03678086771272
ATSC2d,-1.868127643214153
ATSC2i,-17.524086361112158
ATSC2m,-218.96741630988075
ATSC2p,-2.0010309168411737
ATSC2s,-1.9200841556666304
ATSC2v,-413.7530307009861
ATSC3Z,-26.575547866205298
ATSC3c,-0.051546761634950415
ATSC3d,-11.565167243367938
ATSC3i,-11.868918671827313
ATSC3m,-126.73936077277963
ATSC3p,-0.970122404520067
ATSC3s,-0.6758298090478044
ATSC3v,-195.93714816543826
ATSC4Z,-131.8254517493272
ATSC4c,-0.011900360181092674
ATSC4d,-14.753940792003077
ATSC4i,-19.18645341316986
ATSC4m,-636.0350980272971
ATSC4p,-4.478877022174733
ATSC4s,-3.4691998803878863
ATSC4v,-1059.8893078020988
ATSC5Z,-62.454056132256824
ATSC5c,0.1786633774784091
ATSC5d,-3.3906189926951167
ATSC5i,7.114659397771109
ATSC5m,-301.97304518877354
ATSC5p,-1.5593530235158557
ATSC5s,-1.863247041736082
ATSC5v,-453.22952241767524
ATSC6Z,15.632833525567083
ATSC6c,-0.22831257811487707
ATSC6d,4.409073433294888
ATSC6i,0.8020233244982115
ATSC6m,76.26832708035363
ATSC6p,0.6216520799729631
ATSC6s,0.08216925114272727
ATSC6v,149.4175756941275
ATSC7Z,65.67550941945403
ATSC7c,0.09175190208577581
ATSC7d,4.75048058439062
ATSC7i,-4.798399880014789
ATSC7m,314.54679425105724
ATSC7p,1.2097741429377025
ATSC7s,3.206031868084927
ATSC7v,380.6548101532378
ATSC8Z,21.346789696270662
ATSC8c,-0.06794357547196296
ATSC8d,0.6893502499038833
ATSC8i,1.0601520676138738
ATSC8m,104.98154128911959
ATSC8p,0.9985039245458383
ATSC8s,0.3628305352642149
ATSC8v,233.92714756645114
AXp-0d,0.6713118813253278
AXp-1d,0.4358225070654773
AXp-2d,0.27613641904822234
AXp-3d,0.17719968175621462
AXp-4d,0.11536619522758472
AXp-5d,0.07659289638257293
AXp-6d,0.04971489578887715
AXp-7d,0.03277972607417896
GATS1Z,0.8050566779559613
GATS1c,1.4884167452287997
GATS1d,0.6255962927627094
GATS1i,1.072396037418683
GATS1m,0.8040409136301667
GATS1p,0.8573561612687329
GATS1s,0.926961724271108
GATS1v,0.8194820038573227
GATS2Z,0.960795873535326
GATS2c,1.0697898148661331
GATS2d,1.2078438802576732
GATS2i,1.1672402503411374
GATS2m,0.9609894256634239
GATS2p,1.0251833896785532
GATS2s,0.9612517988086298
GATS2v,0.9932181473945053
GATS3Z,0.9908258902338701
GATS3c,1.148527620380116
GATS3d,1.3460457271364317
GATS3i,1.0752681132230317
GATS3m,0.9898640743538331
GATS3p,0.9916143535977776
GATS3s,0.9340528806737722
GATS3v,0.9814329045361304
GATS4Z,1.129852073136982
GATS4c,1.1790069770624578
GATS4d,1.256377859457368
GATS4i,1.0984591551159812
GATS4m,1.1297362809809472
GATS4p,1.1179415435477555
GATS4s,0.9997171979698363
GATS4v,1.1230423611160627
GATS5Z,1.0642275015893317
GATS5c,0.9095904448831377
GATS5d,1.0084524666800456
GATS5i,0.9277262410153241
GATS5m,1.065033273747847
GATS5p,1.044570651264834
GATS5s,0.9652520982018935
GATS5v,1.0631108225912385
GATS6Z,0.9727405312407885
GATS6c,0.9857245006182397
GATS6d,0.8852643350455919
GATS6i,0.9327606981649147
GATS6m,0.9738086368649769
GATS6p,0.9874048756355341
GATS6s,0.8984885214133772
GATS6v,0.9905223367243389
GATS7Z,0.9043521851407724
GATS7c,0.762026678487241
GATS7d,0.9134813124411245
GATS7i,0.9714369711795843
GATS7m,0.9057529347705995
GATS7p,0.9581089995082868
GATS7s,0.8544172925511884
GATS7v,0.9440033247048794
GATS8Z,0.9621001176389823
GATS8c,1.059679406411948
GATS8d,0.9841613846542074
GATS8i,0.9785833835613839
GATS8m,0.9608483331696266
GATS8p,0.936140240646842
GATS8s,1.016618860216498
GATS8v,0.9371102118557925
MATS1Z,0.04676438850842432
MATS1c,-0.3935057527459675
MATS1d,0.3436418154559082
MATS1i,0.004214979268105123
MATS1m,0.04766964680752918
MATS1p,0.0566898072879771
MATS1s,-0.03727293054266334
MATS1v,0.06065105972897632
MATS2Z,-0.07621987837054232
MATS2c,-0.030776009441492464
MATS2d,-0.04002668995172752
MATS2i,-0.12053097388433565
MATS2m,-0.07646035771863138
MATS2p,-0.0949222876592029
MATS2s,-0.07362686504819645
MATS2v,-0.08750836171157303
MATS3Z,-0.033847984487013746
MATS3c,-0.03270784030036036
MATS3d,-0.18791229385307348
MATS3i,-0.06190626196143972
MATS3m,-0.03356050522939882
MATS3p,-0.034898043397713296
MATS3s,-0.019652306774987024
MATS3v,-0.031425724167032855
MATS4Z,-0.16248355631039624
MATS4c,-0.007307522297029116
MATS4d,-0.23199085940900516
MATS4i,-0.09684510882648305
MATS4m,-0.162988746785377
MATS4p,-0.15592050861857112
MATS4s,-0.09762590550745688
MATS4v,-0.16450859129476128
MATS5Z,-0.07516034435053946
MATS5c,0.10711826923695268
MATS5d,-0.052054681320756926
MATS5i,0.03506348396027595
MATS5m,-0.07555490806718075
MATS5p,-0.05300251963997155
MATS5s,-0.05119460033956211
MATS5v,-0.06868536774371234
MATS6Z,0.01958437450028802
MATS6c,-0.14249569230889889
MATS6d,0.07046476761619193
MATS6i,0.0041146399759387576
MATS6m,0.01986472757854762
MATS6p,0.021995981731412723
MATS6s,0.0023502114396100164
MATS6v,0.023571738400415106
MATS7Z,0.08882942267271404
MATS7c,0.0618256030228644
MATS7d,0.08196786562470977
MATS7i,-0.026578022654688456
MATS7m,0.08845146771724076
MATS7p,0.04621486027205652
MATS7s,0.09900265216298705
MATS7v,0.06483397307054688
MATS8Z,0.0323030128844357
MATS8c,-0.051222261849272435
MATS8d,0.013307702584351391
MATS8i,0.006569789641880636
MATS8m,0.03302857180442993
MATS8p,0.04267604774048361
MATS8s,0.012535448968613052
MATS8v,0.04457681233230572
MAXaaN,4.084920206261898
MINaaN,4.084920206261898
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,2
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,39.65240932223851
SpAD_D,356.564067963832
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.8455643300836302
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1022
TMWC10,138.9705774826681
TSRW10,78.61713353269137
VE1_Dt,5.3237954368433495
VE2_Dt,0.18357915299459826
VE3_Dt,2.73689721395529
VR1_Dt,185.72674353218477
VR2_Dt,6.404370466627061
VR3_Dt,6.288987209694861
Xc-3dv,0.6184081078415185
Xc-4dv,0.0
Xc-5dv,0.1127961158827728
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.5284084400701196
Xch-7d,0.7212418909034788
Xp-0dv,16.021681195717445
Xp-1dv,9.860255906629
Xp-2dv,7.103430134300577
Xp-3dv,5.268108518249095
Xp-4dv,3.8232655300673675
Xp-5dv,2.6232589999604494
Xp-6dv,1.4601559002823072
Xp-7dv,0.9320392046712538
Xpc-4d,3.5920743448004613
Xpc-5d,6.288782512979149
Xpc-6d,9.546723088524363
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,4
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,55
nFRing,2
nHBAcc,3
nHBDon,3
nHRing,2
nSpiro,0
naRing,5
piPC10,7.878708778437865
AATS0dv,6.745098039215686
AATS0pe,6.000174509803921
AATS0se,7.394620627450978
AATS1dv,7.181818181818182
AATS1pe,6.386045454545454
AATS1se,7.613640799999999
AATS2dv,5.912087912087912
AATS2pe,6.258423076923076
AATS2se,7.544005846153847
AATS3dv,4.216666666666667
AATS3pe,6.058233333333334
AATS3se,7.443354833333333
AATS4dv,3.3870967741935485
AATS4pe,6.007351612903226
AATS4se,7.4166668064516115
AATS5dv,2.9763779527559056
AATS5pe,5.879174803149605
AATS5se,7.331373196850395
AATS6dv,3.1147540983606556
AATS6pe,5.815553278688526
AATS6se,7.281085442622951
AATS7dv,3.5132743362831858
AATS7pe,5.841774336283186
AATS7se,7.298857415929203
AATS8dv,3.702970297029703
AATS8pe,5.92940099009901
AATS8se,7.370219722772275
AATSC0Z,6.542868127643213
AATSC0c,0.013133130864442538
AATSC0d,0.5128796616685891
AATSC0i,1.5977003370057898
AATSC0m,31.470364720492107
AATSC0p,0.23165635043970081
AATSC0s,0.28657781195266774
AATSC0v,51.95773880552981
AATSC1Z,0.305973227080494
AATSC1c,-0.00516796254672376
AATSC1d,0.1762468980462059
AATSC1i,0.0067342737971239726
AATSC1m,1.5001811711299855
AATSC1p,0.01313255386346273
AATSC1s,-0.01068159487998022
AATSC1v,3.1512919196767393
AATSC2Z,-0.4986966128834636
AATSC2c,-0.0004041853594804396
AATSC2d,-0.020528875200155526
AATSC2i,-0.1925723775946391
AATSC2m,-2.4062353440646236
AATSC2p,-0.021989350734518392
AATSC2s,-0.02109982588644649
AATSC2v,-4.546736601109737
AATSC3Z,-0.22146289888504414
AATSC3c,-0.0004295563469579201
AATSC3d,-0.09637639369473282
AATSC3i,-0.09890765559856093
AATSC3m,-1.0561613397731635
AATSC3p,-0.008084353371000559
AATSC3s,-0.00563191507539837
AATSC3v,-1.6328095680453187
AATSC4Z,-1.0631084818494128
AATSC4c,-9.597064662171512e-05
AATSC4d,-0.11898339348389578
AATSC4i,-0.15472946300943435
AATSC4m,-5.12931530667175
AATSC4p,-0.036119975985280106
AATSC4s,-0.02797741839022489
AATSC4v,-8.54749441775886
AATSC5Z,-0.49176422151383326
AATSC5c,0.001406798247861489
AATSC5d,-0.026697787344056038
AATSC5i,0.05602094013992999
AATSC5m,-2.3777405132974296
AATSC5p,-0.012278370263904376
AATSC5s,-0.014671236549103009
AATSC5v,-3.5687363969895687
