DLiP-ID,T005VL
ATS5pe,1236.1331000000005
ATS5se,1543.59366
ATS6dv,641.0
ATS6pe,1163.8181000000002
ATS6se,1452.2209800000003
ATS7dv,656.0
ATS7pe,1054.3564999999999
ATS7se,1302.6495040000002
ATS8dv,509.0
ATS8pe,1011.7760000000001
ATS8se,1246.1613959999997
ATSC0Z,507.7777777777777
ATSC0c,0.8746022270212914
ATSC0d,41.65277777777777
ATSC0i,106.19292956267287
ATSC0m,2427.814950652778
ATSC0p,16.212399562936874
ATSC0s,54.00887345679013
ATSC0v,3658.3845558845383
ATSC1Z,40.92592592592598
ATSC1c,-0.3574342982061026
ATSC1d,18.72280092592592
ATSC1i,-20.35229958161136
ATSC1m,188.69639170891162
ATSC1p,-1.4824790623968265
ATSC1s,1.3923771862139929
ATSC1v,-107.34127374440325
ATSC2Z,105.86419753086422
ATSC2c,-0.3354774347830111
ATSC2d,0.41975308641975506
ATSC2i,-0.6027386560432653
ATSC2m,503.4965491558637
ATSC2p,1.9784548802151254
ATSC2s,10.575060013717422
ATSC2v,588.8110070428658
ATSC3Z,-11.888888888888854
ATSC3c,0.2690855123806799
ATSC3d,1.868055555555556
ATSC3i,-12.481586463089076
ATSC3m,-77.9024316180559
ATSC3p,-4.412716717131562
ATSC3s,15.065007716049386
ATSC3v,-778.2580310128465
ATSC4Z,169.41975308641975
ATSC4c,0.21538109282993004
ATSC4d,9.157600308641973
ATSC4i,-9.813634424596057
ATSC4m,801.6646209909333
ATSC4p,1.4784758768635153
ATSC4s,9.44200638717421
ATSC4v,668.6588656474073
ATSC5Z,40.185185185185226
ATSC5c,-0.354650150167253
ATSC5d,8.206018518518517
ATSC5i,22.40809022056596
ATSC5m,207.21198680324062
ATSC5p,3.9398990127190623
ATSC5s,-12.360789609053498
ATSC5v,838.5952768143014
ATSC6Z,41.148148148148174
ATSC6c,-0.20202158823105335
ATSC6d,0.8981481481481499
ATSC6i,0.04135863165317344
ATSC6m,206.49064584259241
ATSC6p,1.7475049318557505
ATSC6s,-5.106224279835392
ATSC6v,489.414969310122
ATSC7Z,44.38271604938275
ATSC7c,0.689784685920123
ATSC7d,-3.587770061728392
ATSC7i,7.240748542422385
ATSC7m,211.2505685094517
ATSC7p,1.9096752869245153
ATSC7s,8.98071523491083
ATSC7v,314.338713310233
ATSC8Z,-128.77777777777774
ATSC8c,-0.15022930133626153
ATSC8d,-13.85763888888889
ATSC8i,-8.147514776261517
ATSC8m,-603.3433088437505
ATSC8p,-1.458646682110844
ATSC8s,-15.8251350308642
ATSC8v,-441.737875753627
AXp-0d,0.7128291002984805
AXp-1d,0.4434362012091599
AXp-2d,0.28800812954779553
AXp-3d,0.18253985301822998
AXp-4d,0.11546370016706065
AXp-5d,0.07289862972093018
AXp-6d,0.045879228432208256
AXp-7d,0.029386314138347948
GATS1Z,0.8827614879649892
GATS1c,1.5125113049403607
GATS1d,0.8068289429809938
GATS1i,1.4536597190683493
GATS1m,0.8903936152899289
GATS1p,1.248030310181724
GATS1s,0.614453214849526
GATS1v,1.1231963095423836
GATS2Z,0.8805887179817223
GATS2c,1.4426755944283096
GATS2d,1.3598944746287982
GATS2i,1.1471537017582654
GATS2m,0.8820891959282217
GATS2p,0.9746336305532305
GATS2s,0.5788960382747295
GATS2v,0.9308937126679454
GATS3Z,0.9865426695842452
GATS3c,0.9370408814097615
GATS3d,1.1079693231077028
GATS3i,1.1359193572568023
GATS3m,0.9916653568582989
GATS3p,1.1350321826598369
GATS3s,0.7212035059396675
GATS3v,1.0964088663340519
GATS4Z,0.8959750526878361
GATS4c,1.015840235327674
GATS4d,0.9858216947892002
GATS4i,1.006746319625434
GATS4m,0.8951355142075931
GATS4p,0.934427257662387
GATS4s,1.1952886898884578
GATS4v,0.9079781998043255
GATS5Z,1.0058485648088558
GATS5c,1.473249927530697
GATS5d,0.9191299060471139
GATS5i,0.9492922406470874
GATS5m,0.9992990780891324
GATS5p,0.8496922946037319
GATS5s,1.2927604169511735
GATS5v,0.8618546307959224
GATS6Z,1.0013505196936543
GATS6c,1.497907153255078
GATS6d,1.0831110370123376
GATS6i,1.0114941969050242
GATS6m,0.9955646941854174
GATS6p,0.9201201776352994
GATS6s,1.3916260688187099
GATS6v,0.9079611119623178
GATS7Z,1.02634819312988
GATS7c,1.0349059167522963
GATS7d,1.1397408603656842
GATS7i,1.0277776887280774
GATS7m,1.0193995506941185
GATS7p,0.906981872655457
GATS7s,1.9871314635230775
GATS7v,0.9097601428339447
GATS8Z,1.160892292730367
GATS8c,1.302104573600886
GATS8d,1.2415990515356974
GATS8i,1.141321916198611
GATS8m,1.153301826791934
GATS8p,1.0042224890662914
GATS8s,1.790103967001053
GATS8v,1.0072395897466573
MATS1Z,0.07737417943107232
MATS1c,-0.3923348416874145
MATS1d,0.43151717239079684
MATS1i,-0.18398783872720884
MATS1m,0.07461381518877659
MATS1p,-0.08778342122497904
MATS1s,0.024749305312484392
MATS1v,-0.02816752072410602
MATS2Z,0.11037456558115591
MATS2c,-0.20307025900490056
MATS2d,0.005335111703901326
MATS2i,-0.003004879297203987
MATS2m,0.1097929628204396
MATS2p,0.0646059385262224
MATS2s,0.1036600252033009
MATS2v,0.085207957106478
MATS3Z,-0.009365426695842423
MATS3c,0.12306646567646082
MATS3d,0.01793931310436813
MATS3i,-0.04701475517999606
MATS3m,-0.01283498671875464
MATS3p,-0.10887263665076359
MATS3s,0.11157431549171021
MATS3v,-0.08509308074363178
MATS4Z,0.11070394982302939
MATS4c,0.08170897451359006
MATS4d,0.07294751092145922
MATS4i,-0.030662462943789524
MATS4m,0.10955946399006569
MATS4p,0.030257964349277196
MATS4s,0.05800586851419381
MATS4v,0.060644024543180144
MATS5Z,0.027931522718496624
MATS5c,-0.14311722217059242
MATS5d,0.06953298158209599
MATS5i,0.07447518170442845
MATS5m,0.030123235867494744
MATS5p,0.08577093028864856
MATS5s,-0.08077620115915014
MATS5v,0.08090314155340518
MATS6Z,0.030388402625820588
MATS6c,-0.08662005794869847
MATS6d,0.008086028676225427
MATS6i,0.00014605008952866923
MATS6m,0.03189451987275724
MATS6p,0.040420564944872124
MATS6s,-0.03545406490417242
MATS6v,0.050167119035117676
MATS7Z,0.03723796822601741
MATS7c,0.33600733741551697
MATS7d,-0.03669665036274416
MATS7i,0.0290491651353015
MATS7m,0.037070470375434254
MATS7p,0.05018316185670634
MATS7s,0.0708421281013035
MATS7v,0.03660617132473609
MATS8Z,-0.11271577923656698
MATS8c,-0.07634165144887788
MATS8d,-0.14786410284909787
MATS8i,-0.03409942350447487
MATS8m,-0.11045017316341764
MATS8p,-0.03998713526364934
MATS8s,-0.13022662567990484
MATS8v,-0.05366520161572267
MAXaaN,4.664323987523496
MAXaaO,5.796714830668585
MINaaN,4.356934445074327
MINaaO,5.796714830668585
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,6
NssNH2,0
NsssAs,0
NsssCH,3
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,45.01140793224668
SpAD_D,463.73671179805814
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,4.7978815614665695
SssNH2,0
SsssAs,0
SsssCH,1.3415216456358985
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1232
TMWC10,151.24395392584788
TSRW10,84.93818449896273
VE1_Dt,5.833598734978894
VE2_Dt,0.16667424957082555
VE3_Dt,3.0163970571467034
VR1_Dt,241.63976179166875
VR2_Dt,6.903993194047678
VR3_Dt,6.740210997966998
Xc-3dv,1.5666762014314337
Xc-4dv,0.0
Xc-5dv,0.2167060652401222
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.11785113019775792
Xch-6d,0.38951955118123055
Xch-7d,0.5290788054521521
Xp-0dv,21.568707937443055
Xp-1dv,12.700685294474471
Xp-2dv,10.192420701508162
Xp-3dv,6.985310990485825
Xp-4dv,4.726922270931184
Xp-5dv,3.1367577459546125
Xp-6dv,1.8206294356237622
Xp-7dv,1.1182175468808795
Xpc-4d,5.387389843473125
Xpc-5d,8.434662334719299
Xpc-6d,12.180944484077735
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,75
nFRing,0
nHBAcc,6
nHBDon,0
nHRing,3
nSpiro,0
naRing,3
piPC10,7.788528930779124
AATS0dv,5.944444444444445
AATS0pe,5.986461111111113
AATS0se,7.464294833333333
AATS1dv,6.013333333333334
AATS1pe,6.356101333333334
AATS1se,7.631137279999998
AATS2dv,4.647058823529412
AATS2pe,6.178615441176469
AATS2se,7.574911147058822
AATS3dv,3.6333333333333333
AATS3pe,6.055238888888889
AATS3se,7.492417444444443
AATS4dv,3.0230414746543777
AATS4pe,5.943497235023041
AATS4se,7.4641135299539165
AATS5dv,3.156862745098039
AATS5pe,6.059475980392159
AATS5se,7.566635588235294
AATS6dv,3.3385416666666665
AATS6pe,6.061552604166668
AATS6se,7.563650937500001
AATS7dv,3.8816568047337277
AATS7pe,6.238795857988165
AATS7se,7.707985230769232
AATS8dv,3.1419753086419755
AATS8pe,6.245530864197531
AATS8se,7.692354296296295
AATSC0Z,7.052469135802468
AATSC0c,0.012147253153073492
AATSC0d,0.5785108024691357
AATSC0i,1.4749017994815676
AATSC0m,33.71965209239969
AATSC0p,0.22517221615190103
AATSC0s,0.7501232424554184
AATSC0v,50.81089660950747
AATSC1Z,0.5456790123456797
AATSC1c,-0.004765790642748035
AATSC1d,0.24963734567901227
AATSC1i,-0.2713639944214848
AATSC1m,2.515951889452155
AATSC1p,-0.019766387498624353
AATSC1s,0.018565029149519904
AATSC1v,-1.43121698325871
AATSC2Z,0.7784132171387075
AATSC2c,-0.002466745843992729
AATSC2d,0.0030864197530864343
AATSC2i,-0.004431901882671068
AATSC2m,3.702180508498998
AATSC2p,0.014547462354522981
AATSC2s,0.07775779421851046
AATSC2v,4.329492698844601
AATSC3Z,-0.06604938271604918
AATSC3c,0.0014949195132259994
AATSC3d,0.01037808641975309
AATSC3i,-0.06934214701716154
AATSC3m,-0.4327912867669772
AATSC3p,-0.02451509287295312
AATSC3s,0.08369448731138548
AATSC3v,-4.323655727849147
AATSC4Z,0.7807361893383399
AATSC4c,0.0009925395982946085
AATSC4d,0.04220092308129941
AATSC4i,-0.04522412177233206
AATSC4m,3.694307009174808
AATSC4p,0.00681325288877196
