DLiP-ID,C002AB
CIC4,0.5878907895495953
CIC5,0.5878907895495953
GGI1,9.0
GGI2,3.333333333333335
GGI3,2.826388888888889
GGI4,2.2
GGI5,1.174444444444444
GGI6,0.8800907029478457
GGI7,0.5791170634920635
GGI8,0.30235103300579486
GGI9,0.25812500000000005
JGI1,0.23684210526315785
JGI2,0.05952380952380955
JGI3,0.053328092243186576
JGI4,0.04400000000000001
JGI5,0.02553140096618357
JGI6,0.020002061430632864
JGI7,0.014849155474155471
JGI8,0.010425897689854994
JGI9,0.008604166666666666
MIC0,19.16140398780213
MIC1,42.76454068226677
MIC2,46.577866840092234
MIC3,46.719340524302766
MIC4,46.719340524302766
MIC5,46.719340524302766
MPC2,56
MPC3,72
MPC4,99
MPC5,124
MPC6,139
MPC7,161
MPC8,184
MPC9,188
Mare,1.0088421052631578
NaaN,2
NaaO,0
NaaS,1
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,1
RNCG,0.1426054943402831
RPCG,0.15300204238741716
SIC0,0.2951473727220764
SIC1,0.6981288540850235
SIC2,0.875149083049038
SIC3,0.8992110620769557
SIC4,0.8992110620769557
SIC5,0.8992110620769557
SaaN,8.463914121634792
SaaO,0
SaaS,1.0675330885380845
Sare,57.504
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,2.160166615385413
TIC0,98.12904329428083
TIC1,232.11020283079
TIC2,290.96495580306333
TIC3,298.96495580306333
TIC4,298.96495580306333
TIC5,298.96495580306333
Vabc,394.60548502624704
WPol,53
apol,66.58723899999998
bpol,34.57276100000001
nRot,5
ABCGG,19.45330236053739
ATS0Z,1680.0
ATS0d,211.0
ATS0i,9581.602606297829
ATS0m,6773.54624244931
ATS0p,93.760443811527
ATS0s,358.0103737997257
ATS0v,13467.126057038497
ATS1Z,1754.0
ATS1d,266.0
ATS1i,9059.308661159504
ATS1m,6785.605207505602
ATS1p,117.93884511000002
ATS1s,195.09104938271605
ATS1v,17156.33677375629
ATS2Z,2847.0
ATS2d,427.0
ATS2i,17282.74524441645
ATS2m,10983.308844954914
ATS2p,183.77403469364106
ATS2s,485.7932098765433
ATS2v,26108.90073889834
ATS3Z,2780.0
ATS3d,467.0
ATS3i,22637.813681272975
ATS3m,10126.966444059204
ATS3p,214.20390432388598
ATS3s,408.18672839506183
ATS3v,28868.185665426463
ATS4Z,2962.0
ATS4d,466.0
ATS4i,25776.1788580046
ATS4m,10908.035036281599
ATS4p,214.49074919547004
ATS4s,407.51851851851836
ATS4v,28500.080218741285
ATS5Z,2412.0
ATS5d,443.0
ATS5i,25829.738222051194
ATS5m,8686.120407288
ATS5p,197.89321842726204
ATS5s,417.87345679012356
ATS5v,26370.474407200738
ATS6Z,2448.0
ATS6d,406.0
ATS6i,22917.531343867016
ATS6m,8827.403559372799
ATS6p,194.24392232728198
ATS6s,428.2731481481482
ATS6v,25654.08815110118
ATS7Z,2353.0
ATS7d,390.0
ATS7i,24979.87559710609
ATS7m,8434.12371624
ATS7p,183.31457560456403
ATS7s,463.3703703703705
ATS7v,23375.56728897222
ATS8Z,1736.0
ATS8d,332.0
ATS8i,21142.95320795334
ATS8m,5983.654062059199
ATS8p,145.172047956319
ATS8s,317.6666666666667
ATS8v,18559.95770510863
C1SP1,1
C1SP2,2
C1SP3,5
C2SP1,0
C2SP2,7
C2SP3,4
C3SP2,4
C3SP3,0
C4SP3,0
FCSP3,0.375
GGI10,0.18528925619834713
JGI10,0.006176308539944906
JGT10,0.4792829977975925
Kier1,25.641274238227147
Kier2,10.775510204081632
Kier3,6.1234567901234565
MAXsF,12.79122614750073
MAXtN,9.146990848451708
MID_C,50.78034949916572
MID_N,12.24421066123818
MID_O,0.0
MID_X,5.0551163084529165
MID_h,19.372117259154344
MINsF,12.79122614750073
MINtN,9.146990848451708
MPC10,206
MWC01,38.0
MWC02,5.241747015059643
MWC03,6.09807428216624
MWC04,7.00397413672268
MWC05,7.877397186353287
MWC06,8.784009071186633
MWC07,9.665420700626543
MWC08,10.571239999076129
MWC09,11.45752902734985
MWC10,12.362345357967081
NaaCH,5
NaaNH,1
NaaSe,0
NaaaC,4
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,5.534000000000004
SRW02,4.343805421853684
SRW03,0.0
SRW04,5.707110264748875
SRW05,3.044522437723423
SRW06,7.242082359256962
SRW07,5.41610040220442
SRW08,8.85666093701725
SRW09,7.5352967024440884
SRW10,10.514800838871937
SaaCH,9.012624055967246
SaaNH,3.1227401142943223
SaaSe,0
SaaaC,3.2855971775232824
SaasC,3.852947809774315
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,2.092484080462248
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.4420800596435033
SssPH,0
SssSe,0
SsssB,0
SsssN,2.408531822164127
SsssP,0
VE1_A,5.187231445196654
VE1_D,5.7448639839969085
VE2_A,0.15256563074107807
VE2_D,0.16896658776461496
VE3_A,2.8699755462381957
VE3_D,2.972081667098075
VR1_A,290.99174492109273
VR1_D,235.82072257604406
VR2_A,8.558580732973315
VR2_D,6.935903605177766
VR3_A,6.897070330422476
VR3_D,6.686847297865873
WPath,4059
Xc-3d,3.5084390360799977
Xc-4d,0.3535533905932738
Xc-5d,0.37891661022870776
Xc-6d,0.0
Xp-0d,23.871668241257186
Xp-1d,16.286139497841102
Xp-2d,15.941446851319986
Xp-3d,12.493544167383359
Xp-4d,10.885493090839917
Xp-5d,8.840570024783121
Xp-6d,6.4711945619693525
Xp-7d,4.816065077815093
ZMIC0,109.84838827023455
ZMIC1,44.98699342128159
ZMIC2,33.30736877650945
ZMIC3,32.64079544019406
ZMIC4,32.64079544019406
ZMIC5,32.64079544019406
nAcid,0
nAtom,57
nBase,1
nRing,5
piPC1,3.9318256327243257
piPC2,4.56954300834494
piPC3,5.188781479479729
piPC4,5.839187111662404
piPC5,6.367651022056912
piPC6,6.758493669814506
piPC7,7.113867110487752
piPC8,7.479114343937147
piPC9,7.461514665914551
AATS0Z,29.473684210526315
AATS0d,3.7017543859649122
AATS0i,168.0982913385584
AATS0m,118.83414460437386
AATS0p,1.6449200668688946
AATS0s,6.2808837508723805
AATS0v,236.265369421728
AATS1Z,28.75409836065574
AATS1d,4.360655737704918
AATS1i,148.51325674031975
AATS1m,111.23942963123937
AATS1p,1.9334236903278692
AATS1s,3.1982139243068204
AATS1v,281.25142252059493
AATS2Z,26.119266055045873
AATS2d,3.9174311926605503
AATS2i,158.5572958203344
AATS2m,100.7643013298616
AATS2p,1.686000318290285
AATS2s,4.456818439234342
AATS2v,239.53119943943432
AATS3Z,19.577464788732396
AATS3d,3.288732394366197
AATS3i,159.42122310755616
AATS3m,71.31666509900847
AATS3p,1.5084781994639858
AATS3s,2.8745544253173367
AATS3v,203.2970821508906
AATS4Z,18.5125
AATS4d,2.9125
AATS4i,161.10111786252875
AATS4m,68.17521897676
AATS4p,1.3405671824716878
AATS4s,2.54699074074074
AATS4v,178.12550136713304
AATS5Z,15.363057324840764
AATS5d,2.821656050955414
AATS5i,164.52062561816047
AATS5m,55.32560768973248
AATS5p,1.2604663594093124
AATS5s,2.661614374459386
AATS5v,167.96480514140598
AATS6Z,17.239436619718308
AATS6d,2.859154929577465
AATS6i,161.3910658018804
AATS6m,62.16481379839999
AATS6p,1.3679149459667745
AATS6s,3.0160080855503395
AATS6v,180.6625926133886
AATS7Z,15.582781456953642
AATS7d,2.5827814569536423
AATS7i,165.42963971593437
AATS7m,55.85512394860927
AATS7p,1.2140038119507552
AATS7s,3.068677949472652
AATS7v,154.805081383922
AATS8Z,13.888
AATS8d,2.656
AATS8i,169.1436256636267
AATS8m,47.869232496473586
AATS8p,1.161376383650552
AATS8s,2.5413333333333337
AATS8v,148.47966164086904
AMID_C,1.493539691151933
AMID_N,0.36012384297759353
AMID_O,0.0
AMID_X,0.14867989142508578
AMID_h,0.56976815468101
ATS0dv,534.4444444444445
ATS0pe,377.0072
ATS0se,453.45072099999993
ATS1dv,494.33333333333337
ATS1pe,404.3675
ATS1se,478.8193359999998
ATS2dv,759.3333333333334
ATS2pe,726.4870999999999
ATS2se,867.0280319999997
ATS3dv,628.3333333333334
ATS3pe,899.2241000000002
ATS3se,1097.0878899999998
ATS4dv,548.0
ATS4pe,979.6737999999999
ATS4se,1211.8801399999998
ATS5dv,551.0
ATS5pe,956.4379999999999
ATS5se,1186.7017740000001
ATS6dv,559.6666666666667
ATS6pe,884.1218000000001
ATS6se,1084.910804
ATS7dv,536.6666666666667
ATS7pe,923.8302
ATS7se,1147.188116
ATS8dv,345.3333333333333
ATS8pe,765.0773999999999
ATS8se,954.8698140000001
ATSC0Z,565.8947368421052
ATSC0c,0.9427341026054238
ATSC0d,39.05263157894737
ATSC0i,159.48132304043742
ATSC0m,2654.527643391277
ATSC0p,15.973419291472245
ATSC0s,154.39507376122057
ATSC0v,2791.3168109381013
ATSC1Z,28.393351800553933
ATSC1c,-0.530043756737914
ATSC1d,7.119113573407199
ATSC1i,-14.872679620233887
ATSC1m,131.7893525793705
ATSC1p,0.47987687316173666
ATSC1s,-5.890617947867046
ATSC1v,91.40680981292073
ATSC2Z,149.69252077562314
ATSC2c,0.14540762897360568
ATSC2d,-3.1883656509695326
ATSC2i,72.98731542474376
ATSC2m,726.2503384551263
ATSC2p,3.8241545676461626
ATSC2s,119.76493078380979
ATSC2v,382.8501064554722
ATSC3Z,-218.404432132964
ATSC3c,-0.21588407478905355
ATSC3d,-9.534626038781166
ATSC3i,-7.671609313227556
ATSC3m,-1041.0610799089927
ATSC3p,-2.296536282350945
ATSC3s,-11.723870613771213
ATSC3v,-747.3969620993064
ATSC4Z,209.31301939058167
ATSC4c,0.2996578624318236
ATSC4d,-3.130193905817174
ATSC4i,-64.47772064309822
ATSC4m,970.0679145221188
ATSC4p,-6.884335054407531
ATSC4s,-2.430759295568848
ATSC4v,-447.9850479067746
ATSC5Z,113.51800554016629
ATSC5c,-0.3243117424582372
ATSC5d,-9.12742382271468
ATSC5i,-24.362899342892607
ATSC5m,557.1935677589672
ATSC5p,1.6615591191404824
ATSC5s,1.9501494550818805
ATSC5v,635.150477787588
ATSC6Z,-99.45706371191132
ATSC6c,-0.03986841436540826
ATSC6d,-9.745152354570635
ATSC6i,0.03441059219845077
ATSC6m,-469.1215659046289
ATSC6p,-5.279469701233034
ATSC6s,22.90524912487582
ATSC6v,-1296.3047994254061
ATSC7Z,61.03324099723002
ATSC7c,0.3128566839985115
ATSC7d,-0.332409972299166
ATSC7i,-10.302424917260922
ATSC7m,338.5560385314968
ATSC7p,-5.279866228922457
ATSC7s,55.291776175934245
ATSC7v,-588.0546348024591
ATSC8Z,-104.78670360110794
ATSC8c,-0.1036914890800955
ATSC8d,0.4459833795013865
ATSC8i,2.86209926804245
ATSC8m,-475.1931908028481
ATSC8p,-0.6318845539456437
ATSC8s,-20.466842863120075
ATSC8v,112.59048289789821
AXp-0d,0.7021078894487408
AXp-1d,0.42858261836423955
AXp-2d,0.2846686937735712
AXp-3d,0.17352144676921333
AXp-4d,0.10995447566504966
AXp-5d,0.07129491955470259
AXp-6d,0.04655535656093059
AXp-7d,0.029913447688292502
GATS1Z,0.6781079234972678
GATS1c,1.687325222690305
GATS1d,0.9520569130838229
GATS1i,1.0382167435356655
GATS1m,0.6706702800169712
GATS1p,0.9239040369072
GATS1s,0.529250909188994
GATS1v,0.8904153394008822
GATS2Z,0.7353784403669725
GATS2c,0.9603610041127719
GATS2d,1.1642721135537475
GATS2i,0.7608036244506291
GATS2m,0.7246330165014587
GATS2p,0.8464245134011739
GATS2s,0.32268865207406744
GATS2v,0.8639028400896269
GATS3Z,1.1059639084507045
GATS3c,1.0193009845074017
GATS3d,1.0451767207015679
GATS3i,0.9002117534590346
GATS3m,1.097293696985261
GATS3p,1.0644615720609614
GATS3s,0.653494816134433
GATS3v,1.097561271123527
GATS4Z,0.8355794270833333
GATS4c,0.7618266291955607
GATS4d,0.9410377358490565
GATS4i,0.8834755924796907
GATS4m,0.827826123916838
GATS4p,1.134968980001967
GATS4s,0.5040149918378368
GATS4v,1.0895565800081763
GATS5Z,0.7796908174097665
GATS5c,0.8715051825977459
GATS5d,1.0457877658935222
GATS5i,0.8171341369326596
GATS5m,0.789694513476357
GATS5p,0.8413367027202799
GATS5s,0.5964194329603798
GATS5v,0.9490198641920818
GATS6Z,0.9108348004694836
GATS6c,0.8719520756094418
GATS6d,0.939144299760829
GATS6i,0.7681315419358298
GATS6m,0.9145605246566569
GATS6p,1.0256886963932146
GATS6s,0.47989895380615616
GATS6v,1.181327818149617
GATS7Z,1.0033457505518764
GATS7c,0.6309231233620778
GATS7d,0.868924153442459
GATS7i,0.8004969088231744
GATS7m,0.9886159712767811
GATS7p,1.1312969634686094
GATS7s,0.556430044585177
GATS7v,1.1311033870810419
GATS8Z,1.1633541666666667
GATS8c,0.9673447473762167
GATS8d,0.9406792452830188
GATS8i,0.7976302480763685
GATS8m,1.154067302656398
GATS8p,1.0142178904276582
GATS8s,0.8124356564259951
GATS8v,1.0193909520203939
MATS1Z,0.04688414812646357
MATS1c,-0.5253727299289909
MATS1d,0.1703415668772921
MATS1i,-0.08714137602617442
MATS1m,0.04639146558773117
MATS1p,0.028072232315099737
MATS1s,-0.03565105922363465
MATS1v,0.03059950784166091
MATS2Z,0.13832886222149401
MATS2c,0.08065779273120073
MATS2d,-0.04269393407354291
MATS2i,0.23932381535783098
MATS2m,0.14306962974280796
MATS2p,0.12519468840579165
MATS2s,0.4056435606939228
MATS2v,0.0717245775139522
MATS3Z,-0.15492171780684108
MATS3c,-0.09192166884946051
MATS3d,-0.09800311301772904
MATS3i,-0.01930915012568567
MATS3m,-0.15742564075952234
MATS3p,-0.05771144263249154
MATS3s,-0.030480640506761556
MATS3v,-0.10748026001265684
MATS4Z,0.13176967075892856
MATS4c,0.11323777637438251
MATS4d,-0.028554582210242586
MATS4i,-0.14403058327575774
MATS4m,0.13018764201189575
MATS4p,-0.15353909631872162
MATS4s,-0.005608715213191633
MATS4v,-0.057175406493235756
MATS5Z,0.07282899226569615
MATS5c,-0.12489603728763755
MATS5d,-0.08485415557882808
MATS5i,-0.05546184902512171
MATS5m,0.07620685609836529
MATS5p,0.037765314855409425
MATS5s,0.004585742452487071
MATS5v,0.0826119172260481
MATS6Z,-0.07054828973843055
MATS6c,-0.01697564392570913
MATS6d,-0.10016703997570325
MATS6i,8.661015747087035e-05
MATS6m,-0.07093893387418021
MATS6p,-0.13267189163708015
MATS6s,0.059550867396392704
MATS6v,-0.18641656838763718
MATS7Z,0.04071258573793763
MATS7c,0.1252720339029081
MATS7d,-0.0032130808089823174
MATS7i,-0.024385268206804124
MATS7m,0.048143894689280674
MATS7p,-0.12477366617919286
MATS7s,0.13518391209771652
MATS7v,-0.07952550844969757
MATS8Z,-0.08443749999999994
MATS8c,-0.05015551987548468
MATS8d,0.005207547169811337
MATS8i,0.008183511657327029
MATS8m,-0.08162962459463036
MATS8p,-0.01803867733898671
MATS8s,-0.060448044864543436
MATS8v,0.018393204239753387
MAXaaN,4.310833951077423
MAXaaS,1.0675330885380845
MAXtsC,2.160166615385413
MINaaN,4.153080170557369
MINaaS,1.0675330885380845
MINtsC,2.160166615385413
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,6
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,1
NssssN,0
Radius,10
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,43.7313560683996
SpAD_D,494.02200752734143
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,3.5260452697966542
SssNH2,0
SsssAs,0
SsssCH,0.20069790846779467
SsssNH,0
SssssB,0
SssssC,-4.23936474793901
SssssN,0
TMPC10,1301
TMWC10,151.06173677650807
TSRW10,86.66037936412064
VE1_Dt,5.773180019426083
VE2_Dt,0.16979941233606127
VE3_Dt,2.976998490209031
VR1_Dt,232.89424102954538
VR2_Dt,6.849830618516041
VR3_Dt,6.6743598809827525
Xc-3dv,1.4395413403710242
Xc-4dv,0.019090088708030313
Xc-5dv,0.16361466282697015
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.19245008972987526
Xch-6d,0.5902069087198858
Xch-7d,1.0534403765003695
Xp-0dv,19.354234974676146
Xp-1dv,11.908809079904774
Xp-2dv,9.861467311139224
Xp-3dv,7.426040583618122
Xp-4dv,5.626898034950401
Xp-5dv,3.9470404602362095
Xp-6dv,2.4204300317875593
Xp-7dv,1.553643566388425
Xpc-4d,5.432935335538409
Xpc-5d,9.145120613694708
Xpc-6d,13.216379918583243
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,61
nFRing,2
nHBAcc,6
nHBDon,2
nHRing,4
nSpiro,0
naRing,4
piPC10,7.564594998745337
AATS0dv,9.376218323586745
AATS0pe,6.614161403508772
AATS0se,7.955275807017543
AATS1dv,8.103825136612022
AATS1pe,6.628975409836066
AATS1se,7.849497311475407
AATS2dv,6.966360856269113
AATS2pe,6.665019266055046
AATS2se,7.9543856146788965
AATS3dv,4.424882629107982
AATS3pe,6.332564084507044
AATS3se,7.725971056338027
AATS4dv,3.425
AATS4pe,6.1229612499999995
AATS4se,7.574250874999999
AATS5dv,3.5095541401273884
AATS5pe,6.09196178343949
AATS5se,7.558610025477708
AATS6dv,3.941314553990611
AATS6pe,6.22620985915493
AATS6se,7.640216929577465
AATS7dv,3.5540838852097134
AATS7pe,6.118080794701987
AATS7se,7.597272291390729
AATS8dv,2.7626666666666666
AATS8pe,6.120619199999999
AATS8se,7.638958512000001
AATSC0Z,9.92797783933518
AATSC0c,0.016539194782551295
AATSC0d,0.6851338873499538
AATSC0i,2.7979179480778495
AATSC0m,46.57066041037328
AATSC0p,0.28023542616617975
AATSC0s,2.708685504582817
AATSC0v,48.97047036733511
AATSC1Z,0.46546478361563826
AATSC1c,-0.008689241913736295
AATSC1d,0.11670677989192128
AATSC1i,-0.24381442000383421
AATSC1m,2.160481189825746
AATSC1p,0.007866833986257978
AATSC1s,-0.09656750734208272
AATSC1v,1.498472292015094
AATSC2Z,1.3733258786754416
AATSC2c,0.0013340149447119787
AATSC2d,-0.029251061018069107
AATSC2i,0.6696083983921446
AATSC2m,6.66284714179015
AATSC2p,0.035083986859139105
AATSC2s,1.0987608328789888
AATSC2v,3.512386297756626
AATSC3Z,-1.5380593812180563
AATSC3c,-0.0015203103858384053
AATSC3d,-0.06714525379423357
AATSC3i,-0.054025417698785605
AATSC3m,-7.331416055697132
AATSC3p,-0.016172790720781302
