DLiP-ID,C001DS
ATS5i,13586.411272604493
ATS5m,6108.397143
ATS5p,117.279084647584
ATS5s,259.12654320987656
ATS5v,15094.85225935874
ATS6Z,1468.0
ATS6d,202.0
ATS6i,11813.406385496528
ATS6m,5334.423364999998
ATS6p,98.35599663588602
ATS6s,220.7561728395062
ATS6v,13027.592280446752
ATS7Z,1365.0
ATS7d,196.0
ATS7i,10473.62180284972
ATS7m,5054.935035999999
ATS7p,87.85096803988597
ATS7s,201.9876543209877
ATS7v,11874.029315457588
ATS8Z,1270.0
ATS8d,170.0
ATS8i,8814.657952100586
ATS8m,4626.65512
ATS8p,79.608660127396
ATS8s,193.04629629629633
ATS8v,11201.132564095486
C1SP1,0
C1SP2,1
C1SP3,3
C2SP1,0
C2SP2,12
C2SP3,0
C3SP2,0
C3SP3,0
C4SP3,0
FCSP3,0.2222222222222222
GGI10,0.08540353025201511
JGI10,0.004270176512600756
JGT10,0.40144820749903815
Kier1,19.322235434007133
Kier2,9.0
Kier3,4.899408284023669
MAXdO,12.203805674677788
MID_C,37.920420412228204
MID_N,6.18774249925054
MID_O,7.7617369796458275
MID_X,0.0
MID_h,15.991239431915591
MINdO,12.203805674677788
MPC10,90
MWC01,29.0
MWC02,4.9344739331306915
MWC03,5.777652323222656
MWC04,6.647688373563329
MWC05,7.506042178518122
MWC06,8.379079889286603
MWC07,9.243484970568485
MWC08,10.117267400897372
MWC09,10.98469932652407
MWC10,11.8586901074314
NaaCH,6
NaaNH,1
NaaSe,0
NaaaC,2
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,3.073500000000001
SRW02,4.07753744390572
SRW03,0.0
SRW04,5.389071729816501
SRW05,2.3978952727983707
SRW06,6.890609120147166
SRW07,4.727387818712341
SRW08,8.478660241699453
SRW09,6.823286122355687
SRW10,10.112491610696615
SaaCH,10.9680493585422
SaaNH,3.1857593747375494
SaaSe,0
SaaaC,1.707998511403579
SaasC,3.4611880995431137
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.1206347369194587
SdssS,0
SsCH3,1.6204452563234641
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.857306572128903
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.9293998992594648
VE1_D,5.030971024518702
VE2_A,0.15113076535613326
VE2_D,0.1934988855584116
VE3_A,2.323998161859724
VE3_D,2.5711244571319787
VR1_A,368.15389009830903
VR1_D,155.60785602420916
VR2_A,14.159765003781116
VR2_D,5.98491753939266
VR3_A,6.864012475398611
VR3_D,6.002850544084684
WPath,1973
Xc-3d,1.5677142369572743
Xc-4d,0.0
Xc-5d,0.16666666666666666
Xc-6d,0.0
Xp-0d,17.932510652501772
Xp-1d,12.70784123585624
Xp-2d,11.346833998805732
Xp-3d,9.549672606146883
Xp-4d,7.973696407866372
Xp-5d,6.594198581489972
Xp-6d,4.409264757855723
Xp-7d,3.2950374914282214
ZMIC0,83.64238139540657
ZMIC1,48.090211684461266
ZMIC2,31.760548473692396
ZMIC3,28.226603200949334
ZMIC4,26.792352838515903
ZMIC5,25.836185930226943
nAcid,0
nAtom,43
nBase,0
nRing,4
piPC1,3.6635616461296463
piPC2,4.273187854639731
piPC3,4.84909627648483
piPC4,5.452378756674802
piPC5,5.9690272019890465
piPC6,6.209689773265645
piPC7,6.540342082254115
piPC8,6.836095629354716
piPC9,6.615050195640286
AATS0Z,30.790697674418606
AATS0d,3.604651162790698
AATS0i,160.6686891365659
AATS0m,122.19374458139538
AATS0p,1.683056636800767
AATS0s,4.224239959166747
AATS0v,240.55838956053196
AATS1Z,30.17391304347826
AATS1d,4.173913043478261
AATS1i,146.8675730273282
AATS1m,116.39703980434787
AATS1p,1.8977845489130438
AATS1s,3.3121309715512615
AATS1v,279.88831572414693
AATS2Z,26.766233766233768
AATS2d,3.8181818181818183
AATS2i,153.48068495176878
AATS2m,101.31987668831165
AATS2p,1.6362829552090128
AATS2s,3.282427449094116
AATS2v,237.8348533364858
AATS3Z,23.9438202247191
AATS3d,3.3820224719101124
AATS3i,157.61210017463006
AATS3m,88.82404330337077
AATS3p,1.5133355857875725
AATS3s,3.235573588569842
AATS3v,214.48921085573716
AATS4Z,20.523255813953487
AATS4d,3.104651162790698
AATS4i,157.4350286694148
AATS4m,74.72280790697673
AATS4p,1.4700340840458486
AATS4s,2.983060579959806
AATS4v,198.0483185382657
AATS5Z,19.729411764705883
AATS5d,2.8117647058823527
AATS5i,159.8401326188764
AATS5m,71.8634958
AATS5p,1.3797539370304
AATS5s,3.048547567175018
AATS5v,177.58649716892637
AATS6Z,20.10958904109589
AATS6d,2.767123287671233
AATS6i,161.82748473282916
AATS6m,73.07429267123285
AATS6p,1.3473424196696715
AATS6s,3.0240571621850165
AATS6v,178.46016822529796
AATS7Z,21.0
AATS7d,3.0153846153846153
AATS7i,161.13264312076493
AATS7m,77.7682313230769
AATS7p,1.3515533544597842
AATS7s,3.1075023741690417
AATS7v,182.6773740839629
AATS8Z,23.09090909090909
AATS8d,3.090909090909091
AATS8i,160.26650822001065
AATS8m,84.12100218181818
AATS8p,1.4474301841344728
AATS8s,3.5099326599326606
AATS8v,203.65695571082702
AMID_C,1.4584777081626232
AMID_N,0.23799009612502076
AMID_O,0.2985283453709934
AMID_X,0.0
AMID_h,0.615047670458292
ATS0dv,396.44444444444446
ATS0pe,281.0406
ATS0se,342.69879699999996
ATS1dv,392.0
ATS1pe,309.63500000000005
ATS1se,367.99077599999987
ATS2dv,525.6666666666666
ATS2pe,515.5121
ATS2se,622.3775299999999
ATS3dv,476.0
ATS3pe,592.815
ATS3se,721.1419080000003
ATS4dv,397.66666666666663
ATS4pe,550.5132
ATS4se,674.022758
ATS5dv,362.66666666666663
ATS5pe,532.8091
ATS5se,660.6478119999999
ATS6dv,315.66666666666663
ATS6pe,461.56729999999993
ATS6se,572.2215339999999
ATS7dv,293.33333333333337
ATS7pe,410.47079999999994
ATS7se,507.9265860000001
ATS8dv,292.33333333333337
ATS8pe,368.7287
ATS8se,450.3047119999999
ATSC0Z,448.74418604651163
ATSC0c,1.400116967739865
ATSC0d,24.186046511627907
ATSC0i,69.63325725325201
ATSC0m,2046.2814606976742
ATSC0p,12.348326505285067
ATSC0s,50.892956263757306
ATSC0v,2103.2104127314833
ATSC1Z,27.901568415359662
ATSC1c,-0.6801854517438285
ATSC1d,7.521903731746887
ATSC1i,-9.671891425453884
ATSC1m,131.88308720713871
ATSC1p,-0.20390190940828049
ATSC1s,-2.981892855738577
ATSC1v,25.156539843406737
ATSC2Z,-3.541914548404547
ATSC2c,-0.08889865949083707
ATSC2d,-0.24012979989183503
ATSC2i,-16.70477848983264
ATSC2m,-2.0876229702545217
ATSC2p,-1.159555674027587
ATSC2s,-0.6293046847701018
ATSC2v,70.1110162239554
ATSC3Z,-77.28447809626827
ATSC3c,-0.11408478146401552
ATSC3d,-7.315305570578691
ATSC3i,-3.777455260039635
ATSC3m,-369.19283821146587
ATSC3p,0.32015459480295005
ATSC3s,-24.537895025005167
ATSC3v,-182.55157421472032
ATSC4Z,-102.81395348837208
ATSC4c,0.029142907856559833
ATSC4d,-8.58139534883721
ATSC4i,-8.114656561321961
ATSC4m,-491.34248260465125
ATSC4p,-2.1431980596877898
ATSC4s,-4.374262289852301
ATSC4v,-744.9155688876817
ATSC5Z,36.970795024337484
ATSC5c,0.4016593970233537
ATSC5d,-1.2514872904272583
ATSC5i,9.41414197888957
ATSC5m,169.6435226208762
ATSC5p,0.23826578375916405
ATSC5s,12.379899675129332
ATSC5v,-181.61759584853223
ATSC6Z,-10.240129799891827
ATSC6c,-0.43196207018623367
ATSC6d,-1.5018929150892373
ATSC6i,-3.9977413150081715
ATSC6m,-37.97668948674959
ATSC6p,-1.1505237151716765
ATSC6s,0.8777808565932306
ATSC6v,48.37239627819609
ATSC7Z,111.9215792320173
ATSC7c,0.34315352655327586
ATSC7d,-2.1882098431584645
ATSC7i,-6.731764351958559
ATSC7m,512.8482761314225
ATSC7p,0.31013318184803373
ATSC7s,12.066258890543283
ATSC7v,284.4379232664923
ATSC8Z,-159.55651703623582
ATSC8c,-0.5069456566687902
ATSC8d,0.6922660897782575
ATSC8i,-4.619865849519315
ATSC8m,-720.5181128226068
ATSC8p,-1.627458040112949
ATSC8s,-22.018369585457904
ATSC8v,-212.8925886879968
AXp-0d,0.6897119481731451
AXp-1d,0.43820142192607725
AXp-2d,0.2836708499701433
AXp-3d,0.1836475501182093
AXp-4d,0.11726024129215253
AXp-5d,0.0775788068410585
AXp-6d,0.05127052044018283
AXp-7d,0.03432330720237731
GATS1Z,0.6928029688513951
GATS1c,1.444583892056192
GATS1d,0.7172658862876254
GATS1i,1.236446249329165
GATS1m,0.6900642027839055
GATS1p,0.9509090797954343
GATS1s,0.6529506105882276
GATS1v,0.8676913725767932
GATS2Z,1.002190750791497
GATS2c,1.2204167526029897
GATS2d,1.071241258741259
GATS2i,1.1859561222776234
GATS2m,0.9854407713801955
GATS2p,1.0906273107721967
GATS2s,0.7823669301012866
GATS2v,0.8951425091301041
GATS3Z,1.0763370646766168
GATS3c,1.217263998943527
GATS3d,1.1511884183232497
GATS3i,1.060862009542804
GATS3m,1.0721199697766712
GATS3p,0.978526164877242
GATS3s,1.349300282074437
GATS3v,0.9504176398296922
GATS4Z,1.042599502487562
GATS4c,0.9097566071148102
GATS4d,1.130769230769231
GATS4i,1.0892121602953015
GATS4m,1.0483760592960263
GATS4p,1.0475277839279395
GATS4s,0.8481032117574824
GATS4v,1.134779690365098
GATS5Z,1.1027637547556335
GATS5c,0.6589543240672862
GATS5d,1.0010633484162896
GATS5i,0.9153750734085792
GATS5m,1.0905589652210195
GATS5p,1.0912524109301431
GATS5s,1.0804763320912425
GATS5v,1.0728078681903344
GATS6Z,1.234037432699516
GATS6c,1.0225426105141955
GATS6d,0.9991043203371971
GATS6i,1.0642457343870921
GATS6m,1.2127138454397741
GATS6p,1.183378077672901
GATS6s,1.3250811924113344
GATS6v,0.9975613466788877
GATS7Z,0.9309055683122847
GATS7c,0.763224099914607
GATS7d,1.1354289940828404
GATS7i,1.0603606555031706
GATS7m,0.922865977948486
GATS7p,1.0265172470313446
GATS7s,0.9743345956866383
GATS7v,0.917433129171108
GATS8Z,1.5085736092265942
GATS8c,1.4110896515394435
GATS8d,0.8682692307692308
GATS8i,1.1287206681977906
GATS8m,1.477895829774073
GATS8p,1.235032687308303
GATS8s,2.235767739440683
GATS8v,0.9927859750065368
MATS1Z,0.058121980676328525
MATS1c,-0.4541231522994155
MATS1d,0.29071906354515037
MATS1i,-0.1298390489593915
MATS1m,0.060246851994785036
MATS1p,-0.015435610543106285
MATS1s,-0.05477028231750133
MATS1v,0.011180952603803097
MATS2Z,-0.00440775020998902
MATS2c,-0.03545754182921398
MATS2d,-0.0055444555444555815
MATS2i,-0.13396820572898732
MATS2m,-0.000569723885662263
MATS2p,-0.05243982473467716
MATS2s,-0.006905275596023003
MATS2v,0.018615781344092124
MATS3Z,-0.08320930460059256
MATS3c,-0.039367863390227166
MATS3d,-0.1461322385479689
MATS3i,-0.02620964070500638
MATS3m,-0.08716985973137123
MATS3p,0.012526509837419549
MATS3s,-0.2329475109001264
MATS3v,-0.041935450037947936
MATS4Z,-0.11455742122719734
MATS4c,0.010407311863238003
MATS4d,-0.17740384615384616
MATS4i,-0.058267104551848255
MATS4m,-0.12005740462436908
MATS4p,-0.08678091151746367
MATS4s,-0.04297512476168897
MATS4v,-0.17709012003231867
MATS5Z,0.041678250902351
MATS5c,0.14512530419162845
MATS5d,-0.026176470588235298
MATS5i,0.0683933006017831
MATS5m,0.041939325568350005
MATS5p,0.009761197621545792
MATS5s,0.123057751732337
MATS5v,-0.04368423442904715
MATS6Z,-0.01344163883777459
MATS6c,-0.1817301104609312
MATS6d,-0.03657797681770284
MATS6i,-0.03381766153368922
MATS6m,-0.01093194226855669
MATS6p,-0.05488239639133077
MATS6s,0.010159539466319216
MATS6v,0.013547541007820033
MATS7Z,0.16499473784921545
MATS7c,0.16213592239654145
MATS7d,-0.05985207100591717
MATS7i,-0.0639539382257771
MATS7m,0.1657977487998941
MATS7p,0.016614804273596573
MATS7s,0.15684477634991043
MATS7v,0.08946638197579783
MATS8Z,-0.27798507462686567
MATS8c,-0.2830758720231835
MATS8d,0.022377622377622346
MATS8i,-0.05187025943047376
MATS8m,-0.2752867441519885
MATS8p,-0.10304038246493662
MATS8s,-0.33824644783235785
MATS8v,-0.07913772944593417
MAXaaN,4.460106761457771
MAXssO,5.520775247990603
MAXssS,1.3402893780969174
MINaaN,4.460106761457771
MINssO,5.19780934319434
MINssS,1.3402893780969174
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,3
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,34.56327938453396
SpAD_D,312.9774943193625
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.2928665432570234
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,769
TMWC10,130.44907850314272
TSRW10,74.89693936013185
VE1_Dt,5.03089944648056
VE2_Dt,0.19349613255694462
VE3_Dt,2.5711102295510635
VR1_Dt,155.4676030500324
VR2_Dt,5.979523194232016
VR3_Dt,6.001948814426564
Xc-3dv,0.6150437743855568
Xc-4dv,0.0
Xc-5dv,0.03252278870138714
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.42354024205321916
Xch-7d,0.6863725870208341
Xp-0dv,14.890373587444401
Xp-1dv,9.05732770957985
Xp-2dv,6.584373219083708
Xp-3dv,4.706545911969923
Xp-4dv,3.29774914335157
Xp-5dv,2.3468532920783107
Xp-6dv,1.3519493335746267
Xp-7dv,0.8789743552017033
Xpc-4d,3.3962970518443836
Xpc-5d,5.281574689692155
Xpc-6d,7.54632574583788
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,46
nFRing,2
nHBAcc,6
nHBDon,2
nHRing,2
nSpiro,0
naRing,3
piPC10,6.6844749995710675
AATS0dv,9.219638242894057
AATS0pe,6.535827906976744
AATS0se,7.969739465116278
AATS1dv,8.521739130434783
AATS1pe,6.7311956521739145
AATS1se,7.999799478260867
AATS2dv,6.8268398268398265
AATS2pe,6.694962337662338
AATS2se,8.082825064935063
AATS3dv,5.348314606741573
AATS3pe,6.6608426966292145
AATS3se,8.102718067415733
AATS4dv,4.624031007751937
AATS4pe,6.401316279069767
AATS4se,7.837473930232558
AATS5dv,4.266666666666667
AATS5pe,6.2683423529411755
AATS5se,7.772327199999999
AATS6dv,4.3242009132420085
AATS6pe,6.3228397260273965
AATS6se,7.83865115068493
AATS7dv,4.512820512820514
AATS7pe,6.314935384615383
AATS7se,7.814255169230771
AATS8dv,5.315151515151515
AATS8pe,6.7041581818181815
AATS8se,8.187358399999997
AATSC0Z,10.435911303407247
AATSC0c,0.03256085971488058
AATSC0d,0.5624661979448351
AATSC0i,1.6193780756570235
AATSC0m,47.58794094645754
AATSC0p,0.28717038384383875
AATSC0s,1.1835571224129606
AATSC0v,48.91187006352287
AATSC1Z,0.6065558351165145
AATSC1c,-0.01478664025530062
AATSC1d,0.16351964634232363
AATSC1i,-0.21025850924899747
AATSC1m,2.867023634937798
AATSC1p,-0.004432650204527836
AATSC1s,-0.06482375773344733
AATSC1v,0.5468813009436247
AATSC2Z,-0.04599889023902009
AATSC2c,-0.0011545280453355464
AATSC2d,-0.003118568829764091
AATSC2i,-0.2169451751926317
AATSC2m,-0.0271119866266821
AATSC2p,-0.01505916459776087
AATSC2s,-0.008172788113897426
AATSC2v,0.9105326782331871
AATSC3Z,-0.8683649224299806
AATSC3c,-0.0012818514771237698
AATSC3d,-0.08219444461324373
AATSC3i,-0.042443317528535224
AATSC3m,-4.148234137207481
AATSC3p,0.003597242638235394
AATSC3s,-0.27570668567421536
AATSC3v,-2.0511412833114644
AATSC4Z,-1.195511087074094
AATSC4c,0.00033887102158790505
