DLiP-ID,C001RX
nAtom,39
nBase,0
nRing,3
piPC1,3.5115454388310208
piPC2,4.09016919081162
piPC3,4.655150118293112
piPC4,5.220017930160428
piPC5,5.565238540208134
piPC6,5.749989941452794
piPC7,5.938278014306635
piPC8,6.130206948188369
piPC9,6.399374580615397
AATS0Z,30.923076923076923
AATS0d,3.4871794871794872
AATS0i,161.35036341475856
AATS0m,123.63153992691724
AATS0p,1.7021786532713838
AATS0s,6.926726108824874
AATS0v,240.08807659479587
AATS1Z,28.902439024390244
AATS1d,4.219512195121951
AATS1i,143.87539908204997
AATS1m,111.30581948378541
AATS1p,2.0140822103902445
AATS1s,3.365703101475459
AATS1v,287.9168623817907
AATS2Z,25.901408450704224
AATS2d,3.7746478873239435
AATS2i,148.23243507103723
AATS2m,98.70291361507604
AATS2p,1.7872611568203516
AATS2s,3.5861154581811867
AATS2v,245.95221751355257
AATS3Z,21.510204081632654
AATS3d,3.163265306122449
AATS3i,155.43164012216653
AATS3m,80.3651107441959
AATS3p,1.5311340867870507
AATS3s,3.1187011841773735
AATS3v,205.76908897412574
AATS4Z,23.14
AATS4d,2.96
AATS4i,158.25418546570657
AATS4m,85.66629926105601
AATS4p,1.42092316485886
AATS4s,3.8713580246913586
AATS4v,188.621634090479
AATS5Z,19.392857142857142
AATS5d,2.8214285714285716
AATS5i,162.7374556392826
AATS5m,69.5233080796
AATS5p,1.3250787233081667
AATS5s,3.675338036449147
AATS5v,180.6662921827908
AATS6Z,23.35211267605634
AATS6d,2.9014084507042255
AATS6i,160.40796556512146
AATS6m,87.14897813277747
AATS6p,1.378847170530155
AATS6s,4.906233698487218
AATS6v,197.95209911394159
AATS7Z,19.36764705882353
AATS7d,2.764705882352941
AATS7i,160.37203289286546
AATS7m,70.1752629192
AATS7p,1.3389095814947207
AATS7s,4.170479302832242
AATS7v,190.10811014341328
AATS8Z,19.389830508474578
AATS8d,2.6779661016949152
AATS8i,158.38483421227667
AATS8m,71.08698237735592
AATS8p,1.3316254372049827
AATS8s,5.3669177652228495
AATS8v,190.13838333841414
AMID_C,1.5522410965293052
AMID_N,0.08903099925878317
AMID_O,0.22718690005180353
AMID_X,0.07689224619671
AMID_h,0.4837875759385014
ATS0dv,346.44444444444446
ATS0pe,255.22170000000003
ATS0se,310.68482899999987
ATS1dv,312.33333333333337
ATS1pe,268.4655
ATS1se,320.4525799999999
ATS2dv,454.33333333333337
ATS2pe,453.1544
ATS2se,548.5683799999997
ATS3dv,497.0
ATS3pe,610.5970000000001
ATS3se,752.2870879999999
ATS4dv,469.6666666666667
ATS4pe,643.6236999999998
ATS4se,791.0998079999997
ATS5dv,378.66666666666663
ATS5pe,545.5249999999999
ATS5se,673.552184
ATS6dv,374.6666666666667
ATS6pe,477.08110000000005
ATS6se,582.8242600000001
ATS7dv,323.0
ATS7pe,448.345
ATS7se,550.43797
ATS8dv,279.0
ATS8pe,389.94440000000003
ATS8se,474.59874800000006
ATSC0Z,429.69230769230774
ATSC0c,0.9040300872015229
ATSC0d,24.307692307692303
ATSC0i,81.57347169154541
ATSC0m,1971.8738272939913
ATSC0p,12.0773837245239
ATSC0s,122.11192008722874
ATSC0v,1982.5582979374283
ATSC1Z,11.272189349112416
ATSC1c,-0.6105004342221445
ATSC1d,7.804733727810655
ATSC1i,5.981033305434254
ATSC1m,55.20141069430718
ATSC1p,1.5415405103620596
ATSC1s,-4.068804455952285
ATSC1v,174.14913758971565
ATSC2Z,89.04733727810651
ATSC2c,0.28785755251362666
ATSC2d,4.260355029585799
ATSC2i,-10.333528919509332
ATSC2m,395.0329549051479
ATSC2p,0.121793111407139
ATSC2s,33.292484548736546
ATSC2v,-92.4380583018879
ATSC3Z,83.49112426035502
ATSC3c,-0.417828605547933
ATSC3d,-3.3372781065088746
ATSC3i,-19.867494946278452
ATSC3m,418.6494760983395
ATSC3p,0.27814449380633716
ATSC3s,9.611698678491981
ATSC3v,421.42922410730966
ATSC4Z,39.30177514792898
ATSC4c,0.693070698069948
ATSC4d,-13.301775147928995
ATSC4i,-22.549121961877326
ATSC4m,143.49797884743197
ATSC4p,-7.496246355091581
ATSC4s,28.677571159685755
ATSC4v,-878.8239791421438
ATSC5Z,-192.33727810650888
ATSC5c,-0.6124550032373627
ATSC5d,-1.3550295857988173
ATSC5i,6.4870947602745614
ATSC5m,-850.1878044935153
ATSC5p,-0.9849775964686512
ATSC5s,-42.37998271117928
ATSC5v,27.53945151165374
ATSC6Z,10.662721893491092
ATSC6c,0.31792642109535524
ATSC6d,-0.20118343195266172
ATSC6i,0.6105155342643693
ATSC6m,63.83657126469642
ATSC6p,0.8559174480743145
ATSC6s,-5.7843593892185385
ATSC6v,118.29029592407646
ATSC7Z,-140.207100591716
ATSC7c,-0.257342454933338
ATSC7d,-4.792899408284025
ATSC7i,-2.0888839398004917
ATSC7m,-612.8690644580605
ATSC7p,0.8597623956701006
ATSC7s,-55.00669524688203
ATSC7v,45.8042175417289
ATSC8Z,-72.97041420118343
ATSC8c,0.270688999757961
ATSC8d,-9.798816568047336
ATSC8i,-11.94208719319961
ATSC8m,-324.9990976079829
ATSC8p,-2.6096758554483066
ATSC8s,32.78561095734252
ATSC8v,-543.9012194813462
AXp-0d,0.7129120324595233
AXp-1d,0.4430154960187764
AXp-2d,0.2862193004966142
AXp-3d,0.17479044166043656
AXp-4d,0.1149649388606005
AXp-5d,0.07394009440621864
AXp-6d,0.04868962283963977
AXp-7d,0.030410993779588894
GATS1Z,0.7096399535423924
GATS1c,1.5710052577636675
GATS1d,0.7435165174436555
GATS1i,0.8812431344150577
GATS1m,0.7043453706491442
GATS1p,0.8238338812745807
GATS1s,0.5816565018989011
GATS1v,0.8347547499374747
GATS2Z,0.7404905624221519
GATS2c,0.5375528176155216
GATS2d,0.990818327687645
GATS2i,0.9980518515771697
GATS2m,0.7385601541915952
GATS2p,0.9849991125322147
GATS2s,0.42808531226671453
GATS2v,0.9935811999297399
GATS3Z,0.9687283076495904
GATS3c,0.8866202269994785
GATS3d,1.1246125032291399
GATS3i,1.0496485706723542
GATS3m,0.9505336433662432
GATS3p,1.0578095949442496
GATS3s,0.6859898291955752
GATS3v,0.9320094128864349
GATS4Z,1.2062585034013604
GATS4c,0.6683817008810854
GATS4d,1.2818987341772152
GATS4i,1.1312629180049047
GATS4m,1.1853066675009345
GATS4p,1.4086877601313843
GATS4s,0.8492657090170874
GATS4v,1.163032748174423
GATS5Z,1.394436345966958
GATS5c,1.696884256478265
GATS5d,1.0701100060277278
GATS5i,0.8997843050564335
GATS5m,1.3643603893920058
GATS5p,1.1110099368553177
GATS5s,1.2652083067241071
GATS5v,0.9437184980061092
GATS6Z,1.0039283318961387
GATS6c,1.4876399802943399
GATS6d,1.0568728828668212
GATS6i,0.8641277203313756
GATS6m,0.9888596665968452
GATS6p,0.9155215291410502
GATS6s,1.334417193663988
GATS6v,0.8629144941726534
GATS7Z,1.1444577831132452
GATS7c,1.563824391832609
GATS7d,1.183963142218913
GATS7i,0.9221835902884544
GATS7m,1.1351388998143026
GATS7p,0.8896103687114935
GATS7s,1.621079858784451
GATS7v,0.9060988455427125
GATS8Z,0.8873515507898074
GATS8c,0.8981763042906573
GATS8d,1.232085389401416
GATS8i,1.1048350367317534
GATS8m,0.9038460604552122
GATS8p,0.9765024180612116
GATS8s,1.1136656029341523
GATS8v,1.0990795890406497
MATS1Z,0.02495349872940188
MATS1c,-0.6423679183436808
MATS1d,0.3054183389935167
MATS1i,0.06974418846277457
MATS1m,0.026628812770023557
MATS1p,0.12141233943888971
MATS1s,-0.03169490895764774
MATS1v,0.08355570571600851
MATS2Z,0.11383337619703181
MATS2c,0.17490450764275303
MATS2d,0.09627384560527726
MATS2i,-0.06958345225457072
MATS2m,0.11004250372035371
MATS2p,0.005539315716309919
MATS2s,0.14975950813882646
MATS2v,-0.025611269486858053
MATS3Z,0.07732523729147942
MATS3c,-0.18393052746065658
MATS3d,-0.054637044691294226
MATS3i,-0.09692430524907042
MATS3m,0.08449090476648496
MATS3p,0.009165077323301143
MATS3s,0.031324245471495815
MATS3v,0.08459354268490808
MATS4Z,0.03567132116004295
MATS4c,0.29899178807643606
MATS4d,-0.2134177215189874
MATS4i,-0.10780658690591953
MATS4m,0.028381233614372947
MATS4p,-0.24206700268612727
MATS4s,0.0915901800928865
MATS4v,-0.17287832202564232
MATS5Z,-0.20782185054472913
MATS5c,-0.31454053650598385
MATS5d,-0.025881555153707072
MATS5i,0.036922118943300414
MATS5m,-0.20018017716070818
MATS5p,-0.03786507387384525
MATS5s,-0.16113431457322555
MATS5v,0.00644933060955996
MATS6Z,0.013630656117154008
MATS6c,0.19317458813478014
MATS6d,-0.004546264931360292
MATS6i,0.004111062044734243
MATS6m,0.01778265849383807
MATS6p,0.038928285164936016
MATS6s,-0.026019770791196353
MATS6v,0.032773997012114156
MATS7Z,-0.18714064573197697
MATS7c,-0.1632616755675541
MATS7d,-0.11308637379002238
MATS7i,-0.014686592986610457
MATS7m,-0.17825604719840493
MATS7p,0.04082829794045692
MATS7s,-0.2583528090093818
MATS7v,0.013250589387651645
MATS8Z,-0.11225400061898087
MATS8c,0.1979248471066365
MATS8d,-0.2664664235142673
MATS8i,-0.0967707010535462
MATS8m,-0.10894708829974681
MATS8p,-0.14283225668674307
MATS8s,0.17747525807180636
MATS8v,-0.18134544901703256
MAXaaS,1.2972427721088433
MAXsOH,9.521723828420257
MINaaS,1.2972427721088433
MINsOH,9.521723828420257
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,5
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,29.169807183753413
SpAD_D,208.9555898990206
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,4.591515183399653
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,696
TMWC10,122.91601868208899
TSRW10,71.8176943260601
VE1_Dt,4.754524535902299
VE2_Dt,0.20671845808270867
VE3_Dt,2.3920058214833104
VR1_Dt,125.23233114558973
VR2_Dt,5.444883962851727
VR3_Dt,5.663079784251067
Xc-3dv,0.743885646492825
Xc-4dv,0.0
Xc-5dv,0.17880771620316963
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.07856742013183861
Xch-6d,0.29536092116265145
Xch-7d,0.6058118733394974
Xp-0dv,13.211354503519745
Xp-1dv,8.330039246486217
Xp-2dv,6.612870818649563
Xp-3dv,5.1879484369435325
Xp-4dv,4.149184906256105
Xp-5dv,2.965273583930509
Xp-6dv,2.050879172122733
Xp-7dv,1.2313121042495512
Xpc-4d,3.634926148465662
Xpc-5d,6.399362154371874
Xpc-6d,9.418844336608961
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,1
n7Ring,1
n8Ring,0
n9Ring,0
nARing,1
nBonds,41
nFRing,1
nHBAcc,3
nHBDon,2
nHRing,1
nSpiro,0
naRing,2
piPC10,6.5388179584712045
AATS0dv,8.883190883190883
AATS0pe,6.544146153846155
AATS0se,7.966277666666663
AATS1dv,7.61788617886179
AATS1pe,6.547939024390244
AATS1se,7.815916585365851
AATS2dv,6.39906103286385
AATS2pe,6.382456338028169
AATS2se,7.726315211267601
AATS3dv,5.071428571428571
AATS3pe,6.230581632653062
AATS3se,7.676398857142856
AATS4dv,4.696666666666667
AATS4pe,6.4362369999999975
AATS4se,7.910998079999997
AATS5dv,4.507936507936508
AATS5pe,6.494345238095237
AATS5se,8.01847838095238
AATS6dv,5.27699530516432
AATS6pe,6.719452112676057
AATS6se,8.2087923943662
AATS7dv,4.75
AATS7pe,6.593308823529412
AATS7se,8.094676029411763
AATS8dv,4.728813559322034
AATS8pe,6.6092271186440685
AATS8se,8.044046576271187
AATSC0Z,11.017751479289942
AATSC0c,0.023180258646192893
AATSC0d,0.6232741617357
AATSC0i,2.0916274792703953
AATSC0m,50.560867366512596
AATSC0p,0.30967650575702305
AATSC0s,3.131074874031506
AATSC0v,50.83482815224175
AATSC1Z,0.27493144753932724
AATSC1c,-0.014890254493223037
AATSC1d,0.19035935921489403
AATSC1i,0.14587886110815254
AATSC1m,1.346375870592858
AATSC1p,0.03759854903322097
AATSC1s,-0.09923913307200695
AATSC1v,4.247539941212577
AATSC2Z,1.2541878489874156
AATSC2c,0.004054331725544038
AATSC2d,0.0600050004167014
AATSC2i,-0.14554266083815962
AATSC2m,5.563844435283773
AATSC2p,0.001715395935311817
AATSC2s,0.46890823308079643
AATSC2v,-1.3019444831251819
AATSC3Z,0.8519502475546431
AATSC3c,-0.004263557199468704
AATSC3d,-0.03405385822968239
AATSC3i,-0.20272954026814746
AATSC3m,4.271933429574893
AATSC3p,0.0028382091204728283
AATSC3s,0.09807855794379573
AATSC3v,4.300298205176629
AATSC4Z,0.3930177514792898
AATSC4c,0.00693070698069948
AATSC4d,-0.13301775147928996
AATSC4i,-0.22549121961877325
AATSC4m,1.4349797884743196
AATSC4p,-0.0749624635509158
AATSC4s,0.28677571159685755
