DLiP-ID,C001ZD
Sm,32.001282424444256
Sp,30.67693473053893
Sv,30.143141664970482
nB,0
nC,19
nF,1
nH,17
nI,0
nN,4
nO,4
nP,0
nS,0
nX,1
ABC,22.074788614108524
AMW,8.536075183200012
IC0,1.7985755172922548
IC1,3.746914210603452
IC2,4.477375664009602
IC3,4.914075318551896
IC4,5.002964207440785
IC5,5.002964207440785
MID,57.64592755760446
Mpe,1.008714596949891
Mse,1.032855871166141
NdO,2
NdS,0
NsF,1
NsI,0
NtN,0
SMR,100.04840000000003
SdO,24.301296265927537
SdS,0
Spe,45.39215686274509
SsF,14.492143487024439
SsI,0
Sse,46.47851420247635
StN,0
fMF,0.5111111111111111
nBr,0
nCl,0
AMID,2.058783127057302
BIC0,0.30835066543763856
BIC1,0.6423769694789973
BIC2,0.7676084502084948
BIC3,0.8424769379533008
BIC4,0.8577161913376485
BIC5,0.8577161913376485
CIC0,3.69327757903742
CIC1,1.744938885726223
CIC2,1.0144774323200725
CIC3,0.5777777777777784
CIC4,0.4888888888888898
CIC5,0.4888888888888898
GGI1,5.0
GGI2,3.1111111111111125
GGI3,2.1875
GGI4,2.1422222222222227
GGI5,1.2291666666666667
GGI6,0.8914285714285716
GGI7,0.4774305555555556
GGI8,0.3318216175359032
GGI9,0.185
JGI1,0.16129032258064513
JGI2,0.07070707070707073
JGI3,0.04557291666666666
JGI4,0.04657004830917874
JGI5,0.02560763888888889
JGI6,0.018966565349544075
JGI7,0.011367394179894179
JGI8,0.00975945933929127
JGI9,0.008809523809523812
MIC0,18.475134353640776
MIC1,38.87763083930239
MIC2,43.92992006104243
MIC3,45.34815775726551
MIC4,45.43775775726551
MIC5,45.43775775726551
MPC2,44
MPC3,60
MPC4,81
MPC5,110
MPC6,124
MPC7,149
MPC8,177
MPC9,199
Mare,1.0247111111111116
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.1605625784020451
RPCG,0.11439861360177048
SIC0,0.3274988397803798
SIC1,0.6822677418497586
SIC2,0.8152759342747041
SIC3,0.8947936575062578
SIC4,0.9109792486591411
SIC5,0.9109792486591411
SaaN,4.5392535903250195
SaaO,0
SaaS,0
Sare,46.112000000000016
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,5.346513604796606
SssS,0
StCH,0
StsC,0
TIC0,80.93589827815147
TIC1,168.61113947715535
TIC2,201.4819048804321
TIC3,221.13338933483533
TIC4,225.13338933483533
TIC5,225.13338933483533
Vabc,316.5417210310365
WPol,48
apol,51.230481
bpol,26.497518999999997
nRot,4
ABCGG,17.1127097111777
ATS0Z,1234.0
ATS0d,167.0
ATS0i,7443.012204412234
ATS0m,4927.8869111497725
ATS0p,68.27058438243297
ATS0s,333.7222222222222
ATS0v,10591.108594989391
ATS1Z,1366.0
ATS1d,213.0
ATS1i,7156.786085724296
ATS1m,5281.066898835204
ATS1p,86.79826327000005
ATS1s,172.61111111111111
ATS1v,13256.81753115931
ATS2Z,2036.0
ATS2d,332.0
ATS2i,13033.19504406574
ATS2m,7731.001951670397
ATS2p,130.180317708245
ATS2s,337.66666666666663
ATS2v,19678.909537673168
ATS3Z,2316.0
ATS3d,384.0
ATS3i,17487.56171681649
ATS3m,8661.6114787184
ATS3p,152.96097171318794
ATS3s,398.2777777777777
ATS3v,22643.30830426877
ATS4Z,2281.0
ATS4d,375.0
ATS4i,18694.879921312382
ATS4m,8477.286106356798
ATS4p,149.49873579413094
ATS4s,441.1944444444444
ATS4v,22009.254606454593
ATS5Z,2361.0
ATS5d,362.0
ATS5i,18133.649143642084
ATS5m,8884.7392305152
ATS5p,142.92510830628197
ATS5s,487.83333333333326
ATS5v,21628.654963856894
ATS6Z,2344.0
ATS6d,352.0
ATS6i,16497.795442383846
ATS6m,8757.867532143993
ATS6p,148.848773109396
ATS6s,513.3333333333333
ATS6v,22167.045640700668
ATS7Z,2109.0
ATS7d,346.0
ATS7i,17344.50364676799
ATS7m,7718.536991766399
ATS7p,157.17121246464103
ATS7s,382.27777777777777
ATS7v,22410.260779224085
ATS8Z,1932.0
ATS8d,294.0
ATS8i,18822.642104811937
ATS8m,6877.128030256002
ATS8p,142.01470277203697
ATS8s,431.3333333333333
ATS8v,19810.4982650146
C1SP1,0
C1SP2,2
C1SP3,5
C2SP1,0
C2SP2,11
C2SP3,0
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.2631578947368421
GGI10,0.08254259769411285
JGI10,0.008254259769411285
JGT10,0.40690519960011484
Kier1,21.240374609781476
Kier2,9.427685950413224
Kier3,4.694444444444445
MAXdO,13.208930303602923
MAXsF,14.492143487024439
MID_C,39.990863634997055
MID_N,8.636652940042087
MID_O,7.240398429275972
MID_X,1.778012553289352
MID_h,17.65506392260741
MINdO,11.092365962324614
MINsF,14.492143487024439
MPC10,206
MWC01,31.0
MWC02,5.017279836814924
MWC03,5.883322388488279
MWC04,6.776506992372183
MWC05,7.666221925662725
MWC06,8.569595870209286
MWC07,9.470317173335742
MWC08,10.380063288102246
MWC09,11.287115862898899
MWC10,12.20093446767405
NaaCH,7
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,4
NaasN,1
NdCH2,0
NddsN,1
NdsCH,0
NdssC,0
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,2.2652
SRW02,4.143134726391533
SRW03,0.0
SRW04,5.476463551931511
SRW05,0.0
SRW06,7.020190708311925
SRW07,0.0
SRW08,8.662677858158219
SRW09,0.0
SRW10,10.359106973305016
SaaCH,9.846043543731133
SaaNH,0
SaaSe,0
SaaaC,0.41169377781977
SaasC,-0.34551865737877563
SaasN,1.2052135298563869
SdCH2,0
SddsN,-0.575433335753953
SdsCH,0
SdssC,0
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,2.0692871315192742
SsssP,0
VE1_A,4.41799100735227
VE1_D,5.199188272740102
VE2_A,0.15778539311972392
VE2_D,0.18568529545500365
VE3_A,2.5153044867203054
VE3_D,2.6781219291873146
VR1_A,286.9520891535268
VR1_D,178.67160489999625
VR2_A,10.248288898340244
VR2_D,6.381128746428438
VR3_A,6.6889346822579965
VR3_D,6.215168928567541
WPath,1903
Xc-3d,1.8488864667776757
Xc-4d,0.0
Xc-5d,0.5745670200355856
Xc-6d,0.0
Xp-0d,19.672997628507925
Xp-1d,13.541713895658196
Xp-2d,12.338665978340757
Xp-3d,10.49681027956955
Xp-4d,8.86555064034409
Xp-5d,7.568256901654208
Xp-6d,5.306819395613818
Xp-7d,3.978666697386607
ZMIC0,88.61517816078413
ZMIC1,45.28518604377563
ZMIC2,31.86367082798566
ZMIC3,28.242904143727504
ZMIC4,27.932517201831534
ZMIC5,27.932517201831534
nAcid,0
nAtom,45
nBase,1
nRing,4
piPC1,3.7495040759303713
piPC2,4.394449154672439
piPC3,5.043425116919247
piPC4,5.699188605645974
piPC5,6.344868522256346
piPC6,6.78307743491824
piPC7,7.261137307220076
piPC8,7.73496544912515
piPC9,8.15581860536767
AATS0Z,27.42222222222222
AATS0d,3.7111111111111112
AATS0i,165.40027120916073
AATS0m,109.5085980255505
AATS0p,1.5171240973873994
AATS0s,7.416049382716048
AATS0v,235.35796877754203
AATS1Z,28.458333333333332
AATS1d,4.4375
AATS1i,149.09971011925617
AATS1m,110.02222705906674
AATS1p,1.8082971514583344
AATS1s,3.596064814814815
AATS1v,276.18369856581893
AATS2Z,24.53012048192771
AATS2d,4.0
AATS2i,157.02644631404507
AATS2m,93.14460182735418
AATS2p,1.5684375627499398
AATS2s,4.068273092369478
AATS2v,237.09529563461646
AATS3Z,21.444444444444443
AATS3d,3.5555555555555554
AATS3i,161.92186774830083
AATS3m,80.20010628442962
AATS3p,1.416305293640629
AATS3s,3.68775720164609
AATS3v,209.66026207656267
AATS4Z,19.83478260869565
AATS4d,3.260869565217391
AATS4i,162.56417322880333
AATS4m,73.71553135962434
AATS4p,1.2999890069054865
AATS4s,3.8364734299516905
AATS4v,191.38482266482254
AATS5Z,21.660550458715598
AATS5d,3.3211009174311927
AATS5i,166.36375361139525
AATS5m,81.51136908729542
AATS5p,1.3112395257457061
AATS5s,4.475535168195718
AATS5v,198.42802719134764
AATS6Z,22.980392156862745
AATS6d,3.450980392156863
AATS6i,161.74309257239065
AATS6m,85.86144639356856
AATS6p,1.4593016971509412
AATS6s,5.0326797385620905
AATS6v,217.3239768696144
AATS7Z,19.0
AATS7d,3.1171171171171173
AATS7i,156.25678961052242
AATS7m,69.53636929519278
AATS7p,1.4159568690508202
AATS7s,3.443943943943944
AATS7v,201.89424125427104
AATS8Z,16.655172413793103
AATS8d,2.5344827586206895
AATS8i,162.264156075965
AATS8m,59.28558646772415
AATS8p,1.2242646790692842
AATS8s,3.7183908045977008
AATS8v,170.78015745702243
AMID_C,1.4282451298213235
AMID_N,0.3084518907157888
AMID_O,0.25858565818842755
AMID_X,0.06350044833176258
AMID_h,0.6305379972359789
ATS0dv,492.0
ATS0pe,305.9686999999999
ATS0se,367.69709999999986
ATS1dv,446.0
ATS1pe,326.55820000000006
ATS1se,385.0119199999997
ATS2dv,667.0
ATS2pe,561.0098
ATS2se,670.4749359999996
ATS3dv,742.0
ATS3pe,716.3680000000003
ATS3se,864.6358519999999
ATS4dv,727.0
ATS4pe,750.4570999999999
ATS4se,913.4794760000001
ATS5dv,763.0
ATS5pe,736.5053000000003
ATS5se,890.0474560000001
ATS6dv,734.0
ATS6pe,700.1049999999999
ATS6se,837.5530640000004
ATS7dv,536.0
ATS7pe,712.8499999999998
ATS7se,867.4151840000004
ATS8dv,473.0
ATS8pe,748.7694
ATS8se,916.5773840000004
ATSC0Z,345.11111111111114
ATSC0c,0.8819089941182238
ATSC0d,28.311111111111103
ATSC0i,91.94001908560713
ATSC0m,1644.8135635339615
ATSC0p,9.946980304847195
ATSC0s,144.26790123456786
ATSC0v,2039.7471703920476
ATSC1Z,25.259259259259238
ATSC1c,-0.2903894405615207
ATSC1d,8.06814814814816
ATSC1i,-16.06153555012848
ATSC1m,114.34469016364955
ATSC1p,-0.745105126427607
ATSC1s,-2.84502057613168
ATSC1v,-79.81696512000379
ATSC2Z,-0.049382716049388264
ATSC2c,-0.12080799093936843
ATSC2d,1.448395061728397
ATSC2i,-11.50891816443095
ATSC2m,5.2471712088477815
ATSC2p,0.42476190167988137
ATSC2s,28.460192043895752
ATSC2v,72.74530739786223
ATSC3Z,-4.000000000000007
ATSC3c,0.20594374707482813
ATSC3d,0.5866666666666669
ATSC3i,13.50483085520706
ATSC3m,-11.082454222235413
ATSC3p,0.5902031536344557
ATSC3s,6.921234567901248
ATSC3v,156.806480552256
ATSC4Z,68.16049382716048
ATSC4c,-0.37064988737860743
ATSC4d,2.6271604938271618
ATSC4i,-46.8033580921665
ATSC4m,323.1386645253754
ATSC4p,-1.804733430729821
ATSC4s,-17.470438957475984
ATSC4v,121.66588339809668
ATSC5Z,91.8641975308642
ATSC5c,-0.21569270196963397
ATSC5d,-0.7758024691358026
ATSC5i,24.507405044214416
ATSC5m,456.5806479336855
ATSC5p,3.88781712842967
ATSC5s,0.14614540466391746
ATSC5v,867.0381339766432
ATSC6Z,-98.96296296296296
ATSC6c,0.627706432446457
ATSC6d,-14.794074074074077
ATSC6i,31.79558633764115
ATSC6m,-488.0581966230844
ATSC6p,0.25150311646721696
ATSC6s,40.63226337448559
ATSC6v,-469.86764228413176
ATSC7Z,-120.62962962962965
ATSC7c,-0.3636506648312669
ATSC7d,-22.90074074074074
ATSC7i,-38.02929689068276
ATSC7m,-573.811811765203
ATSC7p,-5.291269354264555
ATSC7s,-30.987983539094632
ATSC7v,-1022.0553013459631
ATSC8Z,-154.41975308641972
ATSC8c,-0.10297071882709873
ATSC8d,-10.33530864197531
ATSC8i,-23.809026971903943
ATSC8m,-768.4681530050973
ATSC8p,-7.167933679322606
ATSC8s,-36.1165157750343
ATSC8v,-1498.1441847933154
AXp-0d,0.7026070581609973
AXp-1d,0.4368294805051031
AXp-2d,0.28042422678047174
AXp-3d,0.17494683799282582
AXp-4d,0.10945124247338382
AXp-5d,0.06880233546958371
AXp-6d,0.042796930609788855
AXp-7d,0.026702461056285955
GATS1Z,0.6069301352221507
GATS1c,1.263485432287223
GATS1d,0.7285125588697019
GATS1i,1.224992391892401
GATS1m,0.6126063413664045
GATS1p,1.092498980736184
GATS1s,0.5081370820746726
GATS1v,0.9456072535081159
GATS2Z,0.8164299179978121
GATS2c,1.2739144431506608
GATS2d,1.0673147850428404
GATS2i,1.0657191033005902
GATS2m,0.8133667928312849
GATS2p,0.9482598432526371
GATS2s,0.47769227985476237
GATS2v,0.8987450055078797
GATS3Z,0.9042713028546897
GATS3c,0.9416874490610003
GATS3d,1.036106750392465
GATS3i,0.9558010615577827
GATS3m,0.9036939482620082
GATS3p,0.9353541654755494
GATS3s,0.6469231624977538
GATS3v,0.9201397430229334
GATS4Z,0.8852599456871691
GATS4c,1.110767430629749
GATS4d,1.0541259982253774
GATS4i,1.1816724836191432
GATS4m,0.8878327040667645
GATS4p,1.0518600663941016
GATS4s,0.9885962441646444
GATS4v,0.9702787883578643
GATS5Z,0.8743361472615889
GATS5c,1.2234494431239147
GATS5d,1.1264096323074047
GATS5i,0.9062521683959731
GATS5m,0.8682065903514795
GATS5p,0.7706897747475545
GATS5s,1.0029477728326783
GATS5v,0.7593014057614738
GATS6Z,1.0093367675466838
GATS6c,0.7839724602584695
GATS6d,1.2798965740142214
GATS6i,0.9432464924287696
GATS6m,1.0143400572361476
GATS6p,0.944763353243717
GATS6s,0.8413752555285019
GATS6v,1.0043284970671598
GATS7Z,1.028575903656393
GATS7c,0.9718005234331685
GATS7d,1.3231363231363236
GATS7i,1.1692892421171284
GATS7m,1.0342132453391426
GATS7p,1.2695904454029947
GATS7s,0.8776041588367768
GATS7v,1.2297863604178727
GATS8Z,1.1721862024557583
GATS8c,0.7074803423480435
GATS8d,0.9043604179072161
GATS8i,1.2007191203939767
GATS8m,1.1889303605883377
GATS8p,1.3239666646580073
GATS8s,1.0790343369865856
GATS8v,1.3202822685361852
MATS1Z,0.0686171925305859
MATS1c,-0.30869409694435057
MATS1d,0.2671703296703301
MATS1i,-0.16377731621118047
MATS1m,0.06517343327234064
MATS1p,-0.07022594140308921
MATS1s,-0.018487874068305665
MATS1v,-0.03668513720042138
MATS2Z,-7.758012086983702e-05
MATS2c,-0.07426878371516087
MATS2d,0.027737322918045856
MATS2i,-0.06786788789565557
MATS2m,0.001729589251505426
MATS2p,0.023152010986097853
MATS2s,0.1069553550725318
MATS2v,0.019335840968405342
MATS3Z,-0.004829362524146821
MATS3c,0.09730016950366709
MATS3d,0.008634222919937212
MATS3i,0.06120308558014171
MATS3m,-0.0028074241127629238
MATS3p,0.024722878013660753
MATS3s,0.019989531364545315
MATS3v,0.03203143728390718
MATS4Z,0.07728379853859288
MATS4c,-0.1644579128003039
MATS4d,0.036311514572384164
MATS4i,-0.1991989744669638
MATS4m,0.0768753171683606
MATS4p,-0.07099642469057023
MATS4s,-0.047385861054257676
MATS4v,0.023340338374694958
MATS5Z,0.10989384263662517
MATS5c,-0.10097124120648539
MATS5d,-0.011313064393011973
MATS5i,0.11004713864598124
MATS5m,0.11460058571367414
MATS5p,0.16136174678655543
MATS5s,0.00041821679174568595
MATS5v,0.1754881822596507
MATS6Z,-0.1265103594560812
MATS6c,0.3140112078221269
MATS6d,-0.23053836919383147
MATS6i,0.15257191264734013
MATS6m,-0.13090832748558226
MATS6p,0.011154868499224717
MATS6s,0.12425493400933973
MATS6v,-0.10162756986528182
MATS7Z,-0.14170480847879433
MATS7c,-0.167166846222346
MATS7d,-0.3279307565021852
MATS7i,-0.167688485129576
MATS7m,-0.14143026014162552
MATS7p,-0.21565431235743993
MATS7s,-0.08707894078903086
MATS7v,-0.20313632483640848
MATS8Z,-0.17357950129893193
MATS8c,-0.045294398563163765
MATS8d,-0.14161884913116446
MATS8i,-0.10045963178056923
MATS8m,-0.18124403407873949
MATS8p,-0.27954855062580136
MATS8s,-0.09711597109700544
MATS8v,-0.28492581426133096
MAXaaN,4.5392535903250195
MAXssO,5.346513604796606
MINaaN,4.5392535903250195
MINssO,5.346513604796606
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,5
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,36.55077148923823
SpAD_D,282.68585897498417
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,2.8235675453861777
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1209
TMWC10,136.25135780555834
TSRW10,63.6615738180982
VE1_Dt,5.245584701496156
VE2_Dt,0.18734231076771987
VE3_Dt,2.6870061306991873
VR1_Dt,171.66127789284533
VR2_Dt,6.130759924744476
VR3_Dt,6.175142637768616
Xc-3dv,0.7081016789284705
Xc-4dv,0.0
Xc-5dv,0.10398056022573499
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.2987977088559277
Xch-7d,0.49806968805034807
Xp-0dv,14.89930039417004
Xp-1dv,8.84921785095861
Xp-2dv,6.514158901268486
Xp-3dv,4.726723340884493
Xp-4dv,3.3006589372135773
Xp-5dv,2.3450934572900435
Xp-6dv,1.2980318080032212
Xp-7dv,0.8403294554237107
Xpc-4d,4.6236738354969065
Xpc-5d,7.379107298589547
Xpc-6d,12.338714473371697
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,4
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,48
nFRing,1
nHBAcc,7
nHBDon,0
nHRing,2
nSpiro,0
naRing,3
piPC10,8.439823535558483
AATS0dv,10.933333333333334
AATS0pe,6.799304444444442
AATS0se,8.171046666666664
AATS1dv,9.291666666666666
AATS1pe,6.803295833333334
AATS1se,8.02108166666666
AATS2dv,8.036144578313253
AATS2pe,6.75915421686747
AATS2se,8.078011277108429
AATS3dv,6.87037037037037
AATS3pe,6.63303703703704
AATS3se,8.005887518518518
AATS4dv,6.321739130434783
AATS4pe,6.525713913043477
AATS4se,7.943299791304349
AATS5dv,7.0
AATS5pe,6.7569293577981675
AATS5se,8.165572990825689
AATS6dv,7.196078431372549
AATS6pe,6.86377450980392
AATS6se,8.211304549019612
AATS7dv,4.828828828828829
AATS7pe,6.42207207207207
AATS7se,7.814551207207211
AATS8dv,4.077586206896552
AATS8pe,6.454908620689656
AATS8se,7.901529172413796
AATSC0Z,7.669135802469136
AATSC0c,0.01959797764707164
AATSC0d,0.6291358024691356
AATSC0i,2.043111535235714
AATSC0m,36.551412522976925
AATSC0p,0.2210440067743821
AATSC0s,3.2059533607681745
AATSC0v,45.327714897601055
AATSC1Z,0.5262345679012341
AATSC1c,-0.006049780011698348
AATSC1d,0.16808641975308666
AATSC1i,-0.33461532396100996
AATSC1m,2.3821810450760323
AATSC1p,-0.015523023467241812
AATSC1s,-0.05927126200274333
AATSC1v,-1.662853440000079
AATSC2Z,-0.0005949724825227502
AATSC2c,-0.0014555179631249209
AATSC2d,0.017450542912390326
AATSC2i,-0.13866166463169818
AATSC2m,0.06321893022708171
AATSC2p,0.005117613273251583
AATSC2s,0.34289388004693677
AATSC2v,0.8764494867212317
AATSC3Z,-0.037037037037037104
AATSC3c,0.0019068865469891493
AATSC3d,0.005432098765432101
AATSC3i,0.1250447301408061
AATSC3m,-0.10261531687255011
AATSC3p,0.00546484401513385
AATSC3s,0.06408550525834489
AATSC3v,1.4519118569653333
AATSC4Z,0.5926999463231346
AATSC4c,-0.0032230424989444124
AATSC4d,0.022844873859366625
AATSC4i,-0.40698572254057824
AATSC4m,2.8099014306554384
AATSC4p,-0.015693334180259314
AATSC4s,-0.15191686049979117
