DLiP-ID,I000LB
SsBr,3.432277993172134
SsCl,12.01535853351237
SsLi,0
SsOH,0
SsSH,0
SssO,5.92853893717981
SssS,0
StCH,0
StsC,0
TIC0,78.40846256498857
TIC1,157.17436284790145
TIC2,196.8258473023047
TIC3,218.47733175670794
TIC4,220.47733175670794
TIC5,220.47733175670794
Vabc,342.9326282443625
WPol,43
apol,53.74789499999999
bpol,24.340104999999998
nRot,4
ABCGG,16.53713040137442
ATS0Z,2792.0
ATS0d,163.0
ATS0i,6637.576255175036
ATS0m,12814.609575999999
ATS0p,82.81520557273498
ATS0s,195.75553459838443
ATS0v,11360.228356593216
ATS1Z,1560.0
ATS1d,209.0
ATS1i,6472.731280581496
ATS1m,6223.487639000003
ATS1p,92.86852465000004
ATS1s,136.23251028806584
ATS1v,13527.615769977638
ATS2Z,2557.0
ATS2d,334.0
ATS2i,11977.953080076491
ATS2m,10140.097662000006
ATS2p,146.00967163254703
ATS2s,239.38580246913577
ATS2v,20756.01438380215
ATS3Z,2800.0
ATS3d,350.0
ATS3i,16416.896247663004
ATS3m,10644.383296999998
ATS3p,166.584788698792
ATS3s,315.61008230452677
ATS3v,22723.36649991685
ATS4Z,2843.0
ATS4d,309.0
ATS4i,16568.226542214732
ATS4m,11116.423960000002
ATS4p,145.28829885013104
ATS4s,366.64572854747735
ATS4v,20017.365744954976
ATS5Z,2298.0
ATS5d,278.0
ATS5i,14314.068298527369
ATS5m,8632.607029000003
ATS5p,130.265379849339
ATS5s,320.52829218106996
ATS5v,17984.34456190604
ATS6Z,2418.0
ATS6d,251.0
ATS6i,12288.506140272442
ATS6m,9487.277293000001
ATS6p,128.12405069479203
ATS6s,237.62551440329216
ATS6v,17640.985930635117
ATS7Z,1963.0
ATS7d,248.0
ATS7i,13952.722670877218
ATS7m,7471.27084
ATS7p,124.65511422843299
ATS7s,220.19135802469128
ATS7v,15914.89043319399
ATS8Z,1844.0
ATS8d,194.0
ATS8i,11141.271409180114
ATS8m,6829.635858000002
ATS8p,106.00124097049002
ATS8s,187.49588477366254
ATS8v,13268.089931365022
C1SP1,0
C1SP2,1
C1SP3,2
C2SP1,0
C2SP2,11
C2SP3,3
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.2631578947368421
GGI10,0.08244056728905214
JGI10,0.004849445134650125
JGT10,0.488021520548209
Kier1,20.28
Kier2,8.393595041322314
Kier3,4.302212008043665
MAXdO,12.800389654637488
MID_C,39.903883851853614
MID_N,4.495891985294723
MID_O,5.659492027687477
MID_X,5.290453058450031
MID_h,15.445837071432232
MINdO,12.767982247230082
MPC10,174
MWC01,30.0
MWC02,5.003946305945459
MWC03,5.872117789475416
MWC04,6.78105762593618
MWC05,7.669028288589683
MWC06,8.585412430393381
MWC07,9.485013189834323
MWC08,10.40665391893463
MWC09,11.314730591019984
MWC10,12.240440255250597
NaaCH,7
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,2
NsssP,0
SLogP,4.882200000000004
SRW02,4.110873864173311
SRW03,0.0
SRW04,5.4680601411351315
SRW05,3.044522437723423
SRW06,7.002155954403621
SRW07,5.53338948872752
SRW08,8.624252263709645
SRW09,7.727094484779841
SRW10,10.298262389436102
SaaCH,12.530246321308592
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,3.157769704409698
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.6353909465020569
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,2.704041637775404
SsssP,0
VE1_A,3.9565672797721545
VE1_D,5.111290061482269
VE2_A,0.14653952888045016
VE2_D,0.18930703931415813
VE3_A,2.368628573803824
VE3_D,2.624703603579392
VR1_A,626.55319870502
VR1_D,168.2466714192536
VR2_A,23.20567402611185
VR2_D,6.231358200713096
VR3_A,7.433485457875515
VR3_D,6.118682957798583
WPath,2001
Xc-3d,2.2091171784617387
Xc-4d,0.0
Xc-5d,0.39654601119470523
Xc-6d,0.0
Xp-0d,19.12902755413791
Xp-1d,12.91872399336994
Xp-2d,12.35340610389249
Xp-3d,10.113345269439197
Xp-4d,9.185530286419112
Xp-5d,6.815627095726285
Xp-6d,5.000089764880149
Xp-7d,3.246565209160593
ZMIC0,88.03554086917757
ZMIC1,52.74521313559234
ZMIC2,36.616770436575436
ZMIC3,33.53046687349852
ZMIC4,30.784305150296667
ZMIC5,30.784305150296667
nAcid,0
nAtom,42
nBase,0
nRing,4
piPC1,3.6635616461296463
piPC2,4.23410650459726
piPC3,4.718498871295094
piPC4,5.25227342804663
piPC5,5.648093568795613
piPC6,5.752771031842849
piPC7,5.8282100530312535
piPC8,6.174567048885008
piPC9,6.256229773113011
AATS0Z,66.47619047619048
AATS0d,3.880952380952381
AATS0i,158.0375298851199
AATS0m,305.1097518095238
AATS0p,1.9717906088746424
AATS0s,4.660846061866296
AATS0v,270.4816275379337
AATS1Z,34.666666666666664
AATS1d,4.644444444444445
AATS1i,143.83847290181103
AATS1m,138.29972531111116
AATS1p,2.0637449922222233
AATS1s,3.0273891175125742
AATS1v,300.6136837772808
AATS2Z,32.36708860759494
AATS2d,4.227848101265823
AATS2i,151.61965924147458
AATS2m,128.355666607595
AATS2p,1.8482236915512282
AATS2s,3.0302000312548834
AATS2v,262.73435928863483
AATS3Z,26.666666666666668
AATS3d,3.3333333333333335
AATS3i,156.35139283488576
AATS3m,101.3750790190476
AATS3p,1.5865217971313526
AATS3s,3.0058103076621596
AATS3v,216.41301428492238
AATS4Z,27.601941747572816
AATS4d,3.0
AATS4i,160.8565683710168
AATS4m,107.92644621359226
AATS4p,1.4105660082536995
AATS4s,3.5596672674512364
AATS4v,194.3433567471357
AATS5Z,25.820224719101123
AATS5d,3.1235955056179776
AATS5i,160.8322280733412
AATS5m,96.99558459550565
AATS5p,1.4636559533633597
AATS5s,3.6014414851805614
AATS5v,202.07128721242742
AATS6Z,30.225
AATS6d,3.1375
AATS6i,153.60632675340554
AATS6m,118.59096616250001
AATS6p,1.6015506336849004
AATS6s,2.970318930041152
AATS6v,220.51232413293897
AATS7Z,22.563218390804597
AATS7d,2.8505747126436782
AATS7i,160.37612265376112
AATS7m,85.87667632183908
AATS7p,1.4328174049245173
AATS7s,2.5309351497090953
AATS7v,182.92977509418378
AATS8Z,26.34285714285714
AATS8d,2.7714285714285714
AATS8i,159.16102013114448
AATS8m,97.56622654285718
AATS8p,1.5143034424355717
AATS8s,2.6785126396237504
AATS8v,189.54414187664318
AMID_C,1.4779216241427264
AMID_N,0.16651451797387862
AMID_O,0.20961081584027694
AMID_X,0.19594270586851967
AMID_h,0.5720680396826753
ATS0dv,364.2770919067215
ATS0pe,278.86429999999996
ATS0se,339.01839499999994
ATS1dv,366.25925925925924
ATS1pe,299.95650000000006
ATS1se,355.63720599999976
ATS2dv,536.8888888888889
ATS2pe,528.7504000000001
ATS2se,633.2585479999997
ATS3dv,549.2592592592594
ATS3pe,689.8632
ATS3se,841.0378
ATS4dv,486.34567901234567
ATS4pe,672.591
ATS4se,826.8599649999999
ATS5dv,447.0
ATS5pe,594.1762
ATS5se,727.909102
ATS6dv,316.88888888888886
ATS6pe,519.1244
ATS6se,633.38481
ATS7dv,271.25925925925924
ATS7pe,540.0484999999999
ATS7se,672.644708
ATS8dv,273.74074074074076
ATS8pe,447.99090000000007
ATS8se,556.129232
ATSC0Z,1465.9047619047617
ATSC0c,0.7143103225568066
ATSC0d,29.071428571428573
ATSC0i,60.22398624646293
ATSC0m,7551.862415619045
ATSC0p,14.03339088390107
ATSC0s,68.5632509653
ATSC0v,2166.811166140835
ATSC1Z,2.72108843537416
ATSC1c,-0.47515373308139536
ATSC1d,4.280612244897952
ATSC1i,-14.659158990250848
ATSC1m,11.785198074829918
ATSC1p,-0.7716526279404297
ATSC1s,-1.4414143867804694
ATSC1v,-48.819329527458635
ATSC2Z,27.89342403628118
ATSC2c,0.244703722727641
ATSC2d,-3.372448979591841
ATSC2i,5.590226039006966
ATSC2m,147.61764081179135
ATSC2p,1.6826209513553447
ATSC2s,0.3347418563396492
ATSC2v,-9.285610694336228
ATSC3Z,-408.4761904761905
ATSC3c,-0.13558529468298675
ATSC3d,-9.821428571428573
ATSC3i,-12.443875771139354
ATSC3m,-1999.893317095238
ATSC3p,-4.307632031062464
ATSC3s,-7.435544791190366
ATSC3v,-832.1168944114875
ATSC4Z,313.09070294784584
ATSC4c,-0.019314165360740605
ATSC4d,-1.841836734693877
ATSC4i,-6.977399376294592
ATSC4m,1466.7204921723358
ATSC4p,3.525020018199798
ATSC4s,14.496069207353209
ATSC4v,557.8638598869289
ATSC5Z,-364.8934240362812
ATSC5c,-0.04603633386282585
ATSC5d,1.0867346938775517
ATSC5i,23.435359205793304
ATSC5m,-1838.2215913356008
ATSC5p,1.0938456083320833
ATSC5s,-15.54396745711188
ATSC5v,50.22934153900022
ATSC6Z,263.22902494331066
ATSC6c,0.1817535838390196
ATSC6d,-6.397959183673469
ATSC6i,-28.02264981333295
ATSC6m,1211.1016533446716
ATSC6p,-4.978617475040754
ATSC6s,-6.2013216777591476
ATSC6v,-574.8591784980033
ATSC7Z,18.006802721088366
ATSC7c,-0.14209791453892134
ATSC7d,-1.3622448979591828
ATSC7i,4.3427438063700725
ATSC7m,106.00293164625847
ATSC7p,3.140172932509705
ATSC7s,-12.480663040440994
ATSC7v,323.23010895178646
ATSC8Z,-750.1269841269841
ATSC8c,0.03212371612597202
ATSC8d,2.9285714285714306
ATSC8i,-17.459462780257315
ATSC8m,-3730.9700106984124
ATSC8p,-8.68674553651607
ATSC8s,12.26117980406103
ATSC8v,-901.5233566178051
AXp-0d,0.7084825020051078
AXp-1d,0.43062413311233133
AXp-2d,0.28075922963392025
AXp-3d,0.17141263168541013
AXp-4d,0.110669039595411
AXp-5d,0.06815627095726284
AXp-6d,0.04424858199008981
AXp-7d,0.02556350558394168
GATS1Z,0.4599358974358974
GATS1c,1.6421237544981049
GATS1d,0.893202293202293
GATS1i,1.3213606047626483
GATS1m,0.4591678103029428
GATS1p,0.7298833655692387
GATS1s,0.5139113329732544
GATS1v,0.7791311844407045
GATS2Z,0.5480522513750362
GATS2c,1.0455414853821363
GATS2d,1.1603893882374894
GATS2i,1.0603973366446284
GATS2m,0.5444490516221248
GATS2p,0.681650473696661
GATS2s,0.5944787662428391
GATS2v,0.8118035424408865
GATS3Z,0.9236454002079003
GATS3c,1.3232555746056025
GATS3d,1.1215397215397214
GATS3i,1.0977659357160803
GATS3m,0.9155691630255427
GATS3p,1.0178196982132248
GATS3s,0.9577988561332468
GATS3v,1.074120656699126
GATS4Z,0.6339204390630362
GATS4c,1.296374126815464
GATS4d,1.0269316094558811
GATS4i,1.0353259089495344
GATS4m,0.633059469166276
GATS4p,0.7957760936396281
GATS4s,1.3357246303139063
GATS4v,0.8653692282294758
GATS5Z,1.0247994726576188
GATS5c,1.298815717363897
GATS5d,1.0300085580984457
GATS5i,0.8092333004399609
GATS5m,1.0239817421868684
GATS5p,0.9193461380445644
GATS5s,1.800531601089853
GATS5v,0.9312317625307373
GATS6Z,0.45537149980509356
GATS6c,0.7658786981330656
GATS6d,1.013667076167076
GATS6i,1.2155466437171811
GATS6m,0.4391086683577937
GATS6p,0.9983782042186226
GATS6s,1.033429772449793
GATS6v,1.0714936967963107
GATS7Z,0.8160861665710804
GATS7c,0.8506767558720121
GATS7d,1.0131604959191165
GATS7i,0.9352265780658722
GATS7m,0.8085759212765892
GATS7p,0.8452100414498765
GATS7s,1.0381563902403717
GATS7v,0.9854448311015076
GATS8Z,1.8529512084199586
GATS8c,0.9272044601081256
GATS8d,0.8864864864864864
GATS8i,1.0775086073470632
GATS8m,1.8594480531356905
GATS8p,1.5887552796521076
GATS8s,0.5888651550684005
GATS8v,1.3408715168887426
MATS1Z,0.001732501732501739
MATS1c,-0.6208461554289908
MATS1d,0.1374283374283372
MATS1i,-0.22718326329714997
MATS1m,0.0014565305348287296
MATS1p,-0.0513211044550382
MATS1s,-0.019621591382959762
MATS1v,-0.021028462595618656
MATS2Z,0.01011622016368852
MATS2c,0.1821276354961077
MATS2d,-0.06167387180045415
MATS2i,0.04934942191722459
MATS2m,0.01039217353497687
MATS2p,0.06374496239283908
MATS2s,0.0025956182413156242
MATS2v,-0.002278303649161384
MATS3Z,-0.11146049896049898
MATS3c,-0.07592514928115385
MATS3d,-0.13513513513513514
MATS3i,-0.08265062840718355
MATS3m,-0.10592848264602828
MATS3p,-0.12278235721358335
MATS3s,-0.043379184542772106
MATS3v,-0.15361133584954081
MATS4Z,0.0870916426134873
MATS4c,-0.011025570862460303
MATS4d,-0.02583430738770544
MATS4i,-0.04724285656031074
MATS4m,0.07919638465005137
MATS4p,0.10242619302984952
MATS4s,0.08621263473530212
MATS4v,0.10498306021908975
MATS5Z,-0.11746799738372773
MATS5c,-0.030413968270912417
MATS5d,0.017640725505894055
MATS5i,0.18363751198289177
MATS5m,-0.11486906275130095
MATS5p,0.036783469384022424
MATS5s,-0.10698669222833822
MATS5v,0.01093945544485678
MATS6Z,0.09427299896049897
MATS6c,0.13358428193216657
MATS6d,-0.11554054054054051
MATS6i,-0.2442862399010304
MATS6m,0.08419490888643687
MATS6p,-0.18625392793661044
MATS6s,-0.04748453194658558
MATS6v,-0.13928351183872187
MATS7Z,0.005930084593877675
MATS7c,-0.09603528194880698
MATS7d,-0.022621367448953638
MATS7i,0.03481166127715252
MATS7m,0.006776319039495198
MATS7p,0.10802418076763248
MATS7s,-0.08787721687445936
MATS7v,0.07201463791644003
MATS8Z,-0.30702962577962584
MATS8c,0.02698299193912377
MATS8d,0.06044226044226048
MATS8i,-0.17394527199317772
MATS8m,-0.2964278059130325
MATS8p,-0.3714032741643959
MATS8s,0.10729811931117242
MATS8v,-0.2496359730940788
MAXsBr,3.432277993172134
MAXsCl,6.007679266756185
MAXssO,5.92853893717981
MINsBr,3.432277993172134
MINsCl,6.007679266756185
MINssO,5.92853893717981
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,3
NssNH2,0
NsssAs,0
NsssCH,2
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,7
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,34.24457144629157
SpAD_D,308.1008867180954
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.2897604315677906
SssNH2,0
SsssAs,0
SsssCH,-0.6854189587357582
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1059
TMWC10,134.35840039537965
TSRW10,78.80861102408859
VE1_Dt,5.145396584221944
VE2_Dt,0.190570243860072
VE3_Dt,2.631354220807099
VR1_Dt,164.4481629159065
VR2_Dt,6.0906727005891295
VR3_Dt,6.095847174503028
Xc-3dv,1.347534509997134
Xc-4dv,0.0
Xc-5dv,0.10762445854319154
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.16037507477489604
Xch-6d,0.5865861471146556
Xch-7d,1.1605191143797366
Xp-0dv,17.16839267883708
Xp-1dv,9.937744866502229
Xp-2dv,8.33921145447013
Xp-3dv,5.615075114060873
Xp-4dv,4.443485539202391
Xp-5dv,2.6759429755817834
Xp-6dv,1.7505352562595198
Xp-7dv,0.9867227395090968
Xpc-4d,4.591433203955717
Xpc-5d,8.312568395777237
Xpc-6d,12.218310369499385
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,2
nBonds,45
nFRing,1
nHBAcc,3
nHBDon,0
nHRing,2
nSpiro,0
naRing,2
piPC10,6.490913197850634
AATS0dv,8.67326409301718
AATS0pe,6.639626190476189
AATS0se,8.071866547619047
AATS1dv,8.139094650205761
AATS1pe,6.665700000000001
AATS1se,7.903049022222217
AATS2dv,6.79606188466948
AATS2pe,6.693043037974685
AATS2se,8.015930987341768
AATS3dv,5.231040564373899
AATS3pe,6.570125714285714
AATS3se,8.009883809523808
AATS4dv,4.721802708857725
AATS4pe,6.530009708737865
AATS4se,8.027766650485436
AATS5dv,5.022471910112359
AATS5pe,6.676137078651685
AATS5se,8.178753955056179
AATS6dv,3.961111111111111
AATS6pe,6.4890550000000005
AATS6se,7.917310125
AATS7dv,3.1179225202213705
AATS7pe,6.207454022988505
AATS7se,7.731548367816092
AATS8dv,3.910582010582011
AATS8pe,6.399870000000001
AATS8se,7.944703314285714
AATSC0Z,34.90249433106575
AATSC0c,0.01700738863230492
AATSC0d,0.6921768707482994
AATSC0i,1.4339044344395935
AATSC0m,179.80624799092965
AATSC0p,0.3341283543785969
AATSC0s,1.6324583563166666
AATSC0v,51.59074205097227
AATSC1Z,0.06046863189720355
AATSC1c,-0.010558971846253231
AATSC1d,0.09512471655328783
AATSC1i,-0.32575908867224107
AATSC1m,0.26189329055177596
AATSC1p,-0.017147836176453993
AATSC1s,-0.03203143081734376
AATSC1v,-1.0848739894990809
AATSC2Z,0.35308131691495165
AATSC2c,0.003097515477565076
AATSC2d,-0.04268922758977014
AATSC2i,0.0707623549241388
AATSC2m,1.8685777317948271
AATSC2p,0.02129899938424487
AATSC2s,0.0042372386878436604
AATSC2v,-0.11753937587767377
AATSC3Z,-3.8902494331065762
AATSC3c,-0.00129128852079035
AATSC3d,-0.09353741496598642
AATSC3i,-0.11851310258227955
AATSC3m,-19.04660301995465
AATSC3p,-0.041025066962499655
AATSC3s,-0.07081471229705111
AATSC3v,-7.924922803918928
AATSC4Z,3.039715562600445
AATSC4c,-0.00018751616855087967
AATSC4d,-0.017881910045571624
