DLiP-ID,I000FS
TIC1,211.06725714331728
TIC2,287.08469172513077
TIC3,321.05886017616774
TIC4,323.0588601761678
TIC5,327.05886017616785
Vabc,402.31697801408205
WPol,46
apol,68.58537599999997
bpol,45.08062400000004
nRot,8
ABCGG,19.795285556749675
ATS0Z,1532.0
ATS0d,196.0
ATS0i,10400.93590040607
ATS0m,6042.824510000003
ATS0p,91.40622895516798
ATS0s,241.04946844993142
ATS0v,12747.648697785831
ATS1Z,1836.0
ATS1d,251.0
ATS1i,9751.01233757461
ATS1m,6970.718510000004
ATS1p,118.30619390000005
ATS1s,165.08179012345678
ATS1v,16650.078719345853
ATS2Z,2533.0
ATS2d,410.0
ATS2i,19409.03042733602
ATS2m,9346.343573000004
ATS2p,180.29775539958405
ATS2s,371.05555555555566
ATS2v,24794.70032384559
ATS3Z,2756.0
ATS3d,458.0
ATS3i,26280.603745946628
ATS3m,9856.764620999995
ATS3p,209.326448202866
ATS3s,402.38734567901236
ATS3v,27311.61817333175
ATS4Z,2852.0
ATS4d,454.0
ATS4i,26969.72821986081
ATS4m,10207.692418
ATS4p,212.265299532809
ATS4s,475.3225308641974
ATS4v,27409.30760798705
ATS5Z,2709.0
ATS5d,429.0
ATS5i,25677.18137967573
ATS5m,9561.923934999997
ATS5p,203.18331654716795
ATS5s,477.6126543209875
ATS5v,26824.963073674124
ATS6Z,2698.0
ATS6d,430.0
ATS6i,25982.35939555648
ATS6m,9652.744799000004
ATS6p,192.969191079111
ATS6s,449.25462962962945
ATS6v,25632.665603414756
ATS7Z,2768.0
ATS7d,419.0
ATS7i,22440.499819609315
ATS7m,10005.147479000003
ATS7p,191.58423780098002
ATS7s,492.19444444444423
ATS7v,25994.201766357124
ATS8Z,2385.0
ATS8d,423.0
ATS8i,24853.035334853404
ATS8m,8136.638677999999
ATS8p,204.07913610043295
ATS8s,418.3518518518517
ATS8v,26552.745795346993
C1SP1,0
C1SP2,0
C1SP3,8
C2SP1,0
C2SP2,7
C2SP3,5
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.5909090909090909
GGI10,0.20232629323538415
JGI10,0.006744209774512805
JGT10,0.4465404547691704
Kier1,24.134948096885815
Kier2,10.950520833333334
Kier3,6.118626430801249
MAXdO,13.316616654199176
MID_C,45.25934737398046
MID_N,8.200763077848107
MID_O,7.546866720631269
MID_X,0.0
MID_h,17.999366747246686
MINdO,13.316616654199176
MPC10,143
MWC01,34.0
MWC02,5.10594547390058
MWC03,5.953243334287785
MWC04,6.840546529288687
MWC05,7.704811922932594
MWC06,8.59877317840866
MWC07,9.472781556562168
MWC08,10.370831397690157
MWC09,11.251911288723354
MWC10,12.152845904290915
NaaCH,3
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,6
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,2
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,2.4633399999999996
SRW02,4.23410650459726
SRW03,0.0
SRW04,5.564520407322694
SRW05,3.044522437723423
SRW06,7.077498053569231
SRW07,5.2832037287379885
SRW08,8.677439540558334
SRW09,7.247792581767846
SRW10,10.328068777836522
SaaCH,5.3129163517258755
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,3.5458241824929306
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,3.6873446216476795
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,6.219811421410829
SssPH,0
SssSe,0
SsssB,0
SsssN,2.319129587594144
SsssP,0
VE1_A,4.47862747072905
VE1_D,5.470481875790743
VE2_A,0.14447185389448547
VE2_D,0.17646715728357237
VE3_A,2.630718742836851
VE3_D,2.8307688183393847
VR1_A,679.6448526528573
VR1_D,204.48367774128147
VR2_A,21.92402750493088
VR2_D,6.596247669073596
VR3_A,7.652972497717388
VR3_D,6.451890268342479
WPath,2758
Xc-3d,2.4924252015490467
Xc-4d,0.2041241452319315
Xc-5d,0.5561337577825363
Xc-6d,0.08333333333333333
Xp-0d,21.846724214874857
Xp-1d,14.937490172930893
Xp-2d,13.827100518953054
Xp-3d,11.175101956204102
Xp-4d,9.57318298368045
Xp-5d,6.74582059988665
Xp-6d,4.292193099566612
Xp-7d,3.526773627029186
ZMIC0,102.51983776826889
ZMIC1,49.04558898360624
ZMIC2,34.180896518202715
ZMIC3,30.2715823307141
ZMIC4,29.514005202428404
ZMIC5,29.1359379105554
nAcid,0
nAtom,63
nBase,2
nRing,4
piPC1,3.7495040759303713
piPC2,4.327438444389479
piPC3,4.809130917885527
piPC4,5.35511113057799
piPC5,5.725829313850122
piPC6,6.032186536627904
piPC7,6.516424188387703
piPC8,6.767019425009001
piPC9,7.048237070899086
AATS0Z,24.317460317460316
AATS0d,3.111111111111111
AATS0i,165.09422064136618
AATS0m,95.91784936507942
AATS0p,1.4508925230979044
AATS0s,3.8261820388878003
AATS0v,202.34363012358463
AATS1Z,27.818181818181817
AATS1d,3.803030303030303
AATS1i,147.74261117537287
AATS1m,105.61694712121219
AATS1p,1.7925180893939403
AATS1s,2.5012392442948
AATS1v,252.27391999008867
AATS2Z,20.59349593495935
AATS2d,3.3333333333333335
AATS2i,157.7969953441953
AATS2m,75.98653311382117
AATS2p,1.4658354097527158
AATS2s,3.0167118337850054
AATS2v,201.58292946215929
AATS3Z,17.012345679012345
AATS3d,2.8271604938271606
AATS3i,162.22594904905327
AATS3m,60.844226055555524
AATS3p,1.292138569153494
AATS3s,2.4838725041914342
AATS3v,168.5902356378503
AATS4Z,17.077844311377245
AATS4d,2.718562874251497
AATS4i,161.4953785620408
AATS4m,61.12390669461078
AATS4p,1.2710496978012515
AATS4s,2.846242699785613
AATS4v,164.12759046698832
AATS5Z,16.93125
AATS5d,2.68125
AATS5i,160.48238362297332
AATS5m,59.762024593749985
AATS5p,1.2698957284197996
AATS5s,2.9850790895061716
AATS5v,167.65601921046328
AATS6Z,16.968553459119498
AATS6d,2.7044025157232703
AATS6i,163.41106538085836
AATS6m,60.709086786163546
AATS6p,1.2136427111893773
AATS6s,2.825500815280688
AATS6v,161.21173335480978
AATS7Z,19.631205673758867
AATS7d,2.971631205673759
AATS7i,159.15248099013698
AATS7m,70.95849275886528
AATS7p,1.3587534595814186
AATS7s,3.490740740740739
AATS7v,184.3560408961498
AATS8Z,15.288461538461538
AATS8d,2.7115384615384617
AATS8i,159.31432906957312
AATS8m,52.15794024358974
AATS8p,1.3081995903873906
AATS8s,2.681742640075972
AATS8v,170.209908944532
AMID_C,1.4599789475477567
AMID_N,0.2645407444467131
AMID_O,0.2434473135687506
AMID_X,0.0
AMID_h,0.5806247337821512
ATS0dv,400.44444444444446
ATS0pe,388.89219999999983
ATS0se,483.8394569999998
ATS1dv,346.33333333333337
ATS1pe,428.4337000000001
ATS1se,515.6983919999998
ATS2dv,570.6666666666667
ATS2pe,781.7612999999997
ATS2se,956.6972099999996
ATS3dv,503.3333333333333
ATS3pe,997.3819
ATS3se,1243.2885139999999
ATS4dv,562.6666666666667
ATS4pe,1026.9018000000003
ATS4se,1284.9663540000001
ATS5dv,531.6666666666667
ATS5pe,999.6905000000005
ATS5se,1246.6187539999999
ATS6dv,493.0
ATS6pe,989.6917000000002
ATS6se,1238.206002
ATS7dv,598.6666666666666
ATS7pe,910.1815999999998
ATS7se,1118.9968159999999
ATS8dv,326.66666666666663
ATS8pe,975.458
ATS8se,1212.0494839999997
ATSC0Z,617.7142857142858
ATSC0c,0.9347465937244066
ATSC0d,37.269841269841294
ATSC0i,93.20913631894103
ATSC0m,2848.76402231746
ATSC0p,16.74029560498743
ATSC0s,83.40504224094764
ATSC0v,3169.0243792837623
ATSC1Z,146.20408163265296
ATSC1c,-0.32701111735994465
ATSC1d,12.5268329554044
ATSC1i,-15.30086193133031
ATSC1m,637.2180724610729
ATSC1p,-1.3676989713247227
ATSC1s,-14.027297719880524
ATSC1v,29.297425334686125
ATSC2Z,78.03401360544225
ATSC2c,-0.18349439311825202
ATSC2d,2.441421012849593
ATSC2i,-1.1777021551392495
ATSC2m,363.581248475435
ATSC2p,0.9835964002176956
ATSC2s,43.777878805080945
ATSC2v,205.0924616187476
ATSC3Z,40.353741496598644
ATSC3c,-0.10192633438759077
ATSC3d,-8.439909297052154
ATSC3i,22.111757303331355
ATSC3m,175.8208628820862
ATSC3p,1.7560142995969983
ATSC3s,-2.0529125802126984
ATSC3v,188.91465962542324
ATSC4Z,60.34467120181409
ATSC4c,0.3948019906617978
ATSC4d,-3.0168808264046354
ATSC4i,2.195005049272714
ATSC4m,301.90046430133555
ATSC4p,0.8459858485249945
ATSC4s,22.535926687140837
ATSC4v,294.38075833103784
ATSC5Z,-184.24263038548753
ATSC5c,-0.20759752270847992
ATSC5d,8.314688838498363
ATSC5i,-25.9053558114324
ATSC5m,-804.365527520534
ATSC5p,-3.6535167694294017
ATSC5s,-29.336504169314946
ATSC5v,-326.8460812525189
ATSC6Z,91.19727891156461
ATSC6c,-0.47491835559054674
ATSC6d,0.445956160241876
ATSC6i,4.2873798669720635
ATSC6m,419.19360350037766
ATSC6p,3.1992289894417762
ATSC6s,-47.58585311887291
ATSC6v,643.0618170446545
ATSC7Z,-92.40816326530609
ATSC7c,0.7791382660922586
ATSC7d,-19.397581254724106
ATSC7i,7.059702414401013
ATSC7m,-410.2769139009822
ATSC7p,-3.8168184971050003
ATSC7s,49.19381955266483
ATSC7v,-581.4693459249099
ATSC8Z,-459.6258503401359
ATSC8c,-0.35271503366372353
ATSC8d,-15.699924414210127
ATSC8i,-14.505974234197
ATSC8m,-2124.785106944822
ATSC8p,-3.7138840978078655
ATSC8s,-53.84559515774
ATSC8v,-1497.6779497517373
AXp-0d,0.7047330391895116
AXp-1d,0.4393379462626733
AXp-2d,0.2880645941448553
AXp-3d,0.18024357993877585
AXp-4d,0.11818744424296852
AXp-5d,0.07579573707737809
AXp-6d,0.04518097999543802
AXp-7d,0.029887912093467677
GATS1Z,0.8751962268382248
GATS1c,1.4096517706528073
GATS1d,0.9199899334056056
GATS1i,1.5004740264851522
GATS1m,0.8727428020909879
GATS1p,1.3677521985642183
GATS1s,0.7426148717798362
GATS1v,1.1137271540574654
GATS2Z,0.8931300436963666
GATS2c,1.3092936539379263
GATS2d,1.1766526779407478
GATS2i,1.169744721535619
GATS2m,0.894020036499733
GATS2p,1.0041198709071677
GATS2s,0.5341956790953174
GATS2v,0.9824142501142842
GATS3Z,1.0346786811479995
GATS3c,1.1949276766106105
GATS3d,1.2168512208972166
GATS3i,0.9672351874029237
GATS3m,1.0284214109611771
GATS3p,1.0138140512982858
GATS3s,0.8545442718829817
GATS3v,0.9731646186100673
GATS4Z,1.156659391669944
GATS4c,0.9497355266962416
GATS4d,1.1704572116414522
GATS4i,1.0115616710750706
GATS4m,1.1330615023361321
GATS4p,1.1371121736277356
GATS4s,1.1303470471637902
GATS4v,0.9788777879215192
GATS5Z,1.344017402867715
GATS5c,1.3199594960348415
GATS5d,1.02411893100511
GATS5i,1.1321618839031684
GATS5m,1.3142352270781672
GATS5p,1.2579961074650508
GATS5s,1.8168254080842372
GATS5v,1.0476143439416994
GATS6Z,1.052307146306413
GATS6c,1.4925299816984483
GATS6d,1.1561103789656384
GATS6i,0.9568255975094999
GATS6m,1.0411386089871721
GATS6p,0.9688733777565962
GATS6s,1.902434460270372
GATS6v,0.890410281969655
GATS7Z,1.246439138963791
GATS7c,1.0934672314195932
GATS7d,1.4983689151473403
GATS7i,1.0618561271411104
GATS7m,1.2248887091358476
GATS7p,1.2485278048744979
GATS7s,1.1612623199104777
GATS7v,1.084132075294886
GATS8Z,1.3340849522047484
GATS8c,1.334271024103197
GATS8d,1.1943388808806177
GATS8i,1.1076837780522808
GATS8m,1.32933279525674
GATS8p,1.1446540527279467
GATS8s,1.6714589361168428
GATS8v,1.1906576556841644
MATS1Z,0.22592717181061292
MATS1c,-0.3339375374646151
MATS1d,0.3208339786278459
MATS1i,-0.1566945986625452
MATS1m,0.21351491729635116
MATS1p,-0.07798732274928
MATS1s,-0.160538175130785
MATS1v,0.008824710963388067
MATS2Z,0.06470409061167398
MATS2c,-0.10054589521005294
MATS2d,0.03355216686749501
MATS2i,-0.006471611290439379
MATS2m,0.06537029407952122
MATS2p,0.030094646477460536
MATS2s,0.2688424508983185
MATS2v,0.033148169852146164
MATS3Z,0.025405146126700244
MATS3c,-0.042405095877989456
MATS3d,-0.08806549309104668
MATS3i,0.09225508430471208
MATS3m,0.024001559790156834
MATS3p,0.04079345227570668
MATS3s,-0.009572021916835462
MATS3v,0.023182785388718867
MATS4Z,0.03685321309277838
MATS4c,0.15933438957065876
MATS4d,-0.030536881943098445
MATS4i,0.008883847975992398
MATS4m,0.0399789499674391
MATS4p,0.019064440052260996
MATS4s,0.10193121309035738
MATS4v,0.03504353571309842
MATS5Z,-0.11744189407955594
MATS5c,-0.08744779078656263
MATS5d,0.08784337734241902
MATS5i,-0.10943384150507056
MATS5m,-0.11117766300753845
MATS5p,-0.08593469684813891
MATS5s,-0.13849580560486408
MATS5v,-0.04061049366943213
MATS6Z,0.05849754769343547
MATS6c,-0.20131145570520395
MATS6d,0.0047410883610298745
MATS6i,0.01822539315271801
MATS6m,0.05830443569359405
MATS6p,0.07572261944853236
MATS6s,-0.22606273534431567
MATS6v,0.08040268800621943
MATS7Z,-0.06684118330151353
MATS7c,0.3724277901531744
MATS7d,-0.232547392076552
MATS7i,0.0338414799868403
MATS7m,-0.06434903537578683
MATS7p,-0.1018731704809386
MATS7s,0.2635358325631802
MATS7v,-0.08198278755219088
MATS8Z,-0.3004918878531273
MATS8c,-0.15238633732941753
MATS8d,-0.17012023325907472
MATS8i,-0.06284986787375074
MATS8m,-0.3012135390881568
MATS8p,-0.08959446380882626
MATS8s,-0.260719686984758
MATS8v,-0.19085731358246336
MAXaaN,4.00940511452222
MAXaaO,5.288162720075113
MAXssO,6.0032480631141345
MINaaN,4.00940511452222
MINaaO,5.288162720075113
MINssO,6.0032480631141345
NddssS,1
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,10
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,7
SM1_Dt,0.0
SddssS,-3.7185257884017804
SdssSe,0
SdsssP,0
SpAD_A,40.09284997798503
SpAD_D,370.3015993529209
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,8.962024278627572
SssNH2,0
SsssAs,0
SsssCH,-0.012573861207068937
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,962
TMWC10,142.4516905860849
TSRW10,82.45715203211329
VE1_Dt,5.473175142178954
VE2_Dt,0.1765540368444824
VE3_Dt,2.8312610242698453
VR1_Dt,203.64107319676722
VR2_Dt,6.5690668773150716
VR3_Dt,6.447761110579937
Xc-3dv,1.3519766607575616
Xc-4dv,0.05103103630798288
Xc-5dv,0.21759793407088152
Xc-6dv,0.01473139127471974
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.24056261216234406
Xch-6d,0.5201711722613396
Xch-7d,0.5305203194349501
Xp-0dv,19.132634112870935
Xp-1dv,12.576844946507485
Xp-2dv,10.085857976187011
Xp-3dv,7.648658300700938
Xp-4dv,5.909406333155984
Xp-5dv,3.668595450998849
Xp-6dv,2.316781395103683
Xp-7dv,1.612306453693142
Xpc-4d,4.970057442512771
Xpc-5d,8.596785817927795
Xpc-6d,12.045394019426467
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,2
nBonds,66
nFRing,0
nHBAcc,7
nHBDon,2
nHRing,2
nSpiro,0
naRing,2
piPC10,7.17866466049101
AATS0dv,6.35626102292769
AATS0pe,6.1728920634920605
AATS0se,7.679991380952378
AATS1dv,5.247474747474748
AATS1pe,6.4914196969696984
AATS1se,7.8136119999999964
AATS2dv,4.639566395663957
AATS2pe,6.355782926829265
AATS2se,7.778026097560972
AATS3dv,3.1069958847736623
AATS3pe,6.1566783950617285
AATS3se,7.674620456790122
AATS4dv,3.369261477045909
AATS4pe,6.149112574850301
AATS4se,7.694409305389223
AATS5dv,3.322916666666667
AATS5pe,6.248065625000003
AATS5se,7.791367212499999
AATS6dv,3.10062893081761
AATS6pe,6.224476100628932
AATS6se,7.787459132075471
AATS7dv,4.245862884160756
AATS7pe,6.455188652482268
AATS7se,7.936147631205673
AATS8dv,2.0940170940170937
AATS8pe,6.252935897435897
AATS8se,7.769547974358972
AATSC0Z,9.804988662131521
AATSC0c,0.014837247519435026
AATSC0d,0.5915847820609729
AATSC0i,1.4795101003006514
AATSC0m,45.21847654472158
AATSC0p,0.2657189778569433
AATSC0s,1.3238895593801212
AATSC0v,50.30197427434543
AATSC1Z,2.2152133580704993
AATSC1c,-0.004954713899393101
AATSC1d,0.1898004993243091
AATSC1i,-0.23183124138379257
AATSC1m,9.654819279713225
AATSC1p,-0.020722711686738223
AATSC1s,-0.2125348139375837
AATSC1v,0.4439003838588807
AATSC2Z,0.6344228748409939
AATSC2c,-0.001491824334294732
AATSC2d,0.01984895132398043
AATSC2i,-0.009574814269424792
AATSC2m,2.9559451095563825
AATSC2p,0.007996718700956874
AATSC2s,0.3559177138624467
AATSC2v,1.6674183871442894
AATSC3Z,0.2490971697320904
AATSC3c,-0.0006291749036271035
AATSC3d,-0.05209820553735897
AATSC3i,0.13649232903290962
AATSC3m,1.0853139684079396
AATSC3p,0.01083959444195678
AATSC3s,-0.012672299877856162
AATSC3v,1.1661398742310076
AATSC4Z,0.3613453365378089
