DLiP-ID,C003HO
ATS1se,141.970476
ATS2dv,103.0
ATS2pe,189.9996
ATS2se,236.07793999999998
ATS3dv,80.0
ATS3pe,252.1202
ATS3se,315.5431679999999
ATS4dv,22.0
ATS4pe,276.14200000000005
ATS4se,354.14078400000005
ATS5dv,0.0
ATS5pe,174.63600000000002
ATS5se,228.66624
ATS6dv,0.0
ATS6pe,29.040000000000003
ATS6se,40.310784
ATS7dv,0.0
ATS7pe,0.0
ATS7se,0.0
ATS8dv,0.0
ATS8pe,0.0
ATS8se,0.0
ATSC0Z,152.421052631579
ATSC0c,0.6400085996881285
ATSC0d,10.105263157894736
ATSC0i,22.167138299511137
ATSC0m,718.3317861052632
ATSC0p,3.5345376601427367
ATSC0s,56.853801169590646
ATSC0v,831.2150098135932
ATSC1Z,-16.398891966759003
ATSC1c,-0.4545689558612091
ATSC1d,2.8476454293628803
ATSC1i,1.8749317645774684
ATSC1m,-75.32603667867033
ATSC1p,0.11143114604230386
ATSC1s,-10.048630347799323
ATSC1v,-5.436544948252788
ATSC2Z,36.04986149584488
ATSC2c,0.06513959694191593
ATSC2d,-5.540166204986153
ATSC2i,-5.397052059497424
ATSC2m,163.68538514404437
ATSC2p,-0.41230999130683227
ATSC2s,23.302862419205916
ATSC2v,-8.00238743109784
ATSC3Z,-24.698060941828253
ATSC3c,0.25261583808180377
ATSC3d,-6.01662049861496
ATSC3i,-14.66251024796407
ATSC3m,-126.96963654293623
ATSC3p,-2.4070027375795884
ATSC3s,11.526008002462294
ATSC3v,-484.1014402801556
ATSC4Z,-44.861495844875364
ATSC4c,-0.19983348842946563
ATSC4d,0.16620498614958604
ATSC4i,-1.5272857926158412
ATSC4m,-210.28920278116343
ATSC4p,-1.138726167944943
ATSC4s,-20.301015697137583
ATSC4v,-193.6886909842796
ATSC5Z,-59.95844875346262
ATSC5c,-0.02492937671952392
ATSC5d,2.891966759002772
ATSC5i,6.719826754181925
ATSC5m,-269.8766406869807
ATSC5p,1.5356082045126622
ATSC5s,-37.899661434287474
ATSC5v,98.2166706772228
ATSC6Z,33.65650969529085
ATSC6c,0.04157208614241473
ATSC6d,0.5983379501385045
ATSC6i,1.9085204315623718
ATSC6m,159.61023849307475
ATSC6p,0.5437307162050298
ATSC6s,4.9935364727608516
ATSC6v,177.40488805976634
ATSC7Z,0.0
ATSC7c,0.0
ATSC7d,0.0
ATSC7i,0.0
ATSC7m,0.0
ATSC7p,0.0
ATSC7s,0.0
ATSC7v,0.0
ATSC8Z,0.0
ATSC8c,0.0
ATSC8d,0.0
ATSC8i,0.0
ATSC8m,0.0
ATSC8p,0.0
ATSC8s,0.0
ATSC8v,0.0
AXp-0d,0.8415063509461096
AXp-1d,0.5076311446592565
AXp-2d,0.37190562534545857
AXp-3d,0.2628917115316043
AXp-4d,0.19245008972987526
GATS1Z,1.0825276243093918
GATS1c,1.7531464384701627
GATS1d,1.3854166666666667
GATS1i,1.5185165004321655
GATS1m,1.0907205342367896
GATS1p,1.4537629542365647
GATS1s,0.9195124459987657
GATS1v,1.3107952451920597
GATS2Z,0.7542773124220279
GATS2c,0.6541737798181794
GATS2d,2.0685483870967745
GATS2i,1.440219095451263
GATS2m,0.7693933205404634
GATS2p,1.3498896197071861
GATS2s,0.4158941144461183
GATS2v,1.177324589429352
GATS3Z,1.00091800296456
GATS3c,0.6463021199539184
GATS3d,1.3902439024390245
GATS3i,1.4303967807404183
GATS3m,1.0121612604544235
GATS3p,1.410108014751805
GATS3s,0.7391658847672615
GATS3v,1.3134186706543065
GATS4Z,1.0743979702137878
GATS4c,1.1230306188991923
GATS4d,0.5421195652173914
GATS4i,0.781142759972363
GATS4m,1.069472812338677
GATS4p,0.8584207512284199
GATS4s,1.1520777617774118
GATS4v,0.8987171118926266
GATS5Z,1.2990331491712703
GATS5c,1.1972487244267
GATS5d,0.0
GATS5i,0.15314055393607043
GATS5m,1.2697060827852724
GATS5p,0.1959967397064736
GATS5s,2.0087820726542716
GATS5v,0.5419817472532977
GATS6Z,0.0
GATS6c,1.0476614228876193
GATS6d,0.0
GATS6i,0.0
GATS6m,0.0
GATS6p,0.0
GATS6s,0.0
GATS6v,0.0
MATS1Z,-0.11356660527931242
MATS1c,-0.7497130303814692
MATS1d,0.29745370370370366
MATS1i,0.08928056538678127
MATS1m,-0.11068815000551938
MATS1p,0.03327783619148829
MATS1s,-0.18656426432604173
MATS1v,-0.00690383974712228
MATS2Z,0.14496079130279804
MATS2c,0.06238083224645284
MATS2d,-0.33602150537634434
MATS2i,-0.1492240708934574
MATS2m,0.13966150811187272
MATS2p,-0.07149623175722009
MATS2s,0.2512127466139319
MATS2v,-0.005900626207138377
MATS3Z,-0.07509095809190135
MATS3c,0.18291297373394025
MATS3d,-0.27591463414634154
MATS3i,-0.30652679341911726
MATS3m,-0.08191143536228881
MATS3p,-0.31558308335570034
MATS3s,0.09394834948143761
MATS3v,-0.2698936968034965
MATS4Z,-0.12156948114340622
MATS4c,-0.1289668907169854
MATS4d,0.006793478260869629
MATS4i,-0.028458135982954925
MATS4m,-0.12091708238107807
MATS4p,-0.1330707046917294
MATS4s,-0.14748709784173947
MATS4v,-0.09624687918217774
MATS5Z,-0.257727662411888
MATS5c,-0.02552003196151904
MATS5d,0.18750000000000014
MATS5i,0.19861134330117575
MATS5m,-0.24614771826253687
MATS5p,0.2846449042929211
MATS5s,-0.43674850499045886
MATS5v,0.0774154129107331
MATS6Z,0.6992403314917124
MATS6c,0.20569245400003933
MATS6d,0.18750000000000014
MATS6i,0.27263997506679194
MATS6m,0.7036197362713829
MATS6p,0.48713979032259863
MATS6s,0.27813207159020786
MATS6v,0.6758565941302933
MAXsOH,8.227407407407407
MINsOH,8.227407407407407
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,2
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,2
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,8.424292428609817
SpAD_D,33.6158009656298
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,-0.6921296296296304
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,36
TMWC10,73.38015695915725
TSRW10,35.071670287944386
VE1_Dt,2.785091584510095
VE2_Dt,0.34813644806376187
VE3_Dt,0.8011372064471751
VR1_Dt,22.76288068662201
VR2_Dt,2.8453600858277515
VR3_Dt,2.901987617888388
Xc-3dv,0.4822630058677439
Xc-4dv,0.0
Xc-5dv,0.11379325408809529
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.0
Xch-7d,0.0
Xp-0dv,5.087512693532698
Xp-1dv,2.5377732826226413
Xp-2dv,2.108038026908367
Xp-3dv,1.003387474781024
Xp-4dv,0.2851539619879403
Xp-5dv,0.0
Xp-6dv,0.0
Xp-7dv,0.0
Xpc-4d,1.8213672050459184
Xpc-5d,1.5396007178390023
Xpc-6d,0.9622504486493764
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,0
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,18
nFRing,0
nHBAcc,2
nHBDon,2
nHRing,0
nSpiro,0
naRing,0
piPC10,0.0
AATS0dv,5.578947368421052
AATS0pe,6.245331578947369
AATS0se,7.816355368421055
AATS1dv,4.444444444444445
AATS1pe,6.507222222222222
AATS1se,7.887248666666666
AATS2dv,3.3225806451612905
AATS2pe,6.129019354838709
AATS2se,7.615417419354838
AATS3dv,1.951219512195122
AATS3pe,6.149273170731708
AATS3se,7.6961748292682906
AATS4dv,0.4782608695652174
AATS4pe,6.003086956521741
AATS4se,7.698712695652175
AATS5dv,0.0
AATS5pe,6.021931034482759
AATS5se,7.885042758620689
AATS6dv,0.0
AATS6pe,4.840000000000001
AATS6se,6.718464
AATSC0Z,8.022160664819946
AATSC0c,0.03368466314148045
AATSC0d,0.5318559556786703
AATSC0i,1.1666914894479545
AATSC0m,37.80693611080333
AATSC0p,0.1860282979022493
AATSC0s,2.9923053247152973
AATSC0v,43.74815841124175
AATSC1Z,-0.9110495537088334
AATSC1c,-0.025253830881178285
AATSC1d,0.15820252385349334
AATSC1i,0.10416287580985935
AATSC1m,-4.1847798154816855
AATSC1p,0.006190619224572437
AATSC1s,-0.5582572415444068
AATSC1v,-0.30203027490293266
AATSC2Z,1.16289875793048
AATSC2c,0.0021012773207069652
AATSC2d,-0.17871503887052106
AATSC2i,-0.17409845353217498
AATSC2m,5.280173714324012
AATSC2p,-0.013300322300220395
AATSC2s,0.7517052393292231
AATSC2v,-0.25814153003541424
AATSC3Z,-0.602391730288494
AATSC3c,0.006161361904434238
AATSC3d,-0.14674684142963315
AATSC3i,-0.3576222011698554
AATSC3m,-3.0968204034862494
AATSC3p,-0.0587073838434046
AATSC3s,0.2811221464015194
AATSC3v,-11.807352201955014
AATSC4Z,-0.9752499096712036
AATSC4c,-0.004344206270205775
AATSC4d,0.003613151872817088
AATSC4i,-0.03320186505686611
AATSC4m,-4.571504408286161
AATSC4p,-0.024754916694455283
AATSC4s,-0.4413264281986431
AATSC4v,-4.210623717049557
AATSC5Z,-2.067532715636642
AATSC5c,-0.0008596336799835834
AATSC5d,0.09972299168975075
AATSC5i,0.23171816393730776
AATSC5m,-9.306091058171749
AATSC5p,0.052952007052160764
AATSC5s,-1.3068848770443957
AATSC5v,3.386781747490441
AATSC6Z,5.609418282548475
AATSC6c,0.0069286810237357875
AATSC6d,0.09972299168975075
AATSC6i,0.31808673859372866
AATSC6m,26.601706415512457
AATSC6p,0.09062178603417163
AATSC6s,0.8322560787934753
AATSC6v,29.56748134329439
ATS0are,118.41490000000002
ATS1are,115.38299999999998
ATS2are,187.73399999999998
ATS3are,250.254
ATS4are,276.09800000000007
ATS5are,176.0
ATS6are,29.040000000000003
ATS7are,0.0
ATS8are,0.0
ATSC0dv,70.42105263157896
ATSC0pe,3.0404105263157883
ATSC0se,2.093408
ATSC1dv,19.285318559556792
ATSC1pe,-0.5059099722991702
ATSC1se,-0.33283599999999963
ATSC2dv,22.839335180055404
ATSC2pe,1.2667038781163433
ATSC2se,0.9340839999999994
ATSC3dv,-6.066481994459835
ATSC3pe,0.6516141274238227
ATSC3se,0.5115839999999998
ATSC4dv,-43.756232686980624
ATSC4pe,-1.2673781163434898
ATSC4se,-0.9429279999999998
ATSC5dv,-38.74792243767314
ATSC5pe,-2.092463434903046
ATSC5se,-1.4197439999999988
ATSC6dv,11.235457063711912
ATSC6pe,0.4272282548476465
ATSC6se,0.20313599999999937
ATSC7dv,0.0
ATSC7pe,0.0
ATSC7se,0.0
ATSC8dv,0.0
ATSC8pe,0.0
ATSC8se,0.0
AXp-0dv,0.6359390866915873
AXp-1dv,0.36253904037466306
AXp-2dv,0.23422644743426302
AXp-3dv,0.125423434347628
AXp-4dv,0.07128849049698507
BertzCT,90.42945954287093
ECIndex,43
ETA_eta,6.077942506682628
GATS1dv,0.5751121076233183
GATS1pe,0.946105789038184
GATS1se,0.9295875433742485
GATS2dv,0.6472587877911181
GATS2pe,0.42826347393664665
GATS2se,0.38065535611879536
GATS3dv,0.9195559444383681
GATS3pe,0.7330139779955057
GATS3se,0.7019028185665458
GATS4dv,1.2141255605381165
GATS4pe,1.2021138374514946
GATS4se,1.2021547389835552
GATS5dv,1.6217720736044532
GATS5pe,1.908383396023868
GATS5se,2.013447400865824
GATS6dv,0.0
GATS6pe,0.0
GATS6se,0.0
LogEE_A,2.9119626147425195
LogEE_D,16.807900625167544
MATS1dv,0.2890715827935559
MATS1pe,-0.17563946620012505
MATS1se,-0.16782533022176685
MATS2dv,0.19878007618496552
MATS2pe,0.25534936362025107
MATS2se,0.2734789858327632
MATS3dv,-0.039921251230449525
MATS3pe,0.09931800980527682
MATS3se,0.11324859377394271
MATS4dv,-0.25664521999090145
