DLiP-ID,T001PW
GGI7,0.40720663265306123
GGI8,0.21871063240110858
GGI9,0.18781635802469143
JGI1,0.18333333333333335
JGI2,0.058201058201058226
JGI3,0.051215277777777776
JGI4,0.04338095238095238
JGI5,0.023523809523809523
JGI6,0.01715041572184429
JGI7,0.013573554421768708
JGI8,0.008411947400042637
JGI9,0.008943636096413875
MIC0,17.329103807515214
MIC1,34.97088897798827
MIC2,41.794640134613886
MIC3,44.91453220410225
MIC4,45.133662638884864
MIC5,45.133662638884864
MPC2,42
MPC3,56
MPC4,75
MPC5,92
MPC6,101
MPC7,115
MPC8,127
MPC9,136
Mare,0.9821739130434786
NaaN,1
NaaO,0
NaaS,1
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.18654541761938417
RPCG,0.1263683629297828
SIC0,0.2927367239158844
SIC1,0.6533032447376644
SIC2,0.7954448169161087
SIC3,0.9261862274845828
SIC4,0.9655433137411132
SIC5,0.9655433137411132
SaaN,4.619748773552886
SaaO,0
SaaS,1.440321764508272
Sare,45.180000000000014
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,9.24252610981958
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,74.37967384267704
TIC1,165.9938036264721
TIC2,202.10968152758548
TIC3,235.32896247645914
TIC4,245.32896247645914
TIC5,245.32896247645914
Vabc,321.46148355081505
WPol,40
apol,55.543066999999986
bpol,24.668933
nRot,5
ABCGG,16.487644819472315
ATS0Z,1306.0
ATS0d,163.0
ATS0i,7288.069433585832
ATS0m,5177.219506000001
ATS0p,80.34095319213097
ATS0s,194.3923182441701
ATS0v,11243.947391284011
ATS1Z,1384.0
ATS1d,204.0
ATS1i,7091.327832017746
ATS1m,5313.208696000002
ATS1p,98.73617355600004
ATS1s,156.32716049382717
ATS1v,14049.140903983143
ATS2Z,2087.0
ATS2d,319.0
ATS2i,12095.514310748134
ATS2m,7930.477221999997
ATS2p,147.5382543962451
ATS2s,246.47530864197535
ATS2v,20457.690268264454
ATS3Z,2245.0
ATS3d,328.0
ATS3i,15208.222087058972
ATS3m,8325.688439000001
ATS3p,158.61459804479193
ATS3s,283.6913580246914
ATS3v,21336.405893604235
ATS4Z,1952.0
ATS4d,319.0
ATS4i,16654.543309679873
ATS4m,7048.552972000001
ATS4p,149.43719692043305
ATS4s,298.5956790123456
ATS4v,19636.711985672315
ATS5Z,1954.0
ATS5d,294.0
ATS5i,14981.639427565722
ATS5m,7171.287874999998
ATS5p,144.05124924558396
ATS5s,283.7407407407407
ATS5v,18893.547162456685
ATS6Z,1942.0
ATS6d,280.0
ATS6i,13853.849499800155
ATS6m,7191.079876
ATS6p,142.03467848558404
ATS6s,275.3672839506172
ATS6v,18766.68875170404
ATS7Z,1693.0
ATS7d,259.0
ATS7i,12959.823108877887
ATS7m,6070.0385270000015
ATS7p,133.602302627396
ATS7s,290.73148148148147
ATS7v,17553.81750203926
ATS8Z,1404.0
ATS8d,235.0
ATS8i,12550.77308419006
ATS8m,5006.571217000001
ATS8p,115.80981859388595
ATS8s,215.20370370370375
ATS8v,15106.835657371066
C1SP1,0
C1SP2,2
C1SP3,3
C2SP1,0
C2SP2,13
C2SP3,0
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.14285714285714285
GGI10,0.10305070911131517
JGI10,0.005725039395073065
JGT10,0.4134590242520738
Kier1,20.28
Kier2,9.212018140589569
Kier3,4.775510204081633
MAXdO,12.669358185805695
MID_C,43.67953884317244
MID_N,6.349376880579886
MID_O,3.5234878525409563
MID_X,0.0
MID_h,11.956164525240595
MINdO,12.669358185805695
MPC10,151
MWC01,30.0
MWC02,4.976733742420574
MWC03,5.831882477283517
MWC04,6.715383386334681
MWC05,7.591357046698551
MWC06,8.483636407887394
MWC07,9.370160663423624
MWC08,10.26851253764627
MWC09,11.16227519333528
MWC10,12.065320963524295
NaaCH,10
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,5
NaasN,1
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.199120000000002
SRW02,4.110873864173311
SRW03,0.0
SRW04,5.43372200355424
SRW05,3.044522437723423
SRW06,6.940222469119639
SRW07,5.476463551931511
SRW08,8.529319371214077
SRW09,7.627057417018934
SRW10,10.165890277802454
SaaCH,19.260550594575843
SaaNH,0
SaaSe,0
SaaaC,1.9961129482657265
SaasC,4.159694807441853
SaasN,1.9522119480380664
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.15560101200974175
SdssS,0
SsCH3,1.961262333445775
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.9030087588677955
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.9037938484961408
VE1_D,5.112461532455215
VE2_A,0.14458495735170893
VE2_D,0.18935042712797093
VE3_A,2.3552006349661023
VE3_D,2.6249327701367577
VR1_A,506.7031325516494
VR1_D,167.60265212702146
VR2_A,18.766782687098125
VR2_D,6.207505634334128
VR3_A,7.221177067734039
VR3_D,6.114847785079972
WPath,2013
Xc-3d,1.6892758167960684
Xc-4d,0.0
Xc-5d,0.3376731123622283
Xc-6d,0.0
Xp-0d,18.80275414050485
Xp-1d,13.135361590784806
Xp-2d,11.791888465141552
Xp-3d,10.050153967110687
Xp-4d,8.460471911457908
Xp-5d,6.726958530378042
Xp-6d,4.650975440253157
Xp-7d,3.3206910396048492
ZMIC0,85.54434366118693
ZMIC1,51.84503451391976
ZMIC2,33.468330330838086
ZMIC3,25.390567211699263
ZMIC4,24.492091833768875
ZMIC5,24.492091833768875
nAcid,0
nAtom,46
nBase,0
nRing,4
piPC1,3.7495040759303713
piPC2,4.394449154672439
piPC3,5.017279836814924
piPC4,5.645446897643238
piPC5,6.134888255288956
piPC6,6.447305862541213
piPC7,6.833789123695005
piPC8,7.148100037616121
piPC9,7.467786159326213
AATS0Z,28.391304347826086
AATS0d,3.5434782608695654
AATS0i,158.4362920344746
AATS0m,112.54825013043481
AATS0p,1.7465424606984994
AATS0s,4.225919961829785
AATS0v,244.43363894095677
AATS1Z,28.244897959183675
AATS1d,4.163265306122449
AATS1i,144.72097616362748
AATS1m,108.43283053061229
AATS1p,2.01502395012245
AATS1s,3.190350214159738
AATS1v,286.71716130577846
AATS2Z,25.765432098765434
AATS2d,3.9382716049382718
AATS2i,149.32733716973004
AATS2m,97.90712619753083
AATS2p,1.8214599308178407
AATS2s,3.0429050449626587
AATS2v,252.5640773859809
AATS3Z,22.67676767676768
AATS3d,3.313131313131313
AATS3i,153.6184049197876
AATS3m,84.09786302020204
AATS3p,1.6021676570181003
AATS3s,2.8655692729766806
AATS3v,215.5192514505478
AATS4Z,18.590476190476192
AATS4d,3.038095238095238
AATS4i,158.61469818742736
AATS4m,67.12907592380954
AATS4p,1.4232113992422195
AATS4s,2.843768371546149
AATS4v,187.01630462545063
AATS5Z,20.568421052631578
AATS5d,3.094736842105263
AATS5i,157.70146765858655
AATS5m,75.48724078947366
AATS5p,1.5163289394271995
AATS5s,2.986744639376218
AATS5v,198.87944381533353
AATS6Z,21.820224719101123
AATS6d,3.146067415730337
AATS6i,155.6612303348332
AATS6m,80.79865029213482
AATS6p,1.5958952638829667
AATS6s,3.0940144264114293
AATS6v,210.86167136746113
AATS7Z,20.154761904761905
AATS7d,3.0833333333333335
AATS7i,154.28360843902246
AATS7m,72.26236341666669
AATS7p,1.5905036027070953
AATS7s,3.461089065255732
AATS7v,208.97401788141974
AATS8Z,17.333333333333332
AATS8d,2.9012345679012346
AATS8i,154.94781585419827
AATS8m,61.80952119753087
AATS8p,1.4297508468380982
AATS8s,2.6568358481938734
AATS8v,186.5041439181613
AMID_C,1.6177606978952754
AMID_N,0.2351621066881439
AMID_O,0.1304995500941095
AMID_X,0.0
AMID_h,0.44282090834224425
ATS0dv,354.44444444444446
ATS0pe,286.56089999999983
ATS0se,352.0538409999999
ATS1dv,364.33333333333337
ATS1pe,318.37960000000004
ATS1se,379.92294799999974
ATS2dv,496.66666666666663
ATS2pe,516.6763000000001
ATS2se,624.3845199999996
ATS3dv,447.0
ATS3pe,621.2801000000001
ATS3se,759.9035539999998
ATS4dv,445.0
ATS4pe,649.313
ATS4se,803.519238
ATS5dv,454.0
ATS5pe,591.7662999999999
ATS5se,730.7831239999998
ATS6dv,402.66666666666663
ATS6pe,553.9736999999999
ATS6se,683.857496
ATS7dv,348.33333333333337
ATS7pe,533.4405999999999
ATS7se,655.0254580000001
ATS8dv,293.3333333333333
ATS8pe,487.8912000000001
ATS8se,606.9241539999999
ATSC0Z,453.7391304347825
ATSC0c,0.7046389793805365
ATSC0d,27.326086956521745
ATSC0i,74.66796537048029
ATSC0m,2079.8812137391305
ATSC0p,13.275033805902982
ATSC0s,60.4935587761675
ATSC0v,2374.4748719484746
ATSC1Z,23.451795841209858
ATSC1c,-0.3447446749571822
ATSC1d,10.1961247637051
ATSC1i,6.16399605175923
ATSC1m,111.0281255387529
ATSC1p,1.258542481536611
ATSC1s,-6.089339567110344
ATSC1v,141.80202528123402
ATSC2Z,75.37240075614372
ATSC2c,0.00377501217505978
ATSC2d,-0.24810964083176357
ATSC2i,-10.552099491468478
ATSC2m,339.64540489414026
ATSC2p,1.2006313310864303
ATSC2s,-1.8735507894648153
ATSC2v,111.33507312501428
ATSC3Z,15.909262759924403
ATSC3c,0.1063521973539716
ATSC3d,-3.419187145557658
ATSC3i,-36.85018875932792
ATSC3m,31.706636996219984
ATSC3p,-4.692633882038493
ATSC3s,-11.154056492955888
ATSC3v,-714.3738817644225
ATSC4Z,-71.23062381852549
ATSC4c,-0.28421725513880336
ATSC4d,-5.026937618147449
ATSC4i,-15.899003930623913
ATSC4m,-316.5590664914933
ATSC4p,-1.948937779816016
ATSC4s,-1.532935424397301
ATSC4v,-274.92131980215447
ATSC5Z,-4.852551984877092
ATSC5c,0.26803897244509545
ATSC5d,-1.1299621928166355
ATSC5i,19.544933286833437
ATSC5m,-4.5266137221169345
ATSC5p,1.5401036145341318
ATSC5s,2.306631685946255
ATSC5v,216.27033998228978
ATSC6Z,5.417769376181516
ATSC6c,-0.1251914039374084
ATSC6d,-3.6309073724007566
ATSC6i,23.176584578360192
ATSC6m,62.95546333081315
ATSC6p,2.2557725476112807
ATSC6s,6.356799458563792
ATSC6v,573.1434095695096
ATSC7Z,-250.1323251417769
ATSC7c,-0.02796466382048237
ATSC7d,-5.030245746691873
ATSC7i,7.103227823292362
ATSC7m,-1155.0893384366727
ATSC7p,-1.2001460216136555
ATSC7s,-10.526303608796791
ATSC7v,-755.7351445875653
ATSC8Z,-86.80151228733457
ATSC8c,0.11625867925047054
ATSC8d,-5.248109640831759
ATSC8i,-30.027479127961573
ATSC8m,-393.323449584121
ATSC8p,-5.85922667025681
ATSC8s,4.42106064967159
ATSC8v,-499.32445866833103
AXp-0d,0.6963983015001796
AXp-1d,0.4378453863594935
AXp-2d,0.280759249170037
AXp-3d,0.17946703512697654
AXp-4d,0.11280629215277212
AXp-5d,0.0731191144606309
AXp-6d,0.04604926178468473
AXp-7d,0.02887557425743347
GATS1Z,0.7316754796974368
GATS1c,1.442423283570149
GATS1d,0.6889581608299643
GATS1i,0.9848162384599087
GATS1m,0.7302054237904825
GATS1p,0.8119076550008042
GATS1s,0.740863865810389
GATS1v,0.818719915352377
GATS2Z,0.808100166091734
GATS2c,0.9417887061938235
GATS2d,1.1893396976929194
GATS2i,1.1337170117863893
GATS2m,0.8049074734263906
GATS2p,0.9045379564232132
GATS2s,0.7129204594606686
GATS2v,0.884624969661079
GATS3Z,1.0158019443186175
GATS3c,0.8989775918620032
GATS3d,1.0229984812323714
GATS3i,1.2866716299374605
GATS3m,1.0133561721239848
GATS3p,1.177177151770896
GATS3s,0.8789193291841926
GATS3v,1.0780820684395354
GATS4Z,1.1476071839237805
GATS4c,1.2794041118236084
GATS4d,1.1527446300715987
GATS4i,1.1193796591092473
GATS4m,1.1363248803561605
GATS4p,1.0856770557486468
GATS4s,0.9995999158317975
GATS4v,1.017519634779788
GATS5Z,1.1859353250892661
GATS5c,0.9576120204556063
GATS5d,1.0834066072101494
GATS5i,0.9129188479253599
GATS5m,1.1617378188724872
GATS5p,1.0418656479140878
GATS5s,1.0983695346334366
GATS5v,0.929787471869758
GATS6Z,1.2686718618782866
GATS6c,1.2402768663994648
GATS6d,1.1656968169263358
GATS6i,0.8726778190528968
GATS6m,1.2288545570164233
GATS6p,1.0914039900902888
GATS6s,1.1221529950059592
GATS6v,0.8660498182000241
GATS7Z,1.4350993128182667
GATS7c,1.1084945402533881
GATS7d,1.1370610296624615
GATS7i,0.9648264343641435
GATS7m,1.4167725237310562
GATS7p,1.1293815312483877
GATS7s,1.711623847361472
GATS7v,1.111587869306422
GATS8Z,1.1956209275584517
GATS8c,0.7235166595155548
GATS8d,1.128347918324052
GATS8i,1.1948248115004736
GATS8m,1.1840154614276326
GATS8p,1.3218667581914885
GATS8s,0.7382622826494951
GATS8v,1.135599408537688
MATS1Z,0.048521209940473
MATS1c,-0.4592959907037588
MATS1d,0.350283311415258
MATS1i,0.07749787354824497
MATS1m,0.050113672122776676
MATS1p,0.08900081743616145
MATS1s,-0.09449804201587228
MATS1v,0.05606303532794397
MATS2Z,0.09433631919897419
MATS2c,0.0030424573965663927
MATS2d,-0.005156309850025159
MATS2i,-0.08025597455019719
MATS2m,0.0927384907756033
MATS2p,0.05136258220914615
MATS2s,-0.01758851401517996
MATS2v,0.02662791938771681
MATS3Z,0.016291701995036628
MATS3c,0.07012977418783847
MATS3d,-0.05813906768560709
MATS3i,-0.22931266231269043
MATS3m,0.007083277972224729
MATS3p,-0.1642493552219686
MATS3s,-0.0856734670726747
MATS3v,-0.13979145558412684
MATS4Z,-0.06877475405647117
MATS4c,-0.17670641236775214
MATS4d,-0.08059249157101184
MATS4i,-0.09328334953154499
MATS4m,-0.06667833657503837
MATS4p,-0.06431775415152884
MATS4s,-0.011101540780909355
MATS4v,-0.05072351890477091
MATS5Z,-0.005178430937443228
MATS5c,0.18418977053310603
MATS5d,-0.020022610224846124
MATS5i,0.12674595305587524
MATS5m,-0.0010538265350616446
MATS5p,0.05617570491178844
MATS5s,0.018463045740148013
MATS5v,0.04410254089713174
MATS6Z,0.00617137738424904
MATS6c,-0.09182811531045235
MATS6d,-0.06867608806414416
MATS6i,0.16042902500103773
MATS6m,0.015644537094355787
MATS6p,0.08782688837523611
MATS6s,0.054312175796518807
MATS6v,0.12475660562694128
MATS7Z,-0.30188541495555676
MATS7c,-0.021733090300826458
MATS7d,-0.1008069098761223
MATS7i,0.05209547141551452
MATS7m,-0.30412742768729295
MATS7p,-0.04950818438350139
MATS7s,-0.09528955600921318
MATS7v,-0.17429325743577137
MATS8Z,-0.10864102891699673
MATS8c,0.09369826167382696
MATS8d,-0.10906823025624403
MATS8i,-0.22837963219060695
MATS8m,-0.10739501425745558
MATS8p,-0.2506556373643583
MATS8s,0.0415040188053411
MATS8v,-0.1194230269091041
MAXaaN,4.619748773552886
MAXaaS,1.440321764508272
MAXsOH,9.24252610981958
MINaaN,4.619748773552886
MINaaS,1.440321764508272
MINsOH,9.24252610981958
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,2
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,35.44480494613783
SpAD_D,309.6187414856929
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.6174714543549178
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,952
TMWC10,133.46526241855418
TSRW10,78.3280713925376
VE1_Dt,5.134637509849951
VE2_Dt,0.19017175962407226
VE3_Dt,2.629261021854269
VR1_Dt,164.68137444863186
VR2_Dt,6.099310164764143
VR3_Dt,6.097264316055394
Xc-3dv,0.938456825352108
Xc-4dv,0.0
Xc-5dv,0.15118899398407343
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.17479246499677625
Xch-6d,0.5972961594144711
Xch-7d,0.9352337518155495
Xp-0dv,15.662350202624683
Xp-1dv,9.475046002102207
Xp-2dv,7.401400646479745
Xp-3dv,5.520956968672087
Xp-4dv,4.0843866064636
Xp-5dv,2.811490536419906
Xp-6dv,1.6928209521571036
Xp-7dv,1.026099418580224
Xpc-4d,3.976099045403319
Xpc-5d,6.299858639372061
Xpc-6d,9.19247882300152
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,49
nFRing,1
nHBAcc,5
nHBDon,2
nHRing,2
nSpiro,0
naRing,4
piPC10,7.855923118894741
AATS0dv,7.705314009661836
AATS0pe,6.229584782608692
AATS0se,7.6533443695652155
AATS1dv,7.435374149659864
AATS1pe,6.497542857142858
AATS1se,7.753529551020403
AATS2dv,6.131687242798353
AATS2pe,6.378719753086421
AATS2se,7.708450864197526
AATS3dv,4.515151515151516
AATS3pe,6.275556565656566
AATS3se,7.675793474747472
AATS4dv,4.238095238095238
AATS4pe,6.183933333333333
AATS4se,7.652564171428571
AATS5dv,4.778947368421052
AATS5pe,6.22911894736842
AATS5se,7.692453936842103
AATS6dv,4.524344569288389
AATS6pe,6.224423595505617
AATS6se,7.68379208988764
AATS7dv,4.146825396825397
AATS7pe,6.350483333333332
AATS7se,7.79792211904762
AATS8dv,3.6213991769547325
AATS8pe,6.023348148148149
AATS8se,7.492890790123456
AATSC0Z,9.863894139886577
AATSC0c,0.015318238682185577
AATSC0d,0.594045368620038
AATSC0i,1.623216638488702
AATSC0m,45.214808994328926
AATSC0p,0.28858769143267354
AATSC0s,1.3150773646992935
AATSC0v,51.61901895540162
AATSC1Z,0.4786080783920379
AATSC1c,-0.007035605611371065
AATSC1d,0.20808417885112448
AATSC1i,0.1257958377910047
AATSC1m,2.2658801130357737
AATSC1p,0.025684540439522674
AATSC1s,-0.12427223606347641
AATSC1v,2.8939188832904903
AATSC2Z,0.9305234661252311
AATSC2c,4.660508858098494e-05
AATSC2d,-0.003063081985577328
AATSC2i,-0.1302728332280059
AATSC2m,4.1931531468412375
AATSC2p,0.014822609025758398
AATSC2s,-0.02313025666005945
AATSC2v,1.3745070756174602
AATSC3Z,0.16069962383762024
AATSC3c,0.0010742646197370869
AATSC3d,-0.0345372438945218
AATSC3i,-0.3722241288821002
AATSC3m,0.3202690605678786
AATSC3p,-0.04740034224281306
AATSC3s,-0.11266723730258472
AATSC3v,-7.2158977956002275
AATSC4Z,-0.6783868935097666
AATSC4c,-0.0027068310013219367
AATSC4d,-0.047875596363309035
