DLiP-ID,C000TD
Mi,1.133788812974051
Mm,0.5063529163307618
Mp,0.629330203008617
Mv,0.5711849150834273
SZ,22.666666666666664
Si,46.48534133193609
Sm,20.760469569561234
Sp,25.802538323353296
Sv,23.41858151842052
nB,0
nC,15
nF,0
nH,23
nI,0
nN,1
nO,2
nP,0
nS,0
nX,0
ABC,13.798897750728544
AMW,6.077387292097561
IC0,1.341813372339082
IC1,2.979823509465504
IC2,4.052435541097915
IC3,4.589020906951571
IC4,4.686581882561327
IC5,4.686581882561327
MID,35.92922668417605
Mpe,0.9447154471544715
Mse,0.9886486774554563
NdO,0
NdS,0
NsF,0
NsI,0
NtN,0
SMR,72.51560000000003
SdO,0
SdS,0
Spe,38.733333333333334
SsF,0
SsI,0
Sse,40.53459577567371
StN,0
fMF,0.2926829268292683
nBr,0
nCl,0
AMID,1.9960681491208918
BIC0,0.24432797979171095
BIC1,0.5425898066095368
BIC2,0.7378994794682775
BIC3,0.8356051821594634
BIC4,0.8533698553760426
BIC5,0.8533698553760426
CIC0,4.015738632279001
CIC1,2.3777284951525797
CIC2,1.3051164635201689
CIC3,0.7685310976665125
CIC4,0.6709701220567572
CIC5,0.6709701220567572
GGI1,5.0
GGI2,2.6666666666666674
GGI3,1.6875
GGI4,1.1333333333333335
GGI5,0.6249999999999999
GGI6,0.3224489795918367
GGI7,0.15625
GGI8,0.04081632653061224
GGI9,0.0
JGI1,0.2631578947368421
JGI2,0.09876543209876548
JGI3,0.06026785714285714
JGI4,0.04358974358974359
JGI5,0.024999999999999998
JGI6,0.020153061224489795
JGI7,0.01953125
JGI8,0.01020408163265306
JGI9,0.0
MIC0,12.077312634451296
MIC1,25.356250227118824
MIC2,30.194565106223806
MIC3,31.272174862321368
MIC4,31.370516325736
MIC5,31.370516325736
MPC2,27
MPC3,34
MPC4,43
MPC5,53
MPC6,46
MPC7,44
MPC8,39
MPC9,31
Mare,0.9577560975609756
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,2
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.3258712351413214
RPCG,0.18802938306087202
SIC0,0.25045270137974773
SIC1,0.5561912431082268
SIC2,0.756396865136318
SIC3,0.8565518175084336
SIC4,0.8747618088488182
SIC5,0.8747618088488182
SaaN,0
SaaO,0
SaaS,0
Sare,39.268
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,20.64268998803225
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,55.014348265902356
TIC1,122.17276388808567
TIC2,166.14985718501453
TIC3,188.1498571850144
TIC4,192.14985718501438
TIC5,192.14985718501438
Vabc,253.0511570675933
WPol,28
apol,43.09023899999997
bpol,24.783761
nRot,3
ABCGG,12.094702895220836
ATS0Z,740.0
ATS0d,115.0
ATS0i,6737.163972322727
ATS0m,2895.4633380000005
ATS0p,54.55600481152701
ATS0s,143.14583333333331
ATS0v,7743.775375301738
ATS1Z,868.0
ATS1d,146.0
ATS1i,6158.724676143199
ATS1m,3195.242734999999
ATS1p,71.68824648200003
ATS1s,114.54166666666667
ATS1v,10071.222977070252
ATS2Z,1291.0
ATS2d,252.0
ATS2i,11955.078640812037
ATS2m,4658.053443000001
ATS2p,112.37899396333897
ATS2s,185.875
ATS2v,15322.998523678389
ATS3Z,1517.0
ATS3d,298.0
ATS3i,17143.00073474673
ATS3m,5237.896648
ATS3p,142.034394497282
ATS3s,272.70833333333337
ATS3v,18519.2138873069
ATS4Z,1483.0
ATS4d,305.0
ATS4i,22109.851895752854
ATS4m,5002.901810000001
ATS4p,145.80648562220497
ATS4s,306.5555555555555
ATS4v,18297.788108915378
ATS5Z,1433.0
ATS5d,272.0
ATS5i,20126.44841219316
ATS5m,4855.192417
ATS5p,139.417194758564
ATS5s,307.1666666666667
ATS5v,17547.017339255384
ATS6Z,1125.0
ATS6d,232.0
ATS6i,20394.963437158014
ATS6m,3475.5398359999995
ATS6p,126.75450237171499
ATS6s,285.00000000000006
ATS6v,15168.84164304442
ATS7Z,687.0
ATS7d,162.0
ATS7i,17917.963175001853
ATS7m,1986.077528
ATS7p,91.168944978752
ATS7s,207.5
ATS7v,9975.524520166611
ATS8Z,344.0
ATS8d,92.0
ATS8i,11109.002818968564
ATS8m,989.8863319999998
ATS8p,47.73204853626199
ATS8s,119.0
ATS8v,5036.893801747168
C1SP1,0
C1SP2,0
C1SP3,1
C2SP1,0
C2SP2,5
C2SP3,4
C3SP2,1
C3SP3,2
C4SP3,0
FCSP3,0.6
GGI10,0.0
JGI10,0.0
JGT10,0.5406693204253512
Kier1,14.409972299168976
Kier2,5.969821673525377
Kier3,3.3217993079584773
MID_C,30.371044930894747
MID_N,2.001974321245897
MID_O,3.556207432035408
MID_X,0.0
MID_h,5.558181753281305
MPC10,25
MWC01,19.0
MWC02,4.532599493153256
MWC03,5.3706380281276624
MWC04,6.263398262591624
MWC05,7.136483208590247
MWC06,8.034955024502159
MWC07,8.922258219503062
MWC08,9.82211479407039
MWC09,10.715861170990511
MWC10,11.616032443319185
NaaCH,4
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,2
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,2.331600000000001
SRW02,3.6635616461296463
SRW03,0.0
SRW04,4.990432586778736
SRW05,0.0
SRW06,6.532334292222349
SRW07,0.0
SRW08,8.18060094759445
SRW09,0.0
SRW10,9.885781725417196
SaaCH,7.085596419123204
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.0871773431594867
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,4.078355694129503
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,2.128724017384732
SsssP,0
VE1_A,3.682214701672105
VE1_D,4.177309697415068
VE2_A,0.20456748342622805
VE2_D,0.2320727609675038
VE3_A,1.8913010571678115
VE3_D,2.017454091172391
VR1_A,106.18916179495447
VR1_D,88.51259520366497
VR2_A,5.899397877497471
VR2_D,4.917366400203609
VR3_A,5.253008713840581
VR3_D,5.07093152547514
WPath,570
Xc-3d,1.6783646469817766
Xc-4d,0.11785113019775792
Xc-5d,0.4886419420963561
Xc-6d,0.11785113019775792
Xp-0d,13.173362107437434
Xp-1d,8.52069250059882
Xp-2d,8.046774129025966
Xp-3d,6.075607382963114
Xp-4d,4.957141035938201
Xp-5d,4.131704173165254
Xp-6d,2.3002464651086463
Xp-7d,1.4474825562952727
ZMIC0,62.84190648858109
ZMIC1,35.887519452387906
ZMIC2,24.97328954084733
ZMIC3,21.683452265345927
ZMIC4,21.223442118103375
ZMIC5,21.223442118103375
nAcid,0
nAtom,41
nBase,1
nRing,2
piPC1,3.1354942159291497
piPC2,3.624340932976365
piPC3,4.047427642434349
piPC4,4.495634298919785
piPC5,4.929515617811268
piPC6,4.877579978605219
piPC7,5.018107308934956
piPC8,4.984462419792233
piPC9,4.880906187421472
AATS0Z,18.048780487804876
AATS0d,2.8048780487804876
AATS0i,164.32107249567628
AATS0m,70.62105702439025
AATS0p,1.3306342636957806
AATS0s,3.4913617886178856
AATS0v,188.87257012931067
AATS1Z,20.666666666666668
AATS1d,3.4761904761904763
AATS1i,146.6363018129333
AATS1m,76.07720797619045
AATS1p,1.7068630114761911
AATS1s,2.72718253968254
AATS1v,239.79102326357744
AATS2Z,16.766233766233768
AATS2d,3.272727272727273
AATS2i,155.26076156898748
AATS2m,60.49420055844157
AATS2p,1.4594674540693373
AATS2s,2.413961038961039
AATS2v,198.99998082699207
AATS3Z,13.790909090909091
AATS3d,2.709090909090909
AATS3i,155.84546122497025
AATS3m,47.61724225454545
AATS3p,1.291221768157109
AATS3s,2.479166666666667
AATS3v,168.3564898846082
AATS4Z,10.985185185185186
AATS4d,2.259259259259259
AATS4i,163.7766807092804
AATS4m,37.058531925925934
AATS4p,1.0800480416459628
AATS4s,2.2707818930041146
AATS4v,135.53917117715096
AATS5Z,11.556451612903226
AATS5d,2.193548387096774
AATS5i,162.3100678402674
AATS5m,39.15477755645161
AATS5p,1.124332215794871
AATS5s,2.477150537634409
AATS5v,141.50820434883374
AATS6Z,9.07258064516129
AATS6d,1.8709677419354838
AATS6i,164.475511589984
AATS6m,28.028547064516125
AATS6p,1.022213728804153
AATS6s,2.298387096774194
AATS6v,122.3293680890679
AATS7Z,6.481132075471698
AATS7d,1.528301886792453
AATS7i,169.0373884434137
AATS7m,18.73658045283019
AATS7p,0.8600843865919999
AATS7s,1.9575471698113207
AATS7v,94.10872188836426
AATS8Z,5.375
AATS8d,1.4375
AATS8i,173.5781690463838
AATS8m,15.466973937499997
AATS8p,0.7458132583790936
AATS8s,1.859375
AATS8v,78.7014656522995
AMID_C,1.687280273938597
AMID_N,0.11122079562477206
AMID_O,0.19756707955752267
AMID_X,0.0
AMID_h,0.3087878751822947
ATS0dv,190.0
ATS0pe,241.7663
ATS0se,304.53747999999996
ATS1dv,186.0
ATS1pe,264.781
ATS1se,320.3597719999999
ATS2dv,254.0
ATS2pe,468.8185
ATS2se,578.0714599999998
ATS3dv,272.0
ATS3pe,657.4834999999999
ATS3se,820.438136
ATS4dv,252.0
ATS4pe,784.7341
ATS4se,997.7048239999999
ATS5dv,200.0
ATS5pe,723.8816000000002
ATS5se,915.9773080000002
ATS6dv,113.0
ATS6pe,720.0855000000003
ATS6se,918.2094479999998
ATS7dv,70.0
ATS7pe,585.1401000000002
ATS7se,761.8283680000002
ATS8dv,16.0
ATS8pe,343.96099999999996
ATS8se,454.06784
ATSC0Z,288.8780487804878
ATSC0c,0.7068536924137291
ATSC0d,24.243902439024392
ATSC0i,54.523227992133755
ATSC0m,1378.9409644390241
ATSC0p,9.268963419402096
ATSC0s,48.12533875338754
ATSC0v,2078.6690917030155
ATSC1Z,3.2956573468173906
ATSC1c,-0.33428757209193233
ATSC1d,9.847709696609163
ATSC1i,-3.672822492248817
ATSC1m,18.356034013682077
ATSC1p,0.3444539494664633
ATSC1s,-6.32487276092273
ATSC1v,62.50251969058836
ATSC2Z,21.936347412254644
ATSC2c,-0.02809036735361396
ATSC2d,-3.0678167757287316
ATSC2i,19.113070334492246
ATSC2m,108.15775651695391
ATSC2p,1.4071226874480391
ATSC2s,5.432290633881948
ATSC2v,339.269188055632
ATSC3Z,-82.23378941106483
ATSC3c,-0.023492976015389237
ATSC3d,-3.0446162998215343
ATSC3i,-26.38798565139096
ATSC3m,-399.7264291778705
ATSC3p,-4.414973251619478
ATSC3s,-3.6614779562429782
ATSC3v,-860.5249667448313
ATSC4Z,29.474717430101123
ATSC4c,0.010170368293823789
ATSC4d,-7.656751933372993
ATSC4i,-0.28055433411884356
ATSC4m,141.95636645687094
ATSC4p,0.6831558430270447
ATSC4s,-6.387971776059224
ATSC4v,183.70005172517762
ATSC5Z,1.0761451516954241
ATSC5c,0.21127770553654363
ATSC5d,-12.932778108268888
ATSC5i,-9.937786789593023
ATSC5m,-4.262094327781057
ATSC5p,-1.726834297061782
ATSC5s,20.87058794368431
ATSC5v,-274.94462600245254
ATSC6Z,-194.14336704342657
ATSC6c,-0.3639559423492089
ATSC6d,-5.323022010707913
ATSC6i,-17.039432226879033
ATSC6m,-921.3082690838787
ATSC6p,-3.503822476111173
ATSC6s,-25.146349725692385
ATSC6v,-1083.2877875910663
ATSC7Z,-7.562760261748995
ATSC7c,0.2061833427352901
ATSC7d,2.3694229625223073
ATSC7i,-6.050624808310639
ATSC7m,-39.860975574062806
ATSC7p,-0.8063771628017178
ATSC7s,-5.320658999272917
ATSC7v,-184.5741780094258
ATSC8Z,92.87328970850682
ATSC8c,-0.015397425073059476
ATSC8d,1.5704937537180246
ATSC8i,10.059832097794018
ATSC8m,443.6034875098158
ATSC8p,1.9398393552460895
ATSC8s,7.001503734549542
ATSC8v,593.3498904110292
AXp-0d,0.7318534504131908
AXp-1d,0.4484575000315168
AXp-2d,0.2980286714454061
AXp-3d,0.17869433479303276
AXp-4d,0.11528234967298141
AXp-5d,0.07795668251255196
AXp-6d,0.05000535793714449
AXp-7d,0.03289733082489256
GATS1Z,1.0450941605956803
GATS1c,1.3909740431945976
GATS1d,1.0213662929960716
GATS1i,1.3806016662435636
GATS1m,1.0482878028049505
GATS1p,1.2151674653241018
GATS1s,1.0384040147671136
GATS1v,1.1541035032523128
GATS2Z,0.9746619473063243
GATS2c,0.8540476454548007
GATS2d,1.7141811910423577
GATS2i,1.0241821848637516
GATS2m,0.9772873525182558
GATS2p,1.031021278113303
GATS2s,0.6147142877254232
GATS2v,0.9971075450745689
GATS3Z,1.108363267937736
GATS3c,0.8323698674023645
GATS3d,1.3949149442107187
GATS3i,1.261536527634575
GATS3m,1.1120193863518482
GATS3p,1.2666994447133217
GATS3s,1.0756844130065026
GATS3v,1.2128261431353153
GATS4Z,0.9549076263024254
GATS4c,0.8905349372052208
GATS4d,1.1549295774647885
GATS4i,0.9572219662985729
GATS4m,0.9532229892690753
GATS4p,0.9383921364199674
GATS4s,1.1222196673325022
GATS4v,0.9358675408240931
GATS5Z,0.976525476353891
GATS5c,0.8406461607322436
GATS5d,1.1975076264035827
GATS5i,1.0635902522802694
GATS5m,0.9793429135841081
GATS5p,1.0458105900525583
GATS5s,0.761806302658964
GATS5v,1.0273067985081912
GATS6Z,1.212142257955573
GATS6c,1.228987088753927
GATS6d,0.7717271370156421
GATS6i,1.044931803105413
GATS6m,1.2081618476428733
GATS6p,1.065754080766799
GATS6s,1.3429128578584328
GATS6v,1.1164447191858446
GATS7Z,0.9215875564731446
GATS7c,0.8663867009373608
GATS7d,0.47473520367487937
GATS7i,0.8757593631268188
GATS7m,0.9231926271883597
GATS7p,0.9107433120094964
GATS7s,0.8619830963498494
GATS7v,0.9387062261675689
GATS8Z,0.6793524147247552
GATS8c,0.9870236958569892
GATS8d,0.56715291750503
GATS8i,0.6377676057013019
GATS8m,0.6795080181378088
GATS8p,0.6754525390327552
GATS8s,0.6309479396900032
GATS8v,0.6748633754615205
MATS1Z,0.011136842443833393
MATS1c,-0.46166320935617045
MATS1d,0.3965219890773211
MATS1i,-0.0657586586434086
MATS1m,0.012994744551718082
MATS1p,0.03627726745058697
MATS1s,-0.12829583567128086
MATS1v,0.029352610621574265
MATS2Z,0.040433646056746424
MATS2c,-0.02116026095840317
MATS2d,-0.06737829574851704
MATS2i,0.18665603218418697
MATS2m,0.0417642924642792
MATS2p,0.08083397369938819
MATS2s,0.06010385514981969
MATS2v,0.08690648652414538
MATS3Z,-0.10610282152835343
MATS3c,-0.012387956620219511
MATS3d,-0.04680812145600877
MATS3i,-0.18039140907116433
MATS3m,-0.10804591757493416
MATS3p,-0.17753667425155695
MATS3s,-0.028357882315901837
MATS3v,-0.15430119457145086
MATS4Z,0.030987404155252852
MATS4c,0.00436975650267539
MATS4d,-0.0959162381697593
MATS4i,-0.0015627356174566923
MATS4m,0.03126506164447066
MATS4p,0.022384052061295436
MATS4s,-0.040312457798696584
MATS4v,0.02683947449942133
MATS5Z,0.001231738405726057
MATS5c,0.09882943496500989
MATS5d,-0.1763808658402025
MATS5i,-0.060265711274246035
MATS5m,-0.0010219733134239281
MATS5p,-0.061600135725908896
MATS5s,0.14339138374122337
MATS5v,-0.043734286795984526
MATS6Z,-0.22221337059188812
MATS6c,-0.1702477790696594
MATS6d,-0.072596871551892
MATS6i,-0.10333221315811997
MATS6m,-0.22091309859176889
MATS6p,-0.12498937532986487
MATS6s,-0.17276800696450495
MATS6v,-0.1723140381899032
MATS7Z,-0.01012613663155619
MATS7c,0.11282414129716634
MATS7d,0.03780228541057665
MATS7i,-0.04292365101896223
MATS7m,-0.011180989550751547
MATS7p,-0.03364999801956757
MATS7s,-0.04276314304087733
MATS7v,-0.03434500437147098
MATS8Z,0.205958713272543
MATS8c,-0.01395476255311861
MATS8d,0.041498993963782684
MATS8i,0.11819879664093025
MATS8m,0.20608821662034407
MATS8p,0.13407212119892997
MATS8s,0.09320117938141427
MATS8v,0.18286449491253293
MAXsOH,11.037916666666666
MINsOH,9.604773321365583
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,5
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,1
NssssN,0
Radius,4
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,22.312972030800278
SpAD_D,131.13281362286835
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,4.945604686318971
SssNH2,0
SsssAs,0
SsssCH,0.23893518518518486
SsssNH,0
SssssB,0
SssssC,-0.7904166666666668
SssssN,0
TMPC10,379
TMWC10,109.4143406448481
TSRW10,51.25271119814238
VE1_Dt,4.201837376869189
VE2_Dt,0.23343540982606603
VE3_Dt,2.023308565212181
VR1_Dt,85.6971660713314
VR2_Dt,4.760953670629522
VR3_Dt,5.038606421946625
Xc-3dv,0.9553900953720639
Xc-4dv,0.04564354645876384
Xc-5dv,0.2108390228374637
Xc-6dv,0.03803628871563654
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.15550211698203653
Xch-7d,0.28986648662335274
Xp-0dv,11.263926038380744
Xp-1dv,6.687960863678444
Xp-2dv,5.679532136827614
Xp-3dv,3.9674564359207385
Xp-4dv,3.0664620374713656
Xp-5dv,2.3291112834637517
Xp-6dv,1.2092277432402232
Xp-7dv,0.6912918524779873
Xpc-4d,3.39084642192826
Xpc-5d,5.326419671335726
Xpc-6d,8.675647645143679
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,42
nFRing,0
nHBAcc,3
nHBDon,2
nHRing,0
nSpiro,0
naRing,1
piPC10,4.801969761962699
AATS0dv,4.634146341463414
AATS0pe,5.896739024390244
AATS0se,7.427743414634145
AATS1dv,4.428571428571429
AATS1pe,6.304309523809524
AATS1se,7.627613619047617
AATS2dv,3.2987012987012987
AATS2pe,6.088551948051948
AATS2se,7.507421558441555
AATS3dv,2.4727272727272727
AATS3pe,5.977122727272727
AATS3se,7.458528509090909
AATS4dv,1.8666666666666667
AATS4pe,5.812845185185186
AATS4se,7.390406103703703
AATS5dv,1.6129032258064515
AATS5pe,5.837754838709679
AATS5se,7.38691377419355
AATS6dv,0.9112903225806451
AATS6pe,5.80714112903226
AATS6se,7.404914903225805
AATS7dv,0.660377358490566
AATS7pe,5.520189622641511
AATS7se,7.1870600754717
AATS8dv,0.25
AATS8pe,5.374390624999999
AATS8se,7.09481
AATSC0Z,7.045806067816776
AATSC0c,0.017240333961310465
AATSC0d,0.5913146936347413
AATSC0i,1.329834829076433
AATSC0m,33.6327064497323
AATSC0p,0.22607227852200235
AATSC0s,1.173788750082623
AATSC0v,50.69924613909794
AATSC1Z,0.07846803206708072
AATSC1c,-0.007959227906950769
AATSC1d,0.23446927849069438
AATSC1i,-0.08744815457735278
AATSC1m,0.4370484288971923
AATSC1p,0.008201284511106268
AATSC1s,-0.15059220859339834
AATSC1v,1.4881552307282941
AATSC2Z,0.2848876287305798
AATSC2c,-0.0003648099656313501
AATSC2d,-0.03984177630816534
AATSC2i,0.24822169265574345
AATSC2m,1.404646188531869
AATSC2p,0.0182743206162083
AATSC2s,0.07054922901145387
AATSC2v,4.406093351371845
AATSC3Z,-0.747579903736953
AATSC3c,-0.00021357250923081125
AATSC3d,-0.027678329998377584
AATSC3i,-0.23989077864900873
AATSC3m,-3.6338766288897317
AATSC3p,-0.04013612046926798
AATSC3s,-0.03328616323857253
AATSC3v,-7.82295424313483
AATSC4Z,0.2183312402229713
AATSC4c,7.533606143573177e-05
AATSC4d,-0.0567166809879481
AATSC4i,-0.0020781802527321744
AATSC4m,1.0515286404212663
AATSC4p,0.005060413652052183
AATSC4s,-0.04731830945229055
AATSC4v,1.3607411238902045
AATSC5Z,0.008678589933027614
AATSC5c,0.001703852464004384
AATSC5d,-0.10429659764732974
AATSC5i,-0.08014344185155664
AATSC5m,-0.03437172844984723
AATSC5p,-0.013926083040820823
AATSC5s,0.16831119309422832
AATSC5v,-2.2172953709875203
AATSC6Z,-1.5656723148663432
AATSC6c,-0.00293512856733233
AATSC6d,-0.04292759686054768
