DLiP-ID,I000K1
Sv,37.53521555058012
nB,0
nC,23
nF,1
nH,32
nI,0
nN,5
nO,2
nP,0
nS,0
nX,1
ABC,24.293568213590884
AMW,6.813555610857158
IC0,1.570112217726137
IC1,3.635234288235874
IC2,5.056024367669634
IC3,5.453160082092712
IC4,5.453160082092712
IC5,5.453160082092712
MID,62.988512998887444
Mpe,0.9655150949268594
Mse,1.0022081180129252
NdO,2
NdS,0
NsF,1
NsI,0
NtN,0
SMR,118.19680000000005
SdO,26.074617402255043
SdS,0
Spe,60.82745098039214
SsF,13.63281982506605
SsI,0
Sse,63.13911143481429
StN,0
fMF,0.2698412698412698
nBr,0
nCl,0
AMID,2.0318875160931436
BIC0,0.2544783311562296
BIC1,0.5891861387919761
BIC2,0.8194628567588281
BIC3,0.8838292330649001
BIC4,0.8838292330649001
BIC5,0.8838292330649001
CIC0,4.40716770577378
CIC1,2.342045635264043
CIC2,0.9212555558302826
CIC3,0.524119841407205
CIC4,0.524119841407205
CIC5,0.524119841407205
GGI1,6.5
GGI2,4.666666666666669
GGI3,2.5069444444444446
GGI4,1.893333333333334
GGI5,1.3580555555555553
GGI6,0.9904308390022675
GGI7,0.6372236394557823
GGI8,0.5006535021415973
GGI9,0.3593981481481482
JGI1,0.19117647058823528
JGI2,0.09333333333333338
JGI3,0.048210470085470095
JGI4,0.03641025641025641
JGI5,0.02562368972746331
JGI6,0.019420212529456225
JGI7,0.014482355442176867
JGI8,0.013907041726155478
JGI9,0.011593488649940266
MIC0,15.268873383620628
MIC1,34.44621425310694
MIC2,38.999831833693776
MIC3,39.876049395737
MIC4,39.876049395737
MIC5,39.876049395737
MPC2,50
MPC3,70
MPC4,95
MPC5,116
MPC6,141
MPC7,167
MPC8,190
MPC9,213
Mare,0.9800000000000002
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.1327382061772718
RPCG,0.090225481412212
SIC0,0.2626800547776218
SIC1,0.6081753464387378
SIC2,0.8458737807797274
SIC3,0.9123146568146145
SIC4,0.9123146568146145
SIC5,0.9123146568146145
SaaN,0
SaaO,0
SaaS,0
Sare,61.740000000000016
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,98.91706971674664
TIC1,229.01976015886007
TIC2,318.52953516318695
TIC3,343.54908517184083
TIC4,343.54908517184083
TIC5,343.54908517184083
Vabc,397.95134546442995
WPol,52
apol,67.40837599999998
bpol,38.94162400000001
nRot,6
ABCGG,21.165086691440308
ATS0Z,1314.0
ATS0d,200.0
ATS0i,10564.29190034097
ATS0m,5204.444402149774
ATS0p,86.01896995516796
ATS0s,289.0833333333333
ATS0v,12561.964987743633
ATS1Z,1528.0
ATS1d,262.0
ATS1i,9916.997179586408
ATS1m,5743.893753835204
ATS1p,113.70699988000005
ATS1s,189.2222222222222
ATS1v,16441.228012139705
ATS2Z,2365.0
ATS2d,447.0
ATS2i,19415.917527612743
ATS2m,8737.7299496704
ATS2p,181.43045943273512
ATS2s,329.6944444444445
ATS2v,25496.909001205437
ATS3Z,2704.0
ATS3d,520.0
ATS3i,27772.93990083632
ATS3m,9652.600664521606
ATS3p,218.55872039547
ATS3s,469.5277777777779
ATS3v,29611.50324802564
ATS4Z,2781.0
ATS4d,528.0
ATS4i,31310.32898967851
ATS4m,9801.742518883206
ATS4p,225.774933119809
ATS4s,539.916666666667
ATS4v,30513.231757969537
ATS5Z,2844.0
ATS5d,531.0
ATS5i,31801.754600654865
ATS5m,10034.883679096001
ATS5p,226.927946738658
ATS5s,591.8888888888889
ATS5v,30766.006611385186
ATS6Z,2762.0
ATS6d,522.0
ATS6i,31348.62053000476
ATS6m,9603.871061260801
ATS6p,240.71051857586602
ATS6s,509.9999999999999
ATS6v,31793.02549283768
ATS7Z,2602.0
ATS7d,514.0
ATS7i,36601.102540785556
ATS7m,8753.754350096002
ATS7p,243.44239675054396
ATS7s,545.0833333333335
ATS7v,30971.77153074906
ATS8Z,2217.0
ATS8d,438.0
ATS8i,35687.37567019034
ATS8m,7406.882288356803
ATS8p,211.523994790977
ATS8s,527.8333333333334
ATS8v,26257.324940475395
C1SP1,0
C1SP2,3
C1SP3,5
C2SP1,0
C2SP2,5
C2SP3,5
C3SP2,2
C3SP3,2
C4SP3,0
FCSP3,0.5652173913043478
GGI10,0.2051872257932864
JGI10,0.00892118373014289
JGT10,0.4630785022226302
Kier1,24.134948096885815
Kier2,10.092
Kier3,4.8
MAXdO,13.605035250593964
MAXsF,13.63281982506605
MID_C,47.451457791630574
MID_N,10.225772679585814
MID_O,3.5387712954403066
MID_X,1.772511232230766
MID_h,15.537055207256886
MINdO,12.46958215166108
MINsF,13.63281982506605
MPC10,238
MWC01,34.0
MWC02,5.1298987149230735
MWC03,6.013715156042802
MWC04,6.92461239604856
MWC05,7.831617276352611
MWC06,8.750366278367625
MWC07,9.667195436466644
MWC08,10.590993853205987
MWC09,11.513695168672319
MWC10,12.441077571776171
NaaCH,4
NaaNH,1
NaaSe,0
NaaaC,2
NaasC,2
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,4
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,3
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,1.7120000000000004
SRW02,4.23410650459726
SRW03,0.0
SRW04,5.594711379601839
SRW05,3.4339872044851463
SRW06,7.136483208590247
SRW07,5.820082930352362
SRW08,8.766082459148864
SRW09,7.940583827104244
SRW10,10.44781564835612
SaaCH,6.72740044973891
SaaNH,3.1806460512072956
SaaSe,0
SaaaC,1.756854909035611
SaasC,0.8295796547207293
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.2048260259256205
SdssS,0
SsCH3,7.417950742975857
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,9.447112761983899
SssPH,0
SssSe,0
SsssB,0
SsssN,1.951069066515495
SsssP,0
VE1_A,4.461487519079692
VE1_D,5.479315495797273
VE2_A,0.14391895222837717
VE2_D,0.17675211276765398
VE3_A,2.6268843463734854
VE3_D,2.832382295123135
VR1_A,517.825521082953
VR1_D,205.80947642082737
VR2_A,16.70404906719203
VR2_D,6.639015368413786
VR3_A,7.381040465123791
VR3_D,6.458352980579363
WPath,2640
Xc-3d,2.4107213403332692
Xc-4d,0.0
Xc-5d,0.7853141611542449
Xc-6d,0.0
Xp-0d,22.283728092517162
Xp-1d,14.81176950568786
Xp-2d,13.768709696740054
Xp-3d,12.015084867113515
Xp-4d,9.902136717193576
Xp-5d,7.548388856108867
Xp-6d,5.762752898321889
Xp-7d,4.208381242029392
ZMIC0,102.66016693965689
ZMIC1,42.574051688454745
ZMIC2,28.166382256780345
ZMIC3,25.013066710730683
ZMIC4,25.013066710730683
ZMIC5,25.013066710730683
nAcid,0
nAtom,63
nBase,2
nRing,4
piPC1,3.7376696182833684
piPC2,4.293878247897177
piPC3,4.841229962568847
piPC4,5.381911452912161
piPC5,5.819340815290474
piPC6,6.171276446929019
piPC7,6.538535458229201
piPC8,6.887867413678301
piPC9,6.955797395576591
AATS0Z,20.857142857142858
AATS0d,3.1746031746031744
AATS0i,167.68717302128525
AATS0m,82.61022860555197
AATS0p,1.3653804754788565
AATS0s,4.588624338624339
AATS0v,199.39626964672433
AATS1Z,23.151515151515152
AATS1d,3.9696969696969697
AATS1i,150.2575330240365
AATS1m,87.02869323992734
AATS1p,1.7228333315151523
AATS1s,2.8670033670033668
AATS1v,249.10951533545008
AATS2Z,19.227642276422763
AATS2d,3.6341463414634148
AATS2i,157.8529880293719
AATS2m,71.03845487536911
AATS2p,1.4750443856319928
AATS2s,2.6804426377597115
AATS2v,207.2919430992312
AATS3Z,15.812865497076023
AATS3d,3.0409356725146197
AATS3i,162.41485322126505
AATS3m,56.44795710246553
AATS3p,1.2781211719033334
AATS3s,2.745776478232619
AATS3v,173.16668566096865
AATS4Z,14.636842105263158
AATS4d,2.778947368421053
AATS4i,164.79120520883427
AATS4m,51.588118520437924
AATS4p,1.1882891216832052
AATS4s,2.841666666666668
AATS4v,160.5959566208923
AATS5Z,14.8125
AATS5d,2.765625
AATS5i,165.63413854507743
AATS5m,52.26501916195834
AATS5p,1.1819163892638438
AATS5s,3.0827546296296298
AATS5v,160.2396177676312
AATS6Z,14.237113402061855
AATS6d,2.6907216494845363
AATS6i,161.59082747425134
AATS6m,49.504490006498976
AATS6p,1.240775868947763
AATS6s,2.628865979381443
AATS6v,163.88157470534887
AATS7Z,11.773755656108598
AATS7d,2.32579185520362
AATS7i,165.61584860083963
AATS7m,39.60974819047965
AATS7p,1.1015493065635473
AATS7s,2.466440422322776
AATS7v,140.14376258257494
AATS8Z,10.507109004739336
AATS8d,2.075829383886256
AATS8i,169.13448184924331
AATS8m,35.10370752775736
AATS8p,1.0024833876349621
AATS8s,2.5015797788309637
AATS8v,124.44229829609192
AMID_C,1.5306921868267926
AMID_N,0.32986363482534886
AMID_O,0.11415391275613893
AMID_X,0.05717778168486341
AMID_h,0.5011953292663511
ATS0dv,412.0
ATS0pe,390.1530999999999
ATS0se,482.1343279999998
ATS1dv,402.0
ATS1pe,426.8470000000001
ATS1se,510.7491399999997
ATS2dv,586.0
ATS2pe,774.5256999999998
ATS2se,943.1475520000001
ATS3dv,606.0
ATS3pe,1059.4685
ATS3se,1307.2397599999995
ATS4dv,591.0
ATS4pe,1173.4371999999996
ATS4se,1457.556608
ATS5dv,610.0
ATS5pe,1195.4765000000004
ATS5se,1484.0065799999995
ATS6dv,499.0
ATS6pe,1185.0883000000001
ATS6se,1472.0531439999997
ATS7dv,449.0
ATS7pe,1318.1735999999994
ATS7se,1657.5466079999997
ATS8dv,424.0
ATS8pe,1241.1405999999995
ATS8se,1574.3857240000002
ATSC0Z,474.3174603174603
ATSC0c,1.0553775875245723
ATSC0d,41.269841269841294
ATSC0i,112.26266745432386
ATSC0m,2275.794275463761
ATSC0p,13.89374527330489
ATSC0s,115.74603174603176
ATSC0v,3090.6991644299783
ATSC1Z,20.048374905517797
ATSC1c,-0.585036389963974
ATSC1d,18.76492819349964
ATSC1i,-14.546677748858269
ATSC1m,96.700879494839
ATSC1p,-0.05274217133985856
ATSC1s,-4.059334845049131
ATSC1v,92.19254198515875
ATSC2Z,65.1738473167045
ATSC2c,-0.12400160679145734
ATSC2d,2.9334845049130824
ATSC2i,-10.26651604918194
ATSC2m,313.1042160607429
ATSC2p,0.9226467266775109
ATSC2s,10.9812925170068
ATSC2v,341.95870291437575
ATSC3Z,-29.401360544217653
ATSC3c,0.5371079771896388
ATSC3d,-6.30385487528344
ATSC3i,-2.279108130772037
ATSC3m,-152.6015230193066
ATSC3p,-2.053449174632227
ATSC3s,-0.20880574452003042
ATSC3v,-413.21929790151466
ATSC4Z,-45.98916603678512
ATSC4c,-0.5466949450097631
ATSC4d,1.948097757621572
ATSC4i,-5.879263029706883
ATSC4m,-205.82546392429822
ATSC4p,-0.3960518897478409
ATSC4s,-26.829302091206845
ATSC4v,-43.86625923743893
ATSC5Z,-40.3008314436886
ATSC5c,0.21189396541820293
ATSC5d,-7.473167044595612
ATSC5i,13.331522890914368
ATSC5m,-179.61230246996132
ATSC5p,2.3708706624248137
ATSC5s,-3.634731670445963
ATSC5v,217.13616047218
ATSC6Z,-172.3109095490048
ATSC6c,0.15079494483156128
ATSC6d,-17.78332073570169
ATSC6i,-22.711838092762388
ATSC6m,-825.6705290560157
ATSC6p,-4.349274674138647
ATSC6s,-22.518203577727387
ATSC6v,-1159.7488066922501
ATSC7Z,-151.33585285966245
ATSC7c,-0.3425744761474484
ATSC7d,-6.962459057697157
ATSC7i,-26.99738922239417
ATSC7m,-716.621194707754
ATSC7p,-4.3844611154464195
ATSC7s,-18.47682035777275
ATSC7v,-983.8615592288671
ATSC8Z,49.58755353993445
ATSC8c,0.26940886368591316
ATSC8d,7.715293524817326
ATSC8i,20.980757756622793
ATSC8m,241.5280959893532
ATSC8p,1.2418505714127588
ATSC8s,-10.161312673217427
ATSC8v,250.40696475967547
AXp-0d,0.7188299384682956
AXp-1d,0.4356402795790547
AXp-2d,0.27537419393480106
AXp-3d,0.17164406953019307
AXp-4d,0.10423301807572186
AXp-5d,0.06507231772507643
AXp-6d,0.04087058793136091
AXp-7d,0.02519988767682271
GATS1Z,0.8635055460569149
GATS1c,1.6500358267946718
GATS1d,0.8649650349650346
GATS1i,1.3537677958655236
GATS1m,0.8648077330715019
GATS1p,1.191676601707087
GATS1s,0.5446732824681261
GATS1v,1.0790173274999773
GATS2Z,0.8634572407567326
GATS2c,1.19051747121739
GATS2d,1.3129924953095677
GATS2i,1.1483281721308325
GATS2m,0.8631317892834732
GATS2p,1.044556099542437
GATS2s,0.5118848922307104
GATS2v,0.9875068978673094
GATS3Z,0.990293399652669
GATS3c,0.9834140653495679
GATS3d,1.2607085020242907
GATS3i,1.0382192198758473
GATS3m,0.9908406847509568
GATS3p,1.0742921355592816
GATS3s,0.844162111486432
GATS3v,1.0536400262814445
GATS4Z,1.027825939925109
GATS4c,1.4220296336837754
GATS4d,1.0555688259109306
GATS4i,0.9447894049303684
GATS4m,1.0192861282229089
GATS4p,0.9812689536962127
GATS4s,1.159686354187718
GATS4v,0.9767362986220849
GATS5Z,1.0419687228097183
GATS5c,1.1954242180235415
GATS5d,1.1502043269230764
GATS5i,0.8769102637832039
GATS5m,1.0315859075868734
GATS5p,0.9013138170176114
GATS5s,1.243314412769702
GATS5v,0.9349538145208101
GATS6Z,1.0746858606049774
GATS6c,0.9909835543306298
GATS6d,1.2002973830293413
GATS6i,0.9915912514643261
GATS6m,1.0702331734083805
GATS6p,1.1213490852265833
GATS6s,0.9507041681040088
GATS6v,1.1314663366983528
GATS7Z,1.053697938891465
GATS7c,1.0382541826198406
GATS7d,0.9890758788722585
GATS7i,0.936321525633606
GATS7m,1.049273644030465
GATS7p,1.0571259121814267
GATS7s,0.8703392175892256
GATS7v,1.073836994908392
GATS8Z,0.9534078909429222
GATS8c,0.716913018370849
GATS8d,0.7760736419978123
GATS8i,0.8171428148054082
GATS8m,0.9525004758605637
GATS8p,0.9149223811963313
GATS8s,1.0077036965784745
GATS8v,0.9422671301162461
MATS1Z,0.040346575317460866
MATS1c,-0.5291412603271634
MATS1d,0.4340209790209792
MATS1i,-0.12368729016313214
MATS1m,0.04055963492286065
MATS1p,-0.003623558581576332
MATS1s,-0.033476911185358796
MATS1v,0.028473160024021487
MATS2Z,0.07037844791137829
MATS2c,-0.06018037417458317
MATS2d,0.036407129455909994
MATS2i,-0.046840677841228
MATS2m,0.07046790382491534
MATS2p,0.034013517837877434
MATS2s,0.04859401549308964
MATS2v,0.05666988931089079
MATS3Z,-0.02283719472028573
MATS3c,0.1874986627271138
MATS3d,-0.0562753036437246
MATS3i,-0.007479524900313455
MATS3m,-0.024704172231252416
MATS3p,-0.054451401804309615
MATS3s,-0.0006646312709915221
MATS3v,-0.04925703881265184
MATS4Z,-0.032149436907978425
MATS4c,-0.17176083379139745
MATS4d,0.015651821862348207
MATS4i,-0.017364987763946085
MATS4m,-0.02998838313525869
MATS4p,-0.009451912794038543
MATS4s,-0.07685820076796485
MATS4v,-0.00470609635202812
MATS5Z,-0.027879450839970565
MATS5c,0.06587946174404526
MATS5d,-0.059417067307692244
MATS5i,0.038965811589690626
MATS5m,-0.025896579222191
MATS5p,0.05599224117077063
MATS5s,-0.010303993246023059
MATS5v,0.02305232533625588
MATS6Z,-0.11797296169055331
MATS6c,0.04639997378437249
MATS6d,-0.1399325931800158
MATS6i,-0.06569854414540684
MATS6m,-0.11781825938806316
MATS6p,-0.10165677391018789
MATS6s,-0.06317808387669581
MATS6v,-0.12185574777958696
MATS7Z,-0.09095383016334843
MATS7c,-0.09253273758859885
MATS7d,-0.04809258614688479
MATS7i,-0.06855429774548208
MATS7m,-0.08976456358195432
MATS7p,-0.08995911334017419
MATS7s,-0.04550607744680219
MATS7v,-0.09074559101122948
MATS8Z,0.031214879632399255
MATS8c,0.0762188000568551
MATS8d,0.05581844695588761
MATS8i,0.055801247269224946
MATS8m,0.03168784836946482
MATS8p,0.02668751296431996
MATS8s,-0.026212098956722007
MATS8v,0.024190662562218013
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,3
NssNH2,0
NsssAs,0
NsssCH,6
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,39.61349358413756
SpAD_D,353.26113142451067
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,2.3093536644966117
SssNH2,0
SsssAs,0
SsssCH,-0.6225785020698811
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1345
TMWC10,143.86317185185578
TSRW10,84.37385316223609
VE1_Dt,5.505435393220182
VE2_Dt,0.17759469010387685
VE3_Dt,2.837137969041467
VR1_Dt,199.3774783959974
VR2_Dt,6.431531561161206
VR3_Dt,6.426602015779267
Xc-3dv,1.3763550560934665
Xc-4dv,0.0
Xc-5dv,0.31972458385370817
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.28867513459481287
Xch-6d,0.6179846864976637
Xch-7d,1.0600891749377632
Xp-0dv,18.536497684892815
Xp-1dv,11.094799708043425
Xp-2dv,9.106695843389385
Xp-3dv,6.8804715592828405
Xp-4dv,5.014996950647053
Xp-5dv,3.3788066363091445
Xp-6dv,2.3554804362059296
Xp-7dv,1.544088279304731
Xpc-4d,6.13955135387943
Xpc-5d,9.708465422266249
Xpc-6d,14.645463930631013
n3Ring,0
n4Ring,0
n5Ring,3
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,2
nBonds,66
nFRing,2
nHBAcc,4
nHBDon,4
nHRing,3
nSpiro,0
naRing,2
piPC10,7.213123770552016
AATS0dv,6.5396825396825395
AATS0pe,6.192906349206347
AATS0se,7.652925841269838
AATS1dv,6.090909090909091
AATS1pe,6.467378787878789
AATS1se,7.738623333333329
AATS2dv,4.764227642276423
AATS2pe,6.296956910569104
AATS2se,7.667866276422766
AATS3dv,3.543859649122807
AATS3pe,6.195722222222222
AATS3se,7.644676959064324
AATS4dv,3.110526315789474
AATS4pe,6.175985263157893
AATS4se,7.671350568421053
AATS5dv,3.1770833333333335
AATS5pe,6.226440104166669
AATS5se,7.729200937499997
AATS6dv,2.5721649484536084
AATS6pe,6.108702577319589
AATS6se,7.58790280412371
AATS7dv,2.0316742081447963
AATS7pe,5.9645864253393635
AATS7se,7.500210895927601
AATS8dv,2.009478672985782
AATS8pe,5.882182938388623
AATS8se,7.461543715639811
AATSC0Z,7.528848576467624
AATSC0c,0.016752025198802735
AATSC0d,0.6550768455530364
AATSC0i,1.781947102449585
AATSC0m,36.123718658154935
AATSC0p,0.2205356392588078
AATSC0s,1.8372385991433613
AATSC0v,49.05871689571394
AATSC1Z,0.303763256144209
AATSC1c,-0.008864187726726879
AATSC1d,0.28431709384090365
AATSC1i,-0.22040420831603438
AATSC1m,1.465164840830894
AATSC1p,-0.0007991238081796752
AATSC1s,-0.06150507340983532
AATSC1v,1.3968566967448297
AATSC2Z,0.5298686773715813
AATSC2c,-0.0010081431446459946
AATSC2d,0.023849467519618556
AATSC2i,-0.08346761015595072
AATSC2m,2.545562732201162
AATSC2p,0.007501192899817162
AATSC2s,0.0892788009512748
AATSC2v,2.780152056214437
AATSC3Z,-0.17193778096033716
AATSC3c,0.0031409823227464256
AATSC3d,-0.03686464839347041
AATSC3i,-0.013328117723813083
AATSC3m,-0.8924065673643661
AATSC3p,-0.01200847470545162
AATSC3s,-0.001221086225263336
AATSC3v,-2.41648712223108
AATSC4Z,-0.24204824229886907
AATSC4c,-0.0028773418158408587
AATSC4d,0.010253146092745115
