DLiP-ID,T002NN
ATS2m,9686.969516000001
ATS2p,158.45473174484903
ATS2s,427.7731481481482
ATS2v,22864.783431232427
ATS3Z,2589.0
ATS3d,387.0
ATS3i,18283.399545694814
ATS3m,9518.361682
ATS3p,176.939920667641
ATS3s,439.91358024691357
ATS3v,24648.59659059698
ATS4Z,2583.0
ATS4d,370.0
ATS4i,19052.425204460167
ATS4m,9535.520626000001
ATS4p,166.63129962273499
ATS4s,452.1975308641975
ATS4v,23365.059121964714
ATS5Z,2434.0
ATS5d,332.0
ATS5i,17440.33522495295
ATS5m,9032.4815
ATS5p,153.91923631303703
ATS5s,558.6666666666667
ATS5v,22088.51620586114
ATS6Z,2194.0
ATS6d,329.0
ATS6i,16930.665521285795
ATS6m,8085.290495999999
ATS6p,150.567954767584
ATS6s,406.94753086419746
ATS6v,21098.745122928438
ATS7Z,2147.0
ATS7d,305.0
ATS7i,16808.308825978416
ATS7m,7869.903946
ATS7p,139.36920329903703
ATS7s,426.9490740740741
ATS7v,20039.87727726378
ATS8Z,1881.0
ATS8d,285.0
ATS8i,15472.249780932147
ATS8m,6856.757907000001
ATS8p,130.21956303588598
ATS8s,375.6604938271605
ATS8v,18345.69722060192
C1SP1,0
C1SP2,1
C1SP3,1
C2SP1,0
C2SP2,16
C2SP3,0
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.045454545454545456
GGI10,0.20528925619834715
JGI10,0.006622234070914422
JGT10,0.4706153921256552
Kier1,26.074074074074073
Kier2,11.82314494425221
Kier3,7.2562358276643995
MAXdO,12.401249422831867
MID_C,46.24962966509857
MID_N,10.173436556979924
MID_O,8.63454385786056
MID_X,0.0
MID_h,21.033418044230153
MINdO,10.679668798279216
MPC10,139
MWC01,36.0
MWC02,5.1647859739235145
MWC03,5.998936561946683
MWC04,6.880384082186005
MWC05,7.734996194022781
MWC06,8.617400451833262
MWC07,9.480749115757506
MWC08,10.363030408174957
MWC09,11.230894064027261
MWC10,12.112898682389421
NaaCH,12
NaaNH,1
NaaSe,0
NaaaC,2
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,3
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,3.2368000000000006
SRW02,4.290459441148391
SRW03,0.0
SRW04,5.6240175061873385
SRW05,2.3978952727983707
SRW06,7.134890851565884
SRW07,4.727387818712341
SRW08,8.72534492491121
SRW09,6.823286122355687
SRW10,10.358789895491464
SaaCH,20.306419983959568
SaaNH,3.0044813256785314
SaaSe,0
SaaaC,1.518473981135338
SaasC,1.9570385249188404
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.782560787686525
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,7.377732365178738
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,5.2038423414600485
VE1_D,5.65764580141505
VE2_A,0.15769219216545602
VE2_D,0.17144381216409244
VE3_A,2.8433197330181232
VE3_D,2.926930338016343
VR1_A,268.35553102559965
VR1_D,220.54256899525555
VR2_A,8.131985788654534
VR2_D,6.68310815137138
VR3_A,6.7862351781204255
VR3_D,6.590013201394121
WPath,3697
Xc-3d,2.9666527651385612
Xc-4d,0.2041241452319315
Xc-5d,0.5151283791960046
Xc-6d,0.10206207261596575
Xp-0d,23.42407448406448
Xp-1d,15.79766351823703
Xp-2d,15.056045682328817
Xp-3d,11.48606861289343
Xp-4d,9.489459172358133
Xp-5d,7.819982551151584
Xp-6d,5.000439217408789
Xp-7d,3.7521573951710754
ZMIC0,105.50756386663898
ZMIC1,65.83975233676843
ZMIC2,37.79062849103211
ZMIC3,28.509992371814945
ZMIC4,27.809890898397768
ZMIC5,27.809890898397768
nAcid,1
nAtom,52
nBase,0
nRing,4
piPC1,3.9512437185814275
piPC2,4.5976419195673
piPC3,5.114244276715276
piPC4,5.708977291533305
piPC5,6.238568735867035
piPC6,6.483847711879347
piPC7,6.913294596097711
piPC8,7.2192387514635445
piPC9,7.345682535266077
AATS0Z,31.384615384615383
AATS0d,3.7115384615384617
AATS0i,161.41726485967945
AATS0m,124.64961015384618
AATS0p,1.6822974075409804
AATS0s,6.929904307797826
AATS0v,246.2166340455726
AATS1Z,33.2
AATS1d,4.327272727272727
AATS1i,147.9582367222173
AATS1m,128.69113614545455
AATS1p,1.9649435913818183
AATS1s,3.4610830527497196
AATS1v,289.2057921621093
AATS2Z,28.48314606741573
AATS2d,3.9775280898876404
AATS2i,151.731206843302
AATS2m,108.84235411235956
AATS2p,1.7803902443241464
AATS2s,4.806439866833126
AATS2v,256.90767900261153
AATS3Z,22.31896551724138
AATS3d,3.336206896551724
AATS3i,157.6155133249553
AATS3m,82.0548420862069
AATS3p,1.5253441436865602
AATS3s,3.792358450404427
AATS3v,212.4879016430774
AATS4Z,21.705882352941178
AATS4d,3.1092436974789917
AATS4i,160.10441348285855
AATS4m,80.13042542857144
AATS4p,1.4002630220397898
AATS4s,3.799979250959643
AATS4v,196.34503463835895
AATS5Z,22.3302752293578
AATS5d,3.0458715596330275
AATS5i,160.00307545828394
AATS5m,82.86680275229358
AATS5p,1.4121030854407066
AATS5s,5.1253822629969426
AATS5v,202.64693766845082
AATS6Z,20.50467289719626
AATS6d,3.074766355140187
AATS6i,158.23051889052144
AATS6m,75.56346257943925
AATS6p,1.4071771473605983
AATS6s,3.8032479520018456
AATS6v,197.18453385914427
AATS7Z,20.64423076923077
AATS7d,2.9326923076923075
AATS7i,161.6183540959463
AATS7m,75.67215332692308
AATS7p,1.3400884932599715
AATS7s,4.1052795584045585
AATS7v,192.69112766599787
AATS8Z,19.59375
AATS8d,2.96875
AATS8i,161.16926855137652
AATS8m,71.42456153125
AATS8p,1.3564537816238122
AATS8s,3.913130144032922
AATS8v,191.10101271460334
AMID_C,1.4015039292454112
AMID_N,0.3082859562721189
AMID_O,0.2616528441775927
AMID_X,0.0
AMID_h,0.6373763043706107
ATS0dv,514.4444444444445
ATS0pe,347.0473999999999
ATS0se,420.0527769999999
ATS1dv,448.3333333333333
ATS1pe,371.16659999999996
ATS1se,441.2562319999999
ATS2dv,740.3333333333333
ATS2pe,603.002
ATS2se,717.8481819999997
ATS3dv,648.3333333333333
ATS3pe,760.0172000000001
ATS3se,924.9245420000001
ATS4dv,637.0
ATS4pe,774.3028
ATS4se,947.3548719999999
ATS5dv,725.0
ATS5pe,723.4814000000001
ATS5se,879.820036
ATS6dv,570.6666666666666
ATS6pe,684.206
ATS6se,838.631588
ATS7dv,565.6666666666666
ATS7pe,683.9096999999999
ATS7se,835.9441239999999
ATS8dv,514.6666666666666
ATS8pe,621.9583
ATS8se,762.19963
ATSC0Z,505.7692307692309
ATSC0c,1.4242292527621467
ATSC0d,33.75
ATSC0i,87.25149568752848
ATSC0m,2314.945992307692
ATSC0p,13.987214331544674
ATSC0s,140.90535474042417
ATSC0v,2424.138009204243
ATSC1Z,80.62869822485207
ATSC1c,-1.1796558947748974
ATSC1d,3.9375
ATSC1i,-5.504173025579957
ATSC1m,347.45263221301815
ATSC1p,-0.09424998173540114
ATSC1s,-28.032585755442327
ATSC1v,194.93751785753483
ATSC2Z,-0.45118343195271216
ATSC2c,0.9537587209743303
ATSC2d,-6.9375
ATSC2i,13.634601654290673
ATSC2m,-17.577255988165305
ATSC2p,-1.1968322599380343
ATSC2s,57.73157358833328
ATSC2v,-530.9130961320909
ATSC3Z,-231.94674556213022
ATSC3c,-0.596010719208027
ATSC3d,-3.25
ATSC3i,-12.548605630113798
ATSC3m,-1044.0755449171597
ATSC3p,-2.0859520781271157
ATSC3s,-31.828366855788506
ATSC3v,-516.2344407207698
ATSC4Z,13.181952662721903
ATSC4c,0.09826425697362773
ATSC4d,-4.0625
ATSC4i,-2.221920358591196
ATSC4m,37.885623526627285
ATSC4p,-1.0900429475679825
ATSC4s,-43.55708040747436
ATSC4v,-184.91321737869163
ATSC5Z,-31.28550295857992
ATSC5c,-0.023546500985472514
ATSC5d,-4.4375
ATSC5i,-10.555911283370216
ATSC5m,-136.40680464497035
ATSC5p,-0.723529053502353
ATSC5s,66.22835996283513
ATSC5v,-119.33036429455797
ATSC6Z,-7.448224852070991
ATSC6c,0.10571327686738319
ATSC6d,-1.3125
ATSC6i,-32.51468930468206
ATSC6m,-17.784740248520755
ATSC6p,-2.5764369894904995
ATSC6s,-2.5143920364384225
ATSC6v,-134.80089202290714
ATSC7Z,-72.88461538461539
ATSC7c,-0.11933768223190046
ATSC7d,0.5
ATSC7i,-17.664891419993523
ATSC7m,-328.62993953846154
ATSC7p,-0.5094261143304812
ATSC7s,-48.60446508652527
ATSC7v,-62.506496785535866
ATSC8Z,-74.68934911242604
ATSC8c,0.2135556629032348
ATSC8d,-0.25
ATSC8i,7.209165677275133
ATSC8m,-325.9280728757398
ATSC8p,0.029590271782026
ATSC8s,-20.325146635376335
ATSC8v,36.80846185732099
AXp-0d,0.7098204389110448
AXp-1d,0.4388239866176953
AXp-2d,0.2952165820064474
AXp-3d,0.1823185494110068
AXp-4d,0.117153816942693
AXp-5d,0.07819982551151584
AXp-6d,0.049023913896164596
AXp-7d,0.03234618444112996
GATS1Z,0.8002751469063255
GATS1c,1.7914081394013879
GATS1d,0.9890909090909091
GATS1i,1.2361955867943073
GATS1m,0.7856773727759602
GATS1p,1.1137236677396125
GATS1s,0.7492294766735393
GATS1v,0.8119750777437401
GATS2Z,0.8355833724954072
GATS2c,0.5181426296963522
GATS2d,1.2224719101123596
GATS2i,1.0241516862145468
GATS2m,0.8336618541126926
GATS2p,1.026008112878173
GATS2s,0.47070126261700057
GATS2v,1.0158260057228103
GATS3Z,1.2708876360298935
GATS3c,1.0772894433473186
GATS3d,1.0942528735632184
GATS3i,1.1102808723783066
GATS3m,1.2537929157335717
GATS3p,1.1395468585425468
GATS3s,0.9740573217813234
GATS3v,1.0633429922898485
GATS4Z,0.9956545355784898
GATS4c,0.8833633619018579
GATS4d,1.0920634920634922
GATS4i,0.9992863159853643
GATS4m,0.997839344184012
GATS4p,1.0295870845471973
GATS4s,1.1195323841407598
GATS4v,1.0181039843395405
GATS5Z,0.9912505668538737
GATS5c,0.9579613535546821
GATS5d,1.0328236493374108
GATS5i,1.0493749116633306
GATS5m,0.9899391425478787
GATS5p,0.983376654371068
GATS5s,0.8527995887837215
GATS5v,0.9756039646835891
GATS6Z,0.9758523151273941
GATS6c,0.8755146213058894
GATS6d,1.0026998961578402
GATS6i,1.1471299245156676
GATS6m,0.9745937993283875
GATS6p,1.0800347498034482
GATS6s,0.874132194291411
GATS6v,1.0397582497630877
GATS7Z,1.012728136882129
GATS7c,1.057612955334777
GATS7d,0.9299145299145299
GATS7i,1.069620070373925
GATS7m,1.0167466142730648
GATS7p,0.9399305639000508
GATS7s,1.2739620592493996
GATS7v,0.969569917357582
GATS8Z,1.035149714828897
GATS8c,0.8803787597290225
GATS8d,0.9680555555555556
GATS8i,0.9225636585005458
GATS8m,1.0364727484684275
GATS8p,0.9456177430765835
GATS8s,1.051263362310888
GATS8v,0.9808560746145742
MATS1Z,0.15072243346007602
MATS1c,-0.7830979637752449
MATS1d,0.1103030303030303
MATS1i,-0.0596430509872246
MATS1m,0.1419042481109778
MATS1p,-0.0063707519973994825
MATS1s,-0.1880945949297108
MATS1v,0.0760289066209285
MATS2Z,-0.0005212116033665712
MATS2c,0.3912658621013679
MATS2d,-0.12009987515605491
MATS2i,0.09130255074536162
MATS2m,-0.004436327009534213
MATS2p,-0.04999371315204311
MATS2s,0.23938626819763797
MATS2v,-0.12796153294071422
MATS3Z,-0.20558017569162185
MATS3c,-0.18759425031971474
MATS3d,-0.043167305236270756
MATS3i,-0.06447152524179359
MATS3m,-0.2021791724377541
MATS3p,-0.06685262296640002
MATS3s,-0.10125866839347719
MATS3v,-0.09546298026974077
MATS4Z,0.01138895101766943
MATS4c,0.03014894053329105
MATS4d,-0.052598817304699653
MATS4i,-0.011127868631416231
MATS4m,0.007151381689419097
MATS4p,-0.034054049414162194
MATS4s,-0.13507894072210522
MATS4v,-0.03333243157359003
MATS5Z,-0.029509889419890495
MATS5c,-0.007887208543777982
MATS5d,-0.06272511043153245
MATS5i,-0.05771646142046465
MATS5m,-0.02811072314512316
MATS5p,-0.02467752445251028
MATS5s,0.22422980984580607
MATS5v,-0.02348391344479686
MATS6Z,-0.0071568174549589405
MATS6c,0.036071915043741715
MATS6d,-0.01889927310488058
MATS6i,-0.18110327079621807
MATS6m,-0.0037335865996224577
MATS6p,-0.08951748286060397
MATS6s,-0.008672115647969202
MATS6v,-0.027024333446178717
MATS7Z,-0.07205323193916348
MATS7c,-0.041895531214675326
MATS7d,0.007407407407407408
MATS7i,-0.10122973411972411
MATS7m,-0.07098004459509256
MATS7p,-0.01821042068332354
MATS7s,-0.17247202981059312
MATS7v,-0.012892520258377222
MATS8Z,-0.07999049429657794
MATS8c,0.081220059093888
MATS8d,-0.004012345679012345
MATS8i,0.04475527566704545
MATS8m,-0.07626284733826608
MATS8p,0.0011459082203225733
MATS8s,-0.07813368376082747
MATS8v,0.008224744945906401
MAXaaN,4.291040974152567
MAXsOH,8.71631502577204
MINaaN,4.291040974152567
MINsOH,8.71631502577204
NddssS,1
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,9
SM1_Dt,0.0
SddssS,-3.9817610671001007
SdssSe,0
SdsssP,0
SpAD_A,42.132658968984984
SpAD_D,464.17276607292183
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,-0.7159645767857645
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,971
TMWC10,146.5840755342614
TSRW10,83.08207183317069
VE1_Dt,5.662551054908789
VE2_Dt,0.17159245620935726
VE3_Dt,2.927796975560373
VR1_Dt,219.12159667291567
VR2_Dt,6.6400483840277476
VR3_Dt,6.583549280151876
Xc-3dv,1.2164492547316246
Xc-4dv,0.05103103630798288
Xc-5dv,0.16376570179559793
Xc-6dv,0.017010345435994292
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.45412414523193145
Xch-7d,0.5945147290565046
Xp-0dv,17.88747523570902
Xp-1dv,11.231005015573402
Xp-2dv,8.775562536141692
Xp-3dv,6.03174667661579
Xp-4dv,4.161293653006078
Xp-5dv,2.8227902457072958
Xp-6dv,1.5574039431715223
Xp-7dv,0.9604507885518223
Xpc-4d,5.255121735455571
Xpc-5d,7.653183223671035
Xpc-6d,11.067681798186785
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,55
nFRing,1
nHBAcc,5
nHBDon,5
nHRing,1
nSpiro,0
naRing,4
piPC10,7.696798405252056
AATS0dv,9.893162393162394
AATS0pe,6.67398846153846
AATS0se,8.077938019230768
AATS1dv,8.15151515151515
AATS1pe,6.748483636363636
AATS1se,8.02284058181818
AATS2dv,8.318352059925093
AATS2pe,6.775303370786516
AATS2se,8.065709910112357
AATS3dv,5.5890804597701145
AATS3pe,6.551872413793104
AATS3se,7.973487431034483
AATS4dv,5.352941176470588
AATS4pe,6.506746218487395
AATS4se,7.960965310924369
AATS5dv,6.651376146788991
AATS5pe,6.637444036697249
AATS5se,8.071743449541284
AATS6dv,5.333333333333333
AATS6pe,6.394448598130841
AATS6se,7.837678392523364
AATS7dv,5.439102564102564
AATS7pe,6.576054807692307
AATS7se,8.037924269230768
AATS8dv,5.361111111111111
AATS8pe,6.478732291666667
AATS8se,7.9395794791666665
AATSC0Z,9.726331360946748
AATSC0c,0.027389024091579745
AATSC0d,0.6490384615384616
AATSC0i,1.6779133786063167
AATSC0m,44.51819215976331
AATSC0p,0.26898489099124373
AATSC0s,2.7097183603927726
AATSC0v,46.61803863854314
AATSC1Z,1.4659763313609468
AATSC1c,-0.021448288995907224
AATSC1d,0.0715909090909091
AATSC1i,-0.10007587319236284
AATSC1m,6.317320585691239
AATSC1p,-0.001713636031552748
AATSC1s,-0.5096833773716787
AATSC1v,3.544318506500633
AATSC2Z,-0.005069476763513619
AATSC2c,0.010716390123307083
AATSC2d,-0.07794943820224719
AATSC2i,0.1531977713965244
AATSC2m,-0.1974972582939922
AATSC2p,-0.013447553482449824
AATSC2s,0.6486693661610481
AATSC2v,-5.965315686877426
AATSC3Z,-1.9995409100183639
AATSC3c,-0.005138023441448508
AATSC3d,-0.028017241379310345
AATSC3i,-0.10817763474236032
AATSC3m,-9.000651249285859
AATSC3p,-0.017982345501095825
AATSC3s,-0.2743824728947285
AATSC3v,-4.450296902765257
AATSC4Z,0.11077271145144456
AATSC4c,0.0008257500586019137
AATSC4d,-0.03413865546218487
AATSC4i,-0.01867159965202686
AATSC4m,0.31836658425737213
