DLiP-ID,C100IO
ATS3p,123.28485015769796
ATS3s,235.36111111111117
ATS3v,17469.63507195983
ATS4Z,1450.0
ATS4d,266.0
ATS4i,14934.89099609444
ATS4m,5083.480035
ATS4p,122.308250839037
ATS4s,266.08333333333337
ATS4v,16493.584406475362
ATS5Z,1327.0
ATS5d,238.0
ATS5i,14873.357329694527
ATS5m,4741.658181999999
ATS5p,106.722713578923
ATS5s,255.16666666666669
ATS5v,14593.24250760067
ATS6Z,1171.0
ATS6d,204.0
ATS6i,11166.808584487895
ATS6m,4132.780906
ATS6p,93.116849045943
ATS6s,227.22222222222226
ATS6v,12944.947552963264
ATS7Z,1010.0
ATS7d,164.0
ATS7i,10913.051157893333
ATS7m,3586.813483
ATS7p,79.20733437043299
ATS7s,227.0277777777778
ATS7v,10889.582837415077
ATS8Z,741.0
ATS8d,130.0
ATS8i,8082.314813402092
ATS8m,2583.6070059999997
ATS8p,67.804332161641
ATS8s,140.2777777777778
ATS8v,8955.033643184841
C1SP1,0
C1SP2,0
C1SP3,3
C2SP1,0
C2SP2,9
C2SP3,0
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.23529411764705882
GGI10,0.04122028364452607
JGI10,0.010305070911131517
JGT10,0.4973086764530593
Kier1,15.879017013232515
Kier2,6.629935720844812
Kier3,3.347107438016529
MAXdO,12.085108733308138
MID_C,34.827768830193705
MID_N,2.2547275304725023
MID_O,5.726630370212709
MID_X,0.0
MID_h,7.981357900685211
MINdO,12.085108733308138
MPC10,83
MWC01,23.0
MWC02,4.727387818712341
MWC03,5.58724865840025
MWC04,6.478509642208569
MWC05,7.360739903058278
MWC06,8.257644958208228
MWC07,9.148784066277077
MWC08,10.0488425203955
MWC09,10.945017895028798
MWC10,11.847288335585244
NaaCH,6
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,4
NaasN,1
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,3
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,3.2682400000000023
SRW02,3.8501476017100584
SRW03,0.0
SRW04,5.187385805840755
SRW05,2.3978952727983707
SRW06,6.717804695023691
SRW07,4.844187086458591
SRW08,8.335911094196945
SRW09,7.018401799069201
SRW10,10.000931817196982
SaaCH,11.592435384647686
SaaNH,0
SaaSe,0
SaaaC,1.4554777914252126
SaasC,4.032615811884391
SaasN,1.6493518518518517
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,5.667632576625181
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.8316647908664363
VE1_D,4.514850142610413
VE2_A,0.18246022813649695
VE2_D,0.21499286393382921
VE3_A,2.0852367247242536
VE3_D,2.2493093400420467
VR1_A,202.90839847455928
VR1_D,113.91050822778074
VR2_A,9.662304689264728
VR2_D,5.424309915608607
VR3_A,6.054691982890612
VR3_D,5.477350469292036
WPath,926
Xc-3d,1.554187265292986
Xc-4d,0.0
Xc-5d,0.386488648831137
Xc-6d,0.0
Xp-0d,14.982763184195939
Xp-1d,10.07971869811898
Xp-2d,9.269354588799015
Xp-3d,7.925028592626658
Xp-4d,6.387591658764123
Xp-5d,5.33811586067879
Xp-6d,3.619453060782507
Xp-7d,2.6173535286844123
ZMIC0,69.68655277255412
ZMIC1,41.521363974981945
ZMIC2,26.779381465656154
ZMIC3,24.05953131990171
ZMIC4,23.033869999866894
ZMIC5,22.246149730682585
nAcid,0
nAtom,38
nBase,0
nRing,3
piPC1,3.4965075614664802
piPC2,4.200954297280359
piPC3,4.8352893510387265
piPC4,5.488679428337867
piPC5,6.07073772800249
piPC6,6.384535455129077
piPC7,6.799360651168864
piPC8,7.163490044688311
piPC9,7.2598058752126
AATS0Z,22.894736842105264
AATS0d,3.3947368421052633
AATS0i,159.64994889894035
AATS0m,90.36482097368419
AATS0p,1.5291929311166583
AATS0s,4.005116959064328
AATS0v,226.86046024155726
AATS1Z,25.2
AATS1d,3.95
AATS1i,144.06725683085745
AATS1m,95.88291217499997
AATS1p,1.8242863317500002
AATS1s,3.2055555555555557
AATS1v,269.49886645785085
AATS2Z,21.91176470588235
AATS2d,3.7794117647058822
AATS2i,153.88800786226534
AATS2m,82.71368301470586
AATS2p,1.5766018795072057
AATS2s,3.1919934640522882
AATS2v,229.64246394381072
AATS3Z,20.192307692307693
AATS3d,3.4358974358974357
AATS3i,149.216282506107
AATS3m,74.05794042307691
AATS3p,1.5805750020217688
AATS3s,3.0174501424501434
AATS3v,223.96968040974141
AATS4Z,15.263157894736842
AATS4d,2.8
AATS4i,157.20937890625726
AATS4m,53.510316157894735
AATS4p,1.287455271989863
AATS4s,2.8008771929824565
AATS4v,173.61667796289854
AATS5Z,14.582417582417582
AATS5d,2.6153846153846154
AATS5i,163.4434871395003
AATS5m,52.106133868131856
AATS5p,1.1727770722958573
AATS5s,2.8040293040293043
AATS5v,160.36530228132602
AATS6Z,16.492957746478872
AATS6d,2.8732394366197185
AATS6i,157.27899414771684
AATS6m,58.20818177464788
AATS6p,1.3115049161400423
AATS6s,3.200312989045384
AATS6v,182.32320497131357
AATS7Z,15.074626865671641
AATS7d,2.4477611940298507
AATS7i,162.88136056557212
AATS7m,53.534529597014924
AATS7p,1.1821990204542236
AATS7s,3.3884742951907136
AATS7v,162.53108712559816
AATS8Z,14.25
AATS8d,2.5
AATS8i,155.42913102696332
AATS8m,49.68475011538461
AATS8p,1.3039294646469424
AATS8s,2.6976495726495733
AATS8v,172.21218544586233
AMID_C,1.6584651823901764
AMID_N,0.10736797764154773
AMID_O,0.27269668429584326
AMID_X,0.0
AMID_h,0.38006466193739097
ATS0dv,306.0
ATS0pe,237.56490000000002
ATS0se,292.6594439999999
ATS1dv,314.0
ATS1pe,260.0235
ATS1se,310.58907599999986
ATS2dv,454.0
ATS2pe,437.33029999999997
ATS2se,531.081524
ATS3dv,400.0
ATS3pe,495.59850000000006
ATS3se,601.4217319999998
ATS4dv,347.0
ATS4pe,585.1735
ATS4se,724.8763639999999
ATS5dv,325.0
ATS5pe,555.2416
ATS5se,695.4394640000002
ATS6dv,286.0
ATS6pe,449.97850000000005
ATS6se,554.1579119999999
ATS7dv,262.0
ATS7pe,418.37569999999994
ATS7se,522.038092
ATS8dv,123.0
ATS8pe,312.2370000000001
ATS8se,389.4788080000001
ATSC0Z,277.89473684210526
ATSC0c,0.8330105573288599
ATSC0d,24.552631578947366
ATSC0i,54.29125794636029
ATSC0m,1321.384540973684
ATSC0p,8.926148502081391
ATSC0s,43.84283625730994
ATSC0v,1926.4887467463186
ATSC1Z,20.74238227146816
ATSC1c,-0.5582205244457176
ATSC1d,12.628808864265924
ATSC1i,-11.372327717935828
ATSC1m,96.01108442243822
ATSC1p,-0.9642302095604374
ATSC1s,-2.56994459833795
ATSC1v,-51.782679289547474
ATSC2Z,102.18836565096952
ATSC2c,0.23296803881729425
ATSC2d,1.2479224376731293
ATSC2i,22.58325709286765
ATSC2m,485.912231389197
ATSC2p,3.5943450986590593
ATSC2s,13.846298861188057
ATSC2v,728.351785385524
ATSC3Z,-83.3102493074792
ATSC3c,-0.0646303973214912
ATSC3d,-10.002770083102494
ATSC3i,-29.957083594314927
ATSC3m,-403.41701939335104
ATSC3p,-4.399292450589515
ATSC3s,-6.034125884887657
ATSC3v,-852.8957970234829
ATSC4Z,-109.21052631578945
ATSC4c,-0.0831083213280365
ATSC4d,-1.7500000000000004
ATSC4i,-31.186178485045115
ATSC4m,-525.8987427499998
ATSC4p,-4.905536219901695
ATSC4s,-8.735745614035087
ATSC4v,-984.2013605023635
ATSC5Z,96.25207756232689
ATSC5c,0.16702777217471457
ATSC5d,-4.270775623268696
ATSC5i,24.675223321977757
ATSC5m,469.2928461156506
ATSC5p,4.060533720242997
ATSC5s,1.5883541089566013
ATSC5v,942.3734614038117
ATSC6Z,-118.75069252077563
ATSC6c,-0.30193129228331794
ATSC6d,-7.032548476454293
ATSC6i,-9.947416940197511
ATSC6m,-563.1394587403045
ATSC6p,-2.8067523285118425
ATSC6s,-7.114977685441676
ATSC6v,-682.7769819135749
ATSC7Z,25.02770083102493
ATSC7c,0.25692911025161563
ATSC7d,-0.000692520775622707
ATSC7i,24.52822021210869
ATSC7m,123.32907323060925
ATSC7p,3.268259602364907
ATSC7s,-4.643217143736537
ATSC7v,480.35937312910096
ATSC8Z,-39.54016620498616
ATSC8c,0.02799468202264166
ATSC8d,-8.914127423822713
ATSC8i,-10.517045597100426
ATSC8m,-191.56879399030475
ATSC8p,-1.928504334308145
ATSC8s,-1.0458987380732538
ATSC8v,-386.3670205128734
AXp-0d,0.7134649135331399
AXp-1d,0.43824863904865125
AXp-2d,0.28088953299390956
AXp-3d,0.1801142861960604
AXp-4d,0.11013089066834694
AXp-5d,0.07213670081998365
AXp-6d,0.0464032443690065
AXp-7d,0.030084523318211636
GATS1Z,0.7456060606060605
GATS1c,1.6744324259649703
GATS1d,0.6404608788853162
GATS1i,1.3024132720469017
GATS1m,0.7523832920202901
GATS1p,1.1321907413111858
GATS1s,0.6106724244293648
GATS1v,0.9780234429885045
GATS2Z,0.7244596702317291
GATS2c,0.9877456425733936
GATS2d,1.207789546686842
GATS2i,0.8376443962650564
GATS2m,0.7241047815088204
GATS2p,0.7535797088019556
GATS2s,0.5165928802119244
GATS2v,0.7297722229451394
GATS3Z,1.0190632284382284
GATS3c,1.0547873348460146
GATS3d,1.284785775139473
GATS3i,1.3168383557677121
GATS3m,1.0245304114752247
GATS3p,1.2440702164579553
GATS3s,0.813568705610655
GATS3v,1.1702819576791632
GATS4Z,1.1128030303030303
GATS4c,1.0170683539868288
GATS4d,1.0072883172561629
GATS4i,1.2247426028556183
GATS4m,1.1152488832767031
GATS4p,1.1845283228231234
GATS4s,1.03059839605182
GATS4v,1.1657766442453632
GATS5Z,0.8903086496836496
GATS5c,0.9935017501501423
GATS5d,1.0681248012437725
GATS5i,0.7744949270633814
GATS5m,0.8838322172860372
GATS5p,0.7533314398802216
GATS5s,1.1421046566018804
GATS5v,0.7613042782865698
GATS6Z,1.2142352219376866
GATS6c,1.5535163460717523
GATS6d,1.156756185559229
GATS6i,1.0950628918826
GATS6m,1.2094174848548114
GATS6p,1.12181337115913
GATS6s,1.446159995134285
GATS6v,1.1179123757826164
GATS7Z,1.0095092718227046
GATS7c,0.792079757072362
GATS7d,0.899681656028539
GATS7i,0.682544999440882
GATS7m,1.0008660611121414
GATS7p,0.737814717669457
GATS7s,2.0153397110683473
GATS7v,0.8039711996139743
GATS8Z,1.0408271416083916
GATS8c,0.8454191543248876
GATS8d,1.217165471184764
GATS8i,1.077157138151952
GATS8m,1.0461372180753048
GATS8p,1.1652412370657437
GATS8s,0.8116903146206046
GATS8v,1.1526231827291906
MATS1Z,0.07090909090909096
MATS1c,-0.636617979877623
MATS1d,0.4886387995712753
MATS1i,-0.19899541363939463
MATS1m,0.06902648500345428
MATS1p,-0.10262194258462304
MATS1s,-0.05568634643279924
MATS1v,-0.025535340088621832
MATS2Z,0.2054924242424242
MATS2c,0.15628616053736416
MATS2d,0.028403001071811342
MATS2i,0.23245096745995775
MATS2m,0.20549596253727095
MATS2p,0.2250247812355092
MATS2s,0.1764857901411227
MATS2v,0.21127562569463343
MATS3Z,-0.14605186480186477
MATS3c,-0.03779856515175011
MATS3d,-0.19847747822024353
MATS3i,-0.2688181702713668
MATS3m,-0.14873527768283776
MATS3p,-0.24010860221864214
MATS3s,-0.06705091652654885
MATS3v,-0.21568427934666545
MATS4Z,-0.15719696969696967
MATS4c,-0.039907451638803944
MATS4d,-0.028510182207931414
MATS4i,-0.22976943003131023
MATS4m,-0.15919627525307134
MATS4p,-0.21982767679734777
MATS4s,-0.07970055187821998
MATS4v,-0.20435133341206355
MATS5Z,0.14463453213453217
MATS5c,0.08372986427900359
MATS5d,-0.07263583147827517
MATS5i,0.18979002879907125
MATS5m,0.14830538360219067
MATS5p,0.1899595875173507
MATS5s,0.01512832666441549
MATS5v,0.2042672654813766
MATS6Z,-0.22870785317968417
MATS6c,-0.19399157459773425
MATS6d,-0.1532992165209909
MATS6i,-0.098063110551333
MATS6m,-0.22809301471701673
MATS6p,-0.1682926820282684
MATS6s,-0.08685606477788319
MATS6v,-0.1896870327423892
MATS7Z,0.051079828132066935
MATS7c,0.174932942472148
MATS7d,-1.5997184495515812e-05
MATS7i,0.25623882016583693
MATS7m,0.0529352587453553
MATS7p,0.20766400805939864
MATS7s,-0.06006606014892778
MATS7v,0.14141926860255022
MATS8Z,-0.10397727272727275
MATS8c,0.024558695045732402
MATS8d,-0.26531453541099836
MATS8i,-0.14156115757257465
MATS8m,-0.10594386106600613
MATS8p,-0.1578835069334633
MATS8s,-0.0174329646877457
MATS8v,-0.14655944959535833
MAXaaO,5.339798044217687
MAXssO,5.215774722895484
MINaaO,5.339798044217687
MINssO,5.215774722895484
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,27.157672191676845
SpAD_D,182.4249532838663
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.46382369614512475
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,677
TMWC10,118.40146379787429
TSRW10,69.35266517229459
VE1_Dt,4.550286686640164
VE2_Dt,0.2166803184114364
VE3_Dt,2.257127583760096
VR1_Dt,110.0489557415644
VR2_Dt,5.240426463884019
VR3_Dt,5.442862663711479
Xc-3dv,0.7143676752014232
Xc-4dv,0.0
Xc-5dv,0.13454577896633813
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.07856742013183861
Xch-6d,0.3841229756873942
Xch-7d,0.6810638080591298
Xp-0dv,12.34316686321585
Xp-1dv,6.8178073669268295
Xp-2dv,5.209835379006219
Xp-3dv,3.7585723256226196
Xp-4dv,2.4177607000438015
Xp-5dv,1.6977894553863924
Xp-6dv,0.9580032526119898
Xp-7dv,0.5669280519933175
Xpc-4d,3.7000921782954337
Xpc-5d,5.412016356995034
Xpc-6d,8.370779612770331
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,40
nFRing,1
nHBAcc,4
nHBDon,0
nHRing,1
nSpiro,0
naRing,3
piPC10,7.495941169738565
AATS0dv,8.052631578947368
AATS0pe,6.2517078947368425
AATS0se,7.701564315789471
AATS1dv,7.85
AATS1pe,6.5005875
AATS1se,7.764726899999997
AATS2dv,6.676470588235294
AATS2pe,6.43132794117647
AATS2se,7.810022411764705
AATS3dv,5.128205128205129
AATS3pe,6.353826923076924
AATS3se,7.710535025641023
AATS4dv,3.6526315789473682
AATS4pe,6.159721052631578
AATS4se,7.630277515789472
AATS5dv,3.5714285714285716
AATS5pe,6.101556043956044
AATS5se,7.642191912087914
AATS6dv,4.028169014084507
AATS6pe,6.337725352112677
AATS6se,7.805041014084505
AATS7dv,3.91044776119403
AATS7pe,6.24441343283582
AATS7se,7.791613313432836
AATS8dv,2.3653846153846154
AATS8pe,6.004557692307694
AATS8se,7.489977076923078
AATSC0Z,7.313019390581718
AATSC0c,0.02192133045602263
AATSC0d,0.6461218836565097
AATSC0i,1.4287173143779024
AATSC0m,34.773277394044314
AATSC0p,0.23489864479161557
AATSC0s,1.1537588488765773
AATSC0v,50.697072282797855
AATSC1Z,0.518559556786704
AATSC1c,-0.01395551311114294
AATSC1d,0.3157202216066481
AATSC1i,-0.2843081929483957
AATSC1m,2.4002771105609555
AATSC1p,-0.024105755239010936
AATSC1s,-0.06424861495844875
AATSC1v,-1.294566982238687
AATSC2Z,1.5027700831024928
AATSC2c,0.0034260005708425627
AATSC2d,0.01835180055401661
AATSC2i,0.33210672195393603
AATSC2m,7.145768108664662
AATSC2p,0.05285801615675087
AATSC2s,0.20362204207629495
AATSC2v,10.711055667434175
AATSC3Z,-1.0680801193266565
AATSC3c,-0.0008285948374550154
AATSC3d,-0.12824064209105762
AATSC3i,-0.38406517428608883
AATSC3m,-5.172013069145526
AATSC3p,-0.05640118526396814
AATSC3s,-0.07736058826779048
AATSC3v,-10.934561500301063
AATSC4Z,-1.1495844875346257
AATSC4c,-0.0008748244350319631
AATSC4d,-0.018421052631578953
AATSC4i,-0.3282755630004749
AATSC4m,-5.535776239473682
AATSC4p,-0.05163722336738626
AATSC4s,-0.09195521698984302
AATSC4v,-10.36001432107751
