DLiP-ID,J100CA
AATSC4v,2.5833201838547706
AATSC5Z,-0.21432039882596685
AATSC5c,-0.0010332945759897716
AATSC5d,0.01776696305248619
AATSC5i,-0.1341945013094503
AATSC5m,-1.1011955664642503
AATSC5p,-0.021441791601725026
AATSC5s,-0.19661353377047552
AATSC5v,-3.7169719489118314
AATSC6Z,1.807259285013089
AATSC6c,0.0019027365615483488
AATSC6d,0.0017537221858638743
AATSC6i,0.1914274125309894
AATSC6m,8.531285244988087
AATSC6p,0.02713345483986289
AATSC6s,0.18865959169617416
AATSC6v,9.415026701876302
AATSC7Z,-2.1627048399390243
AATSC7c,-0.0010965989438065094
AATSC7d,-0.032369474085365856
AATSC7i,0.002241424124532283
AATSC7m,-9.75370159760266
AATSC7p,-0.008243736755744071
AATSC7s,-0.41492101300528117
AATSC7v,-3.33320572158549
AATSC8Z,-1.0004347278225807
AATSC8c,0.0023884690054009777
AATSC8d,-0.029517389112903226
AATSC8i,0.012451624691669666
AATSC8m,-4.739655473369771
AATSC8p,-0.005061038153152054
AATSC8s,-0.2499269949418739
AATSC8v,-4.871416485405557
ATS0are,399.7534000000001
ATS1are,419.65380000000005
ATS2are,724.787
ATS3are,954.198
ATS4are,1085.989
ATS5are,1104.3049
ATS6are,1157.7688
ATS7are,1037.594
ATS8are,940.474
ATSC0dv,265.7708333333333
ATSC0pe,8.639598437499995
ATSC0se,6.045689484374998
ATSC1dv,56.68771701388886
ATSC1pe,-0.27192807617187226
ATSC1se,0.046039437988282306
ATSC2dv,53.078342013888864
ATSC2pe,3.1578387207031264
ATSC2se,1.8780176372070332
ATSC3dv,-66.49424913194444
ATSC3pe,-3.4157604248046796
ATSC3se,-2.1371300026855398
ATSC4dv,41.64767795138888
ATSC4pe,0.49280900878906175
ATSC4se,0.028556957275391093
ATSC5dv,45.48838975694442
ATSC5pe,-1.5723737060546865
ATSC5se,-1.291268932373047
ATSC6dv,105.07975260416666
ATSC6pe,3.577162475585931
ATSC6se,1.499066351318357
ATSC7dv,-131.77387152777777
ATSC7pe,-5.0566022460937425
ATSC7se,-3.4798500849609297
ATSC8dv,-121.96234809027777
ATSC8pe,-1.7889540283203103
ATSC8se,-0.7552540637207038
AXp-0dv,0.6071000926319522
AXp-1dv,0.34033637789355087
AXp-2dv,0.19934500398631613
AXp-3dv,0.10164779903100622
AXp-4dv,0.057626527022367674
AXp-5dv,0.030323423062589644
AXp-6dv,0.017636385752945585
AXp-7dv,0.0100699251952454
BertzCT,1266.800648470435
ECIndex,906
ETA_eta,33.431295148268646
GATS1dv,0.6233440464058948
GATS1pe,0.7414036186742095
GATS1se,0.7195131961174582
GATS2dv,0.906020636760829
GATS2pe,0.7233445656249426
GATS2se,0.7763583609575002
GATS3dv,1.1735649279011444
GATS3pe,1.2631368669457823
GATS3se,1.292943397476113
GATS4dv,0.9002701076045988
GATS4pe,0.9245645106633368
GATS4se,0.9230267938467938
GATS5dv,0.8757181086150515
GATS5pe,0.9756119297491834
GATS5se,0.975074682902855
GATS6dv,0.8659982179991932
GATS6pe,0.8415852532201047
GATS6se,0.8736030758723914
GATS7dv,1.2796647273519846
GATS7pe,1.4478677246632528
GATS7se,1.520315879498061
GATS8dv,1.1416456998940494
GATS8pe,0.9973628868337872
GATS8se,0.9509951296205351
LogEE_A,4.441019382604232
LogEE_D,222.11119951554775
MATS1dv,0.20683197895708663
MATS1pe,-0.030520843456665742
MATS1se,0.007384485031719127
MATS2dv,0.11212053283898252
MATS2pe,0.20519723813131197
MATS2se,0.17439296109872793
MATS3dv,-0.10746584890271235
MATS3pe,-0.1698194972390293
MATS3se,-0.15183741783639587
MATS4dv,0.05666177588405729
MATS4pe,0.020624897016427217
MATS4se,0.0017079407557226776
MATS5dv,0.06051940428906901
MATS5pe,-0.06435223199861387
MATS5se,-0.07552178806654537
MATS6dv,0.13248244368044318
MATS6pe,0.13873681363579196
MATS6se,0.08308480888966849
MATS7dv,-0.19348981684533473
MATS7pe,-0.22840276754443303
MATS7se,-0.22462124139316633
MATS8dv,-0.18948146537300625
MATS8pe,-0.08549759510890494
MATS8se,-0.05158168311814126
MAXaaCH,1.8056769203319527
MAXaaaC,0.6728144345433307
MAXaasC,0.5553283496339056
MAXdssC,-1.0508183625837837
MAXsCH3,1.8626266593543055
MAXssNH,3.0625482178871497
MDEC-11,1.7471460133928967
MDEC-12,5.583288827020436
MDEC-13,6.894014265715846
MDEC-14,2.3052697787043193
MDEC-22,10.98949612947978
MDEC-23,21.35326486902272
MDEC-24,1.092692844090795
MDEC-33,9.338249365927535
MDEC-34,1.5829243102736137
MDEN-22,0.19999999999999996
MDEO-11,1.0259855680060181
MDEO-12,1.050763957769663
MDEO-22,0.07142857142857142
MINaaCH,1.4656238808813318
MINaaaC,0.6232576556857312
MINaasC,0.0959978700354649
MINdssC,-1.0508183625837837
MINsCH3,1.508327591072295
MINssNH,2.6347833942652668
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,2.4107142857142856
SM1_Dzi,1.4024037909153106
SM1_Dzm,2.405952533989476
SM1_Dzp,-7.105991291364065
SM1_Dzv,-2.875037249663544
SddssSe,0
SpAD_Dt,720.6098769483123
SpAbs_A,41.480474040226305
SpAbs_D,444.2223990310955
SpMAD_A,1.2200139423595973
SpMAD_D,13.06536467738516
SpMax_A,2.4656871195807804
SpMax_D,222.11119951554775
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,122.34
TpiPC10,9.003437754963409
VAdjMat,6.169925001442312
VE1_DzZ,5.7171329582935595
VE1_Dzi,5.718808816373545
VE1_Dzm,5.7171024980259215
VE1_Dzp,5.685465660715088
VE1_Dzv,5.711097598107024
VE2_DzZ,0.16815096936157528
VE2_Dzi,0.16820025930510427
VE2_Dzm,0.16815007347135064
VE2_Dzp,0.1672195782563261
VE2_Dzv,0.16797345876785363
VE3_DzZ,2.96724288028798
VE3_Dzi,2.967535966441268
VE3_Dzm,2.967237552381667
VE3_Dzp,2.9616884658861626
VE3_Dzv,2.966186660654007
VR1_DzZ,229.740070278918
VR1_Dzi,229.8575026503815
VR1_Dzm,229.7434578306185
VR1_Dzp,233.31519562971675
VR1_Dzv,230.51885658903188
VR2_DzZ,6.757060890556412
VR2_Dzi,6.76051478383475
VR2_Dzm,6.757160524429956
VR2_Dzp,6.86221163616814
VR2_Dzv,6.779966370265644
VR3_DzZ,6.6607239722456475
VR3_Dzi,6.66123499484862
VR3_Dzm,6.660738717286518
VR3_Dzp,6.676165741960544
VR3_Dzv,6.66410809804047
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.0
Xch-6dv,0.07638888888888888
Xch-7dv,0.11802829348999697
Xpc-4dv,2.8415931965837036
Xpc-5dv,3.9614215645163453
Xpc-6dv,4.691537943170906
Zagreb1,178.0
Zagreb2,206.0
fragCpx,174.09
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,0
n5FRing,0
n5HRing,0
n5aRing,0
n6ARing,0
n6FRing,0
n6HRing,0
n6aRing,3
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,0
n9HRing,0
n9aRing,0
nAHRing,0
nBondsA,17
nBondsD,3
nBondsM,20
nBondsO,36
nBondsS,46
nBondsT,0
nFARing,0
nFHRing,0
nFaRing,1
nHetero,9
naHRing,0
AATS0are,6.246146875000002
AATS1are,6.35839090909091
AATS2are,6.357780701754386
AATS3are,6.4040134228187915
AATS4are,6.1355310734463275
AATS5are,6.101132044198896
AATS6are,6.061616753926702
AATS7are,6.32679268292683
AATS8are,6.067574193548388
AATSC0dv,4.152669270833333
AATSC0pe,0.13499372558593742
AATSC0se,0.09446389819335935
AATSC1dv,0.8589048032407403
AATSC1pe,-0.004120122366240489
AATSC1se,0.0006975672422467016
AATSC2dv,0.4655994913499023
AATSC2pe,0.027700339655290583
AATSC2se,0.016473838922868713
AATSC3dv,-0.44627012840231167
AATSC3pe,-0.02292456660942738
AATSC3se,-0.014343154380439864
AATSC4dv,0.23529761554456993
AATSC4pe,0.0027842316880737953
AATSC4se,0.00016133874166887624
AATSC5dv,0.2513170704803559
AATSC5pe,-0.008687147547263461
AATSC5se,-0.007134082499298602
AATSC6dv,0.550155772796684
AATSC6pe,0.01872859934861744
AATSC6se,0.007848514928368362
AATSC7dv,-0.8034992166327913
AATSC7pe,-0.030832940524961844
AATSC7se,-0.02121859807903006
AATSC8dv,-0.7868538586469533
AATSC8pe,-0.011541638892389098
AATSC8se,-0.0048726068627142185
AETA_eta,0.9832733867137837
ATSC0are,9.295799999999998
ATSC1are,-0.6413999999999977
ATSC2are,3.349400000000002
ATSC3are,-3.322199999999992
ATSC4are,0.3746000000000007
ATSC5are,-1.8845999999999994
ATSC6are,3.167299999999997
ATSC7are,-5.116499999999993
ATSC8are,-1.5098999999999996
BCUTZ-1h,16.01312396156834
BCUTZ-1l,5.654523710963035
BCUTc-1h,0.46878038810164835
BCUTc-1l,-0.5293516729407743
BCUTd-1h,4.043916277945361
BCUTd-1l,0.970614885160279
BCUTi-1h,14.541147375085291
BCUTi-1l,10.319764428409584
BCUTm-1h,32.06654453284854
BCUTm-1l,11.666114910325177
BCUTp-1h,2.95459419919933
BCUTp-1l,0.7414492769529071
BCUTs-1h,7.014586036203291
BCUTs-1l,0.29893680558394214
BCUTv-1h,24.441834165922096
BCUTv-1l,14.699970990564037
BalabanJ,1.6467197498879498
Diameter,17
ETA_beta,42.75
GATS1are,0.783296562083756
GATS2are,0.7380489321153525
GATS3are,1.2712832641023848
GATS4are,0.9300594472954978
GATS5are,0.9804627504205246
GATS6are,0.8615061083150874
GATS7are,1.460372249151072
GATS8are,0.9750894784949704
HybRatio,0.32
Lipinski,True
LogEE_Dt,360.30493847415613
MATS1are,-0.066908026889954
MATS2are,0.2022811282816652
MATS3are,-0.1535085990338998
MATS4are,0.014570944681535936
MATS5are,-0.07168591197664388
MATS6are,0.11416922059830198
MATS7are,-0.21479409269016825
MATS8are,-0.06706712500754763
MAXddssS,-3.852953771658901
MAXsssCH,-0.6208207572159947
MAXssssC,-0.513434671540165
MINddssS,-3.852953771658901
MINsssCH,-1.00974807268616
MINssssC,-0.513434671540165
NsssssAs,0
RotRatio,0.25
SM1_Dzpe,1.886321909424725
SM1_Dzse,1.8428508916974202
SMR_VSA1,27.79258747084156
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,50.33729030216021
SMR_VSA6,17.148681009735952
SMR_VSA7,60.6636706846161
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
SpAD_DzZ,314.56561624830215
SpAD_Dzi,346.3814285779748
SpAD_Dzm,314.6277980866169
SpAD_Dzp,480.98565524363926
SpAD_Dzv,433.61411303625755
SpAbs_Dt,720.6098769483126
SpDiam_A,4.931374239161561
SpDiam_D,329.0313203085048
SpMAD_Dt,21.194408145538596
SpMax_Dt,360.30493847415613
SsssssAs,0
VE1_Dzpe,5.72416525173748
VE1_Dzse,5.723948112737544
VE2_Dzpe,0.16835780152169058
VE2_Dzse,0.168351415080516
VE3_Dzpe,2.9684721628746917
VE3_Dzse,2.9684342284145675
VMcGowan,363.36000000000143
VR1_Dzpe,229.05622309434898
VR1_Dzse,229.06223172479955
VR2_Dzpe,6.736947738069087
VR2_Dzse,6.737124462494104
VR3_Dzpe,6.657742920738157
VR3_Dzse,6.657769152514622
mZagreb1,13.625
mZagreb2,7.305555555555555
n10ARing,0
n10FRing,1
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,0
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,0
n6AHRing,0
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,0
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,0
n9FaRing,0
n9aHRing,0
nBondsKD,11
nBondsKS,55
nFAHRing,0
nFaHRing,0
nG12Ring,0
AATSC0are,0.14524687499999997
AATSC1are,-0.009718181818181784
AATSC2are,0.029380701754385983
AATSC3are,-0.02229664429530196
AATSC4are,0.0021163841807909645
AATSC5are,-0.010412154696132594
AATSC6are,0.01658272251308899
AATSC7are,-0.031198170731707275
AATSC8are,-0.009741290322580642
AETA_beta,1.2573529411764706
BCUTdv-1h,6.022982490837961
BCUTdv-1l,0.6442253697992921
BCUTpe-1h,3.5372090468827135
BCUTpe-1l,2.203589704606937
BCUTse-1h,3.7684435716895575
BCUTse-1l,2.399485955517743
ETA_alpha,16.133333333333333
ETA_dBeta,1.25
ETA_eta_B,1.005379615139427
ETA_eta_F,38.76969338413697
ETA_eta_L,7.6327034267122755
ETA_eta_R,72.20098853240562
ETA_psi_1,0.547511312217195
LabuteASA,199.49798745775036
LogEE_DzZ,156.96320576177433
LogEE_Dzi,173.23196145930842
LogEE_Dzm,156.99384081122605
LogEE_Dzp,238.8488624369907
LogEE_Dzv,216.21513708437453
PEOE_VSA1,19.897041906447136
PEOE_VSA2,4.722094864452088
PEOE_VSA3,13.212334168400758
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,24.26546827384644
PEOE_VSA7,64.09315120953215
PEOE_VSA8,16.459834703613154
PEOE_VSA9,29.397684490210857
SM1_Dzare,2.0610310552372817
SpAD_Dzpe,343.81590531939435
SpAD_Dzse,343.75150915397774
SpAbs_DzZ,312.4385154079661
SpAbs_Dzi,345.0615191277017
SpAbs_Dzm,312.50489879192037
SpAbs_Dzp,484.80371616534546
SpAbs_Dzv,435.30531141841254
SpDiam_Dt,521.1351917422276
SpMAD_DzZ,9.251929889655946
SpMAD_Dzi,10.187689075822789
SpMAD_Dzm,9.253758767253439
SpMAD_Dzp,14.146636918930566
SpMAD_Dzv,12.75335626577228
SpMax_DzZ,156.96320576177433
SpMax_Dzi,173.23196145930842
SpMax_Dzm,156.99384081122605
SpMax_Dzp,238.8488624369907
SpMax_Dzv,216.21513708437453
VE1_Dzare,5.724746325085591
VE2_Dzare,0.1683748919142821
VE3_Dzare,2.968573670051983
VR1_Dzare,228.9911576082055
VR2_Dzare,6.735034047300162
VR3_Dzare,6.657458821366247
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,1
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,0
nAromAtom,16
nAromBond,17
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
AETA_alpha,0.4745098039215686
AETA_dBeta,0.03676470588235294
AETA_eta_B,0.029569988680571382
AETA_eta_F,1.1402850995334404
AETA_eta_L,0.2244912772562434
AETA_eta_R,2.123558486247224
BCUTare-1h,3.581263767672713
BCUTare-1l,2.1537782644186123
ETA_beta_s,20.75
ETA_dPsi_A,0.166488687782805
ETA_dPsi_B,0.0
ETA_eta_BR,1.263379615139427
ETA_eta_FL,8.276130520521393
ETA_eta_RL,15.908833947233669
LogEE_Dzpe,171.9634327158567
LogEE_Dzse,171.9299560738035
PEOE_VSA10,5.749511833283905
PEOE_VSA11,6.041840829147961
PEOE_VSA12,0.0
PEOE_VSA13,10.023291153407584
SlogP_VSA1,14.775746422258468
SlogP_VSA2,44.35028523627897
SlogP_VSA3,19.554691291279454
SlogP_VSA4,0.0
SlogP_VSA5,27.694948798762496
SlogP_VSA6,65.55915416013387
SlogP_VSA7,0.0
SlogP_VSA8,10.772448428929591
SlogP_VSA9,0.0
SpAD_Dzare,341.10472243964693
SpAbs_Dzpe,342.0405435222888
SpAbs_Dzse,342.01706125590954
SpDiam_DzZ,232.13756568680915
SpDiam_Dzi,255.45189476902829
SpDiam_Dzm,232.18237110748098
SpDiam_Dzp,352.5936674367544
SpDiam_Dzv,321.2579618726859
SpMAD_Dzpe,10.112232509393952
SpMAD_Dzse,10.110338504528757
SpMax_Dzpe,171.9634327158567
SpMax_Dzse,171.9299560738035
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,34
AETA_beta_s,0.6102941176470589
AETA_eta_BR,0.03715822397468903
AETA_eta_FL,0.24341560354474687
AETA_eta_RL,0.46790688080099024
DetourIndex,6014
EState_VSA1,33.739454469239384
EState_VSA2,4.895483475517775
EState_VSA3,27.896732811580623
EState_VSA4,0.0
EState_VSA5,19.242531678200752
EState_VSA6,55.4546737473835
EState_VSA7,20.771211599071872
EState_VSA8,10.038883468458419
EState_VSA9,9.473725907600098
ETA_beta_ns,22.0
ETA_shape_p,0.23760330578512395
ETA_shape_x,0.08264462809917357
ETA_shape_y,0.27892561983471076
GhoseFilter,False
LogEE_Dzare,170.61297978027162
SlogP_VSA10,11.374772549367124
SlogP_VSA11,5.749511833283905
SpAbs_Dzare,339.16492850530597
SpDiam_Dzpe,254.9533213515395
SpDiam_Dzse,254.93819644599486
SpMAD_Dzare,10.032491836460204
SpMax_Dzare,170.61297978027162
TopoPSA(NO),113.96000000000001
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,25.914484209198733
VSA_EState9,63.438469562460185
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
AETA_beta_ns,0.6470588235294118
EState_VSA10,18.318861563241462
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.025490196078431386
FilterItLogS,-5.878275426812215
SpDiam_Dzare,252.96264485871993
ETA_beta_ns_d,1.5
ETA_epsilon_1,0.6010416666666655
ETA_epsilon_2,0.8666666666666661
ETA_epsilon_3,0.4387755102040806
ETA_epsilon_4,0.5408333333333318
ETA_epsilon_5,0.8207207207207202
AETA_beta_ns_d,0.04411764705882353
ETA_dEpsilon_A,0.16226615646258485
ETA_dEpsilon_B,0.06020833333333364
ETA_dEpsilon_C,-0.10205782312925121
ETA_dEpsilon_D,0.04594594594594592
PetitjeanIndex,0.47058823529411764
TopoShapeIndex,0.8888888888888888
CDK Descriptors
FMFDescriptor,0.5294117647058824
MDEDescriptor,"1.7471460133928967,5.583288827020436,6.894014265715846,2.3052697787043193,10.98949612947978,21.35326486902272,1.092692844090795,9.338249365927535,1.5829243102736137,0.0,1.0259855680060181,1.050763957769663,0.07142857142857142,0.0,0.0,0.0,0.19999999999999996,0.0,0.0"
APolDescriptor,73.91579
BCUTDescriptor,"11.849999999999993,31.97207274227739,-0.3701105698880478,0.2791899714629657,4.598382678204843,11.700221026601088"
BPolDescriptor,45.38220999999999
TPSADescriptor,122.34
ALOGPDescriptor,"3.9676000000000013,15.741849760000012,128.97439999999997"
XLogPDescriptor,4.597
VAdjMaDescriptor,6.169925001442312
WeightDescriptor,486.18245791999993
ChiPathDescriptor,"25.095647359318292,15.908833947233674,15.913920857882758,11.408136863942058,9.584206046620112,7.207330993429677,5.380777611030018,3.7953600855869825,20.028648339456893,11.139042586802258,9.30269564273458,5.46875477682717,3.915055674550837,2.443355853095265,1.4670605383177584,0.8827786010837593"
ChiChainDescriptor,"0.0,0.0,0.0,0.2222222222222222,0.3539521168941605,0.0,0.0,0.0,0.07638888888888888,0.1010073265447335"
AtomCountDescriptor,64
BondCountDescriptor,36
SmallRingDescriptor,"3,3,2,2,0,0,0,3,0,0,0"
ChiClusterDescriptor,"4.270215917487155,0.5576775358252053,0.7724078399257399,0.10206207261596577,2.070128311812024,0.22962373112201923,0.17037557967362732,0.008499861963362563"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,1,14,2,4,2,1,0"
ZagrebIndexDescriptor,178.0
LargestChainDescriptor,18
MannholdLogPDescriptor,3.2199999999999998
WeightedPathDescriptor,"67.90449634423035,1.9971910689479515,25.207267696906158,15.495640075058887,6.212440201028198"
FractionalPSADescriptor,0.2516339246862147
WienerNumbersDescriptor,"3630.0,55.0"
AminoAcidCountDescriptor,"1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0"
ChiPathClusterDescriptor,"6.327599887086954,10.057613807203666,12.977899335647773,2.2535379111578835,3.207365049769511,3.423334087803185"
FractionalCSP3Descriptor,0.32
KierHallSmartsDescriptor,"0,0,0,0,0,0,5,0,0,0,0,10,2,0,0,1,4,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,0
HBondDonorCountDescriptor,3
LargestPiSystemDescriptor,22
PetitjeanNumberDescriptor,0.47058823529411764
AcidicGroupCountDescriptor,1
KappaShapeIndicesDescriptor,"28.569444444444443,12.029903880384479,7.75"
AromaticAtomsCountDescriptor,16
AromaticBondsCountDescriptor,17
FragmentComplexityDescriptor,3234.09
HBondAcceptorCountDescriptor,7
HybridizationRatioDescriptor,0.32
AutocorrelationDescriptorMass,"45.494527854248645,47.387137041216356,65.48150215959538,68.48817475649396,70.3730039677737"
PetitjeanShapeIndexDescriptor,"0.8888888888888888,NaN"
RotatableBondsCountDescriptor,10
AutocorrelationDescriptorCharge,"0.7523320781534459,-0.34213021476476696,-0.10443479853889728,0.025636678040081174,0.10250846619030872"
EccentricConnectivityIndexDescriptor,906
AutocorrelationDescriptorPolarizability,"2611.8983827767943,3065.0083957619886,4399.529369379169,4605.272679571457,4422.042956067358"
