DLiP-ID,T005PD
AATS3d,2.9571428571428573
AATS3i,156.6846796626302
AATS3m,76.15804209285717
AATS3p,1.5362829296130642
AATS3s,2.3122632111829637
AATS3v,194.64569022480578
AATS4Z,16.90277777777778
AATS4d,2.673611111111111
AATS4i,156.33416060996342
AATS4m,60.17462227083336
AATS4p,1.4133350702799927
AATS4s,2.2261159693644257
AATS4v,175.07824911814976
AATS5Z,17.844444444444445
AATS5d,2.7333333333333334
AATS5i,158.4988818231135
AATS5m,65.45549951111111
AATS5p,1.408713371299355
AATS5s,2.482182594116751
AATS5v,180.787325347178
AATS6Z,20.54471544715447
AATS6d,2.926829268292683
AATS6i,152.67204553161363
AATS6m,74.89943514634145
AATS6p,1.6020003856551552
AATS6s,2.3892067315734873
AATS6v,203.7985707377461
AATS7Z,18.70769230769231
AATS7d,2.669230769230769
AATS7i,155.85752834971035
AATS7m,67.02579848461538
AATS7p,1.438180089189831
AATS7s,2.2266619183285843
AATS7v,180.91132136166502
AATS8Z,16.983333333333334
AATS8d,2.6166666666666667
AATS8i,157.40555972051928
AATS8m,61.758891983333335
AATS8p,1.3571226357718416
AATS8s,2.048868312757202
AATS8v,171.45422456692467
AMID_C,1.6058208898638282
AMID_N,0.1422705573234344
AMID_O,0.18630315995810653
AMID_X,0.05760922115611064
AMID_h,0.45326147892174434
ATS0dv,372.0493827160494
ATS0pe,357.366
ATS0se,443.64880599999987
ATS1dv,347.44444444444446
ATS1pe,393.10800000000006
ATS1se,471.5623419999998
ATS2dv,436.77777777777777
ATS2pe,691.7730999999999
ATS2se,844.8817119999998
ATS3dv,428.2962962962963
ATS3pe,861.8015000000003
ATS3se,1070.799097
ATS4dv,385.77777777777777
ATS4pe,853.7177000000003
ATS4se,1073.5443480000001
ATS5dv,437.44444444444446
ATS5pe,807.3021000000001
ATS5se,1013.0911520000003
ATS6dv,403.0
ATS6pe,750.1140000000003
ATS6se,931.0343539999999
ATS7dv,346.44444444444446
ATS7pe,786.5174000000003
ATS7se,983.6171439999998
ATS8dv,280.55555555555554
ATS8pe,707.1069000000003
ATS8se,889.3708479999998
ATSC0Z,716.2758620689654
ATSC0c,0.7681048372966679
ATSC0d,29.396551724137932
ATSC0i,85.73420191382979
ATSC0m,3302.167970913793
ATSC0p,17.265797201838154
ATSC0s,48.62765873578986
ATSC0v,3106.62932355243
ATSC1Z,42.91676575505349
ATSC1c,-0.259492645596737
ATSC1d,7.186385255648041
ATSC1i,-17.248311869371165
ATSC1m,197.896591504459
ATSC1p,-0.6426584394266422
ATSC1s,-0.0013644022319745965
ATSC1v,-42.171435998442746
ATSC2Z,-4.65160523186684
ATSC2c,-0.2794415531875534
ATSC2d,-5.979785969084426
ATSC2i,27.260916477950673
ATSC2m,-17.54624080499401
ATSC2p,5.201969340273885
ATSC2s,-5.47228252704293
ATSC2v,319.9138963772078
ATSC3Z,59.98929845422114
ATSC3c,0.117598610054126
ATSC3d,-6.43995243757432
ATSC3i,29.71870655347984
ATSC3m,241.83334189774104
ATSC3p,5.468061148739524
ATSC3s,-5.788560288781708
ATSC3v,52.68840038717356
ATSC4Z,-99.37455410225925
ATSC4c,-0.049771069454405195
ATSC4d,1.498216409036861
ATSC4i,-23.05546526669111
ATSC4m,-429.597628734245
ATSC4p,-3.6190094406346245
ATSC4s,-7.487805241617085
ATSC4v,-385.1219438357397
ATSC5Z,190.42687277051135
ATSC5c,0.15657613977785287
ATSC5d,5.576991676575505
ATSC5i,26.340590042481445
ATSC5m,911.2972543213436
ATSC5p,7.458354463214101
ATSC5s,9.583875170561605
ATSC5v,1328.729324097183
ATSC6Z,-171.68846611177162
ATSC6c,-0.12904936007602666
ATSC6d,-6.1340665873959574
ATSC6i,-18.84187737472952
ATSC6m,-766.037981834423
ATSC6p,-3.641416431038327
ATSC6s,-1.5006135596408792
ATSC6v,-595.9476586187606
ATSC7Z,-178.20451843043992
ATSC7c,0.010386727088809661
ATSC7d,-3.6302021403091542
ATSC7i,-25.313590469421435
ATSC7m,-834.172906703329
ATSC7p,-9.126490315030876
ATSC7s,-4.680671747676293
ATSC7v,-1081.060078250945
ATSC8Z,171.63614744351963
ATSC8c,0.09696659595561224
ATSC8d,-4.492865636147442
ATSC8i,-16.02629179399461
ATSC8m,772.7669857300833
ATSC8p,-0.5702911983757172
ATSC8s,-3.4961719351604046
ATSC8v,40.76557250335793
AXp-0d,0.692517566401113
AXp-1d,0.44666685840591364
AXp-2d,0.29220494331952324
AXp-3d,0.19251244882919724
AXp-4d,0.12521642195400376
AXp-5d,0.08253943200379699
AXp-6d,0.05291870791709711
AXp-7d,0.03456105926600863
GATS1Z,0.6666311522762359
GATS1c,1.3480138810711122
GATS1d,0.8105667996730926
GATS1i,1.3310217458003937
GATS1m,0.6685984101873624
GATS1p,0.9789205423259458
GATS1s,0.5995375109487635
GATS1v,0.967425319285712
GATS2Z,0.8550980754006464
GATS2c,1.652592187554369
GATS2d,1.2926686217008796
GATS2i,0.9467251954666552
GATS2m,0.8518792596426694
GATS2p,0.7738446672803901
GATS2s,0.8317048181730058
GATS2v,0.8634521288485104
GATS3Z,1.0106441363373775
GATS3c,1.0688152268208886
GATS3d,1.1772517804775868
GATS3i,0.9169941991709857
GATS3m,1.0025301583889563
GATS3p,0.9370330149752465
GATS3s,0.9279857772443321
GATS3v,0.9728944878227013
GATS4Z,1.130122079401759
GATS4c,0.6933519782986214
GATS4d,0.9964320625610946
GATS4i,1.109985979857258
GATS4m,1.11279842506196
GATS4p,1.2019250872287162
GATS4s,1.298965947176295
GATS4v,1.0771789201343474
GATS5Z,0.8579717354558489
GATS5c,0.661591589626588
GATS5d,1.0125904203323557
GATS5i,0.8257161790550368
GATS5m,0.8569721485748025
GATS5p,0.7944358161334579
GATS5s,1.141256047241595
GATS5v,0.8188077025125203
GATS6Z,1.2939557471831222
GATS6c,0.8146569371113784
GATS6d,1.1271439811172304
GATS6i,1.148338280486937
GATS6m,1.2748918059940966
GATS6p,1.2495833973495292
GATS6s,0.8917453663699157
GATS6v,1.1139293182776435
GATS7Z,1.339975781006977
GATS7c,0.7279162726435091
GATS7d,0.9918745770358672
GATS7i,1.1288445084465986
GATS7m,1.3319058392645067
GATS7p,1.3495598464831968
GATS7s,0.7910703594621525
GATS7v,1.1769826454784138
GATS8Z,0.8030774600423649
GATS8c,0.571564253566711
GATS8d,1.0745307917888562
GATS8i,1.0250099243437771
GATS8m,0.8170561138970105
GATS8p,0.9500827597320679
GATS8s,0.5189275169940867
GATS8v,1.0059566146448493
MATS1Z,0.05696981750338569
MATS1c,-0.3212200994269196
MATS1d,0.23244074804095965
MATS1i,-0.19128928561013148
MATS1m,0.05698195061775481
MATS1p,-0.03539091068455854
MATS1s,-2.667824272416145e-05
MATS1v,-0.012907053521109366
MATS2Z,-0.0034876008301773878
MATS2c,-0.19537757928597582
MATS2d,-0.10924296730748348
MATS2i,0.1707617436848289
MATS2m,-0.002853574153723247
MATS2p,0.16180256078536467
MATS2s,-0.06043512006449367
MATS2v,0.05530290006434681
MATS3Z,0.03469711974911281
MATS3c,0.06342809184322802
MATS3d,-0.09075827398408047
MATS3i,0.14360704709808325
MATS3m,0.03034009767785448
MATS3p,0.13120388200333685
MATS3s,-0.0493159221782323
MATS3v,0.007026281321522946
MATS4Z,-0.05588051222799926
MATS4c,-0.026098886218478605
MATS4d,0.02052785923753666
MATS4i,-0.10831417168942731
MATS4m,-0.05239962950530938
MATS4p,-0.08442451647123639
MATS4s,-0.06202070249850656
MATS4v,-0.04993146737385436
MATS5Z,0.11421999700451468
MATS5c,0.08757886381545364
MATS5d,0.0815075486043228
MATS5i,0.13199747232208986
MATS5m,0.11856462339444039
MATS5p,0.18558830665148954
MATS5s,0.08467437764826012
MATS5v,0.18375590646170847
MATS6Z,-0.11302738677300116
MATS6c,-0.07922426838223916
MATS6d,-0.0983954414324202
MATS6i,-0.10363177713005343
MATS6m,-0.10938909387636829
MATS6p,-0.09945041371247865
MATS6s,-0.014551520932185105
MATS6v,-0.09045687136675826
MATS7Z,-0.11100001481283978
MATS7c,0.006033132476983653
MATS7d,-0.05509587187006539
MATS7i,-0.13172987554309898
MATS7m,-0.1127045789194167
MATS7p,-0.23583149438957604
MATS7s,-0.04294468944424911
MATS7v,-0.15525479920581745
MATS8Z,0.11581776750754222
MATS8c,0.0610166552396166
MATS8d,-0.07387096774193547
MATS8i,-0.09034948551278865
MATS8m,0.11310873534986036
MATS8p,-0.015964553658272512
MATS8s,-0.03475010887340598
MATS8v,0.006342359512900907
MAXsCl,6.593981308104986
MAXssO,5.46007516796972
MAXssS,1.6822196391437911
MINsCl,6.593981308104986
MINssO,5.295258165637194
MINssS,1.6822196391437911
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,9
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,9
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,41.21307121998306
SpAD_D,425.59984588155345
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,6.9149646654683785
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,835
TMWC10,140.90531218286682
TSRW10,66.47900696063714
VE1_Dt,5.479959435527551
VE2_Dt,0.17677288501701777
VE3_Dt,2.8324998101476333
VR1_Dt,201.5459511195231
VR2_Dt,6.501482294178165
VR3_Dt,6.43741951213765
Xc-3dv,1.038125835304053
Xc-4dv,0.0
Xc-5dv,0.21424860995500866
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.35549886030924205
Xch-7d,0.4132119055542549
Xp-0dv,19.037923806196336
Xp-1dv,11.784883026369224
Xp-2dv,9.050133051722044
Xp-3dv,7.006090560510823
Xp-4dv,4.857294640286616
Xp-5dv,3.5777067516345467
Xp-6dv,2.0607288645804798
Xp-7dv,1.3052045672004193
Xpc-4d,3.7008395265099114
Xpc-5d,5.31167309213428
Xpc-6d,7.80075337966329
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,4
n7Ring,0
n8Ring,0
n9Ring,0
nARing,2
nBonds,61
nFRing,0
nHBAcc,5
nHBDon,0
nHRing,2
nSpiro,0
naRing,2
piPC10,7.142296133581774
AATS0dv,6.414644529587059
AATS0pe,6.161482758620689
AATS0se,7.649117344827584
AATS1dv,5.695810564663024
AATS1pe,6.444393442622951
AATS1se,7.730530196721308
AATS2dv,4.044238683127572
AATS2pe,6.405306481481481
AATS2se,7.822978814814813
AATS3dv,3.0592592592592593
AATS3pe,6.155725000000002
AATS3se,7.648564978571429
AATS4dv,2.6790123456790123
AATS4pe,5.928595138888891
AATS4se,7.455169083333335
AATS5dv,3.240329218106996
AATS5pe,5.980015555555556
AATS5se,7.504378903703706
AATS6dv,3.2764227642276422
AATS6pe,6.098487804878051
AATS6se,7.569384991869918
AATS7dv,2.6649572649572653
AATS7pe,6.050133846153848
AATS7se,7.566285723076922
AATS8dv,2.337962962962963
AATS8pe,5.892557500000003
AATS8se,7.411423733333332
AATSC0Z,12.349583828775264
AATSC0c,0.01324318684994255
AATSC0d,0.5068370986920333
AATSC0i,1.4781758950660309
AATSC0m,56.93393053299643
AATSC0p,0.29768615865238196
AATSC0s,0.8384079092377562
AATSC0v,53.56257454400741
AATSC1Z,0.70355353696809
AATSC1c,-0.00425397779666782
AATSC1d,0.11780959435488592
AATSC1i,-0.28275921097329776
AATSC1m,3.244206418105885
AATSC1p,-0.010535384252895774
AATSC1s,-2.236724970450158e-05
AATSC1v,-0.6913350163679138
AATSC2Z,-0.043070418813581854
AATSC2c,-0.0025874217887736427
AATSC2d,-0.05536838860263357
AATSC2i,0.2524158933143581
AATSC2m,-0.16246519263883344
AATSC2p,0.048166382780313745
AATSC2s,-0.05066928265780491
AATSC2v,2.9621657071963683
AATSC3Z,0.42849498895872246
AATSC3c,0.0008399900718151857
AATSC3d,-0.045999660268388
AATSC3i,0.21227647538199887
AATSC3m,1.7273810135552932
AATSC3p,0.03905757963385374
AATSC3s,-0.04134685920558363
AATSC3v,0.3763457170512397
AATSC4Z,-0.6901010701545781
AATSC4c,-0.0003456324267667027
AATSC4d,0.010404280618311536
AATSC4i,-0.16010739768535495
AATSC4m,-2.9833168662100347
AATSC4p,-0.025132010004407113
