DLiP-ID,I000CP
IC5,4.876629167387824
MID,56.78503858155899
Mpe,0.9519607843137257
Mse,0.9856609613983975
NdO,0
NdS,0
NsF,0
NsI,0
NtN,0
SMR,112.99880000000002
SdO,0
SdS,0
Spe,45.69411764705883
SsF,0
SsI,0
Sse,47.31172614712308
StN,0
fMF,0.5416666666666666
nBr,0
nCl,0
AMID,2.1031495770947775
BIC0,0.2127693930812467
BIC1,0.5001265223170466
BIC2,0.6440847323969295
BIC3,0.7565406450341331
BIC4,0.8062589906175214
BIC5,0.8158609316948935
CIC0,4.313180279121358
CIC1,2.5955662796656407
CIC2,1.7350877607321724
CIC3,1.0629072918469555
CIC4,0.7657268229617378
CIC5,0.7083333333333321
GGI1,3.5
GGI2,3.333333333333335
GGI3,1.7638888888888888
GGI4,1.1866666666666668
GGI5,0.7919444444444445
GGI6,0.6728344671201812
GGI7,0.47760770975056677
GGI8,0.15570672713529854
GGI9,0.09874999999999995
JGI1,0.1129032258064516
JGI2,0.0757575757575758
JGI3,0.04008838383838384
JGI4,0.02894308943089431
JGI5,0.018417312661498705
JGI6,0.013192832688631003
JGI7,0.009950160619803474
JGI8,0.004865835222978079
JGI9,0.0070535714285714255
MIC0,10.033206479372597
MIC1,24.776620495266293
MIC2,31.664609541495267
MIC3,34.980543586894264
MIC4,35.91160206591191
MIC5,35.96945470345734
MPC2,44
MPC3,63
MPC4,87
MPC5,110
MPC6,125
MPC7,153
MPC8,183
MPC9,190
Mare,0.9617499999999999
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.21767063482900348
RPCG,0.09063779655472763
SIC0,0.22771544507874128
SIC1,0.5352580649681195
SIC2,0.6893286641569877
SIC3,0.8096840772503472
SIC4,0.8628949034370663
SIC5,0.8731713358430125
SaaN,0
SaaO,0
SaaS,0
Sare,46.163999999999994
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,61.045546636790306
TIC1,143.49101861066475
TIC2,184.79398751947122
TIC3,217.05865002596164
TIC4,231.32331253245206
TIC5,234.07820003461555
Vabc,311.3670429496082
WPol,44
apol,57.38265299999999
bpol,21.637346999999995
nRot,4
ABCGG,17.568620474735955
ATS0Z,1032.0
ATS0d,171.0
ATS0i,7560.05542709923
ATS0m,4072.264395
ATS0p,79.900471001829
ATS0s,131.75
ATS0v,11547.106794698499
ATS1Z,1276.0
ATS1d,223.0
ATS1i,7508.592722234502
ATS1m,4854.354250999999
ATS1p,103.56054246999999
ATS1s,155.83333333333334
ATS1v,14914.87852904416
ATS2Z,1882.0
ATS2d,359.0
ATS2i,12610.760354744198
ATS2m,7041.859643999998
ATS2p,160.880798499698
ATS2s,234.0
ATS2v,22525.519389145644
ATS3Z,2008.0
ATS3d,408.0
ATS3i,17482.44293867654
ATS3m,7296.949855999999
ATS3p,184.48336602303698
ATS3s,280.61111111111114
ATS3v,24802.42271046804
ATS4Z,1986.0
ATS4d,416.0
ATS4i,19705.459299125185
ATS4m,7024.782609
ATS4p,190.442295197886
ATS4s,300.2777777777778
ATS4v,25077.381809166254
ATS5Z,2014.0
ATS5d,430.0
ATS5i,21667.303105225867
ATS5m,7206.505187
ATS5p,193.64782840516799
ATS5s,304.5
ATS5v,25392.097731656264
ATS6Z,2286.0
ATS6d,433.0
ATS6i,20650.001950953923
ATS6m,8406.544162999999
ATS6p,202.835085770923
ATS6s,331.25000000000006
ATS6v,27398.051746725243
ATS7Z,2295.0
ATS7d,411.0
ATS7i,21528.20542415403
ATS7m,8245.52248
ATS7p,206.206722242433
ATS7s,374.33333333333337
ATS7v,27535.09731449027
ATS8Z,1732.0
ATS8d,338.0
ATS8i,22058.701040134176
ATS8m,5857.601759999999
ATS8p,177.529790976376
ATS8s,338.6666666666667
ATS8v,22442.57403624689
C1SP1,0
C1SP2,2
C1SP3,0
C2SP1,0
C2SP2,15
C2SP3,1
C3SP2,5
C3SP3,1
C4SP3,0
FCSP3,0.08333333333333333
GGI10,0.0
JGI10,0.0
JGT10,0.31117198745478825
Kier1,18.992715920915714
Kier2,8.393595041322314
Kier3,3.7732426303854876
MID_C,50.87768640455333
MID_N,5.907352177005654
MID_O,0.0
MID_X,0.0
MID_h,5.907352177005654
MPC10,203
MWC01,31.0
MWC02,5.017279836814924
MWC03,5.8998973535824915
MWC04,6.796823718274855
MWC05,7.697575346802343
MWC06,8.60392119492606
MWC07,9.512442967089195
MWC08,10.423798052313334
MWC09,11.336438851734787
MWC10,12.250697001901493
NaaCH,14
NaaNH,2
NaaSe,0
NaaaC,4
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,0
NsNH2,1
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,5.606000000000003
SRW02,4.143134726391533
SRW03,0.0
SRW04,5.476463551931511
SRW05,3.044522437723423
SRW06,7.014814351275545
SRW07,5.41610040220442
SRW08,8.644530439877432
SRW09,7.5352967024440884
SRW10,10.320321127381453
SaaCH,29.43964065255732
SaaNH,6.875178413958176
SaaSe,0
SaaaC,4.8623306668346356
SaasC,4.636534286554128
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,0
SsNH2,6.2852889581758635
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.543170428641089
VE1_D,5.120041885478438
VE2_A,0.16826557143115142
VE2_D,0.18963118094364584
VE3_A,2.5068768736427978
VE3_D,2.6264143927857453
VR1_A,239.80094051968373
VR1_D,172.97287377560832
VR2_A,8.881516315543841
VR2_D,6.406402732429938
VR3_A,6.473060937696438
VR3_D,6.146386556228894
WPath,1684
Xc-3d,1.4161160778352877
Xc-4d,0.0
Xc-5d,0.47615611590793444
Xc-6d,0.0
Xp-0d,18.216967702877945
Xp-1d,13.30966308808932
Xp-2d,11.820569852858071
Xp-3d,10.741131149700848
Xp-4d,9.381113688989123
Xp-5d,7.632350210550999
Xp-6d,5.368889391403257
Xp-7d,4.170558790579566
ZMIC0,88.20742665359576
ZMIC1,63.673790062460505
ZMIC2,44.086717190534856
ZMIC3,34.06635391026143
ZMIC4,31.303822660862394
ZMIC5,31.052256254687517
nAcid,0
nAtom,48
nBase,0
nRing,5
piPC1,3.8066624897703196
piPC2,4.48863636973214
piPC3,5.176149732573829
piPC4,5.82452409235233
piPC5,6.338483648077733
piPC6,6.670489032721933
piPC7,7.1609550816051195
piPC8,7.6593077086070585
piPC9,7.911710559899271
AATS0Z,21.5
AATS0d,3.5625
AATS0i,157.50115473123395
AATS0m,84.83884156250001
AATS0p,1.6645931458714376
AATS0s,2.7447916666666665
AATS0v,240.56472488955205
AATS1Z,24.53846153846154
AATS1d,4.288461538461538
AATS1i,144.39601388912504
AATS1m,93.35296636538459
AATS1p,1.991548893653846
AATS1s,2.996794871794872
AATS1v,286.8245870970031
AATS2Z,21.632183908045977
AATS2d,4.126436781609195
AATS2i,144.95126844533561
AATS2m,80.94091544827585
AATS2p,1.8492045804562987
AATS2s,2.689655172413793
AATS2v,258.9140159671913
AATS3Z,17.310344827586206
AATS3d,3.5172413793103448
AATS3i,150.71071498859087
AATS3m,62.90474013793103
AATS3p,1.5903738450261808
AATS3s,2.4190613026819925
AATS3v,213.81398888334516
AATS4Z,15.515625
AATS4d,3.25
AATS4i,153.9489007744155
AATS4m,54.8811141328125
AATS4p,1.4878304312334845
AATS4s,2.3459201388888893
AATS4v,195.91704538411136
AATS5Z,14.594202898550725
AATS5d,3.1159420289855073
AATS5i,157.00944279149178
AATS5m,52.22105207971014
AATS5p,1.4032451333707825
AATS5s,2.2065217391304346
AATS5v,184.0007082004077
AATS6Z,17.059701492537314
AATS6d,3.2313432835820897
AATS6i,154.10449217129795
AATS6m,62.73540420149253
AATS6p,1.513694669932261
AATS6s,2.4720149253731347
AATS6v,204.46307273675555
AATS7Z,16.510791366906474
AATS7d,2.9568345323741005
AATS7i,154.87917571333836
AATS7m,59.32030561151079
AATS7p,1.4835015988664244
AATS7s,2.693045563549161
AATS7v,198.09422528410266
AATS8Z,12.55072463768116
AATS8d,2.449275362318841
AATS8i,159.8456597111172
AATS8m,42.44638956521738
AATS8p,1.2864477606983769
AATS8s,2.454106280193237
AATS8v,162.62734808874558
AMID_C,1.8843587557241974
AMID_N,0.21879082137057979
AMID_O,0.0
AMID_X,0.0
AMID_h,0.21879082137057979
ATS0dv,308.0
ATS0pe,285.4248
ATS0se,352.66503599999993
ATS1dv,363.0
ATS1pe,329.94699999999995
ATS1se,394.022172
ATS2dv,511.0
ATS2pe,537.952
ATS2se,649.2066399999999
ATS3dv,470.0
ATS3pe,694.4994999999999
ATS3se,853.6185439999999
ATS4dv,455.0
ATS4pe,764.6684999999999
ATS4se,944.260612
ATS5dv,511.0
ATS5pe,806.5375
ATS5se,1006.7752439999999
ATS6dv,593.0
ATS6pe,796.3566
ATS6se,984.298284
ATS7dv,522.0
ATS7pe,838.6361999999999
ATS7se,1032.2378879999999
ATS8dv,318.0
ATS8pe,811.504
ATS8se,1014.6065919999999
ATSC0Z,311.25
ATSC0c,0.6303723566655685
ATSC0d,27.479166666666664
ATSC0i,74.62826629212876
ATSC0m,1498.9474948124998
ATSC0p,11.30111964102881
ATSC0s,17.152199074074073
ATSC0v,2532.9143679771114
ATSC1Z,10.8125
ATSC1c,-0.3117035172091488
ATSC1d,11.897569444444443
ATSC1i,12.533446469700065
ATSC1m,56.25748901562471
ATSC1p,1.5651335146500138
ATSC1s,-3.2945119598765467
ATSC1v,282.5575959264979
ATSC2Z,-24.015625
ATSC2c,-2.752012903477815e-05
ATSC2d,-1.6393229166666718
ATSC2i,-12.004438255597497
ATSC2m,-117.02151122265659
ATSC2p,-1.3801609936913495
ATSC2s,-1.4888237847222248
ATSC2v,-272.2300238094139
ATSC3Z,-43.8125
ATSC3c,0.05826869262710718
ATSC3d,-11.17881944444445
ATSC3i,-23.35930082747216
ATSC3m,-214.65694348437512
ATSC3p,-2.7904932405597354
ATSC3s,-0.23934220679012472
ATSC3v,-545.1873690891891
ATSC4Z,-156.875
ATSC4c,-0.1506049848031436
ATSC4d,-3.611111111111112
ATSC4i,-16.263072134116143
ATSC4m,-752.8210274375001
ATSC4p,-4.3188343982036885
ATSC4s,-10.380979938271604
ATSC4v,-1085.723386775387
ATSC5Z,67.78125
ATSC5c,-0.014468998067134625
ATSC5d,5.705729166666664
ATSC5i,15.313552269445946
ATSC5m,330.0078224765625
ATSC5p,3.0685808374209764
ATSC5s,0.7192563657407453
ATSC5v,676.0711846023798
ATSC6Z,136.34375
ATSC6c,0.17340144956653622
ATSC6d,-4.983506944444447
ATSC6i,-4.465247718647084
ATSC6m,649.5783226484374
ATSC6p,2.1225318027153985
ATSC6s,9.936222029320987
ATSC6v,691.5208224132596
ATSC7Z,-81.828125
ATSC7c,0.1852316356846242
ATSC7d,-20.67925347222222
ATSC7i,-21.36418904835042
ATSC7m,-400.8706843320313
ATSC7p,-4.271706912281708
ATSC7s,4.181363329475301
ATSC7v,-917.8052681493982
ATSC8Z,-187.09375
ATSC8c,-0.3466810426268176
ATSC8d,-13.669270833333329
ATSC8i,-7.945438725197873
ATSC8m,-894.1224675859373
ATSC8p,-4.000187108360336
ATSC8s,-6.575303819444446
ATSC8v,-1110.5336680807561
AXp-0d,0.674702507513998
AXp-1d,0.4293439705835264
AXp-2d,0.26864931483768345
AXp-3d,0.1704941452333468
AXp-4d,0.10782889297688647
AXp-5d,0.06938500191409999
AXp-6d,0.042951115131226056
AXp-7d,0.02725855418679455
GATS1Z,0.8334260117392648
GATS1c,1.5611517858060102
GATS1d,0.6249489706654225
GATS1i,0.9085188878725886
GATS1m,0.8302947541713823
GATS1p,0.7791656031187068
GATS1s,1.2017534070234908
GATS1v,0.7766773606064721
GATS2Z,0.9155703272861561
GATS2c,0.8078137871776764
GATS2d,1.2483856631199188
GATS2i,1.0883848553402904
GATS2m,0.9174849235119241
GATS2p,1.0092474395695203
GATS2s,0.7615967312406418
GATS2v,0.978907332366203
GATS3Z,0.9873840188339565
GATS3c,0.7463750588710051
GATS3d,1.3638859114794386
GATS3i,1.100048219423514
GATS3m,0.9896493171215452
GATS3p,1.0728272713665519
GATS3s,0.8346505245302381
GATS3v,1.0503026013289083
GATS4Z,1.146096887550201
GATS4c,1.078104268004562
GATS4d,1.1090788476118274
GATS4i,1.0797722554490203
GATS4m,1.1450540312859936
GATS4p,1.1027629728489832
GATS4s,1.2050697560646448
GATS4v,1.1152385599088153
GATS5Z,0.9142308363890344
GATS5c,0.9133783487122553
GATS5d,1.0287108151761877
GATS5i,0.8977355806871199
GATS5m,0.9136552093403072
GATS5p,0.8958752131498576
GATS5s,0.8463760292329291
GATS5v,0.8998314449857279
GATS6Z,0.8079841755080022
GATS6c,0.8097383779376671
GATS6d,1.1423851176264246
GATS6i,1.0000880977059567
GATS6m,0.8100113258228685
GATS6p,0.9096936631452452
GATS6s,0.6543697719775227
GATS6v,0.8762399965529505
GATS7Z,1.0592008321054
GATS7c,1.109122623286119
GATS7d,1.1812742376227905
GATS7i,1.1246319340211945
GATS7m,1.0590835813088828
GATS7p,1.0744892622638618
GATS7s,1.0519330815586405
GATS7v,1.065274585510106
GATS8Z,1.2222571445201094
GATS8c,1.5139669026305416
GATS8d,0.9543461779345356
GATS8i,1.0509376519573634
GATS8m,1.2185197300168802
GATS8p,1.0853154135167957
GATS8s,1.3347865693996017
GATS8v,1.1203569406980034
MATS1Z,0.032066728452270626
MATS1c,-0.45643867554668693
MATS1d,0.3996617484108007
MATS1i,0.1550261821373748
MATS1m,0.034644302112178026
MATS1p,0.12784030917278047
MATS1s,-0.17730017881844887
MATS1v,0.10297323886561062
MATS2Z,-0.04257028112449799
MATS2c,-2.4086588358313942e-05
MATS2d,-0.032914172178505244
MATS2i,-0.0887483882044091
MATS2m,-0.043072617701518094
MATS2p,-0.06737988435109414
MATS2s,-0.047890070282514616
MATS2v,-0.05929765218440702
MATS3Z,-0.058246780224345665
MATS3c,0.038249112450906626
MATS3d,-0.16833546835376864
MATS3i,-0.1295208647343463
MATS3m,-0.059257287615822385
MATS3p,-0.10217455392389163
MATS3s,-0.005774079119892158
MATS3v,-0.08906529816733812
MATS4Z,-0.18900602409638553
MATS4c,-0.08959287110862561
MATS4d,-0.04927975739196362
MATS4i,-0.08172040371969347
MATS4m,-0.1883374075917021
MATS4p,-0.1433099507633338
MATS4s,-0.22696025506933434
MATS4v,-0.1607422166292711
MATS5Z,0.07574646411733892
MATS5c,-0.007983686033591269
MATS5d,0.0722220390941754
MATS5i,0.07137313015467092
MATS5m,0.0765772850312035
MATS5p,0.0944448425547983
MATS5s,0.014585659024464041
MATS5v,0.09283977287874542
MATS6Z,0.1569142240604208
MATS6c,0.09853533618145106
MATS6d,-0.06496328064001454
MATS6i,-0.02143278679222233
MATS6m,0.15523210325728162
MATS6p,0.06727739583605781
MATS6s,0.2075094684141961
MATS6v,0.09779602281226855
MATS7Z,-0.09078616624772472
MATS7c,0.10147158375701334
MATS7d,-0.25987095085114625
MATS7i,-0.09885747120108868
MATS7m,-0.09235157659139158
MATS7p,-0.13052882000115879
MATS7s,0.08418302639847687
MATS7v,-0.12512856838764053
MATS8Z,-0.20907979745067223
MATS8c,-0.19129124112729282
MATS8d,-0.17302304117084746
MATS8i,-0.037031958509129645
MATS8m,-0.20747832745084127
MATS8p,-0.1231178390452147
MATS8s,-0.13333929883804688
MATS8v,-0.15250123931765414
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,5
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,36.7566148404667
SpAD_D,257.61714792269805
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.8575085034013604
SssNH2,0
SsssAs,0
SsssCH,0.21018518518518525
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1216
TMWC10,135.53887432343947
TSRW10,78.5951837392294
VE1_Dt,5.129806081043133
VE2_Dt,0.18999281781641233
VE3_Dt,2.6283196305122365
VR1_Dt,171.4534602116625
VR2_Dt,6.3501281559875
VR3_Dt,6.137563633760834
Xc-3dv,0.7427992798267444
Xc-4dv,0.0
Xc-5dv,0.18272544507000307
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.19245008972987526
Xch-6d,0.6332766380870198
Xch-7d,0.9448624983951948
Xp-0dv,14.944711088220563
Xp-1dv,9.264578430789705
Xp-2dv,7.034725160551746
Xp-3dv,5.472448214869938
Xp-4dv,4.091972168723599
Xp-5dv,2.872601011072453
Xp-6dv,1.7691008691446912
Xp-7dv,1.175388730767547
Xpc-4d,4.144858341869092
Xpc-5d,7.118539571574467
Xpc-6d,10.977643789912305
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,52
nFRing,2
nHBAcc,1
nHBDon,3
nHRing,2
nSpiro,0
naRing,5
piPC10,8.365931433590815
AATS0dv,6.416666666666667
AATS0pe,5.94635
AATS0se,7.3471882499999985
AATS1dv,6.980769230769231
AATS1pe,6.345134615384614
AATS1se,7.577349461538462
AATS2dv,5.873563218390805
AATS2pe,6.183356321839081
AATS2se,7.4621452873563205
AATS3dv,4.051724137931035
AATS3pe,5.9870646551724125
AATS3se,7.358780551724137
AATS4dv,3.5546875
AATS4pe,5.973972656249999
AATS4se,7.37703603125
AATS5dv,3.7028985507246377
AATS5pe,5.844474637681159
AATS5se,7.295472782608695
AATS6dv,4.425373134328358
AATS6pe,5.942959701492537
AATS6se,7.345509582089552
AATS7dv,3.7553956834532376
AATS7pe,6.033353956834532
AATS7se,7.426171856115107
AATS8dv,2.3043478260869565
AATS8pe,5.880463768115942
AATS8se,7.35222168115942
AATSC0Z,6.484375
AATSC0c,0.013132757430532676
AATSC0d,0.5724826388888888
AATSC0i,1.5547555477526824
AATSC0m,31.228072808593748
AATSC0p,0.23543999252143355
AATSC0s,0.35733748070987653
AATSC0v,52.76904933285649
AATSC1Z,0.20793269230769232
AATSC1c,-0.0059942984078682465
AATSC1d,0.22879941239316237
AATSC1i,0.24102781672500126
AATSC1m,1.0818747887620135
AATSC1p,0.030098721435577187
AATSC1s,-0.06335599922839513
AATSC1v,5.433799921663422
AATSC2Z,-0.2760416666666667
AATSC2c,-3.163233222388293e-07
AATSC2d,-0.01884279214559393
AATSC2i,-0.13798204891491375
AATSC2m,-1.345074841639731
AATSC2p,-0.01586391946771666
AATSC2s,-0.017112917065772698
AATSC2v,-3.129080733441539
AATSC3Z,-0.3776939655172414
AATSC3c,0.0005023163157509239
AATSC3d,-0.0963691331417625
AATSC3i,-0.20137328299544965
AATSC3m,-1.850490892106682
AATSC3p,-0.024055976211721855
AATSC3s,-0.0020632948861217647
AATSC3v,-4.699891112837838
AATSC4Z,-1.2255859375
AATSC4c,-0.0011766014437745594
AATSC4d,-0.028211805555555563
AATSC4i,-0.12705525104778237
AATSC4m,-5.88141427685547
AATSC4p,-0.03374089373596632
AATSC4s,-0.08110140576774691
AATSC4v,-8.482213959182712
AATSC5Z,0.49116847826086957
AATSC5c,-0.00010484781208068569
AATSC5d,0.041345863526570034
AATSC5i,0.11096777006844888
AATSC5m,2.391361032438859
AATSC5p,0.022236093024789683
AATSC5s,0.0052120026502952554
AATSC5v,4.899066555089709
AATSC6Z,1.017490671641791
AATSC6c,0.0012940406684069867
AATSC6d,-0.03719035033167498
AATSC6i,-0.03332274416900809
AATSC6m,4.847599422749533
