DLiP-ID,C101UJ
ATS5i,15269.30242653573
ATS5m,4899.760450000001
ATS5p,116.21873403297997
ATS5s,295.55555555555554
ATS5v,15802.118312696455
ATS6Z,1200.0
ATS6d,207.0
ATS6i,12872.182191123227
ATS6m,4231.409245999999
ATS6p,94.54531312328203
ATS6s,297.38888888888886
ATS6v,12967.414402256174
ATS7Z,992.0
ATS7d,161.0
ATS7i,9811.72745058364
ATS7m,3539.869066999999
ATS7p,77.19641420018797
ATS7s,210.05555555555554
ATS7v,10781.301076291078
ATS8Z,821.0
ATS8d,128.0
ATS8i,9151.51955088479
ATS8m,2845.54363
ATS8p,64.67426960533899
ATS8s,200.38888888888889
ATS8v,8781.818114046058
C1SP1,0
C1SP2,0
C1SP3,1
C2SP1,0
C2SP2,10
C2SP3,2
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.23529411764705882
GGI10,0.053667993061932456
JGI10,0.008944665510322077
JGT10,0.5168218967868736
Kier1,16.84375
Kier2,6.857142857142857
Kier3,3.298611111111111
MAXdO,12.330384857646763
MID_C,35.39522373252655
MID_N,0.0
MID_O,9.303900853479256
MID_X,0.0
MID_h,9.303900853479256
MINdO,12.330384857646763
MPC10,118
MWC01,24.0
MWC02,4.77912349311153
MWC03,5.652489180268651
MWC04,6.55250788703459
MWC05,7.443663683115591
MWC06,8.34972083747249
MWC07,9.247347097605278
MWC08,10.156772260762324
MWC09,11.057802566413784
MWC10,11.969444838900891
NaaCH,5
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,7
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,3.1213200000000016
SRW02,3.8918202981106265
SRW03,0.0
SRW04,5.241747015059643
SRW05,0.0
SRW06,6.803505257608338
SRW07,0.0
SRW08,8.464003362902119
SRW09,0.0
SRW10,10.177666364950163
SaaCH,8.430178261693413
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,2.031936529496506
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.20586291152263358
SdssS,0
SsCH3,3.234215392692124
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.0327694425163925
VE1_D,4.614756249389861
VE2_A,0.1833077019325633
VE2_D,0.20976164769953912
VE3_A,2.182910706884293
VE3_D,2.317716409890601
VR1_A,193.59061971378424
VR1_D,122.15821982299742
VR2_A,8.79957362335383
VR2_D,5.552646355590792
VR3_A,6.0542030821413055
VR3_D,5.5937744486651715
WPath,1028
Xc-3d,1.6842082240807534
Xc-4d,0.0
Xc-5d,0.5004792783794549
Xc-6d,0.0
Xp-0d,15.853006672199017
Xp-1d,10.507239053047545
Xp-2d,9.688413613271
Xp-3d,8.509881766590691
Xp-4d,7.040598924170032
Xp-5d,5.564115874043723
Xp-6d,4.073226707040389
Xp-7d,2.7631372665360825
ZMIC0,76.76092286147082
ZMIC1,42.470718022061945
ZMIC2,25.67071711678916
ZMIC3,23.068685850689555
ZMIC4,22.89774229735042
ZMIC5,22.89774229735042
nAcid,0
nAtom,38
nBase,0
nRing,3
piPC1,3.4657359027997265
piPC2,4.0943445622221
piPC3,4.672828834461906
piPC4,5.212214667494625
piPC5,5.729287765064563
piPC6,5.936050933747412
piPC7,6.122218649128844
piPC8,6.392335786205919
piPC9,6.774045298983267
AATS0Z,24.94736842105263
AATS0d,3.526315789473684
AATS0i,158.9853398665917
AATS0m,98.64702857894736
AATS0p,1.519503328357474
AATS0s,5.677631578947368
AATS0v,231.02845066987575
AATS1Z,26.2
AATS1d,4.175
AATS1i,143.57478934519747
AATS1m,99.98477989999999
AATS1p,1.8361459078000002
AATS1s,3.631944444444444
AATS1v,277.2308433676888
AATS2Z,23.417910447761194
AATS2d,3.985074626865672
AATS2i,149.36006423843648
AATS2m,88.80465544776118
AATS2p,1.6246652654916864
AATS2s,3.415837479270316
AATS2v,243.712723021548
AATS3Z,22.30952380952381
AATS3d,3.5833333333333335
AATS3i,150.8393013479392
AATS3m,83.0144353690476
AATS3p,1.5110492587785234
AATS3s,3.7572751322751325
AATS3v,226.55387781819982
AATS4Z,19.53191489361702
AATS4d,2.925531914893617
AATS4i,155.3253721950037
AATS4m,70.70847099999999
AATS4p,1.340755857501
AATS4s,4.560283687943262
AATS4v,193.38720155548168
AATS5Z,14.5625
AATS5d,2.6354166666666665
AATS5i,159.0552336097472
AATS5m,51.039171354166676
AATS5p,1.2106118128435412
AATS5s,3.0787037037037037
AATS5v,164.60539909058807
AATS6Z,15.0
AATS6d,2.5875
AATS6i,160.90227738904034
AATS6m,52.892615574999994
AATS6p,1.1818164140410254
AATS6s,3.717361111111111
AATS6v,162.09268002820218
AATS7Z,16.0
AATS7d,2.596774193548387
AATS7i,158.25366855780064
AATS7m,57.094662370967725
AATS7p,1.2451034548417415
AATS7s,3.387992831541218
AATS7v,173.89195284340448
AATS8Z,14.403508771929825
AATS8d,2.245614035087719
AATS8i,160.55297457692615
AATS8m,49.92181807017544
AATS8p,1.1346363088655964
AATS8s,3.5155945419103314
AATS8v,154.0669844569484
AMID_C,1.6088738060239343
AMID_N,0.0
AMID_O,0.4229045842490571
AMID_X,0.0
AMID_h,0.4229045842490571
ATS0dv,346.0
ATS0pe,247.15050000000002
ATS0se,302.4427759999999
ATS1dv,336.0
ATS1pe,265.6225
ATS1se,317.0151439999999
ATS2dv,482.0
ATS2pe,436.78349999999995
ATS2se,528.222668
ATS3dv,542.0
ATS3pe,557.2130000000001
ATS3se,673.9924359999998
ATS4dv,520.0
ATS4pe,623.9535000000001
ATS4se,760.9190319999999
ATS5dv,326.0
ATS5pe,590.5979999999998
ATS5se,737.1268719999999
ATS6dv,313.0
ATS6pe,500.3922
ATS6se,624.0004880000001
ATS7dv,244.0
ATS7pe,387.39950000000005
ATS7se,480.95966000000004
ATS8dv,206.0
ATS8pe,356.44909999999993
ATS8se,444.48071200000004
ATSC0Z,291.0526315789473
ATSC0c,1.443237457025416
ATSC0d,26.210526315789487
ATSC0i,51.566966745435415
ATSC0m,1375.2687675789475
ATSC0p,8.927655792285476
ATSC0s,78.69663742690058
ATSC0v,1864.1730159155427
ATSC1Z,1.5235457063711846
ATSC1c,-0.6157567251202445
ATSC1d,12.673130193905823
ATSC1i,2.167644784565541
ATSC1m,11.525624864266149
ATSC1p,0.4543534116472919
ATSC1s,-11.149969221298857
ATSC1v,110.21098473013377
ATSC2Z,62.09141274238228
ATSC2c,-0.06524291843922407
ATSC2d,0.6288088642659321
ATSC2i,5.726732571819804
ATSC2m,301.9418145844877
ATSC2p,1.3734947940805076
ATSC2s,-1.4241882117574638
ATSC2v,481.4350888941158
ATSC3Z,-54.168975069252085
ATSC3c,-0.54190176734709
ATSC3d,-11.465373961218832
ATSC3i,-17.87191577543809
ATSC3m,-254.44178591135696
ATSC3p,-2.84279340146031
ATSC3s,-23.332333025546326
ATSC3v,-425.45845057841257
ATSC4Z,-114.70914127423822
ATSC4c,1.0540212957633528
ATSC4d,-9.099722991689749
ATSC4i,-15.620504123234527
ATSC4m,-565.7901062216063
ATSC4p,-3.5173012559186976
ATSC4s,36.21460449369038
ATSC4v,-1094.2061115822225
ATSC5Z,-35.81717451523546
ATSC5c,-0.9172970709423408
ATSC5d,-5.216066481994462
ATSC5i,-5.653331527577887
ATSC5m,-165.30045346260408
ATSC5p,-0.88079371043846
ATSC5s,-15.933902739304404
ATSC5v,-151.07881549534036
ATSC6Z,-3.163434903047082
ATSC6c,0.5121003148094957
ATSC6d,-2.2853185595567878
ATSC6i,10.091455930368863
ATSC6m,-12.827894166205105
ATSC6p,1.5426229009530021
ATSC6s,-1.8562249923053278
ATSC6v,152.59807608245987
ATSC7Z,-10.927977839335185
ATSC7c,-0.15383248695062116
ATSC7d,-1.6592797783933524
ATSC7i,-4.16474866828202
ATSC7m,-48.35751583933522
ATSC7p,-0.5693726487228254
ATSC7s,-11.042320714065866
ATSC7v,-40.49886051027536
ATSC8Z,-39.68421052631579
ATSC8c,-0.0279879604958358
ATSC8d,1.6842105263157878
ATSC8i,-9.426845283831199
ATSC8m,-192.70054289473694
ATSC8p,-1.723808641174684
ATSC8s,-0.7598684210526322
ATSC8v,-376.12981451748976
AXp-0d,0.7205912123726826
AXp-1d,0.4378016272103144
AXp-2d,0.2768118175220286
AXp-3d,0.1772892034706394
AXp-4d,0.1117555384788894
AXp-5d,0.06785507163467955
AXp-6d,0.04427420333739553
AXp-7d,0.028195278229960024
GATS1Z,0.7563924050632913
GATS1c,1.276338337095391
GATS1d,0.6881777108433731
GATS1i,1.0354657791490671
GATS1m,0.7585916469524645
GATS1p,1.0050474072976763
GATS1s,0.8358397503181402
GATS1v,0.883188570744607
GATS2Z,0.7295444117567679
GATS2c,0.9064818258130317
GATS2d,1.1904183899778211
GATS2i,0.971933883728606
GATS2m,0.7292456837938486
GATS2p,0.935561318963031
GATS2s,0.6480292094059368
GATS2v,0.8109290146503908
GATS3Z,0.972353181779041
GATS3c,1.1974678252167459
GATS3d,1.35282797858099
GATS3i,1.1741338763529372
GATS3m,0.9710024411824886
GATS3p,1.138889397163221
GATS3s,1.0849125330580323
GATS3v,1.0257618077728095
GATS4Z,1.1184275326074413
GATS4c,0.8420205095564648
GATS4d,1.0587349397590355
GATS4i,1.1093650484105786
GATS4m,1.121504947087627
GATS4p,1.1245406675818133
GATS4s,0.9087117498264287
GATS4v,1.1552859934883306
GATS5Z,1.0289161392405066
GATS5c,1.071174438265013
GATS5d,1.036677961847389
GATS5i,1.0045327722101054
GATS5m,1.0302831861523714
GATS5p,1.0142158623642272
GATS5s,1.0256178186276788
GATS5v,1.0381276165736222
GATS6Z,1.0233544303797473
GATS6c,0.6975228340601973
GATS6d,1.049912148594377
GATS6i,0.8605616288297112
GATS6m,1.022071539277729
GATS6p,0.8783056790763549
GATS6s,1.2900827396267776
GATS6v,0.949390000398979
GATS7Z,0.9995697952517065
GATS7c,0.9702717169536931
GATS7d,0.944892473118279
GATS7i,1.016557508053566
GATS7m,0.9993315465857925
GATS7p,1.013029205345068
GATS7s,1.088508545808717
GATS7v,1.002445680199955
GATS8Z,1.1062085593731166
GATS8c,1.029850969623088
GATS8d,0.6810575635876837
GATS8i,1.0701615827028237
GATS8m,1.1080568992548838
GATS8p,1.0836987096412714
GATS8s,0.9179802520969376
GATS8v,1.1175799103171145
MATS1Z,0.004972875226039763
MATS1c,-0.40531714723499634
MATS1d,0.45933734939759036
MATS1i,0.03993375362764662
MATS1m,0.007961602763893417
MATS1p,0.04834816116431263
MATS1s,-0.1345987720259713
MATS1v,0.05616454835454533
MATS2Z,0.12099538473995308
MATS2c,-0.025639194783115483
MATS2d,0.013606665467841597
MATS2i,0.06298601184128322
MATS2m,0.12452153749379513
MATS2p,0.08725661758398971
MATS2s,-0.010264079437472715
MATS2v,0.14647392417630253
MATS3Z,-0.08419443726857836
MATS3c,-0.16985842240725652
MATS3d,-0.19788678523618267
MATS3i,-0.15678475562227068
MATS3m,-0.08369608919333105
MATS3p,-0.14404963814646352
MATS3s,-0.13412393947798057
MATS3v,-0.10324647842660681
MATS4Z,-0.15932438151667888
MATS4c,0.29523465680193034
MATS4d,-0.1403486285567802
MATS4i,-0.12245575565416414
MATS4m,-0.1663119714152863
MATS4p,-0.15926776018661495
MATS4s,0.1860301402464368
MATS4v,-0.23728411315681666
MATS5Z,-0.0487115732368897
MATS5c,-0.25158490411991546
MATS5d,-0.07877342704149932
MATS5i,-0.0433955534760567
MATS5m,-0.04757719439146503
MATS5p,-0.03905252604868145
MATS5s,-0.08014535360759946
MATS5v,-0.03207965710425324
MATS6Z,-0.005162748643761288
MATS6c,0.16854305460991562
MATS6d,-0.041415662650602404
MATS6i,0.09295566269368585
MATS6m,-0.004430588313056882
MATS6p,0.08207595532366435
MATS6s,-0.011203869697279342
MATS6v,0.03888270322568191
MATS7Z,-0.02301230823076476
MATS7c,-0.06532842327983189
MATS7d,-0.038800362741287724
MATS7i,-0.04950044678920586
MATS7m,-0.02155104380221718
MATS7p,-0.039088685900024726
MATS7s,-0.08599953196636749
MATS7v,-0.013315224518493863
MATS8Z,-0.09089813140446054
MATS8c,-0.01292832322202445
MATS8d,0.042838018741633135
MATS8i,-0.1218718865815474
MATS8m,-0.09341230719770319
MATS8p,-0.1287242460418522
MATS8s,-0.006437110452641264
MATS8v,-0.13451176877762885
MAXsOH,9.879806407717663
MAXssO,5.872696759259259
MINsOH,9.79966090507216
MINssO,5.110591838383144
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,28.25544645931612
SpAD_D,194.0506305838476
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.1360159202569915
SssNH2,0
SsssAs,0
SsssCH,-0.45295729402872276
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,802
TMWC10,121.20887184468512
TSRW10,56.578742298630885
VE1_Dt,4.666598055384586
VE2_Dt,0.2121180934265721
VE3_Dt,2.3288876987857487
VR1_Dt,117.13975791796219
VR2_Dt,5.324534450816463
VR3_Dt,5.551825094419384
Xc-3dv,0.6873990247725148
Xc-4dv,0.0
Xc-5dv,0.13250554274853346
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.18424981005154034
Xch-7d,0.45316560643872067
Xp-0dv,12.29038045871581
Xp-1dv,6.902730871942626
Xp-2dv,5.2508958263181285
Xp-3dv,3.878771201206295
Xp-4dv,2.605674358935697
Xp-5dv,1.8418050825927281
Xp-6dv,1.0786753752894043
Xp-7dv,0.6446737637787804
Xpc-4d,4.264874203402218
Xpc-5d,6.847073936883276
Xpc-6d,10.817275585070869
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,40
nFRing,1
nHBAcc,5
nHBDon,2
nHRing,1
nSpiro,0
naRing,2
piPC10,7.091456092497418
AATS0dv,9.105263157894736
AATS0pe,6.50396052631579
AATS0se,7.95902042105263
AATS1dv,8.4
AATS1pe,6.6405625
AATS1se,7.9253785999999975
AATS2dv,7.1940298507462686
AATS2pe,6.51915671641791
AATS2se,7.883920417910447
AATS3dv,6.4523809523809526
AATS3pe,6.633488095238096
AATS3se,8.023719476190474
AATS4dv,5.531914893617022
AATS4pe,6.637803191489363
AATS4se,8.094883319148936
AATS5dv,3.3958333333333335
AATS5pe,6.152062499999999
AATS5se,7.678404916666666
AATS6dv,3.9125
AATS6pe,6.2549025
AATS6se,7.800006100000002
AATS7dv,3.935483870967742
AATS7pe,6.2483790322580655
AATS7se,7.757413870967743
AATS8dv,3.6140350877192984
AATS8pe,6.253492982456139
AATS8se,7.7979072280701764
AATSC0Z,7.6592797783933495
AATSC0c,0.03797993307961621
AATSC0d,0.6897506925207759
AATSC0i,1.357025440669353
AATSC0m,36.19128335734072
AATSC0p,0.234938310323302
AATSC0s,2.0709641428131733
AATSC0v,49.057184629356385
AATSC1Z,0.038088642659279616
AATSC1c,-0.015393918128006112
AATSC1d,0.3168282548476456
AATSC1i,0.05419111961413853
AATSC1m,0.2881406216066537
AATSC1p,0.011358835291182298
AATSC1s,-0.2787492305324714
AATSC1v,2.7552746182533445
AATSC2Z,0.926737503617646
AATSC2c,-0.0009737749020779712
AATSC2d,0.00938520692934227
AATSC2i,0.08547362047492245
AATSC2m,4.506594247529667
AATSC2p,0.020499922299709067
AATSC2s,-0.021256540473991996
AATSC2v,7.185598341703221
AATSC3Z,-0.6448687508244296
AATSC3c,-0.0064512115160367854
AATSC3d,-0.13649254715736706
AATSC3i,-0.2127609020885487
AATSC3m,-3.029068879897107
AATSC3p,-0.03384277858881321
AATSC3s,-0.27776586935174197
AATSC3v,-5.064981554504912
AATSC4Z,-1.2203100135557257
AATSC4c,0.011212992508120774
AATSC4d,-0.0968055637413803
AATSC4i,-0.1661755757790907
AATSC4m,-6.019043683208578
AATSC4p,-0.03741809846722019
AATSC4s,0.3852617499328764
AATSC4v,-11.640490548747048
AATSC5Z,-0.373095567867036
AATSC5c,-0.00955517782231605
AATSC5d,-0.05433402585410898
AATSC5i,-0.05888887007893632
AATSC5m,-1.7218797235687926
