DLiP-ID,C000MP
AATSC4m,-8.390023966592484
AATSC4p,-0.005715286586833858
AATSC4s,-0.509657505755585
AATSC4v,-5.1122778482150855
AATSC5Z,-0.5175373745292522
AATSC5c,0.0012487260496669957
AATSC5d,-0.02619318153626309
AATSC5i,-0.12902493664000822
AATSC5m,-2.489260684381838
AATSC5p,-0.013377716822895408
AATSC5s,0.005510803150613393
AATSC5v,-4.3322381913294175
AATSC6Z,0.5703484356007261
AATSC6c,-0.001704915060115793
AATSC6d,-0.0848893434502996
AATSC6i,-0.009458501837585058
AATSC6m,2.6650137423493545
AATSC6p,-0.00041574766835175307
AATSC6s,0.20526798150339645
AATSC6v,1.7428035511071436
AATSC7Z,-1.1696846879133627
AATSC7c,0.002986048606259881
AATSC7d,-0.09119224328357238
AATSC7i,0.21899829807494853
AATSC7m,-5.531554255983372
AATSC7p,-0.007063815940999017
AATSC7s,-0.21142085920751694
AATSC7v,-4.121178503436952
AATSC8Z,-0.09825851811790151
AATSC8c,-0.002900548434473311
AATSC8d,-0.09623940868938168
AATSC8i,0.004549937805661792
AATSC8m,-0.4350925460104602
AATSC8p,-0.011242813251886637
AATSC8s,-0.16810127596498603
AATSC8v,-0.3799802527195364
ATS0are,282.53979999999996
ATS1are,308.27500000000003
ATS2are,535.093
ATS3are,712.2629
ATS4are,804.4510000000001
ATS5are,698.6049999999997
ATS6are,640.634
ATS7are,533.906
ATS8are,463.72599999999994
ATSC0dv,190.4651162790698
ATSC0pe,6.4000279069767405
ATSC0se,4.697770418604649
ATSC1dv,59.56138453217956
ATSC1pe,-0.6065700378583029
ATSC1se,-0.5417207831260138
ATSC2dv,57.159545700378594
ATSC2pe,1.0150863169280673
ATSC2se,0.5435161319632232
ATSC3dv,-29.899945916711737
ATSC3pe,1.1156548404542974
ATSC3se,0.662672473769605
ATSC4dv,-148.85451595457008
ATSC4pe,-4.591730340724717
ATSC4se,-2.7506775597620328
ATSC5dv,-15.992969172525694
ATSC5pe,-0.04655911303407148
ATSC5se,0.1476220551649539
ATSC6dv,6.651703623580308
ATSC6pe,0.9569065440778799
ATSC6se,0.47861050513791203
ATSC7dv,-54.82801514332071
ATSC7pe,-1.3105585181179003
ATSC7se,-0.631063552190373
ATSC8dv,-13.904272579772858
ATSC8pe,-0.8661068144943201
ATSC8se,-0.8501363115197402
AXp-0dv,0.5378396645518221
AXp-1dv,0.2812715318021138
AXp-2dv,0.14237079657235913
AXp-3dv,0.07522123757194868
AXp-4dv,0.038951890232849236
AXp-5dv,0.019764571913776712
AXp-6dv,0.010213992576292638
AXp-7dv,0.005357730560400919
BertzCT,1213.1981229934431
ECIndex,554
ETA_eta,22.425123667522165
GATS1dv,0.4363338788870703
GATS1pe,0.7500276470838004
GATS1se,0.8120571830538841
GATS2dv,0.687085678549093
GATS2pe,0.6607928503431443
GATS2se,0.695791438866283
GATS3dv,0.9326276170312866
GATS3pe,0.7906242761342773
GATS3se,0.8266770225733648
GATS4dv,1.3040983606557375
GATS4pe,1.3469095981591583
GATS4se,1.3316062657758017
GATS5dv,1.0206304398964947
GATS5pe,0.9864237377245274
GATS5se,0.9766011592494868
GATS6dv,1.0185072353389184
GATS6pe,0.8870966887765271
GATS6se,0.8683660445976749
GATS7dv,1.1251467408093914
GATS7pe,1.0959722541837473
GATS7se,1.0381392389706185
GATS8dv,1.0614017094017092
GATS8pe,1.0237017861840723
GATS8se,1.0207188969920458
LogEE_A,4.2750693313773755
LogEE_D,127.54971519116081
MATS1dv,0.2861013690800925
MATS1pe,-0.08671009939002945
MATS1se,-0.1055004486228102
MATS2dv,0.1573721671282647
MATS2pe,0.08317172503820962
MATS2se,0.060670175766009665
MATS3dv,-0.06192940596610321
MATS3pe,0.0687685621490315
MATS3se,0.05564794100725081
MATS4dv,-0.2754578754578755
MATS4pe,-0.2528733910162374
MATS4se,-0.20637473114686736
MATS5dv,-0.033124978996538636
MATS5pe,-0.0028698869419000097
MATS5se,0.012396566542832721
MATS6dv,0.014868409917914853
MATS6pe,0.06365532483934745
MATS6se,0.04337480344230714
MATS7dv,-0.14913426600173585
MATS7pe,-0.10608767046389136
MATS7se,-0.0695939796870037
MATS8dv,-0.04185429385429387
MATS8pe,-0.07758839714361705
MATS8se,-0.10375378995555315
MAXaaCH,1.8992910682791635
MAXaaaC,0.780502527399849
MAXaasC,0.8470649092970522
MAXaasN,1.5877711640211638
MAXdssC,-0.7342441945914164
MAXsCH3,1.673993214268321
MDEC-12,1.4212072702573277
MDEC-13,1.7880444125056931
MDEC-14,0.4999999999999999
MDEC-22,6.369860013694712
MDEC-23,23.480299879498304
MDEC-24,1.9488175056291732
MDEC-33,13.38151621335821
MDEC-34,3.0663418468974917
MDEN-23,0.33333333333333337
MDEO-11,0.8709129708190518
MDEO-12,0.9923366000680728
MINaaCH,1.5579922750142807
MINaaaC,0.6901228269085415
MINaasC,0.1491326213936246
MINaasN,1.5877711640211638
MINdssC,-0.7342441945914164
MINsCH3,1.673993214268321
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,1.5357142857142856
SM1_Dzi,1.3161701003068016
SM1_Dzm,1.5313282524578438
SM1_Dzp,-6.447834958059396
SM1_Dzv,-2.633621646776986
SddssSe,0
SpAD_Dt,936.0161682922972
SpAbs_A,35.65088348757856
SpAbs_D,255.09943038232177
SpMAD_A,1.3204030921325394
SpMAD_D,9.448127051197101
SpMax_A,2.601970671226767
SpMax_D,127.54971519116081
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,101.65
TpiPC10,9.947048480252045
VAdjMat,5.954196310386875
VE1_DzZ,5.11244174053288
VE1_Dzi,5.108093946418263
VE1_Dzm,5.1124415645390515
VE1_Dzp,5.097411610227382
VE1_Dzv,5.11144957844867
VE2_DzZ,0.18934969409381036
VE2_Dzi,0.1891886646821579
VE2_Dzm,0.18934968757552043
VE2_Dzp,0.18879302260101413
VE2_Dzv,0.18931294734995074
VE3_DzZ,2.6249288988194834
VE3_Dzi,2.62407810302755
VE3_Dzm,2.6249288643948696
VE3_Dzp,2.62198465649854
VE3_Dzv,2.62473481184098
VR1_DzZ,174.25763375119524
VR1_Dzi,174.87943316558753
VR1_Dzm,174.25889894159317
VR1_Dzp,177.09988467499795
VR1_Dzv,175.19784764006593
VR2_DzZ,6.453986435229454
VR2_Dzi,6.477016043169908
VR2_Dzm,6.4540332941330805
VR2_Dzp,6.559254987962887
VR2_Dzv,6.488809171854293
VR3_DzZ,6.153786630880391
VR3_Dzi,6.157348556156884
VR3_Dzm,6.153793891312992
VR3_Dzp,6.169965666613077
VR3_Dzv,6.15916766627767
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.03952847075210474
Xch-6dv,0.15745876971128525
Xch-7dv,0.2815568021268601
Xpc-4dv,2.4388963978101907
Xpc-5dv,3.456314365887015
Xpc-6dv,4.678971287332293
Zagreb1,160.0
Zagreb2,202.0
fragCpx,259.07
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,1
n5FRing,0
n5HRing,1
n5aRing,0
n6ARing,1
n6FRing,0
n6HRing,3
n6aRing,3
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,0
n9HRing,0
n9aRing,0
nAHRing,2
nBondsA,17
nBondsD,2
nBondsM,19
nBondsO,31
nBondsS,28
nBondsT,0
nFARing,1
nFHRing,1
nFaRing,0
nHetero,7
naHRing,2
AATS0are,6.570693023255813
AATS1are,6.55904255319149
AATS2are,6.525524390243902
AATS3are,6.534522018348623
AATS4are,6.593860655737706
AATS5are,6.4092201834862355
AATS6are,6.342910891089109
AATS7are,6.4326024096385535
AATS8are,6.183013333333332
AATSC0dv,4.429421308815577
AATSC0pe,0.14883785830178467
AATSC0se,0.1092504748512709
AATSC1dv,1.2672635006846715
AATSC1pe,-0.01290574548634687
AATSC1se,-0.011525974109064124
AATSC2dv,0.6970676304924219
AATSC2pe,0.01237910142595204
AATSC2se,0.006628245511746625
AATSC3dv,-0.27431143042854805
AATSC3pe,0.010235365508755022
AATSC3se,0.006079563979537661
AATSC4dv,-1.220118983234181
AATSC4pe,-0.03763713394036653
AATSC4se,-0.022546537375098628
AATSC5dv,-0.14672448782133665
AATSC5pe,-0.0004271478260006558
AATSC5se,0.0013543307813298523
AATSC6dv,0.06585845171861691
AATSC6pe,0.00947432221859287
AATSC6se,0.004738717872652594
AATSC7dv,-0.6605784957026591
AATSC7pe,-0.01578986166407109
AATSC7se,-0.007603175327594856
AATSC8dv,-0.1853903010636381
AATSC8pe,-0.01154809085992427
AATSC8se,-0.011335150820263203
AETA_eta,0.8305601358341542
ATSC0are,7.048041860465116
ATSC1are,-0.7428922660897765
ATSC2are,0.9805666846944302
ATSC3are,1.149784586262846
ATSC4are,-4.80765830178474
ATSC5are,0.17301016765819335
ATSC6are,0.9267528393726324
ATSC7are,-1.241266846944293
ATSC8are,-1.1037985938345072
BCUTZ-1h,8.029643522401008
BCUTZ-1l,5.671620614484027
BCUTc-1h,0.4765246271429711
BCUTc-1l,-0.4873502281328503
BCUTd-1h,4.029077650169798
BCUTd-1l,0.9772017778963473
BCUTi-1h,14.551595027601039
BCUTi-1l,10.935084149857191
BCUTm-1h,16.01510870268779
BCUTm-1l,11.68497988318777
BCUTp-1h,2.0151367119803285
BCUTp-1l,0.7411468529203795
BCUTs-1h,7.009367926576013
BCUTs-1l,1.17124199346218
BCUTv-1h,20.914204734623276
BCUTv-1l,14.70057828830712
BalabanJ,1.3954324075599323
Diameter,12
ETA_beta,36.25
GATS1are,0.7775043178250609
GATS2are,0.6812234601424153
GATS3are,0.8056541825497898
GATS4are,1.349990586365008
GATS5are,0.9746165911189381
GATS6are,0.8868028717927862
GATS7are,1.0816739292219548
GATS8are,1.0205001818087027
HybRatio,0.25
Lipinski,True
LogEE_Dt,464.1183917978616
MATS1are,-0.09643350675774158
MATS2are,0.07295637754847062
MATS3are,0.06435613664325461
MATS4are,-0.2404217440460824
MATS5are,0.009683784357096726
MATS6are,0.05598124235727019
MATS7are,-0.09124037138000489
MATS8are,-0.08979012038529824
MAXssCH2,0.3411470143613
MAXssssC,-1.8256698888232972
MINssCH2,-0.14363912522462297
MINssssC,-1.8256698888232972
NsssssAs,0
RotRatio,0.03225806451612903
SM1_Dzpe,1.6159730722154224
SM1_Dzse,1.5229999873188607
SMR_VSA1,19.744454927553285
SMR_VSA2,0.0
SMR_VSA3,9.551078168738563
SMR_VSA4,0.0
SMR_VSA5,32.097248004025815
SMR_VSA6,0.0
SMR_VSA7,57.375993896522864
SMR_VSA8,0.0
SMR_VSA9,17.137367822980828
SpAD_DzZ,189.16884654395437
SpAD_Dzi,187.70234948889092
SpAD_Dzm,189.19937357955493
SpAD_Dzp,234.10837377196438
SpAD_Dzv,215.58553910425252
SpAbs_Dt,936.0161682922969
SpDiam_A,5.140644615258703
SpDiam_D,188.5828085845541
SpMAD_Dt,34.6672654923073
SpMax_Dt,464.1183917978616
SsssssAs,0
VE1_Dzpe,5.111948606145199
VE1_Dzse,5.112505835097847
VE2_Dzpe,0.1893314298572296
VE2_Dzse,0.18935206796658693
VE3_Dzpe,2.624832436464009
VE3_Dzse,2.6249414357179846
VMcGowan,248.9700000000002
VR1_Dzpe,174.29896057556917
VR1_Dzse,174.25286383556318
VR2_Dzpe,6.455517058354413
VR2_Dzse,6.453809771687525
VR3_Dzpe,6.154023762096614
VR3_Dzse,6.153759257727127
mZagreb1,8.784722222222221
mZagreb2,5.652777777777777
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,1
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,0
n6AHRing,1
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,2
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,0
n9FaRing,0
n9aHRing,0
nBondsKD,9
nBondsKS,38
nFAHRing,1
nFaHRing,0
nG12Ring,0
AATSC0are,0.1639079502433748
AATSC1are,-0.015806218427442054
AATSC2are,0.011958130301151587
AATSC3are,0.010548482442778404
AATSC4are,-0.03940703526053066
AATSC5are,0.0015872492445705812
AATSC6are,0.009175770686857748
AATSC7are,-0.014955022252340877
AATSC8are,-0.014717314584460095
AETA_beta,1.3425925925925926
BCUTdv-1h,6.028600284189285
BCUTdv-1l,0.9880036458849994
BCUTpe-1h,3.502362296113429
BCUTpe-1l,2.217752480253069
BCUTse-1h,3.7152099912744365
BCUTse-1l,2.4132385779131
ETA_alpha,12.466666666666669
ETA_dBeta,-0.25
ETA_eta_B,0.4953429140073524
ETA_eta_F,28.98249592342576
ETA_eta_L,6.033211476672214
ETA_eta_R,51.407619590947924
ETA_psi_1,0.5297450424929181
LabuteASA,153.02247661909215
LogEE_DzZ,94.64130157885549
LogEE_Dzi,93.86787847519399
LogEE_Dzm,94.6564026509796
LogEE_Dzp,116.11015951085292
LogEE_Dzv,107.48980702627856
PEOE_VSA1,19.517017391272816
PEOE_VSA2,4.794537184071822
PEOE_VSA3,9.77851570501903
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.923737199690624
PEOE_VSA7,36.75265696523406
PEOE_VSA8,16.513127197858786
PEOE_VSA9,29.012764604922754
SM1_Dzare,1.799906933457422
SpAD_Dzpe,188.24903304781236
SpAD_Dzse,189.30515536359525
SpAbs_DzZ,187.8712663782225
SpAbs_Dzi,186.6786616330968
SpAbs_Dzm,187.90538515315075
SpAbs_Dzp,238.66815397976518
SpAbs_Dzv,217.6132356993342
SpDiam_Dt,537.6752498996813
SpMAD_DzZ,7.006253575702014
SpMAD_Dzi,6.951938869958923
SpMAD_Dzm,7.007384206650182
SpMAD_Dzp,8.670680510072755
SpMAD_Dzv,7.984649596453797
SpMax_DzZ,94.64130157885549
SpMax_Dzi,93.86787847519399
SpMax_Dzm,94.6564026509796
SpMax_Dzp,116.11015951085292
SpMax_Dzv,107.48980702627856
VE1_Dzare,5.111521252863027
VE2_Dzare,0.1893156019578899
VE3_Dzare,2.624748834069066
VR1_Dzare,174.3001694534518
VR2_Dzare,6.455561831609326
VR3_Dzare,6.154030697730001
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,0
nAromAtom,16
nAromBond,17
nG12ARing,0
nG12FRing,1
nG12HRing,0
nG12aRing,0
AETA_alpha,0.46172839506172847
AETA_dBeta,-0.009259259259259259
AETA_eta_B,0.018346033852124164
AETA_eta_F,1.0734257749416949
AETA_eta_L,0.22345227691378572
AETA_eta_R,1.903985910775849
BCUTare-1h,3.5561304258084507
BCUTare-1l,2.168663373428009
ETA_beta_s,18.25
ETA_dPsi_A,0.18425495750708187
ETA_dPsi_B,0.0
ETA_eta_BR,0.9253429140073524
ETA_eta_FL,6.885659171693529
ETA_eta_RL,12.918870648365743
LogEE_Dzpe,94.18436737843268
LogEE_Dzse,94.70898508873536
PEOE_VSA10,12.356393797796823
PEOE_VSA11,5.601050810983688
PEOE_VSA12,0.0
PEOE_VSA13,5.559266895052008
SlogP_VSA1,5.559266895052008
SlogP_VSA2,25.733438246371822
SlogP_VSA3,28.284089319281055
SlogP_VSA4,0.0
SlogP_VSA5,30.034913297707618
SlogP_VSA6,35.126372526379875
SlogP_VSA7,0.0
SlogP_VSA8,22.29078092177798
SlogP_VSA9,0.0
SpAD_Dzare,186.67986273035623
SpAbs_Dzpe,186.9024378687323
SpAbs_Dzse,188.0159479413195
SpDiam_DzZ,139.77653499855865
SpDiam_Dzi,137.83437120882965
SpDiam_Dzm,139.7958590569408
SpDiam_Dzp,167.6655652796581
SpDiam_Dzv,157.28656267641696
SpMAD_Dzpe,6.972186409178236
SpMAD_Dzse,7.011302050503527
SpMax_Dzpe,94.18436737843268
SpMax_Dzse,94.70898508873536
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,1
nG12FHRing,1
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,27
AETA_beta_s,0.6759259259259259
AETA_eta_BR,0.03427195977805009
AETA_eta_FL,0.255024413766427
AETA_eta_RL,0.4784766906802127
DetourIndex,6260
EState_VSA1,11.570356098935537
EState_VSA2,24.33648231577484
EState_VSA3,34.576216096619746
EState_VSA4,10.949675706161791
EState_VSA5,0.0
EState_VSA6,35.75630512132842
EState_VSA7,6.06636706846161
EState_VSA8,4.9839785209472085
EState_VSA9,4.736862953800049
ETA_beta_ns,18.0
ETA_shape_p,0.14705882352941171
ETA_shape_x,0.04010695187165775
ETA_shape_y,0.4331550802139037
GhoseFilter,True
LogEE_Dzare,93.4065945849358
SlogP_VSA10,0.0
SlogP_VSA11,5.749511833283905
SpAbs_Dzare,185.2003583147839
SpDiam_Dzpe,139.07837686580405
SpDiam_Dzse,139.878203944759
SpMAD_Dzare,6.9140689900131935
SpMax_Dzare,93.4065945849358
TopoPSA(NO),101.65
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,1.5877711640211638
VSA_EState9,67.3288955026455
nBridgehead,0
nG12FAHRing,1
nG12FaHRing,0
AETA_beta_ns,0.6666666666666666
EState_VSA10,19.802129157825057
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.03827160493827154
FilterItLogS,-4.482978995793025
SpDiam_Dzare,137.99285429284524
ETA_beta_ns_d,1.0
ETA_epsilon_1,0.6589147286821706
ETA_epsilon_2,0.8716049382716046
ETA_epsilon_3,0.44794520547945227
ETA_epsilon_4,0.5806060606060608
ETA_epsilon_5,0.8321839080459768
AETA_beta_ns_d,0.037037037037037035
ETA_dEpsilon_A,0.21096952320271833
ETA_dEpsilon_B,0.07830866807610981
ETA_dEpsilon_C,-0.13266085512660852
ETA_dEpsilon_D,0.03942103022562782
PetitjeanIndex,0.5
TopoShapeIndex,1.0
CDK Descriptors
FMFDescriptor,0.7777777777777778
MDEDescriptor,"0.0,1.4212072702573277,1.7880444125056931,0.4999999999999999,6.369860013694712,23.480299879498304,1.9488175056291732,13.38151621335821,3.0663418468974917,0.0,0.8709129708190518,0.9923366000680728,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.0"
APolDescriptor,52.078687999999985
BCUTDescriptor,"11.9,15.99894487358155,-0.37457200128603246,0.2986041095241375,4.921929142691917,11.50897951702524"
BPolDescriptor,24.623312
TPSADescriptor,101.65
ALOGPDescriptor,"1.8485000000000005,3.416952250000002,90.9877"
XLogPDescriptor,2.502
VAdjMaDescriptor,5.954196310386876
WeightDescriptor,364.10592174
ChiPathDescriptor,"18.92192077295136,12.918870648365743,12.600070370608499,11.924022358616561,9.980109168650518,8.658391247676418,6.882675947323602,5.441729629628423,14.521670942899195,8.719417485865527,6.976169032045595,5.491150342752255,3.9730928037506215,2.8460983555838473,1.85894664888526,1.2590666816942166"
ChiChainDescriptor,"0.0,0.0,0.07856742013183861,0.4290979687239711,1.0464686089804573,0.0,0.0,0.03952847075210474,0.15745876971128525,0.28155680212686013"
AtomCountDescriptor,43
BondCountDescriptor,31
SmallRingDescriptor,"5,3,1,2,0,0,1,4,0,0,0"
ChiClusterDescriptor,"2.540197641034483,0.11785113019775793,1.0127424572228447,0.13144585576580214,1.074260365531261,0.03952847075210474,0.24108347679739586,0.017998965073375083"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,2,9,4,3,1,1,0"
ZagrebIndexDescriptor,160.0
LargestChainDescriptor,13
MannholdLogPDescriptor,2.89
WeightedPathDescriptor,"56.327966429580286,2.086220978873344,20.065516268451454,13.27626843292746,6.789247835523973"
FractionalPSADescriptor,0.2791770029837252
WienerNumbersDescriptor,"1665.0,56.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"7.053944993641345,11.44461552663203,17.476424915027472,2.4388963978101907,3.456314365887014,4.319061626087305"
FractionalCSP3Descriptor,0.25
KierHallSmartsDescriptor,"0,0,0,0,0,0,1,0,3,0,0,5,0,0,0,1,6,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,0
HBondDonorCountDescriptor,2
LargestPiSystemDescriptor,18
PetitjeanNumberDescriptor,0.5
AcidicGroupCountDescriptor,0
KappaShapeIndicesDescriptor,"18.992715920915714,6.768013327780092,2.810283355226121"
AromaticAtomsCountDescriptor,16
AromaticBondsCountDescriptor,17
FragmentComplexityDescriptor,1507.07
HBondAcceptorCountDescriptor,5
HybridizationRatioDescriptor,0.25
AutocorrelationDescriptorMass,"31.59230578025769,33.823461528697614,54.64621389224418,64.21975349479035,54.974309911546115"
PetitjeanShapeIndexDescriptor,"1.0,NaN"
RotatableBondsCountDescriptor,1
AutocorrelationDescriptorCharge,"0.6968133689132167,-0.3524164713624723,0.04684221610809203,0.0013437670879614535,-0.05786458976705132"
EccentricConnectivityIndexDescriptor,554
AutocorrelationDescriptorPolarizability,"2128.6013975999726,2671.780345102254,4186.622949524575,4496.237368709274,3811.6857342487547"
