DLiP-ID,T007OJ
VE1_D,4.527848869871857
VE2_A,0.17487512108936207
VE2_D,0.2156118509462789
VE3_A,2.042776628889876
VE3_D,2.252184308278157
VR1_A,264.41775952786793
VR1_D,111.39773310513783
VR2_A,12.591321882279425
VR2_D,5.304653957387516
VR3_A,6.319467619618589
VR3_D,5.455044322869535
WPath,1008
Xc-3d,1.433619897439064
Xc-4d,0.0
Xc-5d,0.2821175568066727
Xc-6d,0.0
Xp-0d,14.819626477379408
Xp-1d,10.131030293135234
Xp-2d,9.256043178926971
Xp-3d,7.6103439251149965
Xp-4d,6.244817761188124
Xp-5d,4.849693479088133
Xp-6d,2.8757323608168486
Xp-7d,2.0870083802920742
ZMIC0,66.3857751403774
ZMIC1,43.28466851439972
ZMIC2,30.386570419556808
ZMIC3,24.22777189737268
ZMIC4,23.512507207785255
ZMIC5,23.512507207785255
nAcid,0
nAtom,35
nBase,0
nRing,3
piPC1,3.4657359027997265
piPC2,4.04305126783455
piPC3,4.553876891600541
piPC4,5.076735095800779
piPC5,5.551019720103791
piPC6,5.565477803279021
piPC7,5.832798479912372
piPC8,6.005660185560527
piPC9,6.009810844863052
AATS0Z,30.62857142857143
AATS0d,3.5428571428571427
AATS0i,157.66483800584533
AATS0m,121.56064377142859
AATS0p,1.7989539619396002
AATS0s,4.089280815206741
AATS0v,249.36085677602927
AATS1Z,27.945945945945947
AATS1d,4.135135135135135
AATS1i,145.02671041852432
AATS1m,107.35140318918916
AATS1p,1.9695134140540542
AATS1s,3.2363196529863196
AATS1v,286.4457582246519
AATS2Z,25.62295081967213
AATS2d,3.8524590163934427
AATS2i,149.29574947927043
AATS2m,97.44368803278687
AATS2p,1.7479611593671474
AATS2s,3.2815725561627205
AATS2v,249.7575103336057
AATS3Z,21.22972972972973
AATS3d,3.2432432432432434
AATS3i,151.8517379718116
AATS3m,77.7795154054054
AATS3p,1.6205983074242702
AATS3s,2.9673006339673003
AATS3v,218.38294043819917
AATS4Z,18.734177215189874
AATS4d,2.6962025316455698
AATS4i,159.46151394321947
AATS4m,67.72100131645568
AATS4p,1.401669702635291
AATS4s,2.8395843100484455
AATS4v,180.46880576970318
AATS5Z,20.205882352941178
AATS5d,2.588235294117647
AATS5i,161.41958624345992
AATS5m,73.98692858823527
AATS5p,1.4403159229306175
AATS5s,2.6581336238198987
AATS5v,175.5991521716982
AATS6Z,21.403846153846153
AATS6d,2.8076923076923075
AATS6i,158.13820395486871
AATS6m,76.35225059615384
AATS6p,1.6140325767681343
AATS6s,2.7141500474833813
AATS6v,200.68821074379187
AATS7Z,24.065217391304348
AATS7d,3.0652173913043477
AATS7i,152.77404149039177
AATS7m,90.50392869565216
AATS7p,1.6196962719302603
AATS7s,2.906199677938809
AATS7v,215.85769486271735
AATS8Z,16.543478260869566
AATS8d,2.9347826086956523
AATS8i,150.56245906283274
AATS8m,57.70197249999999
AATS8p,1.547175511011891
AATS8s,2.735104669887279
AATS8v,203.02157441154972
AMID_C,1.5840480178965144
AMID_N,0.19319980058746103
AMID_O,0.18043485770972176
AMID_X,0.0
AMID_h,0.45821676795893446
ATS0dv,284.44444444444446
ATS0pe,220.6068
ATS0se,270.557305
ATS1dv,294.66666666666663
ATS1pe,242.1365
ATS1se,288.3814899999999
ATS2dv,409.33333333333337
ATS2pe,394.1641
ATS2se,475.49978000000004
ATS3dv,351.33333333333337
ATS3pe,464.60400000000004
ATS3se,566.9316280000002
ATS4dv,283.6666666666667
ATS4pe,489.7585
ATS4se,607.289656
ATS5dv,235.33333333333334
ATS5pe,412.8476999999999
ATS5se,517.719554
ATS6dv,205.33333333333337
ATS6pe,325.80600000000004
ATS6se,404.981986
ATS7dv,200.33333333333331
ATS7pe,283.98310000000004
ATS7se,350.55971000000005
ATS8dv,179.0
ATS8pe,279.88050000000004
ATS8se,345.666892
ATSC0Z,376.68571428571425
ATSC0c,0.7776517767807907
ATSC0d,21.14285714285715
ATSC0i,56.834082597004695
ATSC0m,1711.2314005714284
ATSC0p,10.72507998656017
ATSC0s,40.39463060944543
ATSC0v,1801.0285382146487
ATSC1Z,4.017959183673458
ATSC1c,-0.5306788809160957
ATSC1d,6.306122448979595
ATSC1i,-0.6861874856182305
ATSC1m,22.12591522448994
ATSC1p,0.13433795424718986
ATSC1s,-3.4490151451527096
ATSC1v,66.31853867957116
ATSC2Z,60.43346938775508
ATSC2c,0.28799919206275587
ATSC2d,-4.020408163265302
ATSC2i,-9.599935392787188
ATSC2m,264.77262763265327
ATSC2p,-0.8037575484143558
ATSC2s,8.147596371882084
ATSC2v,-16.990260777041797
ATSC3Z,-123.47836734693878
ATSC3c,-0.12880352818743881
ATSC3d,-10.53061224489796
ATSC3i,-28.520680037219268
ATSC3m,-575.9729512653059
ATSC3p,-5.10469005793019
ATSC3s,-0.40904341983707065
ATSC3v,-873.353728334463
ATSC4Z,0.7379591836734853
ATSC4c,-0.15398153813165685
ATSC4d,-2.2653061224489814
ATSC4i,-8.121724966262915
ATSC4m,-13.120350204081653
ATSC4p,0.9879476623702421
ATSC4s,-12.395558355029253
ATSC4v,-271.4259434278292
ATSC5Z,81.81061224489797
ATSC5c,0.3402857282163022
ATSC5d,3.83673469387755
ATSC5i,11.112953691772727
ATSC5m,403.0007536326529
ATSC5p,3.2646233129267523
ATSC5s,8.794899918815261
ATSC5v,565.4245342194528
ATSC6Z,-216.2473469387755
ATSC6c,-0.43113470538055226
ATSC6d,2.2448979591836724
ATSC6i,15.333173181066973
ATSC6m,-949.0450845918366
ATSC6p,-0.9540923739536553
ATSC6s,-8.621130987374372
ATSC6v,-31.76848419796769
ATSC7Z,108.72734693877551
ATSC7c,0.3601559463460427
ATSC7d,-1.5306122448979584
ATSC7i,6.152405405121929
ATSC7m,481.34403444897964
ATSC7p,-0.6254741675229109
ATSC7s,6.260942862741803
ATSC7v,179.82435821742243
ATSC8Z,-161.5012244897959
ATSC8c,-0.21668940142679358
ATSC8d,1.0408163265306123
ATSC8i,-7.075098539397175
ATSC8m,-745.4934556938774
ATSC8p,-3.5744067640568824
ATSC8s,-7.447091626774165
ATSC8v,-653.5492070130267
AXp-0d,0.7056964989228289
AXp-1d,0.4404795779624015
AXp-2d,0.28925134934146784
AXp-3d,0.18561814451499992
AXp-4d,0.12009264925361778
AXp-5d,0.08082822465146888
AXp-6d,0.05135236358601515
AXp-7d,0.03366142548858184
GATS1Z,0.5952341905011809
GATS1c,1.7002494906802363
GATS1d,0.7605916727538347
GATS1i,1.0324556871839243
GATS1m,0.60582210779959
GATS1p,0.7507747207313783
GATS1s,0.620194196616404
GATS1v,0.7959074046547912
GATS2Z,0.6296069254337101
GATS2c,0.8322252466132212
GATS2d,1.265396544085068
GATS2i,1.0794363390671284
GATS2m,0.6432011300777837
GATS2p,0.8633223413773186
GATS2s,0.5542930503725505
GATS2v,0.8825307585496315
GATS3Z,1.025803184859617
GATS3c,1.0202092675141785
GATS3d,1.2495434623812998
GATS3i,1.2538656618250081
GATS3m,1.031004046183819
GATS3p,1.1393650664263584
GATS3s,0.7226133403827213
GATS3v,1.150290278874497
GATS4Z,0.9620214759739462
GATS4c,1.152120157441693
GATS4d,0.9465446459117343
GATS4i,1.062802763148052
GATS4m,0.9696647215731224
GATS4p,0.8981243564984996
GATS4s,1.1895052655427159
GATS4v,1.026926721964058
GATS5Z,1.2802449939320388
GATS5c,0.8054499973091979
GATS5d,0.886824324324324
GATS5i,0.9672878618371952
GATS5m,1.241344804122143
GATS5p,1.079765683674818
GATS5s,0.7201053999877749
GATS5v,0.887920137718197
GATS6Z,2.0360781133308437
GATS6c,1.4991855317119192
GATS6d,0.9122920997920995
GATS6i,0.9796141244154578
GATS6m,1.9623526403007683
GATS6p,1.4803320455566484
GATS6s,1.1181398133340876
GATS6v,1.0212157774742638
GATS7Z,0.8996659323554242
GATS7c,0.5012665152436047
GATS7d,1.083725029377203
GATS7i,0.9021389676109691
GATS7m,0.8900148993343693
GATS7p,1.140654472854882
GATS7s,0.664981023089815
GATS7v,0.9260965644880421
GATS8Z,1.1557322446179823
GATS8c,0.8429012357567975
GATS8d,0.8215334900117507
GATS8i,1.002147665564815
GATS8m,1.1686102177811108
GATS8p,1.1727623730407024
GATS8s,0.904803146643419
GATS8v,1.2517932774067815
MATS1Z,0.01009003542377326
MATS1c,-0.6455248364245906
MATS1d,0.2821402483564646
MATS1i,-0.011420898174462948
MATS1m,0.012230911494471673
MATS1p,0.011848531047418152
MATS1s,-0.0807677120656845
MATS1v,0.03483218143072148
MATS2Z,0.09205271168231734
MATS2c,0.21249284448735306
MATS2d,-0.10910500664599011
MATS2i,-0.09691648742984199
MATS2m,0.08877742701665241
MATS2p,-0.042999433516785666
MATS2s,0.11572949936114227
MATS2v,-0.00541274614758347
MATS3Z,-0.15504153273419052
MATS3c,-0.078339160888195
MATS3d,-0.23557341124908682
MATS3i,-0.23734896759159532
MATS3m,-0.15919509133656642
MATS3p,-0.22511537777157206
MATS3s,-0.004789410855761934
MATS3v,-0.22935378345356938
MATS4Z,0.0008679488755069624
MATS4c,-0.08772521433039351
MATS4d,-0.04746835443037977
MATS4i,-0.06331117554063477
MATS4m,-0.0033968599335040843
MATS4p,0.04081072886900083
MATS4s,-0.1359513129796941
MATS4v,-0.06676851460224001
MATS5Z,0.11178656838949175
MATS5c,0.22522557168033902
MATS5d,0.09340222575516688
MATS5i,0.10064212131353573
MATS5m,0.12121496743113129
MATS5p,0.15667210174055507
MATS5s,0.11206407026435654
MATS5v,0.16158951821936052
MATS6Z,-0.3863993068521285
MATS6c,-0.37315779323554166
MATS6d,0.07146569646569641
MATS6i,0.18158831029080544
MATS6m,-0.3732869471569098
MATS6p,-0.05987624896006463
MATS6s,-0.143649891851424
MATS6v,-0.011872456844011172
MATS7Z,0.21961897161249477
MATS7c,0.3523835558393091
MATS7d,-0.05508225616921265
MATS7i,0.08236568290948293
MATS7m,0.2140213334613205
MATS7p,-0.04437302644774985
MATS7s,0.1179305467571569
MATS7v,0.07596930217886415
MATS8Z,-0.32621721981848883
MATS8c,-0.21201310866071157
MATS8d,0.03745593419506462
MATS8i,-0.0947182905671647
MATS8m,-0.33147082347647383
MATS8p,-0.2535792109603028
MATS8s,-0.14027273631938594
MATS8v,-0.27610095589107636
MAXssO,4.9794725897832866
MINssO,4.9794725897832866
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,27.20568843346754
SpAD_D,197.25461027376016
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.34757257281292264
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,533
TMWC10,117.32108885571498
TSRW10,68.73984018947617
VE1_Dt,4.52407454399
VE2_Dt,0.21543212114238097
VE3_Dt,2.25135038029887
VR1_Dt,111.30973964485891
VR2_Dt,5.300463792612329
VR3_Dt,5.454254107222333
Xc-3dv,0.6688303161347272
Xc-4dv,0.0
Xc-5dv,0.08315757982422335
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.3836825234302024
Xch-7d,0.5493591717818807
Xp-0dv,12.289800117833245
Xp-1dv,6.9782333922499555
Xp-2dv,5.250352642448996
Xp-3dv,3.5438069693616097
Xp-4dv,2.4167613964791608
Xp-5dv,1.5361711416595798
Xp-6dv,0.7285525893032654
Xp-7dv,0.4288157029693729
Xpc-4d,3.13448698344748
Xpc-5d,4.775818906112332
Xpc-6d,6.577990385906476
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,37
nFRing,1
nHBAcc,3
nHBDon,2
nHRing,1
nSpiro,0
naRing,2
piPC10,6.215045502746971
AATS0dv,8.126984126984127
AATS0pe,6.303051428571428
AATS0se,7.730208714285713
AATS1dv,7.9639639639639626
AATS1pe,6.5442297297297305
AATS1se,7.794094324324322
AATS2dv,6.7103825136612025
AATS2pe,6.46170655737705
AATS2se,7.795078360655738
AATS3dv,4.7477477477477485
AATS3pe,6.278432432432433
AATS3se,7.661238216216218
AATS4dv,3.5907172995780594
AATS4pe,6.199474683544304
AATS4se,7.687210835443039
AATS5dv,3.4607843137254903
AATS5pe,6.071289705882352
AATS5se,7.613522852941177
AATS6dv,3.9487179487179493
AATS6pe,6.265500000000001
AATS6se,7.788115115384615
AATS7dv,4.355072463768115
AATS7pe,6.173545652173914
AATS7se,7.620863260869567
AATS8dv,3.891304347826087
AATS8pe,6.084358695652175
AATS8se,7.5144976521739135
AATSC0Z,10.762448979591836
AATSC0c,0.022218622193736878
AATSC0d,0.6040816326530614
AATSC0i,1.6238309313429913
AATSC0m,48.89232573061224
AATSC0p,0.306430856758862
AATSC0s,1.1541323031270123
AATSC0v,51.45795823470425
AATSC1Z,0.108593491450634
AATSC1c,-0.014342672457191777
AATSC1d,0.17043574186431337
AATSC1i,-0.018545607719411637
AATSC1m,0.5979977087699984
AATSC1p,0.0036307555201943206
AATSC1s,-0.09321662554466782
AATSC1v,1.792392937285707
AATSC2Z,0.9907126129140177
AATSC2c,0.0047212982305369815
AATSC2d,-0.06590833054533282
AATSC2i,-0.1573759900456916
AATSC2m,4.340534879223824
AATSC2p,-0.013176353252694357
AATSC2s,0.13356715363741123
AATSC2v,-0.2785288651974065
AATSC3Z,-1.668626585769443
AATSC3c,-0.0017405882187491732
AATSC3d,-0.14230557087699944
AATSC3i,-0.38541459509755766
AATSC3m,-7.783418260341972
AATSC3p,-0.0689822980801377
AATSC3s,-0.005527613781582036
AATSC3v,-11.802077409925175
AATSC4Z,0.009341255489537788
AATSC4c,-0.0019491333940716057
AATSC4d,-0.028674761043657994
AATSC4i,-0.10280664514256856
AATSC4m,-0.16608038233014752
AATSC4p,0.012505666612281545
AATSC4s,-0.15690580196239562
AATSC4v,-3.435771435795307
AATSC5Z,1.2030972388955583
