DLiP-ID,T006ZX
ATSC5v,208.53084915202245
ATSC6Z,147.4375
ATSC6c,0.4758624607798301
ATSC6d,6.687499999999999
ATSC6i,50.73678361067992
ATSC6m,683.917110703125
ATSC6p,5.8303610542328945
ATSC6s,8.444636899148371
ATSC6v,958.7357131517288
ATSC7Z,34.15625
ATSC7c,-0.5822316933044729
ATSC7d,-7.579861111111111
ATSC7i,11.454778691263295
ATSC7m,115.26735747656261
ATSC7p,-1.6126496167200808
ATSC7s,-12.012225041318972
ATSC7v,-328.19834141734873
ATSC8Z,61.859375
ATSC8c,0.35466696257870645
ATSC8d,-3.696180555555556
ATSC8i,-13.54021985215985
ATSC8m,264.9821044023439
ATSC8p,-2.6092890655642793
ATSC8s,100.9269496346189
ATSC8v,-508.891004584301
AXp-0d,0.7296180192710583
AXp-1d,0.4422720071279426
AXp-2d,0.2970356947829414
AXp-3d,0.1926688758153641
AXp-4d,0.12380529619054464
AXp-5d,0.07728530401389862
AXp-6d,0.05220068009258817
AXp-7d,0.03389867320381769
GATS1Z,0.8121055354371444
GATS1c,1.5801628315858984
GATS1d,0.9423095823095823
GATS1i,1.1468054944855097
GATS1m,0.7975829484273562
GATS1p,1.162879492762415
GATS1s,0.8468492829600429
GATS1v,0.8618956621296973
GATS2Z,0.7580056906363166
GATS2c,0.5678809210183404
GATS2d,1.351105651105651
GATS2i,1.1094803286867858
GATS2m,0.7492302243039617
GATS2p,0.9723007406012488
GATS2s,0.4969732224783117
GATS2v,0.8832531717095287
GATS3Z,1.0941541645111226
GATS3c,0.9087818999079872
GATS3d,1.247174447174447
GATS3i,1.4366439940833533
GATS3m,1.0855127128858462
GATS3p,1.2860369072040205
GATS3s,0.8812608499525147
GATS3v,1.1591303395671029
GATS4Z,1.3064135009297968
GATS4c,1.1483260214460342
GATS4d,0.9612856099342585
GATS4i,1.0594074859288782
GATS4m,1.296043860044604
GATS4p,1.0247466543741488
GATS4s,1.3113607896717565
GATS4v,1.0414164516603195
GATS5Z,1.0578076916923111
GATS5c,0.8724623784447193
GATS5d,0.8000202639377896
GATS5i,0.9883572644197854
GATS5m,1.0562470261736125
GATS5p,0.9481344174198086
GATS5s,1.0501312159425062
GATS5v,0.9525023503443025
GATS6Z,0.7184366762742345
GATS6c,0.3847234723193887
GATS6d,0.7176202176202177
GATS6i,0.6296725589605625
GATS6m,0.7287053801858381
GATS6p,0.6391403266389115
GATS6s,0.718267698448424
GATS6v,0.7634788046042518
GATS7Z,0.8358943527075964
GATS7c,0.9250507954133782
GATS7d,1.0767647254133739
GATS7i,0.926164030129991
GATS7m,0.8499445653757691
GATS7p,1.0689712553772353
GATS7s,0.7109812435337952
GATS7v,1.0910508589890862
GATS8Z,0.8543943630612874
GATS8c,0.534240721807801
GATS8d,1.0349267564457436
GATS8i,1.0374389768913042
GATS8m,0.8628685866192398
GATS8p,1.1216345980539681
GATS8s,0.41064014496306644
GATS8v,1.1651519213651804
MATS1Z,0.16569063631660633
MATS1c,-0.6517604333400735
MATS1d,0.2501228501228501
MATS1i,0.008392851188653076
MATS1m,0.15567478275355523
MATS1p,-0.011493035059002192
MATS1s,-0.21691328110876892
MATS1v,0.05627719570145894
MATS2Z,0.11531298499741334
MATS2c,0.19394195016416366
MATS2d,-0.17002457002456992
MATS2i,-0.023711874385357413
MATS2m,0.11838132140550307
MATS2p,0.037338270042878416
MATS2s,0.2489501590955599
MATS2v,0.04727887401464294
MATS3Z,-0.11565442317640973
MATS3c,-0.03519924723654212
MATS3d,-0.2133660933660933
MATS3i,-0.3543443609268176
MATS3m,-0.11892753013564059
MATS3p,-0.2481047542818663
MATS3s,-0.05249791545265488
MATS3v,-0.23286266702170783
MATS4Z,-0.21779617175375066
MATS4c,-0.03247590364191611
MATS4d,-0.02198021116940037
MATS4i,-0.04418890107561328
MATS4m,-0.2166614996120563
MATS4p,-0.026981874860155308
MATS4s,-0.1473331667582862
MATS4v,-0.11260537937593218
MATS5Z,-0.04183977685452344
MATS5c,-0.07268240697528777
MATS5d,0.10580308518452845
MATS5i,0.00030915451473395665
MATS5m,-0.03862325347693527
MATS5p,0.01835359417961734
MATS5s,-0.11108457791080986
MATS5v,0.04556123512155743
MATS6Z,0.1743404035178479
MATS6c,0.2077158029903045
MATS6d,0.11267111267111264
MATS6i,0.3672826736841627
MATS6m,0.17704922532541673
MATS6p,0.25161169074982653
MATS6s,0.036625105991163205
MATS6v,0.24188922920955802
MATS7Z,0.045846674403322095
MATS7c,-0.2884904899760206
MATS7d,-0.1449631449631449
MATS7i,0.0941264714169967
MATS7m,0.03387228266133444
MATS7p,-0.07899924671012203
MATS7s,-0.05913831357477273
MATS7v,-0.09399431206596648
MATS8Z,0.07777639531914057
MATS8c,0.16461182245909445
MATS8d,-0.06621466115137001
MATS8i,-0.10422104413787651
MATS8m,0.07293891540044428
MATS8p,-0.11973186717111582
MATS8s,0.465433085358532
MATS8v,-0.13651947021803632
MAXaaN,3.789089098293019
MAXdsN,4.112161265075816
MAXsOH,9.80071914606824
MINaaN,3.789089098293019
MINdsN,4.0819183893892514
MINsOH,8.861565778864254
NddssS,1
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,9
SM1_Dt,0.0
SddssS,-3.9062867373444106
SdssSe,0
SdsssP,0
SpAD_A,37.38807835324595
SpAD_D,413.4444315231204
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,738
TMWC10,138.33720612107226
TSRW10,65.66884861505596
VE1_Dt,5.403602113395
VE2_Dt,0.1801200704465
VE3_Dt,2.785678077890128
VR1_Dt,187.39733617329102
VR2_Dt,6.2465778724430345
VR3_Dt,6.331843443714471
Xc-3dv,1.345422925225044
Xc-4dv,0.05103103630798288
Xc-5dv,0.1971182621283668
Xc-6dv,0.017010345435994292
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.2222222222222222
Xch-7d,0.4135806960294794
Xp-0dv,16.8817101429896
Xp-1dv,10.180528375663519
Xp-2dv,8.147242144200929
Xp-3dv,5.523784754495948
Xp-4dv,3.5838526797151764
Xp-5dv,2.2367479408038284
Xp-6dv,1.3654600854207641
Xp-7dv,0.757194660787448
Xpc-4d,5.937317450217958
Xpc-5d,7.803397084390701
Xpc-6d,10.203025545730082
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,50
nFRing,0
nHBAcc,7
nHBDon,3
nHRing,1
nSpiro,0
naRing,3
piPC10,7.5358971628150675
AATS0dv,9.925925925925926
AATS0pe,6.66585
AATS0se,8.084409270833332
AATS1dv,8.166666666666668
AATS1pe,6.7202340000000005
AATS1se,8.011734240000001
AATS2dv,8.320833333333333
AATS2pe,6.675399999999999
AATS2se,7.996513625
AATS3dv,6.073333333333332
AATS3pe,6.650256999999999
AATS3se,8.02496612
AATS4dv,5.132132132132131
AATS4pe,6.70180990990991
AATS4se,8.19542282882883
AATS5dv,4.793814432989691
AATS5pe,6.4093896907216505
AATS5se,7.9038930309278355
AATS6dv,5.273809523809524
AATS6pe,6.3624261904761905
AATS6se,7.825441190476191
AATS7dv,5.324324324324325
AATS7pe,6.382056756756756
AATS7se,7.782470351351351
AATS8dv,6.0
AATS8pe,6.382544303797468
AATS8se,7.822940405063291
AATSC0Z,10.067708333333334
AATSC0c,0.027272981705982195
AATSC0d,0.7065972222222223
AATSC0i,1.644535318368914
AATSC0m,45.98647833984376
AATSC0p,0.27585785049412326
AATSC0s,2.7448764702765396
AATSC0v,47.184905388141374
AATSC1Z,1.668125
AATSC1c,-0.017775450375166854
AATSC1d,0.17673611111111115
AATSC1i,0.013802340201554504
AATSC1m,7.15893502515625
AATSC1p,-0.003170443947029944
AATSC1s,-0.5954001614059404
AATSC1v,2.6554341546832565
AATSC2Z,1.1609375
AATSC2c,0.005289375258849746
AATSC2d,-0.12013888888888884
AATSC2i,-0.03899501489144745
AATSC2m,5.4439400726562495
AATSC2p,0.010300054915197554
AATSC2s,0.6833374339730034
AATSC2v,2.2308491972387827
AATSC3Z,-1.164375
AATSC3c,-0.0009599884259465577
AATSC3d,-0.15076388888888886
AATSC3i,-0.5827318164090133
AATSC3m,-5.469058288593751
AATSC3p,-0.06844164421356826
AATSC3s,-0.14410029286455953
AATSC3v,-10.987602911849551
AATSC4Z,-2.1927083333333335
AATSC4c,-0.0008857147259112187
AATSC4d,-0.015531156156156165
AATSC4i,-0.07267020849875615
AATSC4m,-9.963499358987894
AATSC4p,-0.007443162001223865
AATSC4s,-0.4044113427261495
AATSC4v,-5.313274172049126
AATSC5Z,-0.4212306701030928
AATSC5c,-0.001982265955783776
AATSC5d,0.07476016609392896
AATSC5i,0.0005084155183131945
