DLiP-ID,T0056L
SIC3,0.8029878041606705
SIC4,0.864557436324966
SIC5,0.864557436324966
SaaN,4.11473076105778
SaaO,0
SaaS,0
Sare,60.67200000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,8.662448271631396
SsSH,0
SssO,5.219877600054739
SssS,0
StCH,0
StsC,0
TIC0,95.05267563396572
TIC1,196.9039057046454
TIC2,266.5568123098584
TIC3,296.4311152907856
TIC4,319.16017124398616
TIC5,319.16017124398616
Vabc,394.7079535397678
WPol,45
apol,65.68537599999998
bpol,41.84462400000003
nRot,5
ABCGG,16.71306794538916
ATS0Z,1276.0
ATS0d,190.0
ATS0i,10293.60609320597
ATS0m,5014.980910000003
ATS0p,82.99622895516798
ATS0s,256.1736111111111
ATS0v,12150.871461019186
ATS1Z,1508.0
ATS1d,248.0
ATS1i,9654.445539931057
ATS1m,5655.375569000004
ATS1p,109.36964159600006
ATS1s,180.08333333333334
ATS1v,15883.397770681862
ATS2Z,2264.0
ATS2d,418.0
ATS2i,19548.021699683948
ATS2m,8223.101782
ATS2p,174.84485416703703
ATS2s,335.875
ATS2v,24425.669886431067
ATS3Z,2486.0
ATS3d,492.0
ATS3i,28152.804591679786
ATS3m,8594.172761
ATS3p,220.391407181772
ATS3s,421.4166666666665
ATS3v,28894.80443949945
ATS4Z,2310.0
ATS4d,489.0
ATS4i,34137.3460480085
ATS4m,7716.057723
ATS4p,219.62546309894
ATS4s,447.19444444444434
ATS4v,27747.985737519877
ATS5Z,2075.0
ATS5d,447.0
ATS5i,31660.468221342846
ATS5m,6924.200320000001
ATS5p,200.49173775694004
ATS5s,413.58333333333337
ATS5v,25388.75883379531
ATS6Z,1973.0
ATS6d,403.0
ATS6i,26874.549817385512
ATS6m,6726.219738999998
ATS6p,189.10644693105394
ATS6s,355.6666666666666
ATS6v,23926.64278669273
ATS7Z,1876.0
ATS7d,377.0
ATS7i,27820.654348959997
ATS7m,6301.865323
ATS7p,168.93023274099698
ATS7s,424.19444444444434
ATS7v,21454.615823322318
ATS8Z,1548.0
ATS8d,315.0
ATS8i,22325.82967441687
ATS8m,5214.1453379999975
ATS8p,139.96174995396
ATS8s,320.77777777777777
ATS8v,17816.166045457896
C1SP1,0
C1SP2,3
C1SP3,8
C2SP1,0
C2SP2,3
C2SP3,5
C3SP2,0
C3SP3,1
C4SP3,1
FCSP3,0.6818181818181818
GGI10,0.13692276298336903
JGI10,0.005705115124307044
JGT10,0.43133908967075796
Kier1,23.168044077134986
Kier2,10.744801512287335
Kier3,6.081011203677105
MAXdO,12.977823825938904
MID_C,45.70709907750956
MID_N,8.714073916349074
MID_O,7.171131751066628
MID_X,0.0
MID_h,15.885205667415702
MINdO,10.552200165349648
MPC10,160
MWC01,33.0
MWC02,5.0689042022202315
MWC03,5.910796644040527
MWC04,6.785587645007929
MWC05,7.64826303090192
MWC06,8.531293315795018
MWC07,9.405166749908611
MWC08,10.293872863209199
MWC09,11.175226476196194
MWC10,12.068033967481766
NaaCH,4
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,1
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,3
NsssP,0
SLogP,2.3071
SRW02,4.204692619390966
SRW03,0.0
SRW04,5.5254529391317835
SRW05,2.3978952727983707
SRW06,7.039660349862076
SRW07,4.727387818712341
SRW08,8.636752426473876
SRW09,6.842683282238422
SRW10,10.278733974060291
SaaCH,7.855295179569051
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.2459131414328946
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.7681617938745955
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,6.446009576466221
SsssP,0
VE1_A,4.211001018586355
VE1_D,5.374110816552468
VE2_A,0.14036670061954518
VE2_D,0.1791370272184156
VE3_A,2.5363126797349183
VE3_D,2.78020541951826
VR1_A,1279.474349830676
VR1_D,194.5410484220302
VR2_A,42.649144994355865
VR2_D,6.484701614067673
VR3_A,8.252816897041354
VR3_D,6.369255475331184
WPath,2991
Xc-3d,2.178595973278884
Xc-4d,0.125
Xc-5d,0.2757834230632086
Xc-6d,0.0
Xp-0d,20.976480726871777
Xp-1d,14.54524385550833
Xp-2d,13.203071819989683
Xp-3d,10.920471859282335
Xp-4d,8.694605907981803
Xp-5d,6.959404236637384
Xp-6d,5.004297854426023
Xp-7d,3.641251007614967
ZMIC0,101.07904518015782
ZMIC1,52.05293601571866
ZMIC2,39.171868740655626
ZMIC3,31.150448001440928
ZMIC4,27.756206168188204
ZMIC5,27.756206168188204
nAcid,1
nAtom,62
nBase,0
nRing,4
piPC1,3.6635616461296463
piPC2,4.085976312551584
piPC3,4.427836170705175
piPC4,4.754667197134003
piPC5,5.113116669003238
piPC6,5.147131038684793
piPC7,5.354815840453299
piPC8,5.506854765472884
piPC9,5.744604469176457
AATS0Z,20.580645161290324
AATS0d,3.064516129032258
AATS0i,166.02590472912854
AATS0m,80.88678887096779
AATS0p,1.3386488541156125
AATS0s,4.131832437275985
AATS0v,195.98179775837397
AATS1Z,23.2
AATS1d,3.8153846153846156
AATS1i,148.52993138355473
AATS1m,87.00577798461545
AATS1p,1.6826098707076933
AATS1s,2.7705128205128204
AATS1v,244.3599657027979
AATS2Z,18.40650406504065
AATS2d,3.3983739837398375
AATS2i,158.92700568848738
AATS2m,66.85448603252033
AATS2p,1.4215028794068052
AATS2s,2.730691056910569
AATS2v,198.5826820035046
AATS3Z,14.125
AATS3d,2.7954545454545454
AATS3i,159.9591169981806
AATS3m,48.830527051136364
AATS3p,1.2522239044418864
AATS3s,2.394412878787878
AATS3v,164.1750252244287
AATS4Z,11.21359223300971
AATS4d,2.3737864077669903
AATS4i,165.71527207771115
AATS4m,37.45659088834952
AATS4p,1.066143024752136
AATS4s,2.1708468176914772
AATS4v,134.6989598908732
AATS5Z,10.97883597883598
AATS5d,2.365079365079365
AATS5i,167.51570487482988
AATS5m,36.635980529100536
AATS5p,1.060802845274815
AATS5s,2.1882716049382718
AATS5v,134.33205732166832
AATS6Z,11.885542168674698
AATS6d,2.427710843373494
AATS6i,161.894878417985
AATS6m,40.51939601807228
AATS6p,1.139195463440084
AATS6s,2.1425702811244975
AATS6v,144.13640232947427
AATS7Z,11.301204819277109
AATS7d,2.2710843373493974
AATS7i,167.59430330698794
AATS7m,37.96304411445783
AATS7p,1.0176520044638373
AATS7s,2.5553882195448456
AATS7v,129.24467363447178
AATS8Z,11.552238805970148
AATS8d,2.3507462686567164
AATS8i,166.6106692120662
AATS8m,38.91153237313431
AATS8p,1.044490671298209
AATS8s,2.3938640132669984
AATS8v,132.9564630258052
AMID_C,1.5235699692503186
AMID_N,0.29046913054496915
AMID_O,0.2390377250355543
AMID_X,0.0
AMID_h,0.5295068555805235
ATS0dv,394.0
ATS0pe,382.2357999999999
ATS0se,475.0956079999998
ATS1dv,362.0
ATS1pe,421.15250000000003
ATS1se,504.95391599999965
ATS2dv,487.0
ATS2pe,781.5523999999996
ATS2se,954.4119759999998
ATS3dv,443.0
ATS3pe,1070.8262
ATS3se,1331.0494439999993
ATS4dv,357.0
ATS4pe,1218.0321
ATS4se,1540.4687320000003
ATS5dv,351.0
ATS5pe,1118.9716999999998
ATS5se,1417.9806480000004
ATS6dv,330.0
ATS6pe,968.6495
ATS6se,1222.943852
ATS7dv,357.0
ATS7pe,991.1343999999999
ATS7se,1254.6232040000002
ATS8dv,299.0
ATS8pe,799.3332
ATS8se,1009.6918959999999
ATSC0Z,466.7096774193548
ATSC0c,1.3195561279563406
ATSC0d,35.09677419354841
ATSC0i,87.20313465981667
ATSC0m,2216.745805419355
ATSC0p,13.406412499339352
ATSC0s,96.22457437275983
ATSC0v,3020.289633438295
ATSC1Z,33.3527575442248
ATSC1c,-0.7416381081094539
ATSC1d,8.914672216441222
ATSC1i,-30.476930712200797
ATSC1m,156.33314967325722
ATSC1p,-1.5069291494276444
ATSC1s,0.300961455081512
ATSC1v,-91.56897299154498
ATSC2Z,-25.182101977107166
ATSC2c,0.10419786282183356
ATSC2d,-12.853277835587924
ATSC2i,16.472761732715647
ATSC2m,-119.79421955775211
ATSC2p,1.261650025066087
ATSC2s,27.049657113539133
ATSC2v,38.04516426896816
ATSC3Z,-180.78876170655568
ATSC3c,0.08701702932941707
ATSC3d,-16.661810613943807
ATSC3i,-33.13222370785861
ATSC3m,-876.4489706097813
ATSC3p,-6.043431698774297
ATSC3s,9.465321135391381
ATSC3v,-1492.884948560861
ATSC4Z,-77.19667013527575
ATSC4c,-0.15705296528201182
ATSC4d,-0.0312174817898031
ATSC4i,-11.677389540954866
ATSC4m,-362.90419387721124
ATSC4p,-1.8180050285186309
ATSC4s,-17.0614666435426
ATSC4v,-407.933483575228
ATSC5Z,-49.96982310093648
ATSC5c,0.0101920206965152
ATSC5d,2.4308012486992703
ATSC5i,45.03034657315932
ATSC5m,-213.392620649324
ATSC5p,5.242533557211448
ATSC5s,-31.219199835241078
ATSC5v,671.3143754619587
ATSC6Z,6.648283038501549
ATSC6c,-0.092751721645765
ATSC6d,-2.613943808532777
ATSC6i,-36.78741211727717
ATSC6m,16.68897161914674
ATSC6p,-4.6728961298682705
ATSC6s,-0.8368308474968106
ATSC6v,-622.0270137759271
ATSC7Z,3.5837669094693023
ATSC7c,0.2322187513462517
ATSC7d,2.9989594172736718
ATSC7i,6.292731370498964
ATSC7m,16.898117457856273
ATSC7p,0.8966722127384684
ATSC7s,-17.570589808070302
ATSC7v,65.79607454353925
ATSC8Z,-19.53381893860561
ATSC8c,0.07664071618409304
ATSC8d,3.306971904266387
ATSC8i,-14.262392995239964
ATSC8m,-93.25210177731535
ATSC8p,-0.9145198155210572
ATSC8s,-14.948968088796391
ATSC8v,-204.5933585347319
AXp-0d,0.6992160242290593
AXp-1d,0.44076496531843423
AXp-2d,0.2870233004345583
AXp-3d,0.1850927433776667
AXp-4d,0.11749467443218653
AXp-5d,0.07403621528337642
AXp-6d,0.04811824860025022
AXp-7d,0.030858059386567518
GATS1Z,0.8596185746793986
GATS1c,1.5848189388909546
GATS1d,0.9893523755656102
GATS1i,1.6958694418725957
GATS1m,0.8681068785410395
GATS1p,1.3495640925961327
GATS1s,0.6031852018528666
GATS1v,1.1663700221124647
GATS2Z,0.9978000229269641
GATS2c,1.0631294870814119
GATS2d,1.6885947214251542
GATS2i,1.122717082249495
GATS2m,1.000595347244708
GATS2p,1.025360055683563
GATS2s,0.44359610536122346
GATS2v,1.0249142023389068
GATS3Z,1.0797787279764748
GATS3c,0.8558232596845975
GATS3d,1.2837880180481276
GATS3i,1.2266606838875125
GATS3m,1.0867773333779223
GATS3p,1.2197874592912175
GATS3s,0.6522933594976437
GATS3v,1.2090721468977748
GATS4Z,1.012942355543268
GATS4c,0.845326790495045
GATS4d,0.8985557360079948
GATS4i,0.9948659250226151
GATS4m,1.0141119544706982
GATS4p,1.0106402801333878
GATS4s,0.8476277345969042
GATS4v,1.023354317720893
GATS5Z,1.012769468983182
GATS5c,0.7943308861550179
GATS5d,0.9563881107998748
GATS5i,0.7679430511843652
GATS5m,1.0095407168053494
GATS5p,0.8158399383514064
GATS5s,1.0187055467019337
GATS5v,0.8916854247491302
GATS6Z,0.9109788615340544
GATS6c,0.7389135100682077
GATS6d,0.9475521571580433
GATS6i,1.1511713644528982
GATS6m,0.919697099813568
GATS6p,1.1714617444798814
GATS6s,0.6680516544774548
GATS6v,1.1139978738203178
GATS7Z,0.9936519647847681
GATS7c,0.8138864020495022
GATS7d,0.9370819675761866
GATS7i,0.8841308306402929
GATS7m,0.9920628521857763
GATS7p,0.910003407402469
GATS7s,1.296853732780295
GATS7v,0.9461436350162777
GATS8Z,1.0017253723090382
GATS8c,0.8878541697131557
GATS8d,0.9144226020632128
GATS8i,1.0179773278720994
GATS8m,1.0017119155077079
GATS8p,0.9812491615673797
GATS8s,1.10434101352049
GATS8v,0.9972081758587333
MATS1Z,0.0681652878501096
MATS1c,-0.5360959204225273
MATS1d,0.24227941176470613
MATS1i,-0.33336305230623886
MATS1m,0.06726877442146868
MATS1p,-0.10721575017709224
MATS1s,0.002983343166303565
MATS1v,-0.028918654599425508
MATS2Z,-0.027197673137914664
MATS2c,0.039803157172493386
MATS2d,-0.1846006695361069
MATS2i,0.0952184040724853
MATS2m,-0.02723996499889117
MATS2p,0.04743652869124103
MATS2s,0.14169755077010274
MATS2v,0.0063494696208844965
MATS3Z,-0.136459459119813
MATS3c,0.023230331466475428
MATS3d,-0.1672376336898394
MATS3i,-0.1338435694050313
MATS3m,-0.13928032182908504
MATS3p,-0.1587998405030864
MATS3s,0.03465200560887527
MATS3v,-0.17412325179398527
MATS4Z,-0.04978244589331394
MATS4c,-0.03582141539131058
MATS4d,-0.00026770416904626604
MATS4i,-0.04030307106958802
MATS4m,-0.04927204195670677
MATS4p,-0.04081379429495393
MATS4s,-0.053364793320804044
MATS4v,-0.040650438169600775
MATS5Z,-0.03512294236651436
MATS5c,0.002533741555896179
MATS5d,0.022720199190787396
MATS5i,0.16939597160168313
MATS5m,-0.031578637430472074
MATS5p,0.12827987450277387
MATS5s,-0.1064303901610224
MATS5v,0.07291338159649434
MATS6Z,0.005320424634673603
MATS6c,-0.026252925931263073
MATS6d,-0.027817150956768216
MATS6i,-0.15756173064748794
MATS6m,0.0028118832337650558
MATS6p,-0.13018386198508503
MATS6s,-0.0032481440674353873
MATS6v,-0.07692088199837534
MATS7Z,0.0028679828520607174
MATS7c,0.06572839372434336
MATS7d,0.03191442239546417
MATS7i,0.026951981348258564
MATS7m,0.0028471216948697748
MATS7p,0.024980707540849252
MATS7s,-0.06819993218120672
MATS7v,0.008136450626472386
MATS8Z,-0.01936543437086064
MATS8c,0.026873150088084333
MATS8d,0.043596356453028916
MATS8i,-0.07567408763752675
MATS8m,-0.019463889250047956
MATS8p,-0.031562212043520804
MATS8s,-0.07188066845437877
MATS8v,-0.031342225486256224
MAXaaN,4.11473076105778
MAXsOH,8.662448271631396
MAXssO,5.219877600054739
MINaaN,4.11473076105778
MINsOH,8.662448271631396
MINssO,5.219877600054739
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,13
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,1
NssssN,0
Radius,10
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,39.311357435565625
SpAD_D,417.2125171067215
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,10.60607109668187
SssNH2,0
SsssAs,0
SsssCH,0.3432254694185122
SsssNH,0
SssssB,0
SssssC,0.32790003960690906
SssssN,0
TMPC10,998
TMWC10,139.8871448947614
TSRW10,79.65325868266812
VE1_Dt,5.406245407832904
VE2_Dt,0.18020818026109678
VE3_Dt,2.78616713094761
VR1_Dt,193.25283538645024
VR2_Dt,6.441761179548341
VR3_Dt,6.362611648144179
Xc-3dv,1.4265512737766173
Xc-4dv,0.125
Xc-5dv,0.07809262867138281
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.10206207261596575
Xch-6d,0.46082732199428766
Xch-7d,0.6294521675034744
Xp-0dv,17.539952350264628
Xp-1dv,11.030318886463004
Xp-2dv,8.985880829534363
Xp-3dv,7.024958675922213
Xp-4dv,5.094652013379768
Xp-5dv,3.844394069847846
Xp-6dv,2.380355968496526
Xp-7dv,1.508635002460384
Xpc-4d,4.6026842968586275
Xpc-5d,6.800058830625078
Xpc-6d,9.404606383574118
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,3
nBonds,65
nFRing,0
nHBAcc,5
nHBDon,1
nHRing,4
nSpiro,1
naRing,1
piPC10,5.894747127606176
AATS0dv,6.354838709677419
AATS0pe,6.1650935483870954
AATS0se,7.662832387096771
AATS1dv,5.569230769230769
AATS1pe,6.479269230769232
AATS1se,7.76852178461538
AATS2dv,3.959349593495935
AATS2pe,6.354084552845525
AATS2se,7.759446959349591
AATS3dv,2.5170454545454546
AATS3pe,6.084239772727273
AATS3se,7.562780931818178
AATS4dv,1.733009708737864
AATS4pe,5.912777184466019
AATS4se,7.47800355339806
AATS5dv,1.8571428571428572
AATS5pe,5.920485185185184
AATS5se,7.502543111111113
AATS6dv,1.9879518072289157
AATS6pe,5.835237951807229
AATS6se,7.367131638554217
AATS7dv,2.1506024096385543
AATS7pe,5.970689156626506
AATS7se,7.557971108433736
AATS8dv,2.2313432835820897
AATS8pe,5.965173134328358
AATS8se,7.535014149253731
AATSC0Z,7.527575442247659
AATSC0c,0.021283163354134525
AATSC0d,0.5660770031217486
AATSC0i,1.406502171932527
AATSC0m,35.75396460353798
AATSC0p,0.21623245966676374
AATSC0s,1.5520092640767715
AATSC0v,48.71434892642411
AATSC1Z,0.5131193468342277
AATSC1c,-0.011409817047837752
AATSC1d,0.13714880332986495
AATSC1i,-0.4688758571107815
AATSC1m,2.4051253795885725
AATSC1p,-0.023183525375809914
AATSC1s,0.0046301762320232615
AATSC1v,-1.4087534306391536
AATSC2Z,-0.20473253639924524
AATSC2c,0.000847137096112468
AATSC2d,-0.10449819378526767
AATSC2i,0.13392489213589956
AATSC2m,-0.9739367443719684
AATSC2p,0.010257317276960056
AATSC2s,0.2199159114921881
AATSC2v,0.3093102786094972
AATSC3Z,-1.0272088733327027
AATSC3c,0.000494414939371688
AATSC3d,-0.09466937848831708
AATSC3i,-0.18825127106737846
AATSC3m,-4.979823696646485
AATSC3p,-0.034337680106672146
AATSC3s,0.053780233723814665
AATSC3v,-8.482300844095802
AATSC4Z,-0.3747411171615328
AATSC4c,-0.0007623930353495719
AATSC4d,-0.00015154117373690826
AATSC4i,-0.05668635699492654
AATSC4m,-1.7616708440641322
AATSC4p,-0.008825267128731218
AATSC4s,-0.0828226536094301
