DLiP-ID,P000AU
ATS3s,157.88888888888894
ATS3v,7769.120047042662
ATS4Z,496.0
ATS4d,89.0
ATS4i,6963.61235265949
ATS4m,1634.7698359999997
ATS4p,46.77459885448999
ATS4s,130.33333333333334
ATS4v,6008.687954076071
ATS5Z,434.0
ATS5d,72.0
ATS5i,5573.417411239285
ATS5m,1553.1222599999996
ATS5p,34.650512387886
ATS5s,105.16666666666666
ATS5v,4596.210034106343
ATS6Z,370.0
ATS6d,47.0
ATS6i,3816.145100429196
ATS6m,1290.65989
ATS6p,22.267469705395996
ATS6s,117.94444444444443
ATS6v,3356.7374881985884
ATS7Z,214.0
ATS7d,25.0
ATS7i,2770.1738966575963
ATS7m,713.6394389999998
ATS7p,12.345712465395998
ATS7s,79.16666666666667
ATS7v,1868.8151168155418
ATS8Z,144.0
ATS8d,12.0
ATS8i,1416.818275127796
ATS8m,540.214434
ATS8p,5.2919482393960005
ATS8s,85.33333333333333
ATS8v,786.5897643934724
C1SP1,0
C1SP2,1
C1SP3,0
C2SP1,0
C2SP2,5
C2SP3,2
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.2222222222222222
GGI10,0.0
JGI10,0.0
JGT10,0.49942720143613006
Kier1,10.083333333333334
Kier2,4.888888888888889
Kier3,4.0
MAXdO,10.190177311665407
MID_C,18.249301698423334
MID_N,0.0
MID_O,5.146739546992631
MID_X,0.0
MID_h,5.146739546992631
MINdO,10.190177311665407
MPC10,0
MWC01,12.0
MWC02,4.007333185232471
MWC03,4.74493212836325
MWC04,5.541263545158426
MWC05,6.3080984415095305
MWC06,7.104144092987527
MWC07,7.88344635413774
MWC08,8.678801706612651
MWC09,9.46397433028839
MWC10,10.259096928959389
NaaCH,4
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,2
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,1.4094
SRW02,3.2188758248682006
SRW03,0.0
SRW04,4.442651256490317
SRW05,0.0
SRW06,5.8377304471659395
SRW07,0.0
SRW08,7.30854279753919
SRW09,0.0
SRW10,8.819517540604888
SaaCH,6.546541950113379
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.1289583333333337
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.8027083333333327
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.154038608402485
VE1_D,3.4117435585496216
VE2_A,0.2628365507002071
VE2_D,0.2843119632124685
VE3_A,1.3310052863513462
VE3_D,1.4095450249088026
VR1_A,51.94582871894562
VR1_D,44.89863636907927
VR2_A,4.328819059912135
VR2_D,3.741553030756606
VR3_A,4.132522976966177
VR3_D,3.986728980681848
WPath,223
Xc-3d,0.9010475702906073
Xc-4d,0.0
Xc-5d,0.0
Xc-6d,0.0
Xp-0d,8.974691494688164
Xp-1d,5.6815405503520555
Xp-2d,5.097094776993208
Xp-3d,3.2876937002347035
Xp-4d,2.1868259774383554
Xp-5d,1.9428090415820627
Xp-6d,0.9985939719271201
Xp-7d,0.4400498496721234
ZMIC0,43.06419749189628
ZMIC1,29.014471199471892
ZMIC2,20.017054751120536
ZMIC3,18.284895859755967
ZMIC4,18.284895859755967
ZMIC5,18.284895859755967
nAcid,1
nAtom,22
nBase,0
nRing,1
piPC1,2.833213344056216
piPC2,3.3141860046725258
piPC3,3.6176519448255684
piPC4,4.0141282283652995
piPC5,4.541298109393681
piPC6,4.22683374526818
piPC7,3.9761708252518977
piPC8,4.2018901887852635
piPC9,3.840795496139778
AATS0Z,23.90909090909091
AATS0d,2.909090909090909
AATS0i,161.21270829363593
AATS0m,94.38371509090906
AATS0p,1.430720047658636
AATS0s,7.265151515151515
AATS0v,216.8937223157427
AATS1Z,24.181818181818183
AATS1d,3.409090909090909
AATS1i,145.29673296138637
AATS1m,91.08998836363638
AATS1p,1.7770913841818177
AATS1s,3.9204545454545454
AATS1v,263.71640064484154
AATS2Z,20.742857142857144
AATS2d,3.1142857142857143
AATS2i,148.36598066409138
AATS2m,76.77785368571429
AATS2p,1.5663596397056574
AATS2s,4.300000000000002
AATS2v,222.56869675120387
AATS3Z,14.521739130434783
AATS3d,2.4565217391304346
AATS3i,157.5890763775966
AATS3m,49.913110869565216
AATS3p,1.2492183443716087
AATS3s,3.432367149758455
AATS3v,168.89391406614482
AATS4Z,11.534883720930232
AATS4d,2.0697674418604652
AATS4i,161.94447331766256
AATS4m,38.01790316279069
AATS4p,1.0877813687090694
AATS4s,3.0310077519379846
AATS4v,139.7369291645598
AATS5Z,12.764705882352942
AATS5d,2.1176470588235294
AATS5i,163.9240415070378
AATS5m,45.68006647058822
AATS5p,1.0191327172907647
AATS5s,3.0931372549019605
AATS5v,135.18264806195128
AATS6Z,16.08695652173913
AATS6d,2.0434782608695654
AATS6i,165.91935219257374
AATS6m,56.11564739130434
AATS6p,0.9681508567563476
AATS6s,5.128019323671497
AATS6v,145.94510818254733
AATS7Z,13.375
AATS7d,1.5625
AATS7i,173.13586854109977
AATS7m,44.60246493749999
AATS7p,0.7716070290872499
AATS7s,4.947916666666667
AATS7v,116.80094480097137
AATS8Z,18.0
AATS8d,1.5
AATS8i,177.1022843909745
AATS8m,67.52680425
AATS8p,0.6614935299245001
AATS8s,10.666666666666666
AATS8v,98.32372054918405
AMID_C,1.520775141535278
AMID_N,0.0
AMID_O,0.4288949622493859
AMID_X,0.0
AMID_h,0.4288949622493859
ATS0dv,178.0
ATS0pe,142.4233
ATS0se,175.1044320000001
ATS1dv,150.0
ATS1pe,144.8545
ATS1se,173.84968800000001
ATS2dv,176.0
ATS2pe,222.60660000000004
ATS2se,270.44671600000004
ATS3dv,126.0
ATS3pe,286.934
ATS3se,356.538896
ATS4dv,108.0
ATS4pe,259.2265
ATS4se,327.050888
ATS5dv,108.0
ATS5pe,198.44750000000002
ATS5se,252.26104800000002
ATS6dv,92.0
ATS6pe,154.40050000000005
ATS6se,191.23422399999998
ATS7dv,64.0
ATS7pe,107.914
ATS7se,135.155412
ATS8dv,55.0
ATS8pe,54.24720000000001
ATS8se,67.812552
ATSC0Z,174.0
ATSC0c,0.8657907832329903
ATSC0d,11.454545454545453
ATSC0i,29.187557803699058
ATSC0m,821.2388694545457
ATSC0p,5.0667755282672715
ATSC0s,67.7878787878788
ATSC0v,1077.0454194107201
ATSC1Z,-12.0
ATSC1c,-0.5614569911539359
ATSC1d,0.8181818181818186
ATSC1i,4.497829519227199
ATSC1m,-52.20654545454571
ATSC1p,0.7444665556363667
ATSC1s,-9.886363636363633
ATSC1v,86.6751766777584
ATSC2Z,-2.0
ATSC2c,0.24042278493237534
ATSC2d,-5.223140495867768
ATSC2i,-7.227258293924723
ATSC2m,-18.883986586777056
ATSC2p,-1.3552202318922024
ATSC2s,23.52685950413223
ATSC2v,-266.61956221241735
ATSC3Z,-92.0
ATSC3c,-0.13098672767381428
ATSC3d,-1.2231404958677685
ATSC3i,-5.829840784202296
ATSC3m,-433.0682674049587
ATSC3p,-1.223102317513024
ATSC3s,-24.9933425160698
ATSC3v,-427.0641155504745
ATSC4Z,-52.0
ATSC4c,-0.06638377348384661
ATSC4d,0.06611570247933862
ATSC4i,-4.879651850523198
ATSC4m,-245.31864757024786
ATSC4p,-0.9418238460769432
ATSC4s,-17.03236914600551
ATSC4v,-271.0770925833813
ATSC5Z,106.0
ATSC5c,0.1870742800127834
ATSC5d,-1.3388429752066118
ATSC5i,-4.096343184337108
ATSC5m,497.52286720661186
ATSC5p,-0.2346582835697861
ATSC5s,16.28236914600551
ATSC5v,329.0062996374078
ATSC6Z,-34.0
ATSC6c,-0.06411893395618296
ATSC6d,-0.06611570247933912
ATSC6i,-4.853946357765288
ATSC6m,-156.44260533884304
ATSC6p,-0.7464036864752407
ATSC6s,-23.098943985307624
ATSC6v,-128.58057644743832
ATSC7Z,-30.0
ATSC7c,-0.3163900617439293
ATSC7d,-0.14876033057851282
ATSC7i,1.206460964913069
ATSC7m,-134.89847769421488
ATSC7p,0.24625166736116333
ATSC7s,-26.73209366391185
ATSC7v,11.729726278848464
ATSC8Z,56.0
ATSC8c,0.5576443989303845
ATSC8d,0.1983471074380164
ATSC8i,2.893627173065449
ATSC8m,255.67305456198352
ATSC8p,0.41543335561789946
ATSC8s,40.39531680440772
ATSC8v,111.67807086654065
AXp-0d,0.7478909578906804
AXp-1d,0.47346171252933794
AXp-2d,0.33980631846621384
AXp-3d,0.2191795800156469
AXp-4d,0.1366766235898972
AXp-5d,0.09714045207910313
AXp-6d,0.07132814085193714
AXp-7d,0.04400498496721234
GATS1Z,0.8503134796238244
GATS1c,1.4967446351894267
GATS1d,1.0833333333333335
GATS1i,0.9878692032969024
GATS1m,0.8518093580883426
GATS1p,0.9747672935986849
GATS1s,0.8554425569959767
GATS1v,0.9178404368047385
GATS2Z,0.8034482758620689
GATS2c,0.46393876139828416
GATS2d,1.5190476190476192
GATS2i,1.2399842027220855
GATS2m,0.819300506132754
GATS2p,1.251052055260939
GATS2s,0.4157577112203843
GATS2v,1.1671062514095345
GATS3Z,1.159670164917541
GATS3c,0.8070175108336923
GATS3d,0.976449275362319
GATS3i,1.0717490189824768
GATS3m,1.1615719599432712
GATS3p,1.0936722025053214
GATS3s,1.0297333871061787
GATS3v,1.154947309199455
GATS4Z,1.096030473135525
GATS4c,0.7761649646976375
GATS4d,0.7248062015503877
GATS4i,1.0085384778866875
GATS4m,1.099066807197235
GATS4p,1.0357773152050664
GATS4s,0.9149608591240344
GATS4v,1.106714779784476
GATS5Z,0.5679513184584178
GATS5c,0.5437400859723364
GATS5d,1.0245098039215688
GATS5i,0.9882108803320476
GATS5m,0.5762199931186697
GATS5p,0.9657158213567678
GATS5s,0.4996121381051302
GATS5v,0.8240028683491496
GATS6Z,1.282983508245877
GATS6c,1.436406617374166
GATS6d,0.9565217391304348
GATS6i,1.033330444398296
GATS6m,1.2648607309677329
GATS6p,0.9840633277309715
GATS6s,1.8740792210063941
GATS6v,0.9531953469481408
GATS7Z,1.4369612068965516
GATS7c,2.3146728633927522
GATS7d,0.8593750000000001
GATS7i,0.7437672604822226
GATS7m,1.4058451512689287
GATS7p,0.698014440181619
GATS7s,2.325844462449709
GATS7v,0.7795530206425849
GATS8Z,0.3771551724137931
GATS8c,0.5064290852284016
GATS8d,0.9166666666666667
GATS8i,0.49166997470956253
GATS8m,0.38697422326841
GATS8p,0.5214092736079993
GATS8s,0.036572418417523476
GATS8v,0.5486857375070486
MATS1Z,-0.06896551724137931
MATS1c,-0.6484903766905127
MATS1d,0.07142857142857147
MATS1i,0.15410092031259878
MATS1m,-0.06357047552951373
MATS1p,0.1469310316754763
MATS1s,-0.1458426464014304
MATS1v,0.0804749503741269
MATS2Z,-0.00722495894909688
MATS2c,0.1745489745475799
MATS2d,-0.28662131519274375
MATS2i,-0.1556433087351774
MATS2m,-0.014453692911366918
MATS2p,-0.16812521344925255
MATS2s,0.21815569321157158
MATS2v,-0.15560108801784855
MATS3Z,-0.25287356321839083
MATS3c,-0.07235677197307644
MATS3d,-0.05106970324361629
MATS3i,-0.09552648226450797
MATS3m,-0.25220385183151806
MATS3p,-0.11545054140992425
MATS3s,-0.17633444118352093
MATS3v,-0.18963736494512917
MATS4Z,-0.152900294039027
MATS4c,-0.03922863553471074
MATS4d,0.0029531192321889904
MATS4i,-0.0855352845842409
MATS4m,-0.15283234984005875
MATS4p,-0.09510256778119411
MATS4s,-0.12855152768970068
MATS4v,-0.1287695049886176
MATS5Z,0.39418526031102097
MATS5c,0.13981214154956936
MATS5d,-0.07563025210084036
MATS5i,-0.09081181164441156
MATS5m,0.3920011255038485
MATS5p,-0.02996732577770662
MATS5s,0.15542086302558575
MATS5v,0.19765780099935057
MATS6Z,-0.18690654672663667
MATS6c,-0.07083830806091289
MATS6d,-0.005521048999309893
MATS6i,-0.15907138387532646
MATS6m,-0.18221343204589852
MATS6p,-0.140908423571869
MATS6s,-0.3259379474321846
MATS6v,-0.11419213561967392
MATS7Z,-0.23706896551724138
MATS7c,-0.5024728182868996
MATS7d,-0.017857142857142908
MATS7i,0.05683530763047372
MATS7m,-0.22586048192378186
MATS7p,0.06682673047830721
MATS7s,-0.5422301072865445
MATS7v,0.014974645769572924
MATS8Z,0.8850574712643678
MATS8c,1.7712386488247889
MATS8d,0.04761904761904759
MATS8i,0.2726324271269281
MATS8m,0.8561466416128641
MATS8p,0.22547707542511047
MATS8s,1.6387460885113994
MATS8v,0.28514553736370496
MAXsOH,8.91775494457042
MINsOH,8.38000141723356
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,2
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,4
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,14.45524184832162
SpAD_D,77.01289487037874
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.6392743764172332
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,128
TMWC10,87.99109071324938
TSRW10,41.627317866668534
VE1_Dt,3.4295530219768224
VE2_Dt,0.2857960851647352
VE3_Dt,1.4147514951876865
VR1_Dt,44.10840782635311
VR2_Dt,3.675700652196092
VR3_Dt,3.9689719747334564
Xc-3dv,0.2569364518845412
Xc-4dv,0.0
Xc-5dv,0.0
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.08333333333333333
Xch-7d,0.1422588984322123
Xp-0dv,6.5262901205953785
Xp-1dv,3.6798117269643553
Xp-2dv,2.5601857234343774
Xp-3dv,1.5638809111076868
Xp-4dv,0.9138848999982878
Xp-5dv,0.6205877785736463
Xp-6dv,0.262464389037034
Xp-7dv,0.10611218405500297
Xpc-4d,1.1299361269508952
Xpc-5d,1.1028927122074863
Xpc-6d,1.6126088981685833
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,22
nFRing,0
nHBAcc,2
nHBDon,2
nHRing,0
nSpiro,0
naRing,1
piPC10,0.0
AATS0dv,8.090909090909092
AATS0pe,6.473786363636364
AATS0se,7.959292363636368
AATS1dv,6.818181818181818
AATS1pe,6.584295454545455
AATS1se,7.902258545454546
AATS2dv,5.0285714285714285
AATS2pe,6.360188571428573
AATS2se,7.72704902857143
AATS3dv,2.739130434782609
AATS3pe,6.2376956521739135
AATS3se,7.750845565217392
AATS4dv,2.511627906976744
AATS4pe,6.028523255813953
AATS4se,7.605834604651163
AATS5dv,3.176470588235294
AATS5pe,5.836691176470588
AATS5se,7.419442588235294
AATS6dv,4.0
AATS6pe,6.713065217391306
AATS6se,8.31453147826087
AATS7dv,4.0
AATS7pe,6.744625
AATS7se,8.44721325
AATS8dv,6.875
AATS8pe,6.780900000000001
AATS8se,8.476569
AATSC0Z,7.909090909090909
AATSC0c,0.03935412651059047
AATSC0d,0.5206611570247933
AATSC0i,1.3267071728954116
AATSC0m,37.32903952066117
AATSC0p,0.23030797855760324
AATSC0s,3.081267217630854
AATSC0v,48.95660997321455
AATSC1Z,-0.5454545454545454
AATSC1c,-0.025520772325178905
AATSC1d,0.037190082644628114
AATSC1i,0.20444679632850907
AATSC1m,-2.3730247933884416
AATSC1p,0.03383938889256212
AATSC1s,-0.44938016528925606
AATSC1v,3.939780758079927
AATSC2Z,-0.05714285714285714
AATSC2c,0.006869222426639295
AATSC2d,-0.14923258559622193
AATSC2i,-0.20649309411213493
AATSC2m,-0.5395424739079159
AATSC2p,-0.038720578054062926
AATSC2s,0.6721959858323494
AATSC2v,-7.617701777497639
AATSC3Z,-2.0
AATSC3c,-0.0028475375581263973
AATSC3d,-0.026590010779734097
AATSC3i,-0.12673566922178905
AATSC3m,-9.414527552281712
AATSC3p,-0.02658918081550052
AATSC3s,-0.5433335329580391
AATSC3v,-9.284002511966838
AATSC4Z,-1.2093023255813953
AATSC4c,-0.0015438086856708513
AATSC4d,0.001537574476263689
AATSC4i,-0.11348027559356273
AATSC4m,-5.7050848272150665
AATSC4p,-0.02190288014132426
AATSC4s,-0.3961016080466398
AATSC4v,-6.3041184321716575
AATSC5Z,3.1176470588235294
AATSC5c,0.005502184706258335
AATSC5d,-0.039377734564900346
AATSC5i,-0.12048068189226789
AATSC5m,14.63302550607682
AATSC5p,-0.006901714222640768
AATSC5s,0.47889321017663267
AATSC5v,9.676655871688464
AATSC6Z,-1.4782608695652173
AATSC6c,-0.002787779737225346
AATSC6d,-0.0028745957599712662
AATSC6i,-0.21104114598979515
AATSC6m,-6.801852406036653
AATSC6p,-0.03245233419457568
AATSC6s,-1.0043019124046793
AATSC6v,-5.590459845540797
AATSC7Z,-1.875
AATSC7c,-0.01977437885899558
