DLiP-ID,T0027L
AATS3d,2.6777777777777776
AATS3i,164.89542331569285
AATS3m,51.94161589444444
AATS3p,1.1839070366539721
AATS3s,2.7118827160493826
AATS3v,160.09955833460592
AATS4Z,13.578947368421053
AATS4d,2.463157894736842
AATS4i,166.59124741494188
AATS4m,46.8760120736842
AATS4p,1.096201119500284
AATS4s,2.8415204678362582
AATS4v,147.91623771161255
AATS5Z,15.258620689655173
AATS5d,2.5344827586206895
AATS5i,164.85378804698797
AATS5m,54.03107448275862
AATS5p,1.1454315724891437
AATS5s,3.5574712643678166
AATS5v,156.23358938728586
AATS6Z,14.296511627906977
AATS6d,2.5348837209302326
AATS6i,165.79576987591574
AATS6m,49.86284890697674
AATS6p,1.1416372668736163
AATS6s,3.170381136950905
AATS6v,153.0939527358393
AATS7Z,14.176470588235293
AATS7d,2.511764705882353
AATS7i,164.85011288104124
AATS7m,49.960790188235286
AATS7p,1.1423003968432706
AATS7s,2.8977124183006535
AATS7v,152.0983653192155
AATS8Z,13.748538011695906
AATS8d,2.3801169590643276
AATS8i,166.0208111832644
AATS8m,47.53720618128656
AATS8p,1.0933406515854442
AATS8s,2.9470435347628334
AATS8v,147.26669279644227
AMID_C,1.3979127969018585
AMID_N,0.35986332386597025
AMID_O,0.2546777239224092
AMID_X,0.0
AMID_h,0.6145410477883795
ATS0dv,484.0
ATS0pe,444.9175999999999
ATS0se,550.8054840000001
ATS1dv,446.0
ATS1pe,478.85450000000003
ATS1se,573.2541479999999
ATS2dv,599.0
ATS2pe,845.9287999999998
ATS2se,1031.6279479999998
ATS3dv,539.0
ATS3pe,1117.7063000000005
ATS3se,1386.4698919999998
ATS4dv,540.0
ATS4pe,1177.9040999999997
ATS4se,1472.303512
ATS5dv,634.0
ATS5pe,1092.3237
ATS5se,1356.534648
ATS6dv,564.0
ATS6pe,1068.8726000000001
ATS6se,1330.475504
ATS7dv,515.0
ATS7pe,1037.0124999999998
ATS7se,1295.0201279999999
ATS8dv,404.0
ATS8pe,1057.8776000000003
ATS8se,1320.3248120000003
ATSC0Z,547.1830985915495
ATSC0c,1.9189375389282188
ATSC0d,37.577464788732414
ATSC0i,100.67874412157659
ATSC0m,2593.6910996619713
ATSC0p,14.8343394911231
ATSC0s,128.64553990610332
ATSC0v,3365.6528619674004
ATSC1Z,20.318785955167634
ATSC1c,-1.3707110411329413
ATSC1d,9.166831977782186
ATSC1i,-32.53472883120121
ATSC1m,96.39203009402995
ATSC1p,-1.597393750973489
ATSC1s,-5.403551984835458
ATSC1v,-106.83658436273798
ATSC2Z,33.800436421345005
ATSC2c,0.7801362278306752
ATSC2d,-7.622892283277122
ATSC2i,1.013205537059228
ATSC2m,141.30261916365902
ATSC2p,-1.0240766693686296
ATSC2s,42.520889814631126
ATSC2v,-267.7009686412493
ATSC3Z,-89.70363023209678
ATSC3c,-0.03301864359227934
ATSC3d,-3.125967070025786
ATSC3i,-4.783316537639898
ATSC3m,-424.91555929795607
ATSC3p,-2.1129544667675573
ATSC3s,-17.898317132844017
ATSC3v,-452.47835379243463
ATSC4Z,-105.9547708787939
ATSC4c,-0.8901223581783051
ATSC4d,-0.869271969847252
ATSC4i,-1.7866357224045522
ATSC4m,-477.1249108982345
ATSC4p,1.1093580250907773
ATSC4s,-55.94815843417311
ATSC4v,74.70013055485255
ATSC5Z,31.6217020432454
ATSC5c,0.618587605555337
ATSC5d,1.8946637571910354
ATSC5i,-12.144975032600374
ATSC5m,135.68216867347792
ATSC5p,-0.27516235802059247
ATSC5s,45.49621988582513
ATSC5v,-156.68951520286475
ATSC6Z,-58.76750644713349
ATSC6c,-0.10998918692173243
ATSC6d,-1.7087879389010108
ATSC6i,9.674728242988124
ATSC6m,-281.70817030787504
ATSC6p,0.17010378612412744
ATSC6s,22.39272961713946
ATSC6v,-247.71034757026388
ATSC7Z,86.40666534417772
ATSC7c,0.2542578198861178
ATSC7d,-10.86153540964094
ATSC7i,-3.8274324575239658
ATSC7m,393.59525303471537
ATSC7p,-0.842403600516207
ATSC7s,34.45199365205316
ATSC7v,40.546400995001754
ATSC8Z,-84.44098393175958
ATSC8c,-0.3055018461906532
ATSC8d,-6.771077167228725
ATSC8i,-18.09391496225693
ATSC8m,-397.8311095379883
ATSC8p,-3.62965210726818
ATSC8s,-32.05396856884658
ATSC8v,-537.5689950309275
AXp-0d,0.7202437581268759
AXp-1d,0.4543938065807376
AXp-2d,0.3077165463979296
AXp-3d,0.1962107877655162
AXp-4d,0.12671032605850563
AXp-5d,0.08481938986735878
AXp-6d,0.052332465485006724
AXp-7d,0.03442678368368565
GATS1Z,0.8718375910156728
GATS1c,1.79377556068156
GATS1d,0.9824454211250534
GATS1i,1.7190132244429464
GATS1m,0.8793402054241555
GATS1p,1.3528036456024057
GATS1s,0.6349227873653217
GATS1v,1.160000131523619
GATS2Z,0.9197242697242693
GATS2c,0.8605066637483464
GATS2d,1.3830016809776924
GATS2i,1.2108038401453862
GATS2m,0.9271050011313035
GATS2p,1.1138132245895842
GATS2s,0.4332320845445127
GATS2v,1.0747597240020774
GATS3Z,1.034439439439439
GATS3c,1.0613034439768914
GATS3d,1.1487381309345321
GATS3i,1.0960242595564644
GATS3m,1.0360768308210988
GATS3p,1.0616862678011554
GATS3s,0.838952280930822
GATS3v,1.0489011366026555
GATS4Z,1.0857041251778088
GATS4c,1.2640236416407336
GATS4d,0.9951372997711666
GATS4i,0.9747837907487408
GATS4m,1.0794127757061736
GATS4p,0.9426567641220366
GATS4s,1.3077038137558734
GATS4v,0.9598642705891957
GATS5Z,0.9833540436988709
GATS5c,0.962575632784627
GATS5d,0.9902914921849416
GATS5i,1.0559200226097503
GATS5m,0.9835381395193471
GATS5p,1.008759669725555
GATS5s,1.111585205608972
GATS5v,1.003850841620096
GATS6Z,1.03569557930023
GATS6c,0.9657118730807668
GATS6d,1.0342975314668241
GATS6i,0.9804921852786441
GATS6m,1.03570270490822
GATS6p,0.9843682114313014
GATS6s,1.0031972164710607
GATS6v,1.0131179138319883
GATS7Z,0.8951192368839423
GATS7c,0.8867060964975302
GATS7d,1.2163109621659753
GATS7i,1.0335352680649774
GATS7m,0.9000974001009013
GATS7p,1.0375591210405788
GATS7s,0.7555149406805766
GATS7v,1.0036662207861498
GATS8Z,1.0626995416469096
GATS8c,1.2172538091467033
GATS8d,1.1002612728723353
GATS8i,1.06629583229399
GATS8m,1.0610487785551175
GATS8p,1.081676880335576
GATS8s,1.2620369561163232
GATS8v,1.0434370568523017
MATS1Z,0.03611607693799475
MATS1c,-0.6947372110523308
MATS1d,0.23726150623318468
MATS1i,-0.314300368698065
MATS1m,0.03614584349286064
MATS1p,-0.10473196595964021
MATS1s,-0.04085263638785228
MATS1v,-0.030873521101468925
MATS2Z,0.03322569322569324
MATS2c,0.21867242684733892
MATS2d,-0.1091130571078096
MATS2i,0.005413076721411923
MATS2m,0.029303289636052745
MATS2p,-0.037132028557426644
MATS2s,0.1777837357572955
MATS2v,-0.04278238975678629
MATS3Z,-0.06466409266409262
MATS3c,-0.006787099769458898
MATS3d,-0.032812760286523364
MATS3i,-0.01874032747183366
MATS3m,-0.06462048689796801
MATS3p,-0.0561833677380291
MATS3s,-0.05487863600330071
MATS3v,-0.05302910912222367
MATS4Z,-0.07235900562216349
MATS4c,-0.173337935154191
MATS4d,-0.00864436202951155
MATS4i,-0.006631365590125362
MATS4m,-0.06874143404150251
MATS4p,0.027945266996562086
MATS4s,-0.16251588224616972
MATS4v,0.008293861683728561
MATS5Z,0.023580970132694265
MATS5c,0.13153746735133845
MATS5d,0.020573764841717083
MATS5i,-0.04922298391975631
MATS5m,0.021345858451156028
MATS5p,-0.007568850185914052
MATS5s,0.14430775841269977
MATS5v,-0.018996767920098592
MATS6Z,-0.04433375235700815
MATS6c,-0.023660235044139354
MATS6d,-0.01877113768697045
MATS6i,0.03966713983252388
MATS6m,-0.0448343722107567
MATS6p,0.004733426829907514
MATS6s,0.07185255305578671
MATS6v,-0.03038118647058865
MATS7Z,0.06595139677492613
MATS7c,0.055337929715852
MATS7d,-0.12071831731193215
MATS7i,-0.01587739222094664
MATS7m,0.06337836445453178
MATS7p,-0.023717091435616636
MATS7s,0.11184821354777698
MATS7v,0.005031441392188929
MATS8Z,-0.06407414933730719
MATS8c,-0.06610209723533234
MATS8d,-0.07481566234426644
MATS8i,-0.07462030051896115
MATS8m,-0.06368581744367079
MATS8p,-0.10159188662684587
MATS8s,-0.10345448213428933
MATS8v,-0.06631734490556912
MAXdsN,4.438463168493747
MAXsOH,9.391214385686302
MAXssO,4.98321805100881
MINdsN,4.438463168493747
MINsOH,9.391214385686302
MINssO,4.98321805100881
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,10
NssNH2,0
NsssAs,0
NsssCH,2
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,11
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,44.45875924776611
SpAD_D,557.2964867680537
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,5.4588590379100115
SssNH2,0
SsssAs,0
SsssCH,-1.0234172631989933
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,847
TMWC10,148.25408472794052
TSRW10,70.75543378723003
VE1_Dt,5.826202408546202
VE2_Dt,0.1664629259584629
VE3_Dt,3.015128368713046
VR1_Dt,233.72305350194245
VR2_Dt,6.677801528626927
VR3_Dt,6.706899850882939
Xc-3dv,1.1066088096235587
Xc-4dv,0.0
Xc-5dv,0.08817656065588989
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.2687287392826324
Xch-7d,0.2754319160449886
Xp-0dv,20.457016970858515
Xp-1dv,12.15775911133571
Xp-2dv,9.119965564480156
Xp-3dv,5.788487331744813
Xp-4dv,3.8570512028862787
Xp-5dv,2.6454226460375394
Xp-6dv,1.4143339122568326
Xp-7dv,0.9539754035235641
Xpc-4d,4.406249081675147
Xpc-5d,5.675772769944832
Xpc-6d,8.15536085389276
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,2
nBonds,73
nFRing,0
nHBAcc,8
nHBDon,4
nHRing,2
nSpiro,0
naRing,1
piPC10,6.239300711012564
AATS0dv,6.816901408450704
AATS0pe,6.266445070422534
AATS0se,7.757823718309861
AATS1dv,6.109589041095891
AATS1pe,6.5596506849315075
AATS1se,7.8527965479452035
AATS2dv,4.537878787878788
AATS2pe,6.4085515151515136
AATS2se,7.815363242424241
AATS3dv,2.9944444444444445
AATS3pe,6.209479444444447
AATS3se,7.70261051111111
AATS4dv,2.8421052631578947
AATS4pe,6.1994952631578935
AATS4se,7.748965852631579
AATS5dv,3.6436781609195403
AATS5pe,6.277722413793103
AATS5se,7.796176137931035
AATS6dv,3.2790697674418605
AATS6pe,6.21437558139535
AATS6se,7.735322697674419
AATS7dv,3.0294117647058822
AATS7pe,6.100073529411763
AATS7se,7.617765458823529
AATS8dv,2.3625730994152048
AATS8pe,6.186418713450294
AATS8se,7.721197730994154
AATSC0Z,7.706804205514782
AATSC0c,0.02702728928067914
AATSC0d,0.5292600674469354
AATSC0i,1.4180104805855858
AATSC0m,36.53086055861932
AATSC0p,0.20893435902990282
AATSC0s,1.8119090127620185
AATSC0v,47.40356143616057
AATSC1Z,0.27833953363243336
AATSC1c,-0.01877686357716358
AATSC1d,0.1255730407915368
AATSC1i,-0.44568121686576995
AATSC1m,1.3204387684113692
AATSC1p,-0.02188210617771903
AATSC1s,-0.07402126006623914
AATSC1v,-1.463514854284082
AATSC2Z,0.2560639122829167
AATSC2c,0.005910122938111176
AATSC2d,-0.05774918396422062
AATSC2i,0.007675799523175969
AATSC2m,1.0704743876034775
AATSC2p,-0.007758156586125982
AATSC2s,0.3221279531411449
AATSC2v,-2.0280376412215855
AATSC3Z,-0.49835350128942657
AATSC3c,-0.00018343690884599633
AATSC3d,-0.01736648372236548
AATSC3i,-0.026573980764666102
AATSC3m,-2.360641996099756
AATSC3p,-0.01173863592648643
AATSC3s,-0.09943509518246677
AATSC3v,-2.5137686321801924
AATSC4Z,-0.5576566888357574
AATSC4c,-0.004684854516727921
