DLiP-ID,C000EW
ATS1d,72.0
ATS1i,1651.5304097260005
ATS1m,2953.072504
ATS1p,33.97448
ATS1s,48.97119341563786
ATS1v,4994.54404608488
ATS2Z,1224.0
ATS2d,90.0
ATS2i,2542.294682912
ATS2m,5040.560282
ATS2p,51.21555999999999
ATS2s,81.27572016460904
ATS2v,7447.986681673781
ATS3Z,2238.0
ATS3d,69.0
ATS3i,3204.6058051618
ATS3m,9389.831119000002
ATS3p,59.34709999999999
ATS3s,114.24310318549
ATS3v,8506.31493798033
ATS4Z,1626.0
ATS4d,24.0
ATS4i,1933.4584637057999
ATS4m,6869.550978000001
ATS4p,33.73932
ATS4s,73.60524310318549
ATS4v,4782.321597143441
ATS5Z,642.0
ATS5d,3.0
ATS5i,521.7701414363
ATS5m,2769.3730010000004
ATS5p,10.148004000000002
ATS5s,52.62170400853529
ATS5v,1224.332693790539
ATS6Z,0.0
ATS6d,0.0
ATS6i,0.0
ATS6m,0.0
ATS6p,0.0
ATS6s,0.0
ATS6v,0.0
ATS7Z,0.0
ATS7d,0.0
ATS7i,0.0
ATS7m,0.0
ATS7p,0.0
ATS7s,0.0
ATS7v,0.0
ATS8Z,0.0
ATS8d,0.0
ATS8i,0.0
ATS8m,0.0
ATS8p,0.0
ATS8s,0.0
ATS8v,0.0
C1SP1,0
C1SP2,0
C1SP3,0
C2SP1,0
C2SP2,6
C2SP3,0
C3SP2,0
C3SP3,0
C4SP3,0
FCSP3,0.0
GGI10,0.0
JGI10,0.0
JGT10,0.5451322751322751
Kier1,10.083333333333334
Kier2,3.3950617283950617
Kier3,1.5625
MAXdO,10.99074074074074
MID_C,12.444628155024304
MID_N,0.0
MID_O,3.4842862025664
MID_X,6.9685724051328
MID_h,10.452858607699202
MINdO,10.99074074074074
MPC10,0
MWC01,12.0
MWC02,4.110873864173311
MWC03,4.976733742420574
MWC04,5.855071922202427
MWC05,6.734591659972948
MWC06,7.615298339825815
MWC07,8.496378051702317
MWC08,9.377632889750377
MWC09,10.258956769878603
MWC10,11.140309855323784
NaaCH,0
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,0
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,6
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,2.5166
SRW02,3.2188758248682006
SRW03,0.0
SRW04,4.574710978503383
SRW05,0.0
SRW06,6.150602768446279
SRW07,0.0
SRW08,7.822845290279774
SRW09,0.0
SRW10,9.54287630006159
SaaCH,0
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,0
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-3.0276543209876516
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.200412580765061
VE1_D,3.4193712562842733
VE2_A,0.2667010483970884
VE2_D,0.2849476046903561
VE3_A,1.3456012897777672
VE3_D,1.4117782477755045
VR1_A,40.625057280593815
VR1_D,46.47477270387395
VR2_A,3.3854214400494844
VR2_D,3.8728977253228294
VR3_A,3.88670660742671
VR3_D,4.021231199671353
WPath,174
Xc-3d,1.1547005383792517
Xc-4d,0.0
Xc-5d,0.6666666666666667
Xc-6d,0.0
Xp-0d,9.464101615137755
Xp-1d,5.464101615137754
Xp-2d,5.154700538379251
Xp-3d,4.976067743425169
Xp-4d,2.8729340511723356
Xp-5d,1.65868924780839
Xp-6d,0.8293446239041948
Xp-7d,0.2222222222222222
ZMIC0,60.819050018269294
ZMIC1,60.66867502548085
ZMIC2,60.66867502548085
ZMIC3,60.66867502548085
ZMIC4,60.66867502548085
ZMIC5,60.66867502548085
nAcid,0
nAtom,12
nBase,0
nRing,1
piPC1,2.833213344056216
piPC2,3.4339872044851463
piPC3,3.970291913552122
piPC4,4.204692619390966
piPC5,4.442651256490317
piPC6,4.394449154672439
piPC7,3.6109179126442243
piPC8,0.0
piPC9,0.0
AATS0Z,125.0
AATS0d,5.0
AATS0i,150.35886828438336
AATS0m,533.6942273333334
AATS0p,3.0857840000000003
AATS0s,10.159172890311437
AATS0v,415.81389983975464
AATS1Z,60.0
AATS1d,6.0
AATS1i,137.62753414383337
AATS1m,246.08937533333335
AATS1p,2.8312066666666666
AATS1s,4.080932784636489
AATS1v,416.2120038404067
AATS2Z,68.0
AATS2d,5.0
AATS2i,141.2385934951111
AATS2m,280.0311267777778
AATS2p,2.8453088888888884
AATS2s,4.515317786922725
AATS2v,413.77703787076564
AATS3Z,106.57142857142857
AATS3d,3.2857142857142856
AATS3i,152.6002764362762
AATS3m,447.1348151904763
AATS3p,2.8260523809523805
AATS3s,5.440147770737619
AATS3v,405.06261609430146
AATS4Z,135.5
AATS4d,2.0
AATS4i,161.12153864215
AATS4m,572.4625815
AATS4p,2.81161
AATS4s,6.1337702585987905
AATS4v,398.52679976195344
AATS5Z,214.0
AATS5d,1.0
AATS5i,173.9233804787667
AATS5m,923.1243336666668
AATS5p,3.3826680000000007
AATS5s,17.540568002845095
AATS5v,408.11089793017965
AMID_C,1.0370523462520254
AMID_N,0.0
AMID_O,0.2903571835472
AMID_X,0.5807143670944
AMID_h,0.8710715506416001
ATS0dv,170.41975308641975
ATS0pe,102.62460000000002
ATS0se,120.249028
ATS1dv,156.4444444444444
ATS1pe,88.79099999999998
ATS1se,103.48026399999999
ATS2dv,216.88888888888894
ATS2pe,138.56699999999998
ATS2se,161.717432
ATS3dv,188.76543209876544
ATS3pe,182.51229999999998
ATS3se,214.03773400000003
ATS4dv,80.32098765432099
ATS4pe,113.22879999999998
ATS4se,133.179018
ATS5dv,37.20987654320987
ATS5pe,31.804800000000007
ATS5se,37.502966
ATS6dv,0.0
ATS6pe,0.0
ATS6se,0.0
ATS7dv,0.0
ATS7pe,0.0
ATS7se,0.0
ATS8dv,0.0
ATS8pe,0.0
ATS8se,0.0
ATSC0Z,300.0
ATSC0c,0.3344582690944585
ATSC0d,12.0
ATSC0i,11.670967304566656
ATSC0m,1366.905186666667
ATSC0p,2.539546666666667
ATSC0s,49.964741147182856
ATSC0v,81.36957212513867
ATSC1Z,0.0
ATSC1c,-0.03707616393560435
ATSC1d,0.0
ATSC1i,-4.0967229608668276e-14
ATSC1m,3.410605131648481e-13
ATSC1p,-5.204170427930421e-18
ATSC1s,3.552713678800501e-15
ATSC1v,-5.828670879282072e-15
ATSC2Z,-96.0
ATSC2c,-0.10877274825061638
ATSC2d,-6.0
ATSC2i,-5.553452868016702
ATSC2m,-431.2249926666665
ATSC2p,-0.0038506666666666984
ATSC2s,-3.6681400193059965
ATSC2v,-0.7559773870565115
ATSC3Z,-102.0
ATSC3c,-0.05722851451851459
ATSC3d,-3.0
ATSC3i,-3.0587572182749776
ATSC3m,-467.84009700000036
ATSC3p,-1.2678480000000005
ATSC3s,-23.148300563938427
ATSC3v,-40.30679736904108
ATSC4Z,-54.0
ATSC4c,-0.05845638629661294
ATSC4d,0.0
ATSC4i,-0.28203078426662614
ATSC4m,-252.22760066666706
ATSC4p,-1.2659226666666665
ATSC4s,-21.31423055428543
ATSC4v,-39.928808675512826
ATSC5Z,102.0
ATSC5c,0.09430467845411894
ATSC5d,3.0
ATSC5i,3.058757218275018
ATSC5m,467.84009699999996
ATSC5p,1.2678480000000003
ATSC5s,23.148300563938424
ATSC5v,40.306797369041085
ATSC6Z,0.0
ATSC6c,0.0
ATSC6d,0.0
ATSC6i,0.0
ATSC6m,0.0
ATSC6p,0.0
ATSC6s,0.0
ATSC6v,0.0
ATSC7Z,0.0
ATSC7c,0.0
ATSC7d,0.0
ATSC7i,0.0
ATSC7m,0.0
ATSC7p,0.0
ATSC7s,0.0
ATSC7v,0.0
ATSC8Z,0.0
ATSC8c,0.0
ATSC8d,0.0
ATSC8i,0.0
ATSC8m,0.0
ATSC8p,0.0
ATSC8s,0.0
ATSC8v,0.0
AXp-0d,0.788675134594813
AXp-1d,0.45534180126147955
AXp-2d,0.2863722521321806
AXp-3d,0.2073361559760487
AXp-4d,0.11970558546551398
AXp-5d,0.06911205199201625
AXp-6d,0.04607470132801082
AXp-7d,0.037037037037037035
GATS1Z,0.7516666666666666
GATS1c,0.9596853263109171
GATS1d,0.9166666666666667
GATS1i,0.8945152706285721
GATS1m,0.7475191382208426
GATS1p,0.4597232576942866
GATS1s,0.5256300231022027
GATS1v,0.4668497757007913
GATS2Z,1.0022222222222221
GATS2c,1.0763474057430316
GATS2d,1.2222222222222223
GATS2i,1.1926870275047625
GATS2m,0.9966921842944567
GATS2p,0.6129643435923823
GATS2s,0.700840030802937
GATS2v,0.622466367601055
GATS3Z,1.1419047619047618
GATS3c,1.023036956393762
GATS3d,1.0476190476190477
GATS3i,1.0602769882122445
GATS3m,1.1442747781595184
GATS3p,1.3087295670318362
GATS3s,1.2710685582273125
GATS3v,1.3046572710281188
GATS4Z,1.2466666666666666
GATS4c,1.1354788913854537
GATS4d,0.9166666666666667
GATS4i,0.9609694587428563
GATS4m,1.2549617235583148
GATS4p,1.8305534846114269
GATS4s,1.698739953795594
GATS4v,1.816300448598417
GATS5Z,0.0
GATS5c,0.0
GATS5d,0.0
GATS5i,0.0
GATS5m,0.0
GATS5p,0.0
GATS5s,0.0
GATS5v,0.0
MATS1Z,0.0
MATS1c,-0.11085437963901323
MATS1d,0.0
MATS1i,-3.5101828785552747e-15
MATS1m,2.4951292634755286e-16
MATS1p,-2.049251740965745e-18
MATS1s,7.110441477791609e-17
MATS1v,-7.163206991328564e-17
MATS2Z,-0.21333333333333335
MATS2c,-0.21681379173773999
MATS2d,-0.3333333333333333
MATS2i,-0.3172232271238122
MATS2m,-0.21031694900909748
MATS2p,-0.0010108540806933253
MATS2s,-0.04894304710463232
MATS2v,-0.006193776267242257
MATS3Z,-0.19428571428571426
MATS3c,-0.0977760495646716
MATS3d,-0.14285714285714285
MATS3i,-0.14976147408979482
MATS3m,-0.1955784504246725
MATS3p,-0.2852810625368458
MATS3s,-0.2647386940980147
MATS3v,-0.28305981017118187
MATS4Z,-0.18
MATS4c,-0.17477931239339023
MATS4d,0.0
MATS4i,-0.024165159314281703
MATS4m,-0.18452457648635376
MATS4p,-0.4984837188789599
MATS4s,-0.4265854293430515
MATS4v,-0.4907093355991366
MATS5Z,1.36
MATS5c,1.127849865508754
MATS5d,1.0
MATS5i,1.0483303186285777
MATS5m,1.3690491529727067
MATS5p,1.9969674377579203
MATS5s,1.8531708586861027
MATS5v,1.9814186711982733
MAXsCl,5.372654320987653
MINsCl,5.372654320987653
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,4
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,14.601126159491539
SpAD_D,59.62277660168378
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,138
TMWC10,92.56584709525015
TSRW10,43.309911162159224
VE1_Dt,3.4495930238082826
VE2_Dt,0.2874660853173569
VE3_Dt,1.4205778167653687
VR1_Dt,43.942615497033756
VR2_Dt,3.661884624752813
VR3_Dt,3.9652061462628008
Xc-3dv,0.6690087821298065
Xc-4dv,0.0
Xc-5dv,0.2764417981858546
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.037037037037037035
Xch-7d,0.2222222222222222
Xp-0dv,8.352070257038452
Xp-1dv,4.176035128519226
Xp-2dv,3.426035128519227
Xp-3dv,2.8187847570030318
Xp-4dv,1.4093923785015159
Xp-5dv,0.7705162958268081
Xp-6dv,0.30547309462537897
Xp-7dv,0.06911044954646366
Xpc-4d,3.642734410091836
Xpc-5d,4.976067743425168
Xpc-6d,7.019657170693312
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,12
nFRing,0
nHBAcc,2
nHBDon,0
nHRing,0
nSpiro,0
naRing,0
piPC10,0.0
AATS0dv,14.201646090534979
AATS0pe,8.552050000000001
AATS0se,10.020752333333332
AATS1dv,13.037037037037033
AATS1pe,7.3992499999999986
AATS1se,8.623355333333333
AATS2dv,12.049382716049386
AATS2pe,7.6981666666666655
AATS2se,8.984301777777778
AATS3dv,8.988830099941211
AATS3pe,8.691061904761904
AATS3se,10.192273047619048
AATS4dv,6.693415637860082
AATS4pe,9.435733333333332
AATS4se,11.098251500000002
AATS5dv,12.403292181069958
AATS5pe,10.601600000000003
AATS5se,12.500988666666666
AATSC0Z,25.0
AATSC0c,0.02787152242453821
AATSC0d,1.0
AATSC0i,0.972580608713888
AATSC0m,113.90876555555559
AATSC0p,0.2116288888888889
AATSC0s,4.163728428931905
AATSC0v,6.780797677094889
AATSC1Z,0.0
AATSC1c,-0.0030896803279670294
AATSC1d,0.0
AATSC1i,-3.4139358007223564e-15
AATSC1m,2.842170943040401e-14
AATSC1p,-4.336808689942018e-19
AATSC1s,2.9605947323337506e-16
AATSC1v,-4.85722573273506e-16
AATSC2Z,-5.333333333333333
AATSC2c,-0.006042930458367577
AATSC2d,-0.3333333333333333
AATSC2i,-0.3085251593342612
AATSC2m,-23.956944037037026
AATSC2p,-0.00021392592592592768
AATSC2s,-0.20378555662811093
AATSC2v,-0.04199874372536175
AATSC3Z,-4.857142857142857
AATSC3c,-0.0027251673580245043
AATSC3d,-0.14285714285714285
AATSC3i,-0.1456551056321418
AATSC3m,-22.278099857142873
AATSC3p,-0.06037371428571431
AATSC3s,-1.102300026854211
AATSC3v,-1.9193713032876705
AATSC4Z,-4.5
AATSC4c,-0.004871365524717745
AATSC4d,0.0
AATSC4i,-0.023502565355552178
AATSC4m,-21.018966722222256
AATSC4p,-0.10549355555555555
AATSC4s,-1.776185879523786
AATSC4v,-3.327400722959402
AATSC5Z,34.0
AATSC5c,0.03143489281803965
AATSC5d,1.0
AATSC5i,1.019585739425006
AATSC5m,155.946699
AATSC5p,0.4226160000000001
AATSC5s,7.716100187979475
AATSC5v,13.435599123013695
ATS0are,94.03559999999999
ATS1are,83.29999999999998
ATS2are,129.1
ATS3are,165.9878
ATS4are,101.4378
ATS5are,28.2678
ATS6are,0.0
ATS7are,0.0
ATS8are,0.0
ATSC0dv,42.946502057613166
ATSC0pe,1.5885666666666673
ATSC0se,1.9087066666666672
ATSC1dv,-3.3306690738754696e-15
ATSC1pe,9.43689570931383e-16
ATSC1se,2.42861286636753e-15
ATSC2dv,-3.2921810699588505
ATSC2pe,-0.7420166666666662
ATSC2se,-0.9329926666666641
ATSC3dv,-19.82716049382716
ATSC3pe,-0.4232750000000006
ATSC3se,-0.4878570000000013
ATSC4dv,-18.181069958847736
ATSC4pe,-0.052266666666667544
ATSC4se,-0.02136066666666908
ATSC5dv,19.82716049382716
ATSC5pe,0.42327499999999973
ATSC5se,0.48785699999999876
ATSC6dv,0.0
ATSC6pe,0.0
ATSC6se,0.0
ATSC7dv,0.0
ATSC7pe,0.0
ATSC7se,0.0
ATSC8dv,0.0
ATSC8pe,0.0
ATSC8se,0.0
AXp-0dv,0.6960058547532043
AXp-1dv,0.34800292737660216
AXp-2dv,0.19033528491773483
AXp-3dv,0.11744936487512632
AXp-4dv,0.05872468243756316
AXp-5dv,0.03210484565945034
AXp-6dv,0.016970727479187722
AXp-7dv,0.011518408257743943
BertzCT,277.45724820935004
ECIndex,102
ETA_eta,9.787729068423182
GATS1dv,0.528602912993484
GATS1pe,0.8865067041567872
GATS1se,0.9064080913428287
GATS2dv,0.7048038839913121
GATS2pe,1.1820089388757165
GATS2se,1.2085441217904382
GATS3dv,1.2693697640037234
GATS3pe,1.0648533119104076
GATS3se,1.0534810906612402
GATS4dv,1.692794174013032
GATS4pe,0.9769865916864259
GATS4se,0.9371838173143416
GATS5dv,0.0
GATS5pe,0.0
GATS5se,0.0
LogEE_A,3.39168290006577
LogEE_D,29.811388300842438
MATS1dv,-7.755390810192977e-17
MATS1pe,5.94050971062834e-16
MATS1se,1.272386642107149e-15
MATS2dv,-0.051105148843746055
MATS2pe,-0.3113988151443296
MATS2se,-0.3258725512796322
MATS3dv,-0.263812079066966
MATS3pe,-0.15225765065243016
MATS3se,-0.14605462088015755
MATS4dv,-0.423342276734381
MATS4pe,-0.03290177728350559
MATS4se,-0.011191173080551443
MATS5dv,1.8466845534687621
MATS5pe,1.065803554567009
MATS5se,1.0223823461610975
MAXdssC,-0.39253086419753047
MDEC-33,9.125465128398087
MDEO-11,0.19999999999999996
MINdssC,-0.7287654320987651
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,3.0882352941176467
SM1_Dzi,0.8729120221383602
SM1_Dzm,3.143270227308812
SM1_Dzp,-1.2288087121645423
SM1_Dzv,-0.4648344371656137
SddssSe,0
SpAD_Dt,106.91812087098387
SpAbs_A,14.601126159491539
SpAbs_D,59.622776601683796
SpMAD_A,1.2167605132909616
SpMAD_D,4.9685647168069815
SpMax_A,2.414213562373095
SpMax_D,29.81138830084189
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
