DLiP-ID,T003BB
JGI1,0.14
JGI2,0.08641975308641979
JGI3,0.06812169312169312
JGI4,0.03864341085271318
JGI5,0.03606837606837606
JGI6,0.023411601199619634
JGI7,0.01393076169861884
JGI8,0.00852272727272727
JGI9,0.012345679012345678
MIC0,14.857999847534401
MIC1,34.51108927914631
MIC2,38.70055951620348
MIC3,39.39986184178487
MIC4,39.44674556271511
MIC5,39.44674556271511
MPC2,36
MPC3,53
MPC4,76
MPC5,101
MPC6,116
MPC7,139
MPC8,153
MPC9,144
Mare,0.9920000000000001
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,2
NssS,0
NtCH,0
NtsC,0
RNCG,0.20282163706390982
RPCG,0.17918732528293624
SIC0,0.2888789785797358
SIC1,0.6399939073374112
SIC2,0.8702921083962671
SIC3,0.9045784029355611
SIC4,0.9131499765703848
SIC5,0.9131499765703848
SaaN,0
SaaO,0
SaaS,0
Sare,42.656000000000006
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,10.059588293650794
SssS,0
StCH,0
StsC,0
TIC0,67.4039542531872
TIC1,149.32938445219023
TIC2,203.0647219456998
TIC3,211.06472194569977
TIC4,213.06472194569977
TIC5,213.06472194569977
Vabc,285.0545062250416
WPol,42
apol,47.133859999999984
bpol,28.692139999999995
nRot,2
ABCGG,15.363289877056411
ATS0Z,986.0
ATS0d,142.0
ATS0i,7018.14236284498
ATS0m,3889.0754389999997
ATS0p,61.29637409698001
ATS0s,203.69444444444446
ATS0v,9173.653672658007
ATS1Z,1128.0
ATS1d,182.0
ATS1i,6612.7875112979955
ATS1m,4279.987729000003
ATS1p,77.58462620000005
ATS1s,142.44444444444446
ATS1v,11542.891349398918
ATS2Z,1690.0
ATS2d,304.0
ATS2i,12708.222367630437
ATS2m,6319.892068
ATS2p,117.07808709818802
ATS2s,256.7222222222223
ATS2v,17078.669511932363
ATS3Z,1976.0
ATS3d,357.0
ATS3i,15159.107206716886
ATS3m,7347.589354000001
ATS3p,142.568279123037
ATS3s,288.8611111111111
ATS3v,20586.380756796276
ATS4Z,2203.0
ATS4d,373.0
ATS4i,17401.427991297147
ATS4m,7990.761531000003
ATS4p,154.61996382539596
ATS4s,384.66666666666663
ATS4v,22448.459489481476
ATS5Z,2163.0
ATS5d,329.0
ATS5i,19566.152195581188
ATS5m,7728.698166999999
ATS5p,152.38866981903706
ATS5s,472.8055555555555
ATS5v,21536.17210084822
ATS6Z,1763.0
ATS6d,298.0
ATS6i,21105.466914413668
ATS6m,6124.546399000001
ATS6p,141.62773010516798
ATS6s,373.0
ATS6v,19073.647830835223
ATS7Z,1359.0
ATS7d,227.0
ATS7i,18538.723361296725
ATS7m,4527.37635
ATS7p,113.28839309092297
ATS7s,349.83333333333326
ATS7v,15185.805909697245
ATS8Z,826.0
ATS8d,150.0
ATS8i,13853.17842041438
ATS8m,2531.069538999999
ATS8p,87.13830511128202
ATS8s,234.83333333333331
ATS8v,10702.17243662365
C1SP1,0
C1SP2,1
C1SP3,3
C2SP1,0
C2SP2,6
C2SP3,2
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.4117647058823529
GGI10,0.0
JGI10,0.0
JGT10,0.4274640023125136
Kier1,17.8112
Kier2,7.486111111111111
Kier3,3.1327874688501245
MAXdO,12.535659486016629
MID_C,34.99333599606955
MID_N,4.4279828962619465
MID_O,7.32030087951417
MID_X,0.0
MID_h,11.748283775776116
MINdO,12.108924949609474
MPC10,127
MWC01,25.0
MWC02,4.812184355372417
MWC03,5.707110264748875
MWC04,6.6293632534374485
MWC05,7.555381944240273
MWC06,8.491465042843506
MWC07,9.42843117965374
MWC08,10.369828231362574
MWC09,11.311384390838432
MWC10,12.255038984656077
NaaCH,4
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,2
NaasN,1
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,3
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,2.407000000000001
SRW02,3.9318256327243257
SRW03,0.0
SRW04,5.272999558563747
SRW05,2.3978952727983707
SRW06,6.838405200847344
SRW07,4.948759890378168
SRW08,8.511376306094673
SRW09,7.234898420314831
SRW10,10.24498286663967
SaaCH,8.002409769463341
SaaNH,0
SaaSe,0
SaaaC,2.1549338624338628
SaasC,1.905190854119426
SaasN,1.9735648148148148
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.941004346182917
SdssS,0
SsCH3,4.987443074452003
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,1.4436574074074073
SsssP,0
VE1_A,4.027186290450047
VE1_D,4.711886017625867
VE2_A,0.17509505610652376
VE2_D,0.2048646094619942
VE3_A,2.225977064089559
VE3_D,2.3829973791840584
VR1_A,201.11707409514312
VR1_D,132.6439244064283
VR2_A,8.74422061283231
VR2_D,5.767127148105579
VR3_A,6.136796319616042
VR3_D,5.720577400784498
WPath,1054
Xc-3d,1.4304078866949468
Xc-4d,0.0
Xc-5d,0.5563799055120243
Xc-6d,0.0
Xp-0d,16.560113453385565
Xp-1d,11.095754112725155
Xp-2d,9.682534249869322
Xp-3d,8.749758442649718
Xp-4d,7.654430455362593
Xp-5d,6.418888247078949
Xp-6d,4.600923184122127
Xp-7d,3.540544502096664
ZMIC0,77.3421972926691
ZMIC1,35.61308677823021
ZMIC2,24.680911616190272
ZMIC3,23.113985462621763
ZMIC4,22.954624311240266
ZMIC5,22.954624311240266
nAcid,0
nAtom,43
nBase,0
nRing,3
piPC1,3.4965075614664802
piPC2,4.098502572370764
piPC3,4.739482523595686
piPC4,5.38133640976808
piPC5,5.923587124704897
piPC6,6.288410220237038
piPC7,6.736735243732317
piPC8,7.101698495047832
piPC9,7.162300593435878
AATS0Z,22.930232558139537
AATS0d,3.302325581395349
AATS0i,163.21261308941814
AATS0m,90.4436148604651
AATS0p,1.4254970720227909
AATS0s,4.737080103359173
AATS0v,213.34078308506994
AATS1Z,25.066666666666666
AATS1d,4.044444444444444
AATS1i,146.9508335843999
AATS1m,95.11083842222229
AATS1p,1.7241028044444455
AATS1s,3.1654320987654323
AATS1v,256.5086966533093
AATS2Z,21.125
AATS2d,3.8
AATS2i,158.85277959538047
AATS2m,78.99865085
AATS2p,1.4634760887273504
AATS2s,3.2090277777777785
AATS2v,213.48336889915453
AATS3Z,20.371134020618555
AATS3d,3.6804123711340204
AATS3i,156.27945573934934
AATS3m,75.74834385567011
AATS3p,1.4697760734333711
AATS3s,2.9779495990836193
AATS3v,212.230729451508
AATS4Z,19.846846846846848
AATS4d,3.3603603603603602
AATS4i,156.76962154321754
AATS4m,71.98884262162164
AATS4p,1.3929726470756392
AATS4s,3.4654654654654653
AATS4v,202.2383737791124
AATS5Z,17.729508196721312
AATS5d,2.69672131147541
AATS5i,160.3782966850917
AATS5m,63.349984975409825
AATS5p,1.2490874575330906
AATS5s,3.8754553734061927
AATS5v,176.52600082662477
AATS6Z,13.666666666666666
AATS6d,2.310077519379845
AATS6i,163.6082706543695
AATS6m,47.47710386821706
AATS6p,1.097889380660217
AATS6s,2.891472868217054
AATS6v,147.85773512275367
AATS7Z,12.243243243243244
AATS7d,2.045045045045045
AATS7i,167.01552577744798
AATS7m,40.78717432432432
AATS7p,1.020616153972279
AATS7s,3.151651651651651
AATS7v,136.80906224952471
AATS8Z,9.717647058823529
AATS8d,1.7647058823529411
AATS8i,162.9785696519339
AATS8m,29.777288694117637
AATS8p,1.025156530720965
AATS8s,2.7627450980392156
AATS8v,125.90791101910177
AMID_C,1.5214493911334586
AMID_N,0.19252099548964985
AMID_O,0.3182739512832248
AMID_X,0.0
AMID_h,0.5107949467728746
ATS0dv,350.0
ATS0pe,273.16009999999994
ATS0se,336.368188
ATS1dv,341.0
ATS1pe,295.8765
ATS1se,353.2069959999998
ATS2dv,518.0
ATS2pe,522.0754000000002
ATS2se,634.554024
ATS3dv,525.0
ATS3pe,622.0492999999999
ATS3se,757.6448239999997
ATS4dv,570.0
ATS4pe,733.2517000000001
ATS4se,889.94786
ATS5dv,564.0
ATS5pe,796.3071000000001
ATS5se,976.1930520000001
ATS6dv,346.0
ATS6pe,790.6144999999999
ATS6se,990.002412
ATS7dv,214.0
ATS7pe,692.0340000000001
ATS7se,869.8771919999999
ATS8dv,97.0
ATS8pe,509.2975
ATS8se,645.3883960000001
ATSC0Z,329.6279069767442
ATSC0c,1.1393709065704676
ATSC0d,28.046511627906977
ATSC0i,61.46342915638459
ATSC0m,1561.5928471627908
ATSC0p,9.63124017838465
ATSC0s,73.46124031007753
ATSC0v,2103.0255179444976
ATSC1Z,25.505678745267762
ATSC1c,-0.7103935994583284
ATSC1d,17.99783666846943
ATSC1i,-21.729691305507185
ATSC1m,117.59244748080054
ATSC1p,-1.6459975628560322
ATSC1s,-2.0350189291508927
ATSC1v,-125.26413180789822
ATSC2Z,86.41319632233636
ATSC2c,0.1112125674262284
ATSC2d,14.611141157382368
ATSC2i,25.104430300036775
ATSC2m,413.6331470459708
ATSC2p,4.584354898019344
ATSC2s,16.950664022594786
ATSC2v,796.4836600356283
ATSC3Z,65.3975121687399
ATSC3c,0.2695437582298998
ATSC3d,-6.174689021092482
ATSC3i,11.452130707191841
ATSC3m,313.78532260951863
ATSC3p,1.7841472848302269
ATSC3s,-4.131557598702002
ATSC3v,447.36209754260136
ATSC4Z,-165.8999459167117
ATSC4c,-0.6227199569934576
ATSC4d,-21.445646295294747
ATSC4i,-23.66392086798134
ATSC4m,-787.8326261179012
ATSC4p,-4.484183126847637
ATSC4s,-34.73457123970917
ATSC4v,-1052.293819624264
ATSC5Z,-116.13034072471604
ATSC5c,0.6439792931232615
ATSC5d,-16.759870200108164
ATSC5i,-10.677950615544317
ATSC5m,-573.0758416479177
ATSC5p,-3.8715876531827087
ATSC5s,22.908418965206412
ATSC5v,-1095.2804035510896
ATSC6Z,-6.860465116279063
ATSC6c,-0.0777926548808137
ATSC6d,-14.558139534883722
ATSC6i,-20.326950493206407
ATSC6m,-33.710462976744225
ATSC6p,-2.9959534485203707
ATSC6s,-4.35723514211886
ATSC6v,-278.0914353353107
ATSC7Z,-150.36506219578152
ATSC7c,-0.2151332588026441
ATSC7d,-12.794483504597082
ATSC7i,18.250493784406796
ATSC7m,-689.2734155830182
ATSC7p,1.376319744188205
ATSC7s,-28.09051439216394
ATSC7v,-59.19627055882638
ATSC8Z,-205.07842076798266
ATSC8c,-0.020287505452594792
ATSC8d,-0.7896160086533269
ATSC8i,-19.243568865840192
ATSC8m,-971.084406112493
ATSC8p,-3.6320520908006806
ATSC8s,-24.31097890751757
ATSC8v,-1127.3582310118807
AXp-0d,0.7200049327558942
AXp-1d,0.4438301645090062
AXp-2d,0.26895928471859226
AXp-3d,0.16508978193678714
AXp-4d,0.10071619020213937
AXp-5d,0.0635533489809797
AXp-6d,0.039663130897604544
AXp-7d,0.02547154318055154
GATS1Z,0.7503409999529655
GATS1c,1.687342573695291
GATS1d,0.5657269209508015
GATS1i,1.5716569016470106
GATS1m,0.7592480123660139
GATS1p,1.288785275349573
GATS1s,0.547731523007205
GATS1v,1.078025129561123
GATS2Z,0.8019269436997318
GATS2c,1.1588622140124931
GATS2d,0.9733830845771144
GATS2i,0.9115640093617823
GATS2m,0.8007189813732865
GATS2p,0.7376446120278515
GATS2s,0.5105867145043002
GATS2v,0.752204003929854
GATS3Z,0.823609076587159
GATS3c,1.117971343567992
GATS3d,1.4743550289788172
GATS3i,1.0368652089867405
GATS3m,0.8254178401329437
GATS3p,0.9487789761425847
GATS3s,0.792677872175392
GATS3v,0.8929745698061796
GATS4Z,1.1490433568887075
GATS4c,1.4637570166374625
GATS4d,1.5852046075926673
GATS4i,1.2514842481922117
GATS4m,1.1468754758512127
GATS4p,1.1797109414947384
GATS4s,1.5159574442801371
GATS4v,1.133513136305238
GATS5Z,1.1216820453982934
GATS5c,0.9615252822254012
GATS5d,1.1967824810374357
GATS5i,1.0808975865359194
GATS5m,1.1222419109345143
GATS5p,1.1088165584631118
GATS5s,1.235429012060031
GATS5v,1.1171158452752334
GATS6Z,1.0010582757160997
GATS6c,1.0355326660269202
GATS6d,1.056384742951907
GATS6i,1.0454139413329535
GATS6m,1.0008658264079768
GATS6p,1.0590818797137864
GATS6s,1.0064369756766738
GATS6v,1.0179518267116237
GATS7Z,1.2385792028800353
GATS7c,1.197525789754869
GATS7d,0.9983416252072967
GATS7i,0.7648289723438579
GATS7m,1.2262558178843763
GATS7p,0.8568328094071879
GATS7s,1.5058706149826289
GATS7v,0.9420201567425597
GATS8Z,1.313138389262859
GATS8c,0.6824815076890703
GATS8d,0.7135206321334503
GATS8i,1.0123446495472816
GATS8m,1.3122861145910736
GATS8p,1.168169674055559
GATS8s,1.2745283223826123
GATS8v,1.2642265651851061
MATS1Z,0.0739381966981799
MATS1c,-0.5957853993628635
MATS1d,0.6131932927952823
MATS1i,-0.33782572063550026
MATS1m,0.07195609065820731
MATS1p,-0.16330629145225858
MATS1s,-0.02647074341792856
MATS1v,-0.05691649294768069
MATS2Z,0.14090764780584158
MATS2c,0.05246470192180627
MATS2d,0.280016583747927
MATS2i,0.219539187309859
MATS2m,0.1423724608761815
MATS2p,0.25584355825904387
MATS2s,0.12402434091348767
MATS2v,0.20356860324147943
MATS3Z,0.08794962171189011
MATS3c,0.10487231985132434
MATS3d,-0.09759621138294781
MATS3i,0.0825973722237474
MATS3m,0.08907617006283297
MATS3p,0.08211929485604348
MATS3s,-0.02493172204057677
MATS3v,0.09429992881704556
MATS4Z,-0.19496998056332043
MATS4c,-0.21172548449547582
MATS4d,-0.2962141245723334
MATS4i,-0.1491472995602772
MATS4m,-0.1954391781986322
MATS4p,-0.18036264841309985
MATS4s,-0.18316781404419252
MATS4v,-0.19383756881208547
MATS5Z,-0.12417390881942691
MATS5c,0.1992119571625478
MATS5d,-0.21062039529130303
MATS5i,-0.06123218347412305
MATS5m,-0.12934597378122661
MATS5p,-0.141682270491425
MATS5s,0.10991209488873681
MATS5v,-0.18356479767680037
MATS6Z,-0.0069375852499882346
MATS6c,-0.022758949531477675
MATS6d,-0.17302377003869543
MATS6i,-0.1102387266281954
MATS6m,-0.00719574312386478
MATS6p,-0.10368873904194173
MATS6s,-0.019771129753718246
MATS6v,-0.04407799350070305
MATS7Z,-0.1767129765577628
MATS7c,-0.07314554951955547
MATS7d,-0.17672149761702005
MATS7i,0.11502793128711555
MATS7m,-0.17098940235504984
MATS7p,0.05535828201100568
MATS7s,-0.14813132659911535
MATS7v,-0.010904236966784098
MATS8Z,-0.314735348068958
MATS8c,-0.009007682164324994
MATS8d,-0.014242512925568253
MATS8i,-0.158386572803603
MATS8m,-0.3145854984935528
MATS8p,-0.1907740876219468
MATS8s,-0.16741475041976897
MATS8v,-0.2711857890670369
MAXssO,5.212415438397581
MINssO,4.847172855253213
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,3
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,5
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,29.946800639080784
SpAD_D,190.58447844610322
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.3774559082892417
SssNH2,0
SsssAs,0
SsssCH,-0.7744907407407415
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,993
TMWC10,124.56018764715334
TSRW10,72.38114314836115
VE1_Dt,4.785573987051184
VE2_Dt,0.2080684342196167
VE3_Dt,2.3985150961425266
VR1_Dt,122.53940945789195
VR2_Dt,5.327800411212693
VR3_Dt,5.641341811042707
Xc-3dv,0.642677112457375
Xc-4dv,0.0
Xc-5dv,0.19474924615083744
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.06415002990995841
Xch-6d,0.37615871932383865
Xch-7d,0.7114291016781987
Xp-0dv,13.535492042363142
Xp-1dv,7.671241360659371
Xp-2dv,5.50797058298106
Xp-3dv,4.353436677815524
Xp-4dv,3.3856716776910485
Xp-5dv,2.4657718038895893
Xp-6dv,1.5131491903823984
Xp-7dv,0.9945201830402829
Xpc-4d,4.198972384948342
Xpc-5d,7.66562172596978
Xpc-6d,13.31986014953152
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,45
nFRing,1
nHBAcc,5
nHBDon,0
nHRing,2
nSpiro,0
naRing,2
piPC10,7.275910555372946
AATS0dv,8.13953488372093
AATS0pe,6.3525604651162775
AATS0se,7.822515999999999
AATS1dv,7.5777777777777775
AATS1pe,6.575033333333334
AATS1se,7.8490443555555505
AATS2dv,6.475
AATS2pe,6.525942500000002
AATS2se,7.9319253000000005
AATS3dv,5.412371134020619
AATS3pe,6.412879381443298
AATS3se,7.810771381443296
AATS4dv,5.135135135135135
AATS4pe,6.605871171171173
AATS4se,8.017548288288289
AATS5dv,4.622950819672131
AATS5pe,6.527107377049181
AATS5se,8.001582393442623
AATS6dv,2.682170542635659
AATS6pe,6.12879457364341
AATS6se,7.674437302325582
AATS7dv,1.927927927927928
AATS7pe,6.234540540540541
AATS7se,7.836731459459458
AATS8dv,1.1411764705882352
AATS8pe,5.991735294117647
AATS8se,7.59280465882353
AATSC0Z,7.665765278528935
AATSC0c,0.026496997827220176
AATSC0d,0.6522444564629529
AATSC0i,1.4293820734042928
AATSC0m,36.316112724716064
AATSC0p,0.22398232972987556
AATSC0s,1.7084009374436635
AATSC0v,48.907570184755755
AATSC1Z,0.5667928610059503
AATSC1c,-0.015786524432407297
AATSC1d,0.3999519259659873
AATSC1i,-0.48288202901127075
AATSC1m,2.6131654995733453
AATSC1p,-0.03657772361902294
AATSC1s,-0.045222642870019834
AATSC1v,-2.7836473735088494
AATSC2Z,1.0801649540292044
AATSC2c,0.001390157092827855
AATSC2d,0.1826392644672796
AATSC2i,0.31380537875045966
AATSC2m,5.170414338074635
AATSC2p,0.0573044362252418
AATSC2s,0.21188330028243482
AATSC2v,9.956045750445353
AATSC3Z,0.6742011563787618
AATSC3c,0.0027788016312360803
AATSC3d,-0.06365658784631426
AATSC3i,0.1180632031669262
AATSC3m,3.2349002330878207
AATSC3p,0.018393270977631205
AATSC3s,-0.0425933773062062
AATSC3v,4.611980387037128
AATSC4Z,-1.4945941073577629
AATSC4c,-0.005610089702643762
AATSC4d,-0.19320402067833106
AATSC4i,-0.21318847628812018
AATSC4m,-7.097591226287398
AATSC4p,-0.04039804618781655
AATSC4s,-0.31292406522260513
AATSC4v,-9.480124501119494
AATSC5Z,-0.9518880387271806
AATSC5c,0.005278518796092308
AATSC5d,-0.13737598524678823
AATSC5i,-0.08752418537331408
AATSC5m,-4.697342964327195
AATSC5p,-0.03173432502608778
