DLiP-ID,C100LY
nS,1
nX,0
ABC,25.95651914579498
AMW,9.34157441768001
IC0,1.8038414724178644
IC1,3.621315277401236
IC2,4.54768348363125
IC3,5.348758439731457
IC4,5.468758439731457
IC5,5.468758439731457
MID,66.9158936622258
Mpe,1.0139607843137255
Mse,1.0385506190823015
NdO,5
NdS,0
NsF,0
NsI,0
NtN,0
SMR,116.9044
SdO,59.473400056280695
SdS,0
Spe,50.69803921568628
SsF,0
SsI,0
Sse,51.92753095411508
StN,0
fMF,0.46
nBr,0
nCl,0
AMID,2.027754353400782
BIC0,0.2973648121190482
BIC1,0.5969769259406416
BIC2,0.7496895183778304
BIC3,0.8817474111896164
BIC4,0.9015295139962757
BIC5,0.9015295139962757
CIC0,3.84001471735686
CIC1,2.0225409123734885
CIC2,1.0961727061434745
CIC3,0.29509775004326766
CIC4,0.17509775004326755
CIC5,0.17509775004326755
GGI1,8.5
GGI2,5.1111111111111125
GGI3,2.861111111111111
GGI4,1.7844444444444447
GGI5,1.3758333333333335
GGI6,0.8318367346938775
GGI7,0.5833333333333334
GGI8,0.519597190728143
GGI9,0.2859567901234568
JGI1,0.2361111111111111
JGI2,0.09643605870020967
JGI3,0.053983228511530396
JGI4,0.03717592592592593
JGI5,0.03199612403100775
JGI6,0.022482073910645335
JGI7,0.015765765765765764
JGI8,0.012989929768203576
JGI9,0.008936149691358026
MIC0,20.17707337134959
MIC1,38.40074751605028
MIC2,49.14084532452543
MIC3,51.86832888027444
MIC4,51.98928888027443
MIC5,51.98928888027443
MPC2,53
MPC3,69
MPC4,86
MPC5,102
MPC6,117
MPC7,140
MPC8,151
MPC9,170
Mare,1.0284
NaaN,0
NaaO,1
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.1459176272818071
RPCG,0.10576405657717493
SIC0,0.31961152300194684
SIC1,0.6416384747652086
SIC2,0.8057759323971668
SIC3,0.9477134533339259
SIC4,0.9689755117501928
SIC5,0.9689755117501928
SaaN,0
SaaO,5.689961920329365
SaaS,0
Sare,51.42
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,4.636753979716196
SssS,0
StCH,0
StsC,0
TIC0,90.19207362089323
TIC1,181.0657638700618
TIC2,227.38417418156249
TIC3,267.43792198657286
TIC4,273.43792198657286
TIC5,273.43792198657286
Vabc,388.33568563664136
WPol,53
apol,59.889480999999996
bpol,30.356518999999995
nRot,5
ABCGG,19.72214438615048
ATS0Z,1660.0
ATS0d,195.0
ATS0i,7972.284914639834
ATS0m,6599.291504000001
ATS0p,85.45664738243299
ATS0s,388.6328017832647
ATS0v,12687.250688993263
ATS1Z,1836.0
ATS1d,240.0
ATS1i,7724.3353877995
ATS1m,7147.454104
ATS1p,105.13791724
ATS1s,191.31790123456793
ATS1v,15689.025559871887
ATS2Z,2537.0
ATS2d,357.0
ATS2i,12958.511300168306
ATS2m,9750.809339000001
ATS2p,151.486054407396
ATS2s,437.05555555555554
ATS2v,22755.10471744478
ATS3Z,2645.0
ATS3d,376.0
ATS3i,16030.727496654408
ATS3m,9944.088047000001
ATS3p,166.658383262245
ATS3s,468.22222222222223
ATS3v,24616.920575820524
ATS4Z,2481.0
ATS4d,355.0
ATS4i,17647.498623015104
ATS4m,9099.537178999997
ATS4p,159.731276330245
ATS4s,535.854938271605
ATS4v,23652.046412868178
ATS5Z,2220.0
ATS5d,334.0
ATS5i,17291.990358895888
ATS5m,8174.089765999999
ATS5p,148.830628859886
ATS5s,459.3456790123457
ATS5v,21544.6023163405
ATS6Z,1964.0
ATS6d,302.0
ATS6i,15027.778155452836
ATS6m,7286.672979
ATS6p,129.830989209584
ATS6s,354.28240740740745
ATS6v,18505.83076376377
ATS7Z,1919.0
ATS7d,269.0
ATS7i,12464.29569989667
ATS7m,7261.820763
ATS7p,114.800466827037
ATS7s,354.59567901234567
ATS7v,16780.717583995185
ATS8Z,1999.0
ATS8d,253.0
ATS8i,11928.945803005277
ATS8m,7561.913395
ATS8p,112.324602892245
ATS8s,416.63888888888886
ATS8v,17437.13823750059
C1SP1,0
C1SP2,3
C1SP3,0
C2SP1,0
C2SP2,15
C2SP3,0
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.045454545454545456
GGI10,0.21589225589225589
JGI10,0.008635690235690236
JGT10,0.5245120576514478
Kier1,26.074074074074073
Kier2,10.947668209327162
Kier3,6.049149338374291
MAXdO,12.776255579506703
MID_C,46.18337617101569
MID_N,5.971709803838684
MID_O,12.629918683468278
MID_X,0.0
MID_h,20.73251749121013
MINdO,11.381328153701533
MPC10,185
MWC01,36.0
MWC02,5.187385805840755
MWC03,6.0473721790462776
MWC04,6.942156705699469
MWC05,7.818027938530729
MWC06,8.713253274320705
MWC07,9.595534743241988
MWC08,10.491413096682967
MWC09,11.37762107293933
MWC10,12.274175120731979
NaaCH,10
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,6
NaasN,0
NdCH2,0
NddsN,0
NdsCH,1
NdssC,4
NdssS,0
NsCH3,1
NsNH2,1
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,1.842
SRW02,4.290459441148391
SRW03,0.0
SRW04,5.652489180268651
SRW05,3.044522437723423
SRW06,7.190676034332207
SRW07,5.41610040220442
SRW08,8.800415333145924
SRW09,7.506042178518122
SRW10,10.447931687925744
SaaCH,14.914230821768385
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.8705322050514444
SaasN,0
SdCH2,0
SddsN,0
SdsCH,1.3082304526748971
SdssC,-1.8767362213037617
SdssS,0
SsCH3,1.2611107977759923
SsNH2,5.093976281081458
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.461775487827561
SssPH,0
SssSe,0
SsssB,0
SsssN,1.060574489566747
SsssP,0
VE1_A,4.640356293071319
VE1_D,5.646083041224471
VE2_A,0.14061685736579754
VE2_D,0.17109342549165063
VE3_A,2.728713619062458
VE3_D,2.92488450617015
VR1_A,388.34696466695175
VR1_D,223.16874487883612
VR2_A,11.768089838392477
VR2_D,6.76268923875261
VR3_A,7.155821647334717
VR3_D,6.601850657269352
WPath,3722
Xc-3d,3.3171739204772592
Xc-4d,0.28867513459481287
Xc-5d,0.9555984322959026
Xc-6d,0.14433756729740643
Xp-0d,23.750347897697548
Xp-1d,15.668053661235913
Xp-2d,15.112793017593258
Xp-3d,12.446765939882795
Xp-4d,9.796061963315639
Xp-5d,7.343146005841791
Xp-6d,5.258718970311366
Xp-7d,4.1348376790366395
ZMIC0,106.94574261397038
ZMIC1,64.81547449543494
ZMIC2,36.85429121723958
ZMIC3,29.45728442224469
ZMIC4,29.02002167947172
ZMIC5,29.02002167947172
nAcid,0
nAtom,50
nBase,0
nRing,4
piPC1,3.9415818076696905
piPC2,4.577284982498556
piPC3,5.114244276715276
piPC4,5.623340381683417
piPC5,6.0986359221697715
piPC6,6.46419881975125
piPC7,6.918695219020472
piPC8,7.222315074929626
piPC9,7.579359568865607
AATS0Z,33.2
AATS0d,3.9
AATS0i,159.4456982927967
AATS0m,131.98583008000003
AATS0p,1.7091329476486599
AATS0s,7.772656035665294
AATS0v,253.74501377986525
AATS1Z,34.64150943396226
AATS1d,4.528301886792453
AATS1i,145.74217712829244
AATS1m,134.8576246037736
AATS1p,1.9837342875471697
AATS1s,3.609771721406942
AATS1v,296.019350186262
AATS2Z,29.5
AATS2d,4.151162790697675
AATS2i,150.68036395544542
AATS2m,113.38150394186049
AATS2p,1.7614657489232095
AATS2s,5.082041343669251
AATS2v,264.59424090052073
AATS3Z,25.19047619047619
AATS3d,3.580952380952381
AATS3i,152.67359520623245
AATS3m,94.70560044761906
AATS3p,1.5872226977356667
AATS3s,4.45925925925926
AATS3v,234.44686262686213
AATS4Z,22.151785714285715
AATS4d,3.169642857142857
AATS4i,157.56695199120628
AATS4m,81.24586766964283
AATS4p,1.4261721100914733
AATS4s,4.784419091710759
AATS4v,211.17898582918016
AATS5Z,20.36697247706422
AATS5d,3.0642201834862384
AATS5i,158.64211338436596
AATS5m,74.99164922935779
AATS5p,1.3654186133934494
AATS5s,4.214180541397667
AATS5v,197.65690198477523
AATS6Z,20.673684210526314
AATS6d,3.1789473684210527
AATS6i,158.1871384784509
AATS6m,76.70182083157894
AATS6p,1.3666419916798316
AATS6s,3.7292884990253414
AATS6v,194.79821856593443
AATS7Z,24.29113924050633
AATS7d,3.4050632911392404
AATS7i,157.77589493540088
AATS7m,91.92178181012657
AATS7p,1.4531704661650253
AATS7s,4.488552898890451
AATS7v,212.41414663285045
AATS8Z,26.30263157894737
AATS8d,3.3289473684210527
AATS8i,156.95981319743785
AATS8m,99.49886046052632
AATS8p,1.4779553012137499
AATS8s,5.482090643274853
AATS8v,229.43602944079723
AMID_C,1.399496247606536
AMID_N,0.1809609031466268
AMID_O,0.3827248085899478
AMID_X,0.0
AMID_h,0.6282581057942465
ATS0dv,562.4444444444445
ATS0pe,342.55139999999994
ATS0se,412.9160089999999
ATS1dv,491.66666666666663
ATS1pe,361.2307
ATS1se,428.75955999999996
ATS2dv,835.0
ATS2pe,593.0931
ATS2se,706.3261759999999
ATS3dv,762.0
ATS3pe,707.0952000000001
ATS3se,851.6613679999999
ATS4dv,718.6666666666666
ATS4pe,760.1296
ATS4se,920.906822
ATS5dv,679.6666666666667
ATS5pe,716.7564000000001
ATS5se,875.3454580000001
ATS6dv,581.0
ATS6pe,610.0658999999999
ATS6se,748.65166
ATS7dv,606.6666666666666
ATS7pe,526.6300000000001
ATS7se,640.0607440000001
ATS8dv,637.0
ATS8pe,531.7797
ATS8se,638.093398
ATSC0Z,488.72
ATSC0c,1.4205149376560129
ATSC0d,36.580000000000005
ATSC0i,79.86177187899932
ATSC0m,2229.06405792
ATSC0p,13.721648693445777
ATSC0s,153.22798525377226
ATSC0v,2269.4955715071546
ATSC1Z,86.43680000000003
ATSC1c,-0.8182342928002226
ATSC1d,9.205199999999998
ATSC1i,3.356128514831397
ATSC1m,372.5051071647999
ATSC1p,-0.8193085181407671
ATSC1s,-29.56080874485597
ATSC1v,113.12220332586742
ATSC2Z,-7.678399999999984
ATSC2c,0.1702903172671483
ATSC2d,-5.977600000000001
ATSC2i,1.8767578179823916
ATSC2m,-15.7172776624001
ATSC2p,0.09331150933359733
ATSC2s,51.13470349794238
ATSC2v,85.08135873204314
ATSC3Z,-127.35199999999999
ATSC3c,0.1947208576753349
ATSC3d,-15.778
ATSC3i,-26.83813145290901
ATSC3m,-576.515681752
ATSC3p,-3.8988225354154578
ATSC3s,-17.380324245541832
ATSC3v,-614.457100712094
ATSC4Z,-287.09280000000007
ATSC4c,-0.5257552600353624
ATSC4d,-0.35919999999999863
ATSC4i,-9.927856162539227
ATSC4m,-1313.7182547408001
ATSC4p,-2.528827186741167
ATSC4s,-46.99991364883402
ATSC4v,-731.6495434155937
ATSC5Z,-3.6896000000000115
ATSC5c,0.3203801786862119
ATSC5d,8.295599999999999
ATSC5i,6.35137927986129
ATSC5m,-22.864669145599898
ATSC5p,1.4637314490253392
ATSC5s,-23.03509427297668
ATSC5v,15.757509597858345
ATSC6Z,123.83200000000001
ATSC6c,-0.1740390346986969
ATSC6d,4.918
ATSC6i,-11.228587998173756
ATSC6m,559.7844051120001
ATSC6p,-0.33600461830112127
ATSC6s,-20.76807424554183
ATSC6v,188.14378679194675
ATSC7Z,120.26240000000001
ATSC7c,0.40994796208811146
ATSC7d,-0.4564000000000007
ATSC7i,7.776140300306212
ATSC7m,569.2371825263999
ATSC7p,1.7408230907205073
ATSC7s,11.641580281207139
ATSC7v,477.3779950762445
ATSC8Z,-53.93439999999998
ATSC8c,-0.3935277159737931
ATSC8d,-11.721599999999999
ATSC8i,-12.332248071277954
ATSC8m,-232.86702911840013
ATSC8p,-0.7832720710094853
ATSC8s,2.401953497942385
ATSC8v,-33.354843071278104
AXp-0d,0.7197075120514409
AXp-1d,0.4352237128121087
AXp-2d,0.28514703806779734
AXp-3d,0.18038791217221442
AXp-4d,0.11390769724785627
AXp-5d,0.07199162750825286
AXp-6d,0.04494631598556723
AXp-7d,0.02953455485026171
GATS1Z,0.7548019161336352
GATS1c,1.526383191729234
GATS1d,0.8845951494269473
GATS1i,1.0979978995780397
GATS1m,0.7401222922512581
GATS1p,1.160834929698796
GATS1s,0.7206251556953731
GATS1v,0.8250211018405703
GATS2Z,0.8510603874573163
GATS2c,0.9663232710331738
GATS2d,1.1915584828410493
GATS2i,1.0484034557876114
GATS2m,0.8392704798129944
GATS2p,0.973287375556612
GATS2s,0.526164132858778
GATS2v,0.8555224956198563
GATS3Z,0.9868636438042233
GATS3c,0.9351925458511507
GATS3d,1.2183342445780936
GATS3i,1.161717812600017
GATS3m,0.9856093475468509
GATS3p,1.0939446841117564
GATS3s,0.92310925004339
GATS3v,1.0563221073251883
GATS4Z,1.1288416680307742
GATS4c,1.1760014866465052
GATS4d,0.8790664297430288
GATS4i,1.0373834686678087
GATS4m,1.135556220084342
GATS4p,0.9816371060072595
GATS4s,1.1788019124977858
GATS4v,1.0653787745423409
GATS5Z,0.8200320327505967
GATS5c,0.8592471188854445
GATS5d,0.7557897482456447
GATS5i,0.8937200637161814
GATS5m,0.8405512390318658
GATS5p,0.7994450644791484
GATS5s,0.9429699571960671
GATS5v,0.9930930143854252
GATS6Z,0.7662120598599134
GATS6c,0.8553882669729685
GATS6d,0.9024200742424677
GATS6i,1.01774065215602
GATS6m,0.7817649667843424
GATS6p,0.9264122948313306
GATS6s,0.9181767848771528
GATS6v,1.0020888643128214
GATS7Z,0.8185940643706837
GATS7c,0.8499072235943251
GATS7d,1.0512765500965457
GATS7i,0.9130061349627818
GATS7m,0.8146472204887715
GATS7p,0.8973392785231118
GATS7s,0.8484562962742931
GATS7v,0.8634530520622318
GATS8Z,0.9089533561354688
GATS8c,1.4363126545975813
GATS8d,1.1632758769531812
GATS8i,1.0964014201857852
GATS8m,0.9090216122224846
GATS8p,0.9183184855474411
GATS8s,1.0364118272257101
GATS8v,0.8781759664586791
MATS1Z,0.16685249415492767
MATS1c,-0.54340797388931
MATS1d,0.23740161135582893
MATS1i,0.0396454887208509
MATS1m,0.1576535726602411
MATS1p,-0.056329423785127085
MATS1s,-0.18200040530121692
MATS1v,0.04702325092906572
MATS2Z,-0.00913444517619827
MATS2c,0.06969725962509216
MATS2d,-0.09500680254809465
MATS2i,0.01366283567965465
MATS2m,-0.004099456943300792
MATS2p,0.00395367049044526
MATS2s,0.19402120786641083
MATS2v,0.021795991523662694
MATS3Z,-0.12408702227003093
MATS3c,0.06527507418798396
MATS3d,-0.20539456898122832
MATS3i,-0.1600272858456828
MATS3m,-0.12315988679164944
MATS3p,-0.13530314040239594
MATS3s,-0.05401327221735881
MATS3v,-0.12892671969057815
MATS4Z,-0.2622491990739658
MATS4c,-0.16523034248829635
MATS4d,-0.004383738186362554
MATS4i,-0.05549687340653906
MATS4m,-0.26310655435843916
MATS4p,-0.0822744215063484
MATS4s,-0.1369338915000753
MATS4v,-0.1439215235993953
MATS5Z,-0.003463081241242815
MATS5c,0.10345782421756833
MATS5d,0.10402736743896746
MATS5i,0.03648149377771897
MATS5m,-0.004705284401653891
MATS5p,0.048932636267517315
MATS5s,-0.06895970725225255
MATS5v,0.003184943607121217
MATS6Z,0.13335803086042164
MATS6c,-0.06448330075136739
MATS6d,0.07076055365313227
MATS6i,-0.07400015073404112
MATS6m,0.13217357754469383
MATS6p,-0.01288799472270627
MATS6s,-0.07133530715219882
MATS6v,0.04363218281770496
MATS7Z,0.1557444815804033
MATS7c,0.18265259211349094
MATS7d,-0.007896685606716
MATS7i,0.06162657889009511
MATS7m,0.16162689292011773
MATS7p,0.08029550900870074
MATS7s,0.04808579042119035
MATS7v,0.13313001151467144
MATS8Z,-0.0726042680772975
MATS8c,-0.18225771956179715
MATS8d,-0.21081407729273974
MATS8i,-0.1015920497208311
MATS8m,-0.06872929124522767
MATS8p,-0.03755456684142461
MATS8s,0.010312950090798615
MATS8v,-0.009669098270244873
MAXaaO,5.689961920329365
MAXssO,4.636753979716196
MINaaO,5.689961920329365
MINssO,4.636753979716196
NddssS,1
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,10
SM1_Dt,0.0
SddssS,-3.8104769374356535
SdssSe,0
SdsssP,0
SpAD_A,42.26134569981179
SpAD_D,469.72460280975315
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1142
TMWC10,147.4469399370342
TSRW10,85.34863669526689
VE1_Dt,5.684437509849836
VE2_Dt,0.1722556821166617
VE3_Dt,2.9316546479213383
VR1_Dt,220.06374462651118
VR2_Dt,6.66859832201549
VR3_Dt,6.587839721158187
Xc-3dv,1.3472934279195952
Xc-4dv,0.05892556509887896
Xc-5dv,0.22172881427805197
Xc-6dv,0.019641855032959652
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.19641855032959654
Xch-6d,0.5760926987258613
Xch-7d,0.7871547570821176
Xp-0dv,17.957899730414102
Xp-1dv,11.004061053792155
Xp-2dv,8.510783479090566
Xp-3dv,5.748050644414184
Xp-4dv,3.6557750049378592
Xp-5dv,2.2932390334008077
Xp-6dv,1.4388161651789386
Xp-7dv,0.8818300527783883
Xpc-4d,6.646551637331645
Xpc-5d,9.434384069787711
Xpc-6d,12.52615316974165
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,53
nFRing,0
nHBAcc,7
nHBDon,2
nHRing,2
nSpiro,0
naRing,3
piPC10,7.940683946691612
AATS0dv,11.248888888888889
AATS0pe,6.851027999999999
AATS0se,8.258320179999998
AATS1dv,9.276729559748427
AATS1pe,6.81567358490566
AATS1se,8.089803018867924
AATS2dv,9.709302325581396
AATS2pe,6.896431395348838
AATS2se,8.21309506976744
AATS3dv,7.257142857142857
AATS3pe,6.734240000000001
AATS3se,8.111060647619047
AATS4dv,6.416666666666666
AATS4pe,6.786871428571429
AATS4se,8.222382339285714
AATS5dv,6.235474006116209
AATS5pe,6.575746788990827
AATS5se,8.03069227522936
AATS6dv,6.11578947368421
AATS6pe,6.421746315789473
AATS6se,7.880543789473684
AATS7dv,7.679324894514767
AATS7pe,6.666202531645571
AATS7se,8.102034734177217
AATS8dv,8.381578947368421
AATS8pe,6.997101315789474
AATS8se,8.395965763157895
AATSC0Z,9.7744
AATSC0c,0.028410298753120258
AATSC0d,0.7316000000000001
AATSC0i,1.5972354375799864
AATSC0m,44.581281158399996
AATSC0p,0.2744329738689155
AATSC0s,3.064559705075445
AATSC0v,45.389911430143094
AATSC1Z,1.630883018867925
AATSC1c,-0.015438382883023068
AATSC1d,0.17368301886792448
AATSC1i,0.0633231795251207
AATSC1m,7.028398248392451
AATSC1p,-0.01545865128567485
AATSC1s,-0.5577511083935088
AATSC1v,2.134381194827687
AATSC2Z,-0.08928372093023237
AATSC2c,0.0019801199682226546
AATSC2d,-0.06950697674418606
AATSC2i,0.021822765325376647
AATSC2m,-0.18275904258604767
AATSC2p,0.0010850175503906666
AATSC2s,0.5945895755574696
AATSC2v,0.9893181247911993
AATSC3Z,-1.2128761904761904
AATSC3c,0.0018544843588127133
AATSC3d,-0.15026666666666666
AATSC3i,-0.25560125193246674
AATSC3m,-5.4906255404952375
AATSC3p,-0.037131643194432934
AATSC3s,-0.16552689757658887
AATSC3v,-5.851972387734228
AATSC4Z,-2.563328571428572
AATSC4c,-0.004694243393172879
AATSC4d,-0.003207142857142845
AATSC4i,-0.08864157287981453
AATSC4m,-11.72962727447143
AATSC4p,-0.02257881416733185
