DLiP-ID,T007IJ
ATS6d,427.0
ATS6i,23630.87986766688
ATS6m,8836.711828999998
ATS6p,200.99233179067798
ATS6s,497.6388888888889
ATS6v,27867.586087523898
ATS7Z,2345.0
ATS7d,403.0
ATS7i,22819.985288751832
ATS7m,8373.368898000004
ATS7p,194.58549433037598
ATS7s,467.3333333333333
ATS7v,26600.64378905798
ATS8Z,2236.0
ATS8d,367.0
ATS8i,22477.406944842118
ATS8m,8011.413555
ATS8p,180.77987424746996
ATS8s,489.1111111111111
ATS8v,24560.706629404893
C1SP1,0
C1SP2,2
C1SP3,2
C2SP1,0
C2SP2,15
C2SP3,5
C3SP2,4
C3SP3,0
C4SP3,0
FCSP3,0.25
GGI10,0.1399857157432915
JGI10,0.004827093646320397
JGT10,0.3632705655704308
Kier1,27.04601899196494
Kier2,13.5168
Kier3,7.287419651056014
MAXdO,13.381085553866384
MID_C,58.316228364421754
MID_N,4.128756268732974
MID_O,7.249697198745266
MID_X,0.0
MID_h,11.37845346747824
MINdO,12.015895119668013
MPC10,168
MWC01,37.0
MWC02,5.1647859739235145
MWC03,6.008813185442595
MWC04,6.882437470997847
MWC05,7.754052639035757
MWC06,8.639233817325263
MWC07,9.524201756211266
MWC08,10.416281238396817
MWC09,11.308934820125405
MWC10,12.205757595907253
NaaCH,12
NaaNH,0
NaaSe,0
NaaaC,4
NaasC,3
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,5.382700000000004
SRW02,4.31748811353631
SRW03,0.0
SRW04,5.616771097666572
SRW05,0.0
SRW06,7.122059881629142
SRW07,0.0
SRW08,8.731497794063243
SRW09,0.0
SRW10,10.402291201074794
SaaCH,22.13360609492287
SaaNH,0
SaaSe,0
SaaaC,2.7503035985643174
SaasC,1.9924246785512956
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.51945646578968
SdssS,0
SsCH3,2.1449167352243412
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.730960539542166
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.176562030314985
VE1_D,5.723521705955389
VE2_A,0.12284005971514661
VE2_D,0.16833887370457026
VE3_A,2.6532638589499933
VE3_D,2.968359730418223
VR1_A,6738.39484002435
VR1_D,232.49370079226577
VR2_A,198.18808353012793
VR2_D,6.838050023301935
VR3_A,10.039352452866172
VR3_D,6.672638562915896
WPath,3823
Xc-3d,1.8605605222797321
Xc-4d,0.0
Xc-5d,0.4720386926117625
Xc-6d,0.0
Xp-0d,23.915638315627206
Xp-1d,16.56288194571337
Xp-2d,14.418706810699641
Xp-3d,11.872761237737192
Xp-4d,9.940803173793945
Xp-5d,8.71809763785229
Xp-6d,5.800485892499994
Xp-7d,4.480268780828199
ZMIC0,111.91484134792569
ZMIC1,64.3091320352815
ZMIC2,33.39002410018907
ZMIC3,24.860779698354296
ZMIC4,24.224483638279413
ZMIC5,24.224483638279413
nAcid,1
nAtom,62
nBase,0
nRing,4
piPC1,3.9318256327243257
piPC2,4.532599493153256
piPC3,5.150397236471415
piPC4,5.804004812457904
piPC5,6.47041243197595
piPC6,6.819265537022052
piPC7,7.306237731662417
piPC8,7.757612361764264
piPC9,8.137975888398465
AATS0Z,22.419354838709676
AATS0d,3.2580645161290325
AATS0i,159.55195961337054
AATS0m,88.45337551612909
AATS0p,1.5408254408995479
AATS0s,4.508512544802867
AATS0v,227.11305721529158
AATS1Z,24.415384615384614
AATS1d,3.9384615384615387
AATS1i,143.6246702331209
AATS1m,92.58766118461543
AATS1p,1.8823737284000004
AATS1s,3.165811965811966
AATS1v,273.97375561612483
AATS2Z,20.65765765765766
AATS2d,3.5855855855855854
AATS2i,149.46239990265846
AATS2m,76.75510499099106
AATS2p,1.6312528919891178
AATS2s,3.2007007007006996
AATS2v,230.35030776249417
AATS3Z,17.19333333333333
AATS3d,3.1133333333333333
AATS3i,157.01902017011406
AATS3m,62.70512484
AATS3p,1.392841762524139
AATS3s,2.8888888888888884
AATS3v,192.74239752002677
AATS4Z,17.05263157894737
AATS4d,2.9802631578947367
AATS4i,157.6535279223439
AATS4m,61.776218953947385
AATS4p,1.3537020995850193
AATS4s,3.1003289473684212
AATS4v,188.65711012397568
AATS5Z,18.013245033112582
AATS5d,2.9271523178807946
AATS5i,157.81864651311076
AATS5m,65.92884945033116
AATS5p,1.35193936302598
AATS5s,3.8449227373068413
AATS5v,190.15077745536348
AATS6Z,16.5
AATS6d,2.8466666666666667
AATS6i,157.53919911777922
AATS6m,58.91141219333332
AATS6p,1.33994887860452
AATS6s,3.3175925925925926
AATS6v,185.78390725015933
AATS7Z,16.061643835616437
AATS7d,2.76027397260274
AATS7i,156.30126910103994
AATS7m,57.35184176712332
AATS7p,1.3327773584272327
AATS7s,3.200913242009132
AATS7v,182.19619033601356
AATS8Z,15.746478873239436
AATS8d,2.584507042253521
AATS8i,158.2915982031135
AATS8m,56.418405316901406
AATS8p,1.2730977059680983
AATS8s,3.444444444444444
AATS8v,172.96272274228798
AMID_C,1.7151831871888752
AMID_N,0.121434007903911
AMID_O,0.21322638819839018
AMID_X,0.0
AMID_h,0.33466039610230114
ATS0dv,456.0
ATS0pe,383.4075999999999
ATS0se,473.06157599999983
ATS1dv,460.0
ATS1pe,417.05400000000003
ATS1se,499.1952119999998
ATS2dv,649.0
ATS2pe,697.8187
ATS2se,847.3895199999995
ATS3dv,700.0
ATS3pe,923.4032000000004
ATS3se,1140.4271439999998
ATS4dv,708.0
ATS4pe,944.64
ATS4se,1166.2026439999995
ATS5dv,744.0
ATS5pe,947.9803999999999
ATS5se,1166.5409399999996
ATS6dv,609.0
ATS6pe,937.752
ATS6se,1157.997052
ATS7dv,600.0
ATS7pe,898.4485999999997
ATS7se,1112.716936
ATS8dv,593.0
ATS8pe,871.5259000000001
ATS8se,1082.9871159999998
ATSC0Z,445.41935483870964
ATSC0c,1.2359085845813702
ATSC0d,34.19354838709677
ATSC0i,89.75229771088138
ATSC0m,2122.3254470967736
ATSC0p,14.594868530197552
ATSC0s,95.44130824372759
ATSC0v,3172.9999807927607
ATSC1Z,12.866805411030146
ATSC1c,-0.716172574445116
ATSC1d,12.409989594172728
ATSC1i,-0.7520331367456886
ATSC1m,63.85013185015645
ATSC1p,0.4596299453665085
ATSC1s,-5.87395219100474
ATSC1v,128.16017747358418
ATSC2Z,10.620187304890713
ATSC2c,0.10595150122701551
ATSC2d,5.814776274713827
ATSC2i,-17.465441140263117
ATSC2m,39.110514649324045
ATSC2p,-1.7591701010387037
ATSC2s,25.18482628049485
ATSC2v,-318.056382568417
ATSC3Z,82.82414151925077
ATSC3c,0.24976461739741973
ATSC3d,9.27367325702393
ATSC3i,7.652963834883673
ATSC3m,399.2561342174818
ATSC3p,2.5672942025027377
ATSC3s,-3.5327349982656955
ATSC3v,614.651094597392
ATSC4Z,13.100936524453674
ATSC4c,-0.6124770608661503
ATSC4d,-0.958376690946932
ATSC4i,-9.632066761122227
ATSC4m,72.3331403111345
ATSC4p,0.4872425474398503
ATSC4s,-20.274121285697777
ATSC4v,227.44161297524434
ATSC5Z,102.4464099895942
ATSC5c,0.6463157219734986
ATSC5d,-3.1488033298647267
ATSC5i,0.1042375901765733
ATSC5m,473.14164055463067
ATSC5p,-0.4175927153707703
ATSC5s,60.8176740085559
ATSC5v,181.19614568269648
ATSC6Z,-118.75650364203955
ATSC6c,-0.34675513671263547
ATSC6d,-6.048907388137359
ATSC6i,1.156876392043012
ATSC6m,-552.0442340728405
ATSC6p,-0.6872197311250364
ATSC6s,-27.10621170077466
ATSC6v,-324.70480397687317
ATSC7Z,-52.0842872008325
ATSC7c,-0.26427831037985605
ATSC7d,-7.971904266389176
ATSC7i,-14.454703118153084
ATSC7m,-252.75085658272616
ATSC7p,-3.1282599873959027
ATSC7s,-15.584460631286857
ATSC7v,-554.3701709562022
ATSC8Z,62.91050988553589
ATSC8c,0.5326927932510442
ATSC8d,-3.7981269510926117
ATSC8i,-3.75690268340137
ATSC8m,281.0636469719043
ATSC8p,-1.160007799030256
ATSC8s,28.49194993640883
ATSC8v,-119.2160165276522
AXp-0d,0.703401126930212
AXp-1d,0.4476454579922533
AXp-2d,0.2883741362139928
AXp-3d,0.17989032178389686
AXp-4d,0.11296367242947665
AXp-5d,0.07388218337162958
AXp-6d,0.046403887139999954
AXp-7d,0.03027208635694729
GATS1Z,0.7995749398342098
GATS1c,1.5179059289611452
GATS1d,0.7547532656023224
GATS1i,1.1171408984307516
GATS1m,0.8040871590006219
GATS1p,1.0107987534754832
GATS1s,0.6627624421113448
GATS1v,0.9329470401555618
GATS2Z,0.8735163320910714
GATS2c,0.8936618838637979
GATS2d,1.0687701852796194
GATS2i,1.1738913051897433
GATS2m,0.8802599042002899
GATS2p,1.081206445995124
GATS2s,0.4763932245824043
GATS2v,1.0309366094555001
GATS3Z,0.8915418597914253
GATS3c,0.9445219834895596
GATS3d,1.0049654088050317
GATS3i,0.9879309267176501
GATS3m,0.890947117513616
GATS3p,0.9063280995123266
GATS3s,0.8396356609161679
GATS3v,0.8924813455295388
GATS4Z,0.980270781240471
GATS4c,1.348328884225226
GATS4d,1.126713008937438
GATS4i,1.0590359286110318
GATS4m,0.9760295265380287
GATS4p,0.9550326656532059
GATS4s,1.2047461380243238
GATS4v,0.9273430123100495
GATS5Z,0.9042301036734631
GATS5c,0.9655039916999247
GATS5d,1.1282675246782459
GATS5i,1.0223567505688882
GATS5m,0.9039103969181967
GATS5p,0.9747847598526443
GATS5s,1.0455333181520372
GATS5v,0.9251555701374629
GATS6Z,1.11568269602163
GATS6c,1.3695737386981557
GATS6d,1.106056603773585
GATS6i,0.9930848611086781
GATS6m,1.108826192678966
GATS6p,0.9896666136808467
GATS6s,1.4508392911630092
GATS6v,0.9917376482051994
GATS7Z,1.0336880347307102
GATS7c,1.173080029880444
GATS7d,1.1241406048074438
GATS7i,1.0405456101525015
GATS7m,1.0331792510315823
GATS7p,1.0831307391993368
GATS7s,1.334148284737305
GATS7v,1.050697412582222
GATS8Z,0.9446628714931536
GATS8c,0.8938971816809426
GATS8d,1.0113307201700772
GATS8i,0.9775258543212837
GATS8m,0.946257827952527
GATS8p,1.0191395263933591
GATS8s,1.1054856683818437
GATS8v,0.9942959920287059
MATS1Z,0.027553703538639743
MATS1c,-0.5527257146255357
MATS1d,0.34618287373004336
MATS1i,-0.007992262408261076
MATS1m,0.02869644840340289
MATS1p,0.03003906850364946
MATS1s,-0.05870463018966715
MATS1v,0.03852666028976034
MATS2Z,0.013317778960884376
MATS2c,0.047883895735316664
MATS2d,0.09498555158932498
MATS2i,-0.10869328002409437
MATS2m,0.010293196416644444
MATS2p,-0.0673249994587099
MATS2s,0.14739110898247149
MATS2v,-0.05598900588186533
MATS3Z,0.07685786017767476
MATS3c,0.08353048368263297
MATS3d,0.11210062893081758
MATS3i,0.035243945084744224
MATS3m,0.07775709848630377
MATS3p,0.07270694272937275
MATS3s,-0.015299424950123227
MATS3v,0.08006800734472341
MATS4Z,0.011997240348844284
MATS4c,-0.2021396830481974
MATS4d,-0.011432472691161889
MATS4i,-0.04377458223331047
MATS4m,0.01390187695884888
MATS4p,0.01361736628562591
MATS4s,-0.08664704538014446
MATS4v,0.029238019991510527
MATS5Z,0.09443704772355793
MATS5c,0.2147203042450468
MATS5d,-0.03781082094214673
MATS5i,0.0004768628929731794
MATS5m,0.09153642192081025
MATS5p,-0.011748095521907016
MATS5s,0.26164242452033193
MATS5v,0.02344734254112482
MATS6Z,-0.1102018153727308
MATS6c,-0.11596768425751881
MATS6d,-0.07311949685534595
MATS6i,0.005327725167751392
MATS6m,-0.10751333341873162
MATS6p,-0.01946237621878075
MATS6s,-0.1173904784258499
MATS6v,-0.042297926186427345
MATS7Z,-0.049656542167336025
MATS7c,-0.09080588729689489
MATS7d,-0.09900491082967175
MATS7i,-0.0683915480826401
MATS7m,-0.0505730898538466
MATS7p,-0.09102097562449132
MATS7s,-0.06934165872228647
MATS7v,-0.07419397140976194
MATS8Z,0.06166765949112985
MATS8c,0.18818881933225218
MATS8d,-0.0484985384002126
MATS8i,-0.018276276297998207
MATS8m,0.05782239031053698
MATS8p,-0.03470276401612605
MATS8s,0.1303434265964287
MATS8v,-0.016404684484530637
MAXaaN,4.63424065972888
MAXsOH,9.82639084025427
MAXssO,5.727692956477679
MINaaN,4.63424065972888
MINsOH,9.82639084025427
MINssO,5.727692956477679
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,5
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,9
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,44.41919882806509
SpAD_D,470.22016612074947
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,4.089798607184333
SssNH2,0
SsssAs,0
SsssCH,-1.0745255848615345
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1180
TMWC10,148.90449849736572
TSRW10,70.19010808797006
VE1_Dt,5.736047878805671
VE2_Dt,0.16870729055310796
VE3_Dt,2.970545881956717
VR1_Dt,229.2505432069755
VR2_Dt,6.742663035499279
VR3_Dt,6.658590912251959
Xc-3dv,0.7276272607061437
Xc-4dv,0.0
Xc-5dv,0.10474385033884206
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.2953609211626514
Xch-7d,0.4864165051243166
Xp-0dv,19.16025946778938
Xp-1dv,11.594194438399027
Xp-2dv,8.289029943829407
Xp-3dv,5.797959620463376
Xp-4dv,4.014594859019379
Xp-5dv,2.78115835304469
Xp-6dv,1.5769551751875877
Xp-7dv,1.025316307454072
Xpc-4d,4.468013282297201
Xpc-5d,7.133143179610127
Xpc-6d,12.313586815067644
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,4
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,65
nFRing,1
nHBAcc,4
nHBDon,2
nHRing,1
nSpiro,0
naRing,4
piPC10,8.24599431329535
AATS0dv,7.354838709677419
AATS0pe,6.183993548387095
AATS0se,7.630025419354836
AATS1dv,7.076923076923077
AATS1pe,6.416215384615385
AATS1se,7.679926338461535
AATS2dv,5.846846846846847
AATS2pe,6.2866549549549555
AATS2se,7.634139819819815
AATS3dv,4.666666666666667
AATS3pe,6.156021333333336
AATS3se,7.602847626666665
AATS4dv,4.657894736842105
AATS4pe,6.214736842105263
AATS4se,7.672385815789471
AATS5dv,4.927152317880795
AATS5pe,6.278015894039735
AATS5se,7.72543668874172
AATS6dv,4.06
AATS6pe,6.2516799999999995
AATS6se,7.7199803466666665
AATS7dv,4.109589041095891
AATS7pe,6.153757534246574
AATS7se,7.621348876712329
AATS8dv,4.176056338028169
AATS8pe,6.13750633802817
AATS8se,7.626669830985914
AATSC0Z,7.184183142559833
AATSC0c,0.01993400942873178
AATSC0d,0.5515088449531736
AATSC0i,1.4476177050142158
AATSC0m,34.23105559833506
AATSC0p,0.23540110532576697
AATSC0s,1.539375939414961
AATSC0v,51.17741904504452
AATSC1Z,0.19795085247738686
AATSC1c,-0.011018039606847939
AATSC1d,0.19092291683342658
AATSC1i,-0.011569740565318287
AATSC1m,0.9823097207716377
AATSC1p,0.007071229928715515
AATSC1s,-0.09036849524622677
AATSC1v,1.9716950380551412
AATSC2Z,0.09567736310712355
AATSC2c,0.0009545180290722118
AATSC2d,0.05238537184426871
AATSC2i,-0.157346316578947
AATSC2m,0.35234697882273913
AATSC2p,-0.01584837928863697
AATSC2s,0.22689032685130495
AATSC2v,-2.8653728159316847
AATSC3Z,0.5521609434616718
AATSC3c,0.0016650974493161315
AATSC3d,0.06182448838015953
AATSC3i,0.051019758899224485
AATSC3m,2.661707561449879
AATSC3p,0.017115294683351583
AATSC3s,-0.023551566655104637
AATSC3v,4.097673963982613
AATSC4Z,0.08619037187140575
AATSC4c,-0.00402945434780362
AATSC4d,-0.006305109808861395
AATSC4i,-0.06336886027054096
AATSC4m,0.47587592309956905
AATSC4p,0.003205543075262173
AATSC4s,-0.13338237687959065
