DLiP-ID,C001YI
Kier3,3.8548483045806066
MAXdO,11.978658273494583
MID_C,35.43389984469786
MID_N,4.063422825059506
MID_O,3.542712412868534
MID_X,0.0
MID_h,7.60613523792804
MINdO,11.978658273494583
MPC10,53
MWC01,23.0
MWC02,4.6913478822291435
MWC03,5.53338948872752
MWC04,6.391917113392602
MWC05,7.246368080102461
MWC06,8.109224953089955
MWC07,8.967376693212666
MWC08,9.831830420771897
MWC09,10.691740346523579
MWC10,11.557143287135661
NaaCH,9
NaaNH,1
NaaSe,0
NaaaC,2
NaasC,3
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,2.8460000000000014
SRW02,3.8501476017100584
SRW03,0.0
SRW04,5.14166355650266
SRW05,2.3978952727983707
SRW06,6.634633357861686
SRW07,4.727387818712341
SRW08,8.217978203150732
SRW09,6.823286122355687
SRW10,9.845699528768733
SaaCH,16.58567816469512
SaaNH,3.214382346883249
SaaSe,0
SaaaC,2.2720719091381074
SaasC,1.4738004879152973
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.2565358612580828
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.829933626228269
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.5801030063301753
VE1_D,4.53040835629896
VE2_A,0.17048109553953217
VE2_D,0.21573373125233142
VE3_A,2.017328917445986
VE3_D,2.2527494250398723
VR1_A,272.86696921036565
VR1_D,110.8391387722473
VR2_A,12.993665200493602
VR2_D,5.278054227249871
VR3_A,6.350921728879152
VR3_D,5.450017294685373
WPath,1045
Xc-3d,1.0769033811002737
Xc-4d,0.0
Xc-5d,0.3285328532178296
Xc-6d,0.0
Xp-0d,14.656489770562878
Xp-1d,10.254020195423491
Xp-2d,8.8796043299238
Xp-3d,7.624726336020784
Xp-4d,6.322399356674857
Xp-5d,4.554605470193377
Xp-6d,2.776874449940573
Xp-7d,1.884841958794949
ZMIC0,67.77618467057455
ZMIC1,42.2469711805195
ZMIC2,29.8691995341528
ZMIC3,23.22385673194468
ZMIC4,21.358265359644825
ZMIC5,21.184781393935147
nAcid,0
nAtom,37
nBase,0
nRing,3
piPC1,3.4965075614664802
piPC2,4.1067670822206574
piPC3,4.726281011737149
piPC4,5.295500904038462
piPC5,5.702114417555504
piPC6,5.809033609332146
piPC7,6.093904787284024
piPC8,6.343914759108399
piPC9,6.028701999827663
AATS0Z,23.08108108108108
AATS0d,3.3513513513513513
AATS0i,159.6640319768374
AATS0m,91.16419408108108
AATS0p,1.5738247156103786
AATS0s,4.6126126126126135
AATS0v,232.8793821893398
AATS1Z,25.025641025641026
AATS1d,4.0256410256410255
AATS1i,145.84317110401153
AATS1m,95.16737412820511
AATS1p,1.8952761183589746
AATS1s,3.3404558404558404
AATS1v,277.8669192733827
AATS2Z,21.765625
AATS2d,3.71875
AATS2i,148.68614972044682
AATS2m,81.23404323437498
AATS2p,1.7142172404640308
AATS2s,3.1896701388888897
AATS2v,243.6837727383274
AATS3Z,17.30952380952381
AATS3d,3.011904761904762
AATS3i,155.52311281048614
AATS3m,62.89097292857142
AATS3p,1.40947328327425
AATS3s,3.012896825396826
AATS3v,194.34852599558047
AATS4Z,15.843373493975903
AATS4d,2.674698795180723
AATS4i,159.46163671066677
AATS4m,55.69743585542169
AATS4p,1.2721340068492772
AATS4s,3.5906961178045513
AATS4v,172.2348956190797
AATS5Z,12.792207792207792
AATS5d,2.4155844155844157
AATS5i,164.03285969903615
AATS5m,43.14709715584416
AATS5p,1.1518801192822727
AATS5s,2.863275613275613
AATS5v,150.07341237625033
AATS6Z,12.878787878787879
AATS6d,2.5
AATS6i,162.44920160314595
AATS6m,44.691984242424226
AATS6p,1.1787553514436666
AATS6s,2.595959595959596
AATS6v,153.4578343578111
AATS7Z,14.637931034482758
AATS7d,2.6551724137931036
AATS7i,161.78921098376526
AATS7m,52.5499705689655
AATS7p,1.2248125832833276
AATS7s,2.9894636015325675
AATS7v,164.94389187446936
AATS8Z,17.354166666666668
AATS8d,2.9791666666666665
AATS8i,157.21004089548097
AATS8m,64.09320187499999
AATS8p,1.3820768287539167
AATS8s,3.241898148148149
AATS8v,193.33727513416366
AMID_C,1.6873285640332316
AMID_N,0.19349632500283362
AMID_O,0.1687005910889778
AMID_X,0.0
AMID_h,0.3621969160918114
ATS0dv,278.0
ATS0pe,230.13290000000003
ATS0se,282.79089999999997
ATS1dv,286.0
ATS1pe,252.9685
ATS1se,301.8975159999999
ATS2dv,393.0
ATS2pe,405.41260000000005
ATS2se,489.084668
ATS3dv,356.0
ATS3pe,516.269
ATS3se,635.9105999999999
ATS4dv,291.0
ATS4pe,520.3912
ATS4se,641.791032
ATS5dv,196.0
ATS5pe,470.14060000000006
ATS5se,587.694284
ATS6dv,200.0
ATS6pe,391.42299999999994
ATS6se,492.22103200000004
ATS7dv,245.0
ATS7pe,348.75509999999997
ATS7se,436.6797480000001
ATS8dv,238.0
ATS8pe,292.67599999999993
ATS8se,362.7704080000001
ATSC0Z,262.0
ATSC0c,0.8815462332186976
ATSC0d,20.108108108108105
ATSC0i,55.994411441844925
ATSC0m,1249.2041829189186
ATSC0p,8.577189542844973
ATSC0s,56.477477477477464
ATSC0v,1868.589969072604
ATSC1Z,0.0
ATSC1c,-0.49806617556127103
ATSC1d,6.777940102264426
ATSC1i,3.9547373883493493
ATSC1m,4.618284923301918
ATSC1p,0.9274481925804923
ATSC1s,-5.847130914698482
ATSC1v,155.15992863097776
ATSC2Z,-23.0
ATSC2c,0.05089886625571514
ATSC2d,-2.8897005113221326
ATSC2i,-6.449687939141034
ATSC2m,-114.5744691029946
ATSC2p,-1.3912140823598933
ATSC2s,2.578747666585505
ATSC2v,-291.4891188491553
ATSC3Z,6.0
ATSC3c,-0.10829586120566434
ATSC3d,-12.16435354273192
ATSC3i,-19.228984477883273
ATSC3m,24.08187285975175
ATSC3p,-2.038254933126504
ATSC3s,-0.35652544436328215
ATSC3v,-230.10521701317612
ATSC4Z,-105.0
ATSC4c,0.345375349559659
ATSC4d,-10.783053323593865
ATSC4i,-23.71308673530204
ATSC4m,-510.77414260189903
ATSC4p,-3.9922449304277507
ATSC4s,11.344067040012986
ATSC4v,-962.3125043635864
ATSC5Z,-107.0
ATSC5c,-0.23800072647313933
ATSC5d,0.045288531775017404
ATSC5i,4.761306585123025
ATSC5m,-503.1353453447772
ATSC5p,-0.7593663307756767
ATSC5s,-22.949375050726406
ATSC5v,-404.1326719254811
ATSC6Z,22.0
ATSC6c,-0.12472347303638713
ATSC6d,6.807158509861214
ATSC6i,1.864120947206722
ATSC6m,107.72156749598233
ATSC6p,0.6842211613648027
ATSC6s,-3.5589237886535168
ATSC6v,204.75106134842878
ATSC7Z,77.0
ATSC7c,0.11751769149506963
ATSC7d,6.857560262965669
ATSC7i,11.232462195739537
ATSC7m,369.1352536135865
ATSC7p,2.206478508459797
ATSC7s,1.915185455725997
ATSC7v,549.4405157565302
ATSC8Z,77.0
ATSC8c,-0.017328212207326853
ATSC8d,1.29218407596786
ATSC8i,6.634486323145966
ATSC8m,370.34426475383486
ATSC8p,1.8583844069162512
ATSC8s,1.5862754646538433
ATSC8v,541.6788385517277
AXp-0d,0.697928084312518
AXp-1d,0.4458269650184127
AXp-2d,0.2864388493523807
AXp-3d,0.18596893502489717
AXp-4d,0.1239686148367619
AXp-5d,0.0828110085489705
AXp-6d,0.05553748899881146
AXp-7d,0.03624696074605671
GATS1Z,0.8068115091015854
GATS1c,1.5011324608712626
GATS1d,0.7115384615384616
GATS1i,1.0452432666369051
GATS1m,0.8070173790027211
GATS1p,0.8762193022413451
GATS1s,0.7350331914058187
GATS1v,0.8346499256176388
GATS2Z,0.88668893129771
GATS2c,0.7891251245147048
GATS2d,1.2448336693548387
GATS2i,1.1392005572643615
GATS2m,0.8934522566285646
GATS2p,1.0727878379553877
GATS2s,0.5672891908597864
GATS2v,1.028488719774198
GATS3Z,0.9291166848418757
GATS3c,0.9595579284370508
GATS3d,1.3960253456221199
GATS3i,1.1369623034673073
GATS3m,0.9321513059451388
GATS3p,1.0817925386826117
GATS3s,0.869394184536153
GATS3v,1.0238925965236647
GATS4Z,1.1778717925135656
GATS4c,0.988324556623321
GATS4d,1.207928488146133
GATS4i,1.181156713668833
GATS4m,1.1773134247234125
GATS4p,1.1461887387974288
GATS4s,1.1863136066358273
GATS4v,1.159082991237739
GATS5Z,1.235748983840587
GATS5c,1.2081810543898261
GATS5d,0.8602848764139087
GATS5i,0.9369760448357736
GATS5m,1.229203439149724
GATS5p,0.9777729029110516
GATS5s,1.4260367961915261
GATS5v,1.056384419134241
GATS6Z,0.96911866759195
GATS6c,1.0069325932699322
GATS6d,0.6917155425219942
GATS6i,0.9205758359310898
GATS6m,0.9685586623129074
GATS6p,0.9285016960594468
GATS6s,0.9114655084905526
GATS6v,0.9425920745077551
GATS7Z,0.8398262700710714
GATS7c,0.8554637771115743
GATS7d,0.7871245828698554
GATS7i,0.8012963100458121
GATS7m,0.8377297159973045
GATS7p,0.8159575379017008
GATS7s,1.0878611778813103
GATS7v,0.8109017895153782
GATS8Z,0.7542938931297709
GATS8c,0.8806841484469656
GATS8d,1.100302419354839
GATS8i,0.8475268988141558
GATS8m,0.7522816146469757
GATS8p,0.8299961054456811
GATS8s,1.1295063008454302
GATS8v,0.768966174390059
MATS1Z,0.0
MATS1c,-0.5360176274351535
MATS1d,0.31978908188585614
MATS1i,0.06700544297513832
MATS1m,0.003507392833725733
MATS1p,0.10258450538045165
MATS1s,-0.09822106607877866
MATS1v,0.07877758719162052
MATS2Z,-0.050751431297709926
MATS2c,0.03337987951765794
MATS2d,-0.08308131720430108
MATS2i,-0.06659103549447104
MATS2m,-0.053024450170663616
MATS2p,-0.09377146643975598
MATS2s,0.026397044650927858
MATS2v,-0.09018412258645717
MATS3Z,0.010087241003271538
MATS3c,-0.05411145393253044
MATS3d,-0.2664650537634408
MATS3i,-0.1512634852558556
MATS3m,0.008491399373967602
MATS3p,-0.10467330396257889
MATS3s,-0.002780594611428876
MATS3v,-0.05424189954790597
MATS4Z,-0.17865354547962842
MATS4c,0.1746505168120825
MATS4d,-0.23905298613810086
MATS4i,-0.18878480574441228
MATS4m,-0.18227164175229138
MATS4p,-0.20748934625073867
MATS4s,0.08954000721341261
MATS4v,-0.22957561036304414
MATS5Z,-0.1962426886091008
MATS5c,-0.12973112599048447
MATS5d,0.0010822510822510619
MATS5i,0.04085944486180521
MATS5m,-0.19353628340496357
MATS5p,-0.04254194371776486
MATS5s,-0.19525698154666102
MATS5v,-0.10392521890233719
MATS6Z,0.047073791348600506
MATS6c,-0.07931601571109995
MATS6d,0.18978087324861526
MATS6i,0.018663246452588596
MATS6m,0.04834226815917745
MATS6p,0.0447207710567623
MATS6s,-0.03532654669199572
MATS6v,0.061428503742006625
MATS7Z,0.1874835483021848
MATS7c,0.08504169115640363
MATS7d,0.21755654430849097
MATS7i,0.12796877480815447
MATS7m,0.18850628057579522
MATS7p,0.1641074982002614
MATS7s,0.02163262761664312
MATS7v,0.18757735105324483
MATS8Z,0.22654262086513996
MATS8c,-0.015151971698309572
MATS8d,0.04953517025089607
MATS8i,0.09133202896036216
MATS8m,0.22852445419614012
MATS8p,0.16701329029074893
MATS8s,0.021650294216692376
MATS8v,0.2234541079786419
MAXsOH,9.639745132646468
MINsOH,9.639745132646468
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,2
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,27.590721717052748
SpAD_D,204.20289623488202
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.2622659202569917
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,482
TMWC10,117.02033826518547
TSRW10,68.63869146186028
VE1_Dt,4.516389127588894
VE2_Dt,0.21506614893280449
VE3_Dt,2.2496501537326896
VR1_Dt,111.29402452465465
VR2_Dt,5.299715453554983
VR3_Dt,5.45411291356113
Xc-3dv,0.43414918230684857
Xc-4dv,0.0
Xc-5dv,0.08366140696999079
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.37079081189859814
Xch-7d,0.5271590778919629
Xp-0dv,11.465827871043551
Xp-1dv,6.866888531737335
Xp-2dv,4.88254722336594
Xp-3dv,3.503490151544084
Xp-4dv,2.4100261513347463
Xp-5dv,1.5105113171084126
Xp-6dv,0.7768975407992215
Xp-7dv,0.4521015509982644
Xpc-4d,2.8803549504544064
Xpc-5d,4.691688834478587
Xpc-6d,6.154366070324548
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,39
nFRing,1
nHBAcc,2
nHBDon,3
nHRing,1
nSpiro,0
naRing,3
piPC10,6.256686802951529
AATS0dv,7.513513513513513
AATS0pe,6.219808108108109
AATS0se,7.642997297297296
AATS1dv,7.333333333333333
AATS1pe,6.486371794871795
AATS1se,7.7409619487179455
AATS2dv,6.140625
AATS2pe,6.334571875000001
AATS2se,7.6419479375
AATS3dv,4.238095238095238
AATS3pe,6.146059523809524
AATS3se,7.570364285714285
AATS4dv,3.5060240963855422
AATS4pe,6.2697734939759036
AATS4se,7.732422072289157
AATS5dv,2.5454545454545454
AATS5pe,6.105722077922079
AATS5se,7.632393298701299
AATS6dv,3.0303030303030303
AATS6pe,5.9306515151515145
AATS6se,7.457894424242425
AATS7dv,4.224137931034483
AATS7pe,6.013018965517241
AATS7se,7.528961172413794
AATS8dv,4.958333333333333
AATS8pe,6.097416666666665
AATS8se,7.557716833333335
AATSC0Z,7.081081081081081
AATSC0c,0.02382557387077561
AATSC0d,0.5434623813002191
AATSC0i,1.5133624714012142
AATSC0m,33.762275214024825
AATSC0p,0.23181593359040467
AATSC0s,1.5264183102020936
AATSC0v,50.50243159655686
AATSC1Z,0.0
AATSC1c,-0.012770927578494129
AATSC1d,0.17379333595549812
AATSC1i,0.10140352277818844
AATSC1m,0.1184175621359466
AATSC1p,0.02378072288667929
AATSC1s,-0.1499264337102175
AATSC1v,3.9784597084866093
AATSC2Z,-0.359375
AATSC2c,0.000795294785245549
AATSC2d,-0.04515157048940832
AATSC2i,-0.10077637404907866
AATSC2m,-1.7902260797342906
AATSC2p,-0.021737720036873333
AATSC2s,0.040292932290398514
AATSC2v,-4.554517482018052
AATSC3Z,0.07142857142857142
AATSC3c,-0.0012892364429245755
AATSC3d,-0.14481373265157046
AATSC3i,-0.22891648187956276
AATSC3m,0.2866889626160923
AATSC3p,-0.024264939680077428
AATSC3s,-0.0042443505281343115
AATSC3v,-2.73934782158543
AATSC4Z,-1.2650602409638554
AATSC4c,0.00416114878987541
AATSC4d,-0.12991630510354055
AATSC4i,-0.2856998401843619
AATSC4m,-6.153905332553
AATSC4p,-0.04809933651117772
AATSC4s,0.13667550650618054
AATSC4v,-11.594126558597427
AATSC5Z,-1.3896103896103895
AATSC5c,-0.003090918525625186
AATSC5d,0.0005881627503249013
AATSC5i,0.061835150456143184
AATSC5m,-6.534225264217886
AATSC5p,-0.009861900399684114
AATSC5s,-0.2980438318276157
AATSC5v,-5.248476258772482
AATSC6Z,0.3333333333333333
