DLiP-ID,C000KJ
piPC3,5.023057814094813
piPC4,5.633225881193066
piPC5,6.182343137834916
piPC6,6.533243631195623
piPC7,6.950156026615606
piPC8,7.350797121445527
piPC9,7.7380659200899915
AATS0Z,29.551020408163264
AATS0d,3.5510204081632653
AATS0i,161.80276252928735
AATS0m,117.18578571428571
AATS0p,1.6427157978975513
AATS0s,3.4218386943254666
AATS0v,235.25734614522457
AATS1Z,29.692307692307693
AATS1d,4.115384615384615
AATS1i,147.40766001738461
AATS1m,114.36814019230768
AATS1p,1.8482712730769228
AATS1s,3.4101970560303894
AATS1v,272.4322620095879
AATS2Z,25.96511627906977
AATS2d,3.9302325581395348
AATS2i,157.06793044120346
AATS2m,98.67427806976744
AATS2p,1.5894142248260117
AATS2s,3.089219064025266
AATS2v,233.37511915761257
AATS3Z,28.08888888888889
AATS3d,4.1
AATS3i,151.96428142981108
AATS3m,107.12494011111109
AATS3p,1.7244689736188665
AATS3s,3.2980795610425244
AATS3v,252.48661903037768
AATS4Z,23.57547169811321
AATS4d,3.518867924528302
AATS4i,155.25106137927546
AATS4m,87.7334501226415
AATS4p,1.5754577844877171
AATS4s,3.14922548334498
AATS4v,223.5648520696384
AATS5Z,21.38095238095238
AATS5d,3.0793650793650795
AATS5i,160.71884417723422
AATS5m,79.38857255555556
AATS5p,1.4027763828466506
AATS5s,2.876788163825201
AATS5v,189.36847030408953
AATS6Z,22.78448275862069
AATS6d,3.1293103448275863
AATS6i,162.1880357729434
AATS6m,84.85543195689655
AATS6p,1.4100354818015517
AATS6s,2.81774159216688
AATS6v,193.10281101623488
AATS7Z,21.457142857142856
AATS7d,3.0476190476190474
AATS7i,164.02565511018517
AATS7m,77.20017575238094
AATS7p,1.4302205939123047
AATS7s,2.949029982363316
AATS7v,195.53143726180866
AATS8Z,18.195876288659793
AATS8d,2.8556701030927836
AATS8i,156.9549354058227
AATS8m,63.77150257731958
AATS8p,1.4359515071215672
AATS8s,2.712772050400916
AATS8v,188.1164543178543
AMID_C,1.42945036664399
AMID_N,0.2949598811540566
AMID_O,0.2624470575508681
AMID_X,0.0
AMID_h,0.6289586732485541
ATS0dv,450.44444444444446
ATS0pe,317.8072
ATS0se,388.1368569999999
ATS1dv,460.0
ATS1pe,350.31469999999996
ATS1se,416.22818799999993
ATS2dv,635.3333333333333
ATS2pe,573.8780999999999
ATS2se,696.02195
ATS3dv,669.0
ATS3pe,606.6410999999999
ATS3se,726.1316959999999
ATS4dv,669.3333333333333
ATS4pe,701.9777999999999
ATS4se,846.25481
ATS5dv,674.3333333333334
ATS5pe,803.5769999999999
ATS5se,986.6553899999999
ATS6dv,542.3333333333333
ATS6pe,747.0567
ATS6se,917.087944
ATS7dv,457.3333333333333
ATS7pe,698.3009000000001
ATS7se,854.747532
ATS8dv,394.6666666666667
ATS8pe,610.7847
ATS8se,752.84973
ATSC0Z,495.83673469387753
ATSC0c,1.3525749475892803
ATSC0d,30.000000000000004
ATSC0i,79.80631528934728
ATSC0m,2270.133065387755
ATSC0p,13.618390266375918
ATSC0s,29.94931552868061
ATSC0v,2400.2594493629426
ATSC1Z,46.214077467721836
ATSC1c,-0.42579601851172794
ATSC1d,20.53061224489796
ATSC1i,-7.472878151336694
ATSC1m,211.93152264972935
ATSC1p,-1.1498683793507714
ATSC1s,1.0995519985099953
ATSC1v,-114.92011966238094
ATSC2Z,82.26613910870475
ATSC2c,-0.2861085672458974
ATSC2d,11.306122448979593
ATSC2i,11.788743528337173
ATSC2m,423.9279176051644
ATSC2p,4.867520351751918
ATSC2s,-5.744124961650066
ATSC2v,1196.8458175318644
ATSC3Z,40.626405664306596
ATSC3c,-0.10340826256997793
ATSC3d,-5.938775510204075
ATSC3i,-21.323562756872953
ATSC3m,178.18355422657243
ATSC3p,-0.7879210781140953
ATSC3s,-3.334749638496534
ATSC3v,-104.83317846595766
ATSC4Z,-109.46314035818402
ATSC4c,-0.4073055052549302
ATSC4d,-2.9183673469387714
ATSC4i,-31.67926007900679
ATSC4m,-529.8432906551436
ATSC4p,-3.0577065899094977
ATSC4s,-10.259123713313324
ATSC4v,-991.8495117667522
ATSC5Z,183.23615160349857
ATSC5c,1.0435383507434703
ATSC5d,-1.142857142857141
ATSC5i,-8.175261199606197
ATSC5m,820.5915750029156
ATSC5p,0.6751924675991076
ATSC5s,14.350244154099027
ATSC5v,23.462531137301994
ATSC6Z,145.10079133694296
ATSC6c,-0.11401799139432653
ATSC6d,-9.244897959183673
ATSC6i,-2.0696859292788536
ATSC6m,660.2527218371513
ATSC6p,0.264806160834969
ATSC6s,4.336541016003276
ATSC6v,368.75550569890373
ATSC7Z,-330.81341107871714
ATSC7c,-0.6537309364012873
ATSC7d,-12.57142857142857
ATSC7i,44.50956910900069
ATSC7m,-1500.979997218659
ATSC7p,1.343728399974214
ATSC7s,-20.288299799637667
ATSC7v,-150.57836080809946
ATSC8Z,-374.75843398583925
ATSC8c,0.07637573742541465
ATSC8d,-13.938775510204081
ATSC8i,-16.692522918597383
ATSC8m,-1706.4830275226984
ATSC8p,-9.108887412961554
ATSC8s,2.0552280456988368
ATSC8v,-1403.3133644143038
AXp-0d,0.7027622210239473
AXp-1d,0.4430280110342415
AXp-2d,0.26838419757769755
AXp-3d,0.17471407339490597
AXp-4d,0.10815269117491343
AXp-5d,0.06829769936764206
AXp-6d,0.045233733549914314
AXp-7d,0.02853845350724561
GATS1Z,0.6860198576530483
GATS1c,1.2681526611091758
GATS1d,0.4615384615384614
GATS1i,1.2088112800405655
GATS1m,0.6856388760271881
GATS1p,1.0440467325458962
GATS1s,0.7733018370065086
GATS1v,0.9483256556760642
GATS2Z,0.9517386343622455
GATS2c,1.4271607116114517
GATS2d,0.911627906976744
GATS2i,0.9584995698619037
GATS2m,0.9265325315781681
GATS2p,0.8448520331428547
GATS2s,1.2025932172844152
GATS2v,0.6433879312144246
GATS3Z,0.8223136867522775
GATS3c,1.143088080013165
GATS3d,1.3066666666666664
GATS3i,1.2554160214202588
GATS3m,0.819560861916059
GATS3p,1.0043613035803451
GATS3s,1.0142909777459344
GATS3v,0.917504123505192
GATS4Z,0.8981958362584727
GATS4c,1.076523429005693
GATS4d,1.0490566037735847
GATS4i,1.2648626790784907
GATS4m,0.9101869438445146
GATS4p,0.991758607645452
GATS4s,1.0668929541782073
GATS4v,1.0889898125841673
GATS5Z,0.8654922621007572
GATS5c,0.5307890195415617
GATS5d,1.022222222222222
GATS5i,1.0717097483211808
GATS5m,0.8652073908895301
GATS5p,0.9771396800088701
GATS5s,0.7307793510961429
GATS5v,0.9726448195383873
GATS6Z,1.0281471052422424
GATS6c,0.9535639722548535
GATS6d,1.1999999999999997
GATS6i,1.0884300838285266
GATS6m,1.0117583860756985
GATS6p,1.069606934692811
GATS6s,0.9274692180993278
GATS6v,0.899692218908693
GATS7Z,1.5733289430358908
GATS7c,1.4302992716423981
GATS7d,1.1428571428571426
GATS7i,0.8579388342163318
GATS7m,1.5404652903789608
GATS7p,1.082680965208963
GATS7s,1.5300865239416557
GATS7v,0.9415808614628111
GATS8Z,1.5733479525712095
GATS8c,0.7706310386553185
GATS8d,1.2536082474226802
GATS8i,1.1627894967572392
GATS8m,1.5471657353093986
GATS8p,1.5174073089496742
GATS8s,0.8587217355188971
GATS8v,1.3062383866868899
MATS1Z,0.08782705605227842
MATS1c,-0.29664224101792735
MATS1d,0.6448717948717948
MATS1i,-0.088235505425253
MATS1m,0.08797048379241633
MATS1p,-0.0795637221293965
MATS1s,0.03459565896576301
MATS1v,-0.04511600310021632
MATS2Z,0.09453226102870801
MATS2c,-0.12052222817271836
MATS2d,0.21472868217054267
MATS2i,0.08416429474957057
MATS2m,0.10639919255388305
MATS2p,0.20364775606915234
MATS2s,-0.10927847022053065
MATS2v,0.2841041954600025
MATS3Z,0.044609080598543946
MATS3c,-0.04162435077347951
MATS3d,-0.10777777777777765
MATS3i,-0.14547088456158308
MATS3m,0.04273363868802668
MATS3p,-0.03149999708108342
MATS3s,-0.0606219501929479
MATS3v,-0.023779030064600817
MATS4Z,-0.10205150626549281
MATS4c,-0.13920317975489724
MATS4d,-0.04496855345911943
MATS4i,-0.18349658432221638
MATS4m,-0.10789127854314554
MATS4p,-0.10379113191581996
MATS4s,-0.1583483638621563
MATS4v,-0.191019546883638
MATS5Z,0.14371364284930307
MATS5c,0.30003547711487133
MATS5d,-0.014814814814814788
MATS5i,-0.03983730150633423
MATS5m,0.1405727931547305
MATS5p,0.019280902028418638
MATS5s,0.18633649570480498
MATS5v,0.0038013880819958994
MATS6Z,0.12361443064276229
MATS6c,-0.03560820959515419
MATS6d,-0.1301724137931034
MATS6i,-0.010954820815242105
MATS6m,0.12285617124847653
MATS6p,0.008213729570640971
MATS6s,0.061163826524329376
MATS6v,0.064896072768882
MATS7Z,-0.31135166282515636
MATS7c,-0.2255508558183835
MATS7d,-0.1955555555555555
MATS7i,0.2602692803891369
MATS7m,-0.30855342478161346
MATS7p,0.046046062791250474
MATS7s,-0.31612987050619284
MATS7v,-0.029275960867104125
MATS8Z,-0.38180100071625217
MATS8c,0.028524525128640153
MATS8d,-0.2347079037800687
MATS8i,-0.1056596255734456
MATS8m,-0.3797300833022702
MATS8p,-0.33788110374128305
MATS8s,0.03466549947873227
MATS8v,-0.2953390128049168
MAXaaN,4.350052673847316
MAXdsN,4.8224324452003025
MAXssO,5.526491995341653
MAXssS,1.5533323622658939
MINaaN,4.284955829554044
MINdsN,4.8224324452003025
MINssO,5.358260814930569
MINssS,1.5533323622658939
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,7
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,38.73438549768016
SpAD_D,312.1574615766179
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.6358201058201056
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1246
TMWC10,138.66740555913668
TSRW10,78.73431257898513
VE1_Dt,5.349383422143743
VE2_Dt,0.18446149731530148
VE3_Dt,2.7416920430613287
VR1_Dt,180.45064403088625
VR2_Dt,6.222436001065043
VR3_Dt,6.260168037101658
Xc-3dv,0.699802889626487
Xc-4dv,0.0
Xc-5dv,0.1098426885938684
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.39576246427544143
Xch-7d,0.6831323525096153
Xp-0dv,17.317800811571175
Xp-1dv,9.77554270503175
Xp-2dv,7.0282801808200785
Xp-3dv,5.466432563815841
Xp-4dv,3.883245116430588
Xp-5dv,2.8077861139213773
Xp-6dv,1.78107772420753
Xp-7dv,1.1560567365566132
Xpc-4d,4.608641939059093
Xpc-5d,7.59111286339645
Xpc-6d,12.007783590642784
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,52
nFRing,1
nHBAcc,9
nHBDon,0
nHRing,2
nSpiro,0
naRing,3
piPC10,8.144754017367514
AATS0dv,9.192743764172336
AATS0pe,6.485861224489796
AATS0se,7.921160346938773
AATS1dv,8.846153846153847
AATS1pe,6.736821153846153
AATS1se,8.00438823076923
AATS2dv,7.387596899224805
AATS2pe,6.673001162790697
AATS2se,8.093278488372093
AATS3dv,7.433333333333334
AATS3pe,6.740456666666666
AATS3se,8.068129955555555
AATS4dv,6.314465408805031
AATS4pe,6.622432075471697
AATS4se,7.983535943396227
AATS5dv,5.351851851851852
AATS5pe,6.377595238095237
AATS5se,7.830598333333333
AATS6dv,4.675287356321839
AATS6pe,6.440143965517241
AATS6se,7.905930551724138
AATS7dv,4.355555555555555
AATS7pe,6.650484761904763
AATS7se,8.140452685714285
AATS8dv,4.0687285223367695
AATS8pe,6.2967494845360825
AATS8se,7.761337422680413
AATSC0Z,10.11911703456893
AATSC0c,0.027603570358964904
AATSC0d,0.6122448979591838
AATSC0i,1.6287003120274957
AATSC0m,46.32924623240316
AATSC0p,0.27792633196685546
AATSC0s,0.6112105209934818
AATSC0v,48.9848867216927
AATSC1Z,0.8887322589946507
AATSC1c,-0.008188384971379383
AATSC1d,0.39481946624803765
AATSC1i,-0.14370919521801334
AATSC1m,4.0756062048024875
AATSC1p,-0.022112853449053296
AATSC1s,0.021145230740576833
AATSC1v,-2.2100023011996335
AATSC2Z,0.9565830128919157
AATSC2c,-0.0033268438051848536
AATSC2d,0.1314665401044139
AATSC2i,0.1370784131201997
AATSC2m,4.929394390757725
AATSC2p,0.056599073857580444
AATSC2s,-0.06679215071686123
AATSC2v,13.916811831765866
AATSC3Z,0.45140450738118437
AATSC3c,-0.001148980695221977
AATSC3d,-0.06598639455782306
AATSC3i,-0.23692847507636614
AATSC3m,1.979817269184138
AATSC3p,-0.00875467864571217
AATSC3s,-0.0370527737610726
AATSC3v,-1.1648130940661963
AATSC4Z,-1.0326711354545661
AATSC4c,-0.003842504766555945
AATSC4d,-0.027531767423950675
AATSC4i,-0.2988609441415735
AATSC4m,-4.998521609954185
AATSC4p,-0.028846288584051867
