DLiP-ID,T003FH
GGI3,1.75
GGI4,1.6444444444444448
GGI5,0.9305555555555556
GGI6,0.7077551020408164
GGI7,0.5295138888888888
GGI8,0.31191735953640715
GGI9,0.2868750000000001
JGI1,0.22727272727272727
JGI2,0.06718346253229976
JGI3,0.040697674418604654
JGI4,0.038242894056847554
JGI5,0.020229468599033816
JGI6,0.018147566718995294
JGI7,0.01470871913580247
JGI8,0.009174039986364915
JGI9,0.0095625
MIC0,14.449265813569845
MIC1,32.62398121885429
MIC2,39.746680800793435
MIC3,41.025518575500456
MIC4,41.05751857550046
MIC5,41.05751857550046
MPC2,43
MPC3,49
MPC4,59
MPC5,73
MPC6,71
MPC7,81
MPC8,91
MPC9,94
Mare,0.9835555555555557
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.1441893529562635
RPCG,0.12244459422096513
SIC0,0.256486899176558
SIC1,0.6096985475397566
SIC2,0.8180163757394884
SIC3,0.9143193046573688
SIC4,0.9196304214449934
SIC5,0.9196304214449934
SaaN,0
SaaO,0
SaaS,0
Sare,61.96400000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,9.440055651479199
SsSH,0
SssO,5.011211734766989
SssS,0
StCH,0
StsC,0
TIC0,96.5849215645936
TIC1,229.59334991857617
TIC2,308.0393101675139
TIC3,344.30397267400434
TIC4,346.30397267400434
TIC5,346.30397267400434
Vabc,430.3604724457697
WPol,43
apol,68.06058299999998
bpol,37.14941700000001
nRot,10
ABCGG,18.279400311028482
ATS0Z,1362.0
ATS0d,183.0
ATS0i,10336.48837635422
ATS0m,5362.265040000003
ATS0p,87.56262005031897
ATS0s,321.0
ATS0v,12939.898123829591
ATS1Z,1487.0
ATS1d,222.0
ATS1i,9477.107861923358
ATS1m,5577.3344730000035
ATS1p,110.42582125600005
ATS1s,206.75
ATS1v,16077.095033314528
ATS2Z,2107.0
ATS2d,344.0
ATS2i,17072.63688220854
ATS2m,7742.669058999997
ATS2p,160.93101982503708
ATS2s,375.3333333333334
ATS2v,22416.749785496508
ATS3Z,2251.0
ATS3d,390.0
ATS3i,23487.26461456622
ATS3m,7969.875931000002
ATS3p,186.476633628923
ATS3s,427.16666666666663
ATS3v,25208.509738668905
ATS4Z,2255.0
ATS4d,389.0
ATS4i,26051.512683511948
ATS4m,7964.723315
ATS4p,179.69877190135603
ATS4s,479.49999999999994
ATS4v,24616.762614828647
ATS5Z,2394.0
ATS5d,364.0
ATS5i,21726.675998141927
ATS5m,8689.250374000003
ATS5p,169.99588287037605
ATS5s,570.6944444444446
ATS5v,24089.272426326617
ATS6Z,2104.0
ATS6d,347.0
ATS6i,21703.089137879382
ATS6m,7363.989859000002
ATS6p,165.777394833282
ATS6s,471.3333333333333
ATS6v,23037.050676842708
ATS7Z,1906.0
ATS7d,333.0
ATS7i,21302.845801092877
ATS7m,6679.445356000001
ATS7p,162.0476790786211
ATS7s,399.94444444444446
ATS7v,21823.516746368576
ATS8Z,1833.0
ATS8d,316.0
ATS8i,20664.581075107628
ATS8m,6402.854542000003
ATS8p,159.01625120892308
ATS8s,384.02777777777766
ATS8v,21117.930919956452
C1SP1,0
C1SP2,1
C1SP3,5
C2SP1,0
C2SP2,9
C2SP3,3
C3SP2,3
C3SP3,1
C4SP3,0
FCSP3,0.375
GGI10,0.17345168860320376
JGI10,0.006194703164400134
JGT10,0.4514137558850759
Kier1,28.238751147842056
Kier2,15.089237425635478
Kier3,10.870470637234485
MAXdO,11.863083767830272
MID_C,48.6630035588802
MID_N,5.989786258705681
MID_O,8.90317509473272
MID_X,0.0
MID_h,14.892961353438402
MINdO,11.54736158071819
MPC10,97
MWC01,33.0
MWC02,5.030437921392435
MWC03,5.820082930352362
MWC04,6.658011045870748
MWC05,7.473637108496206
MWC06,8.315566483564277
MWC07,9.14366623870819
MWC08,9.98860964595295
MWC09,10.823909738189732
MWC10,11.671475026941868
NaaCH,8
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,3
NdssS,0
NsCH3,3
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,3
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.263000000000003
SRW02,4.204692619390966
SRW03,0.0
SRW04,5.476463551931511
SRW05,0.0
SRW06,6.9167150203536085
SRW07,0.0
SRW08,8.437067146936952
SRW09,0.0
SRW10,10.004101822568721
SaaCH,14.85137023241006
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,3.2697420249978464
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-2.1211215554983265
SdssS,0
SsCH3,5.782522957701072
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,7.969364041816167
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.469278749650682
VE1_D,5.553474948171862
VE2_A,0.13966496092658381
VE2_D,0.1735460921303707
VE3_A,2.6603778518665657
VE3_D,2.87757465842241
VR1_A,573.890309953869
VR1_D,202.95753867864534
VR2_A,17.934072186058405
VR2_D,6.342423083707667
VR3_A,7.515589090222424
VR3_D,6.476147597897855
WPath,3624
Xc-3d,2.2271801834506855
Xc-4d,0.0
Xc-5d,0.25
Xc-6d,0.0
Xp-0d,23.509860921691395
Xp-1d,15.278096000876644
Xp-2d,13.608489024867067
Xp-3d,9.688453815056528
Xp-4d,7.430845780937374
Xp-5d,6.303320518327633
Xp-6d,3.732933503055303
Xp-7d,2.779205554039803
ZMIC0,107.98124966162857
ZMIC1,53.14054328524476
ZMIC2,30.316203865367278
ZMIC3,25.49201563454799
ZMIC4,25.365752779833702
ZMIC5,25.365752779833702
nAcid,1
nAtom,63
nBase,0
nRing,2
piPC1,3.7612001156935624
piPC2,4.23410650459726
piPC3,4.620058798481842
piPC4,5.111987788356544
piPC5,5.652927680604552
piPC6,5.818412396321176
piPC7,6.229989200460494
piPC8,6.602672691850189
piPC9,6.892118026952727
AATS0Z,21.61904761904762
AATS0d,2.9047619047619047
AATS0i,164.0712440691146
AATS0m,85.11531809523814
AATS0p,1.389882857941571
AATS0s,5.095238095238095
AATS0v,205.39520831475542
AATS1Z,23.234375
AATS1d,3.46875
AATS1i,148.07981034255246
AATS1m,87.14585114062506
AATS1p,1.7254034571250008
AATS1s,3.23046875
AATS1v,251.2046098955395
AATS2Z,19.154545454545456
AATS2d,3.1272727272727274
AATS2i,155.20578983825945
AATS2m,70.38790053636362
AATS2p,1.4630092711367007
AATS2s,3.412121212121213
AATS2v,203.78863441360463
AATS3Z,15.312925170068027
AATS3d,2.6530612244897958
AATS3i,159.77731030317156
AATS3m,54.216843068027224
AATS3p,1.2685485280879116
AATS3s,2.905895691609977
AATS3v,171.48646080727147
AATS4Z,14.272151898734178
AATS4d,2.462025316455696
AATS4i,164.88299166779714
AATS4m,50.409641234177215
AATS4p,1.137333999375671
AATS4s,3.0348101265822782
AATS4v,155.80229503056106
AATS5Z,17.733333333333334
AATS5d,2.696296296296296
AATS5i,160.93834072697723
AATS5m,64.36481758518521
AATS5p,1.2592287620027856
AATS5s,4.227366255144034
AATS5v,178.4390550098268
AATS6Z,15.701492537313433
AATS6d,2.58955223880597
AATS6i,161.96335177521928
AATS6m,54.955148201492555
AATS6p,1.2371447375618059
AATS6s,3.517412935323383
AATS6v,171.91828863315453
AATS7Z,14.330827067669173
AATS7d,2.5037593984962405
AATS7i,160.17177294054795
AATS7m,50.22139365413535
AATS7p,1.2184036020948954
AATS7s,3.0071010860484546
AATS7v,164.0865920779592
AATS8Z,14.1
AATS8d,2.4307692307692306
AATS8i,158.95831596236636
AATS8m,49.25272724615387
AATS8p,1.2232019323763315
AATS8s,2.9540598290598283
AATS8v,162.44562246120347
AMID_C,1.5207188612150062
AMID_N,0.18718082058455254
AMID_O,0.2782242217103975
AMID_X,0.0
AMID_h,0.46540504229495006
ATS0dv,438.0
ATS0pe,392.9927999999999
ATS0se,486.6082559999998
ATS1dv,404.0
ATS1pe,414.79850000000005
ATS1se,497.6622599999997
ATS2dv,549.0
ATS2pe,694.8951999999998
ATS2se,848.5611719999999
ATS3dv,511.0
ATS3pe,903.6277
ATS3se,1121.1288839999995
ATS4dv,548.0
ATS4pe,973.0535
ATS4se,1217.7831479999995
ATS5dv,615.0
ATS5pe,863.7053999999997
ATS5se,1062.9682239999997
ATS6dv,466.0
ATS6pe,852.5890000000003
ATS6se,1053.0551959999998
ATS7dv,411.0
ATS7pe,812.311
ATS7se,1014.2271360000001
ATS8dv,360.0
ATS8pe,785.6174999999996
ATS8se,981.12812
ATSC0Z,477.93650793650795
ATSC0c,1.5839877905593311
ATSC0d,33.650793650793666
ATSC0i,88.89213423454763
ATSC0m,2267.868614857142
ATSC0p,14.034954045558852
ATSC0s,124.25220458553791
ATSC0v,3106.4196580669095
ATSC1Z,2.6200554295792267
ATSC1c,-1.2815406975840131
ATSC1d,8.81506676744772
ATSC1i,-5.672691090264894
ATSC1m,15.072524573696604
ATSC1p,-0.10637323125777534
ATSC1s,-8.964761624814534
ATSC1v,41.07851576368024
ATSC2Z,54.412446460065524
ATSC2c,0.8360922179527956
ATSC2d,-3.406147644242887
ATSC2i,9.54185321809985
ATSC2m,236.37000601133826
ATSC2p,-0.08465635892973494
ATSC2s,47.621371182217736
ATSC2v,-156.94864950127635
ATSC3Z,-46.56613756613757
ATSC3c,-0.06833534046683674
ATSC3d,7.132275132275133
ATSC3i,-11.205028331356658
ATSC3m,-225.11502557142836
ATSC3p,-2.1158453168872855
ATSC3s,-16.497648442092892
ATSC3v,-429.2257649295483
ATSC4Z,59.34971025447214
ATSC4c,-0.8363221641683234
ATSC4d,2.9551524313429063
ATSC4i,17.10033177759709
ATSC4m,309.84157983446704
ATSC4p,4.914369863917611
ATSC4s,-36.72686934856245
ATSC4v,1094.9205798157188
ATSC5Z,62.897959183673464
ATSC5c,0.8918203711554503
ATSC5d,-4.204081632653064
ATSC5i,-10.897073955311777
ATSC5m,285.53181111564675
ATSC5p,-0.3711025871069794
ATSC5s,54.79950869236583
ATSC5v,34.887284303893956
ATSC6Z,-203.67447719828672
ATSC6c,-0.3210623879709268
ATSC6d,-2.0191484001007836
ATSC6i,6.572783493879616
ATSC6m,-948.4682369818593
ATSC6p,-0.9168327538003472
ATSC6s,-52.10257271632932
ATSC6v,-534.7418677150389
ATSC7Z,-44.8500881834215
ATSC7c,-0.08143016650609385
ATSC7d,-6.072310405643741
ATSC7i,-5.376815995452343
ATSC7m,-203.6911565079364
ATSC7p,-0.19412857130114275
ATSC7s,-26.473349010386052
ATSC7v,-66.62457503793983
ATSC8Z,-43.82136558327033
ATSC8c,0.14219992622074182
ATSC8d,-5.549256739732931
ATSC8i,-30.137790716972667
ATSC8m,-214.1607301814057
ATSC8p,-3.8419920988296723
ATSC8s,-6.106400996612638
ATSC8v,-626.8176735969931
AXp-0d,0.7346831538028561
AXp-1d,0.46297260608717106
AXp-2d,0.31647648895039693
AXp-3d,0.1977235472460516
AXp-4d,0.1259465386599555
AXp-5d,0.08634685641544702
AXp-6d,0.05257652821204652
AXp-7d,0.03431117967950374
GATS1Z,0.8736123796081036
GATS1c,1.8673698261527423
GATS1d,0.9931972287735844
GATS1i,1.3507787604309915
GATS1m,0.879905621105095
GATS1p,1.1811639713112554
GATS1s,0.6619565926140155
GATS1v,1.0632416235116773
GATS2Z,0.856180670873464
GATS2c,0.6459374876560201
GATS2d,1.3483404802744419
GATS2i,1.091003079824361
GATS2m,0.8663952383150447
GATS2p,1.087404983445892
GATS2s,0.41172571910070316
GATS2v,1.0641679332620764
GATS3Z,0.9927883474877829
GATS3c,0.9882134067849162
GATS3d,0.9462938005390832
GATS3i,1.1084196691157566
GATS3m,0.9962371591528899
GATS3p,1.0859370104534307
GATS3s,0.8409294605977408
GATS3v,1.065097957939243
GATS4Z,0.9696484199286162
GATS4c,1.3752227420748364
GATS4d,0.9562096966802002
GATS4i,0.8848217498207727
GATS4m,0.9616500012267566
GATS4p,0.8099902825645968
GATS4s,1.1626317977716445
GATS4v,0.8162661848559255
GATS5Z,0.9522727775932691
GATS5c,1.0244293259403034
GATS5d,1.1668867924528297
GATS5i,1.1031144483106023
GATS5m,0.95141157158733
GATS5p,1.0010805527323894
GATS5s,1.0690704650513596
GATS5v,0.9582447941368886
GATS6Z,1.2178598868824262
GATS6c,1.2268904281057187
GATS6d,1.0380984229794419
GATS6i,1.0136908984060737
GATS6m,1.210051526314246
GATS6p,1.0036289756762296
GATS6s,1.55043279789891
GATS6v,1.032198151505141
GATS7Z,1.0187750179167614
GATS7c,0.9960176112233337
GATS7d,1.1705809334657393
GATS7i,1.0104773396188687
GATS7m,1.0173624918382984
GATS7p,1.0291305278428111
GATS7s,1.1497083826085919
GATS7v,1.0156834748986932
GATS8Z,0.9898965332243314
GATS8c,0.7894346973574614
GATS8d,1.1125580551523941
GATS8i,1.162852387122183
GATS8m,0.9944511295091681
GATS8p,1.1733562100006947
GATS8s,0.9136865175250012
GATS8v,1.1222578807574934
MATS1Z,0.005396359182995657
MATS1c,-0.7964181489926773
MATS1d,0.2578640919811319
MATS1i,-0.0628183285288844
MATS1m,0.006542273339836846
MATS1p,-0.00746074046124197
MATS1s,-0.07102237947296702
MATS1v,0.013017128529258671
MATS2Z,0.06520425107937564
MATS2c,0.3023084007279568
MATS2d,-0.0579716981132076
MATS2i,0.06147765060907234
MATS2m,0.059692853461852956
MATS2p,-0.00345458954916853
MATS2s,0.2195056267347647
MATS2v,-0.02893645478764174
MATS3Z,-0.041756416947383405
MATS3c,-0.01848914155799498
MATS3d,0.09083557951482477
MATS3i,-0.05402227137985075
MATS3m,-0.04254120695969774
MATS3p,-0.06460946342617283
MATS3s,-0.05690378520430615
MATS3v,-0.05921733683915494
MATS4Z,0.04951443861957631
MATS4c,-0.21052575783979358
MATS4d,0.035016121327919716
MATS4i,0.0767051750996992
MATS4m,0.05447600738111239
MATS4p,0.1396176444795967
MATS4s,-0.11785914044935437
MATS4v,0.14054194364082784
MATS5Z,0.06141481235469943
MATS5c,0.26274371706210103
MATS5d,-0.058301886792452844
MATS5i,-0.05720754960981813
MATS5m,0.05875480512746932
MATS5p,-0.012339278543729251
MATS5s,0.20581609913273058
MATS5v,0.005240995894702081
MATS6Z,-0.20035590893093483
MATS6c,-0.0952957106143049
MATS6d,-0.028210363277949894
MATS6i,0.034763359898993186
MATS6m,-0.19662586751437253
MATS6p,-0.03071247925689392
MATS6s,-0.19714729216898288
MATS6v,-0.080931914460514
MATS7Z,-0.04445104791204179
MATS7c,-0.024351314046963116
MATS7d,-0.08547666335650446
MATS7i,-0.02865172337105684
MATS7m,-0.04254447723715772
MATS7p,-0.006551901683388936
MATS7s,-0.10092382238046751
MATS7v,-0.010159287122248204
MATS8Z,-0.04443374294254399
MATS8c,0.04350555752289612
MATS8d,-0.07991654571843249
MATS8i,-0.16430291797502372
MATS8m,-0.04576349085941702
MATS8p,-0.13266081760009585
MATS8s,-0.023816526052477287
MATS8v,-0.09778636546581647
MAXsOH,9.440055651479199
MAXssO,5.011211734766989
MINsOH,9.440055651479199
MINssO,5.011211734766989
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,2
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,10
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,39.5456501459854
SpAD_D,472.74297869074667
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.8179197836232728
SssNH2,0
SsssAs,0
SsssCH,-0.9253034715871697
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,723
TMWC10,139.92539613946877
TSRW10,67.03904016118176
VE1_Dt,5.59283732692205
VE2_Dt,0.17477616646631405
VE3_Dt,2.8846375401018314
VR1_Dt,198.92084885198966
VR2_Dt,6.216276526624677
VR3_Dt,6.4560578109465006
Xc-3dv,1.023563823921709
Xc-4dv,0.0
Xc-5dv,0.04641167759027602
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.16666666666666666
Xch-7d,0.21407617506269555
Xp-0dv,18.682136573997862
Xp-1dv,10.684273874234055
Xp-2dv,7.890222659396983
Xp-3dv,4.521031042805488
Xp-4dv,2.8856722269234942
Xp-5dv,1.9608960383418896
Xp-6dv,1.0378019047459814
Xp-7dv,0.6721631209258631
Xpc-4d,3.7351937509809847
Xpc-5d,4.864403653383751
Xpc-6d,7.407129455904378
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,64
nFRing,0
nHBAcc,4
nHBDon,4
nHRing,0
nSpiro,0
naRing,2
piPC10,7.162536780291059
AATS0dv,6.9523809523809526
AATS0pe,6.23798095238095
AATS0se,7.723940571428568
AATS1dv,6.3125
AATS1pe,6.481226562500001
AATS1se,7.775972812499996
AATS2dv,4.990909090909091
AATS2pe,6.317229090909089
AATS2se,7.714192472727272
AATS3dv,3.4761904761904763
AATS3pe,6.147127210884354
AATS3se,7.626727102040813
AATS4dv,3.4683544303797467
AATS4pe,6.158566455696202
AATS4se,7.7074882784810095
AATS5dv,4.555555555555555
AATS5pe,6.397817777777775
AATS5se,7.8738386962962945
AATS6dv,3.4776119402985075
AATS6pe,6.362604477611942
AATS6se,7.85862086567164
AATS7dv,3.0902255639097747
AATS7pe,6.1076015037593985
AATS7se,7.6257679398496245
AATS8dv,2.769230769230769
AATS8pe,6.043211538461535
AATS8se,7.5471393846153845
AATSC0Z,7.586293776769968
AATSC0c,0.025142663342211605
AATSC0d,0.5341395817586296
AATSC0i,1.4109862576912322
AATSC0m,35.99791452154194
AATSC0p,0.222777048342204
AATSC0s,1.9722572156434588
AATSC0v,49.30824854074459
AATSC1Z,0.040938366087175417
AATSC1c,-0.020024073399750205
AATSC1d,0.13773541824137062
AATSC1i,-0.08863579828538896
AATSC1m,0.23550819646400944
AATSC1p,-0.0016620817384027397
AATSC1s,-0.1400744003877271
AATSC1v,0.6418518088075037
AATSC2Z,0.49465860418241386
AATSC2c,0.007600838345025415
AATSC2d,-0.030964978584026245
AATSC2i,0.0867441201645441
AATSC2m,2.1488182364667114
AATSC2p,-0.0007696032629975904
AATSC2s,0.4329215562019794
AATSC2v,-1.4268059045570578
AATSC3Z,-0.31677644602814675
AATSC3c,-0.00046486626167916155
AATSC3d,0.04851887845085125
AATSC3i,-0.07622468252623577
AATSC3m,-1.5313947317784242
AATSC3p,-0.014393505557056364
AATSC3s,-0.1122289009666183
AATSC3v,-2.919903162786043
AATSC4Z,0.3756310775599503
AATSC4c,-0.005293178254229895
AATSC4d,0.01870349640090447
AATSC4i,0.10822994795947526
AATSC4m,1.9610226571801712
AATSC4p,0.031103606733655767
AATSC4s,-0.23244854018077502
AATSC4v,6.929877087441258
AATSC5Z,0.4659108087679516
