DLiP-ID,T000FY
ATS4d,365.0
ATS4i,19622.117189293644
ATS4m,8682.982330000003
ATS4p,165.68498976558402
ATS4s,432.43518518518516
ATS4v,23047.92833977494
ATS5Z,2512.0
ATS5d,360.0
ATS5i,19301.707370220258
ATS5m,9296.665849000003
ATS5p,163.910485969527
ATS5s,426.3024691358025
ATS5v,22952.931142372145
ATS6Z,2602.0
ATS6d,340.0
ATS6i,18048.06311172058
ATS6m,9588.151318
ATS6p,162.226501164188
ATS6s,526.0864197530864
ATS6v,22991.49154088529
ATS7Z,2574.0
ATS7d,321.0
ATS7i,17180.7503866521
ATS7m,9546.230700000002
ATS7p,155.373624273886
ATS7s,417.16358024691357
ATS7v,21581.73483656818
ATS8Z,2313.0
ATS8d,290.0
ATS8i,16028.256183419522
ATS8m,8640.487816
ATS8p,140.93804398498
ATS8s,429.2654320987654
ATS8v,19456.792773426478
C1SP1,0
C1SP2,3
C1SP3,2
C2SP1,0
C2SP2,11
C2SP3,3
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.2727272727272727
GGI10,0.14457708397102337
JGI10,0.005560657075808591
JGT10,0.4098585192259968
Kier1,26.074074074074073
Kier2,12.807996668054978
Kier3,7.739854877721043
MAXdO,12.78085944221215
MID_C,46.17717324874107
MID_N,8.09414979050924
MID_O,11.037943716322552
MID_X,0.0
MID_h,21.183239984134133
MINdO,11.366242624231527
MPC10,116
MWC01,36.0
MWC02,5.14166355650266
MWC03,5.968707559985366
MWC04,6.829793737512425
MWC05,7.674617497364363
MWC06,8.538367426647644
MWC07,9.391411146868485
MWC08,10.256781788315383
MWC09,11.114758659343176
MWC10,11.981509336837258
NaaCH,5
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,2
NdssC,4
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,3
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,1.9012999999999998
SRW02,4.290459441148391
SRW03,0.0
SRW04,5.594711379601839
SRW05,3.044522437723423
SRW06,7.065613363597717
SRW07,5.2832037287379885
SRW08,8.614138397472717
SRW09,7.273092595999522
SRW10,10.207030670918908
SaaCH,8.400266679852898
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,2.7744139885627725
SaasN,0
SdCH2,0
SddsN,0
SdsCH,2.9711361483469925
SdssC,-1.3271861935314888
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,8.437208177982603
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.417598879931213
VE1_D,5.6576652083991865
VE2_A,0.13386663272518828
VE2_D,0.1714444002545208
VE3_A,2.679518777119255
VE3_D,2.9269337682329972
VR1_A,1324.490941967068
VR1_D,219.72202926847652
VR2_A,40.136089150517215
VR2_D,6.658243311165955
VR3_A,8.382705938329213
VR3_D,6.586285712606356
WPath,3776
Xc-3d,2.174207309251388
Xc-4d,0.0
Xc-5d,0.2845177968644246
Xc-6d,0.0
Xp-0d,23.208531534440656
Xp-1d,15.974366886035767
Xp-2d,14.488227744629512
Xp-3d,11.360286558737062
Xp-4d,9.44621069027504
Xp-5d,7.1567526721781975
Xp-6d,4.8397038676153405
Xp-7d,3.365893915625662
ZMIC0,107.55034229267179
ZMIC1,51.086382776994604
ZMIC2,32.44733939698102
ZMIC3,26.68346920162477
ZMIC4,26.545965212042052
ZMIC5,26.545965212042052
nAcid,1
nAtom,55
nBase,3
nRing,4
piPC1,3.8607297110405954
piPC2,4.378896741664954
piPC3,4.845170854368724
piPC4,5.329997703151008
piPC5,5.712287867699913
piPC6,5.946401802471067
piPC7,6.173330270859172
piPC8,6.484348935113184
piPC9,6.5940714039913555
AATS0Z,30.0
AATS0d,3.4909090909090907
AATS0i,162.23021730488327
AATS0m,118.9927249454546
AATS0p,1.6044819619395996
AATS0s,5.885415887267739
AATS0v,233.99259649827715
AATS1Z,29.25862068965517
AATS1d,4.120689655172414
AATS1i,148.03342784022848
AATS1m,112.52634086206898
AATS1p,1.8633776287241381
AATS1s,3.4802575564069818
AATS1v,276.32534567733893
AATS2Z,26.051020408163264
AATS2d,3.683673469387755
AATS2i,154.40493431842697
AATS2m,98.5920581734694
AATS2p,1.6502722124310718
AATS2s,3.80268959435626
AATS2v,235.49980184963124
AATS3Z,20.072580645161292
AATS3d,3.1129032258064515
AATS3i,159.54569949765866
AATS3m,72.99058653225806
AATS3p,1.389396038932129
AATS3s,3.120818399044206
AATS3v,192.36164040841854
AATS4Z,19.57377049180328
AATS4d,2.9918032786885247
AATS4i,160.83702614175118
AATS4m,71.17198631147544
AATS4p,1.3580736866031478
AATS4s,3.5445506982392225
AATS4v,188.9174454079913
AATS5Z,20.760330578512395
AATS5d,2.975206611570248
AATS5i,159.51824272909303
AATS5m,76.83194916528927
AATS5p,1.3546321154506364
AATS5s,3.523160901948781
AATS5v,189.69364580472848
AATS6Z,22.82456140350877
AATS6d,2.982456140350877
AATS6i,158.31634308526824
AATS6m,84.10659050877193
AATS6p,1.423039483896386
AATS6s,4.614793155728828
AATS6v,201.6797503586429
AATS7Z,23.61467889908257
AATS7d,2.944954128440367
AATS7i,157.6215631802945
AATS7m,87.58009816513763
AATS7p,1.425446094255835
AATS7s,3.8271888096047118
AATS7v,197.99756730796494
AATS8Z,22.900990099009903
AATS8d,2.871287128712871
AATS8i,158.6956057764309
AATS8m,85.54938431683169
AATS8p,1.3954261780691088
AATS8s,4.250152793057083
AATS8v,192.64151260818295
AMID_C,1.3993082802648809
AMID_N,0.24527726637906788
AMID_O,0.3344831429188652
AMID_X,0.0
AMID_h,0.6419163631555798
ATS0dv,514.4444444444445
ATS0pe,364.15939999999983
ATS0se,443.35824899999983
ATS1dv,472.33333333333337
ATS1pe,391.007
ATS1se,464.83108399999986
ATS2dv,656.6666666666667
ATS2pe,655.6332
ATS2se,788.9859319999998
ATS3dv,559.6666666666667
ATS3pe,795.3479
ATS3se,977.3928099999998
ATS4dv,625.6666666666667
ATS4pe,788.7664
ATS4se,966.8836119999999
ATS5dv,586.6666666666667
ATS5pe,772.65
ATS5se,952.595336
ATS6dv,669.3333333333334
ATS6pe,763.6558000000001
ATS6se,932.867024
ATS7dv,600.0
ATS7pe,715.4431000000001
ATS7se,878.40618
ATS8dv,592.3333333333334
ATS8pe,655.1374000000001
ATS8se,805.3669719999999
ATSC0Z,549.7090909090908
ATSC0c,1.9118155125246223
ATSC0d,31.345454545454537
ATSC0i,87.31094297099364
ATSC0m,2519.6862356363636
ATSC0p,14.883342417024984
ATSC0s,123.31402918069588
ATSC0v,2628.9454322535476
ATSC1Z,17.124958677685964
ATSC1c,-1.2995878078561593
ATSC1d,5.072066115702481
ATSC1i,-6.66181017997568
ATSC1m,85.02036834710822
ATSC1p,0.6193357167810798
ATSC1s,-8.913300456869475
ATSC1v,119.34368364163738
ATSC2Z,36.31834710743803
ATSC2c,0.6772969616126854
ATSC2d,-3.906446280991731
ATSC2i,20.915333701877444
ATSC2m,153.19492579338925
ATSC2p,1.8499483165247097
ATSC2s,28.703501116666096
ATSC2v,-134.80667051801913
ATSC3Z,-120.30776859504131
ATSC3c,-0.5118630437906498
ATSC3d,-3.7970247933884287
ATSC3i,-19.585518894919968
ATSC3m,-552.7511898347105
ATSC3p,-2.9016660820421016
ATSC3s,-37.78638188846943
ATSC3v,-320.9050687624058
ATSC4Z,-100.30016528925621
ATSC4c,0.28028322722999455
ATSC4d,-3.2935537190082638
ATSC4i,3.890070145591123
ATSC4m,-458.2634038842974
ATSC4p,-1.1112694071080684
ATSC4s,-7.325074878980602
ATSC4v,-326.5808450619161
ATSC5Z,142.34909090909088
ATSC5c,0.022179086395497413
ATSC5d,-0.9599999999999996
ATSC5i,-3.2008195088283475
ATSC5m,655.257539909091
ATSC5p,0.434781072125059
ATSC5s,-18.338289063474246
ATSC5v,485.60714385630547
ATSC6Z,-131.32429752066116
ATSC6c,-0.3065072068876178
ATSC6d,-0.388760330578512
ATSC6i,-1.6368651086502313
ATSC6m,-582.4916448099169
ATSC6p,0.6131518917189847
ATSC6s,-4.112799827681975
ATSC6v,-165.79150475323777
ATSC7Z,53.74016528925618
ATSC7c,-0.10695252514721164
ATSC7d,0.18809917355371908
ATSC7i,-12.524824941857498
ATSC7m,215.67209752066174
ATSC7p,-1.5593146107092524
ATSC7s,-20.82738677459215
ATSC7v,-174.7576936235456
ATSC8Z,160.4796694214876
ATSC8c,0.7552236554315886
ATSC8d,-2.9071074380165283
ATSC8i,1.225291800218983
ATSC8m,744.6688027768596
ATSC8p,-0.40036033571023805
ATSC8s,59.43884138806698
ATSC8v,275.763144127847
AXp-0d,0.7032888343769895
AXp-1d,0.4437324135009935
AXp-2d,0.295678117237337
AXp-3d,0.18623420588093545
AXp-4d,0.12110526525993641
AXp-5d,0.07951947413531331
AXp-6d,0.05148621135761001
AXp-7d,0.03236436457332367
GATS1Z,0.7172759373438902
GATS1c,1.646858614638806
GATS1d,0.8910712857028564
GATS1i,1.24157684952071
GATS1m,0.7157055521622419
GATS1p,0.9492578339528623
GATS1s,0.6511646210200682
GATS1v,0.8748942599408075
GATS2Z,0.8475169190518042
GATS2c,0.8089516950779501
GATS2d,1.1514217055731808
GATS2i,0.9763754492951345
GATS2m,0.8471926145750559
GATS2p,0.933753465632205
GATS2s,0.5083286290685078
GATS2v,0.964240789593574
GATS3Z,1.1217663514906313
GATS3c,0.9951885774045667
GATS3d,1.1114437542100144
GATS3i,1.1387983081920026
GATS3m,1.115544757080968
GATS3p,1.1224357157613967
GATS3s,0.9915712136685444
GATS3v,1.0428146499427444
GATS4Z,1.0169611456865955
GATS4c,0.8816618149489266
GATS4d,1.0308185310562552
GATS4i,1.0049514629211977
GATS4m,1.019506304960753
GATS4p,0.9835460821999413
GATS4s,0.9334006620591725
GATS4v,1.0240773236427054
GATS5Z,0.8950639556910643
GATS5c,0.9199430703505778
GATS5d,1.110525205652816
GATS5i,0.9874355424418798
GATS5m,0.8921921958812357
GATS5p,1.0100073161398133
GATS5s,1.1476363825011529
GATS5v,0.9251445664647139
GATS6Z,1.2473104521573832
GATS6c,1.1306095170381232
GATS6d,1.0427097325680794
GATS6i,0.995944180406532
GATS6m,1.2251261897733263
GATS6p,1.0917747209467599
GATS6s,1.5140336682149957
GATS6v,0.9872322379474439
GATS7Z,1.1567252494761049
GATS7c,1.0450702432259844
GATS7d,0.9641009812895125
GATS7i,1.0708412635587405
GATS7m,1.1385485748202497
GATS7p,1.2365948527700676
GATS7s,1.2602201167535247
GATS7v,1.032071238101326
GATS8Z,1.0333998769990118
GATS8c,0.7370460493393146
GATS8d,1.040465415451058
GATS8i,0.9835935872698308
GATS8m,1.0111777825275001
GATS8p,1.1819034386538798
GATS8s,0.7732463817205434
GATS8v,0.965674267618009
MATS1Z,0.0295414160353838
MATS1c,-0.6446059992481858
MATS1d,0.15344227538203067
MATS1i,-0.07235328787429261
MATS1m,0.03199714390923488
MATS1p,0.039460296906753164
MATS1s,-0.06854262836738743
MATS1v,0.04304795873634736
MATS2Z,0.037079149977117275
MATS2c,0.1988244363701435
MATS2d,-0.06994294237416537
MATS2i,0.1344413092600225
MATS2m,0.034122004101833914
MATS2p,0.06975827545987014
MATS2s,0.13063483430544895
MATS2v,-0.02877838541430215
MATS3Z,-0.0970737388157319
MATS3c,-0.11875415070148627
MATS3d,-0.05372913704064067
MATS3i,-0.09949640927805779
MATS3m,-0.09730255110715756
MATS3p,-0.08647448096813008
MATS3s,-0.1359138846748272
MATS3v,-0.0541422137996727
MATS4Z,-0.08225675794377628
MATS4c,0.06609277504858552
MATS4d,-0.04736887147693127
MATS4i,0.020085914639418966
MATS4m,-0.08199201732617549
MATS4p,-0.03366059153411421
MATS4s,-0.026779498465979046
MATS4v,-0.056003090702769154
MATS5Z,0.11770613457456083
MATS5c,0.005273209073260117
MATS5d,-0.013921113689095125
MATS5i,-0.0166636381311526
MATS5m,0.11820691485703635
MATS5p,0.013278452817881793
MATS5s,-0.06759641213027308
MATS5v,0.08396162097038005
MATS6Z,-0.11525771496943724
MATS6c,-0.07734861604373731
MATS6d,-0.005983636585663691
MATS6i,-0.009044864202838452
MATS6m,-0.11153240699854498
MATS6p,0.019875837485885863
MATS6s,-0.016090995842748937
MATS6v,-0.0304255571473181
MATS7Z,0.049328995304514685
MATS7c,-0.028228074379342133
MATS7d,0.0030279486579109834
MATS7i,-0.0723834330646239
MATS7m,0.043190048335961254
MATS7p,-0.05286514968370128
MATS7s,-0.08522332721234543
MATS7v,-0.033542152121667376
MATS8Z,0.15897484767329684
MATS8c,0.21511511112286036
MATS8d,-0.05050423835887069
MATS8i,0.0076420902847402356
MATS8m,0.16093778211278892
MATS8p,-0.014648457213837554
MATS8s,0.26248178021142704
MATS8v,0.057121021585360934
MAXaaS,1.1883809156378597
MAXdsN,4.17657240909966
MAXsOH,9.301253724355592
MAXssO,5.349430864059871
MINaaS,1.1883809156378597
MINdsN,4.17657240909966
MINsOH,9.301253724355592
MINssO,5.280575700623023
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,5
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,9
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,42.46735115405434
SpAD_D,474.1435870142793
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,2.1745388165899513
SssNH2,0
SsssAs,0
SsssCH,-0.7498722902488588
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,893
TMWC10,145.89761070937675
TSRW10,84.37277201520051
VE1_Dt,5.633053312778875
VE2_Dt,0.17069858523572348
VE3_Dt,2.9225740927071473
VR1_Dt,222.15311182943606
VR2_Dt,6.73191247967988
VR3_Dt,6.597289305541237
Xc-3dv,0.9274471114883766
Xc-4dv,0.0
Xc-5dv,0.08399397158522909
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.23570226039551584
Xch-6d,0.48814483610392007
Xch-7d,0.5968331829175806
Xp-0dv,18.31474957416057
Xp-1dv,11.08826364585621
Xp-2dv,8.387220807007237
Xp-3dv,5.920726913195124
Xp-4dv,4.096848769979504
Xp-5dv,2.5919416743622232
Xp-6dv,1.4460833758072615
Xp-7dv,0.8753955655498372
Xpc-4d,4.186669412460509
Xpc-5d,6.307580176875774
Xpc-6d,8.63215299948613
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,2
nBonds,58
nFRing,1
nHBAcc,8
nHBDon,4
nHRing,3
nSpiro,0
naRing,2
piPC10,6.775437435423276
AATS0dv,9.353535353535353
AATS0pe,6.621079999999997
AATS0se,8.06105907272727
AATS1dv,8.14367816091954
AATS1pe,6.7415
AATS1se,8.014329034482756
AATS2dv,6.700680272108844
AATS2pe,6.6901346938775506
AATS2se,8.050876857142855
AATS3dv,4.513440860215054
AATS3pe,6.414095967741935
AATS3se,7.88220008064516
AATS4dv,5.128415300546449
AATS4pe,6.465298360655738
AATS4se,7.92527550819672
AATS5dv,4.8484848484848495
AATS5pe,6.385537190082644
AATS5se,7.8726887272727275
AATS6dv,5.871345029239766
AATS6pe,6.6987350877192995
AATS6se,8.18304407017544
AATS7dv,5.504587155963303
AATS7pe,6.563698165137615
AATS7se,8.05877229357798
AATS8dv,5.864686468646865
AATS8pe,6.486508910891089
AATS8se,7.973930415841584
AATSC0Z,9.994710743801651
AATSC0c,0.03476028204590222
AATSC0d,0.5699173553719007
AATSC0i,1.5874716903817025
AATSC0m,45.812477011570245
AATSC0p,0.2706062257640906
AATSC0s,2.2420732578308344
AATSC0v,47.79900785915541
AATSC1Z,0.29525790823596487
AATSC1c,-0.022406686342347576
AATSC1d,0.08744941578797381
AATSC1i,-0.11485879620647724
AATSC1m,1.4658684197777279
AATSC1p,0.010678202013466894
AATSC1s,-0.15367759408395648
AATSC1v,2.0576497179592654
AATSC2Z,0.37059537864732683
AATSC2c,0.0069111934858437285
AATSC2d,-0.03986169674481358
AATSC2i,0.21342177246813718
AATSC2m,1.5632135285039719
AATSC2p,0.01887702363800724
AATSC2s,0.29289286853740915
AATSC2v,-1.3755782705920319
AATSC3Z,-0.9702239402825912
AATSC3c,-0.00412792777250524
AATSC3d,-0.03062116768861636
AATSC3i,-0.15794773302354811
AATSC3m,-4.457670885763795
AATSC3p,-0.023400532919694367
AATSC3s,-0.3047288861973341
