DLiP-ID,P000DZ
ATS1m,6169.593244835201
ATS1p,111.40644143000002
ATS1s,198.11111111111114
ATS1v,16635.622311486208
ATS2Z,2349.0
ATS2d,398.0
ATS2i,16218.544428660092
ATS2m,8836.3601106704
ATS2p,164.834563541943
ATS2s,331.16666666666674
ATS2v,24115.875185772307
ATS3Z,2537.0
ATS3d,458.0
ATS3i,21456.70487708257
ATS3m,9379.437905521601
ATS3p,187.383768230678
ATS3s,388.4722222222223
ATS3v,26628.91720466673
ATS4Z,2551.0
ATS4d,455.0
ATS4i,22047.45169153718
ATS4m,9367.134121686397
ATS4p,189.226809593829
ATS4s,393.88888888888886
ATS4v,26827.70488206572
ATS5Z,2663.0
ATS5d,471.0
ATS5i,22484.367018699722
ATS5m,9794.145975835198
ATS5p,200.091217248131
ATS5s,405.66666666666663
ATS5v,28274.54868480266
ATS6Z,2721.0
ATS6d,469.0
ATS6i,22637.038524909494
ATS6m,9989.520052457603
ATS6p,205.11116480788593
ATS6s,430.8333333333333
ATS6v,28851.631892714835
ATS7Z,2558.0
ATS7d,446.0
ATS7i,23437.387408018898
ATS7m,9246.234987292799
ATS7p,203.8758867304329
ATS7s,422.1666666666665
ATS7v,28176.373237660002
ATS8Z,2366.0
ATS8d,427.0
ATS8i,24198.848700409086
ATS8m,8435.863023718399
ATS8p,191.01422445422503
ATS8s,419.61111111111103
ATS8v,25951.31498249527
C1SP1,0
C1SP2,1
C1SP3,2
C2SP1,0
C2SP2,15
C2SP3,3
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.24
GGI10,0.15284154678094072
JGI10,0.004366901336598307
JGT10,0.32994907356971354
Kier1,24.68371073776479
Kier2,11.82314494425221
Kier3,5.877551020408164
MAXsF,13.563738755183493
MID_C,52.38659277496126
MID_N,10.530488848706515
MID_O,3.977601926776745
MID_X,1.7634495730839834
MID_h,16.271540348567243
MINsF,13.563738755183493
MPC10,241
MWC01,37.0
MWC02,5.176149732573829
MWC03,6.037870919922137
MWC04,6.920671504248683
MWC05,7.802618063442671
MWC06,8.695674048824253
MWC07,9.587337416104821
MWC08,10.486457078074604
MWC09,11.38412571757864
MWC10,12.287353048481272
NaaCH,11
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,8
NaasN,1
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.871600000000004
SRW02,4.31748811353631
SRW03,0.0
SRW04,5.631211781821365
SRW05,2.3978952727983707
SRW06,7.150701457592526
SRW07,4.727387818712341
SRW08,8.760139370026627
SRW09,6.86171134048073
SRW10,10.41586197629197
SaaCH,19.080824934255116
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,4.166820361022411
SaasN,2.175341553287982
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,1.5893147935081695
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.4027538277452596
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.507658353252751
VE1_D,5.649244202010505
VE2_A,0.13659570767432577
VE2_D,0.17118921824274258
VE3_A,2.6997002750106445
VE3_D,2.9254442351271766
VR1_A,519.5521674846339
VR1_D,229.46727731753148
VR2_A,15.744005075291936
VR2_D,6.953553858107014
VR3_A,7.446889692612324
VR3_D,6.629682905312768
WPath,3150
Xc-3d,1.7094092512470975
Xc-4d,0.0
Xc-5d,0.3656934947021461
Xc-6d,0.0
Xp-0d,22.622745096813752
Xp-1d,16.224677988261845
Xp-2d,14.141729656419935
Xp-3d,12.338107933065261
Xp-4d,10.61935736352929
Xp-5d,8.863720222553809
Xp-6d,6.055532185359637
Xp-7d,4.572187863221231
ZMIC0,105.2499985203573
ZMIC1,54.45557087300138
ZMIC2,31.733353996770926
ZMIC3,28.332173715782297
ZMIC4,27.390762133355864
ZMIC5,27.2562747644378
nAcid,0
nAtom,57
nBase,1
nRing,5
piPC1,3.901972669574645
piPC2,4.497028027368389
piPC3,5.103670160063445
piPC4,5.709391713420712
piPC5,6.246470071570935
piPC6,6.544541143917919
piPC7,6.987461391552358
piPC8,7.450515521278474
piPC9,7.8569850160994195
AATS0Z,24.17543859649123
AATS0d,3.508771929824561
AATS0i,163.83402449696453
AATS0m,96.22533565175037
AATS0p,1.5445590651995789
AATS0s,4.048245614035087
AATS0v,230.88296203148857
AATS1Z,26.37704918032787
AATS1d,4.180327868852459
AATS1i,147.40888627414762
AATS1m,101.14087286615084
AATS1p,1.8263351054098362
AATS1s,3.247723132969035
AATS1v,272.71511986042964
AATS2Z,22.58653846153846
AATS2d,3.826923076923077
AATS2i,155.94754258327012
AATS2m,84.96500106413848
AATS2p,1.5849477263648366
AATS2s,3.1842948717948727
AATS2v,231.88341524781066
AATS3Z,18.932835820895523
AATS3d,3.417910447761194
AATS3i,160.12466326181024
AATS3m,69.99580526508657
AATS3p,1.3983863300796864
AATS3s,2.899046434494196
AATS3v,198.7232627213935
AATS4Z,18.62043795620438
AATS4d,3.321167883211679
AATS4i,160.93030431778962
AATS4m,68.37324176413428
AATS4p,1.381217588276124
AATS4s,2.8751013787510136
AATS4v,195.82266337274248
AATS5Z,19.021428571428572
AATS5d,3.3642857142857143
AATS5i,160.60262156214088
AATS5m,69.95818554167998
AATS5p,1.4292229803437928
AATS5s,2.8976190476190475
AATS5v,201.96106203430472
AATS6Z,19.161971830985916
AATS6d,3.3028169014084505
AATS6i,159.41576425992602
AATS6m,70.34873276378593
AATS6p,1.444444822590746
AATS6s,3.034037558685446
AATS6v,203.18050628672418
AATS7Z,17.401360544217688
AATS7d,3.0340136054421767
AATS7i,159.43800957835984
AATS7m,62.89955773668571
AATS7p,1.3869107940845775
AATS7s,2.8718820861677994
AATS7v,191.6760084194558
AATS8Z,15.773333333333333
AATS8d,2.8466666666666667
AATS8i,161.32565800272724
AATS8m,56.239086824789325
AATS8p,1.273428163028167
AATS8s,2.7974074074074067
AATS8v,173.00876654996847
AMID_C,1.5874725083321592
AMID_N,0.3191057226880762
AMID_O,0.12053339172050742
AMID_X,0.0534378658510298
AMID_h,0.4930769802596134
ATS0dv,490.0
ATS0pe,364.4381
ATS0se,443.46764799999994
ATS1dv,504.0
ATS1pe,402.77950000000004
ATS1se,477.93271999999985
ATS2dv,727.0
ATS2pe,681.5693999999997
ATS2se,819.3326599999997
ATS3dv,746.0
ATS3pe,849.5637000000002
ATS3se,1037.75622
ATS4dv,721.0
ATS4pe,870.5476999999997
ATS4se,1063.665952
ATS5dv,750.0
ATS5pe,891.6794000000004
ATS5se,1087.238044
ATS6dv,745.0
ATS6pe,903.9904999999999
ATS6se,1098.7503119999997
ATS7dv,639.0
ATS7pe,923.0382999999997
ATS7se,1129.9202719999996
ATS8dv,588.0
ATS8pe,932.1528000000001
ATS8se,1150.3535919999997
ATSC0Z,417.3684210526316
ATSC0c,1.1355409655158177
ATSC0d,31.508771929824565
ATSC0i,111.9716557476948
ATSC0m,2002.9348820839846
ATSC0p,12.969768777831716
ATSC0s,65.1120857699805
ATSC0v,2785.20292089671
ATSC1Z,30.20221606648197
ATSC1c,-0.6146658070865357
ATSC1d,12.367805478608796
ATSC1i,-24.201689689878435
ATSC1m,140.51521312540217
ATSC1p,-1.3278047912951398
ATSC1s,-1.0770664477959022
ATSC1v,-54.64461554671565
ATSC2Z,8.78393351800548
ATSC2c,-0.022720510766322862
ATSC2d,5.668205601723606
ATSC2i,1.433330490740019
ATSC2m,43.35011337447945
ATSC2p,0.12012367075080865
ATSC2s,7.482139803700287
ATSC2v,29.854171087771576
ATSC3Z,70.16897506925207
ATSC3c,0.27208773192459057
ATSC3d,1.3302554632194512
ATSC3i,-7.67948164365983
ATSC3m,328.37520433965204
ATSC3p,0.8994683845938877
ATSC3s,6.499658014431791
ATSC3v,391.72024889633013
ATSC4Z,11.570637119113545
ATSC4c,-0.28784379521289305
ATSC4d,-1.3982763927362272
ATSC4i,-10.246898030618649
ATSC4m,53.51410398203659
ATSC4p,0.48659529400595525
ATSC4s,-5.504291918881025
ATSC4v,192.5943188957906
ATSC5Z,-10.606648199446006
ATSC5c,0.09426500903980513
ATSC5d,-4.039088950446292
ATSC5i,7.439898128428011
ATSC5m,-40.2687814648248
ATSC5p,2.5286351631568116
ATSC5s,-4.612530351219178
ATSC5v,309.70469849696417
ATSC6Z,-62.584487534626064
ATSC6c,0.0169639540864789
ATSC6d,-12.162203755001538
ATSC6i,-0.023764241329407465
ATSC6m,-301.74847374581776
ATSC6p,-2.9904117601194775
ATSC6s,3.6369481207892993
ATSC6v,-618.4603481383202
ATSC7Z,-120.79224376731304
ATSC7c,-0.08745979209958965
ATSC7d,-8.3471837488458
ATSC7i,-3.201242103023319
ATSC7m,-568.1126163073344
ATSC7p,-3.4605017588911897
ATSC7s,-9.81976505591464
ATSC7v,-797.6380757136191
ATSC8Z,-77.49584487534626
ATSC8c,0.08737748753702754
ATSC8d,-4.72483841181902
ATSC8i,-28.247272265197097
ATSC8m,-366.6179511852643
ATSC8p,-3.615358880252858
ATSC8s,-3.6575356519954854
ATSC8v,-756.7579856206669
AXp-0d,0.6855377302064773
AXp-1d,0.4385048104935634
AXp-2d,0.27728881679254774
AXp-3d,0.17625868475807516
AXp-4d,0.111782709089782
AXp-5d,0.07206276603702284
AXp-6d,0.044855793965626944
AXp-7d,0.028398682380256092
GATS1Z,0.7115622351311681
GATS1c,1.5398118051441094
GATS1d,0.6701230420971922
GATS1i,1.249177704475576
GATS1m,0.7126688674825582
GATS1p,1.1028549202489877
GATS1s,0.587273702150006
GATS1v,0.946314316858441
GATS2Z,0.8753564846250848
GATS2c,1.200323116954551
GATS2d,0.9997216035634743
GATS2i,1.0005157243111371
GATS2m,0.8705344529904286
GATS2p,0.9553769407564795
GATS2s,0.6345894768355663
GATS2v,0.9136385315377674
GATS3Z,0.884647381001675
GATS3c,0.9777999948684777
GATS3d,1.1539075225210251
GATS3i,1.0140126759422199
GATS3m,0.8850191881008953
GATS3p,0.9468906103107938
GATS3s,0.8310837847287774
GATS3v,0.9064061990896309
GATS4Z,0.9465634521037176
GATS4c,1.2411288796607496
GATS4d,1.1351259083445775
GATS4i,0.9911599698769412
GATS4m,0.9430247927233603
GATS4p,0.9387181464168469
GATS4s,0.8074790066087322
GATS4v,0.9230274697078963
GATS5Z,0.9430517023959646
GATS5c,1.0674836741197606
GATS5d,1.1361915367483295
GATS5i,0.8799564532175405
GATS5m,0.9344526782360938
GATS5p,0.8529710074358382
GATS5s,0.575929945363371
GATS5v,0.8939802550857716
GATS6Z,0.9670923396621848
GATS6c,0.9563314673421365
GATS6d,1.1765111829103798
GATS6i,0.9627313550331312
GATS6m,0.9643958490727433
GATS6p,1.0336407193347863
GATS6s,0.615262625826059
GATS6v,1.0314092237451304
GATS7Z,1.045096979523209
GATS7c,0.9598819355955379
GATS7d,0.9974546611517656
GATS7i,0.9564677290113831
GATS7m,1.0410884096501665
GATS7p,1.0745305603013946
GATS7s,0.8012231761951096
GATS7v,1.0809943454980258
GATS8Z,1.0559495586380832
GATS8c,0.9768724217689031
GATS8d,0.9775055679287304
GATS8i,1.0143694659761486
GATS8m,1.0529859927926795
GATS8p,1.0903841513039934
GATS8s,0.8785306489035253
GATS8v,1.0933068434753876
MATS1Z,0.06761829946457729
MATS1c,-0.5058028463663414
MATS1d,0.36678045930848124
MATS1i,-0.2019680203318426
MATS1m,0.06555435324622035
MATS1p,-0.09566366570648005
MATS1s,-0.015457025033710776
MATS1v,-0.018333085063620077
MATS2Z,0.011534823940246307
MATS2c,-0.010966216111706518
MATS2d,0.09859516875107072
MATS2i,0.007015841284755662
MATS2m,0.011862191310283559
MATS2p,0.005076190098804153
MATS2s,0.06298044538352154
MATS2v,0.005874754082740202
MATS3Z,0.07151474656979917
MATS3c,0.10192394185310877
MATS3d,0.017958647741249195
MATS3i,-0.029173857928308126
MATS3m,0.06973865758448353
MATS3p,0.02950011619620653
MATS3s,0.04246185433881413
MATS3v,0.059825899507268236
MATS4Z,0.011534319455822357
MATS4c,-0.10546499936350913
MATS4d,-0.018463576804903035
MATS4i,-0.03807488521338773
MATS4m,0.011116183739604503
MATS4p,0.01560953476489508
MATS4s,-0.03517176311707952
MATS4v,0.028770070016455256
MATS5Z,-0.010346784363177828
MATS5c,0.03379827436840182
MATS5d,-0.052191377664651616
MATS5i,0.027052394292404105
MATS5m,-0.008185561540668516
MATS5p,0.0793781109466836
MATS5s,-0.028841938691500847
MATS5v,0.045272843450855096
MATS6Z,-0.06019128643233932
MATS6c,0.0059966788821026054
MATS6d,-0.15494134069450105
MATS6i,-8.519269658469042e-05
MATS6m,-0.06047345244826311
MATS6p,-0.09255188524632539
MATS6s,0.022421362995727508
MATS6v,-0.08913361691013592
MATS7Z,-0.11222173610932393
MATS7c,-0.029865043745594896
MATS7d,-0.10272260351802193
MATS7i,-0.011085823014997434
MATS7m,-0.10998288934771705
MATS7p,-0.10345806741942581
MATS7s,-0.05847860587240661
MATS7v,-0.11104692987338885
MATS8Z,-0.07055737704918032
MATS8c,0.029240200285498157
MATS8d,-0.05698218262806233
MATS8i,-0.09586321992917284
MATS8m,-0.06955534236112967
MATS8p,-0.10592604988026347
MATS8s,-0.021345707656612534
MATS8v,-0.10324850386242933
MAXaaN,4.7075539529147035
MAXssO,5.949294390774369
MINaaN,4.298017097641015
MINssO,5.373846075510105
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,7
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,44.29084237581403
SpAD_D,396.30307897367777
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,3.8650350471109576
SssNH2,0
SsssAs,0
SsssCH,0.2884253706584152
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1361
TMWC10,148.3782575292509
TSRW10,83.26239713126023
VE1_Dt,5.665757789752533
VE2_Dt,0.171689629992501
VE3_Dt,2.9283631209530117
VR1_Dt,227.34738986716764
VR2_Dt,6.8893148444596255
VR3_Dt,6.62040166799652
Xc-3dv,0.6849915368477021
Xc-4dv,0.0
Xc-5dv,0.1153582448686225
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.5187287392826324
Xch-7d,0.7471879438542403
Xp-0dv,18.239945790958483
Xp-1dv,10.904761814680771
Xp-2dv,7.814496559403466
Xp-3dv,5.759879156405458
Xp-4dv,4.1187376512056
Xp-5dv,2.85426098490701
Xp-6dv,1.4809674329302203
Xp-7dv,0.9429399115342237
Xpc-4d,4.398559436648183
Xpc-5d,7.538143552237397
Xpc-6d,11.978424099042602
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,4
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,61
nFRing,0
nHBAcc,7
nHBDon,1
nHRing,3
nSpiro,0
naRing,4
piPC10,8.186288241156861
AATS0dv,8.596491228070175
AATS0pe,6.393650877192983
AATS0se,7.7801341754385955
AATS1dv,8.262295081967213
AATS1pe,6.60294262295082
AATS1se,7.834962622950817
AATS2dv,6.990384615384615
AATS2pe,6.55355192307692
AATS2se,7.878198653846151
AATS3dv,5.567164179104478
AATS3pe,6.340027611940299
AATS3se,7.744449402985074
AATS4dv,5.262773722627737
AATS4pe,6.354362773722626
AATS4se,7.763985051094891
AATS5dv,5.357142857142857
AATS5pe,6.369138571428574
AATS5se,7.765986028571429
AATS6dv,5.246478873239437
AATS6pe,6.36613028169014
AATS6se,7.737678253521125
AATS7dv,4.346938775510204
AATS7pe,6.279172108843535
AATS7se,7.686532462585031
AATS8dv,3.92
AATS8pe,6.214352000000001
AATS8se,7.669023946666664
AATSC0Z,7.322253000923362
AATSC0c,0.019921771324838907
AATSC0d,0.5527854724530625
AATSC0i,1.9644150131174525
AATSC0m,35.13920845761376
AATSC0p,0.22753980311985467
AATSC0s,1.1423172942101842
AATSC0v,48.86320913853877
AATSC1Z,0.49511829617183556
AATSC1c,-0.01007648864076288
AATSC1d,0.2027509094853901
AATSC1i,-0.39674901130948254
AATSC1m,2.3035280840229864
AATSC1p,-0.021767291660576064
AATSC1s,-0.017656827013047577
AATSC1v,-0.8958133696182893
AATSC2Z,0.08446089921159115
AATSC2c,-0.00021846644967618136
AATSC2d,0.05450197693965006
AATSC2i,0.01378202394942326
AATSC2m,0.41682801321614854
AATSC2p,0.0011550352956808524
AATSC2s,0.07194365195865661
AATSC2v,0.287059337382419
AATSC3Z,0.5236490676809856
AATSC3c,0.0020305054621238103
AATSC3d,0.009927279576264561
AATSC3i,-0.05730956450492411
AATSC3m,2.4505612264153136
AATSC3p,0.0067124506312976695
AATSC3s,0.04850491055546113
AATSC3v,2.9232854395248515
AATSC4Z,0.08445720524900398
AATSC4c,-0.00210104960009411
AATSC4d,-0.01020639702727173
AATSC4i,-0.07479487613590255
AATSC4m,0.39061389767909915
AATSC4p,0.0035517904671967535
