DLiP-ID,I000AB
ATS3v,19134.459349065917
ATS4Z,2390.0
ATS4d,266.0
ATS4i,15891.149853478082
ATS4m,8984.843769000001
ATS4p,149.44162200692304
ATS4s,288.0987654320988
ATS4v,18761.16839919834
ATS5Z,2632.0
ATS5d,236.0
ATS5i,13201.4860868694
ATS5m,10019.895826000002
ATS5p,139.56391270218802
ATS5s,375.4567901234567
ATS5v,18272.98872659538
ATS6Z,2039.0
ATS6d,204.0
ATS6i,12027.003863732982
ATS6m,7452.758285999999
ATS6p,130.98052278569799
ATS6s,296.29012345679
ATS6v,16140.33007289316
ATS7Z,1936.0
ATS7d,172.0
ATS7i,10682.233163448416
ATS7m,7334.853517999999
ATS7p,113.74209676879198
ATS7s,199.24262688614542
ATS7v,12763.59551441385
ATS8Z,1515.0
ATS8d,119.0
ATS8i,6726.916809592656
ATS8m,6144.485225
ATS8p,76.33888583939599
ATS8s,139.33333333333334
ATS8v,9795.897086795676
C1SP1,0
C1SP2,2
C1SP3,2
C2SP1,0
C2SP2,7
C2SP3,2
C3SP2,1
C3SP3,1
C4SP3,0
FCSP3,0.3125
GGI10,0.10315273951637588
JGI10,0.011461415501819542
JGT10,0.5501819450241698
Kier1,19.32638888888889
Kier2,8.392733564013842
Kier3,4.988662131519274
MAXdO,12.591326845553036
MAXdS,5.23634763164525
MID_C,32.49878393282817
MID_N,2.213303943255414
MID_O,5.20702584392519
MID_X,1.7603299662238712
MID_h,12.99371738327387
MINdO,11.528116408102878
MINdS,5.23634763164525
MPC10,58
MWC01,24.0
MWC02,4.762173934797756
MWC03,5.594711379601839
MWC04,6.481577129276431
MWC05,7.3453648404168685
MWC06,8.234564993267135
MWC07,9.112176123188952
MWC08,10.003287637613305
MWC09,10.888501786287165
MWC10,11.78163111872149
NaaCH,4
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,2
NaasN,0
NdCH2,0
NddsN,0
NdsCH,1
NdssC,4
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,4.149600000000003
SRW02,3.8918202981106265
SRW03,0.0
SRW04,5.220355825078324
SRW05,2.3978952727983707
SRW06,6.720220155135295
SRW07,4.844187086458591
SRW08,8.304247465078474
SRW09,7.002155954403621
SRW10,9.937840668907791
SaaCH,7.509563964474679
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.8143593553378912
SaasN,0
SdCH2,0
SddsN,0
SdsCH,1.7361356764928193
SdssC,-0.6161104730957274
SdssS,0
SsCH3,3.843765143868929
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,1.2291898148148148
SsssP,0
VE1_A,3.880629745467581
VE1_D,4.715970615895759
VE2_A,0.16872303241163394
VE2_D,0.20504220069111995
VE3_A,2.18890656893305
VE3_D,2.3838638748647276
VR1_A,203.72266160971958
VR1_D,126.15711606104885
VR2_A,8.857507026509547
VR2_D,5.485092002654298
VR3_A,6.149668689905036
VR3_D,5.670437205952013
WPath,1223
Xc-3d,2.076393795015064
Xc-4d,0.0
Xc-5d,0.4203861795573405
Xc-6d,0.0
Xp-0d,17.14589989101247
Xp-1d,10.790601455632679
Xp-2d,10.308553400532055
Xp-3d,7.548066344541022
Xp-4d,6.21562660201589
Xp-5d,5.194638987457844
Xp-6d,2.7639513018692714
Xp-7d,1.7528211553267956
ZMIC0,78.61859156683862
ZMIC1,43.05225672650019
ZMIC2,32.54085527102847
ZMIC3,31.318808040129476
ZMIC4,31.318808040129476
ZMIC5,31.318808040129476
nAcid,1
nAtom,39
nBase,0
nRing,2
piPC1,3.4657359027997265
piPC2,3.979681653901961
piPC3,4.3975308212098465
piPC4,4.866572449419391
piPC5,5.32331481072132
piPC6,5.375856944003455
piPC7,5.662526358140849
piPC8,6.019201302079582
piPC9,6.226042476047855
AATS0Z,65.8974358974359
AATS0d,3.3846153846153846
AATS0i,156.64644961245344
AATS0m,300.74152379487174
AATS0p,2.076879960963691
AATS0s,5.325808536456685
AATS0v,258.0271738272201
AATS1Z,34.25
AATS1d,4.025
AATS1i,142.2786458883412
AATS1m,135.3395532
AATS1p,2.1358513159000005
AATS1s,3.1190586419753084
AATS1v,291.4384871842889
AATS2Z,34.35294117647059
AATS2d,3.6911764705882355
AATS2i,148.89073832988296
AATS2m,136.08644016176476
AATS2p,1.9338888043226916
AATS2s,3.1826535140805303
AATS2v,251.58197953135272
AATS3Z,26.977777777777778
AATS3d,2.9444444444444446
AATS3i,153.11386511886857
AATS3m,103.04219153333335
AATS3p,1.6752170619576436
AATS3s,2.873593964334705
AATS3v,212.6051038785102
AATS4Z,23.9
AATS4d,2.66
AATS4i,158.91149853478083
AATS4m,89.84843769000001
AATS4p,1.4944162200692304
AATS4s,2.880987654320988
AATS4v,187.6116839919834
AATS5Z,30.96470588235294
AATS5d,2.776470588235294
AATS5i,155.31160102199294
AATS5m,117.8811273647059
AATS5p,1.6419283847316237
AATS5s,4.417138707334785
AATS5v,214.97633795994565
AATS6Z,26.141025641025642
AATS6d,2.6153846153846154
AATS6i,154.19235722734592
AATS6m,95.54818315384614
AATS6p,1.6792374716115126
AATS6s,3.798591326369103
AATS6v,206.92730862683538
AATS7Z,28.057971014492754
AATS7d,2.4927536231884058
AATS7i,154.8149733833104
AATS7m,106.3022248985507
AATS7p,1.6484361850549563
AATS7s,2.8875743026977596
AATS7v,184.9796451364326
AATS8Z,33.666666666666664
AATS8d,2.6444444444444444
AATS8i,149.48704021317013
AATS8m,136.54411611111112
AATS8p,1.6964196853199107
AATS8s,3.0962962962962965
AATS8v,217.6866019287928
AMID_C,1.4129906057751378
AMID_N,0.09623060622849626
AMID_O,0.2263924279967474
AMID_X,0.0765360854879944
AMID_h,0.5649442340553856
ATS0dv,287.95610425240056
ATS0pe,248.29680000000002
ATS0se,306.2501229999999
ATS1dv,268.03703703703707
ATS1pe,259.61
ATS1se,311.4158359999999
ATS2dv,370.3333333333333
ATS2pe,432.43550000000005
ATS2se,526.6245049999999
ATS3dv,366.55555555555554
ATS3pe,562.5079
ATS3se,694.5039879999999
ATS4dv,371.03703703703707
ATS4pe,615.6007000000001
ATS4se,771.2644379999998
ATS5dv,364.1111111111111
ATS5pe,559.0074999999999
ATS5se,689.4188159999999
ATS6dv,220.37037037037038
ATS6pe,511.72400000000016
ATS6se,632.6337639999998
ATS7dv,181.20987654320987
ATS7pe,430.0458000000001
ATS7se,542.195785
ATS8dv,146.55555555555554
ATS8pe,281.0503
ATS8se,345.794036
ATSC0Z,1439.230769230769
ATSC0c,0.815551334941437
ATSC0d,26.97435897435897
ATSC0i,61.32595928584382
ATSC0m,7327.098755589745
ATSC0p,17.548729138677746
ATSC0s,85.0063091343955
ATSC0v,2205.1760254074193
ATSC1Z,-1.0059171597633305
ATSC1c,-0.5697443544318844
ATSC1d,7.795529257067722
ATSC1i,-2.611618575863993
ATSC1m,-3.076812707429161
ATSC1p,0.7194928729975983
ATSC1s,-5.384898064048901
ATSC1v,52.32891111991745
ATSC2Z,279.9053254437869
ATSC2c,0.1780751517889048
ATSC2d,0.8908612754766615
ATSC2i,-2.5751564923137122
ATSC2m,1244.2244573563446
ATSC2p,3.703721467806627
ATSC2s,25.9790323446148
ATSC2v,311.01639636225786
ATSC3Z,-99.45562130177511
ATSC3c,0.18652230149356783
ATSC3d,3.5719921104536496
ATSC3i,0.1579100736258301
ATSC3m,-557.3899184891518
ATSC3p,-0.6947360436619718
ATSC3s,-9.98723461389653
ATSC3v,-209.64284742317426
ATSC4Z,120.17751479289949
ATSC4c,-0.5028090423652471
ATSC4d,-1.3188691650230113
ATSC4i,23.146247851861755
ATSC4m,523.0767195904008
ATSC4p,6.2237737509054
ATSC4s,-14.69519620827392
ATSC4v,1251.012775891748
ATSC5Z,-40.42603550295856
ATSC5c,0.45357211227899985
ATSC5d,-10.995397764628533
ATSC5i,-1.4922894283149488
ATSC5m,-137.06769720841547
ATSC5p,-4.004949770878466
ATSC5s,34.83184919584888
ATSC5v,87.57666932303117
ATSC6Z,-556.3846153846155
ATSC6c,-0.08921906862893428
ATSC6d,-6.051282051282051
ATSC6i,-1.3676190502909351
ATSC6m,-2565.927584666667
ATSC6p,-1.967189036323743
ATSC6s,-47.3887525939995
ATSC6v,-976.6107123994168
ATSC7Z,-317.2544378698226
ATSC7c,-0.14113849657731564
ATSC7d,-1.5700197238658782
ATSC7i,-13.512309787758216
ATSC7m,-1267.7738806587774
ATSC7p,-6.074941373077853
ATSC7s,-27.04209026306604
ATSC7v,-882.7952664100068
ATSC8Z,84.34911242603548
ATSC8c,0.12405187578982607
ATSC8d,-5.9704142011834325
ATSC8i,-21.176447872714395
ATSC8m,443.90780106311666
ATSC8p,-4.935846474652881
ATSC8s,2.285257424858564
ATSC8v,-542.198976615547
AXp-0d,0.7454739083048899
AXp-1d,0.44960839398469493
AXp-2d,0.3031927470744722
AXp-3d,0.1797158653462148
AXp-4d,0.11301139276392527
AXp-5d,0.07991752288396682
AXp-6d,0.047654332790849505
AXp-7d,0.02873477303814419
GATS1Z,0.5214591127739178
GATS1c,1.6693766690259344
GATS1d,0.9332937262357415
GATS1i,1.0345834485113894
GATS1m,0.5131597806610111
GATS1p,0.6710765537258576
GATS1s,0.6557415669593992
GATS1v,0.800844776619267
GATS2Z,0.533107492061496
GATS2c,0.7294065970164239
GATS2d,1.2015768284500112
GATS2i,1.0468467160122614
GATS2m,0.5359732628288908
GATS2p,0.68453795483379
GATS2s,0.4261028779513798
GATS2v,0.8094767015744307
GATS3Z,0.8692452045845955
GATS3c,0.7815296762990803
GATS3d,0.9469898605830166
GATS3i,0.9694166303875694
GATS3m,0.8749168547189285
GATS3p,0.8827303081179834
GATS3s,0.8588934107389476
GATS3v,0.981416344889543
GATS4Z,0.720537680384821
GATS4c,1.2758511908066867
GATS4d,1.0495152091254754
GATS4i,0.839277838151636
GATS4m,0.7057644066848363
GATS4p,0.788479366038791
GATS4s,1.0911417263375893
GATS4v,0.7635411694971828
GATS5Z,0.6401949256452983
GATS5c,1.2284514592162732
GATS5d,1.2761574591813913
GATS5i,1.1164060551719652
GATS5m,0.5761554196769376
GATS5p,1.1558650781268158
GATS5s,1.291443709376121
GATS5v,0.8894097756175738
GATS6Z,0.9400142526278285
GATS6c,1.5144521113890188
GATS6d,1.1197718631178708
GATS6i,1.0538203782115647
GATS6m,0.8808876217642969
GATS6p,1.0979188984778054
GATS6s,1.936122033575708
GATS6v,1.119116365471177
GATS7Z,1.0622421552451997
GATS7c,1.0179356847553334
GATS7d,0.9697883947759961
GATS7i,1.2255942743051984
GATS7m,0.9732321620213262
GATS7p,1.4910846273459093
GATS7s,1.4261062034712901
GATS7v,1.2532725671285834
GATS8Z,1.0179820654433163
GATS8c,0.6925972450533024
GATS8d,1.0330798479087453
GATS8i,1.206611685336873
GATS8m,1.0426165393278897
GATS8p,1.1405098937602622
GATS8s,0.6815671921431704
GATS8v,1.1699673463314377
MATS1Z,-0.0006814537680384936
MATS1c,-0.6811352293488389
MATS1d,0.28177281368821305
MATS1i,-0.04152121126387623
MATS1m,-0.00040942431510901286
MATS1p,0.03997472099711917
MATS1s,-0.06176336398921827
MATS1v,0.02313678715625123
MATS2Z,0.11154148457886627
MATS2c,0.12522980795897432
MATS2d,0.018941511966003164
MATS2i,-0.02408324313941345
MATS2m,0.09739179789087044
MATS2p,0.12104541462718711
MATS2s,0.1752780386602436
MATS2v,0.08089016423161419
MATS3Z,-0.029944771067165504
MATS3c,0.09910636790633995
MATS3d,0.05738276299112803
MATS3i,0.0011158031503795578
MATS3m,-0.03296470259269193
MATS3p,-0.01715521866044016
MATS3s,-0.050911534803605565
MATS3v,-0.04119636384428373
MATS4Z,0.03256547300908607
MATS4c,-0.2404453504285265
MATS4d,-0.019068441064638786
MATS4i,0.14719764301036936
MATS4m,0.027841841286038012
MATS4p,0.13831609934096883
MATS4s,-0.0674200136388216
MATS4v,0.2212499033983649
MATS5Z,-0.012887729116232271
MATS5c,0.25517652719377115
MATS5d,-0.18702751062402148
MATS5i,-0.011164888578618314
MATS5m,-0.00858319052319725
MATS5p,-0.10471215177293186
MATS5s,0.18800571565471216
MATS5v,0.0182217818668223
MATS6Z,-0.19329235702832714
MATS6c,-0.05469862215070797
MATS6d,-0.11216730038022815
MATS6i,-0.01115040894767242
MATS6m,-0.1750984714590584
MATS6p,-0.05604933043236787
MATS6s,-0.2787366789391926
MATS6v,-0.22143599901939398
MATS7Z,-0.12459275439778782
MATS7c,-0.09781595520749944
MATS7d,-0.03289799966936685
MATS7i,-0.12453767666535112
MATS7m,-0.09779694112121579
MATS7p,-0.19566445456440812
MATS7s,-0.17980617991238454
MATS7v,-0.22627274729413172
MATS8Z,0.05079280242294672
MATS8c,0.13182692625012515
MATS8d,-0.19182509505703427
MATS8i,-0.29926839634324814
MATS8m,0.05250647044455396
MATS8p,-0.24376315672555574
MATS8s,0.023298934573740288
MATS8v,-0.21309218598395396
MAXsBr,3.3598542350886533
MAXsOH,9.437182979558521
MAXssS,1.147507204270597
MINsBr,3.3598542350886533
MINsOH,9.437182979558521
MINssS,1.147507204270597
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,2
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,27.873110561845444
SpAD_D,221.0026706867561
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.3683899745236323
SssNH2,0
SsssAs,0
SsssCH,-0.7689620939693096
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,547
TMWC10,121.20398894317096
TSRW10,71.3187227259711
VE1_Dt,4.733409481883307
VE2_Dt,0.20580041225579593
VE3_Dt,2.3875548864666287
VR1_Dt,124.07154320390347
VR2_Dt,5.394414921908846
VR3_Dt,5.653767483483753
Xc-3dv,1.5981720520869496
Xc-4dv,0.0
Xc-5dv,0.18176404168699742
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.07856742013183861
Xch-6d,0.34138465031521753
Xch-7d,0.5450734569093487
Xp-0dv,15.872933192348682
Xp-1dv,9.064955114747645
Xp-2dv,8.178289678223
Xp-3dv,5.141776381332726
Xp-4dv,3.8431827822102846
Xp-5dv,2.7242870745424415
Xp-6dv,1.510405935962044
Xp-7dv,0.9123430641586733
Xpc-4d,3.852131916378055
Xpc-5d,5.935537230923987
Xpc-6d,9.792651092962245
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,40
nFRing,0
nHBAcc,4
nHBDon,1
nHRing,1
nSpiro,0
naRing,1
piPC10,6.333501628362602
AATS0dv,7.383489852625655
AATS0pe,6.366584615384616
AATS0se,7.852567256410254
AATS1dv,6.700925925925927
AATS1pe,6.4902500000000005
AATS1se,7.7853958999999975
AATS2dv,5.446078431372548
AATS2pe,6.3593455882352945
AATS2se,7.744478014705881
AATS3dv,4.07283950617284
AATS3pe,6.250087777777777
AATS3se,7.716710977777777
AATS4dv,3.7103703703703705
AATS4pe,6.156007000000001
AATS4se,7.712644379999998
AATS5dv,4.283660130718954
AATS5pe,6.576558823529411
AATS5se,8.110809599999998
AATS6dv,2.825261158594492
AATS6pe,6.560564102564105
AATS6se,8.110689282051279
AATS7dv,2.6262300948291286
AATS7pe,6.232547826086958
AATS7se,7.857909927536232
AATS8dv,3.2567901234567898
AATS8pe,6.2455622222222225
AATS8se,7.684311911111111
AATSC0Z,36.903353057199205
AATSC0c,0.020911572690806075
AATSC0d,0.6916502301117685
AATSC0i,1.5724604945088159
AATSC0m,187.87432706640374
AATSC0p,0.4499674138122499
AATSC0s,2.179648952163987
AATSC0v,56.542975010446646
AATSC1Z,-0.025147928994083264
AATSC1c,-0.01424360886079711
AATSC1d,0.19488823142669304
AATSC1i,-0.06529046439659983
AATSC1m,-0.07692031768572902
AATSC1p,0.017987321824939957
AATSC1s,-0.13462245160122252
AATSC1v,1.3082227779979363
AATSC2Z,4.116254785938043
AATSC2c,0.0026187522321897763
AATSC2d,0.013100901109950904
AATSC2i,-0.03786994841637812
AATSC2m,18.29741849053448
AATSC2p,0.05446649217362687
AATSC2s,0.3820445933031588
AATSC2v,4.5737705347390865
AATSC3Z,-1.1050624589086124
AATSC3c,0.002072470016595198
AATSC3d,0.039688801227262774
AATSC3i,0.0017545563736203343
AATSC3m,-6.193221316546131
AATSC3p,-0.00771928937402191
AATSC3s,-0.11096927348773923
AATSC3v,-2.329364971368603
