DLiP-ID,P0008K
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,2
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,423.0381190240005
MZ,0.8333333333333331
Mi,1.1136332573893961
Mm,0.8013866077307926
Mp,0.7475977272727273
Mv,0.6886315387746794
SZ,36.66666666666666
Si,48.99986332513343
Sm,35.26101074015487
Sp,32.8943
Sv,30.299787706085894
nB,0
nC,17
nF,0
nH,17
nI,0
nN,3
nO,4
nP,0
nS,3
nX,0
ABC,20.94066382774949
AMW,9.61450270509092
IC0,1.9029881730273317
IC1,3.8589228825561563
IC2,4.86023780098729
IC3,5.215002357224489
IC4,5.215002357224489
IC5,5.215002357224489
MID,54.329548264518486
Mpe,0.9926024955436717
Mse,1.0247550155598226
NdO,4
NdS,0
NsF,0
NsI,0
NtN,0
SMR,109.04090000000004
SdO,48.42116594887496
SdS,0
Spe,43.67450980392156
SsF,0
SsI,0
Sse,45.089220684632195
StN,0
fMF,0.4090909090909091
nBr,0
nCl,0
AMID,2.0122054912784626
BIC0,0.3276858739594796
BIC1,0.6644888997397289
BIC2,0.83691075648348
BIC3,0.8979995931395152
BIC4,0.8979995931395152
BIC5,0.8979995931395152
CIC0,3.5564434456099656
CIC1,1.600508736081141
CIC2,0.5991938176500069
CIC3,0.24442926141280807
CIC4,0.24442926141280807
CIC5,0.24442926141280807
GGI1,7.5
GGI2,2.8888888888888897
GGI3,2.1875
GGI4,1.5183333333333333
GGI5,0.7949999999999998
GGI6,0.8728344671201812
GGI7,0.5667871315192744
GGI8,0.4265794280675233
GGI9,0.19876543209876543
JGI1,0.2586206896551724
JGI2,0.07046070460704609
JGI3,0.059121621621621614
JGI4,0.03795833333333334
JGI5,0.021486486486486486
JGI6,0.02182086167800453
JGI7,0.015318571122142549
JGI8,0.0118494285574312
JGI9,0.007361682670324646
MIC0,24.103975045466612
MIC1,42.98096505454672
MIC2,51.26672006792833
MIC3,51.62432274061542
MIC4,51.62432274061542
MIC5,51.62432274061542
MPC2,41
MPC3,50
MPC4,65
MPC5,70
MPC6,82
MPC7,91
MPC8,108
MPC9,110
Mare,1.003909090909091
NaaN,0
NaaO,0
NaaS,2
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.13962420932722705
RPCG,0.1303941074866564
SIC0,0.34856891815092056
SIC1,0.7068360137312909
SIC2,0.8902461172689679
SIC3,0.9552280752856432
SIC4,0.9552280752856432
SIC5,0.9552280752856432
SaaN,0
SaaO,0
SaaS,2.117152564455279
Sare,44.172000000000004
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,83.7314796132026
TIC1,169.79260683247088
TIC2,213.85046324344077
TIC3,229.46010371787753
TIC4,229.46010371787753
TIC5,229.46010371787753
Vabc,335.40542235022065
WPol,37
apol,54.933480999999986
bpol,32.076519
nRot,7
ABCGG,17.87774519703768
ATS0Z,1800.0
ATS0d,157.0
ATS0i,6996.618891182534
ATS0m,7165.754096000001
ATS0p,86.40253538243297
ATS0s,288.63966049382714
ATS0v,11114.048322886832
ATS1Z,1763.0
ATS1d,192.0
ATS1i,6652.762125156497
ATS1m,6857.356057000002
ATS1p,100.75491724000001
ATS1s,133.50154320987656
ATS1v,13620.417330565975
ATS2Z,2577.0
ATS2d,288.0
ATS2i,11518.886414649833
ATS2m,9883.474097000002
ATS2p,147.64152830424507
ATS2s,310.6544924554184
ATS2v,19437.800696516108
ATS3Z,2383.0
ATS3d,297.0
ATS3i,14918.042961890807
ATS3m,8847.093285000003
ATS3p,147.42887266418802
ATS3s,316.9969135802468
ATS3v,19455.10382983593
ATS4Z,2255.0
ATS4d,296.0
ATS4i,14886.718868975437
ATS4m,8413.545147
ATS4p,142.35187413243298
ATS4s,364.33641975308643
ATS4v,19363.09157836903
ATS5Z,2270.0
ATS5d,299.0
ATS5i,14773.497138886749
ATS5m,8381.527641999997
ATS5p,145.72465200194296
ATS5s,352.77006172839504
ATS5v,19573.53140462754
ATS6Z,2451.0
ATS6d,291.0
ATS6i,14220.105177383506
ATS6m,9218.909124000002
ATS6p,149.17986779018798
ATS6s,328.66820987654313
ATS6v,19822.133627633808
ATS7Z,2580.0
ATS7d,291.0
ATS7i,15110.804171485737
ATS7m,9603.846473000003
ATS7p,155.633896724188
ATS7s,362.3967764060356
ATS7v,19763.618079650878
ATS8Z,2551.0
ATS8d,253.0
ATS8i,14870.737368847454
ATS8m,9529.596554000002
ATS8p,141.41359290188598
ATS8s,400.0540123456789
ATS8v,18707.387006810142
C1SP1,0
C1SP2,4
C1SP3,1
C2SP1,0
C2SP2,8
C2SP3,2
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.17647058823529413
GGI10,0.10958677685950416
JGI10,0.006088154269972451
JGT10,0.5100865340015354
Kier1,21.702734839476815
Kier2,9.666864961332541
Kier3,5.9904
MAXdO,12.506817322238048
MID_C,35.03237476443712
MID_N,6.072433199667396
MID_O,6.999110306883604
MID_X,0.0
MID_h,19.297173500081378
MINdO,11.463712012761436
MPC10,112
MWC01,29.0
MWC02,4.948759890378168
MWC03,5.777652323222656
MWC04,6.663132695990803
MWC05,7.5126175446745105
MWC06,8.403128235128264
MWC07,9.262268464836541
MWC08,10.15521856070225
MWC09,11.019923387227362
MWC10,11.91413486371287
NaaCH,7
NaaNH,1
NaaSe,0
NaaaC,0
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,2
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,3.7043000000000017
SRW02,4.07753744390572
SRW03,0.0
SRW04,5.407171771460119
SRW05,3.044522437723423
SRW06,6.902742737158593
SRW07,5.209486152841421
SRW08,8.481151420068972
SRW09,7.13966033596492
SRW10,10.108018967638357
SaaCH,11.336755418369775
SaaNH,2.6907214768623495
SaaSe,0
SaaaC,0
SaasC,2.064563012060759
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.16617958448811576
SdssS,0
SsCH3,1.8955181444070333
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,5.286960270219199
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.573511960959531
VE1_D,5.107262314775853
VE2_A,0.16938933188739005
VE2_D,0.18915786351021677
VE3_A,2.513533164395997
VE3_D,2.6239152831271992
VR1_A,255.35162516735605
VR1_D,163.95998970271566
VR2_A,9.457467598790965
VR2_D,6.072592211211691
VR3_A,6.535893290553454
VR3_D,6.092874205842781
WPath,1878
Xc-3d,2.513746275936178
Xc-4d,0.2041241452319315
Xc-5d,0.43179504586267126
Xc-6d,0.10206207261596575
Xp-0d,19.440946820939047
Xp-1d,12.86934182550903
Xp-2d,12.181176071422556
Xp-3d,9.133168637036643
Xp-4d,7.837331481575102
Xp-5d,5.093330305005027
Xp-6d,3.891065268132594
Xp-7d,2.6315820800051726
ZMIC0,91.37079980109162
ZMIC1,48.45866695050352
ZMIC2,30.766674367122633
ZMIC3,29.28989808359739
ZMIC4,29.28989808359739
ZMIC5,29.28989808359739
nAcid,0
nAtom,44
nBase,0
nRing,3
piPC1,3.7376696182833684
piPC2,4.382026634673881
piPC3,4.855928904335275
piPC4,5.438079308923196
piPC5,5.773580577412973
piPC6,6.135294291702467
piPC7,6.47543271670409
piPC8,6.928629635692696
piPC9,7.202335380234196
AATS0Z,40.90909090909091
AATS0d,3.5681818181818183
AATS0i,159.01406570869395
AATS0m,162.85804763636364
AATS0p,1.9636939859643858
AATS0s,6.559992283950617
AATS0v,252.5920073383371
AATS1Z,38.32608695652174
AATS1d,4.173913043478261
AATS1i,144.62526359035863
AATS1m,149.0729577608696
AATS1p,2.1903242878260873
AATS1s,2.902207461084273
AATS1v,296.0960289253473
AATS2Z,33.467532467532465
AATS2d,3.74025974025974
AATS2i,149.59592746298483
AATS2m,128.35680645454548
AATS2p,1.9174224455096762
AATS2s,4.034473927992447
AATS2v,252.43897008462477
AATS3Z,25.08421052631579
AATS3d,3.126315789473684
AATS3i,157.03203117779796
AATS3m,93.12729773684214
AATS3p,1.5518828701493477
AATS3s,3.336809616634177
AATS3v,204.7905666298519
AATS4Z,23.98936170212766
AATS4d,3.148936170212766
AATS4i,158.36934966995145
AATS4m,89.50579943617022
AATS4p,1.5143816397067338
AATS4s,3.8759193590753878
AATS4v,205.99033594009606
AATS5Z,24.408602150537636
AATS5d,3.21505376344086
AATS5i,158.8548079450188
AATS5m,90.12395313978492
AATS5p,1.566931741956376
AATS5s,3.793226470197796
AATS5v,210.46807961965098
AATS6Z,26.934065934065934
AATS6d,3.197802197802198
AATS6i,156.2648920591594
AATS6m,101.3066936703297
AATS6p,1.6393392064855823
AATS6s,3.6117385700719025
AATS6v,217.82564425971216
AATS7Z,26.5979381443299
AATS7d,3.0
AATS7i,155.78148630397666
AATS7m,99.00872652577323
AATS7p,1.6044731621050308
AATS7s,3.736049241299336
AATS7v,203.7486399964008
AATS8Z,27.138297872340427
AATS8d,2.6914893617021276
AATS8i,158.19933371114314
AATS8m,101.37868674468086
AATS8p,1.5043999244881487
AATS8s,4.255893748358287
AATS8v,199.01475539159725
AMID_C,1.2974953616458194
AMID_N,0.22490493332101466
AMID_O,0.2592263076623557
AMID_X,0.0
AMID_h,0.7147101296326436
ATS0dv,377.33333333333337
ATS0pe,287.8508999999999
ATS0se,352.6459789999999
ATS1dv,294.66666666666663
ATS1pe,304.4316
ATS1se,365.62602799999985
ATS2dv,508.44444444444446
ATS2pe,507.11630000000014
ATS2se,613.9640789999995
ATS3dv,445.33333333333337
ATS3pe,610.9110999999998
ATS3se,752.5876119999998
ATS4dv,502.0
ATS4pe,607.0611
ATS4se,746.0456699999999
ATS5dv,455.66666666666663
ATS5pe,615.0824000000003
ATS5se,752.5036379999999
ATS6dv,486.0
ATS6pe,589.3694000000003
ATS6se,721.9516080000001
ATS7dv,443.4444444444444
ATS7pe,624.8268000000002
ATS7se,770.2469110000001
ATS8dv,400.66666666666663
ATS8pe,615.9762000000001
ATS8se,760.9540679999999
ATSC0Z,700.0
ATSC0c,0.9123011160581083
ATSC0d,29.159090909090903
ATSC0i,77.72001223953475
ATSC0m,3089.181586909091
ATSC0p,17.818732319311163
ATSC0s,125.25689573201146
ATSC0v,2277.2032366039334
ATSC1Z,93.0
ATSC1c,-0.7151742960163276
ATSC1d,5.197314049586774
ATSC1i,-0.32841278031258647
ATSC1m,413.13261468595044
ATSC1p,0.38517555900554123
ATSC1s,-20.170906331128336
ATSC1v,173.79697258876504
ATSC2Z,142.0
ATSC2c,0.4447505769781221
ATSC2d,0.3579545454545444
ATSC2i,-14.202390980367285
ATSC2m,606.2011188181822
ATSC2p,-0.4103471133316166
ATSC2s,41.9614816178763
ATSC2v,-198.51125825167244
ATSC3Z,-32.0
ATSC3c,-0.20973234207399558
ATSC3d,1.9974173553719008
ATSC3i,-18.70632069706246
ATSC3m,-141.09666673553704
ATSC3p,-2.6657907873059794
ATSC3s,-34.21633975310059
ATSC3v,-188.1553867039006
ATSC4Z,-10.0
ATSC4c,0.19925085362457307
ATSC4d,1.501033057851239
ATSC4i,-6.338053485790908
ATSC4m,17.412529148760264
ATSC4p,0.27589933817641016
ATSC4s,2.576286415643527
ATSC4v,507.21097170760964
ATSC5Z,-160.0
ATSC5c,-0.18774399764168517
ATSC5d,3.300103305785124
ATSC5i,28.498279515585814
ATSC5m,-722.2920201487606
ATSC5p,3.533636255194185
ATSC5s,-60.21760069657007
ATSC5v,-72.53467033928396
ATSC6Z,21.0
ATSC6c,-0.22048873193872953
ATSC6d,-5.397210743801656
ATSC6i,-4.184400167675692
ATSC6m,120.384336892562
ATSC6p,-1.0651159111118051
ATSC6s,6.280148523322449
ATSC6v,111.89512968841375
ATSC7Z,45.0
ATSC7c,0.5188635528627047
ATSC7d,-6.714359504132232
ATSC7i,-7.240125413999943
ATSC7m,164.443213495868
ATSC7p,-0.928696693911032
ATSC7s,-1.5697306521301697
ATSC7v,-444.3918741522868
ATSC8Z,66.0
ATSC8c,-0.3910111027175757
ATSC8d,-10.817148760330582
ATSC8i,-8.177530724643203
ATSC8m,294.8077070578514
ATSC8p,-1.5248288046531588
ATSC8s,-8.738660896988963
ATSC8v,75.22631690895241
AXp-0d,0.7200350674421869
AXp-1d,0.44377040777617344
AXp-2d,0.2971018554005501
AXp-3d,0.18266337274073285
AXp-4d,0.1205743304857708
AXp-5d,0.07276186150007181
AXp-6d,0.04745201546503164
AXp-7d,0.028918484395661238
GATS1Z,0.787888198757764
GATS1c,1.805203883453001
GATS1d,0.993798502151886
GATS1i,1.1220229791086458
GATS1m,0.7724149943610383
GATS1p,0.9808046813197127
GATS1s,0.67420320598254
GATS1v,0.818346219698235
GATS2Z,0.8153246753246753
GATS2c,0.6844244518380969
GATS2d,1.1107894443825856
GATS2i,1.1582775934438165
GATS2m,0.8109186407250236
GATS2p,0.9960258734785034
GATS2s,0.5372947156077329
GATS2v,0.9712961947054284
GATS3Z,0.9440601503759398
GATS3c,1.0970502807766116
GATS3d,1.0012224637978424
GATS3i,1.105196749668427
GATS3m,0.9457787578336532
GATS3p,1.0007479431612294
GATS3s,1.0365079351030875
GATS3v,0.9908054833892683
GATS4Z,0.8681686930091185
GATS4c,0.9534467577245163
GATS4d,1.0746256280990367
GATS4i,1.0132717198059766
GATS4m,0.8655012732882057
GATS4p,0.8681946112128384
GATS4s,0.9565862339094408
GATS4v,0.8397282575518212
GATS5Z,0.9092089093701996
GATS5c,1.2228306507305589
GATS5d,0.9831124967524034
GATS5i,0.8184824623681433
GATS5m,0.918855696618859
GATS5p,0.7357130057487803
GATS5s,1.3702370684441683
GATS5v,0.9004702559111023
GATS6Z,0.9055651491365776
GATS6c,1.21279094184196
GATS6d,1.1100528466077961
GATS6i,1.055216904584342
GATS6m,0.9012142486451554
GATS6p,0.9635383970416034
GATS6s,0.7734425212318997
GATS6v,0.9187582735266514
GATS7Z,0.9638586156111929
GATS7c,0.7995985314109809
GATS7d,1.1706133337618825
GATS7i,1.0211034705695656
GATS7m,0.9664506155374533
GATS7p,1.0214539835251975
GATS7s,0.9991670641161322
GATS7v,1.0623817515791234
GATS8Z,0.9936398176291794
GATS8c,1.233766474188107
GATS8d,1.1530654549675796
GATS8i,1.0150318038589614
GATS8m,0.9899800979348538
GATS8p,1.0593411831811437
GATS8s,1.3359201514538537
GATS8v,0.9465113709823817
MATS1Z,0.1270807453416149
MATS1c,-0.7498398822120372
MATS1d,0.17049035887356395
MATS1i,-0.0040418671423917045
MATS1m,0.12792071814926892
MATS1p,0.020676487472188507
MATS1s,-0.1540347163398294
MATS1v,0.07300208422509094
MATS2Z,0.11591836734693876
MATS2c,0.27857379802706916
MATS2d,0.007014809041309412
MATS2i,-0.10442165093552341
MATS2m,0.11213346628524672
MATS2p,-0.013159413394790166
MATS2s,0.1914304945512181
MATS2v,-0.04981329856372885
MATS3Z,-0.02117293233082707
MATS3c,-0.10647711408371421
MATS3d,0.03172662755876442
MATS3i,-0.11147682382783332
MATS3m,-0.0211544816259907
MATS3p,-0.0692912395075048
MATS3s,-0.1265205224273851
MATS3v,-0.03826871988779453
MATS4Z,-0.006686930091185411
MATS4c,0.10223198829213873
MATS4d,0.024095786139533334
MATS4i,-0.0381722590446057
MATS4m,0.0026384158165170435
MATS4p,0.007247674455569285
MATS4s,0.009627584125345125
MATS4v,0.10425854742962662
MATS5Z,-0.10814132104454685
MATS5c,-0.09736381508290338
MATS5d,0.05354553759250414
MATS5i,0.17348243504595443
MATS5m,-0.11062138896851459
MATS5p,0.09382417759715803
MATS5s,-0.22745292764034938
MATS5v,-0.01507001127017108
MATS6Z,0.014505494505494508
MATS6c,-0.11685827677452128
MATS6d,-0.0894966296369259
MATS6i,-0.026032245703522375
MATS6m,0.01884246995755132
MATS6p,-0.028902230004325263
MATS6s,0.02424262003470732
MATS6v,0.02375859069577314
MATS7Z,0.02916053019145803
MATS7c,0.2579858587507917
MATS7d,-0.10445074768382741
MATS7i,-0.04225656308497491
MATS7m,0.02414645943460024
MATS7p,-0.02364166384921068
MATS7s,-0.005684659242728249
MATS7v,-0.08852078548057996
MATS8Z,0.04413373860182371
MATS8c,-0.20062068366561608
MATS8d,-0.17364554485000258
MATS8i,-0.04925089727723394
MATS8m,0.04467043876781898
MATS8p,-0.040056140944907365
MATS8s,-0.032656381843945675
MATS8v,0.015462967023373781
MAXaaS,1.1084421796470858
MINaaS,1.008710384808193
NddssS,1
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,2
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,7
SM1_Dt,0.0
SddssS,-3.732703714201729
SdssSe,0
SdsssP,0
SpAD_A,33.477852618355776
SpAD_D,289.0634587019605
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.0525854575135332
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,785
TMWC10,131.65683596587343
TSRW10,77.37029126676153
VE1_Dt,5.123214595639424
VE2_Dt,0.18974868872738607
VE3_Dt,2.627033865756727
VR1_Dt,161.69560231600667
VR2_Dt,5.9887260117039505
VR3_Dt,6.078967342662019
Xc-3dv,1.4064744144215573
Xc-4dv,0.05103103630798288
Xc-5dv,0.2730017401615745
Xc-6dv,0.03608439182435161
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.2621886974951644
Xch-6d,0.32610267733441545
Xch-7d,0.4951437851451611
Xp-0dv,16.7628932227307
Xp-1dv,11.30867951082513
Xp-2dv,9.395766446699842
Xp-3dv,6.985980590275416
Xp-4dv,5.030140142161631
Xp-5dv,2.9584615266038004
Xp-6dv,1.9727506029060138
Xp-7dv,1.1609606367417789
Xpc-4d,4.3311164507092
Xpc-5d,6.875041539050049
Xpc-6d,8.858165941273288
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,46
nFRing,0
nHBAcc,6
nHBDon,3
nHRing,2
nSpiro,0
naRing,3
piPC10,7.480159481167945
AATS0dv,8.575757575757576
AATS0pe,6.5420659090909075
AATS0se,8.014681340909089
AATS1dv,6.4057971014492745
AATS1pe,6.618078260869566
AATS1se,7.948391913043475
AATS2dv,6.603174603174604
AATS2pe,6.585925974025976
AATS2se,7.9735594675324615
AATS3dv,4.687719298245614
AATS3pe,6.4306431578947345
AATS3se,7.921974863157892
AATS4dv,5.340425531914893
AATS4pe,6.458096808510638
AATS4se,7.936656063829786
AATS5dv,4.899641577060931
AATS5pe,6.613789247311832
AATS5se,8.091436967741934
AATS6dv,5.34065934065934
AATS6pe,6.476586813186816
AATS6se,7.933534153846154
AATS7dv,4.571592210767468
AATS7pe,6.441513402061857
AATS7se,7.940689804123712
AATS8dv,4.26241134751773
AATS8pe,6.552938297872341
AATS8se,8.09525604255319
AATSC0Z,15.909090909090908
AATSC0c,0.020734116274047917
AATSC0d,0.6627066115702478
AATSC0i,1.7663639145348808
AATSC0m,70.20867242975207
AATSC0p,0.4049711890752537
AATSC0s,2.8467476302729877
AATSC0v,51.75461901372576
AATSC1Z,2.0217391304347827
AATSC1c,-0.015547267304702775
AATSC1d,0.1129850880344951
AATSC1i,-0.007139408267664923
AATSC1m,8.981143797520662
AATSC1p,0.008373381717511766
AATSC1s,-0.43849796372018124
AATSC1v,3.778195056277501
AATSC2Z,1.844155844155844
AATSC2c,0.005775981519196391
AATSC2d,0.004648760330578499
AATSC2i,-0.18444663610866605
AATSC2m,7.872741802833535
AATSC2p,-0.0053291832900209946
AATSC2s,0.5449543067256662
AATSC2v,-2.578068288982759
AATSC3Z,-0.3368421052631579
AATSC3c,-0.0022077088639367954
AATSC3d,0.021025445846020008
AATSC3i,-0.19690863891644694
AATSC3m,-1.48522807090039
AATSC3p,-0.028060955655852416
AATSC3s,-0.3601719974010589
AATSC3v,-1.9805830179357957
AATSC4Z,-0.10638297872340426
AATSC4c,0.0021196899321763094
AATSC4d,0.015968436785651477
AATSC4i,-0.06742610091266923
AATSC4m,0.18523967179532194
AATSC4p,0.0029350993423022356
AATSC4s,0.02740730229408007
AATSC4v,5.395861401144783
