DLiP-ID,T005WG
BIC5,0.9191968612978
CIC0,4.247383285816748
CIC1,1.8875017362419566
CIC2,0.7161811980756143
CIC3,0.3096789683226495
CIC4,0.23420456352640517
CIC5,0.23420456352640517
GGI1,8.0
GGI2,2.88888888888889
GGI3,2.2847222222222223
GGI4,1.670555555555556
GGI5,1.1808333333333334
GGI6,0.890657596371882
GGI7,0.5703302154195011
GGI8,0.46585254472159227
GGI9,0.31250000000000006
JGI1,0.21052631578947364
JGI2,0.0577777777777778
JGI3,0.04861111111111111
JGI4,0.03554373522458628
JGI5,0.024600694444444446
JGI6,0.01817668564024249
JGI7,0.011881879487906272
JGI8,0.010833780109804472
JGI9,0.007440476190476192
MIC0,17.004963126154585
MIC1,38.73361436351989
MIC2,45.650318909704644
MIC3,46.89051803326872
MIC4,46.96659623330332
MIC5,46.96659623330332
MPC2,50
MPC3,58
MPC4,71
MPC5,79
MPC6,79
MPC7,81
MPC8,83
MPC9,91
Mare,1.0120000000000002
NaaN,2
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.11264325265276214
RPCG,0.09534032330109726
SIC0,0.2894120168075131
SIC1,0.6842206220222066
SIC2,0.880182757501465
SIC3,0.9481906532258705
SIC4,0.9608175346438736
SIC5,0.9608175346438736
SaaN,7.893414749060813
SaaO,0
SaaS,0
Sare,63.756000000000014
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,9.229761312378093
SsSH,0
SssO,5.152835497871688
SssS,0
StCH,0
StsC,0
TIC0,108.98348817403962
TIC1,257.6560257972515
TIC2,331.44921970173107
TIC3,357.05886017616785
TIC4,361.81374767833125
TIC5,361.81374767833125
Vabc,437.3123797210568
WPol,47
apol,68.92541099999998
bpol,38.564589000000026
nRot,12
ABCGG,21.015002360791737
ATS0Z,1582.0
ATS0d,203.0
ATS0i,10500.434949209724
ATS0m,6254.688860000003
ATS0p,88.47847243092296
ATS0s,389.5
ATS0v,13581.69371420763
ATS1Z,1710.0
ATS1d,247.0
ATS1i,9901.432737800158
ATS1m,6515.904166000002
ATS1p,109.51941200600002
ATS1s,236.19444444444446
ATS1v,16664.61654988022
ATS2Z,2455.0
ATS2d,373.0
ATS2i,17418.617779365588
ATS2m,9176.507394000006
ATS2p,158.5579023207921
ATS2s,434.7499999999999
ATS2v,23194.69743344804
ATS3Z,2472.0
ATS3d,406.0
ATS3i,22992.87044460243
ATS3m,8860.584631
ATS3p,176.40289585243292
ATS3s,457.2777777777777
ATS3v,25022.111681384707
ATS4Z,2559.0
ATS4d,411.0
ATS4i,25664.005039302465
ATS4m,9156.095455
ATS4p,172.84536134862105
ATS4s,543.1111111111112
ATS4v,24658.837053046638
ATS5Z,2595.0
ATS5d,393.0
ATS5i,23571.285315195586
ATS5m,9317.267519999996
ATS5p,171.049173557282
ATS5s,560.1111111111112
ATS5v,24887.027636603336
ATS6Z,2656.0
ATS6d,387.0
ATS6i,24416.885472545473
ATS6m,9629.188097
ATS6p,169.83817008892294
ATS6s,652.6111111111113
ATS6v,24644.44359726258
ATS7Z,2584.0
ATS7d,372.0
ATS7i,23530.468242673924
ATS7m,9430.032844000003
ATS7p,161.762594700621
ATS7s,657.0277777777777
ATS7v,23513.68453543503
ATS8Z,2287.0
ATS8d,353.0
ATS8i,21892.317387054172
ATS8m,8237.010807
ATS8p,159.48255081637603
ATS8s,505.0555555555556
ATS8v,22584.81235759853
C1SP1,0
C1SP2,6
C1SP3,4
C2SP1,0
C2SP2,5
C2SP3,3
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.30434782608695654
GGI10,0.28027956330986636
JGI10,0.007006989082746658
JGT10,0.4323994448585694
Kier1,30.54016620498615
Kier2,16.184
Kier3,11.340071343638526
MAXdO,12.547429623712612
MID_C,47.22598948028191
MID_N,14.31350754907945
MID_O,10.730058554575525
MID_X,0.0
MID_h,25.043566103654975
MINdO,11.296300769749209
MPC10,94
MWC01,38.0
MWC02,5.176149732573829
MWC03,5.973809611869261
MWC04,6.814542897259958
MWC05,7.6290038896529575
MWC06,8.472405008626103
MWC07,9.295140973668648
MWC08,10.140178916395607
MWC09,10.968491350030408
MWC10,11.81499109628927
NaaCH,8
NaaNH,1
NaaSe,0
NaaaC,0
NaasC,4
NaasN,1
NdCH2,0
NddsN,0
NdsCH,0
NdssC,3
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,3
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,1.4852200000000002
SRW02,4.343805421853684
SRW03,0.0
SRW04,5.6240175061873385
SRW05,2.3978952727983707
SRW06,7.063903961472068
SRW07,4.442651256490317
SRW08,8.58316818033977
SRW09,6.259581464064923
SRW10,10.149057736411894
SaaCH,13.626338849282892
SaaNH,2.7616649509581954
SaaSe,0
SaaaC,0
SaasC,2.013170763750799
SaasN,1.21747134559364
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-2.216362338759938
SdssS,0
SsCH3,1.7102661325600539
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,8.027323618292305
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.209035968431715
VE1_D,5.894023333559522
VE2_A,0.11691766578976986
VE2_D,0.1637228703766534
VE3_A,2.718167480814297
VE3_D,3.054872688636294
VR1_A,939.1183522906803
VR1_D,244.24823464103648
VR2_A,26.08662089696334
VR2_D,6.7846731844732355
VR3_A,8.125875357506002
VR3_D,6.779118908686519
WPath,5002
Xc-3d,2.4027088494736484
Xc-4d,0.0
Xc-5d,0.23570226039551584
Xc-6d,0.0
Xp-0d,25.915638315627202
Xp-1d,17.295734091081684
Xp-2d,15.521928554364106
Xp-3d,11.409812116657921
Xp-4d,9.26337059592128
Xp-5d,6.70947408476676
Xp-6d,4.440339562412134
Xp-7d,3.0008255439378275
ZMIC0,120.15073963608005
ZMIC1,49.76006664232598
ZMIC2,30.00017163251354
ZMIC3,26.17489163906341
ZMIC4,25.832050098833115
ZMIC5,25.832050098833115
nAcid,1
nAtom,63
nBase,0
nRing,3
piPC1,3.9415818076696905
piPC2,4.468777561082536
piPC3,4.8704149133209365
piPC4,5.340238756511593
piPC5,5.69035945432406
piPC6,5.715587520105964
piPC7,5.801079316104435
piPC8,5.901009748340592
piPC9,6.137119418108992
AATS0Z,25.11111111111111
AATS0d,3.2222222222222223
AATS0i,166.6735706223766
AATS0m,99.2807755555556
AATS0p,1.4044201973162376
AATS0s,6.182539682539683
AATS0v,215.5824399080576
AATS1Z,26.307692307692307
AATS1d,3.8
AATS1i,152.32973442769475
AATS1m,100.24467947692311
AATS1p,1.684914030861539
AATS1s,3.633760683760684
AATS1v,256.37871615200334
AATS2Z,22.522935779816514
AATS2d,3.4220183486238533
AATS2i,159.8038328382164
AATS2m,84.18814122935785
AATS2p,1.4546596543191936
AATS2s,3.988532110091742
AATS2v,212.79538929768844
AATS3Z,17.53191489361702
AATS3d,2.879432624113475
AATS3i,163.07000315320875
AATS3m,62.841025751773046
AATS3p,1.2510843677477512
AATS3s,3.2431048069345936
AATS3v,177.46178497435963
AATS4Z,16.835526315789473
AATS4d,2.7039473684210527
AATS4i,168.8421384164636
AATS4m,60.23747009868421
AATS4p,1.1371405351882964
AATS4s,3.573099415204679
AATS4v,162.22919113846473
AATS5Z,18.146853146853147
AATS5d,2.7482517482517483
AATS5i,164.8341630433258
AATS5m,65.1557169230769
AATS5p,1.1961480668341398
AATS5s,3.9168609168609176
AATS5v,174.03515829792542
AATS6Z,18.068027210884352
AATS6d,2.63265306122449
AATS6i,166.1012617179964
AATS6m,65.50468093197279
AATS6p,1.15536170128519
AATS6s,4.439531368102798
AATS6v,167.6492761718543
AATS7Z,18.326241134751772
AATS7d,2.6382978723404253
AATS7i,166.8827534941413
AATS7m,66.87966556028371
AATS7p,1.1472524446852554
AATS7s,4.6597714736012605
AATS7v,166.7637201094683
AATS8Z,17.195488721804512
AATS8d,2.654135338345865
AATS8i,164.60389012822685
AATS8m,61.93241208270677
AATS8p,1.1991169234313988
AATS8s,3.7974101921470345
AATS8v,169.81061923006413
AMID_C,1.311833041118942
AMID_N,0.3975974319188736
AMID_O,0.29805718207154236
AMID_X,0.0
AMID_h,0.695654613990416
ATS0dv,574.0
ATS0pe,415.9302999999998
ATS0se,506.3521439999998
ATS1dv,525.0
ATS1pe,439.464
ATS1se,521.6207679999998
ATS2dv,712.0
ATS2pe,728.2012
ATS2se,875.6248959999996
ATS3dv,593.0
ATS3pe,909.1596000000003
ATS3se,1113.5158999999999
ATS4dv,645.0
ATS4pe,989.0822999999999
ATS4se,1217.248212
ATS5dv,700.0
ATS5pe,949.0686
ATS5se,1161.199088
ATS6dv,791.0
ATS6pe,965.9233000000003
ATS6se,1185.6564279999998
ATS7dv,783.0
ATS7pe,926.0344
ATS7se,1136.71796
ATS8dv,609.0
ATS8pe,854.9626
ATS8se,1052.04298
ATSC0Z,492.4126984126982
ATSC0c,2.0976822954480188
ATSC0d,34.60317460317461
ATSC0i,96.64159369474953
ATSC0m,2325.8286989841263
ATSC0p,13.070340978241717
ATSC0s,150.65696649029977
ATSC0v,2874.477637922772
ATSC1Z,6.240866717057164
ATSC1c,-1.655770926609236
ATSC1d,5.472915091962713
ATSC1i,-28.78806054974312
ATSC1m,33.47310000050443
ATSC1p,-1.1177887741370955
ATSC1s,-10.642990117857842
ATSC1v,-38.59397841933072
ATSC2Z,31.714537666918584
ATSC2c,1.1914111476260945
ATSC2d,-7.599143361048121
ATSC2i,17.787414796477623
ATSC2m,125.65640083698703
ATSC2p,-0.9149627117727712
ATSC2s,46.434331345706994
ATSC2v,-370.96141630502166
ATSC3Z,-150.5744520030234
ATSC3c,-0.8565078252118833
ATSC3d,-6.7785336356764905
ATSC3i,-44.7995287064926
ATSC3m,-709.6648789803477
ATSC3p,-4.888865374620834
ATSC3s,-47.59028302679097
ATSC3v,-938.3912152766657
ATSC4Z,-39.67825648778027
ATSC4c,0.4775272424655028
ATSC4d,-5.074326026706978
ATSC4i,31.462332540254728
ATSC4m,-178.67945683471913
ATSC4p,1.7308818668729564
ATSC4s,-29.091234847848607
ATSC4v,231.10271318086674
ATSC5Z,-159.33358528596622
ATSC5c,-0.2968094947562723
ATSC5d,-4.6230788611741
ATSC5i,-7.363668606434032
ATSC5m,-743.1968966147639
ATSC5p,-1.5092760926366529
ATSC5s,-59.841297836006824
ATSC5v,-580.8619647522083
ATSC6Z,33.22751322751323
ATSC6c,0.11425500764804977
ATSC6d,0.06878306878306895
ATSC6i,-0.8573900364204949
ATSC6m,149.28120070370375
ATSC6p,-0.6539388762075722
ATSC6s,25.756319811875375
ATSC6v,-30.76207841224083
ATSC7Z,115.29856386999246
ATSC7c,-0.057030278028996226
ATSC7d,0.09448223733938022
ATSC7i,-2.718507524344238
ATSC7m,532.2063385910809
ATSC7p,0.49560950327901926
ATSC7s,73.9516040984295
ATSC7v,286.78450794642345
ATSC8Z,-3.998236331569656
ATSC8c,-0.151151796594063
ATSC8d,0.5837742504409168
ATSC8i,4.2961961599614344
ATSC8m,-22.232409649029997
ATSC8p,-0.9990010335067139
ATSC8s,-0.610915147952182
ATSC8v,-145.8271501557211
AXp-0d,0.7198788421007556
AXp-1d,0.4551508971337285
AXp-2d,0.3104385710872821
AXp-3d,0.1967208985630676
AXp-4d,0.13047000839325748
AXp-5d,0.08493005170590835
AXp-6d,0.05620682990395106
AXp-7d,0.03704722893750404
GATS1Z,0.7612751248493628
GATS1c,1.835985349857226
GATS1d,0.9647847565278755
GATS1i,1.5962331999469197
GATS1m,0.7659152165788329
GATS1p,1.2062429690038021
GATS1s,0.6359383786923373
GATS1v,1.0040280376369481
GATS2Z,0.8328584804273266
GATS2c,0.6740815428460305
GATS2d,1.306821816345425
GATS2i,1.073433001405603
GATS2m,0.8422998521240425
GATS2p,1.0772681896743947
GATS2s,0.45599807325756164
GATS2v,1.0478530073697636
GATS3Z,1.0747053909579616
GATS3c,1.1693427437226462
GATS3d,1.1246047237946513
GATS3i,1.2568182437555224
GATS3m,1.0764780891416281
GATS3p,1.1674286103637932
GATS3s,0.9700892871042126
GATS3v,1.1307267489386703
GATS4Z,1.0499456667424483
GATS4c,1.013428287823296
GATS4d,1.1257333413809751
GATS4i,0.8375318239975971
GATS4m,1.0463859440202046
GATS4p,0.8697079225745734
GATS4s,1.0634599729517835
GATS4v,0.9140574173829135
GATS5Z,1.1468434537546786
GATS5c,1.2672799230240814
GATS5d,1.1339353307243214
GATS5i,1.0114039534746357
GATS5m,1.1409153397254839
GATS5p,1.023667151721134
GATS5s,1.386198895780681
GATS5v,1.0354661522558002
GATS6Z,0.9884413826132611
GATS6c,1.0299119781265837
GATS6d,1.0421363040629092
GATS6i,0.9571864529596448
GATS6m,0.9865415830001559
GATS6p,0.9847480419203953
GATS6s,1.1965269270809387
GATS6v,0.9631361942270503
GATS7Z,0.9170938400613433
GATS7c,1.0176348602716643
GATS7d,1.0674214327542453
GATS7i,0.9647194307031879
GATS7m,0.9163828979171904
GATS7p,0.9354042088700738
GATS7s,0.9732917046246352
GATS7v,0.912168151790706
GATS8Z,0.9826710416037518
GATS8c,1.018546492267917
GATS8d,1.0036455818445194
GATS8i,0.9638204435835306
GATS8m,0.9837743719705262
GATS8p,1.0304228390424754
GATS8s,1.039657060647463
GATS8v,1.0155869752690856
MATS1Z,0.012284086231607292
MATS1c,-0.7650463239118193
MATS1d,0.15329569513055757
MATS1i,-0.2887191012124772
MATS1m,0.013949074786203244
MATS1p,-0.08288959524452735
MATS1s,-0.06847020578707197
MATS1v,-0.013013310974328968
MATS2Z,0.03722572734709133
MATS2c,0.3282736304097029
MATS2d,-0.12692955138456355
MATS2i,0.10638068956368207
MATS2m,0.031226329821051228
MATS2p,-0.0404604332800784
MATS2s,0.17814105870415833
MATS2v,-0.07459055835541385
MATS3Z,-0.13662918697369197
MATS3c,-0.18243705758656553
MATS3d,-0.08752683974233844
MATS3i,-0.20712417845540074
MATS3m,-0.13633175468512057
MATS3p,-0.16712545299176523
MATS3s,-0.14114012763840317
MATS3v,-0.14586343472020222
MATS4Z,-0.033397987506319775
MATS4c,0.09435293224577573
MATS4d,-0.06077981651376145
MATS4i,0.13493474583009257
MATS4m,-0.031841525044113826
MATS4p,0.0548880083151845
MATS4s,-0.08003314792879361
MATS4v,0.0333229215977974
MATS5Z,-0.14255504665536262
MATS5c,-0.06233652505258218
MATS5d,-0.058859947392057486
MATS5i,-0.03356871092133018
MATS5m,-0.14077666559928687
MATS5p,-0.050872875629537795
MATS5s,-0.1749912354612522
MATS5v,-0.08902633955379051
MATS6Z,0.028919568601084956
MATS6c,0.023343111564330592
MATS6d,0.0008519003931847988
MATS6i,-0.0038022228183888507
MATS6m,0.027507467541521256
MATS6p,-0.021442402982540673
MATS6s,0.07326858514192067
MATS6v,-0.004586484764058742
MATS7Z,0.10462033121312678
MATS7c,-0.012147508534881129
MATS7d,0.0012199882881124343
MATS7i,-0.012568628596376785
MATS7m,0.10224068591208207
MATS7p,0.016942369322033912
MATS7s,0.21932079781162855
MATS7v,0.04457775464284938
MATS8Z,-0.003846166896837212
MATS8c,-0.034132060700832294
MATS8d,0.00799130854659584
MATS8i,0.021057602720474217
MATS8m,-0.004527909307034608
MATS8p,-0.0362049480315287
MATS8s,-0.0019207930857610153
MATS8v,-0.024030807400795346
MAXaaN,3.987294992538603
MAXsOH,9.229761312378093
MAXssO,5.152835497871688
MINaaN,3.90611975652221
MINsOH,9.229761312378093
MINssO,5.152835497871688
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,5
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,11
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,45.02998063098369
SpAD_D,579.3278076084107
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,-0.18470523974126452
SssNH2,0
SsssAs,0
SsssCH,-0.9085378102924799
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,760
TMWC10,150.28471347636605
TSRW10,84.86408079961836
VE1_Dt,5.881918823261838
VE2_Dt,0.1633866339794955
VE3_Dt,3.052816884625095
VR1_Dt,245.43784076782038
VR2_Dt,6.817717799106122
VR3_Dt,6.783977566209089
Xc-3dv,0.8288267583836346
Xc-4dv,0.0
Xc-5dv,0.048941527885061814
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.14433756729740643
Xch-6d,0.25967970078748703
Xch-7d,0.3207728799905319
Xp-0dv,19.561782162958522
Xp-1dv,11.100707877957078
Xp-2dv,7.871047787997131
Xp-3dv,4.949538504839431
Xp-4dv,3.2714236436115427
Xp-5dv,1.951739976730494
Xp-6dv,1.059174191894057
Xp-7dv,0.5945134535332027
Xpc-4d,4.0847702936347705
Xpc-5d,5.980347556763182
Xpc-6d,8.018336064615378
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,65
nFRing,0
nHBAcc,9
nHBDon,5
nHRing,2
nSpiro,0
naRing,3
piPC10,6.321611014601588
AATS0dv,9.11111111111111
AATS0pe,6.602068253968251
AATS0se,8.037335619047616
AATS1dv,8.076923076923077
AATS1pe,6.760984615384615
AATS1se,8.024934892307689
AATS2dv,6.532110091743119
AATS2pe,6.68074495412844
AATS2se,8.0332559266055
AATS3dv,4.205673758865248
AATS3pe,6.447940425531917
AATS3se,7.897275886524822
AATS4dv,4.243421052631579
AATS4pe,6.507120394736842
AATS4se,8.00821192105263
AATS5dv,4.895104895104895
AATS5pe,6.6368433566433565
AATS5se,8.120273342657343
AATS6dv,5.380952380952381
AATS6pe,6.57090680272109
AATS6se,8.065689986394556
AATS7dv,5.553191489361702
AATS7pe,6.567619858156029
AATS7se,8.061829503546099
AATS8dv,4.578947368421052
AATS8pe,6.428290225563909
AATS8se,7.910097593984962
AATSC0Z,7.816074577979337
AATSC0c,0.033296544372190776
AATSC0d,0.5492567397329303
AATSC0i,1.53399355071031
AATSC0m,36.91791585689089
AATSC0p,0.2074657298133606
AATSC0s,2.3913804204809486
AATSC0v,45.62662917337733
AATSC1Z,0.09601333410857175
AATSC1c,-0.025473398870911323
AATSC1d,0.08419869372250328
AATSC1i,-0.4428932392268172
AATSC1m,0.5149707692385297
AATSC1p,-0.01719675037133993
AATSC1s,-0.16373830950550525
AATSC1v,-0.5937535141435495
AATSC2Z,0.2909590611643907
AATSC2c,0.01093037750115683
AATSC2d,-0.06971691156924882
AATSC2i,0.16318729171080387
AATSC2m,1.152811016853092
AATSC2p,-0.008394153319016249
AATSC2s,0.4260030398688715
AATSC2v,-3.40331574591763
AATSC3Z,-1.0679039149150595
AATSC3c,-0.0060745235830630025
AATSC3d,-0.04807470663600348
AATSC3i,-0.31772715394675605
AATSC3m,-5.033084248087572
AATSC3p,-0.03467280407532506
AATSC3s,-0.33751973777865935
AATSC3v,-6.655256845933799
AATSC4Z,-0.26104116110381753
