DLiP-ID,T006HB
ATS3m,7994.546208999999
ATS3p,147.589321187396
ATS3s,313.14814814814815
ATS3v,19936.23519600353
ATS4Z,2007.0
ATS4d,287.0
ATS4i,17069.683463941095
ATS4m,7134.726442
ATS4p,140.991914104433
ATS4s,387.79938271604925
ATS4v,18541.362407630484
ATS5Z,1567.0
ATS5d,238.0
ATS5i,15713.541605590744
ATS5m,5508.967640000001
ATS5p,114.00447053213098
ATS5s,359.3132716049382
ATS5v,15295.501152023653
ATS6Z,1302.0
ATS6d,200.0
ATS6i,11387.588180235996
ATS6m,4704.495545000001
ATS6p,95.47874858873499
ATS6s,222.1620370370371
ATS6v,12807.317137981767
ATS7Z,1238.0
ATS7d,182.0
ATS7i,10281.311020582772
ATS7m,4455.680506999998
ATS7p,92.91606386794298
ATS7s,229.6234567901235
ATS7v,12147.088528838914
ATS8Z,1081.0
ATS8d,172.0
ATS8i,10473.767389664074
ATS8m,3850.35103
ATS8p,84.60904588043299
ATS8s,186.01851851851856
ATS8v,11026.224321953106
C1SP1,0
C1SP2,0
C1SP3,2
C2SP1,0
C2SP2,10
C2SP3,0
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.1875
GGI10,0.09488827670645852
JGI10,0.009488827670645851
JGT10,0.5671859283285317
Kier1,17.8112
Kier2,7.086924762600439
Kier3,3.9837030330466274
MAXdO,12.515616470353574
MID_C,32.88819267762173
MID_N,6.1761435835482414
MID_O,5.257381856286698
MID_X,0.0
MID_h,13.674799484956841
MINdO,11.596327499259116
MPC10,88
MWC01,25.0
MWC02,4.8283137373023015
MWC03,5.680172609017068
MWC04,6.580639137284949
MWC05,7.448333860897476
MWC06,8.34924780056679
MWC07,9.222170123729759
MWC08,10.123064751970729
MWC09,10.998342792326525
MWC10,11.89917377415126
NaaCH,7
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,2
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,2.7731200000000005
SRW02,3.9318256327243257
SRW03,0.0
SRW04,5.293304824724492
SRW05,0.0
SRW06,6.851184927493743
SRW07,0.0
SRW08,8.497602541651233
SRW09,0.0
SRW10,10.187199253484014
SaaCH,11.900750146052655
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,2.9663643595128093
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.17523975832935945
SdssS,0
SsCH3,3.4388502506208583
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,5.342802131463747
SssPH,0
SssSe,0
SsssB,0
SsssN,1.5297194402452339
SsssP,0
VE1_A,4.454917116044734
VE1_D,4.731988168837739
VE2_A,0.19369204852368407
VE2_D,0.20573861603642343
VE3_A,2.3269175789810435
VE3_D,2.3872545688025015
VR1_A,131.67022866879256
VR1_D,128.32551877501405
VR2_A,5.724792550817068
VR2_D,5.57937038152235
VR3_A,5.713209651982888
VR3_D,5.687479274038517
WPath,1214
Xc-3d,2.41289220560152
Xc-4d,0.2041241452319315
Xc-5d,0.617851130197758
Xc-6d,0.08333333333333333
Xp-0d,16.61251969619286
Xp-1d,10.865010527859459
Xp-2d,10.686148881020765
Xp-3d,8.498954554215786
Xp-4d,7.000620222025148
Xp-5d,5.406978114750266
Xp-6d,3.4885238747434655
Xp-7d,2.3808252317997476
ZMIC0,74.42208041946809
ZMIC1,44.33221408601222
ZMIC2,29.670771735644614
ZMIC3,25.86079296808977
ZMIC4,25.52860015860103
ZMIC5,25.52860015860103
nAcid,0
nAtom,40
nBase,0
nRing,3
piPC1,3.5553480614894135
piPC2,4.204692619390966
piPC3,4.672828834461906
piPC4,5.2053793708887675
piPC5,5.680172609017068
piPC6,5.813383984571282
piPC7,6.1316340151289355
piPC8,6.391864766963925
piPC9,6.585697404484709
AATS0Z,29.7
AATS0d,3.525
AATS0i,161.74284087224584
AATS0m,117.74586935000002
AATS0p,1.6537607845608249
AATS0s,5.888042266803841
AATS0v,232.01465426599634
AATS1Z,32.666666666666664
AATS1d,4.142857142857143
AATS1i,146.47455375871664
AATS1m,125.97922707142862
AATS1p,1.9585868869047622
AATS1s,2.899434156378601
AATS1v,277.51232492419115
AATS2Z,26.15277777777778
AATS2d,3.8194444444444446
AATS2i,154.9318780527913
AATS2m,99.43323619444443
AATS2p,1.7027918104714306
AATS2s,4.094092935528121
AATS2v,238.89486878517386
AATS3Z,23.67032967032967
AATS3d,3.318681318681319
AATS3i,152.52495305290086
AATS3m,87.85215614285714
AATS3p,1.621860672388967
AATS3s,3.4411884411884412
AATS3v,219.07950764839043
AATS4Z,18.933962264150942
AATS4d,2.707547169811321
AATS4i,161.03474965982164
AATS4m,67.30874001886792
AATS4p,1.330112397211632
AATS4s,3.658484742604238
AATS4v,174.91851327953287
AATS5Z,16.49473684210526
AATS5d,2.5052631578947366
AATS5i,165.40570111148153
AATS5m,57.98913305263159
AATS5p,1.2000470582329577
AATS5s,3.7822449642625076
AATS5v,161.00527528445951
AATS6Z,18.338028169014084
AATS6d,2.816901408450704
AATS6i,160.38856591881685
AATS6m,66.26050063380282
AATS6p,1.3447711068835915
AATS6s,3.1290427751695367
AATS6v,180.3847484222784
AATS7Z,19.046153846153846
AATS7d,2.8
AATS7i,158.17401570127342
AATS7m,68.54893087692305
AATS7p,1.4294779056606612
AATS7s,3.5326685660019
AATS7v,186.87828505906023
AATS8Z,16.37878787878788
AATS8d,2.606060606060606
AATS8i,158.6934452979405
AATS8m,58.33865196969697
AATS8p,1.2819552406126211
AATS8s,2.8184624017957356
AATS8v,167.06400487807738
AMID_C,1.4299214207661621
AMID_N,0.2685279818934018
AMID_O,0.22858181983855208
AMID_X,0.0
AMID_h,0.5945564993459496
ATS0dv,330.44444444444446
ATS0pe,256.202
ATS0se,314.26604899999995
ATS1dv,272.3333333333333
ATS1pe,276.0176
ATS1se,330.72196399999984
ATS2dv,491.33333333333337
ATS2pe,473.1646000000001
ATS2se,570.7749899999999
ATS3dv,447.66666666666663
ATS3pe,584.9000000000001
ATS3se,712.069238
ATS4dv,399.6666666666667
ATS4pe,673.43
ATS4se,835.053902
ATS5dv,344.0
ATS5pe,605.9372
ATS5se,754.160836
ATS6dv,252.0
ATS6pe,441.0854
ATS6se,548.8473439999999
ATS7dv,280.33333333333337
ATS7pe,411.56199999999995
ATS7se,506.44820000000016
ATS8dv,210.0
ATS8pe,396.64820000000003
ATS8se,497.8726620000001
ATSC0Z,431.09999999999997
ATSC0c,0.7301736751102175
ATSC0d,28.775000000000002
ATSC0i,64.89682358349093
ATSC0m,1964.3514714999997
ATSC0p,11.718086154598975
ATSC0s,95.55563914609053
ATSC0v,2006.5755662845577
ATSC1Z,104.84500000000001
ATSC1c,-0.6027321709708706
ATSC1d,8.761250000000002
ATSC1i,-11.609149932778639
ATSC1m,452.52285887499977
ATSC1p,-1.0498390823582946
ATSC1s,-19.88634891546639
ATSC1v,55.67713437016577
ATSC2Z,82.97000000000003
ATSC2c,0.437612217569485
ATSC2d,-3.720000000000002
ATSC2i,25.738086637513995
ATSC2m,390.65167299999973
ATSC2p,2.866903290939597
ATSC2s,42.65566658093279
ATSC2v,396.44943233819356
ATSC3Z,-60.80249999999997
ATSC3c,-0.1553978254907508
ATSC3d,-13.863124999999997
ATSC3i,-37.854453381693375
ATSC3m,-298.5941715625001
ATSC3p,-3.5779327037486133
ATSC3s,-13.994568169152947
ATSC3v,-912.0146196247179
ATSC4Z,-241.51499999999996
ATSC4c,-0.07298598251555852
ATSC4d,-6.878750000000002
ATSC4i,-26.061866102176115
ATSC4m,-1067.7435633750001
ATSC4p,-5.5793164559810835
ATSC4s,-7.752369148662553
ATSC4v,-612.5649323988201
ATSC5Z,-115.36249999999995
ATSC5c,0.23044199758865588
ATSC5d,5.384375000000002
ATSC5i,28.358297827544938
ATSC5m,-511.0527440625
ATSC5p,2.981914492384206
ATSC5s,-49.57994175454389
ATSC5v,201.34643485222895
ATSC6Z,0.69749999999999
ATSC6c,-0.47252134386946776
ATSC6d,-1.1256250000000003
ATSC6i,3.6715952299993586
ATSC6m,13.804722187499987
ATSC6p,0.5741604316584192
ATSC6s,-21.608993966478053
ATSC6v,325.6482908945592
ATSC7Z,-68.0875
ATSC7c,0.40549503240428747
ATSC7d,-0.784375
ATSC7i,8.397967892832725
ATSC7m,-330.9767174375
ATSC7p,-0.7446530335787838
ATSC7s,-3.3595708483367623
ATSC7v,-562.6939784328259
ATSC8Z,15.68499999999997
ATSC8c,-0.16590582138248516
ATSC8d,-4.628749999999999
ATSC8i,-18.838976785224457
ATSC8m,84.51377512500005
ATSC8p,-2.810431937733658
ATSC8s,-5.100699481310011
ATSC8v,39.5327472515132
AXp-0d,0.7222834650518635
AXp-1d,0.43460042111437835
AXp-2d,0.2888148346221828
AXp-3d,0.18082882030246353
AXp-4d,0.11667700370041914
AXp-5d,0.07406819335274337
AXp-6d,0.047787998284157064
AXp-7d,0.030137028250629715
GATS1Z,0.8249660337343009
GATS1c,1.8909555469395527
GATS1d,0.9196971577510239
GATS1i,1.3813596784318616
GATS1m,0.8124801352172744
GATS1p,1.2572086736857029
GATS1s,0.7063121871820427
GATS1v,0.935445341472869
GATS2Z,0.7997467718240162
GATS2c,0.8070663468106378
GATS2d,1.2894584419345496
GATS2i,0.9028895289078445
GATS2m,0.7927793518891834
GATS2p,0.8416862450188325
GATS2s,0.49004616668310447
GATS2v,0.8200907948481753
GATS3Z,1.0373794611790437
GATS3c,1.1459308334145621
GATS3d,1.3181084771006577
GATS3i,1.318780080136451
GATS3m,1.0331445537851143
GATS3p,1.1822464683223481
GATS3s,0.9176290883758706
GATS3v,1.1608397754681177
GATS4Z,1.4653825448720474
GATS4c,1.1070185336573173
GATS4d,1.1187974361916626
GATS4i,1.1678691531752945
GATS4m,1.4342704648948987
GATS4p,1.3391203507031337
GATS4s,1.1856599851404306
GATS4v,1.0944202985930818
GATS5Z,1.1103541735340439
GATS5c,0.8754991541836714
GATS5d,0.8274726782203118
GATS5i,0.7343832978628508
GATS5m,1.1094111234419075
GATS5p,0.81652002318254
GATS5s,1.6904699840977395
GATS5v,0.8950214287462397
GATS6Z,1.0244347084595253
GATS6c,1.2309369300607418
GATS6d,1.0403690605841827
GATS6i,0.9258466938552243
GATS6m,1.0181873255486935
GATS6p,0.9855155283805305
GATS6s,1.1331176928775748
GATS6v,0.9025886273219116
GATS7Z,1.0167014613778704
GATS7c,0.5510677607800872
GATS7d,0.8966116420503909
GATS7i,0.9194970730796428
GATS7m,1.025180556034725
GATS7p,0.9966456782569694
GATS7s,0.9222771324825902
GATS7v,1.1366451188206965
GATS8Z,1.0321376605301449
GATS8c,0.8794537308214339
GATS8d,1.1089171471447754
GATS8i,1.0853192745766802
GATS8m,1.0242741850570931
GATS8p,1.2073650930593802
GATS8s,0.87019791480106
GATS8v,1.0382530706703108
MATS1Z,0.23162231721730683
MATS1c,-0.7861563058038604
MATS1d,0.2899755905837575
MATS1i,-0.17036786484763494
MATS1m,0.21939767784042594
MATS1p,-0.08532508908980242
MATS1s,-0.19820263972633023
MATS1v,0.0264260380462447
MATS2Z,0.10692285883656799
MATS2c,0.3329590026825001
MATS2d,-0.07182160440196933
MATS2i,0.22033338815797768
MATS2m,0.11048364326395044
MATS2p,0.1359201519351268
MATS2s,0.2479978445723389
MATS2v,0.10976396221157593
MATS3Z,-0.06199576345714129
MATS3c,-0.09354861563468474
MATS3d,-0.21176998501064526
MATS3i,-0.2563965268095213
MATS3m,-0.06681603939338504
MATS3p,-0.13421284425018254
MATS3s,-0.06437567254912847
MATS3v,-0.19978592076154958
MATS4Z,-0.21140741324299836
MATS4c,-0.0377196290874127
MATS4d,-0.09020867826172486
MATS4i,-0.15154310967159879
MATS4m,-0.20511711128717558
MATS4p,-0.17967118592936557
MATS4s,-0.030614857965394166
MATS4v,-0.11519953803271062
MATS5Z,-0.11267382094763698
MATS5c,0.13288374097623679
MATS5d,0.07878732452329784
MATS5i,0.1839895278083354
MATS5m,-0.10954256704317994
MATS5p,0.10714573417511618
MATS5s,-0.21846711649707728
MATS5v,0.0422498148976003
MATS6Z,0.0009115234202710917
MATS6c,-0.36458340924657573
MATS6d,-0.02203839894274422
MATS6i,0.031873738046178
MATS6m,0.003959224399241061
MATS6p,0.027604393879294115
MATS6s,-0.12740306293449177
MATS6v,0.09143130661946483
MATS7Z,-0.09719322662955233
MATS7c,0.3417480156605454
MATS7d,-0.01677471095368576
MATS7i,0.0796337934027621
MATS7m,-0.10368713690834962
MATS7p,-0.03910604638147495
MATS7s,-0.021635857735201693
MATS7v,-0.17256923851529535
MATS8Z,0.022050708898308024
MATS8c,-0.13770557072038245
MATS8d,-0.09749098280809833
MATS8i,-0.17593406052186705
MATS8m,0.026075002623443356
MATS8p,-0.14535582526046342
MATS8s,-0.03235113120063558
MATS8v,0.011940363054881895
NddssS,1
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,-3.6457862234399907
SdssSe,0
SdsssP,0
SpAD_A,28.787447114018235
SpAD_D,217.58757125352884
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.4316458805744521
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,688
TMWC10,123.12945858724686
TSRW10,57.761117180077804
VE1_Dt,4.74318994179268
VE2_Dt,0.20622564964316
VE3_Dt,2.389619015790807
VR1_Dt,126.51007741445844
VR2_Dt,5.500438148454714
VR3_Dt,5.673231091285126
Xc-3dv,1.23656002689116
Xc-4dv,0.05103103630798288
Xc-5dv,0.2654312825819431
Xc-6dv,0.01473139127471974
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.20693027063286604
Xch-7d,0.45901609854035624
Xp-0dv,13.645262003797066
Xp-1dv,8.584854707385782
Xp-2dv,7.179961109856752
Xp-3dv,5.277901354267504
Xp-4dv,3.8128539094745837
Xp-5dv,2.425386527779241
Xp-6dv,1.4738875305761165
Xp-7dv,0.902205764641011
Xpc-4d,4.708817403435744
Xpc-5d,7.387001884529296
Xpc-6d,10.774672217535334
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,42
nFRing,1
nHBAcc,3
nHBDon,2
nHRing,1
nSpiro,0
naRing,2
piPC10,6.690259809680515
AATS0dv,8.261111111111111
AATS0pe,6.40505
AATS0se,7.8566512249999985
AATS1dv,6.484126984126983
AATS1pe,6.571847619047619
AATS1se,7.874332476190473
AATS2dv,6.824074074074074
AATS2pe,6.571730555555558
AATS2se,7.927430416666665
AATS3dv,4.919413919413919
AATS3pe,6.427472527472529
AATS3se,7.824936681318682
AATS4dv,3.770440251572327
AATS4pe,6.353113207547169
AATS4se,7.877867
AATS5dv,3.6210526315789475
AATS5pe,6.378286315789473
AATS5se,7.938535115789474
AATS6dv,3.5492957746478875
AATS6pe,6.212470422535211
AATS6se,7.7302442816901396
AATS7dv,4.3128205128205135
AATS7pe,6.331723076923076
AATS7se,7.791510769230771
AATS8dv,3.1818181818181817
AATS8pe,6.009821212121213
AATS8se,7.543525181818183
AATSC0Z,10.7775
AATSC0c,0.018254341877755438
AATSC0d,0.7193750000000001
AATSC0i,1.6224205895872732
AATSC0m,49.108786787499994
AATSC0p,0.29295215386497436
AATSC0s,2.388890978652263
AATSC0v,50.164389157113945
AATSC1Z,2.4963095238095243
AATSC1c,-0.014350765975496919
AATSC1d,0.20860119047619052
AATSC1i,-0.27640833173282475
AATSC1m,10.774353782738089
AATSC1p,-0.024996168627578443
AATSC1s,-0.47348449798729497
AATSC1v,1.3256460564325183
AATSC2Z,1.1523611111111114
AATSC2c,0.006077947466242847
AATSC2d,-0.051666666666666694
AATSC2i,0.3574734255210277
AATSC2m,5.425717680555552
AATSC2p,0.03981810126304996
AATSC2s,0.5924398136240665
AATSC2v,5.506242115808244
AATSC3Z,-0.6681593406593402
AATSC3c,-0.0017076684119862724
AATSC3d,-0.15234203296703294
AATSC3i,-0.4159830041944327
AATSC3m,-3.281254632554946
AATSC3p,-0.03931794179943531
AATSC3s,-0.15378646339728513
AATSC3v,-10.022138677194702
AATSC4Z,-2.2784433962264146
AATSC4c,-0.0006885470048637596
AATSC4d,-0.06489386792452832
AATSC4i,-0.2458666613412841
AATSC4m,-10.073052484669812
AATSC4p,-0.05263506090548192
AATSC4s,-0.0731355580062505
AATSC4v,-5.778914456592643
AATSC5Z,-1.2143421052631573
AATSC5c,0.0024257052377753253
AATSC5d,0.05667763157894739
AATSC5i,0.29850839818468355
AATSC5m,-5.379502569078947
AATSC5p,0.031388573604044276
AATSC5s,-0.5218941237320409
AATSC5v,2.119436156339252
