DLiP-ID,J1008A
ATS1i,5662.660455252199
ATS1m,4995.822590000002
ATS1p,84.87291971000002
ATS1s,141.51851851851853
ATS1v,12453.633889569921
ATS2Z,1813.0
ATS2d,271.0
ATS2i,9073.21640348053
ATS2m,6955.7119969999985
ATS2p,123.22732681999997
ATS2s,232.9135802469136
ATS2v,17870.867878077708
ATS3Z,1832.0
ATS3d,288.0
ATS3i,11970.966641758376
ATS3m,6852.8738650000005
ATS3p,127.003133748245
ATS3s,292.7283950617284
ATS3v,18424.864789803152
ATS4Z,1832.0
ATS4d,257.0
ATS4i,12172.842643327445
ATS4m,6863.376713
ATS4p,115.75722779079199
ATS4s,317.37962962962956
ATS4v,16915.8503935841
ATS5Z,1546.0
ATS5d,242.0
ATS5i,10873.08710741942
ATS5m,5766.953370999999
ATS5p,111.83838720364098
ATS5s,266.0895061728395
ATS5v,15865.835178606636
ATS6Z,1476.0
ATS6d,217.0
ATS6i,9956.517263893496
ATS6m,5469.438142999999
ATS6p,108.19607897654699
ATS6s,247.7592592592593
ATS6v,15145.652737682234
ATS7Z,1357.0
ATS7d,194.0
ATS7i,9870.2963288826
ATS7m,4999.988947
ATS7p,98.01582755564101
ATS7s,261.61728395061726
ATS7v,13185.232227621793
ATS8Z,1049.0
ATS8d,154.0
ATS8i,7766.577748923122
ATS8m,3874.883245
ATS8p,74.492853100792
ATS8s,164.69753086419752
ATS8v,10007.157499449844
C1SP1,0
C1SP2,3
C1SP3,0
C2SP1,0
C2SP2,13
C2SP3,0
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.0
GGI10,0.09141720232629322
JGI10,0.008310654756935747
JGT10,0.38525258481158026
Kier1,18.367346938775512
Kier2,8.347140039447732
Kier3,4.295857988165681
MAXdO,12.458488441672966
MID_C,40.102243696565836
MID_N,4.024955572808501
MID_O,5.6648697422750045
MID_X,0.0
MID_h,11.675299655712347
MINdO,12.089314363885592
MPC10,140
MWC01,28.0
MWC02,4.90527477843843
MWC03,5.75890177387728
MWC04,6.634633357861686
MWC05,7.503840746698951
MWC06,8.384118837190895
MWC07,9.260177606823355
MWC08,10.143094829881003
MWC09,11.023290393775266
MWC10,11.908198813083555
NaaCH,11
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.168800000000002
SRW02,4.04305126783455
SRW03,0.0
SRW04,5.3612921657094255
SRW05,2.3978952727983707
SRW06,6.876264611890766
SRW07,4.442651256490317
SRW08,8.482394685873542
SRW09,6.293419278846481
SRW10,10.138441090609696
SaaCH,19.080574649687446
SaaNH,0
SaaSe,0
SaaaC,0.8911822089947097
SaasC,2.363970573470449
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.2653764219186292
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.7571536946198743
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.230292500636483
VE1_D,4.917430384694025
VE2_A,0.16921170002545932
VE2_D,0.19669721538776097
VE3_A,2.358561871628293
VE3_D,2.509076846409174
VR1_A,248.67877152194404
VR1_D,149.7126138107262
VR2_A,9.947150860877763
VR2_D,5.988504552429048
VR3_A,6.4324527212676905
VR3_D,5.925008280342706
WPath,1613
Xc-3d,1.4782780961775843
Xc-4d,0.0
Xc-5d,0.3654508901400061
Xc-6d,0.0
Xp-0d,17.225403871315223
Xp-1d,12.203509938206668
Xp-2d,10.967393206351462
Xp-3d,9.393821290804913
Xp-4d,7.935257946131232
Xp-5d,6.193044889240905
Xp-6d,4.178518110466029
Xp-7d,3.158216894446153
ZMIC0,75.10191812814206
ZMIC1,53.888313345657714
ZMIC2,32.33740836575447
ZMIC3,25.80253144595931
ZMIC4,25.343286643600297
ZMIC5,25.343286643600297
nAcid,0
nAtom,37
nBase,0
nRing,4
piPC1,3.7376696182833684
piPC2,4.3975308212098465
piPC3,5.039384707382242
piPC4,5.670957929008158
piPC5,6.22232822143733
piPC6,6.589571042796581
piPC7,7.080158014843147
piPC8,7.530819429315823
piPC9,8.007809236279785
AATS0Z,33.567567567567565
AATS0d,3.945945945945946
AATS0i,154.439685952124
AATS0m,133.5500207567568
AATS0p,1.9211909961672424
AATS0s,5.517359952545139
AATS0v,274.3892967705814
AATS1Z,32.075
AATS1d,4.55
AATS1i,141.566511381305
AATS1m,124.89556475000003
AATS1p,2.1218229927500003
AATS1s,3.5379629629629634
AATS1v,311.34084723924803
AATS2Z,28.77777777777778
AATS2d,4.301587301587301
AATS2i,144.01930799175446
AATS2m,110.40812693650791
AATS2p,1.9559893146031742
AATS2s,3.697040956300216
AATS2v,283.66456949329694
AATS3Z,23.189873417721518
AATS3d,3.6455696202531644
AATS3i,151.53122331339716
AATS3m,86.74523879746836
AATS3p,1.6076346044081646
AATS3s,3.7054227223003595
AATS3v,233.22613657978673
AATS4Z,23.487179487179485
AATS4d,3.2948717948717947
AATS4i,156.0620851708647
AATS4m,87.99200914102563
AATS4p,1.4840670229588717
AATS4s,4.068969610636277
AATS4v,216.8698768408218
AATS5Z,21.774647887323944
AATS5d,3.408450704225352
AATS5i,153.14207193548478
AATS5m,81.22469536619717
AATS5p,1.5751885521639575
AATS5s,3.7477395235611195
AATS5v,223.4624673043188
AATS6Z,22.363636363636363
AATS6d,3.287878787878788
AATS6i,150.8563221802045
AATS6m,82.87027489393938
AATS6p,1.6393345299476816
AATS6s,3.753928170594838
AATS6v,229.47958693457932
AATS7Z,21.203125
AATS7d,3.03125
AATS7i,154.22338013879062
AATS7m,78.124827296875
AATS7p,1.5314973055568908
AATS7s,4.087770061728395
AATS7v,206.0192535565905
AATS8Z,20.98
AATS8d,3.08
AATS8i,155.33155497846244
AATS8m,77.4976649
AATS8p,1.48985706201584
AATS8s,3.2939506172839503
AATS8v,200.1431499889969
AMID_C,1.6040897478626335
AMID_N,0.16099822291234006
AMID_O,0.2265947896910002
AMID_X,0.0
AMID_h,0.4670119862284939
ATS0dv,376.44444444444446
ATS0pe,242.26790000000003
ATS0se,293.0936409999999
ATS1dv,377.33333333333337
ATS1pe,264.7117
ATS1se,313.8548919999999
ATS2dv,543.6666666666667
ATS2pe,415.6236
ATS2se,495.50520800000004
ATS3dv,554.6666666666667
ATS3pe,515.6754999999999
ATS3se,623.9688779999999
ATS4dv,525.6666666666667
ATS4pe,515.9911999999999
ATS4se,626.919836
ATS5dv,440.6666666666667
ATS5pe,454.9767
ATS5se,555.028206
ATS6dv,386.0
ATS6pe,426.135
ATS6se,518.275456
ATS7dv,368.6666666666667
ATS7pe,404.2682
ATS7se,497.076672
ATS8dv,257.33333333333337
ATS8pe,312.8559999999999
ATS8se,385.68473599999993
ATSC0Z,366.3243243243244
ATSC0c,0.7650471577855322
ATSC0d,21.027027027027035
ATSC0i,59.58358961482102
ATSC0m,1661.1930010810806
ATSC0p,10.7764204298027
ATSC0s,67.97013680347011
ATSC0v,1747.0774260818653
ATSC1Z,25.892622352081805
ATSC1c,-0.3549497849494719
ATSC1d,4.673484295105916
ATSC1i,-4.079387866190902
ATSC1m,116.19248331775043
ATSC1p,-0.19537523883362262
ATSC1s,-6.313959855751648
ATSC1v,53.13419512084373
ATSC2Z,-47.87655222790359
ATSC2c,0.11310189916694077
ATSC2d,-5.073046018991968
ATSC2i,-15.121958394940282
ATSC2m,-220.4216083002188
ATSC2p,-2.7405560096280595
ATSC2s,2.54206158110062
ATSC2v,-413.16967999059113
ATSC3Z,-73.44923301680059
ATSC3c,-0.3142661306591145
ATSC3d,-3.868517165814465
ATSC3i,-18.193209588934778
ATSC3m,-337.382328227173
ATSC3p,-2.8796055264093106
ATSC3s,-8.926098270442612
ATSC3v,-422.5826035889
ATSC4Z,39.10007304601899
ATSC4c,0.047837583841167014
ATSC4d,-1.4894083272461645
ATSC4i,7.6749949310294
ATSC4m,159.6552142885318
ATSC4p,0.07299473918295019
ATSC4s,-8.418322727131534
ATSC4v,21.25099484758529
ATSC5Z,0.9452154857560302
ATSC5c,0.39686573803662095
ATSC5d,-3.3761869978086194
ATSC5i,10.465843017287678
ATSC5m,15.597955087655052
ATSC5p,1.1913989934337592
ATSC5s,-1.0603403704004326
ATSC5v,214.02101196653177
ATSC6Z,-85.22717311906503
ATSC6c,-0.4474705496848262
ATSC6d,-2.994156318480643
ATSC6i,-6.492674215714466
ATSC6m,-404.28046217165814
ATSC6p,-0.2538593085905779
ATSC6s,-26.921195720244768
ATSC6v,-424.48020153771427
ATSC7Z,-13.18261504747992
ATSC7c,0.23860528534369382
ATSC7d,0.33162892622352236
ATSC7i,-3.5650798235076544
ATSC7m,-53.56908643754585
ATSC7p,-0.656868274639135
ATSC7s,32.083993152311464
ATSC7v,-95.70908548694837
ATSC8Z,23.696859021183347
ATSC8c,-0.10304417225188837
ATSC8d,-0.577063550036522
ATSC8i,-12.709341059269475
ATSC8m,115.74028743097134
ATSC8p,-0.5821727091017067
ATSC8s,-0.9710538867195538
ATSC8v,-11.868619291851472
AXp-0d,0.6890161548526089
AXp-1d,0.43583964065023817
AXp-2d,0.2812152104192682
AXp-3d,0.18065040943855604
AXp-4d,0.11669496979604753
AXp-5d,0.07372672487191553
AXp-6d,0.046427979005178095
AXp-7d,0.02979449900420899
GATS1Z,0.6277224435590969
GATS1c,1.3438350282271836
GATS1d,0.7276349614395884
GATS1i,1.0092615693062623
GATS1m,0.6241682150269258
GATS1p,0.8351413352707668
GATS1s,0.5807538664696514
GATS1v,0.7422968388226681
GATS2Z,0.8150466915407154
GATS2c,0.8884898196572503
GATS2d,1.1957399926551593
GATS2i,1.0865738720344922
GATS2m,0.8145256113989015
GATS2p,0.9897081269647383
GATS2s,0.5931167542284519
GATS2v,0.9492344037034774
GATS3Z,0.8570948274412896
GATS3c,1.393025065973133
GATS3d,1.1269402232273595
GATS3i,1.0773647944024227
GATS3m,0.8718868649395778
GATS3p,0.9562710720663329
GATS3s,0.9764901270992797
GATS3v,1.0188183401373825
GATS4Z,0.7912282493955799
GATS4c,1.3130043346111755
GATS4d,1.031639311844967
GATS4i,0.9066239861167595
GATS4m,0.8098515162397102
GATS4p,0.8621211217147408
GATS4s,1.270723364126128
GATS4v,0.9262252447135513
GATS5Z,0.8367095000280567
GATS5c,0.75974077912049
GATS5d,1.1815778992722397
GATS5i,0.8270727471801654
GATS5m,0.8477183862248729
GATS5p,0.8298610562304992
GATS5s,1.097292421162552
GATS5v,0.9176572733836909
GATS6Z,0.9350879311038672
GATS6c,1.2438871897221415
GATS6d,1.024655293292825
GATS6i,0.9618853271398375
GATS6m,0.9523991896007146
GATS6p,0.8858661827006941
GATS6s,1.4507909069116005
GATS6v,1.069110560552209
GATS7Z,1.1048099269588312
GATS7c,0.5794265545373362
GATS7d,0.949670629820051
GATS7i,0.990984298325654
GATS7m,1.1006482406003462
GATS7p,1.0845215873437681
GATS7s,0.8320576647652385
GATS7v,1.082398093441078
GATS8Z,1.0397343957503318
GATS8c,0.9228416430945591
GATS8d,1.0272493573264778
GATS8i,1.132995469709397
GATS8m,1.0363797484817179
GATS8p,1.0832325174718
GATS8s,0.9502920623544171
GATS8v,1.0717853271287798
MATS1Z,0.06538106831931531
MATS1c,-0.42916119318530005
MATS1d,0.20559125964010272
MATS1i,-0.06333008468640446
MATS1m,0.06469931368538995
MATS1p,-0.016770141541741026
MATS1s,-0.08592616024089127
MATS1v,0.02813219938225989
MATS2Z,-0.0767570517459849
MATS2c,0.08682461496862325
MATS2d,-0.14169420981760317
MATS2i,-0.14905362744791503
MATS2m,-0.07792830835793339
MATS2p,-0.14935691355287367
MATS2s,0.021964893287114234
MATS2v,-0.13889207499381462
MATS3Z,-0.09390660517797539
MATS3c,-0.1923906691432455
MATS3d,-0.08616706257524975
MATS3i,-0.14300699855259116
MATS3m,-0.09512110155424253
MATS3p,-0.12515064856879346
MATS3s,-0.0615060946994204
MATS3v,-0.11328543980797531
MATS4Z,0.05063128303500148
MATS4c,0.029661161375190405
MATS4d,-0.03360029002702521
MATS4i,0.06110244023948219
MATS4m,0.04559005705639482
MATS4p,0.0032130993624437713
MATS4s,-0.05875090330053721
MATS4v,0.005769979034424342
MATS5Z,0.0013446474924506515
MATS5c,0.27033282110381623
MATS5d,-0.08367428219703824
MATS5i,0.09153578868647665
MATS5m,0.004893177253307023
MATS5p,0.057613741226127536
MATS5s,-0.008129625278216911
MATS5v,0.06383922944316546
MATS6Z,-0.130427783814238
MATS6c,-0.32789443048471756
MATS6d,-0.07982784139596476
MATS6i,-0.061087835398974465
MATS6m,-0.13643332058981428
MATS6p,-0.013206153923204695
MATS6s,-0.22204141685294723
MATS6v,-0.13620814397619832
MATS7Z,-0.02080451342777041
MATS7c,0.1803074218177713
MATS7d,0.009117930591259678
MATS7i,-0.034591097755088715
MATS7m,-0.01864300420032567
MATS7p,-0.035239156986259366
MATS7s,0.27289276458000444
MATS7v,-0.031671072055022516
MATS8Z,0.04786926368599675
MATS8c,-0.09967057153328256
MATS8d,-0.02030848329048839
MATS8i,-0.15784400444245814
MATS8m,0.051558014416856084
MATS8p,-0.03997689284132267
MATS8s,-0.010571993966264666
MATS8v,-0.005027125956098607
MAXaaN,3.903254155469371
MAXaaO,5.8398455215419505
MAXaaS,1.207146478487082
MINaaN,3.903254155469371
MINaaO,5.8398455215419505
MINaaS,1.207146478487082
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,7
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,33.377335465698785
SpAD_D,268.26206366271185
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,891
TMWC10,128.52153113763043
TSRW10,73.03540963005315
VE1_Dt,4.9564584681423
VE2_Dt,0.19825833872569198
VE3_Dt,2.5169821990586643
VR1_Dt,146.19712066111418
VR2_Dt,5.8478848264445675
VR3_Dt,5.901246584475471
Xc-3dv,0.549976515253323
Xc-4dv,0.0
Xc-5dv,0.07067289134094253
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.14433756729740643
Xch-6d,0.3089923432488318
Xch-7d,0.5028912091043215
Xp-0dv,13.747556299369023
Xp-1dv,8.382942821981398
Xp-2dv,6.076439504512175
Xp-3dv,4.324277728355906
Xp-4dv,3.0157116859900395
Xp-5dv,1.825517809191035
Xp-6dv,0.9914234174101613
Xp-7dv,0.605628961339797
Xpc-4d,3.639542714673144
Xpc-5d,5.739460559662653
Xpc-6d,8.713431309753929
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,40
nFRing,1
nHBAcc,5
nHBDon,1
nHRing,2
nSpiro,0
naRing,4
piPC10,8.26493054586225
AATS0dv,10.174174174174174
AATS0pe,6.547781081081082
AATS0se,7.921449756756753
AATS1dv,9.433333333333334
AATS1pe,6.6177925
AATS1se,7.846372299999997
AATS2dv,8.629629629629632
AATS2pe,6.5972
AATS2se,7.865162031746032
AATS3dv,7.021097046413503
AATS3pe,6.527537974683543
AATS3se,7.8983402278481
AATS4dv,6.73931623931624
AATS4pe,6.615271794871794
AATS4se,8.037433794871795
AATS5dv,6.206572769953052
AATS5pe,6.408122535211268
AATS5se,7.817298676056337
AATS6dv,5.848484848484849
AATS6pe,6.456590909090909
AATS6se,7.852658424242423
AATS7dv,5.760416666666667
AATS7pe,6.316690625
AATS7se,7.766823
AATS8dv,5.146666666666667
AATS8pe,6.257119999999998
AATS8se,7.713694719999999
AATSC0Z,9.90065741417093
AATSC0c,0.02067695021041979
AATSC0d,0.5682980277574874
AATSC0i,1.6103672868870547
AATSC0m,44.897108137326505
AATSC0p,0.2912546062108838
AATSC0s,1.8370307244181112
AATSC0v,47.218308813023384
AATSC1Z,0.6473155588020452
AATSC1c,-0.008873744623736798
AATSC1d,0.1168371073776479
AATSC1i,-0.10198469665477254
AATSC1m,2.904812082943761
AATSC1p,-0.004884380970840566
AATSC1s,-0.15784899639379119
AATSC1v,1.3283548780210932
AATSC2Z,-0.7599452734587872
AATSC2c,0.0017952682407450917
AATSC2d,-0.08052453998399949
AATSC2i,-0.24003108563397274
AATSC2m,-3.49875568730506
AATSC2p,-0.04350088904171523
AATSC2s,0.04035018382699397
AATSC2v,-6.558248888739542
AATSC3Z,-0.9297371267949441
AATSC3c,-0.003978052286824235
AATSC3d,-0.04896857171917044
AATSC3i,-0.2302937922649972
AATSC3m,-4.270662382622443
AATSC3p,-0.03645070286594064
AATSC3s,-0.11298858570180521
AATSC3v,-5.349146880872151
AATSC4Z,0.5012829877694742
AATSC4c,0.0006133023569380386
AATSC4d,-0.019094978554438004
AATSC4i,0.09839737091063333
AATSC4m,2.0468617216478435
AATSC4p,0.0009358299895250024
AATSC4s,-0.10792721445040428
AATSC4v,0.2724486518921191
