DLiP-ID,C004ME
MATS8v,-0.03898832303241995
MAXsCl,6.291802279260342
MAXsOH,9.45214193227541
MAXssO,5.423722468925841
MINsCl,6.1265813383179
MINsOH,9.45214193227541
MINssO,5.423722468925841
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,4
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,39.03276770540874
SpAD_D,318.48238029362045
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.2797147248817236
SssNH2,0
SsssAs,0
SsssCH,-1.2003657687354798
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1186
TMWC10,141.7347680144125
TSRW10,66.83223672179649
VE1_Dt,5.493257324920352
VE2_Dt,0.1772018491909791
VE3_Dt,2.8349235107256456
VR1_Dt,197.99909358455156
VR2_Dt,6.387067534985534
VR3_Dt,6.4196645643193575
Xc-3dv,1.2280282537140967
Xc-4dv,0.0
Xc-5dv,0.19318612047914085
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.21202758782931808
Xch-7d,0.41889506778107355
Xp-0dv,19.143589255468573
Xp-1dv,11.14667128085325
Xp-2dv,8.824168442246675
Xp-3dv,6.443130937478521
Xp-4dv,4.88692598082712
Xp-5dv,3.8271926609810736
Xp-6dv,2.495673806137993
Xp-7dv,1.6907686892494636
Xpc-4d,4.614744241418116
Xpc-5d,7.8800804050414275
Xpc-6d,13.836956209249838
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,60
nFRing,0
nHBAcc,3
nHBDon,1
nHRing,1
nSpiro,0
naRing,2
piPC10,6.946795687419962
AATS0dv,6.572584078331205
AATS0pe,6.263572413793103
AATS0se,7.760873482758619
AATS1dv,5.987037037037037
AATS1pe,6.436958333333334
AATS1se,7.725462666666663
AATS2dv,4.554517133956387
AATS2pe,6.321539252336449
AATS2se,7.712253532710277
AATS3dv,3.6007407407407404
AATS3pe,6.2056173333333335
AATS3se,7.6615005333333315
AATS4dv,3.4902699309478975
AATS4pe,6.174014124293785
AATS4se,7.652751039548021
AATS5dv,3.787175234936429
AATS5pe,6.221022388059702
AATS5se,7.692234278606966
AATS6dv,2.92015392015392
AATS6pe,6.065875757575757
AATS6se,7.552387870129868
AATS7dv,2.3951111111111114
AATS7pe,5.995164
AATS7se,7.548422391999999
AATS8dv,2.1450617283950617
AATS8pe,6.106032407407408
AATS8se,7.711565962962964
AATSC0Z,12.888228299643284
AATSC0c,0.01701596868872423
AATSC0d,0.6186087990487514
AATSC0i,1.3466654470043071
AATSC0m,60.43301992895363
AATSC0p,0.2655598889722393
AATSC0s,1.6036426580987608
AATSC0v,52.80305898013324
AATSC1Z,0.11981767736821224
AATSC1c,-0.009182155743326325
AATSC1d,0.2141498216409038
AATSC1i,-0.10238095734403671
AATSC1m,0.6019172902992516
AATSC1p,-0.001387153015785495
AATSC1s,-0.0556851391825596
AATSC1v,0.6181091386263102
AATSC2Z,0.37152033071443624
AATSC2c,0.0014440223476575402
AATSC2d,0.03624134597219599
AATSC2i,-0.00017933074925616374
AATSC2m,1.772823998213635
AATSC2p,0.018259131222354345
AATSC2s,0.18328604731550696
AATSC2v,1.1651122736652306
AATSC3Z,-0.9514466904478793
AATSC3c,0.000360439617625202
AATSC3d,0.02656361474435194
AATSC3i,-0.015077696224127995
AATSC3m,-4.425114077344431
AATSC3p,-0.006191438279745602
AATSC3s,-0.13610693674285587
AATSC3v,-2.0393058052759887
AATSC4Z,-0.3986510543676145
