DLiP-ID,C000YX
TIC3,202.12223629333107
TIC4,208.87712379549458
TIC5,210.8771237954946
Vabc,275.0566082870816
WPol,42
apol,42.93668799999998
bpol,22.127312000000007
nRot,3
ABCGG,15.06944329245878
ATS0Z,1132.0
ATS0d,144.0
ATS0i,6529.659345960484
ATS0m,4483.930848000001
ATS0p,54.736142477583996
ATS0s,322.77777777777777
ATS0v,8797.610429814042
ATS1Z,1186.0
ATS1d,185.0
ATS1i,6225.51033456265
ATS1m,4539.4784899999995
ATS1p,70.03950734
ATS1s,172.49999999999997
ATS1v,11234.161582603516
ATS2Z,1861.0
ATS2d,284.0
ATS2i,10781.26287572305
ATS2m,7036.143962000002
ATS2p,105.59298823284902
ATS2s,305.16666666666663
ATS2v,16825.30100543503
ATS3Z,2264.0
ATS3d,321.0
ATS3i,16201.212897455036
ATS3m,8400.682006000001
ATS3p,122.405027920188
ATS3s,511.33333333333326
ATS3v,19252.201551100035
ATS4Z,1961.0
ATS4d,289.0
ATS4i,17020.611685318734
ATS4m,7055.405765999998
ATS4p,113.47509884673498
ATS4s,485.75
ATS4v,17301.976650063934
ATS5Z,1700.0
ATS5d,255.0
ATS5i,15519.231691005081
ATS5m,6142.572545999999
ATS5p,100.40692125697997
ATS5s,425.1388888888889
ATS5v,15115.266526819805
ATS6Z,1530.0
ATS6d,226.0
ATS6i,12954.266519402689
ATS6m,5575.678075999999
ATS6p,91.79466791188598
ATS6s,395.0555555555555
ATS6v,13883.113322879204
ATS7Z,1403.0
ATS7d,210.0
ATS7i,12208.154187869237
ATS7m,5060.212153000001
ATS7p,88.37789046533898
ATS7s,340.97222222222206
ATS7v,13055.805387916584
ATS8Z,1236.0
ATS8d,184.0
ATS8i,11890.873922847933
ATS8m,4410.069912999999
ATS8p,78.35737688388599
ATS8s,334.7777777777777
ATS8v,11379.026166889576
C1SP1,0
C1SP2,1
C1SP3,2
C2SP1,0
C2SP2,7
C2SP3,4
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.4
GGI10,0.09907152331394756
JGI10,0.009907152331394754
JGT10,0.5412573993277792
Kier1,18.781065088757398
Kier2,7.7091412742382275
Kier3,3.9077277970011535
MAXdO,11.167799631488062
MID_C,31.81077600631543
MID_N,0.0
MID_O,16.733111008410944
MID_X,0.0
MID_h,16.733111008410944
MINdO,11.167799631488062
MPC10,109
MWC01,26.0
MWC02,4.859812404361672
MWC03,5.726847747587197
MWC04,6.618738983517219
MWC05,7.502738210754851
MWC06,8.395929103923198
MWC07,9.28461261635077
MWC08,10.178122378638475
MWC09,11.068620771070522
MWC10,11.962286239027172
NaaCH,4
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,2
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,-1.322700000000001
SRW02,3.970291913552122
SRW03,0.0
SRW04,5.3230099791384085
SRW05,0.0
SRW06,6.878326468291325
SRW07,0.0
SRW08,8.527737405291909
SRW09,0.0
SRW10,10.22459231202622
SaaCH,5.16954520077085
SaaNH,0
SaaSe,0
SaaaC,0.5908734095490054
SaasC,-0.47732520786092114
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.536986186411923
VE1_D,4.8296418497108125
VE2_A,0.1890410911004968
VE2_D,0.20123507707128385
VE3_A,2.3877316933786616
VE3_D,2.4502410510704555
VR1_A,140.35409355463767
VR1_D,137.2098895399289
VR2_A,5.848087231443237
VR2_D,5.71707873083037
VR3_A,5.8196372064955355
VR3_D,5.796980531242777
WPath,1339
Xc-3d,1.935060997513288
Xc-4d,0.0
Xc-5d,0.6158567754831887
Xc-6d,0.0
Xp-0d,17.43035694138864
Xp-1d,11.401085903164898
Xp-2d,10.62431400746517
Xp-3d,9.36801740969826
Xp-4d,7.173888341236122
Xp-5d,5.955717789946681
Xp-6d,4.161073825788685
Xp-7d,2.685291338556198
ZMIC0,91.08030552174992
ZMIC1,46.41953663771446
ZMIC2,30.768371353424715
ZMIC3,25.785216721263286
ZMIC4,24.014772831737496
ZMIC5,23.848676426993126
nAcid,0
nAtom,40
nBase,0
nRing,3
piPC1,3.5115454388310208
piPC2,4.135166556742356
piPC3,4.684443366882599
piPC4,5.251618763538796
piPC5,5.8827999679278555
piPC6,6.20852714685619
piPC7,6.532834530983093
piPC8,6.959213012973755
piPC9,7.235894904553472
AATS0Z,28.3
AATS0d,3.6
AATS0i,163.24148364901208
AATS0m,112.09827120000003
AATS0p,1.3684035619396
AATS0s,8.069444444444445
AATS0v,219.94026074535105
AATS1Z,28.238095238095237
AATS1d,4.404761904761905
AATS1i,148.22643653720596
AATS1m,108.08282119047618
AATS1p,1.6676073176190476
AATS1s,4.107142857142857
AATS1v,267.4800376810361
AATS2Z,26.211267605633804
AATS2d,4.0
AATS2i,151.84877289750776
AATS2m,99.10061918309862
AATS2p,1.4872251863781554
AATS2s,4.298122065727699
AATS2v,236.97607049908493
AATS3Z,22.415841584158414
AATS3d,3.1782178217821784
AATS3i,160.40804848965382
AATS3m,83.17506936633664
AATS3p,1.211930969506812
AATS3s,5.062706270627062
AATS3v,190.6158569415845
AATS4Z,18.85576923076923
AATS4d,2.7788461538461537
AATS4i,163.65972774344937
AATS4m,67.84044005769229
AATS4p,1.091106719680144
AATS4s,4.670673076923077
AATS4v,166.3651600967686
AATS5Z,18.085106382978722
AATS5d,2.7127659574468086
AATS5i,165.09820947877745
AATS5m,65.34651644680851
AATS5p,1.0681587367763827
AATS5s,4.5227541371158395
AATS5v,160.80070773212557
AATS6Z,19.125
AATS6d,2.825
AATS6i,161.9283314925336
AATS6m,69.69597594999999
AATS6p,1.1474333488985748
AATS6s,4.938194444444443
AATS6v,173.53891653599004
AATS7Z,18.460526315789473
AATS7d,2.763157894736842
AATS7i,160.63360773512153
AATS7m,66.58173885526317
AATS7p,1.1628669798070919
AATS7s,4.486476608187132
AATS7v,171.7869129989024
AATS8Z,16.931506849315067
AATS8d,2.5205479452054793
AATS8i,162.88868387462924
AATS8m,60.41191661643835
AATS8p,1.0733887244367943
AATS8s,4.585996955859969
AATS8v,155.87707077930926
AMID_C,1.325449000263143
AMID_N,0.0
AMID_O,0.6972129586837893
AMID_X,0.0
AMID_h,0.6972129586837893
ATS0dv,434.0
ATS0pe,281.47990000000004
ATS0se,340.768608
ATS1dv,380.0
ATS1pe,295.84899999999993
ATS1se,351.623624
ATS2dv,593.0
ATS2pe,500.9017
ATS2se,598.8469759999998
ATS3dv,716.0
ATS3pe,708.5791999999998
ATS3se,859.9144479999999
ATS4dv,578.0
ATS4pe,714.464
ATS4se,876.552384
ATS5dv,515.0
ATS5pe,634.034
ATS5se,782.301072
ATS6dv,450.0
ATS6pe,538.1882999999999
ATS6se,660.953216
ATS7dv,396.0
ATS7pe,506.92580000000004
ATS7se,622.7177320000002
ATS8dv,343.0
ATS8pe,479.98830000000004
ATS8se,593.6288920000002
ATSC0Z,339.90000000000003
ATSC0c,2.0413653768783995
ATSC0d,28.4
ATSC0i,51.56443468064785
ATSC0m,1589.1008316000002
ATSC0p,8.647163067350398
ATSC0s,129.17777777777778
ATSC0v,1767.4388938019079
ATSC1Z,-20.39500000000001
ATSC1c,-1.112946905338604
ATSC1d,7.1800000000000015
ATSC1i,4.2136405672018435
ATSC1m,-83.05676398000031
ATSC1p,0.9230694913116761
ATSC1s,-32.686666666666675
ATSC1v,203.74022047374513
ATSC2Z,-43.82250000000001
ATSC2c,-0.23861215722703824
ATSC2d,-5.509999999999999
ATSC2i,-10.429533125068259
ATSC2m,-204.11188369000035
ATSC2p,-1.6524900397327649
ATSC2s,-25.493333333333332
ATSC2v,-262.43167181408467
ATSC3Z,5.402499999999989
ATSC3c,0.6779436093307095
ATSC3d,-5.91
ATSC3i,-0.8966016064661833
ATSC3m,19.55599350999985
ATSC3p,-0.2835157607837612
ATSC3s,14.573333333333332
ATSC3v,-94.30827606717202
ATSC4Z,-95.78999999999998
ATSC4c,-0.41730364350477844
ATSC4d,-3.740000000000001
ATSC4i,-2.0150283472559005
ATSC4m,-445.15628046000006
ATSC4p,-0.504650507423639
ATSC4s,-17.39
ATSC4v,-291.6177894352203
ATSC5Z,28.135000000000012
ATSC5c,0.19095738257672965
ATSC5d,3.059999999999999
ATSC5i,12.858379730115903
ATSC5m,139.68545454000008
ATSC5p,2.226392844502561
ATSC5s,-8.701111111111107
ATSC5v,399.2813712683861
ATSC6Z,8.100000000000001
ATSC6c,-0.21939421034798795
ATSC6d,-1.7999999999999996
ATSC6i,-1.4242637950329025
ATSC6m,41.077915400000045
ATSC6p,-0.09302386986039984
ATSC6s,13.722222222222225
ATSC6v,64.97853994203983
ATSC7Z,-37.91
ATSC7c,-0.014469653285264672
ATSC7d,-3.8599999999999994
ATSC7i,-9.912180063190092
ATSC7m,-185.15001043999993
ATSC7p,-1.8121885796723602
ATSC7s,-10.22111111111111
ATSC7v,-389.6276040312093
ATSC8Z,2.68250000000001
ATSC8c,0.2856473862393658
ATSC8d,-2.83
ATSC8i,-12.266268887589213
ATSC8m,2.9352817300001597
ATSC8p,-2.089748936251279
ATSC8s,11.231111111111113
ATSC8v,-316.66601140598374
AXp-0d,0.7262648725578601
AXp-1d,0.4385033039678807
AXp-2d,0.27958721072276765
AXp-3d,0.18368661587643645
AXp-4d,0.1120920053318144
AXp-5d,0.07090140226127002
AXp-6d,0.04728492983850778
AXp-7d,0.02950869602809009
GATS1Z,0.7758584457613583
GATS1c,1.4447991815969725
GATS1d,0.9808853118712274
GATS1i,1.1421183048867838
GATS1m,0.7731447947508041
GATS1p,1.0847532773918045
GATS1s,1.0341199528151188
GATS1v,0.8687163389279872
GATS2Z,0.8629712964459305
GATS2c,0.964425533774131
GATS2d,1.305544534814521
GATS2i,1.2614271079642294
GATS2m,0.8651297804286711
GATS2p,1.2264903121924002
GATS2s,0.8669267886693982
GATS2v,1.0450438867827538
GATS3Z,0.9423418069962336
GATS3c,0.863581865430459
GATS3d,1.114907265374425
GATS3i,1.0095751440098686
GATS3m,0.9421488552640493
GATS3p,1.0006852336906804
GATS3s,0.8604753258742355
GATS3v,0.9642275321644828
GATS4Z,1.1137466902030009
GATS4c,1.122253622978
GATS4d,0.9837147887323944
GATS4i,0.9599140405572104
GATS4m,1.1111164035039323
GATS4p,0.9637431708638804
GATS4s,0.9893100593497333
GATS4v,1.014954982445149
GATS5Z,0.9960376330960918
GATS5c,0.9920554053837913
GATS5d,0.9057536709619418
GATS5i,0.8186138301230134
GATS5m,0.9930366491398712
GATS5p,0.8232058034510272
GATS5s,0.9718381580536655
GATS5v,0.8826137991853837
GATS6Z,0.9623786407766989
GATS6c,1.0377135555998793
GATS6d,1.0299295774647887
GATS6i,0.9881381993486233
GATS6m,0.9624313417057428
GATS6p,0.9854127976245987
GATS6s,0.9279524341992085
GATS6v,0.9727721008258706
GATS7Z,1.0085009522924697
GATS7c,0.9219964121993358
GATS7d,1.0208951074870276
GATS7i,1.0936308739690326
GATS7m,1.0135692953045152
GATS7p,1.1109311503117663
GATS7s,0.9768472095213089
GATS7v,1.1204676542136056
GATS8Z,0.988646942896178
GATS8c,0.8401655607330751
GATS8d,0.9593864557206252
GATS8i,1.0814542935855456
GATS8m,0.9944220570514977
GATS8p,1.1016568895339378
GATS8s,0.8814884682183767
GATS8v,1.1146711626777612
MATS1Z,-0.05714565908740669
MATS1c,-0.5192355301316314
MATS1d,0.2407780013413817
MATS1i,0.07782478449024449
MATS1m,-0.049777634249494704
MATS1p,0.10166499630017815
MATS1s,-0.24098695043129936
MATS1v,0.1097850148559864
MATS2Z,-0.07263528212523154
MATS2c,-0.06585268167858649
MATS2d,-0.10930370958143223
MATS2i,-0.11395050379758742
MATS2m,-0.07236331908139293
MATS2p,-0.10766309098413493
MATS2s,-0.11118352987354715
MATS2v,-0.08365145166235338
MATS3Z,0.0062948042377053105
MATS3c,0.13152594904758655
MATS3d,-0.08241528378189933
MATS3i,-0.006886330614003364
MATS3m,0.004873792632122877
MATS3p,-0.012985006613473783
MATS3s,0.04467964429334728
MATS3v,-0.02113216611607316
MATS4Z,-0.10839160839160836
MATS4c,-0.07862453393494215
MATS4d,-0.05065005417118096
MATS4i,-0.015029950538400701
MATS4m,-0.10774266215107865
MATS4p,-0.022446245953421755
MATS4s,-0.051777183765829904
MATS4v,-0.06345944328691813
MATS5Z,0.03522312570029985
MATS5c,0.039805936551744116
MATS5d,0.04584956547797422
MATS5i,0.10611288541943432
MATS5m,0.037405190263064186
MATS5p,0.10956208447181713
MATS5s,-0.028662828363426058
MATS5v,0.09613173450749496
MATS6Z,0.011915269196822596
MATS6c,-0.05373712438570885
MATS6d,-0.031690140845070415
MATS6i,-0.013810524675134557
MATS6m,0.01292489267614327
MATS6p,-0.005378866406002885
MATS6s,0.05311371064854637
MATS6v,0.01838211781179761
MATS7Z,-0.058701475666217605
MATS7c,-0.003730643753687125
MATS7d,-0.07153446997776129
MATS7i,-0.10117316145659451
MATS7m,-0.06132233523386536
MATS7p,-0.11030015920327778
MATS7s,-0.0416444086303838
MATS7v,-0.11602503528442187
MATS8Z,0.004324398392758562
MATS8c,0.07667373882226929
MATS8d,-0.0546015820953116
MATS8i,-0.13034649303735635
MATS8m,0.001012128065571279
MATS8p,-0.13242122316371868
MATS8s,0.04764003214335372
MATS8v,-0.09817347762160182
MAXaaO,4.916281432696025
MAXsOH,9.971827995086924
MAXssO,5.3632830215419505
MINaaO,4.916281432696025
MINsOH,9.146594732938876
MINssO,5.2038669742588395
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,5
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,30.51129584902362
SpAD_D,230.36302662658295
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,-0.5975535830978651
SssNH2,0
SsssAs,0
SsssCH,-7.272139028616753
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,788
TMWC10,125.59770845523107
TSRW10,58.92395807829998
VE1_Dt,4.860742037011568
VE2_Dt,0.20253091820881533
VE3_Dt,2.4566598461241824
VR1_Dt,133.41422505122176
VR2_Dt,5.5589260438009065
VR3_Dt,5.7689274997172415
Xc-3dv,0.7238261985680047
Xc-4dv,0.0
Xc-5dv,0.11849039747738756
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.16895785846218417
Xch-7d,0.5379059057601411
Xp-0dv,12.272320343248426
Xp-1dv,7.145000359821982
Xp-2dv,5.42731768890397
Xp-3dv,3.7924729461818387
Xp-4dv,2.4680535994201946
Xp-5dv,1.6641066303177694
Xp-6dv,0.8806449943309873
Xp-7dv,0.45446366253127024
Xpc-4d,4.934806662538238
Xpc-5d,7.120815652846762
Xpc-6d,11.142910468100942
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,42
nFRing,1
nHBAcc,9
nHBDon,5
nHRing,2
nSpiro,0
naRing,2
piPC10,7.101479674553776
AATS0dv,10.85
AATS0pe,7.036997500000001
AATS0se,8.5192152
AATS1dv,9.047619047619047
AATS1pe,7.044023809523808
AATS1se,8.371991047619048
AATS2dv,8.352112676056338
AATS2pe,7.054953521126761
AATS2se,8.434464450704223
AATS3dv,7.089108910891089
AATS3pe,7.015635643564354
AATS3se,8.514004435643564
AATS4dv,5.5576923076923075
AATS4pe,6.869846153846154
AATS4se,8.428388307692307
AATS5dv,5.4787234042553195
AATS5pe,6.74504255319149
AATS5se,8.322351829787234
AATS6dv,5.625
AATS6pe,6.727353749999999
AATS6se,8.2619152
AATS7dv,5.2105263157894735
AATS7pe,6.6700763157894745
AATS7se,8.193654368421056
AATS8dv,4.698630136986301
AATS8pe,6.575182191780822
AATS8se,8.131902630136988
AATSC0Z,8.4975
AATSC0c,0.05103413442195999
AATSC0d,0.71
AATSC0i,1.2891108670161961
AATSC0m,39.72752079000001
AATSC0p,0.21617907668375996
AATSC0s,3.2294444444444443
AATSC0v,44.185972345047695
AATSC1Z,-0.48559523809523836
AATSC1c,-0.026498735841395334
AATSC1d,0.170952380952381
AATSC1i,0.1003247754095677
AATSC1m,-1.977541999523817
AATSC1p,0.021977845031230386
AATSC1s,-0.7782539682539684
AATSC1v,4.850957630327265
AATSC2Z,-0.6172183098591552
AATSC2c,-0.0033607346088315245
AATSC2d,-0.07760563380281689
AATSC2i,-0.14689483274744028
AATSC2m,-2.8748152632394417
AATSC2p,-0.02327450760186993
AATSC2s,-0.35906103286384977
AATSC2v,-3.6962207297758405
AATSC3Z,0.053490099009900885
AATSC3c,0.0067123129636703915
AATSC3d,-0.05851485148514852
AATSC3i,-0.008877243628378053
AATSC3m,0.19362369811881042
AATSC3p,-0.002807086740433279
AATSC3s,0.1442904290429043
AATSC3v,-0.9337453075957626
AATSC4Z,-0.9210576923076921
AATSC4c,-0.004012535033699792
AATSC4d,-0.035961538461538475
AATSC4i,-0.019375272569768273
AATSC4m,-4.280348850576924
AATSC4p,-0.004852408725227298
AATSC4s,-0.16721153846153847
AATSC4v,-2.804017206107887
AATSC5Z,0.299308510638298
AATSC5c,0.0020314615167737198
AATSC5d,0.03255319148936169
