DLiP-ID,C000JI
ATSC3v,-304.5550578649852
ATSC4Z,-174.703125
ATSC4c,-0.14059030753294335
ATSC4d,-14.453125
ATSC4i,-33.573758706419326
ATSC4m,-838.090801328125
ATSC4p,-5.970616485730147
ATSC4s,-16.233265817901234
ATSC4v,-1347.0772851355132
ATSC5Z,-101.515625
ATSC5c,-2.796061099623673e-05
ATSC5d,-3.515625
ATSC5i,-9.323192995499863
ATSC5m,-479.5877978906248
ATSC5p,-1.8367339689018485
ATSC5s,-8.053674768518519
ATSC5v,-554.9012662410994
ATSC6Z,24.265625
ATSC6c,-0.366364594811433
ATSC6d,4.765625
ATSC6i,-12.578973845133628
ATSC6m,113.59837589062522
ATSC6p,-1.1215661813233728
ATSC6s,-0.7592110339506162
ATSC6v,-23.73294484952052
ATSC7Z,139.953125
ATSC7c,0.262911654339437
ATSC7d,3.578125
ATSC7i,11.55642460039669
ATSC7m,658.1349433281252
ATSC7p,2.2236648049158143
ATSC7s,16.384886188271604
ATSC7v,650.8222603606343
ATSC8Z,38.484375
ATSC8c,0.3031282303943609
ATSC8d,-1.015625
ATSC8i,-0.274735878979004
ATSC8m,174.87091698437507
ATSC8p,-0.16724302573408506
ATSC8s,11.68166473765432
ATSC8v,19.65130970167384
AXp-0d,0.7059677070504672
AXp-1d,0.4538228535020288
AXp-2d,0.28851299217358006
AXp-3d,0.18996627198102148
AXp-4d,0.12428207770261114
AXp-5d,0.08355980853815685
AXp-6d,0.05645047011643868
AXp-7d,0.03809141967064183
GATS1Z,0.8066810655147588
GATS1c,1.4469832648075316
GATS1d,0.67009900990099
GATS1i,1.2168589525282276
GATS1m,0.8111910466832957
GATS1p,1.076099487443424
GATS1s,0.6385525103080281
GATS1v,0.9580149300387175
GATS2Z,0.94010599633957
GATS2c,1.3019372084404566
GATS2d,1.19980913754026
GATS2i,0.9816389792916744
GATS2m,0.9362856949444286
GATS2p,0.8959087952331242
GATS2s,0.7335762647972437
GATS2v,0.8848647947818028
GATS3Z,0.9772210223182145
GATS3c,0.8599448613027264
GATS3d,1.423960396039604
GATS3i,1.0896967340012813
GATS3m,0.979774452519336
GATS3p,1.0572460642611448
GATS3s,0.933342711617754
GATS3v,1.0347477286649187
GATS4Z,1.1745019276962518
GATS4c,1.0263234863656054
GATS4d,1.21772924956047
GATS4i,1.2266780257222354
GATS4m,1.1767385666935806
GATS4p,1.225013270092826
GATS4s,1.1705440870793202
GATS4v,1.2170503077224606
GATS5Z,1.132787214860649
GATS5c,1.0320003887151583
GATS5d,0.9306930693069306
GATS5i,1.0150637211245723
GATS5m,1.1302066314825323
GATS5p,1.029503588192902
GATS5s,1.1260208061566295
GATS5v,1.0681351988255123
GATS6Z,0.9627930796464118
GATS6c,1.0367471647798059
GATS6d,0.8347453302031234
GATS6i,1.0509534862611076
GATS6m,0.9638953237303234
GATS6p,1.0066877352429278
GATS6s,1.2283218855252531
GATS6v,0.9873367019966925
GATS7Z,0.7969677719900056
GATS7c,0.7810133117085836
GATS7d,0.821199767035527
GATS7i,0.8555303524665406
GATS7m,0.7982366173305212
GATS7p,0.8409324382460365
GATS7s,1.327541624459631
GATS7v,0.8262534724736202
GATS8Z,0.9178961457731268
GATS8c,0.757341898389531
GATS8d,0.9962348347510807
GATS8i,0.9656100942522637
GATS8m,0.9202305671024958
GATS8p,0.9889276455612903
GATS8s,1.3710186415607397
GATS8v,0.9720809330740522
MATS1Z,0.04431965442764579
MATS1c,-0.4272901338509345
MATS1d,0.4289108910891089
MATS1i,-0.07052716404193014
MATS1m,0.04390053833385443
MATS1p,-0.03762353106293525
MATS1s,-0.0437720106718409
MATS1v,0.009671360216385903
MATS2Z,-0.0030445757110515496
MATS2c,-0.10507457415087962
MATS2d,-0.010378146248359777
MATS2i,0.08698184684681556
MATS2m,9.451995421548547e-05
MATS2p,0.1034302999304183
MATS2s,0.01358409626865452
MATS2v,0.06991481593388511
MATS3Z,-0.04311015118790497
MATS3c,0.14251827834519812
MATS3d,-0.25782178217821783
MATS3i,-0.057606396081200044
MATS3m,-0.044385118395877235
MATS3p,-0.05591962984343238
MATS3s,-0.016681057482415735
MATS3v,-0.059895132261973696
MATS4Z,-0.22569185119396057
MATS4c,-0.05792888640060373
MATS4d,-0.25677801425002317
MATS4i,-0.21454237102255938
MATS4m,-0.22730529425036067
MATS4p,-0.23982323852652437
MATS4s,-0.15260324462044472
MATS4v,-0.24759076811648847
MATS5Z,-0.12641799466853465
MATS5c,-1.1105733694285051e-05
MATS5d,-0.06020872357506021
MATS5i,-0.057429969343351935
MATS5m,-0.12538552448301665
MATS5p,-0.07111793607695033
MATS5s,-0.07298149471324346
MATS5v,-0.098314697870608
MATS6Z,0.034579501681102624
MATS6c,-0.1665195925394273
MATS6d,0.09339593753189752
MATS6i,-0.08866870560316722
MATS6m,0.03398620267165817
MATS6p,-0.049694581373258113
MATS6s,-0.007872858068016722
MATS6v,-0.004811778282045392
MATS7Z,0.2275949688730784
MATS7c,0.136368633577717
MATS7d,0.08002329644729178
MATS7i,0.09296114262094751
MATS7m,0.22469752004472768
MATS7p,0.11243622652998361
MATS7s,0.19389479391077313
MATS7v,0.15058065608546145
MATS8Z,0.07492471024853223
MATS8c,0.18823120051397677
MATS8d,-0.02719286013108353
MATS8i,-0.0026457811600487284
MATS8m,0.07147620627981606
MATS8p,-0.010123846056454541
MATS8s,0.1654962030245992
MATS8v,0.005443257294913634
MAXssO,5.2626610057711245
MINssO,5.204883409253908
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,2
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,34.187472763470645
SpAD_D,326.9413120241476
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.358042285963462
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,568
TMWC10,128.40706013605043
TSRW10,74.45641926582694
VE1_Dt,5.014847838123978
VE2_Dt,0.1928787630047684
VE3_Dt,2.567914524629876
VR1_Dt,151.6064730395037
VR2_Dt,5.831018193827065
VR3_Dt,5.9767996154739285
Xc-3dv,0.5194013800749466
Xc-4dv,0.0
Xc-5dv,0.0641850047716617
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.355498860309242
Xch-7d,0.5400507894235672
Xp-0dv,14.912461125660945
Xp-1dv,8.439393810424864
Xp-2dv,5.848278854461462
Xp-3dv,4.203242980029358
Xp-4dv,2.846140990432799
Xp-5dv,1.818319025030411
Xp-6dv,0.978068121814067
Xp-7dv,0.5591690749804382
Xpc-4d,3.214270679684604
Xpc-5d,4.971012745977095
Xpc-6d,6.659930054730937
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,50
nFRing,1
nHBAcc,3
nHBDon,2
nHRing,1
nSpiro,0
naRing,3
piPC10,6.312790569699643
AATS0dv,7.333333333333333
AATS0pe,6.187843750000002
AATS0se,7.637822166666666
AATS1dv,6.98
AATS1pe,6.47983
AATS1se,7.74864912
AATS2dv,5.554216867469879
AATS2pe,6.373790361445782
AATS2se,7.753854506024097
AATS3dv,4.27
AATS3pe,6.221221000000001
AATS3se,7.636013479999999
AATS4dv,3.046728971962617
AATS4pe,6.156443925233644
AATS4se,7.605954130841122
AATS5dv,2.5855855855855854
AATS5pe,6.031703603603604
AATS5se,7.561065189189189
AATS6dv,3.1237113402061856
AATS6pe,5.956329896907216
AATS6se,7.485461237113402
AATS7dv,3.8705882352941177
AATS7pe,6.020744705882353
AATS7se,7.555621035294116
AATS8dv,3.647887323943662
AATS8pe,6.107404225352113
AATS8se,7.600059661971831
AATSC0Z,7.234375
AATSC0c,0.0226817428993564
AATSC0d,0.5260416666666666
AATSC0i,1.4625243692370333
AATSC0m,34.458609234375
AATSC0p,0.2326720063288316
AATSC0s,0.9941647376543209
AATSC0v,50.84804830764879
AATSC1Z,0.320625
AATSC1c,-0.009691684959438479
AATSC1d,0.225625
AATSC1i,-0.10314769610450066
AATSC1m,1.51275149562499
AATSC1p,-0.008753942457588261
AATSC1s,-0.04351658950617285
AATSC1v,0.49176979148346306
AATSC2Z,-0.022025602409638554
AATSC2c,-0.0023832744761496114
AATSC2d,-0.005459337349397591
AATSC2i,0.1272130706947112
AATSC2m,0.00325702616716243
AATSC2p,0.024065335400003236
AATSC2s,0.013504829503197962
AATSC2v,3.555031938026564
AATSC3Z,-0.311875
AATSC3c,0.003232562947884696
AATSC3d,-0.135625
AATSC3i,-0.0842507580926758
AATSC3m,-1.5294494506250031
AATSC3p,-0.013010932468837017
AATSC3s,-0.016583719135802488
AATSC3v,-3.045550578649852
AATSC4Z,-1.6327394859813085
AATSC4c,-0.0013139281077845172
AATSC4d,-0.13507593457943926
AATSC4i,-0.3137734458543862
AATSC4m,-7.8326243114778045
AATSC4p,-0.05580015407224437
AATSC4s,-0.15171276465328257
AATSC4v,-12.589507337715077
AATSC5Z,-0.9145551801801802
AATSC5c,-2.5189739636249305e-07
AATSC5d,-0.0316722972972973
AATSC5i,-0.08399272968918796
AATSC5m,-4.320610791807431
AATSC5p,-0.016547152872989628
AATSC5s,-0.07255562854521189
AATSC5v,-4.999110506676571
AATSC6Z,0.2501610824742268
