DLiP-ID,C000WC
MATS7p,-0.1408991491829413
MATS7s,0.2597020251583551
MATS7v,0.05624769893205157
MATS8Z,1.4029126213592238
MATS8c,0.10371363987461166
MATS8d,0.5625000000000003
MATS8i,0.6573820134577447
MATS8m,1.4176405546648803
MATS8p,0.8235683931814801
MATS8s,0.449727897225444
MATS8v,1.3484175464891117
MAXssO,4.675787037037037
MINssO,4.675787037037037
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,4
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,14.828323116680943
SpAD_D,64.93719632595132
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,136
TMWC10,90.69657539277551
TSRW10,42.51517135601372
VE1_Dt,3.444769627092732
VE2_Dt,0.287064135591061
VE3_Dt,1.4191785873523715
VR1_Dt,43.88537255662726
VR2_Dt,3.6571143797189385
VR3_Dt,3.9639026221862386
Xc-3dv,0.236923548249718
Xc-4dv,0.0
Xc-5dv,0.024056261216234408
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.05555555555555555
Xch-7d,0.1896785312429497
Xp-0dv,6.787693700234704
Xp-1dv,3.2876937002347035
Xp-2dv,2.1569180375750503
Xp-3dv,1.4341170034314996
Xp-4dv,0.8558459192688429
Xp-5dv,0.49276934400108197
Xp-6dv,0.17133076355130017
Xp-7dv,0.06688215481343912
Xpc-4d,1.9292312334115675
Xpc-5d,2.9610710355174725
Xpc-6d,4.294571112140458
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,20
nFRing,0
nHBAcc,4
nHBDon,0
nHRing,0
nSpiro,0
naRing,0
piPC10,0.0
AATS0dv,11.4
AATS0pe,6.90372
AATS0se,8.373935200000002
AATS1dv,9.4
AATS1pe,6.826350000000001
AATS1se,8.119372800000002
AATS2dv,8.03125
AATS2pe,6.846375
AATS2se,8.31886
AATS3dv,9.870967741935484
AATS3pe,7.281700000000001
AATS3se,8.671584129032256
AATS4dv,6.875
AATS4pe,6.9962125
AATS4se,8.436357125
AATS5dv,2.0
AATS5pe,6.570624242424243
AATS5se,8.183636242424242
AATS6dv,0.047619047619047616
AATS6pe,6.771357142857143
AATS6se,8.48264704761905
AATS7dv,0.0
AATS7pe,5.2250000000000005
AATS7se,6.918048
AATS8dv,0.0
AATS8pe,4.840000000000002
AATS8se,6.718464000000001
AATSC0Z,8.239999999999998
AATSC0c,0.04310826836546762
AATSC0d,0.6399999999999999
AATSC0i,1.3194555899077591
AATSC0m,38.621299439999994
AATSC0p,0.22276428020376002
AATSC0s,3.113611111111111
AATSC0v,45.45206092678745
AATSC1Z,0.31999999999999934
AATSC1c,-0.011272205825021836
AATSC1d,0.3399999999999999
AATSC1i,-0.3316899675799998
AATSC1m,1.4371156799999967
AATSC1p,-0.049899827039999775
AATSC1s,-0.20861111111111094
AATSC1v,-4.2115500483791335
AATSC2Z,1.2724999999999997
AATSC2c,-0.012068127500295829
AATSC2d,0.06624999999999995
AATSC2i,0.3252458624825521
AATSC2m,6.486040072499997
AATSC2p,0.06765554931155252
AATSC2s,-0.1835763888888888
AATSC2v,17.767679920142527
AATSC3Z,-0.4335483870967748
AATSC3c,-0.0028672322482457095
AATSC3d,-0.20774193548387102
AATSC3i,-0.14837181664797922
AATSC3m,-2.1391899561290364
AATSC3p,-0.026547182727205056
AATSC3s,-0.16961469534050186
AATSC3v,-5.285130869724198
AATSC4Z,-0.5087500000000005
AATSC4c,0.015583528199854218
AATSC4d,-0.3337499999999999
AATSC4i,-0.4913167023201283
AATSC4m,-2.976364158749999
AATSC4p,-0.09176730162487869
AATSC4s,0.13118055555555547
AATSC4v,-18.457976420515173
AATSC5Z,-1.5975757575757576
AATSC5c,-0.0013645128013050414
AATSC5d,-0.18545454545454548
AATSC5i,-0.11883913920855985
AATSC5m,-7.509717476363633
AATSC5p,-0.02353955538456007
AATSC5s,-0.01689393939393948
AATSC5v,-7.454744920878039
AATSC6Z,-8.944761904761906
AATSC6c,-0.013520448990856243
AATSC6d,0.01714285714285719
AATSC6i,0.1011996241055544
AATSC6m,-41.638538582857144
AATSC6p,-0.006324247959017274
AATSC6s,-1.9894047619047623
AATSC6v,-24.791836919243202
AATSC7Z,3.060000000000002
AATSC7c,0.004956076884890706
AATSC7d,0.3600000000000001
AATSC7i,-0.22141176834805978
AATSC7m,14.043321260000008
AATSC7p,-0.031387297549060125
AATSC7s,0.8086111111111117
AATSC7v,2.556573838851205
AATSC8Z,11.560000000000002
AATSC8c,0.004470915420874222
AATSC8d,0.3600000000000001
AATSC8i,0.8673863723616388
AATSC8m,54.75112036000002
