DLiP-ID,T000LW
ATS8v,22123.11514098837
C1SP1,0
C1SP2,5
C1SP3,4
C2SP1,0
C2SP2,2
C2SP3,8
C3SP2,1
C3SP3,2
C4SP3,0
FCSP3,0.6363636363636364
GGI10,0.12376288133863891
JGI10,0.0053809948408103875
JGT10,0.38189429993658564
Kier1,24.638671875
Kier2,12.88888888888889
Kier3,8.13840830449827
MAXdO,12.896719428142138
MID_C,45.501835402762744
MID_N,8.254788756765521
MID_O,6.97146041844538
MID_X,0.0
MID_h,15.226249175210903
MINdO,11.21178494167629
MPC10,79
MWC01,32.0
MWC02,5.003946305945459
MWC03,5.814130531825066
MWC04,6.658011045870748
MWC05,7.48605261786314
MWC06,8.333991247194975
MWC07,9.169414205363537
MWC08,10.019001348748468
MWC09,10.85840266594705
MWC10,11.708960888685242
NaaCH,4
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,1
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,3
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,2
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,1.7319999999999995
SRW02,4.174387269895637
SRW03,0.0
SRW04,5.4510384535657
SRW05,0.0
SRW06,6.914730892718563
SRW07,0.0
SRW08,8.463159302923751
SRW09,0.0
SRW10,10.055135102145268
SaaCH,6.594733556093119
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,0.6371008900221011
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.2822838434269364
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,6.139286485509332
SssPH,0
SssSe,0
SsssB,0
SsssN,1.6319408226253465
SsssP,0
VE1_A,4.591992422298123
VE1_D,5.394934330105988
VE2_A,0.1530664140766041
VE2_D,0.17983114433686626
VE3_A,2.6229262974876115
VE3_D,2.784072714941934
VR1_A,291.05647558582564
VR1_D,187.08716420827326
VR2_A,9.701882519527521
VR2_D,6.236238806942442
VR3_A,6.77212961118774
VR3_D,6.330186915683912
WPath,2792
Xc-3d,1.7601643266871496
Xc-4d,0.0
Xc-5d,0.2757834230632086
Xc-6d,0.0
Xp-0d,21.34672421487486
Xp-1d,14.524877143252588
Xp-2d,12.755860939462217
Xp-3d,9.808307896522644
Xp-4d,8.040307609692833
Xp-5d,6.373936652155652
Xp-6d,3.835069466520891
Xp-7d,2.561274379214214
ZMIC0,101.07904518015782
ZMIC1,47.74125405870617
ZMIC2,30.941450188418784
ZMIC3,25.589253471834542
ZMIC4,25.208066851139463
ZMIC5,25.208066851139463
nAcid,1
nAtom,62
nBase,1
nRing,3
piPC1,3.6635616461296463
piPC2,4.051784947803305
piPC3,4.353498551059343
piPC4,4.701616084256344
piPC5,5.070082752739676
piPC6,4.955386819865777
piPC7,5.09144693683267
piPC8,5.219679921030964
piPC9,5.374120329963537
AATS0Z,20.580645161290324
AATS0d,2.903225806451613
AATS0i,166.02590472912854
AATS0m,80.88678887096778
AATS0p,1.3386488541156125
AATS0s,4.801523297491039
AATS0v,195.98179775837397
AATS1Z,22.65625
AATS1d,3.640625
AATS1i,148.69392869723217
AATS1m,84.67636881250004
AATS1p,1.7058430871250008
AATS1s,2.885850694444444
AATS1v,245.78344417032503
AATS2Z,17.69747899159664
AATS2d,3.168067226890756
AATS2i,156.56307307536176
AATS2m,63.81663779831933
AATS2p,1.4290868764986475
AATS2s,2.8307656395891696
AATS2v,195.74213461538204
AATS3Z,13.241379310344827
AATS3d,2.5919540229885056
AATS3i,162.2796488145141
AATS3m,45.65435654022987
AATS3p,1.1897457073742013
AATS3s,2.4417305236270757
AATS3v,155.18909999657538
AATS4Z,12.324324324324325
AATS4d,2.372972972972973
AATS4i,164.7634960739283
AATS4m,42.23309798918919
AATS4p,1.0935008692594435
AATS4s,2.604354354354354
AATS4v,141.26093548908267
AATS5Z,13.316091954022989
AATS5d,2.367816091954023
AATS5i,165.84869044727063
AATS5m,46.64280950574713
AATS5p,1.082215178660902
AATS5s,3.0549169859514675
AATS5v,144.0555936279465
AATS6Z,14.432098765432098
AATS6d,2.432098765432099
AATS6i,165.11468504291582
AATS6m,50.95697485185185
AATS6p,1.1057635007685624
AATS6s,3.5080589849108366
AATS6v,149.52025734459127
AATS7Z,13.343949044585987
AATS7d,2.43312101910828
AATS7i,166.26054273963132
AATS7m,45.887340108280256
AATS7p,1.1053174404857455
AATS7s,2.9488676574663835
AATS7v,147.54760681531246
AATS8Z,12.84
AATS8d,2.3866666666666667
AATS8i,163.99864284974046
AATS8m,43.98805054666666
AATS8p,1.1282295887027536
AATS8s,2.7142592592592587
AATS8v,147.48743427325581
AMID_C,1.5167278467587582
AMID_N,0.27515962522551735
AMID_O,0.23238201394817934
AMID_X,0.0
AMID_h,0.5075416391736968
ATS0dv,386.0
ATS0pe,382.2357999999999
ATS0se,475.09560799999986
ATS1dv,344.0
ATS1pe,412.0375
ATS1se,494.78204799999975
ATS2dv,443.0
ATS2pe,743.2772999999997
ATS2se,909.4893359999998
ATS3dv,436.0
ATS3pe,1046.7297000000003
ATS3se,1309.8646800000001
ATS4dv,472.0
ATS4pe,1104.8792999999998
ATS4se,1391.9960400000002
ATS5dv,537.0
ATS5pe,1053.0967000000003
ATS5se,1323.4769920000006
ATS6dv,531.0
ATS6pe,1000.9029999999998
ATS6se,1250.01216
ATS7dv,414.0
ATS7pe,969.2128000000001
ATS7se,1212.463716
ATS8dv,383.0
ATS8pe,906.7707000000004
ATS8se,1137.64416
ATSC0Z,466.7096774193549
ATSC0c,1.2770483090080578
ATSC0d,31.354838709677423
ATSC0i,87.20313465981667
ATSC0m,2216.745805419355
ATSC0p,13.406412499339352
ATSC0s,122.68324372759861
ATSC0v,3020.2896334382967
ATSC1Z,12.880332986472418
ATSC1c,-0.7507829726983192
ATSC1d,5.536940686784597
ATSC1i,-13.931023609700041
ATSC1m,63.286251050988696
ATSC1p,-0.20609005626359073
ATSC1s,-0.9122730951555079
ATSC1v,36.16080149997191
ATSC2Z,-51.13631633714881
ATSC2c,0.1649165916587997
ATSC2d,-8.148803329864725
ATSC2i,-12.203567328483459
ATSC2m,-257.34366985327756
ATSC2p,-2.6808601537444705
ATSC2s,30.12857700312176
ATSC2v,-636.7580431675997
ATSC3Z,-85.41103017689905
ATSC3c,-0.042857702972523504
ATSC3d,-5.124869927159208
ATSC3i,-6.854185515858616
ATSC3m,-407.20760266076996
ATSC3p,-2.1209470150751883
ATSC3s,-19.798314834084884
ATSC3v,-545.038952021624
ATSC4Z,16.10822060353797
ATSC4c,0.13949253507108045
ATSC4d,-1.5910509885535915
ATSC4i,-7.114602258589876
ATSC4m,71.99392689386052
ATSC4p,-1.3294706884701712
ATSC4s,-8.808424384321883
ATSC4v,-137.55688204597146
ATSC5Z,126.29864724245579
ATSC5c,-0.43658137158538235
ATSC5d,2.326742976066597
ATSC5i,-5.834570885866967
ATSC5m,598.7274383069717
ATSC5p,0.8013699022890046
ATSC5s,24.45213319458897
ATSC5v,576.2453660615175
ATSC6Z,95.43600416233086
ATSC6c,0.4046608437925849
ATSC6d,0.45993756503642097
ATSC6i,-11.741578734750819
ATSC6m,439.7112652268469
ATSC6p,-0.6045213283340239
ATSC6s,48.890377500289105
ATSC6v,106.8364412223093
ATSC7Z,-89.99063475546302
ATSC7c,0.02809343546332699
ATSC7d,-1.850156087408948
ATSC7i,18.46519301401521
ATSC7m,-412.79206914255997
ATSC7p,1.4550754858193105
ATSC7s,-39.47477309515551
ATSC7v,10.29696325270853
ATSC8Z,-64.94276795005202
ATSC8c,-0.2982116116391243
ATSC8d,-5.471383975026016
ATSC8i,-0.5616948176663579
ATSC8m,-306.7495865629553
ATSC8p,-1.307148555529052
ATSC8s,-17.621198982541333
ATSC8v,-337.74112153892554
AXp-0d,0.711557473829162
AXp-1d,0.4539024107266434
AXp-2d,0.3037109747491004
AXp-3d,0.19231976267691459
AXp-4d,0.12762393031258465
AXp-5d,0.08498582202874203
AXp-6d,0.05558071690609987
AXp-7d,0.035573255266864084
GATS1Z,0.8893878948368813
GATS1c,1.588651333882573
GATS1d,1.0639306841563785
GATS1i,1.5246588095900815
GATS1m,0.8971377388876038
GATS1p,1.2625609119073695
GATS1s,0.5856955892180884
GATS1v,1.1319894672332693
GATS2Z,0.9879551627120297
GATS2c,0.8795152429561982
GATS2d,1.4304950375211813
GATS2i,1.2973440620972019
GATS2m,0.997663843839797
GATS2p,1.2208310079801916
GATS2s,0.4366883755061391
GATS2v,1.1774023904386863
GATS3Z,1.0178249104643144
GATS3c,0.864829612413439
GATS3d,1.1516307175630291
GATS3i,1.064592799310803
GATS3m,1.0211782374751734
GATS3p,1.0831377823107051
GATS3s,0.8463933548930589
GATS3v,1.0798405765492185
GATS4Z,0.9604848351254212
GATS4c,0.8370503948335044
GATS4d,1.0358330552774997
GATS4i,0.9899913409138185
GATS4m,0.9621134627100527
GATS4p,1.01781948565394
GATS4s,0.9720710686181835
GATS4v,1.0039367669979105
GATS5Z,0.9032726603936073
GATS5c,1.1144157753788675
GATS5d,0.9950983870204814
GATS5i,0.977172148584022
GATS5m,0.9019537224106614
GATS5p,0.939496222771359
GATS5s,1.0398739703438542
GATS5v,0.9001354377306713
GATS6Z,0.9439606180689951
GATS6c,1.011875823032317
GATS6d,1.0507957374383985
GATS6i,1.0235055216966737
GATS6m,0.9427706195894551
GATS6p,0.9827717109565244
GATS6s,1.1225712234845668
GATS6v,0.9490297423551053
GATS7Z,1.1038927992195382
GATS7c,1.1325387721201194
GATS7d,1.0966521192105054
GATS7i,0.8945167615269424
GATS7m,1.0971621906697357
GATS7p,0.9045083087664996
GATS7s,1.403454729395138
GATS7v,0.9476161070510494
GATS8Z,1.0399541516910884
GATS8c,1.0368397385180523
GATS8d,1.0700102880658435
GATS8i,0.9903739347589137
GATS8m,1.0396891427795745
GATS8p,1.0342453031090688
GATS8s,1.0903289522536568
GATS8v,1.035446092113641
MATS1Z,0.026735727121924232
MATS1c,-0.5695328827195586
MATS1d,0.17107124485596698
MATS1i,-0.15476139905456568
MATS1m,0.0276570076531834
MATS1p,-0.014892107938286395
MATS1s,-0.007203628907091638
MATS1v,0.011598482498255892
MATS2Z,-0.05708570406321224
MATS2c,0.06728244303826404
MATS2d,-0.13540477919562888
MATS2i,-0.0729120708094876
MATS2m,-0.060484253186639386
MATS2p,-0.10418526719256811
MATS2s,0.12794935414977593
MATS2v,-0.10984254216062515
MATS3Z,-0.06520930853345788
MATS3c,-0.011958150239277524
MATS3d,-0.05823991296532802
MATS3i,-0.028006974725586387
MATS3m,-0.06545493917836999
MATS3p,-0.05637151184487606
MATS3s,-0.0575023266261103
MATS3v,-0.06430154234372011
MATS4Z,0.011566999678694444
MATS4c,0.036606954695160364
MATS4d,-0.017005894783672572
MATS4i,-0.02734251697105527
MATS4m,0.010884285586329825
MATS4p,-0.0332342704553219
MATS4s,-0.024062067538105483
MATS4v,-0.015263484582028015
MATS5Z,0.09642604050476834
MATS5c,-0.12181487272976096
MATS5d,0.026441511754410858
MATS5i,-0.02384071440100908
MATS5m,0.0962400205760687
MATS5p,0.021299180327430455
MATS5s,0.07101890041872341
MATS5v,0.06798315178895159
MATS6Z,0.07826040952020119
MATS6c,0.12127199760866468
MATS6d,0.005613981608494647
MATS6i,-0.05153129694718006
MATS6m,0.07591513554927382
MATS6p,-0.0172574142828285
MATS6s,0.15251579238714774
MATS6v,0.013537781364419696
MATS7Z,-0.07614520250268983
MATS7c,0.00868739486483545
MATS7d,-0.023302141490393422
MATS7i,0.08362069871188718
MATS7m,-0.07353726718691246
MATS7p,0.04286126485934022
MATS7s,-0.12706514291440377
MATS7v,0.0013463333627022867
MATS8Z,-0.05751543636531194
MATS8c,-0.09652007571526174
MATS8d,-0.07212620027434843
MATS8i,-0.0026623720833865573
MATS8m,-0.05719637714108705
MATS8p,-0.040300719498620484
MATS8s,-0.059367756276118774
MATS8v,-0.04622062136819056
MAXaaN,4.004058108332159
MAXsOH,9.182654513574576
MINaaN,4.004058108332159
MINsOH,9.182654513574576
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,11
NssNH2,0
NsssAs,0
NsssCH,3
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,38.52906136507797
SpAD_D,385.3141571165023
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,8.525493947475942
SssNH2,0
SsssAs,0
SsssCH,0.016537060536567116
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,674
TMWC10,137.0519108574437
TSRW10,65.05845102124891
VE1_Dt,5.381771880778693
VE2_Dt,0.17939239602595644
VE3_Dt,2.781629954489002
VR1_Dt,188.02529773375292
VR2_Dt,6.267509924458431
VR3_Dt,6.335188804858928
Xc-3dv,0.8479753626401973
Xc-4dv,0.0
Xc-5dv,0.08672531854146157
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.2721655269759087
Xch-7d,0.29536077535649696
Xp-0dv,17.38601213527087
Xp-1dv,10.932184987520758
Xp-2dv,8.3739918519186
Xp-3dv,6.15884680399339
Xp-4dv,4.4747254880437906
Xp-5dv,3.177418011609928
Xp-6dv,1.7466263318302573
Xp-7dv,1.1224718448507223
Xpc-4d,3.4214980790107283
Xpc-5d,5.2754064714211975
Xpc-6d,7.671154281110449
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,2
nBonds,64
nFRing,0
nHBAcc,5
nHBDon,3
nHRing,3
nSpiro,0
naRing,1
piPC10,5.023469252076342
AATS0dv,6.225806451612903
AATS0pe,6.1650935483870954
AATS0se,7.662832387096772
AATS1dv,5.375
AATS1pe,6.4380859375
AATS1se,7.730969499999996
AATS2dv,3.722689075630252
AATS2pe,6.246027731092434
AATS2se,7.6427675294117625
AATS3dv,2.5057471264367814
AATS3pe,6.015687931034485
AATS3se,7.527957931034484
AATS4dv,2.5513513513513515
AATS4pe,5.972320540540539
AATS4se,7.52430291891892
AATS5dv,3.086206896551724
AATS5pe,6.052279885057473
AATS5se,7.606189609195406
AATS6dv,3.2777777777777777
AATS6pe,6.178413580246913
AATS6se,7.716124444444445
AATS7dv,2.6369426751592355
AATS7pe,6.173329936305733
AATS7se,7.722698828025478
AATS8dv,2.5533333333333332
AATS8pe,6.045138000000002
AATS8se,7.5842944
AATSC0Z,7.5275754422476595
AATSC0c,0.020597553371097706
AATSC0d,0.5057232049947972
AATSC0i,1.406502171932527
AATSC0m,35.75396460353798
AATSC0p,0.21623245966676374
AATSC0s,1.978761995606429
AATSC0v,48.714348926424144
AATSC1Z,0.20125520291363153
AATSC1c,-0.011730983948411237
AATSC1d,0.08651469823100932
AATSC1i,-0.21767224390156314
AATSC1m,0.9888476726716984
AATSC1p,-0.003220157129118605
AATSC1s,-0.014254267111804811
AATSC1v,0.5650125234370611
AATSC2Z,-0.4297169440096539
AATSC2c,0.001385853711418485
AATSC2d,-0.06847733890642627
AATSC2i,-0.10255098595364251
AATSC2m,-2.162551847506534
AATSC2p,-0.022528236586087987
AATSC2s,0.2531813193539644
AATSC2v,-5.350907925778149
AATSC3Z,-0.4908679895224083
AATSC3c,-0.0002463086377731236
AATSC3d,-0.029453275443443727
AATSC3i,-0.03939187078079664
AATSC3m,-2.340273578510172
AATSC3p,-0.012189350661351657
AATSC3s,-0.11378341858669473
AATSC3v,-3.1324077702392183
AATSC4Z,0.08707146272182686
AATSC4c,0.0007540137030869214
AATSC4d,-0.008600275613803197
AATSC4i,-0.03845730950589122
AATSC4m,0.38915636158843525
AATSC4p,-0.00718632804578471
AATSC4s,-0.047613104780118286
AATSC4v,-0.7435507137620079
