DLiP-ID,C004HD
NsI,0
NtN,0
SMR,128.21450000000004
SdO,25.30027065574895
SdS,0
Spe,59.79215686274509
SsF,0
SsI,0
Sse,62.16678805535325
StN,0
fMF,0.2903225806451613
nBr,0
nCl,2
AMID,2.013192047010602
BIC0,0.2538383997884118
BIC1,0.5717683589114302
BIC2,0.7885556097472924
BIC3,0.8983493843361819
BIC4,0.9140342092774514
BIC5,0.9140342092774514
CIC0,4.388032421206244
CIC1,2.4264284177056004
CIC2,1.088867338779468
CIC3,0.4114479839407572
CIC4,0.31467379039237287
CIC5,0.31467379039237287
GGI1,6.5
GGI2,3.333333333333335
GGI3,2.5625
GGI4,2.8000000000000007
GGI5,1.7708333333333333
GGI6,1.3191836734693878
GGI7,1.015625
GGI8,0.6318972033257745
GGI9,0.29937500000000006
JGI1,0.19117647058823528
JGI2,0.07092198581560288
JGI3,0.04834905660377359
JGI4,0.04745762711864408
JGI5,0.025664251207729468
JGI6,0.018845481049562688
JGI7,0.015625
JGI8,0.012390141241681854
JGI9,0.009979166666666666
MIC0,18.14374385028558
MIC1,35.42099649141447
MIC2,42.576870962197816
MIC3,44.32451612348814
MIC4,45.53319354284298
MIC5,45.53319354284298
MPC2,47
MPC3,62
MPC4,86
MPC5,119
MPC6,137
MPC7,164
MPC8,186
MPC9,187
Mare,0.9729032258064517
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,2
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.19423036229164137
RPCG,0.12256163748200673
SIC0,0.26303531283449894
SIC1,0.592484310019677
SIC2,0.8171260600057846
SIC3,0.9308978134928132
SIC4,0.9471509211338168
SIC5,0.9471509211338168
SaaN,0
SaaO,0
SaaS,0
Sare,60.32000000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,12.47596906804248
SsLi,0
SsOH,9.502545462527426
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,97.10216112919912
TIC1,218.72160934623903
TIC2,301.65039623965924
TIC3,343.6503962396593
TIC4,349.65039623965913
TIC5,349.65039623965913
Vabc,439.78137922873844
WPol,53
apol,70.71978999999997
bpol,35.13221000000001
nRot,9
ABCGG,20.26860307201532
ATS0Z,1798.0
ATS0d,192.0
ATS0i,10032.541301638772
ATS0m,7310.786046000003
ATS0p,96.91529914546999
ATS0s,252.89948178631306
ATS0v,13664.177470823772
ATS1Z,1605.0
ATS1d,247.0
ATS1i,9283.681713796657
ATS1m,6100.845668000003
ATS1p,119.86530096600005
ATS1s,180.43004115226336
ATS1v,16983.24293349088
ATS2Z,2441.0
ATS2d,406.0
ATS2i,17532.909198370944
ATS2m,9122.924579000004
ATS2p,185.50305956333912
ATS2s,313.4598765432097
ATS2v,25293.403142764822
ATS3Z,2882.0
ATS3d,514.0
ATS3i,26164.58629349487
ATS3m,10430.167821000003
ATS3p,232.34590883631898
ATS3s,388.44958847736626
ATS3v,30802.75671121126
ATS4Z,3137.0
ATS4d,564.0
ATS4i,29497.223654864534
ATS4m,11290.712785999996
ATS4p,255.992638172866
ATS4s,467.73765432098776
ATS4v,34256.88588149274
ATS5Z,3638.0
ATS5d,629.0
ATS5i,33962.40801750199
ATS5m,13144.473840000002
ATS5p,297.10768289796005
ATS5s,635.2427983539094
ATS5v,39753.47286215914
ATS6Z,3969.0
ATS6d,653.0
ATS6i,38917.71137794537
ATS6m,14130.201866999994
ATS6p,337.60841208735604
ATS6s,624.8189300411523
ATS6v,43966.42732617512
ATS7Z,4078.0
ATS7d,610.0
ATS7i,43539.57504320507
ATS7m,14543.790657999996
ATS7p,340.469726764581
ATS7s,691.0946502057615
ATS7v,43149.01094267921
ATS8Z,3840.0
ATS8d,492.0
ATS8i,41157.40118429094
ATS8m,13639.077734999997
ATS8p,291.203304234826
ATS8s,676.9259259259261
ATS8v,35979.045067569044
C1SP1,0
C1SP2,2
C1SP3,4
C2SP1,0
C2SP2,10
C2SP3,5
C3SP2,2
C3SP3,2
C4SP3,0
FCSP3,0.44
GGI10,0.1361085603509846
JGI10,0.010469889257768046
JGT10,0.4508790695496645
Kier1,26.602076124567475
Kier2,12.630149388863739
Kier3,6.789802289281998
MAXdO,13.701661592620585
MID_C,51.45966060874657
MID_N,4.221420816808414
MID_O,5.209577438501727
MID_X,3.5314866402825524
MID_h,12.962484895592691
MINdO,11.598609063128364
MPC10,169
MWC01,34.0
MWC02,5.093750200806762
MWC03,5.942799375126701
MWC04,6.836259277277067
MWC05,7.7226775164680035
MWC06,8.63141433550626
MWC07,9.535823881654714
MWC08,10.452446760283022
MWC09,11.36608301485746
MWC10,12.28677206060112
NaaCH,8
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,5.529600000000005
SRW02,4.23410650459726
SRW03,0.0
SRW04,5.54907608489522
SRW05,0.0
SRW06,7.067319848653476
SRW07,0.0
SRW08,8.69165057315339
SRW09,0.0
SRW10,10.380311619626104
SaaCH,15.251991058356648
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,3.2366294782758547
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.0618520387485333
SdssS,0
SsCH3,4.090114264943811
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.3651615908709167
SssPH,0
SssSe,0
SsssB,0
SsssN,1.9251747921390778
SsssP,0
VE1_A,4.5286329935502225
VE1_D,5.549954663725016
VE2_A,0.14151978104844445
VE2_D,0.17343608324140675
VE3_A,2.673570936331464
VE3_D,2.876940568832465
VR1_A,357.55419217426146
VR1_D,213.43514384521748
VR2_A,11.17356850544567
VR2_D,6.669848245163046
VR3_A,7.042437746953101
VR3_D,6.526483820424494
WPath,2606
Xc-3d,2.2030203017602075
Xc-4d,0.0
Xc-5d,0.4219255258296728
Xc-6d,0.0
Xp-0d,23.250347897697548
Xp-1d,15.349774308148643
Xp-2d,13.665368603003161
Xp-3d,10.823070518284707
Xp-4d,9.177829242337344
Xp-5d,8.097519025372296
Xp-6d,5.750138477316661
Xp-7d,4.3306356435967235
ZMIC0,107.20223025305094
ZMIC1,56.560286028200224
ZMIC2,33.85437002101155
ZMIC3,27.954514900447165
ZMIC4,25.530975226339088
ZMIC5,25.530975226339088
nAcid,1
nAtom,62
nBase,1
nRing,3
piPC1,3.7612001156935624
piPC2,4.2626798770413155
piPC3,4.705015520957808
piPC4,5.198497031265826
piPC5,5.718260493836854
piPC6,5.84878428808612
piPC7,6.174306801648666
piPC8,6.543372131600085
piPC9,6.811588482386389
AATS0Z,29.0
AATS0d,3.096774193548387
AATS0i,161.81518228449633
AATS0m,117.91590396774198
AATS0p,1.5631499862172578
AATS0s,4.0790238997792425
AATS0v,220.38995920683502
AATS1Z,25.078125
AATS1d,3.859375
AATS1i,145.05752677807277
AATS1m,95.32571356250004
AATS1p,1.8728953275937508
AATS1s,2.819219393004115
AATS1v,265.363170835795
AATS2Z,21.22608695652174
AATS2d,3.5304347826086957
AATS2i,152.46007998583428
AATS2m,79.32977894782613
AATS2p,1.6130700831594706
AATS2s,2.725738056897476
AATS2v,219.94263602404195
AATS3Z,17.466666666666665
AATS3d,3.1151515151515152
AATS3i,158.57325026360527
AATS3m,63.21313830909092
AATS3p,1.4081570232504181
AATS3s,2.354239930165856
AATS3v,186.68337400734097
AATS4Z,16.865591397849464
AATS4d,3.032258064516129
AATS4i,158.5872239508846
AATS4m,60.702756913978476
AATS4p,1.3763045063057313
AATS4s,2.514718571618214
AATS4v,184.1768058144771
AATS5Z,16.92093023255814
AATS5d,2.925581395348837
AATS5i,157.96468845349764
AATS5m,61.137087627906986
AATS5p,1.3818961995253956
AATS5s,2.954617666762369
AATS5v,184.89987377748437
AATS6Z,16.004032258064516
AATS6d,2.6330645161290325
AATS6i,156.92625555623133
AATS6m,56.97662043145159
AATS6p,1.361324242287726
AATS6s,2.519431169520775
AATS6v,177.28398115393193
AATS7Z,14.992647058823529
AATS7d,2.2426470588235294
AATS7i,160.0719670706069
AATS7m,53.46981859558822
AATS7p,1.251726936634489
AATS7s,2.5407891551682407
AATS7v,158.63606964220298
AATS8Z,15.298804780876495
AATS8d,1.9601593625498008
AATS8i,163.97370989757346
AATS8m,54.3389551195219
AATS8p,1.1601725268319762
AATS8s,2.6969160395455223
AATS8v,143.3428090341396
AMID_C,1.6081143940233302
AMID_N,0.13191940052526294
AMID_O,0.16279929495317896
AMID_X,0.11035895750882976
AMID_h,0.4050776529872716
ATS0dv,365.2098765432099
ATS0pe,381.71769999999987
ATS0se,474.67648999999983
ATS1dv,359.2222222222222
ATS1pe,408.588
ATS1se,491.05606799999975
ATS2dv,487.33333333333337
ATS2pe,716.1586999999998
ATS2se,875.0201319999996
ATS3dv,531.1111111111111
ATS3pe,1008.3030999999999
ATS3se,1251.9796919999994
ATS4dv,611.7777777777778
ATS4pe,1138.9009999999996
ATS4se,1413.2072659999994
ATS5dv,744.2222222222223
ATS5pe,1317.576
ATS5se,1633.6669219999997
ATS6dv,670.5555555555555
ATS6pe,1493.7468
ATS6se,1862.0108979999998
ATS7dv,596.7777777777778
ATS7pe,1612.6324999999997
ATS7se,2030.4584780000002
ATS8dv,449.3333333333333
ATS8pe,1503.9374999999995
ATS8se,1905.6832680000005
ATSC0Z,773.7419354838707
ATSC0c,0.9457047141605812
ATSC0d,37.09677419354841
ATSC0i,85.3640535974796
ATSC0m,3634.4056350967744
ATSC0p,16.249352409274834
ATSC0s,91.52949983037601
ATSC0v,3290.62081098188
ATSC1Z,4.105098855358996
ATSC1c,-0.5690885922280573
ATSC1d,13.319458896982322
ATSC1i,-4.607043002018174
ATSC1m,22.926530480749705
ATSC1p,0.33663223361920447
ATSC1s,-3.9273986970273835
ATSC1v,82.50042798057356
ATSC2Z,52.768990634755454
ATSC2c,0.22693280945230615
ATSC2d,5.73985431841832
ATSC2i,-6.9536938159064725
ATSC2m,241.4705452559839
ATSC2p,0.12043433008599791
ATSC2s,24.10934219184691
ATSC2v,-97.50564201080186
ATSC3Z,-66.21644120707596
ATSC3c,0.015057388107203565
ATSC3d,7.887617065556721
ATSC3i,15.421144801254806
ATSC3m,-295.92961801560864
ATSC3p,1.628860352867254
ATSC3s,-17.678658308064193
ATSC3v,259.98916392357785
ATSC4Z,-82.09677419354837
ATSC4c,-0.4948845195649188
ATSC4d,-5.0322580645161255
ATSC4i,4.807067425258531
ATSC4m,-372.93530112903215
ATSC4p,0.6048806000213238
ATSC4s,-19.748274259923004
ATSC4v,97.74242494406764
ATSC5Z,-0.26638917793964456
ATSC5c,0.5250888184343525
ATSC5d,-14.577523413111338
ATSC5i,23.667522668348298
ATSC5m,-3.4750382872009205
ATSC5p,2.4576512333880607
ATSC5s,48.750852045503954
ATSC5v,198.41344298989475
ATSC6Z,-144.29032258064515
ATSC6c,-0.16364998240445627
ATSC6d,-20.354838709677416
ATSC6i,-25.606359210350213
ATSC6m,-698.7806001290321
ATSC6p,-6.191154397384965
ATSC6s,-15.143905089212405
ATSC6v,-1220.0596082450777
ATSC7Z,178.29344432882408
ATSC7c,-0.13439085067519274
ATSC7d,-17.618106139438083
ATSC7i,-36.920651270620134
ATSC7m,836.0051465754418
ATSC7p,-0.8996105065905519
ATSC7s,-7.439830575812899
ATSC7v,-256.99479887322127
ATSC8Z,129.8834547346514
ATSC8c,0.23394095755381264
ATSC8d,-9.472424557752346
ATSC8i,-17.98193073074627
ATSC8m,607.9141618501558
ATSC8p,-0.027859174299723677
ATSC8s,-7.611188905018632
ATSC8v,-27.987252149451123
AXp-0d,0.7265733718030484
AXp-1d,0.45146395023966596
AXp-2d,0.2907525234681524
AXp-3d,0.1745656535207211
AXp-4d,0.10671894467834121
AXp-5d,0.06804637836447308
AXp-6d,0.041971813703041316
AXp-7d,0.02640631489998002
GATS1Z,0.6430196260318521
GATS1c,1.5797969631583504
GATS1d,0.9120991847826081
GATS1i,1.2842745731257732
GATS1m,0.6490647256995538
GATS1p,0.9616916298999563
GATS1s,0.6506030884494071
GATS1v,0.9734914455961928
GATS2Z,0.6838309666145834
GATS2c,0.8133305994946194
GATS2d,1.236835538752362
GATS2i,1.2063016734995817
GATS2m,0.6907234112556688
GATS2p,0.9485763671623263
GATS2s,0.43694862565678677
GATS2v,0.9974872912060204
GATS3Z,0.8882375830345483
GATS3c,0.982635395414374
GATS3d,1.1610092226613957
GATS3i,1.0044669527272143
GATS3m,0.8895037486208365
GATS3p,0.9142990413404279
GATS3s,0.8582056359594133
GATS3v,0.9421219174954718
GATS4Z,0.7947344284165765
GATS4c,1.2224990354788239
GATS4d,1.2995652173913035
GATS4i,1.0557859465309547
GATS4m,0.7979662402629067
GATS4p,0.9102689853836637
GATS4s,1.0427259950452494
GATS4v,0.9483095669617444
GATS5Z,0.703121879235756
GATS5c,0.8303141258792378
GATS5d,1.3116541961577342
GATS5i,0.9869304902513644
GATS5m,0.7087860559111209
GATS5p,0.8730957994453884
GATS5s,0.904810434955094
GATS5v,0.9421463455299061
GATS6Z,0.8233448678395733
GATS6c,0.8623191350073554
GATS6d,1.1271739130434775
GATS6i,1.109423489554625
GATS6m,0.829677386150656
GATS6p,1.0499072454422043
GATS6s,0.913002878489154
GATS6v,1.0797326108594114
GATS7Z,0.7795363012002102
GATS7c,0.8647835719721173
GATS7d,0.9581953324808178
GATS7i,1.0707499195392463
GATS7m,0.7835595512897987
GATS7p,0.9685440457596787
GATS7s,0.9487778050998257
GATS7v,1.0064503757384538
GATS8Z,1.075301645083138
GATS8c,0.9559540825068555
GATS8d,0.8385518794387661
GATS8i,0.9500656520526158
GATS8m,1.0722873745605028
GATS8p,1.0007902281872092
GATS8s,1.225410840661749
GATS8v,0.9854825694831333
MATS1Z,0.00513971691820228
MATS1c,-0.5829563556847394
MATS1d,0.3478260869565218
MATS1i,-0.052282813668268445
MATS1m,0.006111061514088501
MATS1p,0.020069259876009906
MATS1s,-0.04156766392033334
MATS1v,0.024287906202821598
MATS2Z,0.03676854976997451
MATS2c,0.12937059781398766
MATS2d,0.0834177693761815
MATS2i,-0.043917173708647346
MATS2m,0.03581992026258394
MATS2p,0.003995840025289593
MATS2s,0.14200973633966507
MATS2v,-0.015975179818836463
MATS3Z,-0.03215714217131711
MATS3c,0.005982763507133205
MATS3d,0.07989459815546776
MATS3i,0.06788117177810704
MATS3m,-0.030595868217513818
MATS3p,0.03766652368814884
MATS3s,-0.07257648955577645
MATS3v,0.029688287885717302
MATS4Z,-0.03536785347007977
MATS4c,-0.1744323614459947
MATS4d,-0.04521739130434776
MATS4i,0.018770849565967897
MATS4m,-0.034204153175021325
MATS4p,0.012408301672298625
MATS4s,-0.0719195242937007
MATS4v,0.009901112946820364
MATS5Z,-9.928272112220443e-05
MATS5c,0.16011441978421947
MATS5d,-0.11331850353892808
MATS5i,0.07995230733452965
MATS5m,-0.00027572708300332467
MATS5p,0.043615155376209205
MATS5s,0.15359403544302416
MATS5v,0.017387873937949598
MATS6Z,-0.04662094555157176
MATS6c,-0.04326138485777613
MATS6d,-0.13717391304347815
MATS6i,-0.07499163327895857
MATS6m,-0.04806704797760043
MATS6p,-0.09525232516114253
MATS6s,-0.04136345417946493
MATS6v,-0.09269220599448431
MATS7Z,0.05252451184759737
MATS7c,-0.032391938150564244
MATS7d,-0.10825447570332472
MATS7i,-0.09858642287968795
MATS7m,0.05243223123078795
MATS7p,-0.012619473814877
MATS7s,-0.01852783788107017
MATS7v,-0.017802019791063318
MATS8Z,0.041464426626023225
MATS8c,0.0611038644067095
MATS8d,-0.06307292568855014
MATS8i,-0.05203304701196081
MATS8m,0.04131681462113598
MATS8p,-0.00042349681740441335
MATS8s,-0.02054042285174801
MATS8v,-0.0021008758489682844
MAXsCl,6.320595004492461
MAXsOH,9.502545462527426
MINsCl,6.155374063550019
MINsOH,9.502545462527426
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,5
NssNH2,0
NsssAs,0
NsssCH,4
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,40.38909547831181
SpAD_D,339.5186311105582
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,2.458808715490414
SssNH2,0
SsssAs,0
SsssCH,-0.9892574920914889
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1223
TMWC10,143.86802642258112
TSRW10,67.92246463092545
VE1_Dt,5.57920202609174
VE2_Dt,0.17435006331536687
VE3_Dt,2.8821965698958074
VR1_Dt,207.43620200530725
VR2_Dt,6.482381312665852
VR3_Dt,6.497974641985465
Xc-3dv,1.2280282537140967
Xc-4dv,0.0
Xc-5dv,0.19318612047914085
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.21202758782931808
Xch-7d,0.41889506778107355
Xp-0dv,19.94244774619126
Xp-1dv,11.86396141816767
Xp-2dv,9.1765041768104
Xp-3dv,6.714039768876445
Xp-4dv,5.0500222770412275
Xp-5dv,3.9859318063062736
Xp-6dv,2.6753090871665597
Xp-7dv,1.7637169877501713
Xpc-4d,4.614744241418116
Xpc-5d,7.845562608177003
Xpc-6d,13.829642181606093
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,64
nFRing,0
nHBAcc,3
nHBDon,2
nHRing,1
nSpiro,0
naRing,2
piPC10,6.9641946843974685
AATS0dv,5.890481879729191
AATS0pe,6.156737096774191
AATS0se,7.656072419354836
AATS1dv,5.612847222222221
AATS1pe,6.3841875
AATS1se,7.672751062499996
AATS2dv,4.2376811594202906
AATS2pe,6.227466956521738
AATS2se,7.608870713043475
AATS3dv,3.218855218855219
AATS3pe,6.110927878787878
AATS3se,7.587755709090906
AATS4dv,3.2891278375149344
AATS4pe,6.123123655913976
AATS4se,7.597888526881717
AATS5dv,3.4614987080103363
AATS5pe,6.128260465116279
AATS5se,7.598450799999998
AATS6dv,2.703853046594982
AATS6pe,6.023172580645161
AATS6se,7.508108459677419
AATS7dv,2.1940359477124183
AATS7pe,5.928795955882352
AATS7se,7.464920875000001
AATS8dv,1.7901726427622842
AATS8pe,5.9917828685258945
AATS8se,7.592363617529882
AATSC0Z,12.479708636836625
AATSC0c,0.015253301841299697
AATSC0d,0.5983350676378776
AATSC0i,1.3768395741528967
AATSC0m,58.61944572736733
AATSC0p,0.26208632918185215
AATSC0s,1.4762822553286454
AATSC0v,53.07452920938516
AATSC1Z,0.06414216961498431
AATSC1c,-0.008892009253563395
AATSC1d,0.20811654526534878
AATSC1i,-0.07198504690653397
AATSC1m,0.35822703876171413
AATSC1p,0.00525987865030007
AATSC1s,-0.06136560464105287
AATSC1v,1.289069187196462
AATSC2Z,0.4588607881283083
AATSC2c,0.0019733287778461403
AATSC2d,0.04991177668189844
AATSC2i,-0.0604669027470128
AATSC2m,2.0997438717911643
AATSC2p,0.0010472550442260687
AATSC2s,0.20964645384214703
AATSC2v,-0.8478751479200162
AATSC3Z,-0.40131176489136944
AATSC3c,9.125689761941555e-05
AATSC3d,0.04780373979125285
AATSC3i,0.09346148364396853
AATSC3m,-1.7935128364582342
AATSC3p,0.009871880926468207
AATSC3s,-0.10714338368523753
AATSC3v,1.5756919025671385
AATSC4Z,-0.4413805064169267
AATSC4c,-0.0026606694600264454
