DLiP-ID,P000IS
nRing,2
piPC1,3.1354942159291497
piPC2,3.56953269648137
piPC3,4.038655656361512
piPC4,4.475915350130829
piPC5,4.885166548895084
piPC6,4.825309228282002
piPC7,4.978241226285252
piPC8,4.946541118666951
piPC9,4.902957280298067
AATS0Z,21.352941176470587
AATS0d,2.911764705882353
AATS0i,163.51531275881567
AATS0m,84.02372685294118
AATS0p,1.3809920994833238
AATS0s,3.9959150326797386
AATS0v,203.7244082994663
AATS1Z,23.514285714285716
AATS1d,3.5714285714285716
AATS1i,146.75351729536285
AATS1m,88.34382554285712
AATS1p,1.7028223217142855
AATS1s,2.982539682539683
AATS1v,249.63160653470757
AATS2Z,18.548387096774192
AATS2d,3.1129032258064515
AATS2i,156.42448701417732
AATS2m,67.38478024193549
AATS2p,1.3846901710313388
AATS2s,2.903225806451613
AATS2v,197.4361795940853
AATS3Z,15.367088607594937
AATS3d,2.7468354430379747
AATS3i,160.71811038777446
AATS3m,54.62884864556962
AATS3p,1.1863900357883796
AATS3s,2.789732770745429
AATS3v,165.07668438385306
AATS4Z,15.402777777777779
AATS4d,2.638888888888889
AATS4i,162.25568230324768
AATS4m,54.176343333333335
AATS4p,1.1822233454706392
AATS4s,3.287808641975309
AATS4v,162.52905744168353
AATS5Z,15.0
AATS5d,2.6769230769230767
AATS5i,156.9182156742775
AATS5m,52.85529259999999
AATS5p,1.3242554382667537
AATS5s,2.638461538461539
AATS5v,177.38351429380106
AATS6Z,12.902777777777779
AATS6d,2.361111111111111
AATS6i,158.09150217597625
AATS6m,43.44295055555555
AATS6p,1.2259245869908197
AATS6s,2.5069444444444446
AATS6v,157.97251252512797
AATS7Z,10.26027397260274
AATS7d,1.9452054794520548
AATS7i,165.76560059346548
AATS7m,33.15380721917807
AATS7p,0.9877303842716303
AATS7s,2.458904109589041
AATS7v,122.35615190789719
AATS8Z,8.10909090909091
AATS8d,1.5272727272727273
AATS8i,173.0249784012778
AATS8m,24.623225327272724
AATS8p,0.8074604109577816
AATS8s,2.6227272727272726
AATS8v,94.26654492701165
AMID_C,1.5671751143447263
AMID_N,0.10925414473628606
AMID_O,0.3420436184163263
AMID_X,0.0
AMID_h,0.4512977631526124
ATS0dv,234.0
ATS0pe,211.5549
ATS0se,262.49738
ATS1dv,213.0
ATS1pe,227.3395
ATS1se,272.817504
ATS2dv,284.0
ATS2pe,397.07259999999997
ATS2se,486.29081199999996
ATS3dv,284.0
ATS3pe,492.36199999999997
ATS3se,613.2703239999998
ATS4dv,267.0
ATS4pe,457.5308
ATS4se,568.082224
ATS5dv,173.0
ATS5pe,394.7025
ATS5se,490.460492
ATS6dv,140.0
ATS6pe,433.25299999999993
ATS6se,541.3688
ATS7dv,116.0
ATS7pe,431.1260000000001
ATS7se,547.196132
ATS8dv,82.0
ATS8pe,323.6882
ATS8se,416.00349200000005
ATSC0Z,259.05882352941177
ATSC0c,0.7690849512123741
ATSC0d,16.38235294117647
ATSC0i,46.521730959916454
ATSC0m,1228.627592735294
ATSC0p,7.659297167922381
ATSC0s,44.17401960784314
ATSC0v,1687.8024387329654
ATSC1Z,14.027681660899642
ATSC1c,-0.327676512811211
ATSC1d,5.841695501730104
ATSC1i,-6.769502319537726
ATSC1m,64.88342659602061
ATSC1p,-0.7852935679261548
ATSC1s,-1.2967848904267594
ATSC1v,-35.79007153211758
ATSC2Z,-18.224913494809705
ATSC2c,-0.06208371892313741
ATSC2d,0.7145328719723179
ATSC2i,3.361167120700511
ATSC2m,-84.94932187024234
ATSC2p,-0.3094111062411066
ATSC2s,0.15162437524029104
ATSC2v,-58.43347592293104
ATSC3Z,8.716262975778537
ATSC3c,-0.23931363684174234
ATSC3d,-2.564878892733564
ATSC3i,-5.549311597438248
ATSC3m,48.8008742032871
ATSC3p,0.12911158158484748
ATSC3s,-1.4713331410995774
ATSC3v,142.14690636775958
ATSC4Z,-36.77162629757785
ATSC4c,0.45642296728879095
ATSC4d,-4.486159169550174
ATSC4i,7.303780990125997
ATSC4m,-174.5131190276817
ATSC4p,1.1664873288326607
ATSC4s,2.827566320645899
ATSC4v,-65.36918055944126
ATSC5Z,-40.847750865051914
ATSC5c,-0.157346132307745
ATSC5d,-7.8780276816609
ATSC5i,-4.846681937136234
ATSC5m,-192.89379817041527
ATSC5p,-0.8034391372930818
ATSC5s,-7.374351211072665
ATSC5v,-217.40281062466016
ATSC6Z,-124.12456747404845
ATSC6c,-0.08220020055143076
ATSC6d,-8.897923875432527
ATSC6i,-22.06166228027047
ATSC6m,-595.202549351211
ATSC6p,-3.9399101487858967
ATSC6s,-12.614427143406381
ATSC6v,-935.7498679626863
ATSC7Z,-53.21453287197231
ATSC7c,-0.1078361554970656
ATSC7d,-3.29152249134948
ATSC7i,-18.153711967235246
ATSC7m,-258.16841122577847
ATSC7p,-3.1225421510140574
ATSC7s,-11.738826412918105
ATSC7v,-558.1135370857717
ATSC8Z,-3.0657439446366705
ATSC8c,0.16058060972873253
ATSC8d,4.087370242214533
ATSC8i,9.746328261537723
ATSC8m,-17.624197218858
ATSC8p,0.5359671084694074
ATSC8s,1.9055891964628997
ATSC8v,6.841877673384815
AXp-0d,0.7110338629300311
AXp-1d,0.46160343057166003
AXp-2d,0.2971157215690827
AXp-3d,0.1966741814491024
AXp-4d,0.1266247212503559
AXp-5d,0.0853120278261878
AXp-6d,0.055974871711245905
AXp-7d,0.03801270662210264
GATS1Z,0.8334565978980147
GATS1c,1.4131273942673939
GATS1d,0.8345216722236471
GATS1i,1.3941334232074751
GATS1m,0.8416606351092085
GATS1p,1.2745358847250263
GATS1s,0.6091977711020046
GATS1v,1.0961349758245096
GATS2Z,1.0098279423398084
GATS2c,1.2664966728086722
GATS2d,1.1371402096484624
GATS2i,1.054316846790491
GATS2m,1.0083992418516254
GATS2p,1.0596195915057038
GATS2s,0.7296411574457727
GATS2v,1.0073139680566319
GATS3Z,0.9900493222501983
GATS3c,1.4212421560815107
GATS3d,1.2494148126264117
GATS3i,1.0080963720708729
GATS3m,0.983975303164495
GATS3p,0.9760447684346536
GATS3s,0.968085786305403
GATS3v,0.9278189469252993
GATS4Z,1.0969194671510747
GATS4c,1.0666455012679015
GATS4d,1.2729652902453619
GATS4i,0.8963918092553828
GATS4m,1.0908524169295797
GATS4p,0.8842775174823558
GATS4s,1.3992691437484202
GATS4v,0.9539030267677033
GATS5Z,0.9906570949486481
GATS5c,0.9163409133365278
GATS5d,1.4255489573263362
GATS5i,1.1129331188192673
GATS5m,0.9957271297313699
GATS5p,1.1035784613387816
GATS5s,0.9992530911356855
GATS5v,1.0905277713529813
GATS6Z,1.1367270284589766
GATS6c,0.8338812347822101
GATS6d,1.1330789946140036
GATS6i,1.247103944360653
GATS6m,1.1440713288202016
GATS6p,1.2678435949068605
GATS6s,0.9993750269717089
GATS6v,1.270940973496505
GATS7Z,1.0565908327423388
GATS7c,0.8120572405119493
GATS7d,0.8416172745382553
GATS7i,1.106168613705821
GATS7m,1.0598631927442712
GATS7p,1.1055871303580873
GATS7s,1.287999580444774
GATS7v,1.1041605602799303
GATS8Z,1.0341280653950955
GATS8c,0.6961448986794198
GATS8d,0.4211849192100538
GATS8i,0.6984264010534555
GATS8m,1.0312327881056904
GATS8p,0.776241873475231
GATS8s,1.3039338622870775
GATS8v,0.8869658412370209
MATS1Z,0.052601531075645476
MATS1c,-0.41388708260264967
MATS1d,0.3463965119261349
MATS1i,-0.1413551867452428
MATS1m,0.05130082929949508
MATS1p,-0.09959877415873637
MATS1s,-0.028517529188893564
MATS1v,-0.020599269951210256
MATS2Z,-0.03857929741290912
MATS2c,-0.044268075098251404
MATS2d,0.023918457172641436
MATS2i,0.03962063837826594
MATS2m,-0.03791638106519019
MATS2p,-0.022153084616153847
MATS2s,0.001882302124107831
MATS2v,-0.01898573167121175
MATS3Z,0.01448050678899503
MATS3c,-0.13391985147525937
MATS3d,-0.06738176942481196
MATS3i,-0.051337542071988936
MATS3m,0.01709460865859298
MATS3p,0.007254844482171085
MATS3s,-0.01433494145197967
MATS3v,0.0362466294467044
MATS4Z,-0.06702871127258049
MATS4c,0.2802461126649408
MATS4d,-0.12931378416118094
MATS4i,0.07413756149257253
MATS4m,-0.06707400465483271
MATS4p,0.07191798758277468
MATS4s,0.030226808953990818
MATS4v,-0.018289332329557633
MATS5Z,-0.08247746803605116
MATS5c,-0.10701565622347269
MATS5d,-0.2515398425631819
MATS5i,-0.05449469360875808
MATS5m,-0.0821227644765587
MATS5p,-0.05486932581424312
MATS5s,-0.08732175553459467
MATS5v,-0.0673766020478029
MATS6Z,-0.2262589565041881
MATS6c,-0.050471357306262205
MATS6d,-0.2564831438260523
MATS6i,-0.2239385115932541
MATS6m,-0.22876571565613243
MATS6p,-0.242909118816738
MATS6s,-0.13484878375573595
MATS6v,-0.2618090079459844
MATS7Z,-0.09567267614746244
MATS7c,-0.06530495577307377
MATS7d,-0.09357861341334445
MATS7i,-0.18174632251476877
MATS7m,-0.09786759012883986
MATS7p,-0.18987834896433395
MATS7s,-0.12376955169155997
MATS7v,-0.15401286624551128
MATS8Z,-0.007315663446453619
MATS8c,0.12907288477088028
MATS8d,0.15423535172188674
MATS8i,0.12950943142045654
MATS8m,-0.008867583916533353
MATS8p,0.0432579013890309
MATS8s,0.026667271953850224
MATS8v,0.0025059356965295774
MAXssO,5.868564814814815
MINssO,5.2769894022423784
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,5
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,22.19751442383122
SpAD_D,128.81681149075646
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,3.2120756172839506
SssNH2,0
SsssAs,0
SsssCH,0.14773715041572144
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,320
TMWC10,104.75798193424225
TSRW10,49.17033500696461
VE1_Dt,4.078374343478938
VE2_Dt,0.2399043731458199
VE3_Dt,1.9363267148520995
VR1_Dt,78.49758773028327
VR2_Dt,4.617505160604899
VR3_Dt,4.893696145827839
Xc-3dv,0.299976515253323
Xc-4dv,0.0
Xc-5dv,0.031741736710714036
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.1853954059492991
Xch-7d,0.179206871180051
Xp-0dv,9.93992334208591
Xp-1dv,5.865147670166357
Xp-2dv,4.004865865742283
Xp-3dv,2.820710318004623
Xp-4dv,1.865031667921523
Xp-5dv,1.2567222167028846
Xp-6dv,0.5160231090880772
Xp-7dv,0.29704500933001027
Xpc-4d,1.8941132484158034
Xpc-5d,2.964052547781632
Xpc-6d,4.246952982871684
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,35
nFRing,0
nHBAcc,3
nHBDon,1
nHRing,1
nSpiro,0
naRing,1
piPC10,4.979961286911441
AATS0dv,6.882352941176471
AATS0pe,6.22220294117647
AATS0se,7.7205111764705885
AATS1dv,6.085714285714285
AATS1pe,6.495414285714285
AATS1se,7.794785828571428
AATS2dv,4.580645161290323
AATS2pe,6.404396774193548
AATS2se,7.843400193548386
AATS3dv,3.5949367088607596
AATS3pe,6.232430379746835
AATS3se,7.762915493670884
AATS4dv,3.7083333333333335
AATS4pe,6.354594444444444
AATS4se,7.890030888888889
AATS5dv,2.6615384615384614
AATS5pe,6.072346153846154
AATS5se,7.545546030769231
AATS6dv,1.9444444444444444
AATS6pe,6.017402777777777
AATS6se,7.51901111111111
AATS7dv,1.5890410958904109
AATS7pe,5.905835616438357
AATS7se,7.495837424657535
AATS8dv,1.490909090909091
AATS8pe,5.88524
AATS8se,7.5636998545454555
AATSC0Z,7.619377162629758
AATSC0c,0.022620145623893355
AATSC0d,0.4818339100346021
AATSC0i,1.3682862047034252
AATSC0m,36.13610566868512
AATSC0p,0.22527344611536415
AATSC0s,1.299235870818916
AATSC0v,49.64124819802839
AATSC1Z,0.4007909045971326
AATSC1c,-0.009362186080320314
AATSC1d,0.16690558576371725
AATSC1i,-0.1934143519867922
AATSC1m,1.8538121884577319
AATSC1p,-0.02243695908360442
AATSC1s,-0.03705099686933598
AATSC1v,-1.0225734723462165
AATSC2Z,-0.29395021765822105
AATSC2c,-0.0010013503052118938
AATSC2d,0.011524723741488998
AATSC2i,0.05421237291452437
AATSC2m,-1.3701503527458443
AATSC2p,-0.004990501713566236
AATSC2s,0.002445554439359533
AATSC2v,-0.9424754181117909
AATSC3Z,0.1103324427313739
AATSC3c,-0.003029286542300536
AATSC3d,-0.032466821427007145
AATSC3i,-0.07024445060048415
AATSC3m,0.6177325848517354
AATSC3p,0.001634323817529715
AATSC3s,-0.01862447014050098
AATSC3v,1.7993279287058175
AATSC4Z,-0.5107170319108035
AATSC4c,0.006339207879010985
AATSC4d,-0.062307766243752415
AATSC4i,0.10144140264063885
AATSC4m,-2.4237933198289126
AATSC4p,0.01620121290045362
AATSC4s,0.03927175445341527
AATSC4v,-0.9079052855477953
AATSC5Z,-0.628426936385414
AATSC5c,-0.0024207097278114613
AATSC5d,-0.12120042587170615
AATSC5i,-0.0745643374944036
AATSC5m,-2.9675968949294655
AATSC5p,-0.012360602112201259
AATSC5s,-0.11345155709342561
AATSC5v,-3.344658624994772
AATSC6Z,-1.7239523260284506
AATSC6c,-0.001141669452103205
