DLiP-ID,T003LA
ATS5m,9413.142760931201
ATS5p,229.835800931601
ATS5s,679.3055555555554
ATS5v,30491.56626886977
ATS6Z,2501.0
ATS6d,462.0
ATS6i,34810.00059661689
ATS6m,8480.947576372797
ATS6p,225.20850584093995
ATS6s,608.2638888888888
ATS6v,29128.4599794311
ATS7Z,2445.0
ATS7d,438.0
ATS7i,31807.333884175096
ATS7m,8494.231843192
ATS7p,219.867525930695
ATS7s,550.2222222222224
ATS7v,28189.828931079574
ATS8Z,2203.0
ATS8d,405.0
ATS8i,33730.843766041035
ATS8m,7374.826345249599
ATS8p,199.47249474733604
ATS8s,634.5972222222223
ATS8v,25211.64921948962
C1SP1,0
C1SP2,4
C1SP3,7
C2SP1,0
C2SP2,4
C2SP3,5
C3SP2,2
C3SP3,1
C4SP3,1
FCSP3,0.5833333333333334
GGI10,0.20640750943781247
JGI10,0.0062547730132670445
JGT10,0.5827061033539661
Kier1,29.231833910034602
Kier2,13.347222222222221
Kier3,8.0
MAXdO,13.327544983175393
MAXsF,14.415474674594407
MID_C,48.30384659452972
MID_N,7.627631324783746
MID_O,7.217386001813575
MID_X,1.7750137813583353
MID_h,16.620031107955654
MINdO,11.723237060099756
MINsF,14.415474674594407
MPC10,84
MWC01,34.0
MWC02,5.10594547390058
MWC03,5.942799375126701
MWC04,6.818924065275521
MWC05,7.676473646389156
MWC06,8.556221578383715
MWC07,9.422463420006927
MWC08,10.304308560150634
MWC09,11.175871058921274
MWC10,12.059096996826797
NaaCH,3
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,3
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,4
NdssS,0
NsCH3,4
NsNH2,1
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,2.836170000000001
SRW02,4.23410650459726
SRW03,0.0
SRW04,5.564520407322694
SRW05,0.0
SRW06,7.087573705557973
SRW07,0.0
SRW08,8.696343057044556
SRW09,0.0
SRW10,10.349742654652538
SaaCH,3.7541872550006605
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,-0.7478751052489123
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.2036215737218465
SdssS,0
SsCH3,7.202248524524259
SsNH2,5.369044411694656
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.809142750098565
SssPH,0
SssSe,0
SsssB,0
SsssN,1.7764956089184984
SsssP,0
VE1_A,4.652877176321992
VE1_D,5.638343903693473
VE2_A,0.14099627807036338
VE2_D,0.17085890617252947
VE3_A,2.7314082443224588
VE3_D,2.9235128567665676
VR1_A,460.44145344643533
VR1_D,212.52994157736074
VR2_A,13.952771316558646
VR2_D,6.440301259920022
VR3_A,7.326108179161077
VR3_D,6.553005348451737
WPath,3612
Xc-3d,2.9886410672594286
Xc-4d,0.16666666666666666
Xc-5d,1.1125710800904904
Xc-6d,0.17955837819827097
Xp-0d,24.758784066134826
Xp-1d,15.504474846527897
Xp-2d,14.29684252335481
Xp-3d,11.4405091180931
Xp-4d,8.615065866507775
Xp-5d,5.998951091707169
Xp-6d,3.839437846340459
Xp-7d,2.8858321664076705
ZMIC0,108.85573101638637
ZMIC1,46.72007921153629
ZMIC2,31.9205761300936
ZMIC3,28.145568350164407
ZMIC4,28.025348854833513
ZMIC5,28.025348854833513
nAcid,0
nAtom,68
nBase,2
nRing,2
piPC1,3.7376696182833684
piPC2,4.212127597878484
piPC3,4.617592705986649
piPC4,4.951415934436285
piPC5,5.298004817709737
piPC6,5.4664766095294866
piPC7,5.68708128293279
piPC8,5.317966795835491
piPC9,5.468982711217041
AATS0Z,21.058823529411764
AATS0d,2.926470588235294
AATS0i,167.72796648968702
AATS0m,83.34553923749664
AATS0p,1.3267370098487499
AATS0s,5.556066176470588
AATS0v,195.12059563959977
AATS1Z,22.579710144927535
AATS1d,3.579710144927536
AATS1i,149.3993602773928
AATS1m,84.46404054833624
AATS1p,1.688500765362319
AATS1s,3.128019323671498
AATS1v,243.95799629999755
AATS2Z,18.592
AATS2d,3.232
AATS2i,157.20791735505028
AATS2m,68.6051895333632
AATS2p,1.4164412405518396
AATS2s,3.0204444444444447
AATS2v,198.29887211422272
AATS3Z,16.160919540229884
AATS3d,2.7758620689655173
AATS3i,160.53290022199752
AATS3m,57.94254972374253
AATS3p,1.2673395733015516
AATS3s,3.0207535121328224
AATS3v,174.5036011238012
AATS4Z,14.388349514563107
AATS4d,2.4029126213592233
AATS4i,166.47760976362702
AATS4m,50.27525187628739
AATS4p,1.1265549756383837
AATS4s,3.46655879180151
AATS4v,152.9153205215606
AATS5Z,13.119617224880383
AATS5d,2.2679425837320575
AATS5i,165.22739435106695
AATS5m,45.03896057861819
AATS5p,1.0996928274239282
AATS5s,3.2502658160552893
AATS5v,145.89266157353958
AATS6Z,11.966507177033494
AATS6d,2.210526315789474
AATS6i,166.55502677807124
AATS6m,40.57869653766888
AATS6p,1.0775526595260285
AATS6s,2.910353535353535
AATS6v,139.3706219111536
AATS7Z,12.538461538461538
AATS7d,2.246153846153846
AATS7i,163.11453273935948
AATS7m,43.56016329842051
AATS7p,1.127525774003564
AATS7s,2.8216524216524226
AATS7v,144.56322528758756
AATS8Z,11.07035175879397
AATS8d,2.0351758793969847
AATS8i,169.50172746754288
AATS8m,37.059428870601
AATS8p,1.0023743454640002
AATS8s,3.1889307649357903
AATS8v,126.69170462055085
AMID_C,1.4637529271069614
AMID_N,0.23114034317526502
AMID_O,0.2187086667216235
AMID_X,0.05378829640479804
AMID_h,0.5036373063016865
ATS0dv,464.0
ATS0pe,425.60119999999995
ATS0se,526.332032
ATS1dv,417.0
ATS1pe,445.4875
ATS1se,534.661308
ATS2dv,576.0
ATS2pe,782.6128999999999
ATS2se,958.4607359999998
ATS3dv,590.0
ATS3pe,1083.1440000000002
ATS3se,1336.8386759999999
ATS4dv,601.0
ATS4pe,1293.1106000000002
ATS4se,1605.6166640000001
ATS5dv,500.0
ATS5pe,1287.8474000000006
ATS5se,1610.3074080000001
ATS6dv,484.0
ATS6pe,1264.7104
ATS6se,1592.32386
ATS7dv,464.0
ATS7pe,1153.3564
ATS7se,1449.7519880000002
ATS8dv,464.0
ATS8pe,1196.5891000000001
ATS8se,1510.4703240000003
ATSC0Z,527.5294117647059
ATSC0c,1.3865360477452333
ATSC0d,42.98529411764706
ATSC0i,114.7858068420822
ATSC0m,2520.913177423521
ATSC0p,14.863840002214635
ATSC0s,162.20700571895418
ATSC0v,3293.3327771207864
ATSC1Z,6.71280276816611
ATSC1c,-0.8844605002457132
ATSC1d,17.544333910034602
ATSC1i,-7.819421168063554
ATSC1m,32.82668122917423
ATSC1p,-0.3305171759191096
ATSC1s,-9.065952698481354
ATSC1v,25.696804959139428
ATSC2Z,120.74740484429068
ATSC2c,0.3560928721422417
ATSC2d,-5.972967128027676
ATSC2i,-0.7022783296849846
ATSC2m,569.658780918754
ATSC2p,1.110033761629869
ATSC2s,33.88601889898117
ATSC2v,422.08731737481617
ATSC3Z,-19.619377162629725
ATSC3c,-0.20785171235768568
ATSC3d,-14.491782006920415
ATSC3i,-54.22947419373011
ATSC3m,-90.25205706801847
ATSC3p,-4.186774283650379
ATSC3s,-9.623134731833908
ATSC3v,-502.09321738602284
ATSC4Z,-123.98615916955016
ATSC4c,0.23005506221090405
ATSC4d,-9.352508650519031
ATSC4i,10.494509575416355
ATSC4m,-568.4765297059623
ATSC4p,-1.3121742142103416
ATSC4s,-19.105557357747024
ATSC4v,-477.3024383316017
ATSC5Z,-149.2595155709343
ATSC5c,-0.31362261674075625
ATSC5d,0.765787197231834
ATSC5i,-3.9921915615861496
ATSC5m,-693.297602277828
ATSC5p,-2.2445650846091207
ATSC5s,-32.82496365580545
ATSC5v,-689.2338681881103
ATSC6Z,-80.25951557093431
ATSC6c,-0.03245376786412698
ATSC6d,-3.6606833910034613
ATSC6i,20.608639102126727
ATSC6m,-373.94049636003024
ATSC6p,3.771974412880982
ATSC6s,-28.63470630286428
ATSC6v,225.20883378918256
ATSC7Z,82.34948096885816
ATSC7c,0.30147378065749436
ATSC7d,-3.737240484429065
ATSC7i,-40.24985199058108
ATSC7m,372.59818622856534
ATSC7p,-5.571912135237842
ATSC7s,54.120535070645914
ATSC7v,-641.0532370530166
ATSC8Z,-18.916955017301063
ATSC8c,-0.18220158142408321
ATSC8d,8.79303633217993
ATSC8i,29.493142810311628
ATSC8m,-125.3917117741737
ATSC8p,0.9472222941382511
ATSC8s,20.152986531622446
ATSC8v,-80.43470345617345
AXp-0d,0.7502661838222675
AXp-1d,0.4560139660743499
AXp-2d,0.2978508859032252
AXp-3d,0.19067515196821833
AXp-4d,0.12485602705083733
AXp-5d,0.07690962938086114
AXp-6d,0.047400467238771095
AXp-7d,0.0324250805214345
GATS1Z,0.878926198140894
GATS1c,1.6901057101109942
GATS1d,0.9713466906642471
GATS1i,1.3271543734130702
GATS1m,0.8830671634245432
GATS1p,1.2813954253591386
GATS1s,0.6267289283576578
GATS1v,1.1468835309370156
GATS2Z,0.8006529884032115
GATS2c,0.8643849881508598
GATS2d,1.596080738966815
GATS2i,1.094760894437263
GATS2m,0.8041985530263057
GATS2p,1.0875461799287938
GATS2s,0.481607674974549
GATS2v,1.0093710334001482
GATS3Z,0.972626490612856
GATS3c,1.1386375543181384
GATS3d,1.3795148269177078
GATS3i,1.243292919170622
GATS3m,0.9726974643912459
GATS3p,1.1769253408933336
GATS3s,0.8422521111349177
GATS3v,1.0947075252777052
GATS4Z,1.0925079895724172
GATS4c,1.1197414976296556
GATS4d,1.1463053320003056
GATS4i,0.955030771677214
GATS4m,1.0847449627520687
GATS4p,0.9897992695658664
GATS4s,1.206344556840281
GATS4v,1.0072494978379678
GATS5Z,1.0947529013312618
GATS5c,1.0845281398282094
GATS5d,1.0179847341739414
GATS5i,0.9517977937034812
GATS5m,1.088463167117931
GATS5p,1.036291313043602
GATS5s,1.2133484138517299
GATS5v,1.0486004518026564
GATS6Z,1.0409723674607003
GATS6c,0.7811730577064779
GATS6d,0.9620515070215271
GATS6i,0.8778400648074686
GATS6m,1.0387431827372484
GATS6p,0.8969316344578413
GATS6s,1.1123567072281069
GATS6v,0.9595087788807852
GATS7Z,0.8678820993160868
GATS7c,0.5431058364172466
GATS7d,0.963179732799986
GATS7i,1.1294920572315696
GATS7m,0.8776108061592377
GATS7p,1.179939239847626
GATS7s,0.6042068767911178
GATS7v,1.1099658442299745
GATS8Z,1.0138232980244668
GATS8c,0.7501445720846509
GATS8d,0.7558387214897615
GATS8i,0.9746053012220636
GATS8m,1.0246174330779854
GATS8p,0.9427867741494544
GATS8s,1.0739637389797767
GATS8v,0.9779407709308269
MATS1Z,0.012540562903204993
MATS1c,-0.6286473644472953
MATS1d,0.4022321716322817
MATS1i,-0.06713457382584424
MATS1m,0.012833021190724572
MATS1p,-0.021914059346154847
MATS1s,-0.05508123425410573
MATS1v,0.007689592643626944
MATS2Z,0.12451739518287246
MATS2c,0.13971113319440595
MATS2d,-0.07559083133766671
MATS2i,-0.0033282809247856438
MATS2m,0.1229294128790771
MATS2p,0.04062600016124212
MATS2s,0.11364487125164724
MATS2v,0.06972131764122622
MATS3Z,-0.014534436617552039
MATS3c,-0.05858441615097896
MATS3d,-0.13175331595235568
MATS3i,-0.18463195432325738
MATS3m,-0.013991326305897014
MATS3p,-0.11007994161291547
MATS3s,-0.02318497453811797
MATS3v,-0.059581084302257205
MATS4Z,-0.07758329508154128
MATS4c,0.05476994708938501
MATS4d,-0.07182074541052051
MATS4i,0.03017975078642009
MATS4m,-0.07443828227787051
MATS4p,-0.029140846926477552
MATS4s,-0.038880495996979646
MATS4v,-0.047840942702950695
MATS5Z,-0.09205724553862966
MATS5c,-0.07359339456619572
MATS5d,0.005796299600430181
MATS5i,-0.011315814192340267
MATS5m,-0.0894796829046047
MATS5p,-0.04913192811067719
MATS5s,-0.06584112957376863
MATS5v,-0.06809161268087971
MATS6Z,-0.04950083017128422
MATS6c,-0.007615467814168141
MATS6d,-0.027707981738627985
MATS6i,0.058414915025773305
MATS6m,-0.048262213700946
MATS6p,0.08256582843587067
MATS6s,-0.057436207021062564
MATS6v,0.022249099167164475
MATS7Z,0.05443628628285187
MATS7c,0.07582155440825801
MATS7d,-0.03031834171074677
MATS7i,-0.1222785831149529
MATS7m,0.05154151137027622
MATS7p,-0.130721655369493
MATS7s,0.11635010392863769
MATS7v,-0.06787858530335517
MATS8Z,-0.012253506605283349
MATS8c,-0.04490315053097759
MATS8d,0.06989961782913885
MATS8i,0.08779882397498606
MATS8m,-0.016996784927953958
MATS8p,0.021775930695402974
MATS8s,0.0424546870125855
MATS8v,-0.00834571759421048
MAXdNH,7.389176108814603
MAXssO,5.016105829720435
MINdNH,7.389176108814603
MINssO,5.016105829720435
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,7
NssNH2,0
NsssAs,0
NsssCH,2
NsssNH,0
NssssB,0
NssssC,1
NssssN,0
Radius,10
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,40.083765402998424
SpAD_D,457.33818016082944
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,3.723992030820277
SssNH2,0
SsssAs,0
SsssCH,-0.3190042143045737
SsssNH,0
SssssB,0
SssssC,-0.9085424776608937
SssssN,0
TMPC10,741
TMWC10,144.06210417498133
TSRW10,68.93228632917501
VE1_Dt,5.648747240892335
VE2_Dt,0.17117415881491924
VE3_Dt,2.9253562617699647
VR1_Dt,211.98826221795161
VR2_Dt,6.423886733877322
VR3_Dt,6.55045337471519
Xc-3dv,1.6831654069678763
Xc-4dv,0.14433756729740643
Xc-5dv,0.37983026478922216
Xc-6dv,0.07738335014271937
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.15137471507731048
Xch-7d,0.25364688940716357
Xp-0dv,19.87202031380823
Xp-1dv,11.405035672129655
Xp-2dv,9.009006010692676
Xp-3dv,6.323059894989304
Xp-4dv,4.247932592474223
Xp-5dv,2.6293877083450705
Xp-6dv,1.4906259935738377
Xp-7dv,0.9650343305148978
Xpc-4d,6.846056457861876
Xpc-5d,9.568548202259073
Xpc-6d,13.425662635600194
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,69
nFRing,0
nHBAcc,5
nHBDon,3
nHRing,1
nSpiro,0
naRing,1
piPC10,5.656210318413861
AATS0dv,6.823529411764706
AATS0pe,6.258841176470588
AATS0se,7.740176941176471
AATS1dv,6.043478260869565
AATS1pe,6.456340579710145
AATS1se,7.748714608695652
AATS2dv,4.608
AATS2pe,6.260903199999999
AATS2se,7.6676858879999985
AATS3dv,3.3908045977011496
AATS3pe,6.2249655172413805
AATS3se,7.682980896551723
AATS4dv,2.9174757281553396
AATS4pe,6.277235922330098
AATS4se,7.794255650485438
AATS5dv,2.3923444976076556
AATS5pe,6.1619492822966535
AATS5se,7.7048201339712925
AATS6dv,2.3157894736842106
AATS6pe,6.0512459330143535
AATS6se,7.618774449760766
AATS7dv,2.3794871794871795
AATS7pe,5.914648205128205
AATS7se,7.4346255794871805
AATS8dv,2.3316582914572863
AATS8pe,6.01301055276382
AATS8se,7.590303135678393
AATSC0Z,7.757785467128027
AATSC0c,0.02039023599625343
AATSC0d,0.6321366782006921
AATSC0i,1.6880265712070912
AATSC0m,37.072252609169425
AATSC0p,0.21858588238550936
AATSC0s,2.3853971429257967
AATSC0v,48.43136436942333
AATSC1Z,0.09728699664008855
AATSC1c,-0.01281826811950309
AATSC1d,0.2542657088410812
AATSC1i,-0.11332494446468919
AATSC1m,0.4757490033213656
AATSC1p,-0.0047901039988276755
AATSC1s,-0.13139061881857034
AATSC1v,0.3724174631759337
AATSC2Z,0.9659792387543255
AATSC2c,0.002848742977137934
AATSC2d,-0.04778373702422141
AATSC2i,-0.005618226637479877
AATSC2m,4.557270247350032
AATSC2p,0.008880270093038952
AATSC2s,0.27108815119184937
AATSC2v,3.376698538998529
AATSC3Z,-0.11275504116453865
AATSC3c,-0.0011945500710211822
AATSC3d,-0.08328610348804837
AATSC3i,-0.3116636447915524
AATSC3m,-0.5186899831495314
AATSC3p,-0.02406192117040448
AATSC3s,-0.05530537202203395
AATSC3v,-2.8855932033679474
AATSC4Z,-0.6018745590754863
