DLiP-ID,I000I6
ATS0p,93.38478624062097
ATS0s,290.52777777777777
ATS0v,13778.611230981043
ATS1Z,1611.0
ATS1d,261.0
ATS1i,9750.651395599307
ATS1m,6102.327053000004
ATS1p,119.52228896000005
ATS1s,205.61111111111111
ATS1v,17424.241989249986
ATS2Z,2365.0
ATS2d,413.0
ATS2i,17797.174387636293
ATS2m,8784.303883000006
ATS2p,179.7484657084901
ATS2s,343.2499999999999
ATS2v,25426.48658377835
ATS3Z,2760.0
ATS3d,487.0
ATS3i,24884.567774885574
ATS3m,10048.77326
ATS3p,213.29105616122493
ATS3s,477.2222222222222
ATS3v,29530.45348920577
ATS4Z,2729.0
ATS4d,476.0
ATS4i,26934.61559010958
ATS4m,9753.426072999999
ATS4p,210.94617599492304
ATS4s,529.0833333333333
ATS4v,29214.08726601425
ATS5Z,2788.0
ATS5d,453.0
ATS5i,26733.154385385613
ATS5m,10097.860946
ATS5p,204.75379964601697
ATS5s,620.138888888889
ATS5v,28475.69680742488
ATS6Z,2619.0
ATS6d,440.0
ATS6i,25491.53195598527
ATS6m,9475.040207000002
ATS6p,194.30705813201703
ATS6s,528.6111111111113
ATS6v,27016.157030969658
ATS7Z,2450.0
ATS7d,421.0
ATS7i,24148.63843729818
ATS7m,8703.384762999996
ATS7p,182.55050579382893
ATS7s,517.8055555555557
ATS7v,25792.844756950915
ATS8Z,2435.0
ATS8d,420.0
ATS8i,22702.111369099926
ATS8m,8791.641280999997
ATS8p,186.17157019067793
ATS8s,491.5277777777779
ATS8v,26156.583215032762
C1SP1,0
C1SP2,5
C1SP3,2
C2SP1,0
C2SP2,10
C2SP3,5
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.3076923076923077
GGI10,0.20222426283032344
JGI10,0.004702889833263336
JGT10,0.4006654104747187
Kier1,27.04601899196494
Kier2,12.9919261822376
Kier3,6.865051903114187
MAXdO,13.343421840588595
MID_C,53.87681597001842
MID_N,10.231892413576382
MID_O,5.33558608009321
MID_X,0.0
MID_h,15.56747849366959
MINdO,12.334847622623181
MPC10,161
MWC01,37.0
MWC02,5.176149732573829
MWC03,6.028278520230698
MWC04,6.902742737158593
MWC05,7.773594467360194
MWC06,8.654691704601872
MWC07,9.532641238823578
MWC08,10.417358534488079
MWC09,11.299051319663167
MWC10,12.186089301905781
NaaCH,10
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,5
NaasN,1
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,3
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,2.6505
SRW02,4.31748811353631
SRW03,0.0
SRW04,5.631211781821365
SRW05,0.0
SRW06,7.150701457592526
SRW07,0.0
SRW08,8.76389700713946
SRW09,0.0
SRW10,10.426587537177507
SaaCH,18.672513071835798
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,3.465811424808609
SaasN,1.3185041099773243
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.6402510158769519
SdssS,0
SsCH3,3.349325806757438
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,8.548576197001765
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.832802704825532
VE1_D,5.7378566075880215
VE2_A,0.14214125602428035
VE2_D,0.16876048845847122
VE3_A,2.7992020011451872
VE3_D,2.970861158905288
VR1_A,351.89926791634434
VR1_D,232.42207826517117
VR2_A,10.349978468127775
VR2_D,6.835943478387387
VR3_A,7.087120395573363
VR3_D,6.672330453228561
WPath,3530
Xc-3d,2.0274447022462496
Xc-4d,0.0
Xc-5d,0.6011388324509299
Xc-6d,0.0
Xp-0d,24.078775022443736
Xp-1d,16.47356554823633
Xp-2d,14.496815185379166
Xp-3d,12.487721571232711
Xp-4d,10.046734604107952
Xp-5d,8.307240046908962
Xp-6d,5.481474301168589
Xp-7d,3.9897877307715657
ZMIC0,112.31948724037778
ZMIC1,55.582029087139595
ZMIC2,35.225298695968974
ZMIC3,26.20082364790175
ZMIC4,24.467097375206293
ZMIC5,24.34083452049201
nAcid,0
nAtom,63
nBase,1
nRing,4
piPC1,3.912023005428146
piPC2,4.483002552013883
piPC3,5.035327906686628
piPC4,5.567867290676402
piPC5,6.115202041955545
piPC6,6.293303745370529
piPC7,6.653185557980558
piPC8,6.99845256299604
piPC9,7.2708781403497875
AATS0Z,22.253968253968253
AATS0d,3.253968253968254
AATS0i,163.0447514047734
AATS0m,87.76535317460322
AATS0p,1.4822981942955709
AATS0s,4.611552028218695
AATS0v,218.70811477747688
AATS1Z,24.40909090909091
AATS1d,3.9545454545454546
AATS1i,147.73714235756526
AATS1m,92.45950080303035
AATS1p,1.810943772121213
AATS1s,3.1153198653198655
AATS1v,264.00366650378766
AATS2Z,20.565217391304348
AATS2d,3.591304347826087
AATS2i,154.75803815335905
AATS2m,76.38525115652179
AATS2p,1.563030136595566
AATS2s,2.9847826086956513
AATS2v,221.09988333720304
AATS3Z,17.692307692307693
AATS3d,3.121794871794872
AATS3i,159.51646009542034
AATS3m,64.41521320512821
AATS3p,1.367250360007852
AATS3s,3.0591168091168086
AATS3v,189.29777877696006
AATS4Z,16.43975903614458
AATS4d,2.8674698795180724
AATS4i,162.25672042234686
AATS4m,58.75557875301204
AATS4p,1.2707600963549581
AATS4s,3.187248995983935
AATS4v,175.98847750610994
AATS5Z,17.0
AATS5d,2.7621951219512195
AATS5i,163.00703893527813
AATS5m,61.57232284146342
AATS5p,1.2484987783293717
AATS5s,3.781334688346884
AATS5v,173.63229760624927
AATS6Z,16.681528662420384
AATS6d,2.8025477707006368
AATS6i,162.366445579524
AATS6m,60.35057456687899
AATS6p,1.2376245740892804
AATS6s,3.366949752300072
AATS6v,172.07743331827808
AATS7Z,16.666666666666668
AATS7d,2.8639455782312924
AATS7i,164.2764519544094
AATS7m,59.206699068027184
AATS7p,1.241840175468224
AATS7s,3.522486772486773
AATS7v,175.46152895884975
AATS8Z,17.392857142857142
AATS8d,3.0
AATS8i,162.15793835071375
AATS8m,62.797437721428544
AATS8p,1.3297969299334138
AATS8s,3.510912698412699
AATS8v,186.832737250234
AMID_C,1.5846122344123064
AMID_N,0.3009380121640112
AMID_O,0.15692900235568263
AMID_X,0.0
AMID_h,0.4578670145196938
ATS0dv,460.0
ATS0pe,391.1337999999999
ATS0se,481.9521999999998
ATS1dv,461.0
ATS1pe,427.0695000000001
ATS1se,509.90645999999964
ATS2dv,651.0
ATS2pe,729.2478999999998
ATS2se,883.9178199999996
ATS3dv,719.0
ATS3pe,975.5652000000003
ATS3se,1197.799576
ATS4dv,709.0
ATS4pe,1042.6900999999996
ATS4se,1285.2235159999996
ATS5dv,791.0
ATS5pe,1033.2862
ATS5se,1274.0776879999999
ATS6dv,664.0
ATS6pe,981.3915
ATS6se,1212.4852440000002
ATS7dv,597.0
ATS7pe,945.6530000000001
ATS7se,1163.2449399999998
ATS8dv,614.0
ATS8pe,889.2137000000002
ATS8se,1092.5804520000002
ATSC0Z,456.9841269841269
ATSC0c,1.1050022403165383
ATSC0d,36.60317460317461
ATSC0i,96.6432401926859
ATSC0m,2177.0553055555556
ATSC0p,14.126704573604986
ATSC0s,103.66666666666667
ATSC0v,3134.883527562811
ATSC1Z,17.71504157218442
ATSC1c,-0.6923300747978564
ATSC1d,13.971277399848834
ATSC1i,-13.418257155798475
ATSC1m,85.57992892592648
ATSC1p,-0.1955161939516164
ATSC1s,-3.6388888888888893
ATSC1v,56.774947424103004
ATSC2Z,31.108339632149153
ATSC2c,0.02624738936631387
ATSC2d,-0.6089695137314174
ATSC2i,-3.3481497894866608
ATSC2m,138.41123238271683
ATSC2p,-0.6627703701625725
ATSC2s,8.08641975308642
ATSC2v,-94.89414450461015
ATSC3Z,41.88057445200303
ATSC3c,0.7037746820150138
ATSC3d,-3.3983371126228255
ATSC3i,8.296593016198683
ATSC3m,187.91226925925972
ATSC3p,-0.7640814001897064
ATSC3s,1.3148148148148127
ATSC3v,-118.14548793520345
ATSC4Z,-79.24389014865203
ATSC4c,-1.057994418137718
ATSC4d,-4.017888636936253
ATSC4i,-22.15376431452093
ATSC4m,-371.04560354320967
ATSC4p,-2.0743052940021003
ATSC4s,-24.802469135802475
ATSC4v,-388.0573069913323
ATSC5Z,96.93020912068529
ATSC5c,0.27073876019419196
ATSC5d,0.33459309649785746
ATSC5i,1.5231936904789025
ATSC5m,443.7066799506176
ATSC5p,0.11456810696658049
ATSC5s,61.18209876543211
ATSC5v,149.05207740910566
ATSC6Z,97.91257243638196
ATSC6c,0.6774082648528025
ATSC6d,-1.9475938523557577
ATSC6i,-10.372200940604616
ATSC6m,455.8592249012347
ATSC6p,-1.5859698765671981
ATSC6s,2.5679012345678967
ATSC6v,71.66904852071471
ATSC7Z,-174.6137566137566
ATSC7c,-0.6418503309931854
ATSC7d,1.37037037037037
ATSC7i,-0.8529547757873948
ATSC7m,-802.2076055185183
ATSC7p,0.9627251357371476
ATSC7s,-59.71296296296298
ATSC7v,-155.5304928086038
ATSC8Z,-50.615520282186935
ATSC8c,0.04539027182248526
ATSC8d,-6.895943562610229
ATSC8i,27.741875310671414
ATSC8m,-225.50860356790093
ATSC8p,3.2926755056314794
ATSC8s,1.1728395061728378
ATSC8v,405.7256176656636
AXp-0d,0.7081992653659922
AXp-1d,0.4452315013036846
AXp-2d,0.28425127814468953
AXp-3d,0.183642964282834
AXp-4d,0.11547970809319485
AXp-5d,0.07484000042260326
AXp-6d,0.047664993923205126
AXp-7d,0.030690674852088966
GATS1Z,0.8027266411948596
GATS1c,1.6802829579452898
GATS1d,0.7827603879208388
GATS1i,1.357616284088461
GATS1m,0.8082325553059374
GATS1p,1.0827231424769101
GATS1s,0.5433231024067037
GATS1v,0.9785295952031533
GATS2Z,0.864762221181872
GATS2c,1.080932193584346
GATS2d,1.2446057543647948
GATS2i,1.1631499144138722
GATS2m,0.8707388182947401
GATS2p,1.0408684180448387
GATS2s,0.5522764341302017
GATS2v,0.9964251201273756
GATS3Z,0.9270927405349082
GATS3c,0.9075325003471677
GATS3d,1.1998048568950563
GATS3i,1.018085814524264
GATS3m,0.92926770736304
GATS3p,1.006244740753704
GATS3s,0.9206413004644516
GATS3v,0.9848264149775598
GATS4Z,1.0714827353875387
GATS4c,1.5969807815494557
GATS4d,1.1275274558772816
GATS4i,1.1148415760732093
GATS4m,1.0669042501354296
GATS4p,1.0055747686144945
GATS4s,1.2858620979093218
GATS4v,0.9894070574392361
GATS5Z,0.9397775311549575
GATS5c,1.1739973850704852
GATS5d,0.976024897933281
GATS5i,0.9995270733178286
GATS5m,0.938557935719996
GATS5p,0.9461390303946619
GATS5s,1.084205813923091
GATS5v,0.9250023905193686
GATS6Z,0.930261303575419
GATS6c,1.039866284934996
GATS6d,1.0950635561619921
GATS6i,1.0333559237974148
GATS6m,0.9284870511447887
GATS6p,1.0060219275922433
GATS6s,1.2886773711266304
GATS6v,0.9453154165051737
GATS7Z,1.2215104450950234
GATS7c,1.6579645671332939
GATS7d,1.0773757898649485
GATS7i,1.0213795714082086
GATS7m,1.2065298384344605
GATS7p,0.8891223432294041
GATS7s,1.9591563313428264
GATS7v,0.923255019932987
GATS8Z,1.061149704758597
GATS8c,1.258354066839886
GATS8d,1.2461838681699913
GATS8i,0.9128764551705415
GATS8m,1.0533003472815725
GATS8p,0.8453286373605164
GATS8s,1.3122550145460112
GATS8v,0.8762072811848566
MATS1Z,0.03700306293220498
MATS1c,-0.5980626118496363
MATS1d,0.36434597492706783
MATS1i,-0.13253214969254318
MATS1m,0.03752313133621564
MATS1p,-0.013211084952908953
MATS1s,-0.033506284712072495
MATS1v,0.017287490115419874
MATS2Z,0.03729223613271517
MATS2c,0.013012647472328151
MATS2d,-0.009114219993212396
MATS2i,-0.018979121499463084
MATS2m,0.03482928689664315
MATS2p,-0.025701882314102403
MATS2s,0.04273265296612143
MATS2v,-0.016582908871087463
MATS3Z,0.03701071419029045
MATS3c,0.2572091604308845
MATS3d,-0.03749416238574953
MATS3i,0.034669234733214926
MATS3m,0.03485793264286842
MATS3p,-0.02184312222884213
MATS3s,0.005122021601121271
MATS3v,-0.015219895883660739
MATS4Z,-0.06581079441070987
MATS4c,-0.36337302080880235
MATS4d,-0.04165926498709492
MATS4i,-0.08699784806295853
MATS4m,-0.06468302014594461
MATS4p,-0.05572682166722589
MATS4s,-0.0908005010395279
MATS4v,-0.04697934063329282
MATS5Z,0.08148069705775211
MATS5c,0.09412044648085678
MATS5d,0.0035115182027795895
MATS5i,0.006054528825513352
MATS5m,0.07829304903322694
MATS5p,0.003115441319685637
MATS5s,0.22671587849319008
MATS5v,0.018264732874699246
MATS6Z,0.08597619927301368
MATS6c,0.24599610434095995
MATS6d,-0.021351113959153914
MATS6i,-0.043066575197316645
MATS6m,0.08402377371034367
MATS6p,-0.045050017936085415
MATS6s,0.009939855680941537
MATS6v,0.009173839253168703
MATS7Z,-0.1637572569840719
MATS7c,-0.24893950731176334
MATS7d,0.016045099739809186
MATS7i,-0.0037824895568194313
MATS7m,-0.15792123361799595
MATS7p,0.029206846125699192
MATS7s,-0.24686112387077025
MATS7v,-0.021262648166460816
MATS8Z,-0.049841959013546364
MATS8c,0.018484688605036
MATS8d,-0.0847788378143972
MATS8i,0.1291745171717342
MATS8m,-0.04661290475560949
MATS8p,0.10488673914103455
MATS8s,0.005091103965702029
MATS8v,0.058240290697974095
MAXaaN,4.4315927308455265
MINaaN,4.4315927308455265
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,2
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,44.41699810736661
SpAD_D,430.33237536509097
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,2.625220581439328
SssNH2,0
SsssAs,0
SsssCH,-0.5861404422176633
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1105
TMWC10,148.97059755680579
TSRW10,70.28988589726717
VE1_Dt,5.730684161545464
VE2_Dt,0.1685495341631019
VE3_Dt,2.9696103551418354
VR1_Dt,230.99220170176037
VR2_Dt,6.7938882853458935
VR3_Dt,6.666159382707228
Xc-3dv,0.8930919995552633
Xc-4dv,0.0
Xc-5dv,0.15660417969376372
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.3089923432488318
Xch-7d,0.4764992105700066
Xp-0dv,19.37580241741321
Xp-1dv,11.481734370236417
Xp-2dv,8.463559586715403
Xp-3dv,6.1696782362954705
Xp-4dv,4.201739911486989
Xp-5dv,2.948667664796818
Xp-6dv,1.6368669605801482
Xp-7dv,1.0020263643202338
Xpc-4d,5.246495613216944
Xpc-5d,8.086770286127543
Xpc-6d,12.628969564739606
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,4
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,66
nFRing,1
nHBAcc,6
nHBDon,3
nHRing,1
nSpiro,0
naRing,3
piPC10,7.413315502325377
AATS0dv,7.301587301587301
AATS0pe,6.208473015873015
AATS0se,7.650034920634917
AATS1dv,6.984848484848484
AATS1pe,6.470750000000002
AATS1se,7.725855454545449
AATS2dv,5.660869565217391
AATS2pe,6.34128608695652
AATS2se,7.6862419130434745
AATS3dv,4.608974358974359
AATS3pe,6.253623076923079
AATS3se,7.67820241025641
AATS4dv,4.271084337349397
AATS4pe,6.2812656626506
AATS4se,7.742310337349395
AATS5dv,4.823170731707317
AATS5pe,6.3005256097560975
AATS5se,7.7687663902439015
AATS6dv,4.229299363057325
AATS6pe,6.25090127388535
AATS6se,7.722835949044587
AATS7dv,4.061224489795919
AATS7pe,6.433013605442178
AATS7se,7.91323088435374
AATS8dv,4.385714285714286
AATS8pe,6.351526428571431
AATS8se,7.804146085714287
AATSC0Z,7.253716301335348
AATSC0c,0.017539718100262513
AATSC0d,0.5810027714789621
AATSC0i,1.534019685598189
AATSC0m,34.55643342151676
AATSC0p,0.22423340593023788
AATSC0s,1.6455026455026456
AATSC0v,49.7600559930605
AATSC1Z,0.268409720790673
AATSC1c,-0.010489849618149338
AATSC1d,0.21168602120983082
AATSC1i,-0.2033069266030072
AATSC1m,1.296665589786765
AATSC1p,-0.002962366575024491
AATSC1s,-0.05513468013468014
AATSC1v,0.8602264761227728
AATSC2Z,0.2705073011491231
AATSC2c,0.0002282381684027293
AATSC2d,-0.005295387075925369
AATSC2i,-0.02911434599553618
AATSC2m,1.203575933762755
AATSC2p,-0.005763220610109325
AATSC2s,0.0703166935050993
AATSC2v,-0.8251664739531318
AATSC3Z,0.2684652208461733
AATSC3c,0.004511376166762909
AATSC3d,-0.021784212260402728
AATSC3i,0.05318328856537617
AATSC3m,1.2045658285849983
AATSC3p,-0.004897957693523759
AATSC3s,0.008428300094966748
AATSC3v,-0.7573428713795093
AATSC4Z,-0.47737283222079535
AATSC4c,-0.006373460350227217
AATSC4d,-0.024204148415278633
AATSC4i,-0.13345641153325863
AATSC4m,-2.235214479175962
AATSC4p,-0.012495815024109038
AATSC4s,-0.14941246467350888
