DLiP-ID,T005OW
ATS5v,30903.411466098503
ATS6Z,2546.0
ATS6d,454.0
ATS6i,27915.473549047765
ATS6m,8975.293672000002
ATS6p,214.69892730226195
ATS6s,516.9444444444446
ATS6v,28876.6996552983
ATS7Z,2367.0
ATS7d,404.0
ATS7i,26448.444422776567
ATS7m,8303.183819000003
ATS7p,189.79262627226194
ATS7s,568.5833333333334
ATS7v,25778.248386921707
ATS8Z,1992.0
ATS8d,358.0
ATS8i,23249.23166640861
ATS8m,6916.482493000001
ATS8p,168.46094533201688
ATS8s,462.9166666666665
ATS8v,22727.2956180113
C1SP1,0
C1SP2,4
C1SP3,0
C2SP1,0
C2SP2,11
C2SP3,6
C3SP2,4
C3SP3,0
C4SP3,1
FCSP3,0.2962962962962963
GGI10,0.2606856443220079
JGI10,0.007899564979454786
JGT10,0.460151158025729
Kier1,27.04601899196494
Kier2,12.497041420118343
Kier3,6.478367346938776
MAXdO,13.388779652950966
MID_C,56.305756309295035
MID_N,4.02972903829068
MID_O,8.873599132567756
MID_X,0.0
MID_h,12.903328170858435
MINdO,12.035014594425668
MPC10,118
MWC01,37.0
MWC02,5.187385805840755
MWC03,6.0473721790462776
MWC04,6.932447891572509
MWC05,7.813187267521416
MWC06,8.703008637464448
MWC07,9.591034531092426
MWC08,10.483717962940375
MWC09,11.375443421648965
MWC10,12.27020639725966
NaaCH,11
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,6
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.086700000000002
SRW02,4.31748811353631
SRW03,0.0
SRW04,5.645446897643238
SRW05,2.3978952727983707
SRW06,7.1785454837637
SRW07,4.59511985013459
SRW08,8.803724602110622
SRW09,6.6293632534374485
SRW10,10.477147120473486
SaaCH,19.953840713686773
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,4.059892963125526
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.3938286367245591
SdssS,0
SsCH3,1.6236896576203086
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.776609343972259
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.1031778537493215
VE1_D,5.745848536926002
VE2_A,0.1206817015808624
VE2_D,0.16899554520370594
VE3_A,2.6355371913884524
VE3_D,2.972253032090405
VR1_A,1043.2752482748197
VR1_D,230.2247441494009
VR2_A,30.68456612572999
VR2_D,6.771316004394144
VR3_A,8.173895752358384
VR3_D,6.662831411922168
WPath,3752
Xc-3d,2.335054484167699
Xc-4d,0.08333333333333333
Xc-5d,0.7614980832837144
Xc-6d,0.10059223176554563
Xp-0d,24.13118126525103
Xp-1d,16.424689265279174
Xp-2d,14.671059594361507
Xp-3d,12.56915983511068
Xp-4d,10.14510720213541
Xp-5d,8.098118452964405
Xp-6d,5.298226746038068
Xp-7d,3.629727750670674
ZMIC0,113.06566960338816
ZMIC1,59.915662948641135
ZMIC2,33.42698114165704
ZMIC3,27.092248523740217
ZMIC4,25.94425604653113
ZMIC5,25.56306942583605
nAcid,1
nAtom,62
nBase,0
nRing,4
piPC1,3.8918202981106265
piPC2,4.448516375942715
piPC3,4.978456395732021
piPC4,5.481159621088721
piPC5,5.991933187279021
piPC6,6.113958690272262
piPC7,6.4461661483374195
piPC8,6.696532578641743
piPC9,6.903747257584598
AATS0Z,22.870967741935484
AATS0d,3.3225806451612905
AATS0i,160.4980391248625
AATS0m,90.25505100000004
AATS0p,1.506217440899548
AATS0s,5.005040322580645
AATS0v,223.77231326714684
AATS1Z,24.630769230769232
AATS1d,4.046153846153846
AATS1i,144.52637333017086
AATS1m,93.38642690769235
AATS1p,1.8511685541846161
AATS1s,3.2991452991452994
AATS1v,271.6120573789162
AATS2Z,21.160714285714285
AATS2d,3.732142857142857
AATS2i,149.68550597744505
AATS2m,78.87638964285718
AATS2p,1.6479605211320725
AATS2s,3.267485119047618
AATS2v,234.38966066050858
AATS3Z,17.606451612903225
AATS3d,3.2
AATS3i,154.53705848434535
AATS3m,63.91650521290324
AATS3p,1.4316698141795419
AATS3s,2.9695340501792122
AATS3v,197.93498754732306
AATS4Z,16.426900584795323
AATS4d,2.818713450292398
AATS4i,157.79111989560985
AATS4m,58.598873608187134
AATS4p,1.3217212743346487
AATS4s,3.180230669265757
AATS4v,182.6930150919523
AATS5Z,15.581005586592179
AATS5d,2.6815642458100557
AATS5i,160.15160385771014
AATS5m,55.23398425139662
AATS5p,1.2698515218501008
AATS5s,3.441651148355058
AATS5v,172.6447567938464
AATS6Z,14.548571428571428
AATS6d,2.5942857142857143
AATS6i,159.51699170884436
AATS6m,51.28739241142858
AATS6p,1.2268510131557826
AATS6s,2.9539682539682546
AATS6v,165.0097123159903
AATS7Z,14.432926829268293
AATS7d,2.4634146341463414
AATS7i,161.2710025779059
AATS7m,50.6291696280488
AATS7p,1.1572721114162314
AATS7s,3.4669715447154474
AATS7v,157.18444138366894
AATS8Z,13.93006993006993
AATS8d,2.5034965034965033
AATS8i,162.58203962523504
AATS8m,48.36701044055945
AATS8p,1.1780485687553628
AATS8s,3.2371794871794863
AATS8v,158.9321371888902
AMID_C,1.6560516561557364
AMID_N,0.11852144230266705
AMID_O,0.2609882097814046
AMID_X,0.0
AMID_h,0.3795096520840716
ATS0dv,472.0
ATS0pe,388.7386999999999
ATS0se,478.8727759999998
ATS1dv,461.0
ATS1pe,421.28150000000005
ATS1se,504.04211599999974
ATS2dv,645.0
ATS2pe,709.7057999999997
ATS2se,860.5376159999997
ATS3dv,668.0
ATS3pe,959.7916999999997
ATS3se,1180.3670319999999
ATS4dv,656.0
ATS4pe,1068.0040000000001
ATS4se,1318.643852
ATS5dv,677.0
ATS5pe,1109.8949
ATS5se,1375.5110599999996
ATS6dv,580.0
ATS6pe,1061.948
ATS6se,1324.9115439999998
ATS7dv,541.0
ATS7pe,1012.5566999999996
ATS7se,1264.8648440000002
ATS8dv,467.0
ATS8pe,883.6976999999999
ATS8se,1104.9619
ATSC0Z,457.74193548387086
ATSC0c,1.5843633296500566
ATSC0d,38.19354838709677
ATSC0i,89.02708202782486
ATSC0m,2175.0408894193542
ATSC0p,14.420490242197548
ATSC0s,113.66991487455192
ATSC0v,3121.01986411312
ATSC1Z,6.367325702393337
ATSC1c,-0.9582253434882001
ATSC1d,14.474505723204985
ATSC1i,1.3250543379263897
ATSC1m,35.56816541519309
ATSC1p,0.857086136463284
ATSC1s,-8.301456454503407
ATSC1v,174.38858018233543
ATSC2Z,15.69198751300727
ATSC2c,0.16722690361587714
ATSC2d,-6.027055150884504
ATSC2i,5.04318298798178
ATSC2m,68.16884143600481
ATSC2p,0.5610737349184973
ATSC2s,29.00174875708174
ATSC2v,-0.5396304879582345
ATSC3Z,-25.83870967741936
ATSC3c,0.2721971492012224
ATSC3d,-15.645161290322585
ATSC3i,-15.77469422608797
ATSC3m,-131.37407861290296
ATSC3p,-2.738023612825836
ATSC3s,-4.169746863799283
ATSC3v,-486.754082907557
ATSC4Z,-130.93340270551505
ATSC4c,-0.46431721916791757
ATSC4d,-7.727367325702395
ATSC4i,-26.701582872172736
ATSC4m,-614.5639810437041
ATSC4p,-3.0630045990108172
ATSC4s,-44.55958600705283
ATSC4v,-704.6043190628329
ATSC5Z,-74.25494276795006
ATSC5c,0.2809278637633052
ATSC5d,-4.526534859521333
ATSC5i,10.135248467473545
ATSC5m,-359.65173848491145
ATSC5p,-1.2356772171892447
ATSC5s,29.749470675800666
ATSC5v,-458.0118191482026
ATSC6Z,-1.4006243496357933
ATSC6c,-0.2850193656353857
ATSC6d,-6.804370447450574
ATSC6i,-17.00559850959441
ATSC6m,-13.41952361914688
ATSC6p,-3.680676688816242
ATSC6s,-11.99897567637877
ATSC6v,-372.07743518788527
ATSC7Z,-12.317377731529632
ATSC7c,0.4676466156172329
ATSC7d,0.617065556711761
ATSC7i,-11.822880709899
ATSC7m,-56.942586915713
ATSC7p,-1.011167841762807
ATSC7s,-19.29062608394035
ATSC7v,-144.76690000038982
ATSC8Z,-86.82414151925077
ATSC8c,-0.3670477962402446
ATSC8d,6.360041623309055
ATSC8i,27.86243429883585
ATSC8m,-386.14794685431855
ATSC8p,4.456049446869232
ATSC8s,-47.15959756908312
ATSC8v,403.40176402531785
AXp-0d,0.7097406254485596
AXp-1d,0.4439105206832209
AXp-2d,0.282135761430029
AXp-3d,0.17955942621586685
AXp-4d,0.11528530911517511
AXp-5d,0.07639734389589062
AXp-6d,0.048607584826037324
AXp-7d,0.031023314108296358
GATS1Z,0.8067528595435574
GATS1c,1.5138412517438244
GATS1d,0.8354209979209981
GATS1i,1.1267284493159095
GATS1m,0.8103938338697403
GATS1p,1.0153841602779365
GATS1s,0.7240074327379287
GATS1v,0.9323633805418279
GATS2Z,0.8477659694956209
GATS2c,0.791297104426211
GATS2d,1.4545276303088805
GATS2i,1.0623973126417656
GATS2m,0.8545751208743245
GATS2p,1.0207886626403475
GATS2s,0.4698608267413112
GATS2v,0.9916051954453533
GATS3Z,0.9414376321353067
GATS3c,0.7572964971960324
GATS3d,1.4013513513513518
GATS3i,1.1104146578635223
GATS3m,0.9466290045321394
GATS3p,1.0877051383121072
GATS3s,0.8050825495519025
GATS3v,1.0554611432268226
GATS4Z,1.0777926140227245
GATS4c,1.053293114761218
GATS4d,1.0600822862336023
GATS4i,1.126403814824986
GATS4m,1.075725868824754
GATS4p,1.0553208683828907
GATS4s,1.2375293389515687
GATS4v,1.0469088047206494
GATS5Z,1.0407903905890137
GATS5c,0.8554670180777589
GATS5d,0.977014287332025
GATS5i,0.9842110542831745
GATS5m,1.041460669285953
GATS5p,0.9914745039763159
GATS5s,0.9470549249464333
GATS5v,1.0160794413760985
GATS6Z,0.9808146582100072
GATS6c,0.965504036531959
GATS6d,1.0221621621621624
GATS6i,1.0429439606258486
GATS6m,0.9831752142354396
GATS6p,1.0744370119680138
GATS6s,1.0101212528584596
GATS6v,1.036753958789493
GATS7Z,1.0490387425015901
GATS7c,0.9870104217011525
GATS7d,0.9787280611404089
GATS7i,0.9758493476752964
GATS7m,1.0445923057716666
GATS7p,0.9968152835607542
GATS7s,1.513667316010892
GATS7v,0.9893184506431916
GATS8Z,1.1271428712232097
GATS8c,1.2663595355483217
GATS8d,0.865576568701569
GATS8i,0.8092633817617914
GATS8m,1.1172453467987093
GATS8p,0.823830040130089
GATS8s,1.546479938873852
GATS8v,0.9062066352291889
MATS1Z,0.013268282105491405
MATS1c,-0.5768875997691814
MATS1d,0.3614864864864863
MATS1i,0.014196780969112581
MATS1m,0.015598124129842314
MATS1p,0.056692130506638
MATS1s,-0.06966058098299967
MATS1v,0.05329664139413606
MATS2Z,0.018977146884123615
MATS2c,0.05842853984171951
MATS2d,-0.08735521235521249
MATS2i,0.03135857030933184
MATS2m,0.017349707364748626
MATS2p,0.021538407069121107
MATS2s,0.1412382467977165
MATS2v,-9.571359143035235e-05
MATS3Z,-0.022579281183932355
MATS3c,0.0687208909995016
MATS3d,-0.16385135135135143
MATS3i,-0.07087593512795438
MATS3m,-0.024160295882616607
MATS3p,-0.07594814231249289
MATS3s,-0.01467317669200716
MATS3v,-0.06238397755867853
MATS4Z,-0.1037111218261769
MATS4c,-0.10625651964738701
MATS4d,-0.07335625098782995
MATS4i,-0.10874528784656551
MATS4m,-0.10244605905107732
MATS4p,-0.07701285132017388
MATS4s,-0.14213177888859763
MATS4v,-0.08185483686325287
MATS5Z,-0.056187967763906464
MATS5c,0.06141559917599489
MATS5d,-0.041050128340631147
MATS5i,0.039432191966447455
MATS5m,-0.05727345685438071
MATS5p,-0.02967998471534209
MATS5s,0.09065095143048377
MATS5v,-0.05082984799798324
MATS6Z,-0.0010840632235981054
MATS6c,-0.06373430112251917
MATS6d,-0.06311776061776063
MATS6i,-0.06767424560702448
MATS6m,-0.002185864888293056
MATS6p,-0.0904276586891765
MATS6s,-0.03739833598797285
MATS6v,-0.0422367449213898
MATS7Z,-0.010172914625552157
MATS7c,0.11158629427026252
MATS7d,0.006107860909690203
MATS7i,-0.05020523567012064
MATS7m,-0.009897319929030379
MATS7p,-0.026508860865791222
MATS7s,-0.06415767684816466
MATS7v,-0.017535598100302172
MATS8Z,-0.08223855073749367
MATS8c,-0.10044388240129966
MATS8d,0.07219807219807223
MATS8i,0.13569147718050265
MATS8m,-0.07697362792628787
MATS8p,0.13397557461821452
MATS8s,-0.17987889362828396
MATS8v,0.05603984330056986
MAXaaN,3.9289659545441955
MAXsOH,9.8414205564891
MAXssO,5.4273827028113315
MINaaN,3.9289659545441955
MINsOH,9.529516501597868
MINssO,5.4273827028113315
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,5
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,1
NssssN,0
Radius,9
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,44.08823092522085
SpAD_D,456.33070365538185
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,3.139426829848144
SssNH2,0
SsssAs,0
SsssCH,-1.0628142584194176
SsssNH,0
SssssB,0
SssssC,-0.8312299092614954
SssssN,0
TMPC10,974
TMWC10,149.40380409438683
TSRW10,84.04473059389777
VE1_Dt,5.732159348173408
VE2_Dt,0.16859292200510023
VE3_Dt,2.969867740952753
VR1_Dt,233.21736606459663
VR2_Dt,6.859334296017548
VR3_Dt,6.675746351870391
Xc-3dv,1.1059216044210278
Xc-4dv,0.0625
Xc-5dv,0.22189264820861562
Xc-6dv,0.03359109241032905
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.125
Xch-6d,0.3943375672974064
Xch-7d,0.6060047343020142
Xp-0dv,19.030122794099714
Xp-1dv,11.343974951943382
Xp-2dv,8.659902847763268
Xp-3dv,6.607368353540445
Xp-4dv,4.730209775181208
Xp-5dv,3.0216965808168426
Xp-6dv,1.747898413738993
Xp-7dv,1.0190708880904071
Xpc-4d,6.018560152279566
Xpc-5d,9.230630388020934
Xpc-6d,14.133551991589135
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,65
nFRing,0
nHBAcc,5
nHBDon,3
nHRing,1
nSpiro,0
naRing,3
piPC10,7.100562037999006
AATS0dv,7.612903225806452
AATS0pe,6.269979032258062
AATS0se,7.7237544516129
AATS1dv,7.092307692307692
AATS1pe,6.481253846153847
AATS1se,7.754494092307688
AATS2dv,5.758928571428571
AATS2pe,6.336658928571426
AATS2se,7.683371571428569
AATS3dv,4.309677419354839
AATS3pe,6.1922045161290304
AATS3se,7.6152711741935475
AATS4dv,3.8362573099415203
AATS4pe,6.245637426900585
AATS4se,7.711367555555555
AATS5dv,3.782122905027933
AATS5pe,6.2005301675977655
AATS5se,7.684419329608936
AATS6dv,3.3142857142857145
AATS6pe,6.068274285714287
AATS6se,7.570923108571428
AATS7dv,3.298780487804878
AATS7pe,6.174126219512193
AATS7se,7.712590512195123
AATS8dv,3.265734265734266
AATS8pe,6.179704195804195
AATS8se,7.727006293706294
AATSC0Z,7.38293444328824
AATSC0c,0.025554247252420267
AATSC0d,0.6160249739854318
AATSC0i,1.4359206778681428
AATSC0m,35.0813046680541
AATSC0p,0.23258855229350883
AATSC0s,1.8333857237830955
AATSC0v,50.33903006634065
AATSC1Z,0.09795885695989749
AATSC1c,-0.014741928361356925
AATSC1d,0.22268470343392283
AATSC1i,0.020385451352713687
AATSC1m,0.5472025448491245
AATSC1p,0.013185940560973601
AATSC1s,-0.1277147146846678
AATSC1v,2.682901233574391
AATSC2Z,0.14010703136613634
AATSC2c,0.0014930973537131888
AATSC2d,-0.05381299241861164
AATSC2i,0.0450284195355516
AATSC2m,0.6086503699643286
AATSC2p,0.005009586918915155
AATSC2s,0.25894418533108693
AATSC2v,-0.004818129356769951
AATSC3Z,-0.16670135275754425
AATSC3c,0.0017561106400078865
AATSC3d,-0.1009365244536941
AATSC3i,-0.10177222081347077
AATSC3m,-0.8475747007284062
AATSC3p,-0.017664668469844103
AATSC3s,-0.02690159266967279
AATSC3v,-3.1403489219842387
AATSC4Z,-0.7656924134825441
