DLiP-ID,I000AG
MZ,0.641509433962264
Mi,1.1199210349803006
Mm,0.6039793711110726
Mp,0.6924079990961475
Mv,0.6461997549819696
SZ,33.99999999999999
Si,59.35581485395593
Sm,32.01090666888685
Sp,36.69762395209582
Sv,34.24858701404439
nB,0
nC,24
nF,0
nH,24
nI,0
nN,4
nO,1
nP,0
nS,0
nX,0
ABC,23.241713006297843
AMW,7.248962479018881
IC0,1.424558189759133
IC1,3.579481108654985
IC2,4.760293803334061
IC3,5.41179050169219
IC4,5.576977058336784
IC5,5.576977058336784
MID,60.78671781224631
Mpe,0.9589345172031075
Mse,0.9931564265002957
NdO,0
NdS,0
NsF,0
NsI,0
NtN,0
SMR,117.73490000000001
SdO,0
SdS,0
Spe,50.823529411764696
SsF,0
SsI,0
Sse,52.63729060451567
StN,0
fMF,0.5283018867924528
nBr,0
nCl,0
AMID,2.096093717663666
BIC0,0.234839638032363
BIC1,0.5900805273825627
BIC2,0.7847385117288113
BIC3,0.8921383006048076
BIC4,0.9193694459866526
BIC5,0.9193694459866526
CIC0,4.303362264804066
CIC1,2.148439345908214
CIC2,0.9676266512291374
CIC3,0.31612995287100887
CIC4,0.15094339622641506
CIC5,0.15094339622641506
GGI1,4.5
GGI2,3.333333333333335
GGI3,1.7986111111111112
GGI4,0.9777777777777779
GGI5,0.5036111111111111
GGI6,0.45315192743764177
GGI7,0.34208475056689347
GGI8,0.1788942428823381
GGI9,0.11937500000000001
JGI1,0.13636363636363635
JGI2,0.07246376811594205
JGI3,0.04087752525252524
JGI4,0.027160493827160494
JGI5,0.01678703703703704
JGI6,0.01510506424792139
JGI7,0.011796025881617012
JGI8,0.007155769715293523
JGI9,0.00568452380952381
MIC0,12.408169754839488
MIC1,30.48240855468291
MIC2,38.75968918358967
MIC3,41.23394553829513
MIC4,41.400453587392875
MIC5,41.400453587392875
MPC2,46
MPC3,63
MPC4,83
MPC5,98
MPC6,99
MPC7,111
MPC8,124
MPC9,121
Mare,0.9704150943396228
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.17644602127875658
RPCG,0.0962636010034595
SIC0,0.24870425507118313
SIC1,0.6249180897411659
SIC2,0.8310684202225139
SIC3,0.9448089484868525
SIC4,0.9736477841436914
SIC5,0.9736477841436914
SaaN,4.328148349370993
SaaO,0
SaaS,0
Sare,51.43200000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,10.017132305319315
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,75.50158405723406
TIC1,189.7124987587142
TIC2,252.29557157670524
TIC3,286.8248965896861
TIC4,295.57978409184955
TIC5,295.57978409184955
Vabc,344.6904894465603
WPol,44
apol,61.28503199999999
bpol,26.926967999999995
nRot,6
ABCGG,16.709335677453815
ATS0Z,1148.0
ATS0d,182.0
ATS0i,8511.499731784477
ATS0m,4527.476637000002
ATS0p,83.08751371637598
ATS0s,164.75
ATS0v,12100.062978177333
ATS1Z,1397.0
ATS1d,236.0
ATS1i,8346.233106588052
ATS1m,5301.033429000001
ATS1p,107.97501108600002
ATS1s,168.75
ATS1v,15672.862675853885
ATS2Z,2056.0
ATS2d,374.0
ATS2i,14664.558894683045
ATS2m,7640.882985999999
ATS2p,166.14509413539602
ATS2s,269.8055555555555
ATS2v,23395.50572498156
ATS3Z,2148.0
ATS3d,407.0
ATS3i,20686.14996113478
ATS3m,7718.54598
ATS3p,183.12063411897998
ATS3s,340.9444444444444
ATS3v,24729.89641942832
ATS4Z,1875.0
ATS4d,367.0
ATS4i,20739.30437540778
ATS4m,6511.690804
ATS4p,173.70087503928195
ATS4s,318.8888888888889
ATS4v,22774.495979070747
ATS5Z,1609.0
ATS5d,335.0
ATS5i,20497.272814723776
ATS5m,5516.413669999999
ATS5p,160.40621922662098
ATS5s,290.2777777777777
ATS5v,20286.104265650192
ATS6Z,1489.0
ATS6d,303.0
ATS6i,18484.317398002917
ATS6m,5226.851494
ATS6p,144.692685272017
ATS6s,255.30555555555557
ATS6v,18627.173005663655
ATS7Z,1439.0
ATS7d,282.0
ATS7i,16048.268363030227
ATS7m,5099.939485
ATS7p,132.87311594152698
ATS7s,241.47222222222223
ATS7v,17390.760861692786
ATS8Z,1280.0
ATS8d,252.0
ATS8i,14796.38954038498
ATS8m,4483.710420999999
ATS8p,117.19079193897998
ATS8s,229.08333333333337
ATS8v,15355.488454849019
C1SP1,0
C1SP2,2
C1SP3,1
C2SP1,0
C2SP2,14
C2SP3,4
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.20833333333333334
GGI10,0.09346393225181104
JGI10,0.005192440680656169
JGT10,0.33858628493131315
Kier1,20.877869605142333
Kier2,9.646502835538753
Kier3,4.768959435626102
MID_C,50.771976456868195
MID_N,8.236365641001846
MID_O,1.7783757143762835
MID_X,0.0
MID_h,10.014741355378131
MPC10,132
MWC01,33.0
MWC02,5.0689042022202315
MWC03,5.932245187448011
MWC04,6.810142450115136
MWC05,7.684783943522785
MWC06,8.5657928612523
MWC07,9.444226019822295
MWC08,10.32636681689808
MWC09,11.206739920953888
MWC10,12.089578154343679
NaaCH,11
NaaNH,1
NaaSe,0
NaaaC,2
NaasC,6
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,2
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.940700000000003
SRW02,4.204692619390966
SRW03,0.0
SRW04,5.5254529391317835
SRW05,3.044522437723423
SRW06,7.039660349862076
SRW07,5.41610040220442
SRW08,8.641002477142523
SRW09,7.515889085215125
SRW10,10.28762687392954
SaaCH,22.57740693172694
SaaNH,3.3317017668411326
SaaSe,0
SaaaC,2.483233793219762
SaasC,6.436064133049527
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,6.969064930658372
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.9315231308325673
VE1_D,5.318130565668484
VE2_A,0.1355697631321575
VE2_D,0.18338381260925807
VE3_A,2.4337376528869905
VE3_D,2.7358325811607007
VR1_A,714.3678633463621
VR1_D,185.84030300578826
VR2_A,24.633374598150418
VR2_D,6.4082863105444225
VR3_A,7.636108781425268
VR3_D,6.289598455919182
WPath,2734
Xc-3d,1.552198841323242
Xc-4d,0.0
Xc-5d,0.3559047456524247
Xc-6d,0.0
Xp-0d,19.631181265251037
Xp-1d,14.275989583278104
Xp-2d,12.672505196577841
Xp-3d,11.225373280581417
Xp-4d,9.580555372932169
Xp-5d,7.574434382883767
Xp-6d,5.041043969124089
Xp-7d,3.731754883039186
ZMIC0,95.69352687620189
ZMIC1,53.8051762336346
ZMIC2,30.06286680678496
ZMIC3,23.270446762387547
ZMIC4,22.609795025799965
ZMIC5,22.609795025799965
nAcid,0
nAtom,53
nBase,0
nRing,5
piPC1,3.8066624897703196
piPC2,4.433788569232471
piPC3,5.057041666910411
piPC4,5.6447841338942455
piPC5,6.121807267566649
piPC6,6.287945684619126
piPC7,6.631002843185574
piPC8,6.981894779656687
piPC9,7.029077184334942
AATS0Z,21.660377358490567
AATS0d,3.4339622641509435
AATS0i,160.59433456197127
AATS0m,85.42408749056607
AATS0p,1.5676889380448298
AATS0s,3.108490566037736
AATS0v,228.3030750599497
AATS1Z,24.50877192982456
AATS1d,4.140350877192983
AATS1i,146.42514222084301
AATS1m,93.00058647368422
AATS1p,1.8942984401052636
AATS1s,2.960526315789474
AATS1v,274.9625030851559
AATS2Z,20.979591836734695
AATS2d,3.816326530612245
AATS2i,149.63835606819433
AATS2m,77.96819373469387
AATS2p,1.6953581034224083
AATS2s,2.753117913832199
AATS2v,238.7296502549139
AATS3Z,16.396946564885496
AATS3d,3.1068702290076335
AATS3i,157.90954168805175
AATS3m,58.92019832061069
AATS3p,1.3978674360227479
AATS3s,2.602629346904156
AATS3v,188.7778352628116
AATS4Z,14.423076923076923
AATS4d,2.8230769230769233
AATS4i,159.53311058005986
AATS4m,50.08992926153846
AATS4p,1.3361605772252458
AATS4s,2.452991452991453
AATS4v,175.18843060823653
AATS5Z,12.5703125
AATS5d,2.6171875
AATS5i,160.1349438650295
AATS5m,43.09698179687499
AATS5p,1.2531735877079764
AATS5s,2.2677951388888884
AATS5v,158.48518957539213
AATS6Z,12.947826086956521
AATS6d,2.634782608695652
AATS6i,160.73319476524276
AATS6m,45.450882556521734
AATS6p,1.2581972632349305
AATS6s,2.220048309178744
AATS6v,161.9754174405535
AATS7Z,14.247524752475247
AATS7d,2.792079207920792
AATS7i,158.8937461686161
AATS7m,50.494450346534656
AATS7p,1.3155754053616533
AATS7s,2.390814081408141
AATS7v,172.18575110586917
AATS8Z,13.91304347826087
AATS8d,2.739130434782609
AATS8i,160.8303210911411
AATS8m,48.73598283695651
AATS8p,1.273812955858478
AATS8s,2.4900362318840585
AATS8v,166.90748320488063
AMID_C,1.750757808857524
AMID_N,0.2840126083104085
AMID_O,0.061323300495733916
AMID_X,0.0
AMID_h,0.34533590880614246
ATS0dv,350.0
ATS0pe,321.0199999999999
ATS0se,396.37377999999984
ATS1dv,390.0
ATS1pe,366.68
ATS1se,437.83241199999986
ATS2dv,540.0
ATS2pe,614.8075
ATS2se,743.3617679999999
ATS3dv,495.0
ATS3pe,799.4631
ATS3se,985.692568
ATS4dv,380.0
ATS4pe,786.0080999999999
ATS4se,974.107008
ATS5dv,337.0
ATS5pe,748.5582999999999
ATS5se,939.4473999999999
ATS6dv,334.0
ATS6pe,667.915
ATS6se,840.820848
ATS7dv,330.0
ATS7pe,595.7855000000002
ATS7se,743.7593
ATS8dv,286.0
ATS8pe,548.8580000000001
ATS8se,685.0058760000001
ATSC0Z,362.7924528301886
ATSC0c,0.8536394430523773
ATSC0d,29.169811320754718
ATSC0i,82.9938175698434
ATSC0m,1738.2846126792456
ATSC0p,12.222322258998188
ATSC0s,34.24633123689729
ATSC0v,2727.0289329198154
ATSC1Z,12.864720541117837
ATSC1c,-0.4014070570132868
ATSC1d,9.798504805980775
ATSC1i,1.6412021580731073
ATSC1m,66.16379360911367
ATSC1p,1.1462797925190844
ATSC1s,-4.471945334440883
ATSC1v,227.72447273534675
ATSC2Z,-29.38981844072624
ATSC2c,-0.02469723234931146
ATSC2d,-3.9743681025275928
ATSC2i,-24.81773609030445
ATSC2m,-142.74444019935905
ATSC2p,-2.130785761623438
ATSC2s,-2.5314762074285024
ATSC2v,-379.6985567812244
ATSC3Z,-37.392666429334284
ATSC3c,0.042760072355125925
ATSC3d,-15.061231755072985
ATSC3i,-20.7706801236487
ATSC3m,-182.03627466002126
ATSC3p,-2.0396631270150682
ATSC3s,0.5305565444404884
ATSC3v,-409.67392702370046
ATSC4Z,-178.9437522249911
ATSC4c,-0.2312147491586786
ATSC4d,-12.095763616945534
ATSC4i,-1.624807408630872
ATSC4m,-853.7012434396581
ATSC4p,-3.4788233128500092
ATSC4s,-11.695403662829795
ATSC4v,-1008.715405857857
ATSC5Z,-47.32894268422926
ATSC5c,0.3882308164049564
ATSC5d,-0.6176575293698812
ATSC5i,6.583145282183511
ATSC5m,-234.67058833855478
ATSC5p,-1.917684085254325
ATSC5s,3.675002966654799
ATSC5v,-503.5439464656455
ATSC6Z,78.86543253826986
ATSC6c,-0.3088145247322137
ATSC6d,6.310786756852973
ATSC6i,7.473349709237251
ATSC6m,382.13040518654316
ATSC6p,2.7766505996788906
ATSC6s,-0.5402575056366431
ATSC6v,659.5454103285821
ATSC7Z,29.30117479530081
ATSC7c,0.15284869115263905
ATSC7d,-0.719829120683517
ATSC7i,-12.368395833465154
ATSC7m,136.7501364225703
ATSC7p,-0.7177056150496237
ATSC7s,5.552064791740833
ATSC7v,9.090759836753248
ATSC8Z,-20.54538981844073
ATSC8c,-0.12191065280864072
ATSC8d,-0.6343894624421498
ATSC8i,-4.375218553521285
ATSC8m,-95.63116631114279
ATSC8p,-0.2884817343021396
ATSC8s,-2.0601934258929635
ATSC8v,-65.57630455620911
AXp-0d,0.6769372850086565
AXp-1d,0.43260574494782134
AXp-2d,0.2754892434038661
AXp-3d,0.1781805282631971
AXp-4d,0.11542837798713457
AXp-5d,0.07729014676412006
AXp-6d,0.05091963605175847
AXp-7d,0.033619413360713384
GATS1Z,0.8411362815192758
GATS1c,1.4827790682345936
GATS1d,0.7193209414221193
GATS1i,1.1171660802779237
GATS1m,0.8399030570893654
GATS1p,0.8980150673475299
GATS1s,0.9926647754030477
GATS1v,0.8564581358322824
GATS2Z,0.9426314940371824
GATS2c,0.9619954650366909
GATS2d,1.2642368719803574
GATS2i,1.2436060183087654
GATS2m,0.9447602092249452
GATS2p,1.0804665422616413
GATS2s,0.8556124479114284
GATS2v,1.0270866564481795
GATS3Z,1.0153640444834746
GATS3c,1.0684175342177569
GATS3d,1.3131844800173804
GATS3i,1.1274154619424372
GATS3m,1.0149690437692018
GATS3p,1.0297025244519262
GATS3s,0.9866772619273199
GATS3v,1.0167800470525663
GATS4Z,1.1797378822550448
GATS4c,1.2435002761037328
GATS4d,1.0833117723156531
GATS4i,1.0312793972398808
GATS4m,1.178006529117134
GATS4p,1.072102500264041
GATS4s,1.0443941109852768
GATS4v,1.1073673076140234
GATS5Z,1.0330028149053465
GATS5c,0.6956781505287615
GATS5d,0.8982960058214747
GATS5i,0.9143024276717279
GATS5m,1.0367619450061663
GATS5p,1.059007732506203
GATS5s,0.710931282712497
GATS5v,1.080378554944948
GATS6Z,0.8880391819900328
GATS6c,0.9863096908417627
GATS6d,0.8215760166488554
GATS6i,0.8891082425316416
GATS6m,0.8888523979277568
GATS6p,0.89664670295049
GATS6s,0.8037674682905855
GATS6v,0.9022999866971059
GATS7Z,0.9274047542053978
GATS7c,0.7529847102888528
GATS7d,0.9531079886772637
GATS7i,1.0458779588028049
GATS7m,0.9305146724374553
GATS7p,1.0216786481922102
GATS7s,0.64206728285084
GATS7v,0.9959591561955772
GATS8Z,1.032929785367354
GATS8c,1.1375303493650148
GATS8d,0.9591512458518476
GATS8i,1.0059661243740476
GATS8m,1.0308148561816544
GATS8p,0.9840117714757878
GATS8s,1.1190944502038098
GATS8v,0.9889544288667266
MATS1Z,0.03297183566363382
MATS1c,-0.4372316014323997
MATS1d,0.3123397108554049
MATS1i,0.018387274154735556
MATS1m,0.035391626851349466
MATS1p,0.08720430395623728
MATS1s,-0.1214181040431263
MATS1v,0.07764633716418846
MATS2Z,-0.04381153335059841
MATS2c,-0.01564673069330993
MATS2d,-0.07368587797344041
MATS2i,-0.16172092401785848
MATS2m,-0.04441075024089335
MATS2p,-0.0942835333421633
MATS2s,-0.03997694391643587
MATS2v,-0.07530069673574484
MATS3Z,-0.04169968414382969
MATS3c,0.02026602301767198
MATS3d,-0.20889663549371446
MATS3i,-0.10125338466868465
MATS3m,-0.042368357434996694
MATS3p,-0.06751640169847278
MATS3s,0.006267901991190909
MATS3v,-0.06077894441824757
MATS4Z,-0.20109015698260552
MATS4c,-0.11042656876296178
MATS4d,-0.16905662254950743
MATS4i,-0.007981576235155325
MATS4m,-0.2002246510605969
MATS4p,-0.11604091877265477
MATS4s,-0.13923027479086367
MATS4v,-0.15080350144237528
MATS5Z,-0.054017497269606835
MATS5c,0.1883134896425046
MATS5d,-0.00876758570504526
MATS5i,0.03284381503610418
MATS5m,-0.05589895335618591
MATS5p,-0.06496646461485979
MATS5s,0.04443339945976551
MATS5v,-0.07645634515149531
MATS6Z,0.10018587024357598
MATS6c,-0.16672521039707636
MATS6d,0.09970752010799258
MATS6i,0.04149995182852255
MATS6m,0.10131383112413511
MATS6p,0.10469972297551812
MATS6s,-0.007270508481794101
MATS6v,0.1114635795865233
MATS7Z,0.042381984193842724
MATS7c,0.0939597269942111
MATS7d,-0.012949419133375169
MATS7i,-0.07820276881455736
MATS7m,0.04128206166858698
MATS7p,-0.030813931265727155
MATS7s,0.08507363086711164
MATS7v,0.0017493025719787323
MATS8Z,-0.03262452401841518
MATS8c,-0.08227260058764532
MATS8d,-0.012528826143202644
MATS8i,-0.030369808431747247
MATS8m,-0.03169323777416205
MATS8p,-0.013597298516972217
MATS8s,-0.03465628339452751
MATS8v,-0.013853044702126
MAXaaN,4.328148349370993
MAXsOH,10.017132305319315
MINaaN,4.328148349370993
MINsOH,10.017132305319315
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,9
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,39.21327969887466
SpAD_D,388.0664783435244
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,3.458661247156244
SssNH2,0
SsssAs,0
SsssCH,-0.4347467906756164
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,939
TMWC10,139.12877955657643
TSRW10,80.67494718459986
VE1_Dt,5.3053741568716255
VE2_Dt,0.18294393644384915
VE3_Dt,2.7334310356705847
VR1_Dt,187.84243582574007
VR2_Dt,6.477325373301381
VR3_Dt,6.300314241104194
Xc-3dv,0.7294602532313784
Xc-4dv,0.0
Xc-5dv,0.11904582178933933
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.19245008972987526
Xch-6d,0.6586541758070458
Xch-7d,0.9386336971845346
Xp-0dv,16.15105754602162
Xp-1dv,10.095664385436114
Xp-2dv,7.515403445699439
Xp-3dv,5.634828354212419
Xp-4dv,4.100246058488739
Xp-5dv,2.63960532281
Xp-6dv,1.489651460164398
Xp-7dv,0.9195440527047795
Xpc-4d,4.084582426678773
Xpc-5d,6.721952856519892
Xpc-6d,9.440605817811107
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,57
nFRing,2
nHBAcc,4
nHBDon,4
nHRing,2
nSpiro,0
naRing,4
piPC10,7.345478314449719
AATS0dv,6.60377358490566
AATS0pe,6.05698113207547
AATS0se,7.478750566037733
AATS1dv,6.842105263157895
AATS1pe,6.432982456140351
AATS1se,7.68127038596491
AATS2dv,5.510204081632653
AATS2pe,6.273545918367347
AATS2se,7.585324163265305
AATS3dv,3.7786259541984735
AATS3pe,6.1027717557251915
AATS3se,7.524370748091603
AATS4dv,2.923076923076923
AATS4pe,6.046216153846153
AATS4se,7.49313083076923
AATS5dv,2.6328125
AATS5pe,5.848111718749999
AATS5se,7.339432812499999
AATS6dv,2.9043478260869566
AATS6pe,5.80795652173913
AATS6se,7.311485634782608
AATS7dv,3.267326732673267
AATS7pe,5.898866336633665
AATS7se,7.363953465346535
AATS8dv,3.108695652173913
AATS8pe,5.965847826086957
AATS8se,7.445716043478262
AATSC0Z,6.845140619437521
AATSC0c,0.01610640458589391
AATSC0d,0.550373798504806
AATSC0i,1.5659210862234605
AATSC0m,32.79782288074048
AATSC0p,0.23060985394336203
AATSC0s,0.6461571931490054
AATSC0v,51.4533760928267
AATSC1Z,0.22569685159855854
AATSC1c,-0.007042229070408541
AATSC1d,0.171903593087382
AATSC1i,0.02879302031707206
AATSC1m,1.1607683089318188
AATSC1p,0.020110171798580427
AATSC1s,-0.0784551813059804
AATSC1v,3.9951661883394167
AATSC2Z,-0.29989610653802284
AATSC2c,-0.0002520125749929741
AATSC2d,-0.04055477655640401
AATSC2i,-0.2532422050031066
AATSC2m,-1.4565759204016229
AATSC2p,-0.021742711853300387
AATSC2s,-0.02583138987171941
AATSC2v,-3.8744750691961674
AATSC3Z,-0.2854402017506434
AATSC3c,0.00032641276606966353
AATSC3d,-0.1149712347715495
AATSC3i,-0.15855481010418854
AATSC3m,-1.3895898829009257
AATSC3p,-0.01556994753446617
AATSC3s,0.00405004995756098
AATSC3v,-3.1272818856771027
AATSC4Z,-1.3764904017307007
AATSC4c,-0.001778574993528297
AATSC4d,-0.09304433551496565
AATSC4i,-0.012498518527929783
AATSC4m,-6.566932641843524
AATSC4p,-0.026760179329615455
AATSC4s,-0.0899646435602292
AATSC4v,-7.75934927582967
AATSC5Z,-0.3697573647205411
AATSC5c,0.0030330532531637217
