DLiP-ID,T001MM
ATS6i,26311.66574987463
ATS6m,9217.876954999998
ATS6p,174.50441494069509
ATS6s,532.9197530864195
ATS6v,23583.820363411007
ATS7Z,2674.0
ATS7d,356.0
ATS7i,22303.10695482928
ATS7m,9749.676952
ATS7p,159.70179120813103
ATS7s,628.4861111111112
ATS7v,23066.254126436623
ATS8Z,2275.0
ATS8d,330.0
ATS8i,23485.517439167736
ATS8m,8020.2470269999985
ATS8p,150.04682552916802
ATS8s,531.2700617283951
ATS8v,20795.969966251138
C1SP1,0
C1SP2,4
C1SP3,5
C2SP1,0
C2SP2,4
C2SP3,4
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.42857142857142855
GGI10,0.18039383736353434
JGI10,0.006013127912117814
JGT10,0.536329832446547
Kier1,28.569444444444443
Kier2,12.9919261822376
Kier3,8.258064516129032
MAXdO,12.886014193842719
MID_C,42.76474332489047
MID_N,12.07255719703283
MID_O,10.709875038676659
MID_X,0.0
MID_h,25.01358986895704
MINdO,11.686258683869719
MPC10,84
MWC01,36.0
MWC02,5.1647859739235145
MWC03,5.993961427306569
MWC04,6.876264611890766
MWC05,7.720017940432244
MWC06,8.606485298894999
MWC07,9.456497077599392
MWC08,10.346344779861354
MWC09,11.200199051412186
MWC10,12.09299912766519
NaaCH,4
NaaNH,1
NaaSe,0
NaaaC,0
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,3
NdssS,0
NsCH3,3
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,3
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,0.829760000000002
SRW02,4.290459441148391
SRW03,0.0
SRW04,5.6240175061873385
SRW05,3.044522437723423
SRW06,7.1204443723924875
SRW07,5.209486152841421
SRW08,8.70167907103957
SRW09,7.1252830915107115
SRW10,10.33439296112607
SaaCH,6.719168444626715
SaaNH,2.9083879194182334
SaaSe,0
SaaaC,0
SaasC,2.5438409151660766
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.9234839490449145
SdssS,0
SsCH3,5.129824268106438
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,7.670860738888004
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.0396924016933
VE1_D,5.74044907222838
VE2_A,0.1188144824027441
VE2_D,0.16883673741848176
VE3_A,2.619943982501787
VE3_D,2.9713128744732047
VR1_A,3399.785854557147
VR1_D,223.96036499526664
VR2_A,99.99370160462198
VR2_D,6.587069558684313
VR3_A,9.355243156289015
VR3_D,6.635244525835659
WPath,4088
Xc-3d,3.2173987334287775
Xc-4d,0.2041241452319315
Xc-5d,0.6529083687052709
Xc-6d,0.06804138174397717
Xp-0d,24.880104409694468
Xp-1d,16.06338783061712
Xp-2d,15.328907215925655
Xp-3d,11.486690698108214
Xp-4d,9.842566436183187
Xp-5d,5.824294312614423
Xp-6d,4.3509670745515665
Xp-7d,2.4531835553943675
ZMIC0,112.04046102011127
ZMIC1,42.97008038622743
ZMIC2,32.75151233814791
ZMIC3,29.400618612930224
ZMIC4,27.53827900350589
ZMIC5,27.53827900350589
nAcid,1
nAtom,62
nBase,0
nRing,3
piPC1,3.8607297110405954
piPC2,4.43970574626056
piPC3,4.841229962568847
piPC4,5.304237309059027
piPC5,5.444309858673831
piPC6,5.646991640309456
piPC7,5.522959793985982
piPC8,5.62040086571715
piPC9,5.671818699450803
AATS0Z,27.70967741935484
AATS0d,3.2580645161290325
AATS0i,166.5782844103883
AATS0m,109.65845537096777
AATS0p,1.4604078279963222
AATS0s,6.098916157794593
AATS0v,211.60010836588486
AATS1Z,29.96875
AATS1d,3.875
AATS1i,150.78672868778213
AATS1m,114.66693712500003
AATS1p,1.7779005674375006
AATS1s,3.1879099151234565
AATS1v,258.14992542425415
AATS2Z,23.6875
AATS2d,3.4910714285714284
AATS2i,158.24377008233947
AATS2m,89.09085300000004
AATS2p,1.5034964074914028
AATS2s,3.969273589065255
AATS2v,213.4991829301266
AATS3Z,20.53846153846154
AATS3d,2.93006993006993
AATS3i,161.44953437112005
AATS3m,74.89364656643356
AATS3p,1.3720405263107203
AATS3s,3.3342937926271254
AATS3v,185.1688533085976
AATS4Z,19.9375
AATS4d,2.7375
AATS4i,163.41137054480583
AATS4m,71.54176097499999
AATS4p,1.266336292218269
AATS4s,3.653115354938271
AATS4v,172.51394060627578
AATS5Z,16.920245398773005
AATS5d,2.4294478527607364
AATS5i,166.10966992168588
AATS5m,58.68511976073619
AATS5p,1.1571800507897858
AATS5s,4.669753086419754
AATS5v,158.90292431593238
AATS6Z,16.088607594936708
AATS6d,2.5
AATS6i,166.52953006249766
AATS6m,58.34099338607594
AATS6p,1.1044583224094626
AATS6s,3.372909829660883
AATS6v,149.26468584437347
AATS7Z,19.807407407407407
AATS7d,2.637037037037037
AATS7i,165.20819966540208
AATS7m,72.21982927407407
AATS7p,1.182976231171341
AATS7s,4.65545267489712
AATS7v,170.86114167730832
AATS8Z,16.366906474820144
AATS8d,2.3741007194244603
AATS8i,168.96055711631465
AATS8m,57.699618899280566
AATS8p,1.0794735649580434
AATS8s,3.8220867750244256
AATS8v,149.61129472123122
AMID_C,1.2577865683791314
AMID_N,0.3550752116774362
AMID_O,0.31499632466696054
AMID_X,0.0
AMID_h,0.7356938196752071
ATS0dv,520.4444444444445
ATS0pe,405.18009999999987
ATS0se,496.53178899999983
ATS1dv,431.33333333333337
ATS1pe,429.13070000000005
ATS1se,513.1688559999998
ATS2dv,681.3333333333333
ATS2pe,736.2722999999997
ATS2se,891.7959339999998
ATS3dv,581.3333333333333
ATS3pe,925.142
ATS3se,1135.5083839999998
ATS4dv,583.6666666666667
ATS4pe,1040.2936000000002
ATS4se,1285.654768
ATS5dv,677.3333333333333
ATS5pe,1082.6303000000003
ATS5se,1332.1117439999994
ATS6dv,625.6666666666667
ATS6pe,971.9701999999999
ATS6se,1220.0617559999998
ATS7dv,687.6666666666667
ATS7pe,899.4245999999998
ATS7se,1099.6883719999998
ATS8dv,555.0
ATS8pe,902.0030999999999
ATS8se,1122.1377480000003
ATSC0Z,627.6774193548388
ATSC0c,1.6630105608544041
ATSC0d,40.70967741935486
ATSC0i,95.51067987573326
ATSC0m,2885.8163684677424
ATSC0p,15.850084218713677
ATSC0s,154.22131095402446
ATSC0v,2936.549744181175
ATSC1Z,108.01040582726326
ATSC1c,-1.0208249567438443
ATSC1d,11.267429760665983
ATSC1i,-13.4410184371976
ATSC1m,467.43658842039645
ATSC1p,-0.6724276591916649
ATSC1s,-22.762516789923627
ATSC1v,84.23962738076327
ATSC2Z,122.93756503642037
ATSC2c,0.39116902965351147
ATSC2d,-3.1207075962538955
ATSC2i,7.5127418961720505
ATSC2m,569.1131938969829
ATSC2p,0.9484161353499705
ATSC2s,64.57066746815802
ATSC2v,188.30123446843044
ATSC3Z,-50.159209157127975
ATSC3c,-0.16343703524905753
ATSC3d,-17.056191467221637
ATSC3i,1.3642108555326833
ATSC3m,-250.95350396592033
ATSC3p,0.2280137095724868
ATSC3s,-28.090501859024595
ATSC3v,-605.8911427044095
ATSC4Z,-236.264308012487
ATSC4c,0.07626074141721373
ATSC4d,-21.573361082206024
ATSC4i,-25.940949187213263
ATSC4m,-1050.970835449011
ATSC4p,-7.744846067946167
ATSC4s,-28.645818613155882
ATSC4v,-560.8840963875041
ATSC5Z,-447.76482830385027
ATSC5c,-0.3424111479390048
ATSC5d,7.134235171696148
ATSC5i,-1.6722073752231936
ATSC5m,-2102.6086775845465
ATSC5p,-3.8901338211797327
ATSC5s,-16.151780039689175
ATSC5v,-1903.2515865353582
ATSC6Z,363.78980228928197
ATSC6c,0.16512701980794564
ATSC6d,1.19146722164412
ATSC6i,-1.9186998143670804
ATSC6m,1721.6448783080111
ATSC6p,3.0525227615582087
ATSC6s,50.17231181011435
ATSC6v,1632.7181236551191
ATSC7Z,15.831425598335095
ATSC7c,0.3510962891720142
ATSC7d,0.7450572320499482
ATSC7i,-17.14292483304605
ATSC7m,43.928360191207574
ATSC7p,-4.233177945877103
ATSC7s,37.28343057125707
ATSC7v,-754.7408732075995
ATSC8Z,-69.59937565036418
ATSC8c,-0.6988356474864564
ATSC8d,7.731529656607696
ATSC8i,11.21383387552554
ATSC8m,-305.5207618067118
ATSC8p,3.205962790356045
ATSC8s,-56.85385355064956
ATSC8v,415.89965330396905
AXp-0d,0.7317677767557197
AXp-1d,0.44620521751714226
AXp-2d,0.300566808155405
AXp-3d,0.185269204808197
AXp-4d,0.12618674918183573
AXp-5d,0.07663545148176873
AXp-6d,0.05242129005483815
AXp-7d,0.0327091140719249
GATS1Z,0.8382092198581559
GATS1c,1.652240501125686
GATS1d,1.006747721870047
GATS1i,1.4916841110421604
GATS1m,0.8317013366998749
GATS1p,1.317660369951415
GATS1s,0.7316062634344729
GATS1v,1.0275388580431941
GATS2Z,0.8013314850300278
GATS2c,0.8270112759155458
GATS2d,1.2776665440344117
GATS2i,1.132336790087326
GATS2m,0.8004266194945393
GATS2p,1.0304540629276586
GATS2s,0.47852245306949864
GATS2v,0.9753388691200494
GATS3Z,1.080573758649614
GATS3c,1.0325357459536413
GATS3d,1.3045642946593812
GATS3i,1.0904167504145714
GATS3m,1.0736679375215192
GATS3p,1.1002756071716935
GATS3s,0.9331186403555561
GATS3v,1.0935322728517674
GATS4Z,1.4899472581971425
GATS4c,1.0130670970652915
GATS4d,1.4469071909667186
GATS4i,1.1698935203976837
GATS4m,1.4488692483894656
GATS4p,1.4822497012457982
GATS4s,1.2376292485808738
GATS4v,1.0857158445981439
GATS5Z,1.2282108956399402
GATS5c,1.0682416071133434
GATS5d,0.8549240177729377
GATS5i,0.9708960278690464
GATS5m,1.2357495184169
GATS5p,1.0033990828128634
GATS5s,1.5316518646789565
GATS5v,1.165889056003443
GATS6Z,0.7860806332626845
GATS6c,0.8416652049987875
GATS6d,1.0384586451082263
GATS6i,0.894108837607695
GATS6m,0.7806481082322484
GATS6p,0.9121008034751298
GATS6s,0.8104959383443552
GATS6v,0.8018283258939191
GATS7Z,0.8645747916690457
GATS7c,1.0939651391729166
GATS7d,0.8879497564125134
GATS7i,1.0715801134271248
GATS7m,0.8780764471770838
GATS7p,0.9862612228314793
GATS7s,1.1136261403335292
GATS7v,1.0405802363155858
GATS8Z,1.0767112489471882
GATS8c,1.4755405017397392
GATS8d,0.8300573487327407
GATS8i,0.8303511187898829
GATS8m,1.073509442215567
GATS8p,0.8285345826114345
GATS8s,1.4728115681649045
GATS8v,0.86997515515122
MATS1Z,0.16670199917771608
MATS1c,-0.5946589878163613
MATS1d,0.26812599049128377
MATS1i,-0.136330163579366
MATS1m,0.1569154572619927
MATS1p,-0.04109847530480764
MATS1s,-0.14298405326623298
MATS1v,0.027790143581534896
MATS2Z,0.10842308708867447
MATS2c,0.13020963525748278
MATS2d,-0.042435476567806094
MATS2i,0.04354318563498191
MATS2m,0.10917007998387573
MATS2p,0.033123866578955274
MATS2s,0.23177391252247123
MATS2v,0.0354968219329512
MATS3Z,-0.034647334369813536
MATS3c,-0.042609959403504476
MATS3d,-0.18165194551882333
MATS3i,0.006192773792789188
MATS3m,-0.03770337464794241
MATS3p,0.00623713347509384
MATS3s,-0.07897156776043311
MATS3v,-0.08945670421295426
MATS4Z,-0.14585902970500564
MATS4c,0.017769602908587603
MATS4d,-0.20534865293185395
MATS4i,-0.10524600833251023
MATS4m,-0.1411216608188852
MATS4p,-0.1893445996826822
MATS4s,-0.07197614028781694
MATS4v,-0.07401290844155663
MATS5Z,-0.2713423343151555
MATS5c,-0.07831716778951728
MATS5d,0.06665824040134945
MATS5i,-0.006659510118339714
MATS5m,-0.27713657480263
MATS5p,-0.09335488586244267
MATS5s,-0.03983640015496168
MATS5v,-0.24652611035246894
MATS6Z,0.22743045390851568
MATS6c,0.038963479958614065
MATS6d,0.011484683744909614
MATS6i,-0.00788296683756206
MATS6m,0.23410435078931544
MATS6p,0.07557217809812383
MATS6s,0.12765984849642426
MATS6v,0.21817674293412173
MATS7Z,0.011583543662894078
MATS7c,0.09695922893656886
MATS7d,0.008405235663555787
MATS7i,-0.08243106394599356
MATS7m,0.006990918196433895
MATS7p,-0.12265715064408204
MATS7s,0.11102720240722165
MATS7v,-0.11803707226443065
MATS8Z,-0.04945904515980183
MATS8c,-0.18743769383300216
MATS8d,0.08471194518236431
MATS8i,0.05236957757368394
MATS8m,-0.04722249454309641
MATS8p,0.0902202014607267
MATS8s,-0.16443429672520748
MATS8v,0.06317250312009196
MAXaaN,4.039551291235178
MAXdsN,3.776421720396617
MAXsOH,9.514175511787794
MAXssO,5.263478542737166
MINaaN,4.039551291235178
MINdsN,3.776421720396617
MINsOH,9.514175511787794
MINssO,5.263478542737166
NddssS,1
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,2
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,10
SM1_Dt,0.0
SddssS,-4.138972997693649
SdssSe,0
SdsssP,0
SpAD_A,41.53212078875733
SpAD_D,498.98567389155613
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.897888245893565
SssNH2,0
SsssAs,0
SsssCH,-1.8798696455178177
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,741
TMWC10,147.4575552889862
TSRW10,85.45028503396941
VE1_Dt,5.717035762028142
VE2_Dt,0.16814811064788654
VE3_Dt,2.967225879268003
VR1_Dt,226.35157510882792
VR2_Dt,6.657399267906704
VR3_Dt,6.6458648642111635
Xc-3dv,1.5211665631502433
Xc-4dv,0.05103103630798288
Xc-5dv,0.29956354387232415
Xc-6dv,0.01275775907699572
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.2621886974951644
Xch-6d,0.30899234324883185
Xch-7d,0.48980521980094144
Xp-0dv,19.900155850094727
Xp-1dv,12.119753209751556
Xp-2dv,9.723558618690737
Xp-3dv,6.963943855802146
Xp-4dv,5.385988597926279
Xp-5dv,2.776730810739271
Xp-6dv,1.9293075497474723
Xp-7dv,0.9551917718136953
Xpc-4d,5.791010488391529
Xpc-5d,9.848061348038927
Xpc-6d,12.88235091136526
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,64
nFRing,0
nHBAcc,8
nHBDon,5
nHRing,2
nSpiro,0
naRing,2
piPC10,5.802873377300432
AATS0dv,8.394265232974911
AATS0pe,6.535162903225804
AATS0se,8.00857724193548
AATS1dv,6.739583333333334
AATS1pe,6.705167187500001
AATS1se,8.018263374999997
AATS2dv,6.083333333333333
AATS2pe,6.573859821428569
AATS2se,7.9624636964285695
AATS3dv,4.065268065268064
AATS3pe,6.469524475524476
AATS3se,7.940618069930069
AATS4dv,3.647916666666667
AATS4pe,6.501835000000002
AATS4se,8.0353423
AATS5dv,4.155419222903885
AATS5pe,6.641903680981597
AATS5se,8.17246468711656
AATS6dv,3.9599156118143464
AATS6pe,6.151710126582278
AATS6se,7.721909848101265
AATS7dv,5.093827160493828
AATS7pe,6.6624044444444435
AATS7se,8.145839792592591
AATS8dv,3.9928057553956835
AATS8pe,6.489230935251798
AATS8se,8.072933438848922
AATSC0Z,10.123829344432883
AATSC0c,0.026822750981522647
AATSC0d,0.6566077003121752
AATSC0i,1.5404948367053752
AATSC0m,46.545425297866814
AATSC0p,0.25564651965667223
AATSC0s,2.487440499258459
AATSC0v,47.36370555130927
AATSC1Z,1.6876625910509884
AATSC1c,-0.015950389949122568
AATSC1d,0.176053590010406
AATSC1i,-0.2100159130812125
AATSC1m,7.3036966940686945
AATSC1p,-0.010506682174869764
AATSC1s,-0.35566432484255667
AATSC1v,1.316244177824426
AATSC2Z,1.0976568306823247
AATSC2c,0.0034925806219063523
AATSC2d,-0.027863460680838354
AATSC2i,0.0670780526443933
AATSC2m,5.081367802651633
AATSC2p,0.008468001208481879
AATSC2s,0.5765238166799823
AATSC2v,1.6812610220395574
AATSC3Z,-0.35076370039949634
AATSC3c,-0.0011429163304129898
AATSC3d,-0.11927406620434712
AATSC3i,0.009539936052676107
