DLiP-ID,T003ZA
ATS5Z,2074.0
ATS5d,316.0
ATS5i,17057.367003508483
ATS5m,7651.810205999998
ATS5p,140.98123160443302
ATS5s,434.41666666666663
ATS5v,20551.449911174757
ATS6Z,1965.0
ATS6d,295.0
ATS6i,16330.267513123643
ATS6m,7139.062806999999
ATS6p,138.80999815449
ATS6s,414.49999999999994
ATS6v,20181.6461229798
ATS7Z,1957.0
ATS7d,280.0
ATS7i,16754.739874924482
ATS7m,7194.418500999999
ATS7p,131.01394334098
ATS7s,571.1388888888889
ATS7v,18567.481251768546
ATS8Z,1515.0
ATS8d,251.0
ATS8i,14675.671086086137
ATS8m,5433.852304999999
ATS8p,113.591430419584
ATS8s,328.0
ATS8v,15840.63244807101
C1SP1,0
C1SP2,3
C1SP3,2
C2SP1,0
C2SP2,11
C2SP3,1
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.14285714285714285
GGI10,0.12794612794612795
JGI10,0.005117845117845118
JGT10,0.4218173479971604
Kier1,24.638671875
Kier2,12.296376419686316
Kier3,7.828402366863905
MAXdO,12.615740291104197
MID_C,43.866620646978696
MID_N,8.158872736218468
MID_O,8.611246222588456
MID_X,0.0
MID_h,16.770118958806925
MINdO,10.668722135150002
MPC10,101
MWC01,32.0
MWC02,5.017279836814924
MWC03,5.831882477283517
MWC04,6.68586094706836
MWC05,7.52131798019924
MWC06,8.378620541552298
MWC07,9.223355309053677
MWC08,10.081926582065858
MWC09,10.93187406714802
MWC10,11.791200933722438
NaaCH,7
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,2
NdssC,4
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,3
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,2.4961
SRW02,4.174387269895637
SRW03,0.0
SRW04,5.4680601411351315
SRW05,0.0
SRW06,6.9440872082295275
SRW07,0.0
SRW08,8.503702601233739
SRW09,0.0
SRW10,10.108670778473344
SaaCH,11.057807027005987
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.4424343443437901
SaasN,0
SdCH2,0
SddsN,0
SdsCH,2.0402225525385607
SdssC,-2.1879974934811672
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,8.916271150749624
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.6071960385468
VE1_D,5.387315280117929
VE2_A,0.15357320128489332
VE2_D,0.17957717600393097
VE3_A,2.6262317260384234
VE3_D,2.782659456757119
VR1_A,316.8055032003397
VR1_D,188.41312689716995
VR2_A,10.560183440011322
VR2_D,6.280437563238999
VR3_A,6.856900319670696
VR3_D,6.337249324058135
WPath,2829
Xc-3d,2.0590724167097947
Xc-4d,0.0
Xc-5d,0.3219752754296894
Xc-6d,0.0
Xp-0d,21.509860921691395
Xp-1d,14.41872399336994
Xp-2d,13.063661483525935
Xp-3d,9.852453843366991
Xp-4d,7.971403330101616
Xp-5d,6.598166214272546
Xp-6d,4.110036568077171
Xp-7d,3.165863620597847
ZMIC0,98.25680655317016
ZMIC1,56.584627404349895
ZMIC2,31.957469073677515
ZMIC3,24.88447573019076
ZMIC4,24.592967235008782
ZMIC5,24.592967235008782
nAcid,2
nAtom,50
nBase,3
nRing,3
piPC1,3.784189633918261
piPC2,4.31748811353631
piPC3,4.799914262780603
piPC4,5.305789381386738
piPC5,5.830415125589567
piPC6,5.989118046226858
piPC7,6.356704270883079
piPC8,6.540443607959947
piPC9,6.817762188372098
AATS0Z,25.84
AATS0d,3.4
AATS0i,162.66502397254962
AATS0m,102.28984044
AATS0p,1.5103035619396
AATS0s,6.69
AATS0v,231.414808061261
AATS1Z,26.673076923076923
AATS1d,4.0
AATS1i,148.94627265249426
AATS1m,101.99923715384615
AATS1p,1.814517644653846
AATS1s,3.8028846153846154
AATS1v,274.51012931121915
AATS2Z,23.80952380952381
AATS2d,3.6666666666666665
AATS2i,152.812104623947
AATS2m,89.77234594047619
AATS2p,1.633393362554131
AATS2s,4.374669312169312
AATS2v,239.08316211982287
AATS3Z,18.696428571428573
AATS3d,3.1339285714285716
AATS3i,159.27307673447356
AATS3m,68.2723335625
AATS3p,1.3881127855168391
AATS3s,3.4565972222222223
AATS3v,197.7043573821416
AATS4Z,18.3125
AATS4d,2.9464285714285716
AATS4i,161.2631336273137
AATS4m,66.72017654464285
AATS4p,1.3047818755217233
AATS4s,3.6808035714285716
AATS4v,187.33741228638542
AATS5Z,19.566037735849058
AATS5d,2.981132075471698
AATS5i,160.9185566368725
AATS5m,72.18688873584904
AATS5p,1.3300116189097455
AATS5s,4.098270440251572
AATS5v,193.8816029356109
AATS6Z,19.07766990291262
AATS6d,2.8640776699029127
AATS6i,158.546286535181
AATS6m,69.31128938834951
AATS6p,1.3476698849950484
AATS6s,4.024271844660194
AATS6v,195.9383118735903
AATS7Z,18.817307692307693
AATS7d,2.6923076923076925
AATS7i,161.10326802812003
AATS7m,69.17710097115383
AATS7p,1.2597494552017308
AATS7s,5.491720085470086
AATS7v,178.53347357469755
AATS8Z,16.64835164835165
AATS8d,2.758241758241758
AATS8i,161.2711108361114
AATS8m,59.71266269230769
AATS8p,1.2482574771382857
AATS8s,3.6043956043956045
AATS8v,174.07288404473638
AMID_C,1.4622206882326232
AMID_N,0.2719624245406156
AMID_O,0.2870415407529485
AMID_X,0.0
AMID_h,0.5590039652935642
ATS0dv,468.0
ATS0pe,329.4869
ATS0se,400.28523999999993
ATS1dv,442.0
ATS1pe,348.77349999999996
ATS1se,414.148376
ATS2dv,612.0
ATS2pe,554.5481
ATS2se,664.326876
ATS3dv,585.0
ATS3pe,714.063
ATS3se,872.675524
ATS4dv,596.0
ATS4pe,717.4849999999999
ATS4se,879.235684
ATS5dv,610.0
ATS5pe,688.4509
ATS5se,841.06924
ATS6dv,573.0
ATS6pe,672.2715
ATS6se,820.6595399999999
ATS7dv,620.0
ATS7pe,672.5995
ATS7se,825.402492
ATS8dv,393.0
ATS8pe,574.4622
ATS8se,708.957836
ATSC0Z,376.08
ATSC0c,1.713274396201916
ATSC0d,28.879999999999995
ATSC0i,77.33893717795794
ATSC0m,1778.4521140799998
ATSC0p,10.954339146188001
ATSC0s,130.48000000000002
ATSC0v,2333.0488773893057
ATSC1Z,-10.163200000000025
ATSC1c,-1.2882234901536214
ATSC1d,5.324800000000002
ATSC1i,-1.499073088779167
ATSC1m,-39.77287944319994
ATSC1p,0.9708182712316812
ATSC1s,-15.279199999999998
ATSC1v,172.3383048411509
ATSC2Z,3.4655999999999696
ATSC2c,0.8443535440212795
ATSC2d,-4.278399999999997
ATSC2i,4.843256924113524
ATSC2m,-1.6185944143998583
ATSC2p,-1.4577537246648387
ATSC2s,49.68582222222223
ATSC2v,-401.5977798149118
ATSC3Z,-53.019200000000005
ATSC3c,-0.42770456832971904
ATSC3d,-1.5311999999999986
ATSC3i,-12.04439945307253
ATSC3m,-244.90368153919997
ATSC3p,-1.0184873893267195
ATSC3s,-15.029644444444449
ATSC3v,-154.0673779121864
ATSC4Z,-18.979199999999995
ATSC4c,-0.1617618578580679
ATSC4d,-4.0512
ATSC4i,-15.705828227498516
ATSC4m,-83.36385901920002
ATSC4p,-1.3541499480777195
ATSC4s,-18.535200000000003
ATSC4v,-44.037153928826044
ATSC5Z,43.9104
ATSC5c,0.7378011887977381
ATSC5d,-1.3855999999999993
ATSC5i,12.824751955455028
ATSC5m,211.13346971040005
ATSC5p,0.90444479980444
ATSC5s,-10.750933333333336
ATSC5v,314.7168003213704
ATSC6Z,-120.04480000000004
ATSC6c,-1.4619484954244724
ATSC6d,-3.9728
ATSC6i,-14.308228634413087
ATSC6m,-558.4560186847999
ATSC6p,-2.0138042592088796
ATSC6s,-54.35546666666667
ATSC6v,-457.78820186244434
ATSC7Z,134.23360000000002
ATSC7c,1.3435636520648138
ATSC7d,-1.0304000000000004
ATSC7i,12.638976434471564
ATSC7m,600.9675286336001
ATSC7p,0.22383112108215936
ATSC7s,135.9904888888889
ATSC7v,-10.56390301623054
ATSC8Z,-15.185599999999996
ATSC8c,-0.22529520365433536
ATSC8d,-1.2016
ATSC8i,-9.751524028710751
ATSC8m,-73.28800130559999
ATSC8p,-1.1618219300633599
ATSC8s,-13.743600000000004
ATSC8v,-192.58678328485408
AXp-0d,0.7169953640563799
AXp-1d,0.4505851247928106
AXp-2d,0.30380608101223106
AXp-3d,0.18947026621859597
AXp-4d,0.12263697430925563
AXp-5d,0.08145884215151292
AXp-6d,0.052025779342749004
AXp-7d,0.03517626245108719
GATS1Z,0.7629565313435767
GATS1c,1.7023740461589851
GATS1d,0.880966332836139
GATS1i,1.2072516297044666
GATS1m,0.7639772980828751
GATS1p,0.9489129649633425
GATS1s,0.7212828078573785
GATS1v,0.8513970079477559
GATS2Z,0.7926061830816138
GATS2c,0.5292561673112345
GATS2d,1.2018120960295477
GATS2i,1.105117655516611
GATS2m,0.8041782554018954
GATS2p,1.094297187057107
GATS2s,0.39354335558734693
GATS2v,1.0504904367638324
GATS3Z,0.9742774143799192
GATS3c,0.9185767524122974
GATS3d,1.0452735457063713
GATS3i,1.1225986665909435
GATS3m,0.9769651880281625
GATS3p,1.023767092535393
GATS3s,0.748185652122079
GATS3v,1.0112570303910606
GATS4Z,0.9800939959583068
GATS4c,0.9611877184877111
GATS4d,1.0831457756232687
GATS4i,1.1085291990323023
GATS4m,0.9802033507178726
GATS4p,1.0225849997237766
GATS4s,0.8998625268240342
GATS4v,0.9842282488436546
GATS5Z,0.9120399914911721
GATS5c,0.792304011379315
GATS5d,1.080430408195265
GATS5i,0.9262158153627759
GATS5m,0.9110070400379021
GATS5p,0.9355213892170439
GATS5s,1.0246064121251381
GATS5v,0.9037141338091077
GATS6Z,1.1068446498679274
GATS6c,1.4096849024258191
GATS6d,1.0295363472554662
GATS6i,1.0771768796902539
GATS6m,1.1031341862774373
GATS6p,1.0816868363683336
GATS6s,1.2998443800899109
GATS6v,1.054947463905506
GATS7Z,0.8324870526729173
GATS7c,0.5468407629098233
GATS7d,0.9951656722778608
GATS7i,0.8618168247460506
GATS7m,0.8408529840695899
GATS7p,0.9852145574451424
GATS7s,0.5786010119768165
GATS7v,0.9984834074278167
GATS8Z,1.0086847315628427
GATS8c,0.9754779187476847
GATS8d,1.0161410611549115
GATS8i,1.0274799912534167
GATS8m,1.0108565411795165
GATS8p,1.0491099750372483
GATS8s,0.97323098932541
GATS8v,1.0538636474195493
MATS1Z,-0.02598465138350276
MATS1c,-0.7229877686761612
MATS1d,0.1772853185595569
MATS1i,-0.01863765503011389
MATS1m,-0.021503617110631347
MATS1p,0.08521546525957076
MATS1s,-0.1125960948922322
MATS1v,0.07102719111763184
MATS2Z,0.005485155134165935
MATS2c,0.29335137229911024
MATS2d,-0.08818097876269616
MATS2i,0.03727606211634999
MATS2m,-0.0005417346064944727
MATS2p,-0.07921158353926734
MATS2s,0.22666227912242626
MATS2v,-0.10246090419518779
MATS3Z,-0.06293683714711157
MATS3c,-0.1114471446349726
MATS3d,-0.02366937079540956
MATS3i,-0.06952466943239431
MATS3m,-0.061475931694512174
MATS3p,-0.041507010524990666
MATS3s,-0.05142292074197348
MATS3v,-0.029480770888112937
MATS4Z,-0.022529401039292546
MATS4c,-0.04215034980695413
MATS4d,-0.06262366442421845
MATS4i,-0.09065977261325776
MATS4m,-0.020926067222207037
MATS4p,-0.05518646252894053
MATS4s,-0.06341694403083122
MATS4v,-0.008426503151629183
MATS5Z,0.055074592720135825
MATS5c,0.20313116769251185
MATS5d,-0.022631056290179263
MATS5i,0.07821947805958544
MATS5m,0.05599884220041396
MATS5p,0.038945745596765946
MATS5s,-0.038865687987074335
MATS5v,0.06362975175746194
MATS6Z,-0.15495153892065935
MATS6c,-0.414226546089882
MATS6d,-0.06677782857757578
MATS6i,-0.08980912214449091
MATS6m,-0.15243320444509004
MATS6p,-0.08924088163285439
MATS6s,-0.2022237037654347
MATS6v,-0.0952518760370639
MATS7Z,0.17160015054080152
MATS7c,0.3770231230471105
MATS7d,-0.017153206903899435
MATS7i,0.0785688451359162
MATS7m,0.16245964351304704
MATS7p,0.009823606378147593
MATS7s,0.5010732888951772
MATS7v,-0.00217689375317208
MATS8Z,-0.022186067495576105
MATS8c,-0.07225262556358138
MATS8d,-0.022860795713981315
MATS8i,-0.06927920696953169
MATS8m,-0.022642236058363237
MATS8p,-0.05827496203266219
MATS8s,-0.05787422265043358
MATS8v,-0.0453556352454933
MAXdsN,4.323385235465464
MAXsOH,9.379198631355017
MINdsN,4.323385235465464
MINsOH,8.722168082362401
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,3
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,9
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,37.9722508001459
SpAD_D,391.77011721195265
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,2.533218845161133
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,762
TMWC10,137.46331867490832
TSRW10,65.19890799896739
VE1_Dt,5.398827453122645
VE2_Dt,0.17996091510408815
VE3_Dt,2.784794080349781
VR1_Dt,187.272215440875
VR2_Dt,6.242407181362499
VR3_Dt,6.331175544566925
Xc-3dv,0.610783026855751
Xc-4dv,0.0
Xc-5dv,0.054242763569596945
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.25343678769327627
Xch-7d,0.314715626110908
Xp-0dv,15.883858424157742
Xp-1dv,9.173058664837306
Xp-2dv,6.449339505992986
Xp-3dv,4.231791521047049
Xp-4dv,2.8201548268224097
Xp-5dv,1.907021604568128
Xp-6dv,0.9312680266097283
Xp-7dv,0.5526866798134104
Xpc-4d,3.8444049459428604
Xpc-5d,5.51218577711107
Xpc-6d,8.269765222932168
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,52
nFRing,0
nHBAcc,6
nHBDon,5
nHRing,1
nSpiro,0
naRing,2
piPC10,7.037357085887983
AATS0dv,9.36
AATS0pe,6.589738
AATS0se,8.005704799999998
AATS1dv,8.5
AATS1pe,6.707182692307692
AATS1se,7.964391846153846
AATS2dv,7.285714285714286
AATS2pe,6.601763095238095
AATS2se,7.908653285714285
AATS3dv,5.223214285714286
AATS3pe,6.3755625
AATS3se,7.79174575
AATS4dv,5.321428571428571
AATS4pe,6.4061160714285705
AATS4se,7.8503186071428575
AATS5dv,5.754716981132075
AATS5pe,6.494819811320755
AATS5se,7.934615471698113
AATS6dv,5.563106796116505
AATS6pe,6.52690776699029
AATS6se,7.967568349514562
AATS7dv,5.961538461538462
AATS7pe,6.467302884615385
AATS7se,7.936562423076923
AATS8dv,4.318681318681318
AATS8pe,6.31277142857143
AATS8se,7.790745450549451
AATSC0Z,7.521599999999999
AATSC0c,0.034265487924038315
AATSC0d,0.5775999999999999
AATSC0i,1.546778743559159
AATSC0m,35.5690422816
AATSC0p,0.21908678292376002
AATSC0s,2.6096000000000004
AATSC0v,46.66097754778612
AATSC1Z,-0.19544615384615432
AATSC1c,-0.024773528656800412
AATSC1d,0.10240000000000005
AATSC1i,-0.028828328630368598
AATSC1m,-0.7648630662153835
AATSC1p,0.018669582139070794
AATSC1s,-0.2938307692307692
AATSC1v,3.3141981700221326
AATSC2Z,0.04125714285714249
AATSC2c,0.010051827905015232
AATSC2d,-0.050933333333333296
AATSC2i,0.057657820525161
AATSC2m,-0.019268981123807837
AATSC2p,-0.017354211007914747
AATSC2s,0.5914978835978837
AATSC2v,-4.780925950177521
AATSC3Z,-0.47338571428571435
AATSC3c,-0.003818790788658206
AATSC3d,-0.013671428571428558
AATSC3i,-0.10753928083100472
AATSC3m,-2.1866400137428568
AATSC3p,-0.009093637404702853
AATSC3s,-0.13419325396825402
AATSC3v,-1.3756015885016644
AATSC4Z,-0.1694571428571428
AATSC4c,-0.0014443023023041777
AATSC4d,-0.03617142857142857
AATSC4i,-0.14023060917409388
AATSC4m,-0.744320169814286
AATSC4p,-0.012090624536408209
AATSC4s,-0.16549285714285716
AATSC4v,-0.39318887436451827
AATSC5Z,0.4142490566037736
AATSC5c,0.006960388573563568
AATSC5d,-0.01307169811320754
AATSC5i,0.12098822599485876
AATSC5m,1.9918251859471703
AATSC5p,0.008532498111362643
AATSC5s,-0.1014238993710692
