DLiP-ID,C001GF
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,1.650603617862817
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.3173304831191732
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.018755412203171
VE1_D,4.62188056022906
VE2_A,0.1826707005546896
VE2_D,0.2100854800104118
VE3_A,2.1794296161051143
VE3_D,2.3192590303051173
VR1_A,207.3703838188666
VR1_D,119.81722348464706
VR2_A,9.425926537221208
VR2_D,5.446237431120321
VR3_A,6.122963848561377
VR3_D,5.574424804365044
WPath,1183
Xc-3d,0.945705769029128
Xc-4d,0.0
Xc-5d,0.08333333333333333
Xc-6d,0.0
Xp-0d,15.200459844932896
Xp-1d,10.847667890550102
Xp-2d,9.075056363104775
Xp-3d,7.598665367470832
Xp-4d,6.101642677026156
Xp-5d,5.041980871261585
Xp-6d,2.992390782571695
Xp-7d,2.2107790799380393
ZMIC0,71.54110540482012
ZMIC1,49.522327544791
ZMIC2,30.000329408106197
ZMIC3,22.29218778398823
ZMIC4,21.486422998697275
ZMIC5,21.486422998697275
nAcid,0
nAtom,39
nBase,0
nRing,3
piPC1,3.5263605246161616
piPC2,4.085976312551584
piPC3,4.637153231841142
piPC4,5.175443268397502
piPC5,5.721335842237102
piPC6,5.753960564100481
piPC7,6.14217180515748
piPC8,6.451753169372215
piPC9,6.822826958196436
AATS0Z,22.46153846153846
AATS0d,3.2564102564102564
AATS0i,160.1299991862752
AATS0m,88.68162599999998
AATS0p,1.5905595739085387
AATS0s,3.0163817663817665
AATS0v,233.28362008828617
AATS1Z,25.048780487804876
AATS1d,3.8048780487804876
AATS1i,145.48654159665116
AATS1m,95.36133756097557
AATS1p,1.8749575917073176
AATS1s,3.2161246612466123
AATS1v,273.915701360053
AATS2Z,21.227272727272727
AATS2d,3.5303030303030303
AATS2i,152.87892030222486
AATS2m,78.9874951363636
AATS2p,1.6380206095059995
AATS2s,3.066498316498317
AATS2v,233.51052087406404
AATS3Z,17.9125
AATS3d,3.175
AATS3i,155.5864176509655
AATS3m,65.11324682499999
AATS3p,1.4659496520705126
AATS3s,2.7583333333333337
AATS3v,201.79734700053504
AATS4Z,15.716049382716049
AATS4d,2.814814814814815
AATS4i,160.93784931254123
AATS4m,55.742846432098766
AATS4p,1.3281615811628151
AATS4s,2.652263374485597
AATS4v,178.48248770309092
AATS5Z,15.679487179487179
AATS5d,2.8076923076923075
AATS5i,160.89097052613118
AATS5m,56.59204349999998
AATS5p,1.317844189272846
AATS5s,2.6246438746438754
AATS5v,176.71110539500214
AATS6Z,16.142857142857142
AATS6d,2.8714285714285714
AATS6i,159.6369865695963
AATS6m,57.81188278571429
AATS6p,1.3734281289048427
AATS6s,2.680158730158731
AATS6v,185.7753385916642
AATS7Z,15.272727272727273
AATS7d,2.696969696969697
AATS7i,160.71418234154683
AATS7m,54.02976339393939
AATS7p,1.3405986119596813
AATS7s,2.660353535353536
AATS7v,179.09865737531277
AATS8Z,13.716666666666667
AATS8d,2.6666666666666665
AATS8i,158.25311026195902
AATS8m,47.58076599999999
AATS8p,1.3212833915889834
AATS8s,2.411574074074075
AATS8v,171.66108763436017
AMID_C,1.6901492407635856
AMID_N,0.28115421642001376
AMID_O,0.08611652489143702
AMID_X,0.0
AMID_h,0.3672707413114508
ATS0dv,286.0
ATS0pe,238.88340000000002
ATS0se,293.8997999999999
ATS1dv,300.0
ATS1pe,264.544
ATS1se,315.50132799999983
ATS2dv,394.0
ATS2pe,421.46970000000005
ATS2se,509.5109240000001
ATS3dv,370.0
ATS3pe,495.1564999999999
ATS3se,606.3755279999998
ATS4dv,321.0
ATS4pe,497.4945999999999
ATS4se,613.7654920000001
ATS5dv,318.0
ATS5pe,471.28669999999994
ATS5se,584.824372
ATS6dv,272.0
ATS6pe,427.74500000000006
ATS6se,527.6188599999999
ATS7dv,228.0
ATS7pe,402.5226
ATS7se,498.179584
ATS8dv,164.0
ATS8pe,356.656
ATS8se,444.96914400000003
ATSC0Z,267.89743589743586
ATSC0c,0.6662783772357197
ATSC0d,18.666666666666657
ATSC0i,61.50944961147752
ATSC0m,1281.9897392307685
ATSC0p,8.954367553064767
ATSC0s,16.40740740740741
ATSC0v,1984.4496455505966
ATSC1Z,15.723208415516078
ATSC1c,-0.3119910655250038
ATSC1d,6.555555555555557
ATSC1i,-9.374967238001128
ATSC1m,73.625681526628
ATSC1p,-0.506049733929827
ATSC1s,-0.9660493827160492
ATSC1v,-7.642728930433854
ATSC2Z,-18.108481262327434
ATSC2c,0.053188756194602005
ATSC2d,-2.000000000000002
ATSC2i,6.034647144152835
ATSC2m,-84.70474169822413
ATSC2p,0.11795100404770398
ATSC2s,-0.07407407407407487
ATSC2v,-63.861720820392826
ATSC3Z,-36.32807363576596
ATSC3c,-0.09863572460219565
ATSC3d,-3.7777777777777795
ATSC3i,-28.947186117665808
ATSC3m,-175.9523352426031
ATSC3p,-2.4881213316945994
ATSC3s,-1.577160493827161
ATSC3v,-452.34129491623514
ATSC4Z,-62.27416173570019
ATSC4c,-0.1085985796598083
ATSC4d,-2.0000000000000004
ATSC4i,-6.31522343761337
ATSC4m,-298.4618464792897
ATSC4p,-1.8732003096739827
ATSC4s,-5.083333333333331
ATSC4v,-431.66846895350244
ATSC5Z,62.07692307692308
ATSC5c,0.28323198765530666
ATSC5d,-1.0000000000000004
ATSC5i,0.06992974245970796
ATSC5m,292.64835592307685
ATSC5p,1.1302441626660753
ATSC5s,7.6296296296296315
ATSC5v,286.7109023386473
ATSC6Z,-29.30309007232085
ATSC6c,-0.20753669080187923
ATSC6d,-2.8888888888888897
ATSC6i,-3.461334397877266
ATSC6m,-139.2149018757395
ATSC6p,-0.7998205550542775
ATSC6s,-2.589506172839506
ATSC6v,-151.0016534826946
ATSC7Z,-43.87771203155818
ATSC7c,0.14190151579480254
ATSC7d,-3.6666666666666674
ATSC7i,11.370775066175593
ATSC7m,-207.65549731360943
ATSC7p,0.19402180040623573
ATSC7s,-3.2499999999999996
ATSC7v,-98.77499058736127
ATSC8Z,-49.97041420118343
ATSC8c,-0.10619021965269222
ATSC8d,-5.0
ATSC8i,-3.0060324812710086
ATSC8m,-236.8986740473374
ATSC8p,-0.7909689338333378
ATSC8s,-2.9907407407407414
ATSC8v,-254.9449999854662
AXp-0d,0.6909299929514953
AXp-1d,0.45198616210625425
AXp-2d,0.2927437536485411
AXp-3d,0.19483757352489312
AXp-4d,0.12711755577137826
AXp-5d,0.08403301452102642
AXp-6d,0.05440710513766718
AXp-7d,0.03624227999898425
GATS1Z,0.7784194897844845
GATS1c,1.458094986857886
GATS1d,0.6951219512195126
GATS1i,1.2338543934184736
GATS1m,0.781428347309723
GATS1p,1.021949563181392
GATS1s,0.8810631503606233
GATS1v,0.9154716710309019
GATS2Z,0.9606797299178618
GATS2c,1.2042922744881972
GATS2d,1.1875000000000007
GATS2i,1.0049633790726995
GATS2m,0.957389857227364
GATS2p,0.9398822156970537
GATS2s,1.0303201313359327
GATS2v,0.9280947210994605
GATS3Z,1.0071018376722818
GATS3c,1.1396171774203618
GATS3d,1.1959821428571435
GATS3i,1.2504787291170494
GATS3m,1.0074932426623755
GATS3p,1.0899203983621135
GATS3s,1.012859762979684
GATS3v,1.0519951611195635
GATS4Z,1.0944855651976633
GATS4c,1.1633659805475631
GATS4d,1.0178571428571435
GATS4i,1.0907567740307427
GATS4m,1.092950402067183
GATS4p,1.0272209841106545
GATS4s,1.1961374467017807
GATS4v,1.0383764076678001
GATS5Z,0.8765313935681471
GATS5c,0.8024394629223351
GATS5d,1.0961538461538467
GATS5i,0.9913908091098688
GATS5m,0.8779034369198444
GATS5p,0.8955305543813625
GATS5s,0.7604618857440528
GATS5v,0.8978533046460703
GATS6Z,1.0273654561365129
GATS6c,1.1661214549427967
GATS6d,1.0905612244897964
GATS6i,1.0662550330001084
GATS6m,1.026703653018138
GATS6p,0.9895071500522084
GATS6s,1.0849484037407289
GATS6v,0.9882466242184448
GATS7Z,1.0821079284421553
GATS7c,0.8901307443785376
GATS7d,1.0024350649350655
GATS7i,0.9071304471657952
GATS7m,1.0796561753390663
GATS7p,0.9326494684571869
GATS7s,1.1970038990355016
GATS7v,0.9792481660158475
GATS8Z,1.0922090352220521
GATS8c,0.9804961986152956
GATS8d,1.2044642857142864
GATS8i,0.9721023217454761
GATS8m,1.0922850998455629
GATS8p,1.0499298757495825
GATS8s,1.038995485327314
GATS8v,1.078094498939924
MATS1Z,0.05582816643633502
MATS1c,-0.4454174100459165
MATS1d,0.3340592334494776
MATS1i,-0.14498019116257332
MATS1m,0.05462928658759395
MATS1p,-0.05375749635053199
MATS1s,-0.05600671695204536
MATS1v,-0.0036634403404223236
MATS2Z,-0.03994239871919815
MATS2c,0.04717205396929483
MATS2d,-0.0633116883116884
MATS2i,0.057973659013900516
MATS2m,-0.03904305969142947
MATS2p,0.007783723435586243
MATS2s,-0.0026677611327724487
MATS2v,-0.019016089160276122
MATS3Z,-0.06610714969372132
MATS3c,-0.07216940754263533
MATS3d,-0.09866071428571438
MATS3i,-0.22942415062235996
MATS3m,-0.06690908733968308
MATS3p,-0.13546005812392228
MATS3s,-0.04686089164785554
MATS3v,-0.11112218532029373
MATS4Z,-0.11192289149792979
MATS4c,-0.07847801580823381
MATS4d,-0.05158730158730162
MATS4i,-0.04943408136204943
MATS4m,-0.11209438547829052
MATS4p,-0.10072305552218552
MATS4s,-0.1491723100075244
MATS4v,-0.10473451639681629
MATS5Z,0.11585949464012253
MATS5c,0.21254778582969328
MATS5d,-0.026785714285714312
MATS5i,0.0005684471483765254
MATS5m,0.11413833783828663
MATS5p,0.06311133399249577
MATS5s,0.23250564334085783
MATS5v,0.07223939972009161
MATS6Z,-0.06094126011813611
MATS6c,-0.17354245436427443
MATS6d,-0.08622448979591844
MATS6i,-0.03135221901904883
MATS6m,-0.060501723074984866
MATS6p,-0.049765023225119664
MATS6s,-0.0879313124798452
MATS6v,-0.0423943700679298
MATS7Z,-0.09678233328692748
MATS7c,0.12584964267460164
MATS7d,-0.11607142857142864
MATS7i,0.1092367823111168
MATS7m,-0.09571490112977585
MATS7p,0.0128037234360961
MATS7s,-0.11704801970038987
MATS7v,-0.029412205053123128
MATS8Z,-0.12124330015313936
MATS8c,-0.10359580189382368
MATS8d,-0.17410714285714293
MATS8i,-0.03176619405909232
MATS8m,-0.12011339359327815
MATS8p,-0.05741665214710791
MATS8s,-0.1184819413092551
MATS8v,-0.08350640207077399
MAXaaN,4.555692082388511
MAXssO,5.240727974761546
MINaaN,4.333375220458554
MINssO,5.240727974761546
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,1
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,7
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,29.68315181021023
SpAD_D,222.53577348419208
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.7315517132779037
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,538
TMWC10,118.36264291131542
TSRW10,55.609121857524265
VE1_Dt,4.631408741842272
VE2_Dt,0.2105185791746487
VE3_Dt,2.3213184460803595
VR1_Dt,119.37681383652217
VR2_Dt,5.426218810751008
VR3_Dt,5.5707423534918
Xc-3dv,0.3837755677118587
Xc-4dv,0.0
Xc-5dv,0.016666666666666666
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.2687287392826324
Xch-7d,0.28624495871139877
Xp-0dv,12.360635223736214
Xp-1dv,7.102557775376464
Xp-2dv,4.83659573187415
Xp-3dv,3.299971230922745
Xp-4dv,2.146881083567135
Xp-5dv,1.4368912190130971
Xp-6dv,0.6867070565517857
Xp-7dv,0.40378946168708907
Xpc-4d,2.205408680328309
Xpc-5d,3.281264622838571
Xpc-6d,4.720557914357945
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,41
nFRing,0
nHBAcc,4
nHBDon,1
nHRing,1
nSpiro,0
naRing,3
piPC10,7.056444644371399
AATS0dv,7.333333333333333
AATS0pe,6.125215384615386
AATS0se,7.535892307692306
AATS1dv,7.317073170731708
AATS1pe,6.452292682926829
AATS1se,7.695154341463411
AATS2dv,5.96969696969697
AATS2pe,6.385904545454546
AATS2se,7.719862484848487
AATS3dv,4.625
AATS3pe,6.189456249999998
AATS3se,7.5796940999999975
AATS4dv,3.962962962962963
AATS4pe,6.1419086419753075
AATS4se,7.577351753086421
AATS5dv,4.076923076923077
AATS5pe,6.042137179487178
AATS5se,7.497748358974359
AATS6dv,3.8857142857142857
AATS6pe,6.110642857142858
AATS6se,7.537412285714285
AATS7dv,3.4545454545454546
AATS7pe,6.098827272727273
AATS7se,7.548175515151515
AATS8dv,2.7333333333333334
AATS8pe,5.944266666666667
AATS8se,7.4161524000000005
AATSC0Z,6.869165023011176
AATSC0c,0.017084060954762042
AATSC0d,0.4786324786324784
AATSC0i,1.5771653746532697
AATSC0m,32.87153177514791
AATSC0p,0.2295991680273017
AATSC0s,0.42070275403608737
AATSC0v,50.88332424488709
AATSC1Z,0.383492888183319
AATSC1c,-0.007609538183536677
AATSC1d,0.1598915989159892
AATSC1i,-0.22865773751222263
AATSC1m,1.7957483299177561
AATSC1p,-0.012342676437312853
AATSC1s,-0.0235621800662451
AATSC1v,-0.18640802269350865
AATSC2Z,-0.2743709282170823
AATSC2c,0.0008058902453727577
AATSC2d,-0.030303030303030335
AATSC2i,0.09143404763867932
AATSC2m,-1.2834051772458202
AATSC2p,0.0017871364249652118
AATSC2s,-0.0011223344556678012
AATSC2v,-0.9676018306120125
AATSC3Z,-0.4541009204470745
AATSC3c,-0.0012329465575274456
AATSC3d,-0.04722222222222224
AATSC3i,-0.3618398264708226
AATSC3m,-2.199404190532539
AATSC3p,-0.031101516646182492
AATSC3s,-0.019714506172839513
AATSC3v,-5.654266186452939
AATSC4Z,-0.7688168115518542
AATSC4c,-0.0013407232056766457
AATSC4d,-0.024691358024691364
AATSC4i,-0.07796572145201691
AATSC4m,-3.684714154065305
AATSC4p,-0.023125929749061514
AATSC4s,-0.06275720164609051
AATSC4v,-5.329240357450647
AATSC5Z,0.7958579881656805
AATSC5c,0.003631179328914188
AATSC5d,-0.012820512820512827
AATSC5i,0.0008965351597398455
