DLiP-ID,I000BU
VE2_A,0.1446270137603728
VE2_D,0.1896551086216307
VE3_A,2.355491469462327
VE3_D,2.626540564907833
VR1_A,546.567290663136
VR1_D,164.71105173034675
VR2_A,20.243232987523555
VR2_D,6.1004093233461765
VR3_A,7.296909203263142
VR3_D,6.097444510130525
WPath,2169
Xc-3d,1.2109977206184839
Xc-4d,0.0
Xc-5d,0.21941609682128765
Xc-6d,0.0
Xp-0d,18.476480726871788
Xp-1d,13.330831138144497
Xp-2d,11.323948540395834
Xp-3d,9.795692493271535
Xp-4d,8.270528219122756
Xp-5d,6.542946400057485
Xp-6d,4.106469774134369
Xp-7d,3.040940316961468
ZMIC0,89.05811855536712
ZMIC1,52.1881456547384
ZMIC2,29.769316842290195
ZMIC3,23.006741276795555
ZMIC4,22.462802169725524
ZMIC5,22.462802169725524
nAcid,0
nAtom,49
nBase,0
nRing,4
piPC1,3.7376696182833684
piPC2,4.347046915777855
piPC3,4.9567069520707
piPC4,5.539546385408632
piPC5,6.013256615721431
piPC6,6.1325503410656825
piPC7,6.469383544354696
piPC8,6.82347737854819
piPC9,6.8574688788222025
AATS0Z,21.918367346938776
AATS0d,3.306122448979592
AATS0i,160.98113705216284
AATS0m,86.46767891836735
AATS0p,1.5636834266668982
AATS0s,2.8151927437641726
AATS0v,228.38493236360836
AATS1Z,24.75
AATS1d,3.923076923076923
AATS1i,147.19408050450002
AATS1m,93.99820873076922
AATS1p,1.8559699767307691
AATS1s,3.092948717948718
AATS1v,270.8610446910847
AATS2Z,20.906976744186046
AATS2d,3.6744186046511627
AATS2i,152.1933796127546
AATS2m,77.64700613953488
AATS2p,1.6450671187470354
AATS2s,2.838178294573644
AATS2v,233.62350990674602
AATS3Z,17.36111111111111
AATS3d,3.1666666666666665
AATS3i,156.76623103953602
AATS3m,62.78697395370369
AATS3p,1.456012339805898
AATS3s,2.592078189300412
AATS3v,198.82282839987343
AATS4Z,15.008771929824562
AATS4d,2.8333333333333335
AATS4i,157.85596990664243
AATS4m,52.60136411403508
AATS4p,1.355882432409956
AATS4s,2.439814814814815
AATS4v,178.6506010431903
AATS5Z,13.179487179487179
AATS5d,2.606837606837607
AATS5i,160.4166140593827
AATS5m,45.39002951282051
AATS5p,1.2614995229091963
AATS5s,2.284188034188034
AATS5v,162.44514231773766
AATS6Z,13.117117117117116
AATS6d,2.5765765765765765
AATS6i,161.33011872862315
AATS6m,45.67016097297297
AATS6p,1.2303890960159638
AATS6s,2.27002002002002
AATS6v,159.20553735887472
AATS7Z,14.128712871287128
AATS7d,2.6930693069306932
AATS7i,162.57277821918336
AATS7m,50.644067693069296
AATS7p,1.2224256638843465
AATS7s,2.336358635863587
AATS7v,162.51997143899962
AATS8Z,16.209302325581394
AATS8d,2.8255813953488373
AATS8i,159.68182351932538
AATS8m,58.147625999999995
AATS8p,1.346744719310872
AATS8s,2.6534237726098198
AATS8v,182.80360478124598
AMID_C,1.7016346223253096
AMID_N,0.30294398130628913
AMID_O,0.0706744639229124
AMID_X,0.0
AMID_h,0.3736184452292015
ATS0dv,338.0
ATS0pe,298.335
ATS0se,367.85581999999994
ATS1dv,366.0
ATS1pe,336.264
ATS1se,401.11543199999994
ATS2dv,483.0
ATS2pe,545.107
ATS2se,659.651792
ATS3dv,445.0
ATS3pe,665.6541
ATS3se,816.622628
ATS4dv,351.0
ATS4pe,691.0402
ATS4se,854.925388
ATS5dv,313.0
ATS5pe,695.2437
ATS5se,869.380228
ATS6dv,341.0
ATS6pe,654.2349999999999
ATS6se,820.8095599999999
ATS7dv,358.0
ATS7pe,598.0805000000001
ATS7se,750.2597640000001
ATS8dv,337.0
ATS8pe,529.2661999999999
ATS8se,653.7874079999999
ATSC0Z,337.2653061224489
ATSC0c,0.9322529858198938
ATSC0d,24.775510204081638
ATSC0i,77.38473186076128
ATSC0m,1614.8179399591836
ATSC0p,11.215267126863386
ATSC0s,17.989795918367346
ATSC0v,2501.690050907403
ATSC1Z,17.61640982923783
ATSC1c,-0.3736179332166515
ATSC1d,9.911703456892958
ATSC1i,-5.948449119692734
ATSC1m,84.60202861474373
ATSC1p,0.009882706478443748
ATSC1s,-0.5413253736868928
ATSC1v,86.5942317001568
ATSC2Z,-26.506455643481864
ATSC2c,-0.16327694050609212
ATSC2d,-2.0957934194085834
ATSC2i,-12.439785293774179
ATSC2m,-121.86489586713884
ATSC2p,-0.269559018826866
ATSC2s,-2.2547665324633295
ATSC2v,-85.81102339892969
ATSC3Z,-53.013327780091615
ATSC3c,0.05971250194763379
ATSC3d,-13.21949187838401
ATSC3i,-10.814887248172068
ATSC3m,-255.8817111549355
ATSC3p,-1.8043116509143866
ATSC3s,-0.9378268314128398
ATSC3v,-413.9857148742206
ATSC4Z,-130.67846730528947
ATSC4c,0.06288057187423104
ATSC4d,-13.743023740108288
ATSC4i,-14.62111914871167
ATSC4m,-632.1220440070804
ATSC4p,-4.3733920754328
ATSC4s,-3.7013165810541913
ATSC4v,-1068.8441487102987
ATSC5Z,-80.08246563931696
ATSC5c,0.017749980675314837
ATSC5d,-1.5864223240316524
ATSC5i,5.6603237769517465
ATSC5m,-382.22750875968336
ATSC5p,-1.3487468550041295
ATSC5s,-5.159875514831782
ATSC5v,-465.1859722060557
ATSC6Z,15.133694294044139
ATSC6c,-0.16430066954208433
ATSC6d,7.794252394835488
ATSC6i,-5.235008796347626
ATSC6m,73.09362711286968
ATSC6p,-0.04729127748995893
ATSC6s,0.07810403072794014
ATSC6v,80.84911676549885
ATSC7Z,142.10620574760515
ATSC7c,-0.0065104955499357955
ATSC7d,4.279050395668472
ATSC7i,4.006071746004594
ATSC7m,682.4074024310704
ATSC7p,3.156680673205569
ATSC7s,6.797110000462773
ATSC7v,944.6026531685675
ATSC8Z,-11.73094543940024
ATSC8c,0.1186622334217675
ATSC8d,-4.810079133694295
ATSC8i,5.255368897343936
ATSC8m,-57.19316970387341
ATSC8p,0.26219213531791097
ATSC8s,1.4141677078994848
ATSC8v,-36.964857596940114
AXp-0d,0.6843141009952514
AXp-1d,0.4443610379381499
AXp-2d,0.28309871350989585
AXp-3d,0.18482438666550066
AXp-4d,0.12162541498709935
AXp-5d,0.08178683000071856
AXp-6d,0.05333077628745934
AXp-7d,0.03535977112745893
GATS1Z,0.8197153203809384
GATS1c,1.4436405172365838
GATS1d,0.6520086174122417
GATS1i,1.2128677855176149
GATS1m,0.8205325820690629
GATS1p,0.9790684591292097
GATS1s,0.908634757188359
GATS1v,0.8940781836516757
GATS2Z,0.9697699748669469
GATS2c,1.24889752316622
GATS2d,1.239032987241868
GATS2i,1.1702965113811123
GATS2m,0.966719394366953
GATS2p,0.9856373486392449
GATS2s,1.0626178949728924
GATS2v,0.953605988305701
GATS3Z,1.0239219008431162
GATS3c,1.0852860516735436
GATS3d,1.372322899505766
GATS3i,1.1044916166859193
GATS3m,1.024132103872975
GATS3p,1.0373480325690034
GATS3s,0.9432644972444557
GATS3v,1.0269889715760727
GATS4Z,1.131703153563444
GATS4c,1.0572976819253932
GATS4d,1.2406138905748718
GATS4i,1.0760766401572355
GATS4m,1.1332574423017052
GATS4p,1.1440957850082605
GATS4s,1.0060934146673168
GATS4v,1.1526061614997865
GATS5Z,1.0923455502906068
GATS5c,1.0159828955207697
GATS5d,0.9521395682845434
GATS5i,0.9152369672746784
GATS5m,1.0916704683532752
GATS5p,1.0373219042568225
GATS5s,1.0949543723224948
GATS5v,1.066952784421536
GATS6Z,0.9808622612688935
GATS6c,1.035276455160911
GATS6d,0.7854312302417737
GATS6i,0.9631533081900314
GATS6m,0.9807579542268859
GATS6p,0.9901864016151573
GATS6s,0.9615060324079042
GATS6v,0.983410513861997
GATS7Z,0.8194036879181082
GATS7c,1.0498750863099389
GATS7d,1.0070628150129675
GATS7i,0.9016735562105591
GATS7m,0.8172782161066955
GATS7p,0.8472355358752376
GATS7s,0.8780188285419581
GATS7v,0.8107156011275298
GATS8Z,1.0260364921800464
GATS8c,1.2150706541992313
GATS8d,1.1263936247653346
GATS8i,0.9507565560705881
GATS8m,1.0223633719236882
GATS8p,0.9508893148558086
GATS8s,1.1225140374713645
GATS8v,0.9595904927685787
MATS1Z,0.04921964456939652
MATS1c,-0.3776475461159521
MATS1d,0.3769801039158533
MATS1i,-0.07243378930191258
MATS1m,0.049368501783255865
MATS1p,0.0008303458339526044
MATS1s,-0.02835468873472293
MATS1v,0.03261731428756944
MATS2Z,-0.04477933291867077
MATS2c,-0.09979038535890765
MATS2d,-0.04819738707329228
MATS2i,-0.09159151261104365
MATS2m,-0.04299843855621687
MATS2p,-0.013694364195706351
MATS2s,-0.07141229200285526
MATS2v,-0.019543718962188244
MATS3Z,-0.07131579419186825
MATS3c,0.0290605486956199
MATS3d,-0.24208310452132528
MATS3i,-0.06340726757911845
MATS3m,-0.07189323154532824
MATS3p,-0.0729918306354731
MATS3s,-0.023652047459320487
MATS3v,-0.07507998524866481
MATS4Z,-0.16654192967593867
MATS4c,0.02899171645223859
MATS4d,-0.23842452093991154
MATS4i,-0.08121131874736218
MATS4m,-0.16825524017010882
MATS4p,-0.16761003633751276
MATS4s,-0.08843439821587122
MATS4v,-0.18364204121188935
MATS5Z,-0.09944340490147102
MATS5c,0.007973964903935026
MATS5d,-0.02681676734395019
MATS5i,0.030633471129512174
MATS5m,-0.09913079578080193
MATS5p,-0.05036525546708621
MATS5s,-0.12012218015243159
MATS5v,-0.07787594449145425
MATS6Z,0.019808262819275762
MATS6c,-0.07779983062072367
MATS6d,0.13887528385057216
MATS6i,-0.029863123815902403
MATS6m,0.019981544243745514
MATS6p,-0.0018614206390831832
MATS6s,0.0019165506970385687
MATS6v,0.014266415870057057
MATS7Z,0.2044165629197556
MATS7c,-0.003388090244860605
MATS7d,0.08379141044252696
MATS7i,0.025115287101590597
MATS7m,0.20501935829463333
MATS7p,0.13655126740564552
MATS7s,0.18330434858573785
MATS7v,0.18318519280327322
MATS8Z,-0.019817961267516435
MATS8c,0.072523100714672
MATS8d,-0.11061836711237116
MATS8i,0.038694171584912056
MATS8m,-0.020179863740485242
MATS8p,0.013320105578064735
MATS8s,0.044789097160847176
MATS8v,-0.008418857621512966
MAXaaN,4.031628287642598
MAXssO,5.560683783742045
MINaaN,4.031628287642598
MINssO,5.560683783742045
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,2
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,36.27407078192469
SpAD_D,332.27795713632366
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.763414622978566
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,754
TMWC10,132.32511536873872
TSRW10,75.8939915601188
VE1_Dt,5.114962638810449
VE2_Dt,0.1894430606966833
VE3_Dt,2.625421868146816
VR1_Dt,165.64885460244378
VR2_Dt,6.135142763053473
VR3_Dt,6.1031219871681035
Xc-3dv,0.544160655327621
Xc-4dv,0.0
Xc-5dv,0.06730646131876711
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.4575609329252077
Xch-7d,0.6122195730722703
Xp-0dv,15.19787867861243
Xp-1dv,8.972628342324795
Xp-2dv,6.312225501625
Xp-3dv,4.555230164295105
Xp-4dv,3.187222410097586
Xp-5dv,2.099837280894935
Xp-6dv,1.116621241967303
Xp-7dv,0.695433944489014
Xpc-4d,3.1372466804447545
Xpc-5d,5.198580820702732
Xpc-6d,7.20595526472464
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,52
nFRing,1
nHBAcc,4
nHBDon,3
nHRing,2
nSpiro,0
naRing,4
piPC10,7.177761542885748
AATS0dv,6.8979591836734695
AATS0pe,6.088469387755102
AATS0se,7.50726163265306
AATS1dv,7.038461538461538
AATS1pe,6.466615384615385
AATS1se,7.713758307692307
AATS2dv,5.616279069767442
AATS2pe,6.338453488372092
AATS2se,7.6703696744186045
AATS3dv,4.12037037037037
AATS3pe,6.163463888888889
AATS3se,7.56132062962963
AATS4dv,3.0789473684210527
AATS4pe,6.0617561403508775
AATS4se,7.499345508771929
AATS5dv,2.675213675213675
AATS5pe,5.942253846153846
AATS5se,7.430600239316239
AATS6dv,3.0720720720720722
AATS6pe,5.894009009009008
AATS6se,7.39468072072072
AATS7dv,3.5445544554455446
AATS7pe,5.921589108910893
AATS7se,7.428314495049507
AATS8dv,3.9186046511627906
AATS8pe,6.154258139534883
AATS8se,7.602179162790697
AATSC0Z,6.882965431070386
AATSC0c,0.019025571139181505
AATSC0d,0.5056226572261558
AATSC0i,1.5792802420563525
AATSC0m,32.95546816243232
AATSC0p,0.2288830025890487
AATSC0s,0.36713869221157847
AATSC0v,51.05489899811027
AATSC1Z,0.33877711210072753
AATSC1c,-0.007184960254166374
AATSC1d,0.1906096818633261
AATSC1i,-0.11439325230178335
AATSC1m,1.6269620887450718
AATSC1p,0.00019005204766237976
AATSC1s,-0.010410103340132554
AATSC1v,1.6652736865414768
AATSC2Z,-0.30821460050560306
AATSC2c,-0.001898569075652234
AATSC2d,-0.02436969092335562
AATSC2i,-0.1446486662066765
AATSC2m,-1.4170336728737074
AATSC2p,-0.0031344071956612325
AATSC2s,-0.026218215493759644
AATSC2v,-0.9978025976619732
AATSC3Z,-0.4908641461119594
AATSC3c,0.0005528935365521647
AATSC3d,-0.12240270257762972
AATSC3i,-0.10013784489048211
AATSC3m,-2.36927510328644
AATSC3p,-0.016706589360318394
AATSC3s,-0.00868358177234111
AATSC3v,-3.8332010636501908
AATSC4Z,-1.146302344783241
AATSC4c,0.0005515839638090442
AATSC4d,-0.12055283982551131
AATSC4i,-0.12825543112904975
AATSC4m,-5.544930210588424
AATSC4p,-0.03836308838098948
AATSC4s,-0.03246768930749291
AATSC4v,-9.375825865879813
AATSC5Z,-0.6844655182847604
AATSC5c,0.00015170923654115245
AATSC5d,-0.013559165162663697
AATSC5i,0.048378835700442276
