DLiP-ID,C001EM
Vabc,409.94822102266966
WPol,75
apol,71.40216899999999
bpol,36.27983100000001
nRot,1
ABCGG,20.273553392005457
ATS0Z,1310.0
ATS0d,233.0
ATS0i,10478.775337250217
ATS0m,5148.729432000001
ATS0p,93.755341860017
ATS0s,248.0
ATS0v,13569.597194531712
ATS1Z,1607.0
ATS1d,315.0
ATS1i,10059.550092420603
ATS1m,6034.805408999999
ATS1p,129.24703757199998
ATS1s,187.31944444444446
ATS1v,18554.267252390222
ATS2Z,2787.0
ATS2d,582.0
ATS2i,20083.551648718236
ATS2m,10450.536599000001
ATS2p,222.14418378443298
ATS2s,340.02083333333337
ATS2v,31595.581515870806
ATS3Z,3670.0
ATS3d,724.0
ATS3i,30821.283939584784
ATS3m,13273.089298999997
ATS3p,302.12854157043296
ATS3s,570.6250000000001
ATS3v,41854.471478794825
ATS4Z,3797.0
ATS4d,782.0
ATS4i,43219.06642494395
ATS4m,13105.506037999998
ATS4p,349.01376496190295
ATS4s,706.1388888888888
ATS4v,45779.846571551156
ATS5Z,3324.0
ATS5d,740.0
ATS5i,47711.79379005957
ATS5m,11100.092008999998
ATS5p,333.58575113192
ATS5s,699.3402777777778
ATS5v,41874.28202796
ATS6Z,2762.0
ATS6d,621.0
ATS6i,41433.525781398166
ATS6m,9305.282561
ATS6p,277.61421287816495
ATS6s,558.8819444444443
ATS6v,34845.95861022151
ATS7Z,2432.0
ATS7d,499.0
ATS7i,31804.028613571198
ATS7m,8301.915539
ATS7p,228.503942750148
ATS7s,518.7430555555555
ATS7v,29332.16026354904
ATS8Z,1966.0
ATS8d,407.0
ATS8i,28256.767301595402
ATS8m,6546.731065
ATS8p,190.03335010675198
ATS8s,453.5277777777778
ATS8v,24133.193997228303
C1SP1,0
C1SP2,0
C1SP3,4
C2SP1,0
C2SP2,8
C2SP3,7
C3SP2,3
C3SP3,3
C4SP3,2
FCSP3,0.5925925925925926
GGI10,0.18039383736353434
JGI10,0.009494412492817598
JGT10,0.6450830912296053
Kier1,22.463111760409056
Kier2,7.029478458049887
Kier3,2.773939844829419
MAXdO,12.9616327758274
MID_C,57.09028158703315
MID_N,2.1001049129110805
MID_O,7.34518757156558
MID_X,0.0
MID_h,9.44529248447666
MINdO,12.9616327758274
MPC10,645
MWC01,37.0
MWC02,5.303304908059076
MWC03,6.255750041753367
MWC04,7.244941546337007
MWC05,8.22121009392507
MWC06,9.215825302206753
MWC07,10.202739930102645
MWC08,11.201046323792598
MWC09,12.194379546939128
MWC10,13.195288507418885
NaaCH,4
NaaNH,1
NaaSe,0
NaaaC,2
NaasC,2
NaasN,0
NdCH2,0
NddsN,0
NdsCH,1
NdssC,2
NdssS,0
NsCH3,4
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,3.9567000000000023
SRW02,4.31748811353631
SRW03,0.0
SRW04,5.7899601708972535
SRW05,3.044522437723423
SRW06,7.473637108496206
SRW07,5.58724865840025
SRW08,9.26245832623829
SRW09,7.860570785538664
SRW10,11.11207469441281
SaaCH,8.488742087938515
SaaNH,3.737165462820675
SaaSe,0
SaaaC,2.4531010441111456
SaasC,2.660685302268546
SaasN,0
SdCH2,0
SddsN,0
SdsCH,1.6100897581254725
SdssC,0.4790839795258992
SdssS,0
SsCH3,7.772751587262545
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.640082361661435
VE1_D,5.561832874263418
VE2_A,0.14500257380191983
VE2_D,0.1738072773207318
VE3_A,2.697882926244377
VE3_D,2.879078517388847
VR1_A,385.3385294386136
VR1_D,227.51085798699484
VR2_A,12.041829044956675
VR2_D,7.109714312093589
VR3_A,7.11727305498126
VR3_D,6.5903487744731315
WPath,2524
Xc-3d,4.438034835658223
Xc-4d,0.5624588881924304
Xc-5d,2.450616986682212
Xc-6d,0.8056846637968422
Xp-0d,22.681433796945203
Xp-1d,15.004803740988452
Xp-2d,16.044462607531255
Xp-3d,14.612104783307034
Xp-4d,12.849359045045679
Xp-5d,10.818658449649003
Xp-6d,8.648713710922838
Xp-7d,7.131340289230877
ZMIC0,110.24602902906031
ZMIC1,48.629703294494995
ZMIC2,31.019612388821542
ZMIC3,25.186497982609136
ZMIC4,25.06273281913134
ZMIC5,25.06273281913134
nAcid,0
nAtom,65
nBase,0
nRing,6
piPC1,3.8066624897703196
piPC2,4.468777561082536
piPC3,5.088367642636608
piPC4,5.678678319060289
piPC5,6.194532933991141
piPC6,6.613195442173191
piPC7,7.064324905796705
piPC8,7.46157977614732
piPC9,7.701947230443827
AATS0Z,20.153846153846153
AATS0d,3.5846153846153848
AATS0i,161.21192826538797
AATS0m,79.21122203076925
AATS0p,1.4423898747694923
AATS0s,3.8153846153846156
AATS0v,208.76303376202634
AATS1Z,22.957142857142856
AATS1d,4.5
AATS1i,143.70785846315147
AATS1m,86.21150584285712
AATS1p,1.8463862510285711
AATS1s,2.6759920634920635
AATS1v,265.06096074843174
AATS2Z,20.644444444444446
AATS2d,4.311111111111111
AATS2i,148.7670492497647
AATS2m,77.41138221481482
AATS2p,1.6455124724772814
AATS2s,2.518672839506173
AATS2v,234.04134456200597
AATS3Z,18.07881773399015
AATS3d,3.5665024630541873
AATS3i,151.82898492406298
AATS3m,65.38467634975368
AATS3p,1.4883179387706058
AATS3s,2.8109605911330053
AATS3v,206.17966245711736
AATS4Z,13.857664233576642
AATS4d,2.854014598540146
AATS4i,157.73381906913852
AATS4m,47.830314007299265
AATS4p,1.2737728648244633
AATS4s,2.577149229521492
AATS4v,167.07973201296042
AATS5Z,11.267796610169492
AATS5d,2.5084745762711864
AATS5i,161.73489420359178
AATS5m,37.62743053898304
AATS5p,1.1307991563793898
AATS5s,2.370645009416196
AATS5v,141.94671873884747
AATS6Z,10.874015748031496
AATS6d,2.4448818897637796
AATS6i,163.12411724959907
AATS6m,36.634970712598424
AATS6p,1.0929693420400195
AATS6s,2.2003226159230094
AATS6v,137.18881342606895
AATS7Z,12.282828282828282
AATS7d,2.5202020202020203
AATS7i,160.62640713924847
AATS7m,41.92886635858586
AATS7p,1.1540603169199395
AATS7s,2.6199144219977555
AATS7v,148.142223553278
AATS8Z,11.298850574712644
AATS8d,2.339080459770115
AATS8i,162.39521437698508
AATS8m,37.62489117816092
AATS8p,1.0921456902686895
AATS8s,2.606481481481482
AATS8v,138.69651722545
AMID_C,1.7840712995947858
AMID_N,0.06562827852847126
AMID_O,0.22953711161142437
AMID_X,0.0
AMID_h,0.2951653901398956
ATS0dv,394.0
ATS0pe,391.86350000000004
ATS0se,488.91174399999994
ATS1dv,433.0
ATS1pe,444.56299999999993
ATS1se,534.676492
ATS2dv,696.0
ATS2pe,836.6355
ATS2se,1020.2844759999998
ATS3dv,782.0
ATS3pe,1269.1417000000001
ATS3se,1555.477724
ATS4dv,691.0
ATS4pe,1655.6642
ATS4se,2065.2662880000003
ATS5dv,581.0
ATS5pe,1728.0477
ATS5se,2186.938532
ATS6dv,496.0
ATS6pe,1469.6734999999999
ATS6se,1870.514052
ATS7dv,451.0
ATS7pe,1172.2277
ATS7se,1478.235628
ATS8dv,359.0
ATS8pe,1031.4646
ATS8se,1305.78114
ATSC0Z,467.59999999999997
ATSC0c,0.9147160943926768
ATSC0d,56.86153846153847
ATSC0i,89.12410160784214
ATSC0m,2230.0217689846154
ATSC0p,15.320422815331446
ATSC0s,86.36538461538464
ATSC0v,3374.03721669992
ATSC1Z,22.99999999999999
ATSC1c,-0.44002531340040835
ATSC1d,30.595266272189352
ATSC1i,9.40583519657276
ATSC1m,115.98600640118325
ATSC1p,1.8067706290681207
ATSC1s,-11.554815910585141
ATSC1v,353.2235962293731
ATSC2Z,191.39999999999998
ATSC2c,-0.0948235837866293
ATSC2d,1.2875739644970516
ATSC2i,10.561914230086687
ATSC2m,915.798888093491
ATSC2p,3.6691843109412603
ATSC2s,8.685034516765286
ATSC2v,1183.9300281597177
ATSC3Z,-107.12000000000002
ATSC3c,0.17295048859086812
ATSC3d,-28.013727810650874
ATSC3i,-30.06637819554351
ATSC3m,-519.7558901057989
ATSC3p,-3.980816228479268
ATSC3s,-3.0616370808678486
ATSC3v,-983.8256191519549
ATSC4Z,-276.76
ATSC4c,-0.06448765107955291
ATSC4d,-26.185562130177512
ATSC4i,-29.796010314285013
ATSC4m,-1326.546692119763
ATSC4p,-6.579404574134311
ATSC4s,10.180062458908612
ATSC4v,-1860.144269993556
ATSC5Z,-153.60000000000002
ATSC5c,0.038473640688818506
ATSC5d,-3.0485207100591736
ATSC5i,-9.363570947354562
ATSC5m,-735.8674263609465
ATSC5p,-3.3667704422210405
ATSC5s,-6.6865959894806055
ATSC5v,-989.4543264776046
ATSC6Z,74.24000000000001
ATSC6c,-0.25538398862658207
ATSC6d,-4.335857988165685
ATSC6i,16.26483704172284
ATSC6m,364.13260330627224
ATSC6p,2.860574161721932
ATSC6s,-17.1599687705457
ATSC6v,744.880171531844
ATSC7Z,-38.319999999999965
ATSC7c,0.34100361909652144
ATSC7d,-11.40899408284024
ATSC7i,-12.26620767327833
ATSC7m,-192.25286873775147
ATSC7p,-2.661303599694759
ATSC7s,8.44670447074294
ATSC7v,-543.4040729845298
ATSC8Z,-109.76000000000003
ATSC8c,-0.19170613661053043
ATSC8d,-3.829349112426037
ATSC8i,-7.07966365871419
ATSC8m,-515.6622896972781
ATSC8p,-1.218747026416103
ATSC8s,-25.513149243918473
ATSC8v,-495.52802761706755
AXp-0d,0.7087948061545376
AXp-1d,0.40553523624293114
AXp-2d,0.25467400964335324
AXp-3d,0.15064025549801066
AXp-4d,0.09048844397919492
AXp-5d,0.05463968913964143
AXp-6d,0.033010357675278004
AXp-7d,0.020202097136631382
GATS1Z,0.8857387266283759
GATS1c,1.3795233004744012
GATS1d,0.8843537414965984
GATS1i,1.0982519001131874
GATS1m,0.8892475775709259
GATS1p,1.0394007419737956
GATS1s,0.8466060869534482
GATS1v,0.9813486793384405
GATS2Z,0.7477109273516459
GATS2c,0.8950214781241813
GATS2d,1.638287638287638
GATS2i,1.0620590474368583
GATS2m,0.7517874520156806
GATS2p,0.9858385606191095
GATS2s,0.6202759428321661
GATS2v,0.8859827383646584
GATS3Z,1.0652867382757356
GATS3c,1.0512171984436358
GATS3d,1.566331861898364
GATS3i,1.1908842862649753
GATS3m,1.066003336650958
GATS3p,1.137432107960778
GATS3s,1.0782589322657963
GATS3v,1.1051078617291112
GATS4Z,1.1304190367960638
GATS4c,1.123742072129722
GATS4d,1.1296489398679177
GATS4i,1.1054088010097693
GATS4m,1.1305270762841322
GATS4p,1.0985029919086169
GATS4s,0.8641964473237722
GATS4v,1.1155228288136454
GATS5Z,1.053660234011396
GATS5c,0.930123289004631
GATS5d,0.8718174480886344
GATS5i,0.9947724397531232
GATS5m,1.0541960562659718
GATS5p,1.0127892077650122
GATS5s,1.0221801208610983
GATS5v,1.0395655687303489
GATS6Z,0.9400321965742306
GATS6c,0.9688921118208788
GATS6d,0.8862528547567916
GATS6i,0.895859377131563
GATS6m,0.939217776961259
GATS6p,0.909148064069969
GATS6s,0.9623804817762284
GATS6v,0.9181030086541279
GATS7Z,1.021333955465692
GATS7c,0.8610961304828194
GATS7d,0.9891118982028071
GATS7i,1.0074250673114964
GATS7m,1.0215886511762675
GATS7p,1.0325394150902922
GATS7s,1.0969758446935018
GATS7v,1.0299200924068548
GATS8Z,1.1087185235440449
GATS8c,1.1837269050077899
GATS8d,0.9120764293178084
GATS8i,0.9618959741779041
GATS8m,1.1034247694345436
GATS8p,0.9845441766865595
GATS8s,1.4593614645212087
GATS8v,1.01276749481446
MATS1Z,0.04567395820603689
MATS1c,-0.44669043911717027
MATS1d,0.4996328076685219
MATS1i,0.0979980686236783
MATS1m,0.048296071884213344
MATS1p,0.10950843879163445
MATS1s,-0.12423347576988188
MATS1v,0.09721094294171724
MATS2Z,0.19708202642334377
MATS2c,-0.049912535573436806
MATS2d,0.01090267756934432
MATS2i,0.0570593814584383
MATS2m,0.19772910359485799
MATS2p,0.1153130249181303
MATS2s,0.04841851054647015
MATS2v,0.16894905044535885
MATS3Z,-0.07335223992549737
MATS3c,0.060541446250439133
MATS3d,-0.15775009063186393
MATS3i,-0.10801977532891595
MATS3m,-0.07462900232733971
MATS3p,-0.08319911309002535
MATS3s,-0.011350926629760151
MATS3v,-0.09336531732201701
MATS4Z,-0.14040792242418187
MATS4c,-0.016724495716062472
MATS4d,-0.10924613707460419
MATS4i,-0.07930959729058769
MATS4m,-0.14111599174000333
MATS4p,-0.10187758348849157
MATS4s,0.027962340830168932
MATS4v,-0.13078548700109455
MATS5Z,-0.07237824592944862
MATS5c,0.009267621850762797
MATS5d,-0.011813045711350802
MATS5i,-0.023149290293468995
MATS5m,-0.07270793614648967
MATS5p,-0.04842103800570514
MATS5s,-0.01705912347817627
MATS5v,-0.06461557655388674
MATS6Z,0.0406296518324431
MATS6c,-0.0714474914330854
MATS6d,-0.01951354092102125
MATS6i,0.04670186147849748
MATS6m,0.041785932994995306
MATS6p,0.047781755357056956
MATS6s,-0.050845956518850856
MATS6v,0.05649580288867717
MATS7Z,-0.026902904148413107
MATS7c,0.12238292648169959
MATS7d,-0.06586836984564258
MATS7i,-0.04518177770819761
MATS7m,-0.028301658922124988
MATS7p,-0.057025859087438395
MATS7s,0.03210670624201391
MATS7v,-0.05287144584440887
MATS8Z,-0.08768669557436853
MATS8c,-0.07829135380529753
MATS8d,-0.025157672786983137
MATS8i,-0.029674374201388652
MATS8m,-0.08638142785027476
MATS8p,-0.02971713425145263
MATS8s,-0.11035409829165921
MATS8v,-0.05486336780260319
MAXsOH,12.388153659611994
MAXssO,6.152386794619389
MINsOH,10.451181949373392
MINssO,6.152386794619389
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,5
NssNH2,0
NsssAs,0
NsssCH,3
NsssNH,0
NssssB,0
NssssC,4
NssssN,0
Radius,7
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,41.238782806978
SpAD_D,328.0584326755459
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,4.118436771102941
SssNH2,0
SsssAs,0
SsssCH,-0.7555795739120053
SsssNH,0
SssssB,0
SssssC,-3.01783159867591
SssssN,0
TMPC10,2820
TMWC10,152.03448620053453
TSRW10,86.44796029524322
VE1_Dt,5.653235730406091
VE2_Dt,0.17666361657519034
VE3_Dt,2.895378886683558
VR1_Dt,211.13126457517953
VR2_Dt,6.59785201797436
VR3_Dt,6.515630856844783
Xc-3dv,2.8588675044239484
Xc-4dv,0.329185046922707
Xc-5dv,1.4398129342387054
Xc-6dv,0.4676823281100648
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.14660880187581576
Xch-6d,0.6601611516593159
Xch-7d,1.5585757999980867
Xp-0dv,19.36525983137739
Xp-1dv,11.967548381452836
Xp-2dv,11.557742272245518
Xp-3dv,9.74276195172099
Xp-4dv,7.8153058705187854
Xp-5dv,6.072485952162635
Xp-6dv,4.521814196797459
Xp-7dv,3.392237738187538
Xpc-4d,11.108480363161663
Xpc-5d,19.97860914374827
Xpc-6d,35.13066937703513
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,4
n7Ring,0
n8Ring,0
n9Ring,0
nARing,4
nBonds,70
nFRing,1
nHBAcc,4
nHBDon,3
nHRing,2
nSpiro,0
naRing,2
piPC10,8.053288426232324
AATS0dv,6.061538461538461
AATS0pe,6.028669230769231
AATS0se,7.521719138461537
AATS1dv,6.185714285714286
AATS1pe,6.350899999999999
AATS1se,7.638235600000001
AATS2dv,5.155555555555556
AATS2pe,6.1973
AATS2se,7.557662785185184
AATS3dv,3.852216748768473
AATS3pe,6.251929556650247
AATS3se,7.662451842364533
AATS4dv,2.521897810218978
AATS4pe,6.0425700729927
AATS4se,7.537468204379563
AATS5dv,1.9694915254237289
AATS5pe,5.857788813559322
AATS5se,7.413350955932204
AATS6dv,1.952755905511811
AATS6pe,5.786116141732283
AATS6se,7.364228551181102
AATS7dv,2.2777777777777777
AATS7pe,5.920341919191919
AATS7se,7.465836505050505
AATS8dv,2.0632183908045976
AATS8pe,5.927957471264368
AATS8se,7.504489310344828
AATSC0Z,7.193846153846153
AATSC0c,0.014072555298348874
AATSC0d,0.8747928994082842
AATSC0i,1.3711400247360328
AATSC0m,34.30802721514793
AATSC0p,0.2356988125435607
AATSC0s,1.3286982248520713
AATSC0v,51.90826487230646
AATSC1Z,0.3285714285714284
AATSC1c,-0.006286075905720119
AATSC1d,0.4370752324598479
AATSC1i,0.1343690742367537
AATSC1m,1.656942948588332
AATSC1p,0.02581100898668744
AATSC1s,-0.16506879872264488
AATSC1v,5.046051374705329
AATSC2Z,1.4177777777777776
AATSC2c,-0.0007023969169379948
AATSC2d,0.009537584922200382
AATSC2i,0.07823640170434583
AATSC2m,6.783695467359192
AATSC2p,0.027179143044009337
AATSC2s,0.06433358901307619
AATSC2v,8.769852060442354
AATSC3Z,-0.5276847290640395
AATSC3c,0.0008519728502013208
AATSC3d,-0.13799865916576784
AATSC3i,-0.1481102374164705
AATSC3m,-2.560373842885709
AATSC3p,-0.019609932159996395
AATSC3s,-0.015081956063388417
AATSC3v,-4.846431621438201
AATSC4Z,-1.01007299270073
AATSC4c,-0.000235356390801288
AATSC4d,-0.09556774500064785
AATSC4i,-0.10874456319082121
