DLiP-ID,T003DF
Kier2,9.666864961332541
Kier3,5.331434674261303
MAXdO,13.11878825554556
MID_C,41.49182583836359
MID_N,7.8970044227051766
MID_O,5.18515957234035
MID_X,0.0
MID_h,13.082163995045526
MINdO,10.583492876613688
MPC10,132
MWC01,29.0
MWC02,4.948759890378168
MWC03,5.796057750765372
MWC04,6.678342114654332
MWC05,7.553286605600419
MWC06,8.446985296372741
MWC07,9.337589572891646
MWC08,10.239852640559992
MWC09,11.140716200112923
MWC10,12.049249230459402
NaaCH,4
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,2
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,3
NdssS,0
NsCH3,0
NsNH2,1
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,2
NsssP,0
SLogP,2.0444699999999996
SRW02,4.07753744390572
SRW03,0.0
SRW04,5.407171771460119
SRW05,2.3978952727983707
SRW06,6.932447891572509
SRW07,4.844187086458591
SRW08,8.54849804124465
SRW09,7.034387929915503
SRW10,10.217166265013583
SaaCH,7.307350483149268
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.5363801991917112
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.4947464481852424
SdssS,0
SsCH3,0
SsNH2,5.4966888934336735
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,4.219375461349217
SsssP,0
VE1_A,3.934930499967222
VE1_D,5.088899106453496
VE2_A,0.14573816666545267
VE2_D,0.18847774468346282
VE3_A,2.363144992707721
VE3_D,2.6203132946105603
VR1_A,963.5596431230724
VR1_D,164.79778433034565
VR2_A,35.68739418974342
VR2_D,6.103621641864653
VR3_A,7.863886161515579
VR3_D,6.097970945797858
WPath,2176
Xc-3d,2.1915779297059386
Xc-4d,0.10206207261596575
Xc-5d,0.552749430154621
Xc-6d,0.05892556509887896
Xp-0d,19.440946820939047
Xp-1d,12.910321266497533
Xp-2d,11.894133673881152
Xp-3d,9.693321174238855
Xp-4d,7.501784903993215
Xp-5d,5.785648871383247
Xp-6d,4.298164623992845
Xp-7d,3.2740599121834872
ZMIC0,90.76197324502361
ZMIC1,45.8881443169546
ZMIC2,32.249842838237846
ZMIC3,26.283681013169577
ZMIC4,24.994840817153836
ZMIC5,24.994840817153836
nAcid,1
nAtom,55
nBase,3
nRing,3
piPC1,3.58351893845611
piPC2,4.051784947803305
piPC3,4.457250055911469
piPC4,4.8313092462821
piPC5,5.243399088787456
piPC6,5.4542521681687965
piPC7,5.746003490090163
piPC8,5.851483830803552
piPC9,5.949339620807311
AATS0Z,20.654545454545456
AATS0d,3.0545454545454547
AATS0i,165.7253724932086
AATS0m,81.20764383636369
AATS0p,1.3635776970140359
AATS0s,4.81729797979798
AATS0v,199.32930732422636
AATS1Z,22.82456140350877
AATS1d,3.789473684210526
AATS1i,149.204277504029
AATS1m,85.40710584210528
AATS1p,1.7258678653684216
AATS1s,3.014376218323587
AATS1v,249.05555675423906
AATS2Z,18.826923076923077
AATS2d,3.4326923076923075
AATS2i,155.54654753516576
AATS2m,68.9865853173077
AATS2p,1.4956951345513367
AATS2s,2.945379273504273
AATS2v,207.53794205071458
AATS3Z,14.646666666666667
AATS3d,2.7933333333333334
AATS3i,159.88535698982488
AATS3m,51.330571346666666
AATS3p,1.2833575413071598
AATS3s,2.5907407407407406
AATS3v,170.72721399558245
AATS4Z,12.047058823529412
AATS4d,2.3588235294117648
AATS4i,163.32033908054447
AATS4m,40.363314323529416
AATS4p,1.134106167330953
AATS4s,2.617565359477124
AATS4v,145.04714651028846
AATS5Z,10.563636363636364
AATS5d,2.2606060606060607
AATS5i,167.3965099835639
AATS5m,35.3132050060606
AATS5p,1.0351848060075273
AATS5s,2.3569865319865317
AATS5v,129.16766445938697
AATS6Z,11.815384615384616
AATS6d,2.4461538461538463
AATS6i,162.76872566289282
AATS6m,40.508461630769226
AATS6p,1.1454349342304615
AATS6s,2.281303418803419
AATS6v,144.3731016040646
AATS7Z,12.508196721311476
AATS7d,2.4508196721311477
AATS7i,162.07681623914237
AATS7m,43.243404590163934
AATS7p,1.1575414152202128
AATS7s,2.3425546448087426
AATS7v,148.56703999338146
AATS8Z,12.38655462184874
AATS8d,2.2941176470588234
AATS8i,166.30793124403755
AATS8m,42.12635368907561
AATS8p,1.0624959735728403
AATS8s,3.127450980392157
AATS8v,138.1283916889225
AMID_C,1.5367342903097625
AMID_N,0.2924816452853769
AMID_O,0.19204294712371667
AMID_X,0.0
AMID_h,0.48452459240909357
ATS0dv,344.0
ATS0pe,338.0371999999998
ATS0se,419.78900399999986
ATS1dv,330.0
ATS1pe,367.649
ATS1se,441.1276119999999
ATS2dv,446.0
ATS2pe,650.2657999999999
ATS2se,793.6255079999999
ATS3dv,402.0
ATS3pe,911.1505000000002
ATS3se,1131.6467039999998
ATS4dv,348.0
ATS4pe,1018.2214999999998
ATS4se,1279.0693079999996
ATS5dv,327.0
ATS5pe,962.3007
ATS5se,1224.3300000000004
ATS6dv,300.0
ATS6pe,757.8204
ATS6se,958.6399520000001
ATS7dv,274.0
ATS7pe,715.9775000000001
ATS7se,901.866176
ATS8dv,264.0
ATS8pe,721.4707
ATS8se,906.9610360000001
ATSC0Z,408.7272727272728
ATSC0c,1.186172827849525
ATSC0d,33.527272727272724
ATSC0i,79.28335342963344
ATSC0m,1943.9993935272723
ATSC0p,11.971184291233529
ATSC0s,105.71792929292934
ATSC0v,2698.0778087154513
ATSC1Z,7.446280991735556
ATSC1c,-0.7700571988858614
ATSC1d,11.362644628099167
ATSC1i,-6.027574146386798
ATSC1m,39.21438598082689
ATSC1p,0.39263918056504243
ATSC1s,-6.862848943985309
ATSC1v,111.7848407297095
ATSC2Z,24.115702479338857
ATSC2c,0.36990997405518095
ATSC2d,-7.924297520661161
ATSC2i,4.123879409045768
ATSC2m,107.11407574843038
ATSC2p,0.13503061524579285
ATSC2s,36.41531450872361
ATSC2v,2.714473698225632
ATSC3Z,-99.52892561983471
ATSC3c,-0.145394931129264
ATSC3d,-14.838016528925621
ATSC3i,-16.263578479882856
ATSC3m,-473.31502267437975
ATSC3p,-2.829197783211032
ATSC3s,-9.156726354453626
ATSC3v,-618.2470640109324
ATSC4Z,-187.70247933884292
ATSC4c,-0.15513309415463272
ATSC4d,0.4247933884297528
ATSC4i,-30.149865085035533
ATSC4m,-889.9881305024794
ATSC4p,-4.2768720365564645
ATSC4s,-28.022210743801654
ATSC4v,-1110.9476408722762
ATSC5Z,52.09090909090908
ATSC5c,-0.10438871231753519
ATSC5d,7.109090909090911
ATSC5i,22.874801415540208
ATSC5m,257.35980607272666
ATSC5p,3.3482552998029402
ATSC5s,-11.804040404040403
ATSC5v,655.7514823854921
ATSC6Z,55.008264462809905
ATSC6c,0.48017353689755277
ATSC6d,-0.555371900826447
ATSC6i,14.455593411006857
ATSC6m,255.4253895537188
ATSC6p,0.9638405509486805
ATSC6s,4.243985307621674
ATSC6v,160.52623397402593
ATSC7Z,37.40495867768594
ATSC7c,-0.3542762020552394
ATSC7d,-6.278677685950413
ATSC7i,-23.028561306818027
ATSC7m,169.83588443041316
ATSC7p,-2.3494410164634956
ATSC7s,2.633764921946744
ATSC7v,-184.31910646262463
ATSC8Z,-39.71900826446281
ATSC8c,0.2345615364613259
ATSC8d,-5.2135537190082655
ATSC8i,-12.534681768020969
ATSC8m,-188.53092759537205
ATSC8p,-1.1886290410355238
ATSC8s,-4.3270752984389445
ATSC8v,-285.4593046359432
AXp-0d,0.7200350674421869
AXp-1d,0.4451834919481908
AXp-2d,0.2901008213141744
AXp-3d,0.18289285234412936
AXp-4d,0.11541207544604946
AXp-5d,0.07142776384423762
AXp-6d,0.046216823913901556
AXp-7d,0.03088735766210837
GATS1Z,0.9004846413185988
GATS1c,1.6314684105461883
GATS1d,0.9324694599840165
GATS1i,1.411503336211333
GATS1m,0.9056583868281658
GATS1p,1.1710333557918338
GATS1s,0.727108651926393
GATS1v,1.0691348978187074
GATS2Z,0.895603784560635
GATS2c,0.686377747552584
GATS2d,1.6106290672451196
GATS2i,1.1838189738932012
GATS2m,0.9036104640588927
GATS2p,1.107261566537082
GATS2s,0.37455098744864107
GATS2v,1.0619828435842544
GATS3Z,1.0353603202846975
GATS3c,0.8436002782978324
GATS3d,1.3099783080260305
GATS3i,1.1518690796094824
GATS3m,1.0388620057620754
GATS3p,1.1347029954520524
GATS3s,0.7822703353453895
GATS3v,1.1088352044105483
GATS4Z,1.1187238329495497
GATS4c,0.8159788166065928
GATS4d,0.8147888222534133
GATS4i,1.102034548913044
GATS4m,1.1190798152158556
GATS4p,1.1105921231922415
GATS4s,1.0363071877470775
GATS4v,1.1240973463834654
GATS5Z,0.9284252669039145
GATS5c,0.7364541472570523
GATS5d,0.859002169197397
GATS5i,0.8005075337539108
GATS5m,0.9277043329358937
GATS5p,0.8545315122663106
GATS5s,0.8766789364685419
GATS5v,0.890616019511142
GATS6Z,0.8780728168628523
GATS6c,0.4396409040179975
GATS6d,0.9849616218922078
GATS6i,0.8676138917857695
GATS6m,0.8837188036865937
GATS6p,0.9917964295591668
GATS6s,0.6587649767315972
GATS6v,0.9990644232111703
GATS7Z,0.8907097748089375
GATS7c,0.8333659780624244
GATS7d,1.029746452828847
GATS7i,1.1107290143195137
GATS7m,0.8973192248379033
GATS7p,1.114609527211314
GATS7s,0.6301178479743076
GATS7v,1.0545768150859383
GATS8Z,1.0586048476330032
GATS8c,0.9503812439003759
GATS8d,1.0963105415702075
GATS8i,1.0074840482716994
GATS8m,1.0552456809806925
GATS8p,0.9890823838919741
GATS8s,1.2349087488894936
GATS8v,0.9999805698689326
MATS1Z,0.01757897858525321
MATS1c,-0.6264160083609849
MATS1d,0.32701602161586163
MATS1i,-0.07335815231189706
MATS1m,0.019464225523457057
MATS1p,0.03164786022794112
MATS1s,-0.06263882835146856
MATS1v,0.039977559308320865
MATS2Z,0.031202949630440745
MATS2c,0.16492155481513826
MATS2d,-0.12499478558318047
MATS2i,0.027507637732992994
MATS2m,0.029139343958107203
MATS2p,0.005965192731725888
MATS2s,0.18216492838859027
MATS2v,0.0005320598873709382
MATS3Z,-0.08928677342823248
MATS3c,-0.044944103840287734
MATS3d,-0.1622740419378164
MATS3i,-0.07521518517229489
MATS3m,-0.08927412334855642
MATS3p,-0.08665579739427931
MATS3s,-0.031758722029668854
MATS3v,-0.0840192930704503
MATS4Z,-0.14857651245551595
MATS4c,-0.04231265252305549
MATS4d,0.00409914508102591
MATS4i,-0.12303172978680968
MATS4m,-0.14811595996261714
MATS4p,-0.11558538073741864
MATS4s,-0.08575659227270853
MATS4v,-0.1332149264160459
MATS5Z,0.04248220640569393
MATS5c,-0.029334879894578537
MATS5d,0.07067968185104848
MATS5i,0.0961731999889163
MATS5m,0.044128924273267124
MATS5p,0.09323096802975626
MATS5s,-0.03721866443087147
MATS5v,0.08101464930171824
MATS6Z,0.05693950177935941
MATS6c,0.17126538204544944
MATS6d,-0.007008176205573179
MATS6i,0.07713886606736206
MATS6m,0.05558879711995947
MATS6p,0.034063354527985125
MATS6s,0.01698417910321609
MATS6v,0.025171603622206606
MATS7Z,0.04125707368298231
MATS7c,-0.13464705775124386
MATS7d,-0.08442534049287011
MATS7i,-0.13094461837068805
MATS7m,0.03938548437306814
MATS7p,-0.08847697963426843
MATS7s,0.011231330830294284
MATS7v,-0.030797732694946893
MATS8Z,-0.0449138730225186
MATS8c,0.09139544560242652
MATS8d,-0.07187061375526352
MATS8i,-0.07307133291344249
MATS8m,-0.04482313281392593
MATS8p,-0.045890728113350765
MATS8s,-0.01891740374367229
MATS8v,-0.04889961746274177
MAXdNH,7.473971517054122
MAXsOH,8.707620557855925
MINdNH,7.473971517054122
MINsOH,8.707620557855925
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,10
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,1
NssssN,0
Radius,9
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,34.23199758579846
SpAD_D,338.98240660415684
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,7.887574592671006
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,-0.2531630553455948
SssssN,0
TMPC10,867
TMWC10,132.190839301795
TSRW10,76.45929170236906
VE1_Dt,5.144852121705597
VE2_Dt,0.19055007858168876
VE3_Dt,2.631248399746323
VR1_Dt,160.7200218750484
VR2_Dt,5.95259340277957
VR3_Dt,6.072915629623526
Xc-3dv,1.129178504936849
Xc-4dv,0.08838834764831845
Xc-5dv,0.13501132534831423
Xc-6dv,0.016137430609197572
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.08333333333333333
Xch-6d,0.4047991029455966
Xch-7d,0.6670002002657511
Xp-0dv,15.61595652524121
Xp-1dv,9.618235649794977
Xp-2dv,7.640155882786762
Xp-3dv,5.930928175263066
Xp-4dv,4.168045155525274
Xp-5dv,3.031269476961998
Xp-6dv,2.0102574918626646
Xp-7dv,1.32499808239518
Xpc-4d,4.942720369535853
Xpc-5d,7.06813415517124
Xpc-6d,9.860202839007467
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,2
nBonds,57
nFRing,0
nHBAcc,4
nHBDon,3
nHRing,2
nSpiro,1
naRing,1
piPC10,6.1255036233393705
AATS0dv,6.254545454545455
AATS0pe,6.146130909090906
AATS0se,7.632527345454543
AATS1dv,5.7894736842105265
AATS1pe,6.449982456140351
AATS1se,7.739080912280699
AATS2dv,4.288461538461538
AATS2pe,6.252555769230768
AATS2se,7.631014499999998
AATS3dv,2.68
AATS3pe,6.074336666666668
AATS3se,7.544311359999998
AATS4dv,2.0470588235294116
AATS4pe,5.989538235294116
AATS4se,7.523937105882351
AATS5dv,1.981818181818182
AATS5pe,5.832125454545454
AATS5se,7.42018181818182
AATS6dv,2.3076923076923075
AATS6pe,5.829387692307692
AATS6se,7.374153476923078
AATS7dv,2.2459016393442623
AATS7pe,5.868668032786886
AATS7se,7.392345704918033
AATS8dv,2.2184873949579833
AATS8pe,6.062778991596638
AATS8se,7.621521310924371
AATSC0Z,7.431404958677687
AATSC0c,0.02156677868817318
AATSC0d,0.609586776859504
AATSC0i,1.441515516902426
AATSC0m,35.345443518677676
AATSC0p,0.21765789620424597
AATSC0s,1.9221441689623517
AATSC0v,49.05596015846275
AATSC1Z,0.13063650862693957
AATSC1c,-0.0135097754190502
AATSC1d,0.199344642598231
AATSC1i,-0.10574691484889119
AATSC1m,0.687971683874156
AATSC1p,0.006888406676579692
AATSC1s,-0.12040085866640893
AATSC1v,1.96113755666157
AATSC2Z,0.23188175460902746
AATSC2c,0.003556826673607509
AATSC2d,-0.07619516846789579
AATSC2i,0.03965268662544008
AATSC2m,1.0299430360425998
AATSC2p,0.0012983713004403158
AATSC2s,0.35014725489157317
AATSC2v,0.026100708636784924
AATSC3Z,-0.6635261707988981
AATSC3c,-0.00096929954086176
AATSC3d,-0.09892011019283747
AATSC3i,-0.10842385653255238
AATSC3m,-3.155433484495865
AATSC3p,-0.018861318554740214
AATSC3s,-0.061044842363024175
AATSC3v,-4.1216470934062155
AATSC4Z,-1.1041322314049584
AATSC4c,-0.0009125476126743101
AATSC4d,0.002498784637822075
AATSC4i,-0.17735214755903256
AATSC4m,-5.235224297073408
AATSC4p,-0.02515807080327332
AATSC4s,-0.16483653378706856
AATSC4v,-6.534986122778095
