DLiP-ID,C001SJ
SaaaC,0.9608589619655641
SaasC,-0.32576372060957404
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.9364814814814804
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.2602853363567648
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.090201516372801
VE1_D,4.939839861235307
VE2_A,0.16360806065491204
VE2_D,0.1975935944494123
VE3_A,2.3248849712219113
VE3_D,2.5136236457945653
VR1_A,241.2625025476257
VR1_D,143.67010591829296
VR2_A,9.650500101905028
VR2_D,5.746804236731719
VR3_A,6.40217629478204
VR3_D,5.883810472129705
WPath,1602
Xc-3d,2.67769670494668
Xc-4d,0.28867513459481287
Xc-5d,0.6528346840566898
Xc-6d,0.14433756729740643
Xp-0d,18.02673325856595
Xp-1d,11.842355158540423
Xp-2d,11.599036469305714
Xp-3d,8.65243309495895
Xp-4d,7.151512767797735
Xp-5d,5.889818179234213
Xp-6d,3.6741209273448727
Xp-7d,2.7723384604370835
ZMIC0,74.55132659940385
ZMIC1,51.04655735157421
ZMIC2,34.225308870208465
ZMIC3,31.504170328810808
ZMIC4,31.504170328810808
ZMIC5,31.504170328810808
nAcid,0
nAtom,35
nBase,0
nRing,3
piPC1,3.624340932976365
piPC2,4.2626798770413155
piPC3,4.832305758571839
piPC4,5.434813111136574
piPC5,5.993337791489663
piPC6,6.172548359045047
piPC7,6.510769742472974
piPC8,6.732778557724058
piPC9,7.0715998918732526
AATS0Z,39.42857142857143
AATS0d,4.057142857142857
AATS0i,167.91098795241115
AATS0m,163.0428362699803
AATS0p,1.7499138299568575
AATS0s,9.637651327106058
AATS0v,270.4325042822721
AATS1Z,32.78378378378378
AATS1d,4.675675675675675
AATS1i,147.39714367665945
AATS1m,129.4895262569081
AATS1p,1.9777016510810814
AATS1s,4.031336892448004
AATS1v,307.3397988258138
AATS2Z,33.355932203389834
AATS2d,4.1525423728813555
AATS2i,157.0710396924051
AATS2m,132.58220260940524
AATS2p,1.7920595794915248
AATS2s,7.334571388714514
AATS2v,276.66506230197797
AATS3Z,27.73972602739726
AATS3d,3.671232876712329
AATS3i,157.01596108766424
AATS3m,107.33585415083836
AATS3p,1.6066220403047258
AATS3s,4.275480579514065
AATS3v,241.54993744590644
AATS4Z,26.986301369863014
AATS4d,3.2054794520547945
AATS4i,166.28337813461815
AATS4m,103.23518514472329
AATS4p,1.3948450438506026
AATS4s,4.824715316534191
AATS4v,215.6988037917855
AATS5Z,27.806451612903224
AATS5d,3.1129032258064515
AATS5i,169.40939067419336
AATS5m,106.41555981692903
AATS5p,1.3288020324120489
AATS5s,5.775039824771008
AATS5v,211.70893894407104
AATS6Z,23.814814814814813
AATS6d,3.074074074074074
AATS6i,168.51330687258766
AATS6m,89.27007650109628
AATS6p,1.3171906247082406
AATS6s,4.961772214601433
AATS6v,205.60710357433007
AATS7Z,31.52173913043478
AATS7d,3.3043478260869565
AATS7i,165.4248231879184
AATS7m,123.93122908219131
AATS7p,1.4833711082292822
AATS7s,8.549047235641439
AATS7v,230.39902614123295
AATS8Z,23.227272727272727
AATS8d,3.590909090909091
AATS8i,154.58279054117583
AATS8m,88.14951430694545
AATS8p,1.6703530814862724
AATS8s,3.434460344182567
AATS8v,238.11298955395384
AMID_C,1.4333544122956523
AMID_N,0.16323742866611568
AMID_O,0.15290257179380365
AMID_X,0.2741994536438277
AMID_h,0.590339454103747
ATS0dv,469.60493827160496
ATS0pe,258.5997
ATS0se,302.55574099999995
ATS1dv,419.1111111111111
ATS1pe,257.047
ATS1se,300.66468999999995
ATS2dv,701.4444444444445
ATS2pe,432.96750000000003
ATS2se,502.51624799999996
ATS3dv,593.7777777777778
ATS3pe,500.2825999999999
ATS3se,597.1624499999999
ATS4dv,556.3333333333333
ATS4pe,518.9159000000001
ATS4se,619.156362
ATS5dv,514.0
ATS5pe,458.7377
ATS5se,544.282616
ATS6dv,401.1111111111111
ATS6pe,384.0955
ATS6se,460.34055
ATS7dv,478.77777777777777
ATS7pe,344.67249999999996
ATS7se,405.874908
ATS8dv,292.1111111111111
ATS8pe,284.0305
ATS8se,342.979154
ATSC0Z,391.5428571428572
ATSC0c,0.9325052334305092
ATSC0d,24.971428571428575
ATSC0i,118.14238421954423
ATSC0m,1864.0236721137471
ATSC0p,9.121430071778569
ATSC0s,143.9722674026172
ATSC0v,1482.101941589043
ATSC1Z,-0.6310204081632573
ATSC1c,-0.7379780712620669
ATSC1d,0.4873469387755118
ATSC1i,-6.518184905066027
ATSC1m,-1.9659370377391188
ATSC1p,-0.1829843216164841
ATSC1s,-15.089360421351886
ATSC1v,20.74223763436763
ATSC2Z,36.484897959183684
ATSC2c,0.3826179253191422
ATSC2d,-2.0661224489795904
ATSC2i,58.70216601477698
ATSC2m,187.08495923475274
ATSC2p,0.5002019787478421
ATSC2s,107.16756623865825
ATSC2v,-296.5246053909579
ATSC3Z,-10.675102040816327
ATSC3c,-0.060412560311386546
ATSC3d,-5.397551020408162
ATSC3i,-38.292361937191686
ATSC3m,-34.79802091148888
ATSC3p,-1.651304443645731
ATSC3s,2.7089437507970873
ATSC3v,-160.1056516562507
ATSC4Z,-97.56081632653061
ATSC4c,-0.16144435275882374
ATSC4d,-6.483265306122448
ATSC4i,-38.1561470220869
ATSC4m,-484.36148691829646
ATSC4p,-2.403090118723878
ATSC4s,-44.38485102134131
ATSC4v,-194.71262729651187
ATSC5Z,-96.21877551020408
ATSC5c,0.44860077227656814
ATSC5d,-0.149387755102041
ATSC5i,21.687168811979433
ATSC5m,-460.11393516604693
ATSC5p,-0.18428699519704408
ATSC5s,-40.093760494138216
ATSC5v,-191.48194435735107
ATSC6Z,-111.80897959183673
ATSC6c,-0.6533491140388319
ATSC6d,-0.870204081632653
ATSC6i,-4.177977042614456
ATSC6m,-542.8995406006901
ATSC6p,1.1000717405383438
ATSC6s,-67.23786501248875
ATSC6v,142.40690520340905
ATSC7Z,81.34367346938778
ATSC7c,0.4145259473016243
ATSC7d,5.923265306122449
ATSC7i,37.16737236629791
ATSC7m,382.3502736647107
ATSC7p,2.4180602341174473
ATSC7s,88.12131829549375
ATSC7v,52.59565014764138
ATSC8Z,-25.825306122449003
ATSC8c,-0.08681124755146478
ATSC8d,-2.0783673469387742
ATSC8i,-0.2177512246311481
ATSC8m,-110.02377569158661
ATSC8p,0.1023275991409412
ATSC8s,2.395716929661684
ATSC8v,18.221682378513837
AXp-0d,0.7210693303426381
AXp-1d,0.43860574661260826
AXp-2d,0.2974111915206593
AXp-3d,0.18025902281164477
AXp-4d,0.11723791422619238
AXp-5d,0.0774976076215028
AXp-6d,0.05033042366225853
AXp-7d,0.03465423075546355
GATS1Z,0.4987200422839651
GATS1c,1.8709753520408292
GATS1d,1.0671655637330693
GATS1i,0.88074852230506
GATS1m,0.49743119093321186
GATS1p,0.8453215136262243
GATS1s,0.6010033846247398
GATS1v,0.7723526009250842
GATS2Z,0.5850388850960253
GATS2c,0.6677268014000504
GATS2d,1.0038591319861925
GATS2i,0.7094496146119491
GATS2m,0.5833956776489986
GATS2p,0.84832496918378
GATS2s,0.370780419247265
GATS2v,0.9211398387259443
GATS3Z,0.8951241113483513
GATS3c,1.049467065334449
GATS3d,1.0724585436193224
GATS3i,0.8926199806823151
GATS3m,0.8844344910210992
GATS3p,0.9974142882941525
GATS3s,0.5859359904089421
GATS3v,1.011749879244824
GATS4Z,1.1841808011259585
GATS4c,1.2836762304955907
GATS4d,1.091109996551832
GATS4i,1.0860949821200123
GATS4m,1.185102851728613
GATS4p,1.1032111571685204
GATS4s,1.0933924245152213
GATS4v,1.0442105787493354
GATS5Z,1.08264834378472
GATS5c,1.2186759981765698
GATS5d,0.8894035579833173
GATS5i,0.7714499760647091
GATS5m,1.0775559053390118
GATS5p,0.9284356604115632
GATS5s,1.2104371300527639
GATS5v,0.9723553496861431
GATS6Z,1.116002897234654
GATS6c,1.7965925148873743
GATS6d,1.0085600474616492
GATS6i,0.943667855302982
GATS6m,1.1215916710860634
GATS6p,0.8779488259614949
GATS6s,1.4448501856308789
GATS6v,0.9308161896952405
GATS7Z,0.7192282799055812
GATS7c,0.6422739121792613
GATS7d,0.6807780320366132
GATS7i,0.6093645594623824
GATS7m,0.7156545087493279
GATS7p,0.7162894403684017
GATS7s,0.6485883145195053
GATS7v,0.863703189758824
GATS8Z,0.9009230881494453
GATS8c,0.5966359523040468
GATS8d,1.0211670480549198
GATS8i,0.7124107886664562
GATS8m,0.8947300723000137
GATS8p,0.9143873212821514
GATS8s,0.48599289537685864
GATS8v,1.051399546636945
MATS1Z,-0.0015245104999920915
MATS1c,-0.748614956442904
MATS1d,0.018461253015028815
MATS1i,-0.05218999622028329
MATS1m,-0.0009976644603045687
MATS1p,-0.01897655037013633
MATS1s,-0.09914214435186114
MATS1v,0.013238654541563245
MATS2Z,0.05527768707886847
MATS2c,0.24340532065842566
MATS2d,-0.04908272892991502
MATS2i,0.294757203795829
MATS2m,0.0595392669074955
MATS2p,0.03253108175557486
MATS2s,0.4415710130778264
MATS2v,-0.11868578131558387
MATS3Z,-0.013071875824676726
MATS3c,-0.031061408706668302
MATS3d,-0.10363311494937459
MATS3i,-0.1554002125063332
MATS3m,-0.008950520789189818
MATS3p,-0.08679793654800143
MATS3s,0.009021241875772728
MATS3v,-0.0517933223867876
MATS4Z,-0.1194651696534958
MATS4c,-0.0830073911547197
MATS4d,-0.12447885646217982
MATS4i,-0.15484741749231618
MATS4m,-0.12458431383704842
MATS4p,-0.1263142386897577
MATS4s,-0.14780907745531496
MATS4v,-0.06298849399769414
MATS5Z,-0.1387256840479822
MATS5c,0.2715720645500501
MATS5d,-0.00337713146822175
MATS5i,0.10362713321120223
MATS5m,-0.1393446561218811
MATS5p,-0.011405336700600994
MATS5s,-0.1572078767725647
MATS5v,-0.07293334080129997
MATS6Z,-0.18508518734730056
MATS6c,-0.45411757830103283
MATS6d,-0.02258665988643105
MATS6i,-0.022921054971633645
MATS6m,-0.18877406823476497
MATS6p,0.07816860468689746
MATS6s,-0.3026978631336574
MATS6v,0.06227693878609843
MATS7Z,0.15807190537830912
MATS7c,0.3382288549034914
MATS7d,0.18047955427320664
MATS7i,0.23936813734913362
MATS7m,0.15607027466240594
MATS7p,0.20170394603964345
MATS7s,0.4657065582663515
MATS7v,0.027001131526253826
MATS8Z,-0.05246643315820202
MATS8c,-0.07405256183641398
MATS8d,-0.0662055335968379
MATS8i,-0.0014661224467017852
MATS8m,-0.04695160999897607
MATS8p,0.008923705298575061
MATS8s,0.013236465297810205
MATS8v,0.009779705205889853
MAXaaN,4.110291267307861
MAXsCl,6.052812581129668
MAXssO,5.159636322121441
MINaaN,4.110291267307861
MINsCl,6.052812581129668
MINssO,5.159636322121441
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,1
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,31.45228329151925
SpAD_D,263.33286278132755
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,-4.502087136590429
SssssN,0
TMPC10,664
TMWC10,127.23123326989581
TSRW10,59.9294871340751
VE1_Dt,4.941871857088597
VE2_Dt,0.19767487428354388
VE3_Dt,2.5140349097415116
VR1_Dt,142.32181120879565
VR2_Dt,5.692872448351826
VR3_Dt,5.874381501463261
Xc-3dv,0.6931331186960636
Xc-4dv,0.013498731178900972
Xc-5dv,0.11227343236700495
Xc-6dv,0.004499577059633658
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.2222222222222222
Xch-7d,0.37022396238379673
Xp-0dv,13.227649437189681
Xp-1dv,7.415464151050974
Xp-2dv,5.4453744060751195
Xp-3dv,3.647984036638239
Xp-4dv,2.4263005221619145
Xp-5dv,1.5987203369226963
Xp-6dv,0.7766662321878778
Xp-7dv,0.4234939764877064
Xpc-4d,4.420887505012238
Xpc-5d,6.41352324569363
Xpc-6d,9.568614337466665
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,37
nFRing,1
nHBAcc,3
nHBDon,1
nHRing,1
nSpiro,0
naRing,3
piPC10,6.977018947133695
AATS0dv,13.417283950617284
AATS0pe,7.3885628571428565
AATS0se,8.644449742857141
AATS1dv,11.327327327327327
AATS1pe,6.9472162162162165
AATS1se,8.126072702702702
AATS2dv,11.88888888888889
AATS2pe,7.338432203389831
AATS2se,8.517224542372881
AATS3dv,8.133942161339423
AATS3pe,6.8531863013698615
AATS3se,8.180307534246575
AATS4dv,7.621004566210044
AATS4pe,7.1084369863013706
AATS4se,8.481594
AATS5dv,8.290322580645162
AATS5pe,7.398995161290323
AATS5se,8.778751870967742
AATS6dv,7.42798353909465
AATS6pe,7.11287962962963
AATS6se,8.524825
AATS7dv,10.408212560386474
AATS7pe,7.492880434782608
AATS7se,8.823367565217392
AATS8dv,6.638888888888888
AATS8pe,6.455238636363637
AATS8se,7.794980772727272
AATSC0Z,11.186938775510205
AATSC0c,0.02664300666944312
AATSC0d,0.7134693877551022
AATSC0i,3.375496691986978
AATSC0m,53.257819203249916
AATSC0p,0.260612287765102
AATSC0s,4.113493354360491
AATSC0v,42.345769759686945
AATSC1Z,-0.017054605626033982
AATSC1c,-0.01994535327735316
AATSC1d,0.013171538885824643
AATSC1i,-0.1761671595963791
AATSC1m,-0.05313343345240862
AATSC1p,-0.004945522205850921
AATSC1s,-0.40782055192842936
AATSC1v,0.560601017145071
AATSC2Z,0.6183881010031133
AATSC2c,0.006485049581680376
AATSC2d,-0.03501902455897611
AATSC2i,0.9949519663521522
AATSC2m,3.1709315124534365
AATSC2p,0.008477999639793935
AATSC2s,1.8163994277738686
AATSC2v,-5.025840769338269
AATSC3Z,-0.14623427453173052
AATSC3c,-0.0008275693193340622
AATSC3d,-0.07393905507408441
AATSC3i,-0.5245529032492011
AATSC3m,-0.47668521796560104
AATSC3p,-0.02262060881706481
AATSC3s,0.03710881850406969
AATSC3v,-2.1932281048801467
AATSC4Z,-1.3364495387195974
AATSC4c,-0.0022115664761482704
