DLiP-ID,T000DD
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.775553275558647
VE1_D,5.6617995309374995
VE2_A,0.114410705319959
VE2_D,0.1715696827556818
VE3_A,2.522469403496
VE3_D,2.9276642484840263
VR1_A,984.5371178696099
VR1_D,215.0819481855866
VR2_A,29.83445811726091
VR2_D,6.517634793502625
VR3_A,8.08609406809546
VR3_D,6.564941578330796
WPath,3712
Xc-3d,2.5403797251823095
Xc-4d,0.10206207261596575
Xc-5d,0.7085551449100796
Xc-6d,0.07216878364870322
Xp-0d,24.00986092169139
Xp-1d,15.752856521598627
Xp-2d,14.25858708710043
Xp-3d,11.619709978260541
Xp-4d,8.96002523258258
Xp-5d,6.537952202508948
Xp-6d,4.117317845472476
Xp-7d,2.5856005079279183
ZMIC0,109.57339240069604
ZMIC1,55.22537778084214
ZMIC2,33.55633699406382
ZMIC3,28.050808137366353
ZMIC4,28.050808137366353
ZMIC5,28.050808137366353
nAcid,1
nAtom,59
nBase,0
nRing,3
piPC1,3.8066624897703196
piPC2,4.330733340286331
piPC3,4.787491742782046
piPC4,5.2053793708887675
piPC5,5.603040904854669
piPC6,5.626271282214591
piPC7,5.823415649600746
piPC8,6.126186636821289
piPC9,6.347170271505163
AATS0Z,31.966101694915253
AATS0d,3.288135593220339
AATS0i,161.64371032299616
AATS0m,130.07446900000002
AATS0p,1.5870229750182034
AATS0s,5.227698373026022
AATS0v,229.6458838182955
AATS1Z,27.016393442622952
AATS1d,4.016393442622951
AATS1i,145.66044932071233
AATS1m,103.58064021311479
AATS1p,1.8757897002622956
AATS1s,3.1707565944815492
AATS1v,273.1178237686065
AATS2Z,23.18095238095238
AATS2d,3.5714285714285716
AATS2i,152.03023774279515
AATS2m,87.48319122857148
AATS2p,1.627219406701344
AATS2s,3.204433666470703
AATS2v,228.14716908595864
AATS3Z,20.74468085106383
AATS3d,2.9858156028368796
AATS3i,156.86953326873305
AATS3m,76.87540358156029
AATS3p,1.4470751613768151
AATS3s,2.9901752619443713
AATS3v,197.38857561956877
AATS4Z,20.96815286624204
AATS4d,2.5859872611464967
AATS4i,162.59215898197326
AATS4m,78.17561061146498
AATS4p,1.2674117954361153
AATS4s,3.2531496431820144
AATS4v,173.7237024170235
AATS5Z,17.313333333333333
AATS5d,2.6333333333333333
AATS5i,163.53536134617045
AATS5m,62.564985686666674
AATS5p,1.2323104469560868
AATS5s,3.7207887517146765
AATS5v,170.0817030356791
AATS6Z,18.72661870503597
AATS6d,2.7050359712230216
AATS6i,157.33696419597425
AATS6m,68.4251097697842
AATS6p,1.3597927562084886
AATS6s,3.26789679367617
AATS6v,187.15831497177032
AATS7Z,15.753246753246753
AATS7d,2.344155844155844
AATS7i,163.20422452581542
AATS7m,55.521620487013
AATS7p,1.2042196559851621
AATS7s,3.092231842231841
AATS7v,159.33295746953564
AATS8Z,14.992248062015504
AATS8d,2.387596899224806
AATS8i,162.37466235489018
AATS8m,52.33094578294575
AATS8p,1.2173180548796125
AATS8s,3.035800874086834
AATS8v,158.19887114639744
AMID_C,1.4995324847194327
AMID_N,0.12277687505987588
AMID_O,0.26770255525772496
AMID_X,0.10718955935069624
AMID_h,0.49766898966829703
ATS0dv,443.2098765432099
ATS0pe,379.5224
ATS0se,466.9655499999999
ATS1dv,410.22222222222223
ATS1pe,399.2875000000001
ATS1se,477.53716799999984
ATS2dv,546.8888888888889
ATS2pe,673.2432999999997
ATS2se,818.4906359999998
ATS3dv,575.1111111111111
ATS3pe,892.5337000000001
ATS3se,1097.514824
ATS4dv,576.8271604938273
ATS4pe,1003.5692000000001
ATS4se,1243.022837
ATS5dv,620.2222222222222
ATS5pe,949.3834000000003
ATS5se,1180.4641440000003
ATS6dv,491.33333333333337
ATS6pe,876.3860000000001
ATS6se,1081.6136079999999
ATS7dv,414.33333333333337
ATS7pe,959.7286
ATS7se,1201.9435640000002
ATS8dv,382.22222222222223
ATS8pe,795.0768999999998
ATS8se,996.3892919999998
ATSC0Z,757.7966101694916
ATSC0c,1.3076808724661155
ATSC0d,37.79661016949152
ATSC0i,81.72044555536402
ATSC0m,3548.5494140338988
ATSC0p,15.292317778990542
ATSC0s,121.18510477939753
ATSC0v,3010.933035303515
ATSC1Z,-1.6880206837115743
ATSC1c,-0.8030558722703622
ATSC1d,11.108589485779952
ATSC1i,-0.18114327902425753
ATSC1m,-2.94740935708138
ATSC1p,0.4714133024774019
ATSC1s,-4.959536533071005
ATSC1v,113.20378109369875
ATSC2Z,42.70094800344728
ATSC2c,0.18570161298584092
ATSC2d,-9.248204538925604
ATSC2i,-5.189393021241018
ATSC2m,199.4267762956047
ATSC2p,1.1795747379258281
ATSC2s,25.905060021981846
ATSC2v,-15.475315243158377
ATSC3Z,-6.683424303361111
ATSC3c,0.0916252012438462
ATSC3d,-11.124102269462805
ATSC3i,-29.97916886368577
ATSC3m,-30.889093487790873
ATSC3p,-1.9064781132808402
ATSC3s,-12.163851796376193
ATSC3v,-464.58223363719037
ATSC4Z,250.84630853203103
ATSC4c,-0.3869634840142411
ATSC4d,3.2191898879632306
ATSC4i,-14.714536634132152
ATSC4m,1150.732766096237
ATSC4p,-1.3163225125657454
ATSC4s,-40.50117150482811
ATSC4v,-70.7371102327777
ATSC5Z,29.822177535191038
ATSC5c,0.45648262674499873
ATSC5d,-1.9066360241309968
ATSC5i,37.26167734205238
ATSC5m,163.37730769347894
ATSC5p,5.571978665110605
ATSC5s,41.7523695652945
ATSC5v,1092.1751242601717
ATSC6Z,-17.097098534903743
ATSC6c,-0.10549745682174647
ATSC6d,-9.351335823039356
ATSC6i,-21.281930240407885
ATSC6m,-78.55398255443842
ATSC6p,-1.8557591068125656
ATSC6s,-21.133285145686678
ATSC6v,-486.7099629284138
ATSC7Z,-134.65555874748634
ATSC7c,-0.26966430329436253
ATSC7d,5.598678540649242
ATSC7i,20.656372595669986
ATSC7m,-599.94763708848
ATSC7p,3.5356665392023325
ATSC7s,-62.84429631302219
ATSC7v,265.6564070254325
ATSC8Z,-107.69089342143064
ATSC8c,0.3302825435689126
ATSC8d,3.5633438667049724
ATSC8i,18.395231460167768
ATSC8m,-499.8571503114045
ATSC8p,2.0706282283575947
ATSC8s,-10.425724936085857
ATSC8v,9.485661726767745
AXp-0d,0.7275715430815574
AXp-1d,0.4500816149028179
AXp-2d,0.2909915732061312
AXp-3d,0.1844398409247705
AXp-4d,0.12274007167921343
AXp-5d,0.07973112442084083
AXp-6d,0.052117947411044
AXp-7d,0.03232000634909898
GATS1Z,0.6060279176184591
GATS1c,1.5752824441250108
GATS1d,0.9433580827758584
GATS1i,1.2190322037895824
GATS1m,0.6105592931575606
GATS1p,0.928967332263928
GATS1s,0.6191176589390242
GATS1v,0.911877865042144
GATS2Z,0.6808209519549264
GATS2c,0.8547070973812921
GATS2d,1.4979927396967758
GATS2i,1.1538099891831104
GATS2m,0.6854947196676583
GATS2p,0.911883639548142
GATS2s,0.5008115026771884
GATS2v,0.9663531929826484
GATS3Z,0.8752980198632319
GATS3c,0.9322229255691659
GATS3d,1.2352415481983272
GATS3i,1.2127976457469745
GATS3m,0.8774272099374258
GATS3p,1.0181592683658978
GATS3s,0.8896095018112246
GATS3v,1.0368190607996848
GATS4Z,0.8516645843632068
GATS4c,1.2217476511450673
GATS4d,0.8943274970723488
GATS4i,1.0711284474007186
GATS4m,0.8533516953960311
GATS4p,0.979347035903283
GATS4s,1.3426434313304279
GATS4v,0.9586412025191574
GATS5Z,0.8391081786326696
GATS5c,1.014369942048649
GATS5d,1.094630792227205
GATS5i,0.79955678042637
GATS5m,0.8378995268398038
GATS5p,0.7758672656820618
GATS5s,1.0878829649556288
GATS5v,0.8091780614517179
GATS6Z,0.7408738006240052
GATS6c,1.1477378774523133
GATS6d,1.065338581153015
GATS6i,1.1314773233289595
GATS6m,0.7446674615635074
GATS6p,0.9798685928729659
GATS6s,1.150913312021034
GATS6v,1.0295143045038657
GATS7Z,1.0002084138183442
GATS7c,1.1531441361978298
GATS7d,0.8320336614058589
GATS7i,0.8341114140102747
GATS7m,0.9973848017798147
GATS7p,0.8655140283599813
GATS7s,1.4775538828892159
GATS7v,0.9413124801102489
GATS8Z,0.9537545144505762
GATS8c,0.9014975271078971
GATS8d,0.8029512983627074
GATS8i,0.8415431261649784
GATS8m,0.9554473918059817
GATS8p,0.8923302503100422
GATS8s,1.033032701101545
GATS8v,0.9893371301785041
MATS1Z,-0.002154503888446854
MATS1c,-0.5939722663950741
MATS1d,0.2842681761376168
MATS1i,-0.00214394517713594
MATS1m,-0.0008033629103328088
MATS1p,0.029816090354341424
MATS1s,-0.03958348500519568
MATS1v,0.036364867776788726
MATS2Z,0.03166267267363218
MATS2c,0.0797951723751645
MATS2d,-0.1374887892376683
MATS2i,-0.03568194752505566
MATS2m,0.03157877830547958
MATS2p,0.043342590171235436
MATS2s,0.1201152287674132
MATS2v,-0.0028880261451020546
MATS3Z,-0.0036904495638559647
MATS3c,0.02931879178075503
MATS3d,-0.1231530070285915
MATS3i,-0.15350472980587557
MATS3m,-0.0036423963733041983
MATS3p,-0.0521664650451071
MATS3s,-0.04200053054542451
MATS3v,-0.06456459036697615
MATS4Z,0.12439628632930977
MATS4c,-0.11120404183703443
MATS4d,0.03200708348804663
MATS4i,-0.06766564469429692
MATS4m,0.12186415499355821
MATS4p,-0.03234754710433211
MATS4s,-0.1255945233341483
MATS4v,-0.00882873693333165
MATS5Z,0.015479162007008124
MATS5c,0.1373040142796909
MATS5d,-0.01984155455904335
MATS5i,0.17934630256771264
MATS5m,0.0181092986255053
MATS5p,0.1433167276069281
MATS5s,0.13551664394380655
MATS5v,0.14267633227707982
MATS6Z,-0.009576503413685948
MATS6c,-0.03424344349136253
MATS6d,-0.10501661451108174
MATS6i,-0.11053950128267873
MATS6m,-0.009396249975098225
MATS6p,-0.05150928217087799
MATS6s,-0.0740210057296129
MATS6v,-0.06861299090114135
MATS7Z,-0.06807739341848042
MATS7c,-0.07900470943739299
MATS7d,0.05674975248966284
MATS7i,0.09683996497538226
MATS7m,-0.06477296549560792
MATS7p,0.0885786944671556
MATS7s,-0.19867714740146952
MATS7v,0.033802629765013734
MATS8Z,-0.06499629828056434
MATS8c,0.11551706619863966
MATS8d,0.04311885146174439
MATS8i,0.10295248464095585
MATS8m,-0.06442543403363553
MATS8p,0.061928579367898036
MATS8s,-0.03934769726369746
MATS8v,0.001440883398784582
MAXsCl,6.076575548529652
MAXsOH,9.646145097825917
MAXssO,5.11045724811668
MINsCl,6.076575548529652
MINsOH,9.646145097825917
MINssO,5.11045724811668
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,6
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,1
NssssN,0
Radius,9
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,40.38271385345333
SpAD_D,464.89973341551706
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,3.5629658039252745
SssNH2,0
SsssAs,0
SsssCH,-1.0556546213526745
SsssNH,0
SssssB,0
SssssC,-0.543814491170503
SssssN,0
TMPC10,756
TMWC10,145.42217957621753
TSRW10,69.30999990218886
VE1_Dt,5.656569684124693
VE2_Dt,0.17141120254923312
VE3_Dt,2.9267401140816873
VR1_Dt,215.783466315856
VR2_Dt,6.538892918662303
VR3_Dt,6.568197902586799
Xc-3dv,1.3996167670831212
Xc-4dv,0.08838834764831845
Xc-5dv,0.1897699221899654
Xc-6dv,0.018042195912175804
Xch-3d,0.0
Xch-4d,0.1767766952966369
Xch-5d,0.22706207261596575
Xch-6d,0.4861627026390011
Xch-7d,0.6437839103316705
Xp-0dv,19.709436436047064
Xp-1dv,11.381992340460926
Xp-2dv,9.007198647991782
Xp-3dv,6.651888021462659
Xp-4dv,4.263500763107663
Xp-5dv,2.550414265988335
Xp-6dv,1.4068617170640956
Xp-7dv,0.7432104571543962
Xpc-4d,5.942623932443134
Xpc-5d,8.711648122582993
Xpc-6d,11.948157994696349
n3Ring,0
n4Ring,1
n5Ring,0
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,61
nFRing,0
nHBAcc,4
nHBDon,3
nHRing,0
nSpiro,0
naRing,2
piPC10,6.601739499841852
AATS0dv,7.5120318058171165
AATS0pe,6.432583050847458
AATS0se,7.914670338983049
AATS1dv,6.7249544626593805
AATS1pe,6.545696721311477
AATS1se,7.828478163934424
AATS2dv,5.208465608465609
AATS2pe,6.41184095238095
AATS2se,7.795148914285712
AATS3dv,4.078802206461781
AATS3pe,6.330026241134752
AATS3se,7.783793078014185
AATS4dv,3.6740583470944412
AATS4pe,6.392160509554141
AATS4se,7.917342910828025
AATS5dv,4.134814814814814
AATS5pe,6.329222666666668
AATS5se,7.869760960000002
AATS6dv,3.534772182254197
AATS6pe,6.304935251798562
AATS6se,7.781392863309351
AATS7dv,2.6904761904761907
AATS7pe,6.232003896103897
AATS7se,7.804828337662339
AATS8dv,2.962962962962963
AATS8pe,6.163386821705425
AATS8se,7.723947999999999
AATSC0Z,12.84401034185579
AATSC0c,0.02216408258417145
AATSC0d,0.6406205113473139
AATSC0i,1.3850922975485427
AATSC0m,60.14490532260845
AATSC0p,0.25919182676255154
AATSC0s,2.0539848267694496
AATSC0v,51.03276331022907
AATSC1Z,-0.027672470224779908
AATSC1c,-0.013164850365087905
AATSC1d,0.1821080243570484
AATSC1i,-0.0029695619512173366
AATSC1m,-0.04831818618166197
AATSC1p,0.007728086925859047
AATSC1s,-0.08130387759132796
AATSC1v,1.8557996900606353
AATSC2Z,0.40667569527092645
AATSC2c,0.0017685867903413422
AATSC2d,-0.08807813846595813
AATSC2i,-0.04942279067848589
AATSC2m,1.8993026313867114
AATSC2p,0.011234045123103125
AATSC2s,0.24671485735220805
AATSC2v,-0.14738395469674645
AATSC3Z,-0.0474001723642632
AATSC3c,0.0006498241222967816
AATSC3d,-0.07889434233661563
AATSC3i,-0.21261821889138846
AATSC3m,-0.21907158501979343
AATSC3p,-0.0135211213707861
AATSC3s,-0.08626845245656874
