DLiP-ID,C001RP
Mv,0.698826786077753
SZ,27.333333333333336
Si,38.14373471399519
Sm,26.45316792939805
Sp,24.513482634730543
Sv,23.7601107266436
nB,0
nC,15
nF,0
nH,12
nI,0
nN,3
nO,3
nP,0
nS,0
nX,1
ABC,17.056091460581396
AMW,9.325197615411774
IC0,1.8188544898647927
IC1,3.799979385049829
IC2,4.395998870534841
IC3,4.793345194191516
IC4,4.910992253015045
IC5,4.96981578242681
MID,44.971332867479646
Mpe,1.0063437139561706
Mse,1.0315860502977594
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,86.48890000000002
SdO,11.275062909423028
SdS,0
Spe,34.2156862745098
SsF,0
SsI,0
Sse,35.07392571012382
StN,0
fMF,0.4117647058823529
nBr,0
nCl,1
AMID,2.0441514939763477
BIC0,0.3331582144294333
BIC1,0.6960393774468273
BIC2,0.8052118201330463
BIC3,0.8779934485905255
BIC4,0.8995427722274235
BIC5,0.9103174340458727
CIC0,3.2686083513855464
CIC1,1.2874834562005102
CIC2,0.6914639707154979
CIC3,0.2941176470588234
CIC4,0.17647058823529438
CIC5,0.117647058823529
GGI1,4.0
GGI2,2.4444444444444455
GGI3,1.6875
GGI4,1.8222222222222224
GGI5,1.048611111111111
GGI6,0.6277551020408164
GGI7,0.30208333333333337
GGI8,0.16805240614764422
GGI9,0.035625000000000004
JGI1,0.16666666666666666
JGI2,0.07189542483660133
JGI3,0.0444078947368421
JGI4,0.04795321637426901
JGI5,0.029128086419753087
JGI6,0.023250188964474682
JGI7,0.01589912280701754
JGI8,0.016805240614764422
JGI9,0.008906250000000001
MIC0,21.36840995646188
MIC1,39.68685379136279
MIC2,45.55117324328798
MIC3,46.598933631651555
MIC4,47.36475716106332
MIC5,47.42405127871038
MPC2,34
MPC3,47
MPC4,67
MPC5,94
MPC6,106
MPC7,126
MPC8,135
MPC9,138
Mare,1.0169411764705885
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,1
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.2131956375219824
RPCG,0.16023535403372027
SIC0,0.35751700732182157
SIC1,0.7469301503764719
SIC2,0.864084713285973
SIC3,0.9421877552256405
SIC4,0.9653126531353842
SIC5,0.9768751020902563
SaaN,4.380663580246914
SaaO,0
SaaS,0
Sare,34.57600000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,6.010777703264926
SsLi,0
SsOH,8.9761819545694
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,61.841052655402954
TIC1,129.19929909169417
TIC2,149.4639615981846
TIC3,162.97373660251154
TIC4,166.9737366025115
TIC5,168.97373660251154
Vabc,251.7072195579789
WPol,38
apol,40.937515999999995
bpol,15.424483999999998
nRot,4
ABCGG,13.897018576028813
ATS0Z,1180.0
ATS0d,128.0
ATS0i,5479.160639295388
ATS0m,4789.349233000001
ATS0p,57.480866858188
ATS0s,228.78307422648987
ATS0v,8608.844268382321
ATS1Z,1087.0
ATS1d,162.0
ATS1i,5329.472790245451
ATS1m,4222.619053
ATS1p,70.166523386
ATS1s,131.5761316872428
ATS1v,10497.792676950045
ATS2Z,1621.0
ATS2d,248.0
ATS2i,8875.070072243998
ATS2m,6235.743771999999
ATS2p,106.37247227169799
ATS2s,247.52160493827162
ATS2v,15589.418785997008
ATS3Z,1850.0
ATS3d,290.0
ATS3i,12097.20602559542
ATS3m,7021.708959999999
ATS3p,122.95103080533902
ATS3s,259.23251028806584
ATS3v,17686.991481609955
ATS4Z,1955.0
ATS4d,274.0
ATS4i,12047.863933579194
ATS4m,7468.828549000001
ATS4p,118.99393090194299
ATS4s,299.17283950617286
ATS4v,17459.492050971738
ATS5Z,2079.0
ATS5d,247.0
ATS5i,11584.395733033396
ATS5m,7995.3425369999995
ATS5p,117.26635408939602
ATS5s,288.3786008230453
ATS5v,17059.83458341185
ATS6Z,1592.0
ATS6d,207.0
ATS6i,11743.185868973884
ATS6m,5878.808486
ATS6p,104.93248185109401
ATS6s,274.8045267489712
ATS6v,14548.02672144665
ATS7Z,1252.0
ATS7d,157.0
ATS7i,11373.02706817897
ATS7m,4472.635389
ATS7p,82.748973553339
ATS7s,262.74691358024694
ATS7v,11276.610409778074
ATS8Z,780.0
ATS8d,97.0
ATS8i,9348.601260004118
ATS8m,2633.423603
ATS8p,51.852615273037
ATS8s,226.87654320987656
ATS8v,6920.045472052023
C1SP1,0
C1SP2,1
C1SP3,2
C2SP1,0
C2SP2,9
C2SP3,0
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.13333333333333333
GGI10,0.0
JGI10,0.0
JGT10,0.4249120914203888
Kier1,16.84375
Kier2,7.26643598615917
Kier3,3.440470801267542
MAXdO,11.275062909423028
MID_C,31.884270343457175
MID_N,6.155177511676227
MID_O,5.151256205915274
MID_X,1.7806288064309599
MID_h,13.087062524022459
MINdO,11.275062909423028
MPC10,116
MWC01,24.0
MWC02,4.762173934797756
MWC03,5.631211781821365
MWC04,6.53813982376767
MWC05,7.4413203897176174
MWC06,8.359603270841466
MWC07,9.275285060616564
MWC08,10.197387752301138
MWC09,11.11796993724665
MWC10,12.041380768656026
NaaCH,6
NaaNH,0
NaaSe,0
NaaaC,4
NaasC,3
NaasN,0
NdCH2,0
NddsN,1
NdsCH,0
NdssC,0
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,3.3538000000000006
SRW02,3.8918202981106265
SRW03,0.0
SRW04,5.220355825078324
SRW05,0.0
SRW06,6.769641976852503
SRW07,0.0
SRW08,8.435766192720509
SRW09,0.0
SRW10,10.169269048534572
SaaCH,10.414229103678508
SaaNH,0
SaaSe,0
SaaaC,2.5383728584026217
SaasC,0.6574948297220131
SaasN,0
SdCH2,0
SddsN,-0.4942365047871
SdsCH,0
SdssC,0
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.9935300925925925
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.050183417392908
VE1_D,4.606643406074473
VE2_A,0.1840992462451322
VE2_D,0.2093928820942942
VE3_A,2.187219528702399
VE3_D,2.315956840690333
VR1_A,188.35721745765466
VR1_D,123.98531915157547
VR2_A,8.561691702620665
VR2_D,5.6356963250716126
VR3_A,6.026797613161062
VR3_D,5.608620525021284
WPath,959
Xc-3d,1.4690889520345847
Xc-4d,0.0
Xc-5d,0.42634636745415366
Xc-6d,0.0
Xp-0d,15.689869965382487
Xp-1d,10.613392202930195
Xp-2d,9.562333716120019
Xp-3d,7.838943949635818
Xp-4d,6.928714538491028
Xp-5d,6.339650879110643
Xp-6d,4.459266792948837
Xp-7d,3.522960785505539
ZMIC0,69.68991161545163
ZMIC1,40.526788052557926
ZMIC2,28.834061786223934
ZMIC3,26.35568125853125
ZMIC4,25.084373029781105
ZMIC5,24.902757568531086
nAcid,0
nAtom,34
nBase,0
nRing,3
piPC1,3.5263605246161616
piPC2,4.212127597878484
piPC3,4.9245325950428445
piPC4,5.660787983083345
piPC5,6.375078055208343
piPC6,6.842383077095988
piPC7,7.373472390473502
piPC8,7.824374082035058
piPC9,8.236850784267842
AATS0Z,34.705882352941174
AATS0d,3.764705882352941
AATS0i,161.15178350868788
AATS0m,140.86321273529416
AATS0p,1.6906137311231766
AATS0s,6.728913947837937
AATS0v,253.20130201124474
AATS1Z,30.194444444444443
AATS1d,4.5
AATS1i,148.0409108401514
AATS1m,117.29497369444445
AATS1p,1.9490700940555554
AATS1s,3.6548925468678553
AATS1v,291.60535213750126
AATS2Z,27.47457627118644
AATS2d,4.203389830508475
AATS2i,150.42491647871182
AATS2m,105.69057240677964
AATS2p,1.8029232588423387
AATS2s,4.195281439631723
AATS2v,264.22743705079677
AATS3Z,24.025974025974026
AATS3d,3.7662337662337664
AATS3i,157.10657176097948
AATS3m,91.19102545454544
AATS3p,1.5967666338355717
AATS3s,3.366655977767089
AATS3v,229.70118807285655
AATS4Z,25.723684210526315
AATS4d,3.6052631578947367
AATS4i,158.5245254418315
AATS4m,98.27405985526316
AATS4p,1.565709617130829
AATS4s,3.9364847303443797
AATS4v,229.7301585654176
AATS5Z,28.094594594594593
AATS5d,3.3378378378378377
AATS5i,156.54588828423508
AATS5m,108.04516941891892
AATS5p,1.5846804606675138
AATS5s,3.897008119230342
AATS5v,230.53830518124124
AATS6Z,21.513513513513512
AATS6d,2.7972972972972974
AATS6i,158.6917009320795
AATS6m,79.44335791891892
AATS6p,1.4180065115012703
AATS6s,3.7135746857969085
AATS6v,196.594955695225
AATS7Z,17.885714285714286
AATS7d,2.242857142857143
AATS7i,162.47181525969958
AATS7m,63.89479127142857
AATS7p,1.1821281936191286
AATS7s,3.7535273368606705
AATS7v,161.09443442540106
AATS8Z,14.181818181818182
AATS8d,1.7636363636363637
AATS8i,169.97456836371123
AATS8m,47.88042914545455
AATS8p,0.9427748231461274
AATS8s,4.125028058361392
AATS8v,125.81900858276406
AMID_C,1.4492850156116897
AMID_N,0.27978079598528305
AMID_O,0.2341480093597852
AMID_X,0.08093767301958908
AMID_h,0.5948664783646572
ATS0dv,341.60493827160496
ATS0pe,228.82870000000003
ATS0se,276.46498899999995
ATS1dv,328.1111111111111
ATS1pe,244.39870000000002
ATS1se,288.80568199999993
ATS2dv,495.6666666666667
ATS2pe,392.6032
ATS2se,469.11706000000004
ATS3dv,538.2222222222222
ATS3pe,499.70519999999993
ATS3se,605.9381799999999
ATS4dv,546.3333333333333
ATS4pe,507.5220999999999
ATS4se,611.226718
ATS5dv,458.44444444444446
ATS5pe,496.7643999999999
ATS5se,597.9633060000001
ATS6dv,341.7777777777778
ATS6pe,480.88270000000006
ATS6se,587.09341
ATS7dv,234.44444444444446
ATS7pe,447.8269
ATS7se,555.0244319999999
ATS8dv,139.55555555555554
ATS8pe,354.36010000000005
ATS8se,444.89333
ATSC0Z,388.9411764705882
ATSC0c,0.7449439935216442
ATSC0d,22.117647058823525
ATSC0i,53.31502865036396
ATSC0m,1820.1810729705883
ATSC0p,8.190272262592234
ATSC0s,92.06608233142367
ATSC0v,1576.6841592697822
ATSC1Z,0.0034602076124681247
ATSC1c,-0.24196298425113047
ATSC1d,7.640138408304499
ATSC1i,6.672086218321956
ATSC1m,1.5326684723184236
ATSC1p,1.1339383365644555
ATSC1s,-8.102885734567636
ATSC1v,107.36183467862763
ATSC2Z,3.131487889273364
ATSC2c,-0.09238225120478871
ATSC2d,8.207612456747405
ATSC2i,1.269610260097948
ATSC2m,15.602992551038174
ATSC2p,0.8875944766707674
ATSC2s,22.83689648093564
ATSC2v,19.649659906421256
ATSC3Z,28.692041522491355
ATSC3c,-0.00011860825740636258
ATSC3d,7.4394463667820085
ATSC3i,4.381028023210972
ATSC3m,147.68629618425595
ATSC3p,1.8455571079117605
ATSC3s,6.280408763064114
ATSC3v,524.4482436141923
ATSC4Z,52.54325259515571
ATSC4c,-0.22322768621464342
ATSC4d,-8.145328719723182
ATSC4i,-5.578152058171009
ATSC4m,250.47202877162627
ATSC4p,0.9153294715552975
ATSC4s,-5.901955312639597
ATSC4v,169.78659342243785
ATSC5Z,86.59861591695498
ATSC5c,0.16377608340321984
ATSC5d,-16.66782006920415
ATSC5i,-8.322696564604009
ATSC5m,379.3674129169553
ATSC5p,-3.2657412513631003
ATSC5s,-5.737864551937132
ATSC5v,-447.33686301658435
ATSC6Z,-72.40138408304499
ATSC6c,0.0872128749157757
ATSC6d,-17.844290657439448
ATSC6i,-17.22829476680798
ATSC6m,-349.73754478892727
ATSC6p,-3.3986961567259235
ATSC6s,-0.9055858013879885
ATSC6v,-760.7590251279823
ATSC7Z,-66.52595155709344
ATSC7c,-0.0059079849740299745
ATSC7d,-7.94809688581315
ATSC7i,-24.57330268069496
ATSC7m,-319.03620970415227
ATSC7p,-4.361298285836071
ATSC7s,-15.010695474833208
ATSC7v,-641.8811713778426
ATSC8Z,-77.16955017301039
ATSC8c,-0.07026732093089559
ATSC8d,3.574394463667818
ATSC8i,-0.901485071098945
ATSC8m,-349.00149721712825
ATSC8p,0.1779815125329735
ATSC8s,-40.31993033569973
ATSC8v,-19.841101378641184
AXp-0d,0.7131759075173858
AXp-1d,0.44222467512209146
AXp-2d,0.2812451092976476
AXp-3d,0.16678604148161316
AXp-4d,0.1034136498282243
AXp-5d,0.06744309445862386
AXp-6d,0.04206855465046072
AXp-7d,0.027960006234170946
GATS1Z,0.5503188646904619
GATS1c,1.24464161226148
GATS1d,0.6838430851063831
GATS1i,1.025466475809779
GATS1m,0.5533475042208662
GATS1p,0.7322918189459423
GATS1s,0.6425764028701395
GATS1v,0.7554455178610536
GATS2Z,0.651442677412409
GATS2c,1.0616111702884976
GATS2d,0.859808871258565
GATS2i,1.065634525542702
GATS2m,0.6548389220748395
GATS2p,0.8395947710509234
GATS2s,0.4987442803254132
GATS2v,0.874316498318881
GATS3Z,0.8390912626393572
GATS3c,0.8972746577305001
GATS3d,0.9494680851063833
GATS3i,1.003681321215476
GATS3m,0.8388542164227624
GATS3p,0.8468324354107732
GATS3s,0.5228530875325489
GATS3v,0.8201364924568625
GATS4Z,0.7250961171076513
GATS4c,1.1237919821135711
GATS4d,1.2368071108622625
GATS4i,1.1262955216226147
GATS4m,0.7263060218872225
GATS4p,0.84052355248546
GATS4s,0.832826916410194
GATS4v,0.8512364029511862
GATS5Z,0.840431402364252
GATS5c,0.8708680231411362
GATS5d,1.3307216791259349
GATS5i,1.1163210628219038
GATS5m,0.8459953423051648
GATS5p,1.1239117812993724
GATS5s,0.8396316470941172
GATS5v,1.038892009608264
GATS6Z,1.0192953843135335
GATS6c,0.884812591788568
GATS6d,1.2500718803910296
GATS6i,1.1216952229965385
GATS6m,1.0234834372119992
GATS6p,1.153504141600329
GATS6s,0.867560135169408
GATS6v,1.2001211374610794
GATS7Z,1.1448113819030337
GATS7c,0.8283136096590684
GATS7d,0.9911284194528878
GATS7i,1.084219892091285
GATS7m,1.1472655309698412
GATS7p,1.272599355863204
GATS7s,1.2391709584962145
GATS7v,1.2500883622576229
GATS8Z,1.2996823956442833
GATS8c,1.0092644722014146
GATS8d,0.7324468085106385
GATS8i,0.7823155748953655
GATS8m,1.2937501005088472
GATS8p,1.027712719514202
GATS8s,1.9695509604194854
GATS8v,1.0993817816275022
MATS1Z,8.402231632749279e-06
MATS1c,-0.306762116648356
MATS1d,0.32624113475177313
MATS1i,0.11819209182222763
MATS1m,0.0007952616612444464
MATS1p,0.1307577731209536
MATS1s,-0.08312209254687211
MATS1v,0.06431046301280366
MATS2Z,0.0046397407897300355
MATS2c,-0.07146474093464525
MATS2d,0.21384781824738558
MATS2i,0.013722956348798804
MATS2m,0.004939923375171323
MATS2p,0.062451540773000726
MATS2s,0.14294347165025306
MATS2v,0.007181865030389804
MATS3Z,0.03257359700190918
MATS3c,-7.030391244411622e-05
MATS3d,0.1485216910748826
MATS3i,0.03628395136086438
MATS3m,0.035827276610579405
MATS3p,0.09949868505576365
MATS3s,0.030121489212342013
MATS3v,0.14687440586426323
MATS4Z,0.06043636768873182
MATS4c,-0.13405708131825586
MATS4d,-0.16475363941769317
MATS4i,-0.046806484809765084
MATS4m,0.061561609277992084
MATS4p,0.04999705593462518
MATS4s,-0.028678839834130453
MATS4v,0.048175254231310076
MATS5Z,0.10229966808914175
MATS5c,0.10101225247431224
MATS5d,-0.3462478435882691
MATS5i,-0.07172352264677913
MATS5m,0.09576187175207175
MATS5p,-0.18320217716557885
MATS5s,-0.028635042121096202
MATS5v,-0.13035784755589838
MATS6Z,-0.08552835957554653
MATS6c,0.05379032613885155
MATS6d,-0.37068717653824046
MATS6i,-0.14847038820660544
MATS6m,-0.08828254818579555
MATS6p,-0.19066070686910203
MATS6s,-0.004519362095826594
MATS6v,-0.2216917880535385
MATS7Z,-0.0830783856192205
MATS7c,-0.0038520918708344837
MATS7d,-0.17454407294832835
MATS7i,-0.22386941283418435
MATS7m,-0.08513463139166999
MATS7p,-0.25864157060651194
MATS7s,-0.0791921307608933
MATS7v,-0.197738305948117
MATS8Z,-0.12265302755320909
MATS8c,-0.05831039727762337
MATS8d,0.0999032882011605
MATS8i,-0.010452618978605896
MATS8m,-0.1185301744434452
MATS8p,0.013433611422529261
MATS8s,-0.2707299714802764
MATS8v,-0.00777924231233396
MAXaaN,4.380663580246914
MAXsCl,6.010777703264926
MAXsOH,8.9761819545694
MINaaN,4.380663580246914
MINsCl,6.010777703264926
MINsOH,8.9761819545694
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,2
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,5
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,28.39778016722248
SpAD_D,181.54189626829947
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.2506383412418469
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,909
TMWC10,121.36447271976625
TSRW10,56.48685334129654
VE1_Dt,4.680352387954081
VE2_Dt,0.21274329036154915
VE3_Dt,2.331830764030566
VR1_Dt,114.85472004532815
VR2_Dt,5.2206690929694615
VR3_Dt,5.532125386132724
Xc-3dv,0.6280366074649391
Xc-4dv,0.0
Xc-5dv,0.10121484357394374
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.18424981005154034
Xch-7d,0.409703540260234
Xp-0dv,12.19284855101154
Xp-1dv,7.059098650929333
Xp-2dv,5.216034876412675
Xp-3dv,3.6048777074897425
Xp-4dv,2.698620631436872
Xp-5dv,2.0113564053243866
Xp-6dv,1.1930035715016172
Xp-7dv,0.7511864544127788
Xpc-4d,3.4807457203895003
Xpc-5d,6.032188321071153
Xpc-6d,10.877445510013244
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,36
nFRing,1
nHBAcc,5
nHBDon,2
nHRing,1
nSpiro,0
naRing,3
piPC10,8.38734340620772
AATS0dv,10.047204066811911
AATS0pe,6.730255882352942
AATS0se,8.131323205882351
AATS1dv,9.114197530864196
AATS1pe,6.7888527777777785
AATS1se,8.022380055555553
AATS2dv,8.401129943502825
AATS2pe,6.654291525423729
AATS2se,7.951136610169492
AATS3dv,6.98989898989899
AATS3pe,6.489677922077921
AATS3se,7.869327012987012
AATS4dv,7.188596491228069
AATS4pe,6.677922368421052
AATS4se,8.042456815789473
AATS5dv,6.195195195195195
AATS5pe,6.713032432432431
AATS5se,8.080585216216218
AATS6dv,4.618618618618619
AATS6pe,6.498414864864865
AATS6se,7.933694729729729
AATS7dv,3.3492063492063493
AATS7pe,6.397527142857143
AATS7se,7.928920457142856
AATS8dv,2.5373737373737373
AATS8pe,6.44291090909091
AATS8se,8.088969636363636
AATSC0Z,11.439446366782006
AATSC0c,0.021910117456518947
AATSC0d,0.6505190311418684
AATSC0i,1.5680890779518812
AATSC0m,53.53473744031142
AATSC0p,0.24089036066447747
AATSC0s,2.7078259509242257
AATSC0v,46.37306350793477
AATSC1Z,9.611687812411457e-05
AATSC1c,-0.006721194006975847
AATSC1d,0.2122260668973472
AATSC1i,0.185335728286721
AATSC1m,0.04257412423106732
AATSC1p,0.03149828712679043
AATSC1s,-0.22508015929354544
AATSC1v,2.982273185517434
AATSC2Z,0.053076065919887526
AATSC2c,-0.0015658008678777749
AATSC2d,0.13911207553809163
AATSC2i,0.02151881796776183
AATSC2m,0.2644575008650538
AATSC2p,0.015043974180860465
AATSC2s,0.3870660420497566
AATSC2v,0.3330450831596823
AATSC3Z,0.3726239158765111
AATSC3c,-1.5403669793034102e-06
AATSC3d,0.09661618658158452
AATSC3i,0.05689646783390873
AATSC3m,1.9180038465487785
AATSC3p,0.02396827412872416
AATSC3s,0.08156375016966382
AATSC3v,6.811016150833666
AATSC4Z,0.6913585867783646
AATSC4c,-0.0029372063975610977
AATSC4d,-0.10717537789109449
AATSC4i,-0.07339673760751327
AATSC4m,3.2956845891003455
AATSC4p,0.012043808836253915
AATSC4s,-0.07765730674525785
