DLiP-ID,C001TB
AATS4Z,14.111702127659575
AATS4d,2.7074468085106385
AATS4i,158.59275327887005
AATS4m,49.35466101595744
AATS4p,1.2746735180697402
AATS4s,2.643617021276596
AATS4v,168.90607678421992
AATS5Z,13.527638190954773
AATS5d,2.507537688442211
AATS5i,157.76557734804854
AATS5m,46.947675773869335
AATS5p,1.2687313515359697
AATS5s,2.5841010608598554
AATS5v,165.46518708729215
AATS6Z,11.485849056603774
AATS6d,2.297169811320755
AATS6i,160.3361436154861
AATS6m,38.63059133490565
AATS6p,1.1651447254884146
AATS6s,2.308045073375262
AATS6v,146.0513460012219
AATS7Z,10.235602094240837
AATS7d,2.261780104712042
AATS7i,164.0724639555636
AATS7m,33.992379465968575
AATS7p,1.079673069943377
AATS7s,2.065808609656777
AATS7v,132.53383240856337
AATS8Z,11.908450704225352
AATS8d,2.408450704225352
AATS8i,162.3489233219797
AATS8m,40.91827523239437
AATS8p,1.15419748775005
AATS8s,2.439651799687011
AATS8v,146.19025471185645
AMID_C,1.7571956549281578
AMID_N,0.11989253388795625
AMID_O,0.17016778888073655
AMID_X,0.0
AMID_h,0.29006032276869287
ATS0dv,400.0
ATS0pe,381.25399999999985
ATS0se,473.1467879999998
ATS1dv,399.0
ATS1pe,420.382
ATS1se,504.5889119999997
ATS2dv,538.0
ATS2pe,719.7585
ATS2se,875.7496679999995
ATS3dv,588.0
ATS3pe,1013.5362000000001
ATS3se,1255.0992999999996
ATS4dv,528.0
ATS4pe,1132.4881000000003
ATS4se,1414.4322759999998
ATS5dv,506.0
ATS5pe,1184.5981
ATS5se,1483.2671639999999
ATS6dv,425.0
ATS6pe,1234.2205999999999
ATS6se,1560.6440519999999
ATS7dv,349.0
ATS7pe,1093.7194999999997
ATS7se,1394.6338960000005
ATS8dv,337.0
ATS8pe,825.3941
ATS8se,1043.844596
ATSC0Z,443.93650793650795
ATSC0c,0.9465824911320986
ATSC0d,34.85714285714284
ATSC0i,90.74528651113498
ATSC0m,2121.308829936507
ATSC0p,14.925660659055714
ATSC0s,75.91953262786596
ATSC0v,3284.6510389465857
ATSC1Z,13.272864701436113
ATSC1c,-0.3691202583690875
ATSC1d,11.054421768707487
ATSC1i,-1.781290819047523
ATSC1m,66.38892622524608
ATSC1p,0.5960701046864054
ATSC1s,-5.353751994625014
ATSC1v,139.56300718869173
ATSC2Z,-65.05870496346687
ATSC2c,-0.23757938290848993
ATSC2d,-8.64399092970522
ATSC2i,-3.2761833248769907
ATSC2m,-309.72952829679974
ATSC2p,-1.7266019100837224
ATSC2s,-5.474918465328518
ATSC2v,-383.42835244027077
ATSC3Z,-45.737465356513
ATSC3c,0.31641616198633893
ATSC3d,-12.00453514739229
ATSC3i,-4.736490653523065
ATSC3m,-224.6863554993698
ATSC3p,-1.6858556961726883
ATSC3s,10.959600095182106
ATSC3v,-431.14760990167224
ATSC4Z,-80.65180146132528
ATSC4c,-0.21978353002771275
ATSC4d,-13.335600907029479
ATSC4i,4.962003291850603
ATSC4m,-377.7345330644997
ATSC4p,-0.3531182816958938
ATSC4s,-13.206854861286075
ATSC4v,-257.85866649876095
ATSC5Z,-93.3232552280171
ATSC5c,0.002264471159440614
ATSC5d,-5.834467120181408
ATSC5i,-19.517074916495158
ATSC5m,-447.03915925976304
ATSC5p,-3.011312417720683
ATSC5s,-18.02580764816216
ATSC5v,-727.5104082403175
ATSC6Z,-77.99269337364572
ATSC6c,0.07681172293025175
ATSC6d,3.2902494331065766
ATSC6i,-31.40934825740038
ATSC6m,-376.87188699269365
ATSC6p,-3.5102153199626946
ATSC6s,-3.976685633100968
ATSC6v,-789.2316160872152
ATSC7Z,61.351221970269606
ATSC7c,-0.14081646443291007
ATSC7d,3.337868480725625
ATSC7i,1.055370703883061
ATSC7m,299.51778354169755
ATSC7p,2.1237827089435393
ATSC7s,-6.410364351501904
ATSC7v,529.2786712302443
ATSC8Z,72.47644242882339
ATSC8c,-0.003764972175612856
ATSC8d,-3.0113378684807235
ATSC8i,4.72881420481617
ATSC8m,338.173676222474
ATSC8p,0.4604917699744336
ATSC8s,20.291379720612536
ATSC8v,278.8472442678203
AXp-0d,0.699933365770649
AXp-1d,0.44696398311239677
AXp-2d,0.2850360486649535
AXp-3d,0.18527920716708768
AXp-4d,0.11857861707507737
AXp-5d,0.07735976557252411
AXp-6d,0.048663732084483345
AXp-7d,0.031528125452176925
GATS1Z,0.8654663771583108
GATS1c,1.312894327564523
GATS1d,0.9162940884252365
GATS1i,1.1293050422613793
GATS1m,0.8677082449057479
GATS1p,1.0236812720182766
GATS1s,0.8288558243606723
GATS1v,0.9591556207768481
GATS2Z,1.0164790816834146
GATS2c,1.2035777912353063
GATS2d,1.5466856735566652
GATS2i,1.103297500412876
GATS2m,1.017307412503883
GATS2p,1.0806600386287744
GATS2s,0.7243367081483026
GATS2v,1.0430421265365486
GATS3Z,1.025572685478757
GATS3c,0.9944707126521025
GATS3d,1.4518812956745022
GATS3i,1.0232127302887324
GATS3m,1.0250283847842159
GATS3p,1.0350114936604988
GATS3s,0.8869292969374967
GATS3v,1.0241915050644403
GATS4Z,1.0667617094308388
GATS4c,1.2046388847956102
GATS4d,1.3103636205092437
GATS4i,0.9552990034489343
GATS4m,1.0629473658253088
GATS4p,0.9884222147399762
GATS4s,1.16614240165403
GATS4v,0.9986225284011839
GATS5Z,1.0530615391028368
GATS5c,0.9596885328711926
GATS5d,0.956380261965566
GATS5i,1.027340184228917
GATS5m,1.052755101935973
GATS5p,1.057840204991234
GATS5s,1.144088094835316
GATS5v,1.0587492602895334
GATS6Z,1.0392124355058072
GATS6c,0.9252559816797207
GATS6d,0.7299334982987942
GATS6i,1.041074955964738
GATS6m,1.0405746918870646
GATS6p,1.0542356561269979
GATS6s,0.7484792413162571
GATS6v,1.0671396212046689
GATS7Z,0.9523908026525452
GATS7c,0.9317257883495098
GATS7d,0.8474379881555236
GATS7i,0.936256884758966
GATS7m,0.9525633152468833
GATS7p,0.9142234617448987
GATS7s,0.6577860422996561
GATS7v,0.9388471574137824
GATS8Z,0.9146721001063589
GATS8c,0.8456789860548838
GATS8d,1.0208670053105524
GATS8i,0.9496703370490805
GATS8m,0.9178317804446213
GATS8p,0.9503881766932448
GATS8s,0.6664070247527427
GATS8v,0.9503963773450936
MATS1Z,0.028539109631786942
MATS1c,-0.3722254194512518
MATS1d,0.3027198211624444
MATS1i,-0.018737315401353913
MATS1m,0.02987365482392252
MATS1p,0.03812065824192725
MATS1s,-0.06731337054302698
MATS1v,0.04055810877778504
MATS2Z,-0.08028367824097103
MATS2c,-0.1374969269975014
MATS2d,-0.13585174625801866
MATS2i,-0.019778202924064146
MATS2m,-0.07998737058328452
MATS2p,-0.0633725762456577
MATS2s,-0.03950634382812368
MATS2v,-0.0639495798655388
MATS3Z,-0.03910062446582672
MATS3c,0.12686232099493855
MATS3d,-0.1307031404305748
MATS3i,-0.01980911484609294
MATS3m,-0.04019807550197642
MATS3p,-0.04286662537654338
MATS3s,0.054786510891360406
MATS3v,-0.04981604068188531
MATS4Z,-0.0608801776498369
MATS4c,-0.07780712666446758
MATS4d,-0.12820456923613538
MATS4i,0.018323805449184837
MATS4m,-0.05967129882978434
MATS4p,-0.007928104011327517
MATS4s,-0.05829463393543219
MATS4v,-0.026307234474998942
MATS5Z,-0.06655129192875128
MATS5c,0.0007573485526491303
MATS5d,-0.052990361644287054
MATS5i,-0.06808918345574685
MATS5m,-0.0667158680383632
MATS5p,-0.06387188370875008
MATS5s,-0.07516725308040685
MATS5v,-0.0701192798540568
MATS6Z,-0.05220808282241697
MATS6c,0.024114248281843133
MATS6d,0.028050572223940633
MATS6i,-0.10285834619315706
MATS6m,-0.05279521113060548
MATS6p,-0.06988836528958922
MATS6s,-0.01556583501459562
MATS6v,-0.07140357001705412
MATS7Z,0.045583696251213064
MATS7c,-0.049068428719854486
MATS7d,0.031585271650502136
MATS7i,0.0038360842819827557
MATS7m,0.046572107981879274
MATS7p,0.046933581803656456
MATS7s,-0.02785071640060169
MATS7v,0.053149886140228635
MATS8Z,0.07243162205498438
MATS8c,-0.001764637519677184
MATS8d,-0.038328330639575144
MATS8i,0.02311960339971687
MATS8m,0.07072746688123054
MATS8p,0.013688016319387729
MATS8s,0.11857967543274761
MATS8v,0.03766425010285836
MAXsOH,11.98649367666226
MAXssO,5.6737954084548115
MAXtsC,2.078643037817291
MINsOH,10.476895428747206
MINssO,5.6737954084548115
MINtsC,2.078643037817291
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,6
NssNH2,0
NsssAs,0
NsssCH,2
NsssNH,0
NssssB,0
NssssC,1
NssssN,0
Radius,9
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,43.8890336205921
SpAD_D,463.97409650044415
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,4.009934829464242
SssNH2,0
SsssAs,0
SsssCH,-0.5232264800531259
SsssNH,0
SssssB,0
SssssC,-1.0357876309643292
SssssN,0
TMPC10,927
TMWC10,146.6483726428903
TSRW10,69.13450031054786
VE1_Dt,5.65196899211609
VE2_Dt,0.17127178763988152
VE3_Dt,2.9259264471006308
VR1_Dt,222.7162003758379
VR2_Dt,6.748975768964785
VR3_Dt,6.599820785378846
Xc-3dv,1.0067622048831617
Xc-4dv,0.032274861218395144
Xc-5dv,0.22904758460980076
Xc-6dv,0.03765400475479433
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.3707908118985982
Xch-7d,0.3205054345792693
Xp-0dv,18.677347666616996
Xp-1dv,11.46129776966648
Xp-2dv,8.674322587714817
Xp-3dv,6.500936260826899
Xp-4dv,4.724740418278659
Xp-5dv,3.430309399365598
Xp-6dv,1.919177260412022
Xp-7dv,1.3126832899994345
Xpc-4d,5.070976048835106
Xpc-5d,8.14546679005263
Xpc-6d,12.771646748397176
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,4
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,66
nFRing,0
nHBAcc,5
nHBDon,2
nHRing,1
nSpiro,0
naRing,3
piPC10,6.498258617573055
AATS0dv,6.349206349206349
AATS0pe,6.051650793650791
AATS0se,7.5102664761904725
AATS1dv,6.045454545454546
AATS1pe,6.369424242424243
AATS1se,7.645286545454541
AATS2dv,4.678260869565217
AATS2pe,6.258769565217391
AATS2se,7.615214504347821
AATS3dv,3.5421686746987953
AATS3pe,6.105639759036145
AATS3se,7.560839156626503
AATS4dv,2.8085106382978724
AATS4pe,6.023872872340427
AATS4se,7.523575936170212
AATS5dv,2.542713567839196
AATS5pe,5.952754271356784
AATS5se,7.45360383919598
AATS6dv,2.0047169811320753
AATS6pe,5.821795283018868
AATS6se,7.361528547169811
AATS7dv,1.8272251308900525
AATS7pe,5.72628010471204
AATS7se,7.301748146596862
AATS8dv,2.3732394366197185
AATS8pe,5.812634507042254
AATS8se,7.35101828169014
AATSC0Z,7.046611237087427
AATSC0c,0.015025118906858708
AATSC0d,0.5532879818594102
AATSC0i,1.4404013731926186
AATSC0m,33.671568729150906
AATSC0p,0.2369152485564399
AATSC0s,1.205071946474063
AATSC0v,52.13731807851723
AATSC1Z,0.2011040106278199
AATSC1c,-0.005592731187410417
AATSC1d,0.1674912389198104
AATSC1i,-0.02698925483405338
AATSC1m,1.0058928215946377
AATSC1p,0.009031365222521294
AATSC1s,-0.08111745446401537
AATSC1v,2.1145910180104805
AATSC2Z,-0.5657278692475379
AATSC2c,-0.0020659076774651296
AATSC2d,-0.07516513851917582
AATSC2i,-0.028488550651104266
AATSC2m,-2.693300246059128
AATSC2p,-0.015013929652901934
AATSC2s,-0.04760798665503059
AATSC2v,-3.334159586437137
AATSC3Z,-0.27552689973803013
AATSC3c,0.0019061214577490296
AATSC3d,-0.07231647679151981
AATSC3i,-0.02853307622604256
AATSC3m,-1.3535322620443964
AATSC3p,-0.010155757205859569
AATSC3s,0.06602168732037413
AATSC3v,-2.5972747584438087
AATSC4Z,-0.4289989439432196
AATSC4c,-0.0011690613299346422
AATSC4d,-0.07093404737781638
AATSC4i,0.02639363453112023
