DLiP-ID,I001FN
nCl,0
AMID,2.0985948067623172
BIC0,0.22212860475430923
BIC1,0.5439131970943365
BIC2,0.7459625733460021
BIC3,0.8738486685016097
BIC4,0.9065658428921954
BIC5,0.9065658428921954
CIC0,4.402687874742828
CIC1,2.4438361259860226
CIC2,1.2138680559561994
CIC3,0.4353662037838335
CIC4,0.23620162041043535
CIC5,0.23620162041043535
GGI1,4.5
GGI2,3.1111111111111125
GGI3,1.7916666666666665
GGI4,1.2711111111111113
GGI5,0.5972222222222223
GGI6,0.6000453514739229
GGI7,0.41496598639455784
GGI8,0.28950144872763917
GGI9,0.17062500000000003
JGI1,0.13636363636363635
JGI2,0.06763285024154592
JGI3,0.03894927536231884
JGI4,0.0325925925925926
JGI5,0.017063492063492065
JGI6,0.017144152899254937
JGI7,0.011215296929582645
JGI8,0.008271469963646834
JGI9,0.006319444444444445
MIC0,11.216158551417504
MIC1,28.296437958113998
MIC2,37.04774646266806
MIC3,40.43140275903382
MIC4,40.6321606590742
MIC5,40.6321606590742
MPC2,46
MPC3,63
MPC4,84
MPC5,106
MPC6,110
MPC7,129
MPC8,153
MPC9,172
Mare,0.9655555555555557
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.17796200465516282
RPCG,0.07985235860397782
SIC0,0.2349654318893811
SIC1,0.5753459776464271
SIC2,0.7890718010560827
SIC3,0.9243484423248649
SIC4,0.9589563444425909
SIC5,0.9589563444425909
SaaN,4.0825435003759925
SaaO,0
SaaS,0
Sare,52.14000000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,73.0187798807146
TIC1,178.79677431358206
TIC2,245.2150500951925
TIC3,287.25415011250027
TIC4,298.0090376146638
TIC5,298.0090376146638
Vabc,346.8970230927896
WPol,46
apol,62.24982499999999
bpol,30.780174999999993
nRot,5
ABCGG,16.626248618821712
ATS0Z,1134.0
ATS0d,183.0
ATS0i,8722.206160816226
ATS0m,4468.720749000002
ATS0p,84.09892262122497
ATS0s,134.94444444444446
ATS0v,12158.07011886559
ATS1Z,1412.0
ATS1d,235.0
ATS1i,8543.682250859303
ATS1m,5355.104601
ATS1p,107.68936373000001
ATS1s,165.5
ATS1v,15558.85403664376
ATS2Z,2053.0
ATS2d,380.0
ATS2i,15447.770201376843
ATS2m,7620.022061999998
ATS2p,163.94700878394303
ATS2s,259.58333333333337
ATS2v,23118.63503338492
ATS3Z,2197.0
ATS3d,428.0
ATS3i,20556.33955934774
ATS3m,7892.659562
ATS3p,193.252015122735
ATS3s,308.36111111111103
ATS3v,26050.252674268784
ATS4Z,2026.0
ATS4d,415.0
ATS4i,22974.43775927398
ATS4m,7017.505746999998
ATS4p,197.67423015667796
ATS4s,315.2222222222222
ATS4v,25392.94537988869
ATS5Z,1842.0
ATS5d,402.0
ATS5i,24586.106914754066
ATS5m,6317.957734999999
ATS5p,186.75696394396005
ATS5s,305.24999999999994
ATS5v,23489.964399978733
ATS6Z,1772.0
ATS6d,372.0
ATS6i,21718.64424963987
ATS6m,6190.665371
ATS6p,170.998743124866
ATS6s,281.9722222222222
ATS6v,21944.77289022615
ATS7Z,1792.0
ATS7d,365.0
ATS7i,20566.908620217666
ATS7m,6386.120625
ATS7p,163.72905600486595
ATS7s,272.5555555555555
ATS7v,21486.39312646256
ATS8Z,1739.0
ATS8d,338.0
ATS8i,18812.697280739838
ATS8m,6141.020155
ATS8p,160.65425410182894
ATS8s,268.11111111111103
ATS8v,21075.817489616
C1SP1,0
C1SP2,3
C1SP3,3
C2SP1,0
C2SP2,14
C2SP3,1
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.20833333333333334
GGI10,0.0982573206815631
JGI10,0.005458740037864617
JGT10,0.3410109508983793
Kier1,20.877869605142333
Kier2,9.646502835538753
Kier3,4.768959435626102
MID_C,50.30151111706611
MID_N,10.55773827904109
MID_O,0.0
MID_X,0.0
MID_h,10.55773827904109
MPC10,188
MWC01,33.0
MWC02,5.0689042022202315
MWC03,5.932245187448011
MWC04,6.812345094177479
MWC05,7.68937110752969
MWC06,8.574518258035507
MWC07,9.456966047437597
MWC08,10.344737992447081
MWC09,11.230337064384194
MWC10,12.119877299133359
NaaCH,12
NaaNH,1
NaaSe,0
NaaaC,2
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,2
NsssP,0
SLogP,4.805400000000003
SRW02,4.204692619390966
SRW03,0.0
SRW04,5.5254529391317835
SRW05,2.3978952727983707
SRW06,7.050122520269059
SRW07,4.727387818712341
SRW08,8.667507952075105
SRW09,6.823286122355687
SRW10,10.333547707499672
SaaCH,24.916999773235162
SaaNH,3.393272129528998
SaaSe,0
SaaaC,2.548014432843389
SaasC,6.111145822241845
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,2.172672954984463
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.474596144891336
SssPH,0
SssSe,0
SsssB,0
SsssN,4.849780853699504
SsssP,0
VE1_A,4.6764783651074895
VE1_D,5.300269590333072
VE2_A,0.16125787465887895
VE2_D,0.18276791690803698
VE3_A,2.607256077574076
VE3_D,2.732468422357448
VR1_A,304.17474259805647
VR1_D,188.9892951122604
VR2_A,10.488784227519188
VR2_D,6.516872245250359
VR3_A,6.782313084435803
VR3_D,6.3064011108303175
WPath,2459
Xc-3d,1.552198841323242
Xc-4d,0.0
Xc-5d,0.3559047456524247
Xc-6d,0.0
Xp-0d,19.631181265251037
Xp-1d,14.275989583278104
Xp-2d,12.684410578377003
Xp-3d,11.174168651243049
Xp-4d,9.575365567720347
Xp-5d,7.970203527583899
Xp-6d,5.319942336948602
Xp-7d,4.0192555011239754
ZMIC0,98.85969021297991
ZMIC1,58.405809932777046
ZMIC2,32.375551632910465
ZMIC3,23.594710194319823
ZMIC4,22.672237277132325
ZMIC5,22.672237277132325
nAcid,0
nAtom,54
nBase,0
nRing,5
piPC1,3.8066624897703196
piPC2,4.421848128860553
piPC3,5.037763961484508
piPC4,5.629642450706775
piPC5,6.122629861525839
piPC6,6.293159309752454
piPC7,6.666986610686928
piPC8,7.0427675082204555
piPC9,7.183434945811675
AATS0Z,21.0
AATS0d,3.388888888888889
AATS0i,161.52233631141158
AATS0m,82.75408794444448
AATS0p,1.5573874559486105
AATS0s,2.4989711934156382
AATS0v,225.14944664565905
AATS1Z,24.344827586206897
AATS1d,4.051724137931035
AATS1i,147.30486639412592
AATS1m,92.3293896724138
AATS1p,1.8567131677586208
AATS1s,2.853448275862069
AATS1v,268.2561040800648
AATS2Z,20.53
AATS2d,3.8
AATS2i,154.47770201376844
AATS2m,76.20022061999998
AATS2p,1.6394700878394304
AATS2s,2.5958333333333337
AATS2v,231.1863503338492
AATS3Z,16.770992366412212
AATS3d,3.267175572519084
AATS3i,156.91862259044078
AATS3m,60.249309633587785
AATS3p,1.4752062223109543
AATS3s,2.3539016115351985
AATS3v,198.85689064327318
AATS4Z,13.876712328767123
AATS4d,2.8424657534246576
AATS4i,157.35916273475328
AATS4m,48.065107856164374
AATS4p,1.3539330832649175
AATS4s,2.1590563165905627
AATS4v,173.92428342389513
AATS5Z,12.118421052631579
AATS5d,2.6447368421052633
AATS5i,161.7507033865399
AATS5m,41.565511414473676
AATS5p,1.2286642364734213
AATS5s,2.008223684210526
AATS5v,154.53923947354428
AATS6Z,13.125925925925927
AATS6d,2.7555555555555555
AATS6i,160.87884629362867
AATS6m,45.85678052592593
AATS6p,1.2666573564804888
AATS6s,2.088683127572016
AATS6v,162.55387326093447
AATS7Z,14.11023622047244
AATS7d,2.874015748031496
AATS7i,161.94416236391862
AATS7m,50.284414370078736
AATS7p,1.2892051653926453
AATS7s,2.1461067366579174
AATS7v,169.1841978461619
AATS8Z,14.73728813559322
AATS8d,2.864406779661017
AATS8i,159.4296379723715
AATS8m,52.04254368644068
AATS8p,1.3614767296765165
AATS8s,2.2721280602636527
AATS8v,178.60862279335595
AMID_C,1.734534866105728
AMID_N,0.3640599406565893
AMID_O,0.0
AMID_X,0.0
AMID_h,0.3640599406565893
ATS0dv,344.0
ATS0pe,323.2679999999999
ATS0se,399.9421639999999
ATS1dv,391.0
ATS1pe,371.9825
ATS1se,443.8627559999999
ATS2dv,527.0
ATS2pe,629.5930000000001
ATS2se,762.0396079999999
ATS3dv,487.0
ATS3pe,799.5676000000001
ATS3se,981.9470000000001
ATS4dv,392.0
ATS4pe,864.4311999999999
ATS4se,1074.891324
ATS5dv,366.0
ATS5pe,880.3181999999999
ATS5se,1108.582572
ATS6dv,393.0
ATS6pe,788.1815
ATS6se,988.4842039999999
ATS7dv,408.0
ATS7pe,748.492
ATS7se,935.941556
ATS8dv,369.0
ATS8pe,705.4576999999999
ATS8se,875.3974839999998
ATSC0Z,363.33333333333337
ATSC0c,0.7701965303929897
ATSC0d,29.64814814814815
ATSC0i,86.58724701065778
ATSC0m,1745.1747675000004
ATSC0p,12.338909426213426
ATSC0s,14.442386831275721
ATSC0v,2789.1089179589403
ATSC1Z,29.753086419753107
ATSC1c,-0.26433217380560525
ATSC1d,12.118655692729766
ATSC1i,-17.83688053602852
ATSC1m,140.66396344444493
ATSC1p,-0.4396219268509888
ATSC1s,0.6441853376009717
ATSC1v,36.88752952167255
ATSC2Z,-6.7283950617283805
ATSC2c,-0.17735523144547327
ATSC2d,-3.34842249657064
ATSC2i,-2.523936977001796
ATSC2m,-26.675761055555192
ATSC2p,0.7522689323954572
ATSC2s,0.7270614235634768
ATSC2v,146.9894612267533
ATSC3Z,-96.53086419753085
ATSC3c,-0.05237809372145837
ATSC3d,-15.609396433470504
ATSC3i,-1.0124227914911197
ATSC3m,-459.96167802777745
ATSC3p,-1.6888862768202522
ATSC3s,-2.5670248437738175
ATSC3v,-510.39311061373166
ATSC4Z,-159.2345679012345
ATSC4c,0.12495744544278323
ATSC4d,-12.974622770919067
ATSC4i,-23.699986986663227
ATSC4m,-772.2490394444443
ATSC4p,-6.14923588825413
ATSC4s,-3.3133668648071937
ATSC4v,-1425.2233681049327
ATSC5Z,-0.7160493827160597
ATSC5c,0.07920801025503264
ATSC5d,1.1755829903978037
ATSC5i,10.820366049498553
ATSC5m,-4.821052611111291
ATSC5p,0.18643255561618727
ATSC5s,-0.1454427678707469
ATSC5v,-6.299853066240608
ATSC6Z,26.66666666666667
ATSC6c,-0.1286840604924047
ATSC6d,7.1574074074074066
ATSC6i,-12.31393205457818
ATSC6m,127.59944474999992
ATSC6p,0.0357090437995638
ATSC6s,-0.11213991769546994
ATSC6v,104.2538026873799
ATSC7Z,94.93827160493825
ATSC7c,-0.06882244734823206
ATSC7d,1.031207133058985
ATSC7i,6.424943838753547
ATSC7m,460.4278281944444
ATSC7p,3.3435740960617366
ATSC7s,2.9935223289132766
ATSC7v,815.5087913167412
ATSC8Z,-52.506172839506156
ATSC8c,0.06491427354377355
ATSC8d,-9.397805212620026
ATSC8i,8.8425029539979
ATSC8m,-251.84899305555544
ATSC8p,-0.8253386084679302
ATSC8s,-1.3679317177259571
ATSC8v,-295.5710997837353
AXp-0d,0.6769372850086565
AXp-1d,0.43260574494782134
AXp-2d,0.27574805605167396
AXp-3d,0.17736775636893728
AXp-4d,0.11399244723476604
AXp-5d,0.07519059931682924
AXp-6d,0.048363112154078194
AXp-7d,0.03115701938855795
GATS1Z,0.8287013603290098
GATS1c,1.4815890480229519
GATS1d,0.6472463331107713
GATS1i,1.351384020360272
GATS1m,0.8299956364319865
GATS1p,1.0154032992808362
GATS1s,0.8805299408993321
GATS1v,0.9299071387596937
GATS2Z,0.964940366972477
GATS2c,1.4812007624450145
GATS2d,1.3049718925671456
GATS2i,1.1425803694582286
GATS2m,0.9610021963000903
GATS2p,0.9165272278738813
GATS2s,0.8858377261718193
GATS2v,0.9009088799343892
GATS3Z,1.0734365151621261
GATS3c,1.2134806893911574
GATS3d,1.3782511884270805
GATS3i,1.0586585154663959
GATS3m,1.0716281309355502
GATS3p,1.0228857504840454
GATS3s,0.9582912356754675
GATS3v,1.0307415833599685
GATS4Z,1.1210129445771018
GATS4c,0.8558010568090701
GATS4d,1.1509416203913652
GATS4i,1.0800470244934561
GATS4m,1.1238305736380747
GATS4p,1.18096681629763
GATS4s,0.916740178810157
GATS4v,1.1787075090470804
GATS5Z,0.9903911154031868
GATS5c,0.8477597037499935
GATS5d,0.96438081462244
GATS5i,0.8877034408032058
GATS5m,0.9914893274454183
GATS5p,0.9882693872403233
GATS5s,0.8560746301392461
GATS5v,1.000914689664271
GATS6Z,0.9573496432212029
GATS6c,0.9665772334238483
GATS6d,0.9004372267332916
GATS6i,1.0054635645575116
GATS6m,0.9580149917203273
GATS6p,0.9884923901350041
GATS6s,0.8898774754238495
GATS6v,0.9789457050091493
GATS7Z,0.887289604854439
GATS7c,1.0840898889698412
GATS7d,1.0838403163377222
GATS7i,0.9407547404542198
GATS7m,0.8855426631147405
GATS7p,0.858367369045554
GATS7s,0.856035025291307
GATS7v,0.855390652010568
GATS8Z,1.0445887109314258
GATS8c,1.0585112780812749
GATS8d,1.1589313882213448
GATS8i,0.9585922727296498
GATS8m,1.043996288444863
GATS8p,1.0041746032564915
GATS8s,0.9856847394843534
GATS8v,1.01940601377728
MATS1Z,0.07624169566592855
MATS1c,-0.31953191036837153
MATS1d,0.38055956406556246
MATS1i,-0.1917921104691612
MATS1m,0.07504291426117946
MATS1p,-0.03317174631377984
MATS1s,0.041527676110655075
MATS1v,0.012313453141724648
MATS2Z,-0.009999999999999978
MATS2c,-0.12434725579935861
MATS2d,-0.060986883198001156
MATS2i,-0.01574049313997951
MATS2m,-0.008254136627608445
MATS2p,0.032922295598551095
MATS2s,0.027184784157287194
MATS2v,0.02845866238903736
MATS3Z,-0.1095174732124098
MATS3c,-0.028033065690345468
MATS3d,-0.21702561853040317
MATS3i,-0.0048198158529527005
MATS3m,-0.10864386037324218
MATS3p,-0.05642169055048587
MATS3s,-0.07326786943617603
MATS3v,-0.07543307178697463
MATS4Z,-0.16209626743747635
MATS4c,0.06000694047786458
MATS4d,-0.16185945427943152
MATS4i,-0.1012360239427248
MATS4m,-0.16366633438320918
MATS4p,-0.18432544068616338
MATS4s,-0.08485383118619323
MATS4v,-0.18899850297232557
MATS5Z,-0.0007001448575567458
MATS5c,0.03653572399164591
MATS5d,0.01408659061770602
MATS5i,0.0443954224788865
MATS5m,-0.0009814159629717794
MATS5p,0.005367785446409453
MATS5s,-0.0035776951282607745
MATS5v,-0.0008024447091952641
MATS6Z,0.02935779816513762
MATS6c,-0.06683180482609764
MATS6d,0.09656464709556527
MATS6i,-0.056885661478820286
MATS6m,0.02924622728365224
MATS6p,0.001157607777676093
MATS6s,-0.0031058555349764002
MATS6v,0.014951557039037753
MATS7Z,0.11110308459149024
MATS7c,-0.037994312742389534
MATS7d,0.014788985230687512
MATS7i,0.03155044164711882
MATS7m,0.11217928772963978
MATS7p,0.11521902994790853
MATS7s,0.08813198820299908
MATS7v,0.12432349532982878
MATS8Z,-0.06613279427771729
MATS8c,0.038570067234076334
MATS8d,-0.14505764405720997
MATS8i,0.04673400862302086
MATS8m,-0.06604090958209644
MATS8p,-0.030610268399935192
MATS8s,-0.04334481950927389
MATS8v,-0.04849625981887892
MAXaaN,4.0825435003759925
MINaaN,4.0825435003759925
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,39.28895966452954
SpAD_D,351.87466490880814
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,4.117641054865982
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1113
TMWC10,139.22930225281317
TSRW10,78.72989295223299
VE1_Dt,5.32810259034699
VE2_Dt,0.18372767552920657
VE3_Dt,2.737705924990148
VR1_Dt,185.49721260336952
VR2_Dt,6.396455607012742
VR3_Dt,6.287750592530091
Xc-3dv,0.8120830333370279
Xc-4dv,0.0
Xc-5dv,0.14488119022659848
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.5131164884807633
Xch-7d,0.7679686340924847
Xp-0dv,16.59827114152158
Xp-1dv,10.099813005086155
Xp-2dv,7.582482982274434
Xp-3dv,5.727650130570238
Xp-4dv,4.113986890248621
Xp-5dv,2.9388347860524924
Xp-6dv,1.732970503967871
Xp-7dv,1.116614496798791
Xpc-4d,4.035578013079197
Xpc-5d,6.733642318418497
Xpc-6d,10.239462662013597
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,4
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,58
nFRing,2
nHBAcc,4
nHBDon,2
nHRing,3
nSpiro,0
naRing,4
piPC10,7.499079516096262
AATS0dv,6.37037037037037
AATS0pe,5.986444444444443
AATS0se,7.406336370370368
AATS1dv,6.741379310344827
AATS1pe,6.413491379310345
AATS1se,7.652806137931032
AATS2dv,5.27
AATS2pe,6.295930000000001
AATS2se,7.620396079999999
AATS3dv,3.717557251908397
AATS3pe,6.103569465648856
AATS3se,7.495778625954199
AATS4dv,2.684931506849315
AATS4pe,5.920761643835616
AATS4se,7.362269342465753
AATS5dv,2.4078947368421053
AATS5pe,5.791567105263158
AATS5se,7.293306394736843
AATS6dv,2.911111111111111
AATS6pe,5.838381481481481
AATS6se,7.322105214814814
AATS7dv,3.2125984251968505
AATS7pe,5.89363779527559
AATS7se,7.3696185511811025
AATS8dv,3.1271186440677967
AATS8pe,5.978455084745762
AATS8se,7.41862274576271
AATSC0Z,6.728395061728396
AATSC0c,0.01426289871098129
AATSC0d,0.549039780521262
AATSC0i,1.6034675372344032
AATSC0m,32.31805125
AATSC0p,0.22849832270765605
AATSC0s,0.2674516079865874
AATSC0v,51.65016514738778
AATSC1Z,0.5129842486164329
AATSC1c,-0.004557451272510436
AATSC1d,0.20894233952982355
AATSC1i,-0.30753242303497447
AATSC1m,2.425240749042154
AATSC1p,-0.007579688393982565
AATSC1s,0.011106643751740893
AATSC1v,0.6359918883046991
AATSC2Z,-0.0672839506172838
AATSC2c,-0.0017735523144547327
AATSC2d,-0.0334842249657064
AATSC2i,-0.02523936977001796
AATSC2m,-0.2667576105555519
AATSC2p,0.007522689323954572
AATSC2s,0.007270614235634768
AATSC2v,1.469894612267533
AATSC3Z,-0.73687682593535
AATSC3c,-0.00039983277649968224
AATSC3d,-0.11915569796542369
AATSC3i,-0.007728418255657402
AATSC3m,-3.511157847540286
AATSC3p,-0.012892261655116428
AATSC3s,-0.01959560949445662
AATSC3v,-3.8961306153719972
AATSC4Z,-1.0906477253509212
AATSC4c,0.0008558729139916659
AATSC4d,-0.08886727925287033
AATSC4i,-0.16232867799084402
AATSC4m,-5.289376982496194
AATSC4p,-0.042118054029137875
AATSC4s,-0.02269429359456982
AATSC4v,-9.761803891129675
AATSC5Z,-0.00471085120207934
AATSC5c,0.0005211053306252147
AATSC5d,0.007734098621038182
AATSC5i,0.071186618746701
AATSC5m,-0.031717451388890074
AATSC5p,0.0012265299711591267
