DLiP-ID,T003BQ
ATS1p,92.83598281
ATS1s,159.0
ATS1v,13652.59291649672
ATS2Z,1831.0
ATS2d,310.0
ATS2i,14095.740969386694
ATS2m,6758.569234999999
ATS2p,134.359553683094
ATS2s,254.47222222222223
ATS2v,19231.66877324157
ATS3Z,1925.0
ATS3d,347.0
ATS3i,18650.54740177123
ATS3m,6966.813063
ATS3p,150.51546633582902
ATS3s,299.22222222222223
ATS3v,20604.1774272792
ATS4Z,1769.0
ATS4d,320.0
ATS4i,18324.708173321276
ATS4m,6364.655991
ATS4p,140.23405005637602
ATS4s,282.3055555555556
ATS4v,18868.884852903004
ATS5Z,1747.0
ATS5d,311.0
ATS5i,18682.985483530225
ATS5m,6293.416222999999
ATS5p,131.805478442923
ATS5s,289.86111111111114
ATS5v,18167.00433497901
ATS6Z,1638.0
ATS6d,302.0
ATS6i,16063.011022437388
ATS6m,5874.013653
ATS6p,128.936131309886
ATS6s,258.75
ATS6v,17792.5892905691
ATS7Z,1612.0
ATS7d,300.0
ATS7i,15199.37809387049
ATS7m,5785.086953
ATS7p,134.31605729933904
ATS7s,242.16666666666669
ATS7v,18319.475360049804
ATS8Z,1687.0
ATS8d,307.0
ATS8i,16471.481150418636
ATS8m,6021.796665999999
ATS8p,143.757708973037
ATS8s,262.5
ATS8v,19394.749449215673
C1SP1,0
C1SP2,3
C1SP3,6
C2SP1,0
C2SP2,10
C2SP3,0
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.3
GGI10,0.04101622283440465
JGI10,0.0017833140362784627
JGT10,0.2558633542263191
Kier1,20.28
Kier2,10.683760683760683
Kier3,5.757785467128028
MID_C,41.62147813156195
MID_N,12.560543252439025
MID_O,1.9991037327265255
MID_X,0.0
MID_h,14.55964698516555
MPC10,127
MWC01,30.0
MWC02,4.9344739331306915
MWC03,5.765191102784844
MWC04,6.610696044717759
MWC05,7.457609289715606
MWC06,8.313116702819253
MWC07,9.168163293076997
MWC08,10.02972364908127
MWC09,10.890106264243313
MWC10,11.755863800412605
NaaCH,9
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,2.3446999999999996
SRW02,4.110873864173311
SRW03,0.0
SRW04,5.37989735354046
SRW05,0.0
SRW06,6.86171134048073
SRW07,0.0
SRW08,8.434028950155469
SRW09,0.0
SRW10,10.05195066017375
SaaCH,17.393084835724938
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,3.6863972849240714
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.445331396447468
SssPH,0
SssSe,0
SsssB,0
SsssN,2.3819164147140337
SsssP,0
VE1_A,4.233090655670511
VE1_D,5.108199745445308
VE2_A,0.1567811353952041
VE2_D,0.18919258316464105
VE3_A,2.4361841507313913
VE3_D,2.62409881484932
VR1_A,402.6460142478729
VR1_D,167.0097117244986
VR2_A,14.912815342513811
VR2_D,6.185544878685134
VR3_A,6.9913095724020815
VR3_D,6.111303737775072
WPath,1966
Xc-3d,1.0068735753865523
Xc-4d,0.0
Xc-5d,0.21941609682128765
Xc-6d,0.0
Xp-0d,18.313344020055254
Xp-1d,13.398979485566358
Xp-2d,11.228186148125106
Xp-3d,9.565646152233025
Xp-4d,8.016843074219029
Xp-5d,6.609745748810991
Xp-6d,4.027799503081049
Xp-7d,3.1735142326243557
ZMIC0,91.2294871135992
ZMIC1,51.87380782066454
ZMIC2,33.82164195460134
ZMIC3,26.231953471295775
ZMIC4,25.509983713553268
ZMIC5,25.509983713553268
nAcid,0
nAtom,49
nBase,1
nRing,4
piPC1,3.6888794541139363
piPC2,4.212127597878484
piPC3,4.7770204429147505
piPC4,5.340538381981999
piPC5,5.904169038847795
piPC6,6.093287563185636
piPC7,6.597017794661851
piPC8,6.983355440838268
piPC9,7.342384694053086
AATS0Z,22.448979591836736
AATS0d,3.2653061224489797
AATS0i,164.42790059175468
AATS0m,88.5873494489796
AATS0p,1.4992385287077143
AATS0s,2.936507936507937
AATS0v,221.02971895431668
AATS1Z,25.307692307692307
AATS1d,3.9038461538461537
AATS1i,149.2325507305231
AATS1m,96.3026291153846
AATS1p,1.7853073617307693
AATS1s,3.0576923076923075
AATS1v,262.5498637787831
AATS2Z,20.573033707865168
AATS2d,3.4831460674157304
AATS2i,158.37911201558083
AATS2m,75.93898016853932
AATS2p,1.5096579065516178
AATS2s,2.8592384519350813
AATS2v,216.0861659914783
AATS3Z,16.885964912280702
AATS3d,3.043859649122807
AATS3i,163.60129299799326
AATS3m,61.11239528947368
AATS3p,1.3203111082090264
AATS3s,2.624756335282651
AATS3v,180.73839848490525
AATS4Z,15.794642857142858
AATS4d,2.857142857142857
AATS4i,163.6134658332257
AATS4m,56.82728563392857
AATS4p,1.2520897326462144
AATS4s,2.5205853174603177
AATS4v,168.47218618663396
AATS5Z,15.881818181818181
AATS5d,2.827272727272727
AATS5i,169.8453225775475
AATS5m,57.212874754545446
AATS5p,1.1982316222083909
AATS5s,2.6351010101010104
AATS5v,165.15458486344554
AATS6Z,16.88659793814433
AATS6d,3.11340206185567
AATS6i,165.59805177770502
AATS6m,60.556841783505156
AATS6p,1.3292384671122268
AATS6s,2.667525773195876
AATS6v,183.42875557287732
AATS7Z,16.96842105263158
AATS7d,3.1578947368421053
AATS7i,159.99345361968938
AATS7m,60.8956521368421
AATS7p,1.4138532347298847
AATS7s,2.549122807017544
AATS7v,192.83658273736637
AATS8Z,16.37864077669903
AATS8d,2.9805825242718447
AATS8i,159.91729272251104
AATS8m,58.46404530097087
AATS8p,1.3957059123595827
AATS8s,2.5485436893203883
AATS8v,188.29853834189973
AMID_C,1.5415362270948871
AMID_N,0.4652053056458898
AMID_O,0.07404087898987131
AMID_X,0.0
AMID_h,0.5392461846357611
ATS0dv,362.0
ATS0pe,303.8132
ATS0se,373.1780599999999
ATS1dv,377.0
ATS1pe,340.5956
ATS1se,405.144744
ATS2dv,507.0
ATS2pe,575.7712
ATS2se,696.1938999999999
ATS3dv,537.0
ATS3pe,710.5121
ATS3se,873.905972
ATS4dv,462.0
ATS4pe,683.5172
ATS4se,845.266404
ATS5dv,444.0
ATS5pe,685.4182
ATS5se,847.1760999999999
ATS6dv,396.0
ATS6pe,612.3342
ATS6se,750.653916
ATS7dv,365.0
ATS7pe,589.7356
ATS7se,723.0366999999999
ATS8dv,368.0
ATS8pe,634.5442
ATS8se,780.079928
ATSC0Z,347.6734693877551
ATSC0c,0.7342227650879678
ATSC0d,22.775510204081634
ATSC0i,80.06850063261436
ATSC0m,1659.95198077551
ATSC0p,10.665109920332775
ATSC0s,21.839002267573697
ATSC0v,2404.5775941775337
ATSC1Z,29.815910037484397
ATSC1c,-0.2672823006493695
ATSC1d,7.238234069137857
ATSC1i,-17.675783674255317
ATSC1m,137.98155623823396
ATSC1p,-1.1550492767951905
ATSC1s,2.073349067518161
ATSC1v,-74.5554833448202
ATSC2Z,-46.93752603082048
ATSC2c,-0.3476893621280722
ATSC2d,0.30570595585172533
ATSC2i,-9.730908409359248
ATSC2m,-218.72809487796758
ATSC2p,-0.5358508948089189
ATSC2s,-2.3124508306724083
ATSC2v,-191.0791248356375
ATSC3Z,23.392336526447306
ATSC3c,0.21066753993323775
ATSC3d,0.2161599333610981
ATSC3i,17.53206325475066
ATSC3m,111.55224107330278
ATSC3p,1.4488486139160932
ATSC3s,7.909713545282059
ATSC3v,172.24714514685704
ATSC4Z,63.95043731778424
ATSC4c,0.10923563153451887
ATSC4d,1.084548104956268
ATSC4i,-46.27229108385266
ATSC4m,295.0228787580175
ATSC4p,-2.7308282122324243
ATSC4s,10.737042436022028
ATSC4v,-216.911205871211
ATSC5Z,66.10037484381508
ATSC5c,-0.018762385626627905
ATSC5d,4.891711786755519
ATSC5i,11.62614050327892
ATSC5m,329.7157019937526
ATSC5p,4.038719417388688
ATSC5s,-1.9452658614466225
ATSC5v,885.9218845363778
ATSC6Z,-74.00666389004581
ATSC6c,-0.033013878036201066
ATSC6d,-3.6984589754269073
ATSC6i,19.151459643457105
ATSC6m,-340.9574510045815
ATSC6p,1.8895023190819744
ATSC6s,-9.935825350548386
ATSC6v,113.21694558656382
ATSC7Z,-87.6118284048313
ATSC7c,-0.07760700599702029
ATSC7d,-7.952519783423575
ATSC7i,1.566373914082804
ATSC7m,-413.7323823402749
ATSC7p,-0.8454506436548307
ATSC7s,-9.405548614003427
ATSC7v,-338.259479534442
ATSC8Z,-89.61974177426072
ATSC8c,0.1260236016011575
ATSC8d,-12.017909204498128
ATSC8i,8.792299944403391
ATSC8m,-428.32917903831736
ATSC8p,-1.1787444165556105
ATSC8s,-5.7080614558748675
ATSC8v,-434.36880007575235
AXp-0d,0.6782720007427872
AXp-1d,0.4466326495188786
AXp-2d,0.28790220892628476
AXp-3d,0.1875616892594711
AXp-4d,0.12333604729567736
AXp-5d,0.08060665547330477
AXp-6d,0.049725919791124056
AXp-7d,0.03271664157344697
GATS1Z,0.7699532212328642
GATS1c,1.4256690519328026
GATS1d,0.6889991728701406
GATS1i,1.4104885355996892
GATS1m,0.7749045253979019
GATS1p,1.1426183775770355
GATS1s,0.7379176217822256
GATS1v,0.9923288464776461
GATS2Z,1.0222687712207592
GATS2c,1.5988623341022699
GATS2d,1.1129636341669686
GATS2i,1.1762042725306747
GATS2m,1.017649766488293
GATS2p,0.9947371817976493
GATS2s,1.0649949425952479
GATS2v,0.9709549224514428
GATS3Z,0.9567355816166383
GATS3c,1.0486463356955562
GATS3d,1.1092246745896999
GATS3i,0.9262949360781022
GATS3m,0.9551303486288499
GATS3p,0.895702292858569
GATS3s,0.8448322030285973
GATS3v,0.9208219551806875
GATS4Z,0.8924630194881427
GATS4c,0.8435670834766932
GATS4d,1.0161290322580645
GATS4i,1.253402367032519
GATS4m,0.8963152827928955
GATS4p,1.0693702779015182
GATS4s,0.7525308898349081
GATS4v,1.0106127155865496
GATS5Z,0.9488526969625819
GATS5c,1.2680738448076931
GATS5d,0.929227761485826
GATS5i,0.9508552122975533
GATS5m,0.9411122838500716
GATS5p,0.7143989053777032
GATS5s,1.2440905787183432
GATS5v,0.7495911215810944
GATS6Z,1.0980797486462868
GATS6c,1.430421055594519
GATS6d,1.2275800908990133
GATS6i,0.9460828695795915
GATS6m,1.091442333516332
GATS6p,0.8227283298285997
GATS6s,1.3412744712895535
GATS6v,0.8929807857681668
GATS7Z,1.0666996206176393
GATS7c,1.1279399408153072
GATS7d,1.342161856253537
GATS7i,1.049164844592302
GATS7m,1.066633884175863
GATS7p,1.0234075693375975
GATS7s,1.1516495527053539
GATS7v,1.0403225194643726
GATS8Z,1.058241029276666
GATS8c,0.7840875199549834
GATS8d,1.319761979329784
GATS8i,0.9898318501349626
GATS8m,1.0603714951476044
GATS8p,1.0453048246108323
GATS8s,1.0322673647898726
GATS8v,1.065515092850179
MATS1Z,0.08081077175935127
MATS1c,-0.34303236006230664
MATS1d,0.29947270471464005
MATS1i,-0.20802221588039826
MATS1m,0.07832821873505641
MATS1p,-0.10205350218130561
MATS1s,0.08946071579754468
MATS1v,-0.029216859389215095
MATS2Z,-0.07432838852819275
MATS2c,-0.26071716837848813
MATS2d,0.007389956103257949
MATS2i,-0.06691103724056116
MATS2m,-0.07254627515116456
MATS2p,-0.027662071387656594
MATS2s,-0.05829694374089296
MATS2v,-0.04375024816719424
MATS3Z,0.028919666506016142
MATS3c,0.12332780629991937
MATS3d,0.004079418977551378
MATS3i,0.0941158050848057
MATS3m,0.028885108514109036
MATS3p,0.05839140193288652
MATS3s,0.1556751134403343
MATS3v,0.03078962966095414
MATS4Z,0.08047296900680907
MATS4c,0.0650900395203984
MATS4d,0.020833333333333325
MATS4i,-0.2528350998112669
MATS4m,0.07775677305817695
MATS4p,-0.11202297508194901
MATS4s,0.2150948110268923
MATS4v,-0.03946583083799969
MATS5Z,0.08469070844628487
MATS5c,-0.011383180089698087
MATS5d,0.09567448680351907
MATS5i,0.0646810804793472
MATS5m,0.08848048609950507
MATS5p,0.1686870492409505
MATS5s,-0.03967798114044616
MATS5v,0.1641194409113544
MATS6Z,-0.10752850845873987
MATS6c,-0.022713969710752593
MATS6d,-0.0820308169825962
MATS6i,0.12082714937126454
MATS6m,-0.10375977144583921
MATS6p,0.08949657990837522
MATS6s,-0.22982406468801886
MATS6v,0.023784661985868465
MATS7Z,-0.12997614957798345
MATS7c,-0.054518708327730175
MATS7d,-0.18009809469911342
MATS7i,0.010090349767438457
MATS7m,-0.12855721744053558
MATS7p,-0.040887955752367505
MATS7s,-0.22213848919880433
MATS7v,-0.07255772462499431
MATS8Z,-0.12262838033450578
MATS8c,0.08165502129563396
MATS8d,-0.25102655113616595
MATS8i,0.05223957737059887
MATS8m,-0.12275550894364667
MATS8p,-0.05257910242781625
MATS8s,-0.12434109918114343
MATS8v,-0.08593670193782314
MAXaaN,4.711547776518015
MAXssO,5.406356884995295
MINaaN,4.29334651009164
MINssO,5.406356884995295
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,6
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,7
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,36.708494069743224
SpAD_D,302.6303418811709
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,5.241930959779881
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,825
TMWC10,131.92494407998234
TSRW10,61.838462168523726
VE1_Dt,5.113872089769132
VE2_Dt,0.18940266999144934
VE3_Dt,2.6252086377888353
VR1_Dt,167.0208724919969
VR2_Dt,6.18595824044433
VR3_Dt,6.111370562599084
Xc-3dv,0.46780033765353213
Xc-4dv,0.0
Xc-5dv,0.044043844299856305
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.37422759959187446
Xch-7d,0.3166998564107686
Xp-0dv,15.083109377789576
Xp-1dv,9.155178573448243
Xp-2dv,6.2944170139476325
Xp-3dv,4.452128994717115
Xp-4dv,3.0003814585947652
Xp-5dv,1.9922938567175594
Xp-6dv,0.9742420021241743
Xp-7dv,0.6180880209767399
Xpc-4d,2.7132516680497525
Xpc-5d,4.477267520560958
Xpc-6d,6.735544425814766
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,4
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,52
nFRing,0
nHBAcc,7
nHBDon,1
nHRing,3
nSpiro,0
naRing,3
piPC10,7.679626991110805
AATS0dv,7.387755102040816
AATS0pe,6.200269387755102
AATS0se,7.615878775510202
AATS1dv,7.25
AATS1pe,6.549915384615384
AATS1se,7.791245076923077
AATS2dv,5.696629213483146
AATS2pe,6.4693393258426966
AATS2se,7.822403370786516
AATS3dv,4.7105263157894735
AATS3pe,6.232562280701755
AATS3se,7.665841859649123
AATS4dv,4.125
AATS4pe,6.102832142857143
AATS4se,7.547021464285714
AATS5dv,4.036363636363636
AATS5pe,6.231074545454545
AATS5se,7.701600909090908
AATS6dv,4.082474226804123
AATS6pe,6.312723711340206
AATS6se,7.738700164948454
AATS7dv,3.8421052631578947
AATS7pe,6.207743157894736
AATS7se,7.610912631578946
AATS8dv,3.5728155339805827
AATS8pe,6.160623300970874
AATS8se,7.573591533980583
AATSC0Z,7.095376926280717
AATSC0c,0.01498413806301975
AATSC0d,0.46480633069554356
AATSC0i,1.6340510333186604
AATSC0m,33.8765710362349
AATSC0p,0.21765530449658724
AATSC0s,0.44569392382803463
AATSC0v,49.073012126072115
AATSC1Z,0.5733828853362384
AATSC1c,-0.005140044243257105
AATSC1d,0.13919680902188186
AATSC1i,-0.3399189168126023
AATSC1m,2.653491466119884
AATSC1p,-0.022212486092215204
AATSC1s,0.03987209745227233
AATSC1v,-1.4337592950926963
AATSC2Z,-0.5273879329305672
AATSC2c,-0.0039066220463828336
AATSC2d,0.0034348983803564642
AATSC2i,-0.10933604954336235
AATSC2m,-2.4576190435726692
AATSC2p,-0.0060207965708867295
AATSC2s,-0.025982593603060766
AATSC2v,-2.1469564588273875
AATSC3Z,0.2051959344425202
AATSC3c,0.0018479608766073486
AATSC3d,0.001896139766325422
AATSC3i,0.15379002855044438
AATSC3m,0.9785284304675682
AATSC3p,0.012709198367685028
AATSC3s,0.06938345215159701
AATSC3v,1.5109398697092722
AATSC4Z,0.5709860474802164
AATSC4c,0.0009753181387010614
AATSC4d,0.00968346522282382
AATSC4i,-0.4131454561058273
AATSC4m,2.6341328460537277
AATSC4p,-0.024382394752075216
AATSC4s,0.09586645032162525
AATSC4v,-1.9367071952786696
AATSC5Z,0.6009124985801371
AATSC5c,-0.0001705671420602537
AATSC5d,0.044470107152322906
AATSC5i,0.10569218639344473
AATSC5m,2.997415472670478
AATSC5p,0.036715631067169886
AATSC5s,-0.017684235104060204
AATSC5v,8.05383531396707
AATSC6Z,-0.7629552978355238
AATSC6c,-0.00034034925810516565
AATSC6d,-0.03812844304563822
